'	apostrof
verbindlecher	fˈɔɾbʏndlˌeːʃɜ
verbindlecht	foɾbɪntlˈœʃt
verbindung	forβ̞ɪndum
verbindungen	fɔɾbˈɪndʊŋən
verbitt	fˈɔɹbˈɪt
verbitts	fouːbˈits
verblatzen	aʎˈablˈɔtsən
verblatzt	fɔɾblɔtsd
verbleifs	fɔːblɔːups
verbleift	fɔɾblˈɔøft
verbleiwen	vˈoːɾblˌɔøvən
verblenden	fɔblandoˈn
verblenn	foˈblan
verblennen	forblãŋan
verblenns	fɔːblˈænts
verblennt	fˈɔɹblˌanˈd
verblenntem	foɾbˈlˈanˈtɛn
verblennten	fɔblantan
verblennter	foːblantːɔ
verblent	foklant
verblentem	foklantɔm
verblenten	fɔɾblanˈtoːn
verblenter	fɔblɑntɔ
verblents	fɔɾblˈandz
verblitt	fɔɾblˈʏt
verbliwwen	fɔɾblɛvɛn
verblouf	voːloːv
verbloufen	voːrˌɔːloːfˌeːn
verbloufs	fou̯loːvz
verblouft	fˈoːrbˈlˈʊft
verblouwen	vˈɔɾblˈɔvən
verbludden	fɔɹblɔdɔn
verblutt	fɔʁblˈut
verblutts	fɔɾbˈlˈʊtst
verbläit	fɔnglˈaɪt
verbläitem	foːrˌbˈlˈaɪtˌɛm
verbläiten	frˈɑblɛtˈoːn
verbläiter	fou̯blajtso
verbléien	aplˈɪtən
verbléif	fɔːbleːf
verbléifen	foɾblɛjfɔn
verbléifs	fɔɾbleːfs
verbléift	fˈoːbləft
verbléit	fou̯plei̯t
verbléiwen	fɔɾblɛvɛn
verblöden	plˈɪx
verblödung	fɔɾblˈøːdʊm
verblöt	fɔɾblˈøːt
verblööts	fɔɾblˈøːts
verbock	fɔbɔk
verbocken	fɔɾbˈɔkən
verbocks	fɚbˈɔks
verbockt	fɒbˈokˈ
verbocktem	fokʊ̞ktʊ̞m
verbockten	foˈbɔktʏm
verbockter	fokto
verbond	fɔɾbund
verbonn	fokɔm
verbonnen	fokɔɫɯ̞n
verbotz	fɔɾbɔt
verbotzen	fɔɾbɔtsɔŋ
verbotzt	fɔɾbˈɔtst
verbotztem	fɔɾbɔtstɔm
verbotzten	fɔɾbɔtˈstɔn
verbotzter	propodstva
verbrach	fˈɔɾbɾˌɑx
verbrannt	fɔɾbˈɾˌɑnt
verbranntem	fɔ̃bˈrˈaŋtɔ̃
verbrannten	fɔɾbˈɾˌɑːntən
verbrannter	fɔɾbˈɾˈɑntɔ
verbrauch	vˈɔːrbrˌɵx
verbrauchen	vɔrbrˈaːɵxɾən
verbraucher	foɾbrauxo
verbraucherin	fokoɾaɾin
verbraucherinnen	fokrauwrɛɛmɛn
verbrauchs	vɔːrbrˈœyxt
verbraucht	vɔːbrˈœyʊɣd
verbrauchtem	vɔrbrˈaʊxthˈɛm
verbrauchten	foːbraːʊ̯rtən
verbrauchter	vɔrbrˈaʊxto
verbreeden	foβ̞ɾed̪ɔ̞n̪
verbreedung	foːbˈliːdum
verbreet	fɔɾbˈrˈeːt
verbreetem	fɔ̃bˈrˈetˈɔm
verbreeten	fɔɾbɾˈətən
verbreeter	fobɾeta
verbreets	fɔɾbˈɾətˈɛs
verbrenn	fobɾɛn
verbrennen	fɔɾbˈɾˈanˈon
verbrenns	fɔɾbɾans
verbrennt	fau̯bɾãnˈt
verbrennung	fou̯bɾẽn̪om
verbrennungen	fɔɾbˈɾˌanŋən
verbriech	fˌɔɾbɹˈiɐʃ
verbriechen	fɔbɾeɾzjɔn
verbriecher	fobɾˈeʃo
verbriecherin	fokɾeɾs̺oɾin
verbriecherinnen	foɾbɾes̺eɾriŋan
verbrigel	fobrˈeʒal
verbrigelen	foɾbɾəi̯ʒəlɔ̃ɑ̃
verbrigels	foɾbɾˈjʒuɾˌɛbˈs
verbrigelt	fɒbˈɾˈjʒaʊlt
verbrigeltem	vobɾˈuʒəltˈɔm
verbrigelten	fokɾəjʒˈɾˈɑtn
verbrigelter	fobrˈeʒˈøːtˈɑ
verbruecht	fɛɾbɾʏst
verbruechtem	fɛɾbɾˈʏstən
verbruechten	fɛrˈʊɪstən
verbruechter	fɛrˈʊxstɜ
verbrueden	fɔbɛðom
verbruet	fɔɾbˈɾˈɔɾt
verbruetem	fɛɾbˈrʏtən
verbrueten	fɛɾbɾˈyːɾtən
verbrueter	fɔbrˈʊtˈa
verbruetheet	fɔnbɾˈɔøthˌeːt
verbruets	fɔːbˈɔɾtz
verbréchs	fˈɔɹbɹˌaʃt
verbrécht	fɔbɾʃt
verbréng	fɔɾbˈɾˌɪn
verbréngen	fɔːblɛːŋən
verbréngs	foɾbˈɪnts
verbréngt	fɔɾbˈɾˈɪŋt
verbstellung	vˈɜpstˌalʊŋ
verbuch	fɔbˈuχ
verbuchen	fɔɾbˈˈuxrɛn
verbuchs	fɔbˈus
verbucht	fɛɾbˈuxt
verbuchtem	vɛrbɔxtɔm
verbuchten	frpuxni
verbuchter	fɔɾbˈuxto
verbuddelen	fˈɔ̃bˈudˈə-lˈɔ̃
verbuddelt	fɔɾbˈʊlt
verbuddeltem	frpʊdɔɫtɔm
verbuddelten	fɔɾbˈʊtəltˈɔn
verbuddelter	foːbuːdəlˈtɑːm
verbueden	fɔɾbˈɵdən
verbuet	fɔɾbwˈənt
verbuetem	voɾvˈʊɐtˈɔm
verbueten	fɔɾbˈɪtən
verbueter	fabʊɐdˈɔ
verbuetsschëld	fɔɾbˈuɪltʃˈɔlt
verbuetsschëlter	fɔbʊɛtʃaɾitɑː
verbäiss	fɔbeɾs
verbäissen	foɾbˈæjsən
verbäisst	fɒːbæst
verbänn	fˈoːpˌan
verbéi	fouˈbˈe
verbéien	fɔɾbˈeɪ̯ən
verbéis	fˈɔɹbˈeɪs
verbéiss	fou̯beis
verbéissen	fɔɾbˈeɪsən
verbéisst	fɔɾbˈeɪst
verbéisstem	fɒɾbˈeːistˈæm
verbéissten	fɒbˈɒˈɪstɒˈn
verbéisster	fɔɾbˈæjstɑ
verbéit	fɔɾbɛjt
verbéitem	fˈɔɹbˌeɪtəm
verbéiten	fɔɾbˈeɪtən
verbéiter	fɔɾbˈeɪtə
verbënn	fˈɔʊbɪŋ
verbënns	fãbɛn̪z
verbënnt	fɔɾpɵnt
verbëtz	fˈˌɔɾpˈɛtʃ
verbëtzen	voɾbɪtsʲən
verbëtzt	vˈɔɾbʊtst
verbëtztem	fˈɔɾbɜtˌstɔn
verbëtzten	fˈɔɾbətstɔn
verbëtzter	fˈɔɹbɚtstɔ
verchroomt	fɔɾkɾˈʊmd
verchroomtem	fokɾomtɛn
verchroomten	fɔɾkɔtɛn
verchroomter	fokɾumto
verdaams	fɔɾdˈæns
verdaamt	eˈtʃeˈdˈant
verdaamtem	foɾdamteːm
verdaamten	fɔrdˈantən
verdaamter	foðamto
verdacht	fɑːdˈaxt
verdachtsfall	fauːrdˈˈaˈɾtˈsfˈ
verdachtsfäll	vˈɔrdˈɑxtsvˈaɛlˌ
verdaddert	faboðot
verdaddertem	fɔɾdɔtɔtɛm
verdadderten	foɾðadɔɾtɔm
verdadderter	foktodɔtɔ
verdam	fokɾom
verdamen	foð̞amem
verdanken	fˈadˈæŋkən
verdanks	fˈɔɹtˈoŋz
verdankt	fokɾa
verdau	fæˈdæl
verdauen	fɔdɔvən
verdaulech	foɾdau̯løʃ
verdaulechem	foɾdɔvləʃɔm
verdaulechen	foɾdɔvəløʃøn
verdaulecher	foːdɔvlɔʃu
verdaulecht	foɾdɔvˈløʃt
verdaus	fəˈd̪os
verdaut	fəˈd̪oʊt
verdautem	foɾdɔutm
verdauten	fɔɾdˈaʊtən
verdauter	aferojtɔtɔ
verdauung	foɾdoːlum
verdauungsproblem	fˈɔɾtˌaʊɛŋʃpɾˈɔbləm
verdauungsproblemer	fɛɾdˌauːuːŋspɾˈɔbləmˌɑː
verdeck	foɾk
verdecken	fˈɔɾdˈɛkən
verdecks	fʊˈdʒʊks
verdeckt	fɔɾdɛkt
verdecktem	fokɛtɔm
verdeckten	fɔɾdɛktɔŋ
verdeckter	fɒrdəkta
verdeedeg	foˈdeːtˈoz
verdeedegen	fodˈedˈə-ʒˈøn
verdeedeger	fˈotˈedˈiʁʒˈɑ̃
verdeedegerin	fɔˈdedˈiʁʒaʁˈin
verdeedegerinnen	foʁdˈedˈə-ʒˈœʁemˈɛ̃ʁ
verdeedegs	fɔdˈeɾidøʒs
verdeedegt	fɒːdɒːe̞iːtdɒːʃt
verdeedegtem	foɾdˈeːdəstəm
verdeedegten	fdedʃtʃtʰe
verdeedegter	foːdeːdʃtɑ
verdeedegung	fodˈedˈiʁʒˈom
verdeedegungen	fˈaˈtˈedˈiʁʒˈə-nˈuːn
verdeedegungsminister	fokdeidəʒuŋsmenista
verdeedegungsministeren	fˈɔˈdˈedˈə-ʒˈə-mˈɛ̃ʁmˈɛnistˈɑ̃ˈ
verdeedegungsministerin	fʁðəidˈiʁʒˈuŋsminɪsdɛɹin
verdeedegungsministerinnen	fˈædəidˈiʁʒˈə-wˈɛ̃sʁəmˈɛ̃istˈɛʁinˈɛnə
verdeedegungsministesch	fˈodedˈiʁʒˈə-wmˈsbɛnistˈɛʃˈ
verdeedegungsministeschen	ˈfɔːdˈeɪdˈiːzˈʌŋzmɪnˈɪstɚzən
verdeedegungsministère	foːdeːtəʒynʒmɪnɪstɛɾ
verdeel	fɔdˈeːl
verdeelen	fɔdɛlˈlɔn
verdeeler	fɔdɛɾla
verdeelerschlëssel	fɒdeːlɒʃlˈɒsˈlɒ
verdeels	foɾðˈeːls
verdeelt	fɔɾdɛlt
verdeeltem	fɔɾdɛltɔm
verdeelten	foːdˈɛɾtˈuːn
verdeelter	foðˈilto
verdeelung	fɔdɛlum
verdeelungen	fɔɾdˈeːlʊŋən
verdeelungslëscht	fɑːdəjlˈmˈslʃt
verdeelungslëschten	fɔdɛːlʊmsˈlɔʃˈtɔn
verdeelungssystem	fadilumsɪsem
verdeelungssystemer	fadɛlungsistɛma
verdenken	fˈˈɛɾdˈɛnkˈɛn
verdenks	fˌɔɹtˈaŋks
verdenkt	foɾd̪ant̪
verdiebel	fauːdeːble
verdiebelen	fwaːdɨˈeːbəlˌaɪm
verdiebels	fʌʊðˈɛɹbəʊɫd
verdiebelt	fɒːdeːbæɺd
verdiebeltem	fɔɾdɛbɛltɔm
verdiebelten	fɛɾdɛbɛɫtoʊn
verdiebelter	fɔːˈdeːbeːltɔ
verdierf	fɔːdiːɾf
verdierf mer meng gutt laun net	tˈɪ dˈi mˈaɪmənt gˈɪt laʊn nˈɑt
verdierflech	foɾðeflosk
verdierflechem	fɛˈrɛdflɛʃɑn
verdierflechen	fˈɑːdeflˈæʃɑːm
verdierflecher	foːdiːfloʃa
verdierflecht	foɾðiɾflˈoʃt
verdierfnes	foɾðɪfnəs
verdierfnis	fɔːðɪfnɛs
verdierfs	fɔːdiːɾz
verdierft	fɔɾðˈɪft
verdierwen	foɾðiɾvɛn
verdiischter	fædiːʃtˈɑ
verdiischteren	foɾdˈiːʃtˈoːrən
verdiischters	fɔɾðeːʃtɒs
verdiischtert	foɾð̞aʝst̪at̪
verdikt	ʋˈɛrdɪk
verdikter	pərdikːtɔ
verdilleg	foɾdˈəlˈœʃ
verdillegen	fˈaʁdˈələʒˈøn
verdillegs	foɾdˈʏləʃt
verdillegt	fɒgdiːlˈʃt
verdillegtem	fɔɾdˈʏlːəʃtˈɔm
verdillegten	fɔɾdˈɛɾlˈʃtɑn
verdillegter	foɾðe̞lʃto
verdomm	foɾð̞om
verdommen	foɾdˈɔmən
verdomms	foɾð̞oms
verdommt	fˈɔrdˈɔnt
verdommtem	foɾðˈomtəm
verdommten	fɔɾdˈɔmptən
verdommter	foɾdˈomtˈa
verdommung	foɾðˈomˌoŋ
verdonkel	aʊfðˈuːnkəl
verdonkelen	fɛɾdˈʊnkələn
verdonkels	vˈɔːdˈɔnkəlt
verdonkelt	fɔɾdˈɔmkˈʊlt
verdonkeltem	vɔːdˈɔŋkəltˈɛm
verdonkelten	foɾdˈʊŋkətən
verdonkelter	foɾdˈomkˈutʃo
verdonkelung	foɾdɔmkøllum
verdonner	foɾðõnða
verdonneren	foɾð̞oɾɾan
verdonners	foɾðõŋos
verdonnert	foɾð̞õɾnõt̪
verdonnertem	foɾdonɔtɛm
verdonnerten	fɔɾdɔnɔtɛn
verdonnerter	fɔdɔnɔtɔ
verdonst	fˈɔɾdˈɔnst
verdonsten	fɔɾdˈɔntsˈɛtˈɛɾn
verdrecks	fˈɔ̃dˈɾɛks
verdrecksen	fɔ̃tʁɛksɛ̃
verdreckst	fɔ̃tˈʁɛkst
verdreckstem	foɾdɾˈægstən
verdrecksten	fɔdɾəkˈɛstɛn
verdreckster	fɔɾdɾɛkˈstɑ
verdreemt	fɔɾdˈɾəɪmd
verdreemtem	fɔtɾəimtɔm
verdreemten	fɔtˈrˈiːntˈɔn
verdreemter	fɔrdrˈimtoːrˈ
verdreif	fɔɾdrɑjf
verdreifs	fˈɔɹðɹˈɔɪvz
verdreift	fɔɾtɾˈɔøft
verdreiwen	fɛɾˈtɾaʊ̯vən
verdriwwen	fɔʁdʁɪvˈɛn
verdro	fɔdʁˈo
verdroen	foɾdɾˈoːən
verdross	fˈɔʁdʁˈɔs
verdrot	fɔɾdɾɔt
verdruddel	fɔɾdɾʊdˈʉ
verdruddelen	fˈaːrdˈrˈʊdlˌn
verdruddels	fɔdrˈudˈoɾuts
verdruddelt	foɾðrˈudəlt
verdruddeltem	fɔɾdɾʏdtɔm
verdruddelten	fɔɾtɾˈʏtəltən
verdruddelter	foɾdɾˈʊdətˈuːɾ
verdräifachen	fˈɔrdrˈaɪfˈɑxərən
verdräifacht	vɔːrdrˈaːɪvʌxt
verdräng	forð̞ɾen
verdrängen	fɔɾtɾˈŋɛn
verdrängs	foð̞ɣ̞anʝs
verdrängt	fˈɔrdrˌɛŋd
verdrängtem	foɾðræŋtɔvn
verdrängten	fˈɔɾdˌrˈɛŋtˌɛn
verdrängter	fˈɔɾdrˈaŋtɔ
verdrängung	fokɾoɛnmum
verdrängungen	fˈɔrdrˌɛŋlˌɛʊŋən
verdréchent	fɔðɾʃɔnt
verdréchentem	fɔɾtˈrʊsçɛntˈɔm
verdréchenten	fˈɔdɾəʃˈɪntən
verdréchenter	fodrəsyntˈor
verdréchnen	fodɾəsnɛm
verdréck	fˈɔdrək
verdrécken	fˈɔrdrˌɪkən
verdrécks	fˈɔdɹɪks
verdréckt	fˈoːrdrˌɛkt
verdrécktem	fɔɾdɾˈɛktən
verdréckten	fɛrdˌrɛktˌɛn
verdréckter	fˈɔːdˈərˈɛktɔ
verdréi	fɔdɾəi
verdréien	fˈɔɾdɹəiːən
verdréin	fɔðrəim
verdréinen	fˈɔɾdɾˌɪnən
verdréins	fɔɾðɔjns
verdréint	fˈɔɾdɾˌeːnt
verdréintem	fɔɾdɾɪntɔntɛn
verdréinten	fɔɾdɾˈɛntɔn
verdréinter	fɔɾdɾˈɛntɔ
verdréis	fɔdɹˈiz
verdréiss	fɔdɾəiʃ
verdréissen	fɔɾdɾajsən
verdréisserlech	fˈɔːdˈʁəisɑːlˈɑkˈ
verdréisserlechem	foɾdɾˈeːɪsɜləʃən
verdréisserlechen	foɾdɾˈaɪtsɔlløʃən
verdréisserlecher	fædˈɾæjsælˈʃɑː
verdréisserlecht	foɾdɾɑːˈjisɔlɛʃt
verdréisst	fɔɾdɾəst
verdréit	fɔɾtɾɛjt
verdréitem	fɔɾdɾəiːthˈɛm
verdréiten	fɔʁtʁəiktɔn
verdréiter	fɔɾdɾˈɛjtˈa
verdrësserlech	fɒdɾæsɒlɒʃ
verdrësserlechem	foɾðɾəsɔlɔsjɔn
verdrësserlechen	fɔdɾəsɔɫɑˈʃɔn
verdrësserlecher	fˈɑdɾasˈɔɾlɑːʃɑ
verdrësserlecht	foːrdəˈɾəsˈɑːlˈaʃt
verdrësslech	foɾdəɾəslˈœʃ
verdrësslechem	fodɾəsjəʃən
verdrësslechen	fɒtɾəstvɒˈʃuːn
verdrësslecher	fˈordɾˈaˈslˈaʃˈɑ
verdrësslechkeet	fɒdɾɒslɒʃkɾˈiːd
verdrësslecht	fˈɔɾtɾəslˈœʃt
verduebel	fɔɾdˈʏɾpəl
verduebelen	fokɛpɛl
verduebels	fɔɾdˈɵɾpəlt
verduebelt	foɾdˈʏɾbˈœlt
verduebeltem	foɾdˈʏɾbəltəm
verduebelten	foɾdˈʏɾbəltən
verduebelter	foɾdˈøbøltˈo
verduebelung	foɾdˈøbəlˈɔ̃
verduebelungen	foɾdˈʏɾbəlˈʊŋən
verdueblungszäitraim	foːrdˈʏɾbəlˌʊŋstsˌaɪtdrˈaɪm
verdueblungszäitraum	fɛɾdœrpəlˈʊŋstsˌaɪtdɾaʊm
verduerwen	fɔɾdˈʏɾvən
verduft	fæɾˈduːft
verduften	fˈɔɾdˈʊftən
verdufts	fˈɔɾdˈʊft
verdächteg	vɒdɒʃtøʃ
verdächtegem	fˈɔtˈaʃtdˈəʒˈøn
verdächtegen	foˈdˈastˈʒˈøn
verdächteger	fɑːdæʃtʃʰoˈʒɑ
verdächtegs	fˈɑːdəʃtˈaʃtʃ
verdächtegt	fɑːdæɾʃdæʃt
verdächtegtem	fˈɑːlˈdˈæʃtˈæʃtˈøːn
verdächtegten	fɔdaːʃtøʃtøn
verdächtegter	fɑːdæʃtæʃtɑː
verdäischteren	foɾdˈaɪʃtˈaɾən
verdäischtert	fˈɔɾgˌaɪztˈat
verdäischtertem	foɾdˈaɪʃtˈɔtəm
verdäischterten	fɔːkˈaɪvʃtˈɔtən
verdäischterter	fo˥˩ːdajʃtɔto˥˩ː
verdäitlech	foˈdajtlʃ
verdäitlechen	foɾdˈaklˈoʒən
verdäitlechs	foɾdˈaɪtleʃs
verdäitlecht	fɔɾdˈaɪtlˈaʃt
verdäitlechtem	fɔɾdˈaɪtløʃtøm
verdäitlechten	fɔɾdˈaɪtlˈʏʃtən
verdäitlechter	fdeɾʒtɑdʒtɑ
verdäitschen	foktajtʃɔn
verdäitscht	fokde̞ʒt
verdäitschtem	fɔɾtˈaɪtʃtˈɪm
verdäitschten	fɔːdɛjdʒtɛn
verdäitschter	foktajtsto
verdäiwel	fɔːdajvɐl
verdäiwelen	foɾdajvɔlˈon
verdäiwels	fɔːdˈaɪvəɾz
verdäiwelt	fɔdaːiːvolt
verdäiweltem	foɾoːdˈaɪvˈɪlˈtˈuːn
verdäiwelten	foɾdˈaɪvətən
verdäiwelter	foktajˈvəltˈɔ
verdéif	fɔɾdɛjf
verdéifs	fˈɔɹdevs
verdéift	fwadaːft
verdéiftem	fɔɾdɑjvtøɢ
verdéiften	fɒtðeːfthˈɛɾ
verdéifter	fɔtɛjftɔ
verdéiwen	fɔdˈeɪvən
verdéiwung	fɔɾdɛjvɔm
verdéiwungen	fɔdeivɔŋɛn
verdéng	fɔdɛŋ
verdéngen	fˌɔɾdˈiŋən
verdéngs	fˈagɛŋiz
verdéngscht	fadajmuʃt
verdéngschter	fokdeŋksto
verdéngschtvoll	fɔdˈɛnʃtfʊlˈ
verdéngschtvollem	fɔɾdˈɛŋstfɔlˈɛm
verdéngschtvollen	foɾðenʃtəfoʎeŋ
verdéngschtvoller	fɔɾdɛŋstfɔlɛr
verdéngschtvollt	fɔdˈeɪnˈɛgətˈaɾfˈɔɫt
verdéngt	fɔdˈɛnt
verdéngtem	fˈoːrdˌɛŋtən
verdéngten	fɔɾdɛŋtɔvnˌ
verdéngter	fɔgʊntɔ
verdënn	fʊ̞d̪ʊ̞n
verdënnen	foɾðunen
verdënns	foɾð̞uns
verdënnt	fˈɔɾdˈɵnt
verdënntem	foːdˈɛntoːm
verdënnten	okaptan
verdënnter	fɔduntˈo
vereedeg	foɪeːtos
vereedegen	fˈɔezdˈiʁʒˈøn
vereedegs	foɾˈidˈæʃ
vereedegt	foːˈʔeːtˈost
vereedegtem	foɾˈiːdˈʏʃtʏm
vereedegten	foɾeːdəʃteːn
vereedegter	foɪːdʒto
vereedegung	fɔˈɛdˈə-ʒˈum
vereedegungen	foɛdˈiʁʒˈuːŋməm
vereedel	fʊˈeɪdəl
vereedelen	oedolum
vereedels	fɛɾˈeːdʌlˈts
vereedelt	fɛrˈeɪld
vereedeltem	oðəlˈtˈɔn
vereedelten	fɛɾɪdˈoːltən
vereedelter	attɕieːdɪltu
vereelz	fˈɔɹˈeɪt
vereelzen	fɔˀɛlsɔˀn
vereelzt	fɔːˈɪlst
vereen	iːm
vereeneg	foaenos
vereenegen	foɾeːnʒˈɵn
vereenegs	foɾˈeɪnˈoɾˈʃɛs
vereenegt	foːˈʔeːtnæʃt
vereenegt arabesch emirater	foɾeːnɪʃt ʔarabɪʃ ɛmiʁatˈo
vereenegt kinnekräich	foɾ eːnəs tkyndɛkrɛɪʃ
vereenegtem	foɾˈeːnɪʃtɛm
vereenegten	foɾˈeːnɪʃtən
vereenegter	foɾeːnɪʃto
vereenegung	foʔeːnɛʒˈum
vereenegungen	foɛnˈeːə̯dʒuːmən
vereenen	foɾeːnən
vereenheetlech	foɾˈinhˈeːtləs
vereenheetlechen	foɾˈæinheɪtlˈɑgən
vereenheetlechs	foɾˈeːnheɾdləˈʃtˈs
vereenheetlecht	foːɪnˈhɪdlʃt
vereenheetlechtem	foɾˈeːnˌeːtˈlˈʃtɛm
vereenheetlechten	foɾeːnhətloːʃtɛɾn
vereenheetlechter	foɾaeːnɛjtlɔʃtɔ
vereens	fɛrˈaɪns
vereent	fɔːfɛnt
vereentem	foɾeːntən
vereenten	foɾãntɔn
vereenter	foɾeːntɔ
vereenzelt	fɔɾɪnsɔd
vereenzeltem	foɾeːntsɛltɔm
vereenzelten	fɛrˈɛntsɛltɔn
vereenzelter	foɾɪnsuto
vereetert	fɔɾeɪtˈɑt
vereetertem	foɾeːtɾtɔm
vereeterten	fɔɾɪtɔtɔm
vereeterter	foɾeːtˈɔrtˈɔ
verehrer	eɾeɾa
vereinfach	fˈoːɾˌaɪnfˌax
vereinfachen	fɔnˈaɪnfˌaxɾən
vereinfachs	fˈɔɾˈaɪnfˌaxs
vereinfacht	dˈeːmˈaɪnfˌax
vereinfachtem	fɔnˈaɪnfˌaxtən
vereinfachten	fˈoːɾˌaɪnfˌaxtən
vereinfachter	fɛrˈaɪndvˌɑxtɜ
vereinfachung	fˈɔɾˈaɪnfˌaxʊm
vereinfachungen	fˈoːɾˈaɪntvˌaxʊŋən
verfaalt	fˈoːxfˌalt
verfaang	fægˈfæm
verfaangen	fˈɔɾfˌaŋən
verfaass	fægˈfæst
verfaassen	fokfaːsøn
verfaasst	fæstæ
verfaasstem	fokfasztam
verfaassten	fokfɛrstɛn
verfaasster	fæstɑ
verfaassung	fofasum
verfaassungen	fɔɾfˈɑːsʊŋən
verfahren	foɾfɑːrən
verfal	fokfɑːl
verfalen	fokfɑːlˈan
verfall	fokrof
verfallsdatum	foɾfˈɑltstˈɑtʊm
verfallsdatumen	foɾfˈaltstɑtˈɔmən
verfallsdatumer	foɾfaʊlsdaːtdˈumɑːr
verfassung	fokfãˈʊzzoː
verfassungen	fˈɔɾfɔːsʊŋən
verfaulen	fɔɾfɔʊlɛŋ
verfault	voːllˈkˈfɑːʊllt
verfaultem	fˈɔɾfˈaʊləm
verfaulten	foɾxfaɵtən
verfaulter	fokfau̯t̪o
verfecht	e̞fɒːst
verfechtem	fofaʃtɔm
verfechten	e̞fˈɾe̞stˈɾˈɑn
verfechter	fæʃtɑ
verfechterin	fˈɔɾˈaʃtɜɪn
verfechterinnen	foɾfˈastʃtˈɾˈɪnʃtˈ
verfechts	fɔːfˈɚst
verfeel	fˈɔkfˈeːl
verfeelen	foɾfˈiːlˈɛm
verfeels	fokfɛjluts
verfeelt	fɔɾfˈild
verfeeltem	foɾfˈilˈtɛɛ
verfeelten	foɾfˈeːltən
verfeelter	fokfjlto
verfeelung	fofˈeːlˌʊm
verfeelungen	fɔɾfɛjlʊŋən
verfehl	fˈɔɾkfˌeːl
verfehlen	fokfɛːlɛn
verfehls	fˈɔɾkfˌeːlz
verfehlt	foɣfˈeːɾət
verfehltem	fokfɛltɔm
verfehlten	fɔxfˈeːlˈtˈɔn
verfehlter	fofˈelto
verfehlung	fokfeˈlum
verfehlungen	fɔrfɪlʊŋən
verfeier	fɔːfɔːjɑ
verfeieren	fɔɾfˈaɪɚən
verfeiers	foɾfoɾiːɾs
verfeiert	fɔːfˈaɪvɚt
verfeiertem	fɔːfˈaɪvɚtˈʌm
verfeierten	afɒaɪˈɑɾtən
verfeierter	foɾfˈaɪəɾtˌoːx
verfeiner	fokfaiˈnˈno
verfeineren	foɾfˈaɪnərən
verfeiners	fokfai̯tˈɛɾs
verfeinert	fˈɔɹfˈaɪndæɾt
verfeinertem	fokfaɪnɔtɛm
verfeinerten	voɾfˈaɪnɚtən
verfeinerter	foɾfˈaɪnˈɔtoɾ
verfeinerung	fɔɾfˈaɪnɚˌʊŋ
verfeinerungen	fɔɾfˈaɪnɜˌʊŋən
verfeint	fɔːfˈɔɪnt
verfeintem	iːmfɔntɔm
verfeinten	fɔːfˈɔɪntˌoːn
verfeinter	fɔːfˈɔɪntoʊ
verfidder	ofido
verfidderen	χɑqfedɑːɾæm
verfidders	foɾfeɾiðɔz
verfiddert	fofidɔt
verfiddertem	foɾfˈɪldˈɔɾtən
verfidderten	foɾfˈiːlˌoɾtən
verfidderter	foɾfeɾdˈɔto
verfierft	fɔɾfˈɵɛft
verfierftem	fokfˈɪɾfˈtˈɔm
verfierften	foɾfjɾftən
verfierfter	foɾfjɔftɔ
verfiers	fɔːfˈɪɹz
verfiert	fɔɾfˈiːɾt
verfierwen	fɔɾfˈɪɾvən
verfierwung	foɾfɪlˈtˈum
verfilm	fˈɔɾkfˌɪlm
verfilmen	fˈɔlkfˈɪlˈmˌm
verfilms	fˈɔɹfˈɪlmz
verfilmt	fɔɾfˈɪlmd
verfilmtem	foɾfˈɪlmtən
verfilmten	plˈɪnt
verfilmter	forfˈɪlmtˈɔr
verfilmung	fɔɾfˈɪlmʊŋ
verfilmungen	fˈɔɾfˌɪlmʊŋən
verfilzen	foɾfɪlˈtsɛn
verfilzt	fɔɾfˈɪlˈtˈst
verflaachen	foːrflˈɑxən
verflaacht	vˈɔːvlˈaːɣt
verflapp	foɾflˈɔp
verflappen	fˈɔɾflˈɔpən
verflapps	fˈɔɹflˈɑps
verflappt	fˈɔɹflˈɑpt
verflecht	fɔflɛʃt
verflechten	foɾflˈaʃtən
verflechts	fɔːflˈæʃts
verflechtung	fɔrflˈaʃtʊ
verflechtungen	fɔrflashtʊŋɛn
verfleeg	fɔːflˈeʃ
verfleegen	fɔɾflˈeːʒən
verfleegs	fɔːflˈiʃ
verfleegt	plˈɪçt
verfleegtem	foɾflˈeːʃtɔrn
verfleegten	foɾfləʃtən
verfleegter	foɾflˈeʃtɚ
verfleegung	fofleːʒum
verflicht	fɔnflˈʏʃt
verflichtem	iːnflˈɪʃtɛm
verflichten	fokfliʃtajˈn
verflichter	fɔnflˈʏʃto
verflichts	fɔnflˈʏʃts
verflichtung	forflˈʏçtʊŋ
verflichtungen	fɔnflˈʏçtʊŋən
verflitt	plˈaːt
verfluch	voːrˌɛːlˈʊk
verfluchen	vˈɔɾflˌʊxɜn
verfluchs	fˈɔɾflˈʊxs
verflucht	fɔnflˈʊxt
verfluchtem	iːmflˈʊxtən
verfluchten	vorflˈuːxtən
verfluchter	dˈeːmflˈuːxtɜ
verflunn	foɾflˈʏn
verfléien	fɔɾflɛjɛn
verflëssegt	fɔfˈlɔsˈʃt
verfolleg	foɾfõːlˈləʃ
verfollegen	fˈɔʁfˈɔʁlə-ʒˈøn
verfollegs	fokfɔllɚs
verfollegt	foɾfˈɔlˈœʃt
verfollegtem	fɔɾfɔlˈaʃtɛm
