!	pˈoŋtʊʃikˈlɐmɐsˈɐ̃ʊ̃
! (vykřičník)	dɨ ɨʃklˌɐmɐsˈɐ̃ʊ̃
razoavelmente	kɐzuˌˌɐ̃velˈmˈeɪŋtɨ
razoáveis	ðəwɑldwˈid
razoável	xazwɑbɯl
razão	ɣazɑm
razões	ʁˌɐzˈõjʒ
raça	xas
raça negra	asa negɾæ
raçudo	ɾasˈudʊ
ração	ɐsˈɐ̃ʊ̃
ração balanceada	hastʃa ɨmbalˈanθjaðˈa
rações	kɾasˈonʃ
raí	ˈaɪiː
raíssa	a
raízes	χæzɪs
raízes supranumerárias	ɾəɐ̃izˈɨʒ supɾɐnˈumɨɾˈaɾiɐʒ
raúl meireles	au meireles
rbs tv	rb s tv
reabastecer	ˈɛɹbˈɑstðˈɪssiːɹ
reabastecessem	ɾɨɐbˈastˈɛsˈɛsˈɛi
reabastecido	ʁˌiɐbɐʃtɨsˈidʊ
reabastecimento	ɹɨˈabastˈesimˈeɪŋtʊ
reabastecível	ɾɨabastɨsˈivˈɛl
reabasteço	xɛbaːstjso
reaberto	ɾɨɐbˈɛɾətʊ
reabertura	ɾɨɐ̃bɨɾətˈuɾɐ
reabilitado	ʁˌeˌɐbilitˈadʊ
reabilitador	ɣɛabɪlˈitadˈoɾ
reabilitante	jajabjlit̪eɣ̞ɾeẽn
reabilitar	xibɫitaɾ
reabilitativo	ʁˌiɐbˌilitatˈivʊ
reabilitatório	ʁˌeɐbˌilitatˈɔɾjʊ
reabilitação	jaβ̞jlit̪asãũn
reabilito	fiʝaβ̞jlit̪
reabilitável	ʁˌeabilitˈavˌɛl
reabitar	ʁˌiˈabtaɹ
reabitação	ʁˌeɐbitɐsˈɐ̃ʊ̃
reabituado	ɾɨɐbitwadw
reabituar	ɾɨabitˈuɐɹ
reabjurar	ʁˈɛɐbʒʊɾˈaɹ
reabotoado	ɾɨabotˈwaɾədˈo
reabotoar	ʁˌeabutˈoɐɹ
reabraçado	ɛˌɐbɹɐsˈadw
reabraçar	ɦɛjˈabrasa
reabri	peabre
reabrir	hˈɪˈɐbriɹ
reabrolhar	ɾɨɐbɹulɐɹ
reabrotar	ɾɨabɹutˈaɹ
reabsorver	ɾɨɐ̃bsuɾəvˈeɹ
reabsorvibilidade	ʁˌeɐbsʊɾəvˌibiliðˈadɨ
reabsorvido	ʁˌeˌabʊsɨɾəvˈidʊ
reabsorvível	ˌɾɨɐbˈiʒʊɾəvˈivˈˈɛl
reabsorção	ʁˌeɐbstɔɾəsˈɐ̃ʊ̃
reaccionário	priaːsjunaːriːm
reaceitar	ˈeˈɑsejtˈeɾ
reaceite	ɾˌiɐseɪtˈɨ
reacender	həˈsendeɾ
reacendeu	ɾɨɐsseɪŋdeɪw
reacendido	ɛaːskeɪŋdˈidu
reaceso	ɾˈɛɐsˈezw
reacional	ʁˌeɐsˌiunˈɑl
reacionar	hˈeˈeɣiːsjˈunˈɑɹ
reacionarismo	ʁˌiɐ̃sˌiunɐɾˈˌiʒmw
reacionarista	hɛɾʃˌoːnˈɑliːstə
reacionarístico	ʁˌiɐ̃sˌinɐɾˈiʃtikˌu
reacionismo	ʁˌiɐsˌiunˈiʒmʊ
reacionista	ɾeˈaθioŋˈistˈɛ
reacionário	ɛaːsjʊnˈaɾjʊ
reacionístico	taɕuːnistʃikɯ
reacomodado	ɾeakomodadu
reacomodar	ɾɨɐkˌumudˈaɹ
reacomodação	ɾɨakomudɐsˈɐ̃ʊ̃
reactância	ʁˌeɐtˈɐ̃ŋsjɐ
reacusado	ɛˌɐkuzˈadw
reacusar	ɾɨakuzˈaɹ
reacusação	ɾˌiɐkuzɐsˈɐ̃ʊ̃
reacção	ˌɛˈɛnˈaɪllˈɑ
readale	rˈɛadɐlˈɛ
readaptabilidade	ʁˌeɐdˌɐptɐbˌilidˈadɨ
readaptado	ɾɨɐdˈapɨtˈadʊ
readaptador	ɾɨɐdɐptadoɾ
readaptar	ʁˌeɐdɐptˈaɹ
readaptação	ʁˌeɐdɐptɐsˈɐ̃ʊ̃
readaptável	ʁˌeɪɐdˈaptˈavˌɛl
readequar	ɾɨadqaɾ
readequação	ʁˌeɐdɨkwɐsˈɐ̃ʊ̃
readjudicado	ʁˈadˈɪʒˌudikˈadʊ
readjudicar	ʁˈadɨʒˌudikˈaɹ
readjudicação	ʁˌiɐdɨʒˌudikɐsˈɐ̃ʊ̃
readmissão	ʁˌeɐdimisˈɐ̃ʊ̃
readmitido	ʁˌeɐdmitˈidʊ
readmitir	ʁˈɛɹdɨmɪtˈiɹ
readormecer	ʁˌeɪɐdˌɔɾəmˈɛsɨɹ
readormecido	ɾɨˌɐdˌuɾəmɨsˈidw
readotar	rˌeɐdˌutˈaɹ
readoção	ʁˌeadʊsˈɐ̃ʊ̃
readquirido	ɾɨɐdˈikɨlˈidu
readquirir	hˈɛjˈədʒtˈɛɹiːv
reafirmado	ɾɨɐfiɾəmˈadʊ
reafirmar	ˈʌfɹɪmˌaɹ
reafirmação	ɾɨɐfiɾəmɐsˈɐ̃ʊ̃
reafirmou	ˈxajafixmˈov
reafixado	ɾɛɐfˈisadˈʊ
reafixar	ɾˌeɪɐfˈiʃtˈaɹ
reafixação	ʁˌɛɐfiksɐsˈɐ̃ʊ̃
reaforamento	hæɾfæɾˈɑmˌeːn
reafretado	ɾɨɐfˈɾɨtˈadʊ
reafretar	ɾɛaafɾetaɾ
reage	ɾɨaʒi
reagem	ʁeˈaʒeɪŋ
reagente	ɛaʒˈeɪŋtɨ
reagia	ˌɾeɐʒˈiɐ
reagido	ʁˈeaˈʒidˈɒ
reagimos	ʁˌeɐʒˈimʊʒ
reagina	ɾɨɐʒinɐ
reagindo	ɾˌiɐʒˈiŋdʊ
reagir	ʁˌeɐʒˈiɐ
reagiria	ʁˌeɐʒiɾˈiɐ
reagiu	aɣo
reagradecer	ʁˌiɐgɹɐdɨsˈeɹ
reagravado	ɾɨˌɐgɾɐvˈadw
reagravar	ɾɛaːgɐɾɐbɐɣaɾ
reagravação	ʁˌiɐgɹɐvɐsˈɐ̃ʊ̃
reagrupado	ɾɨˌɐgɹupˈadw
reagrupamento	ʁˌiɐgɹupɐmˈeɪŋtʊ
reagrupar	ʁˌiɐgɹupˈaɹ
reagruparam	ɾˌiɐgɾupˈaɾɐ̃ʊ̃
reais	χijajʃ
reajo	he
reajuntamento	ɾɨɐʒũŋtɐmˈeɪŋtʊ
reajuntar	ɾɨɐʒũŋtˈaɹ
reajuntável	ɾɨɐʒuŋtˈavˌɛl
reajusta	xajaa
reajustado	ʒʊʃtˈadʊ
reajustados	ʁˌeɐʒuʃtˈadʊʒ
reajustamento	ʁˌiɐʒˌuʃtɐmˈeɪŋdʊ
reajustar	ɹɐʒʊstˈaɹ
reajuste	riadʒusti
reajuste salarial	ɾɨɐʒwʃtʊ isˌɐlˌaɾiˈaʊ
reajustei	ʁɨɐʒʊstˈeɪ
reajustes	ʁeaʒustis
reajustável	ɾɨˈaʒuʃtˈavˌɛl
real	tʃl
real academia espanhola	ʁeˈɐ̃ʊ̃ ˌɐkɐdɨmˈiɐ ˌispaɲˈɔlɐ
real hospital português	ʁeˈɐl aʃpitˈɑl pˌuɾətugˈeʃ
real madrid	ɣəˈal mə drˈit
realargado	ɾɨɐlˌɐɾəgˈadʊ
realargamento	ɾɨɐ̃ʊɾəgˈɐ̃umˈeɪŋtˈo
realargar	hˈɛɐlɐɹgˈaɹ
realce	ʁˌeˈaʊsɨ
realdade	ʁˌiɐldˈadɨ
realegrar	ɾɨɐ̃leˈgɹˈaɹ
realegre	ɾˌiɐlˈɛgɹɨ
realejar	ʁˈealʒˈaɪʒ
realejo	ɾɨɐʎɨʒw
realengo	xe̞jælæjˈængu
realentado	ʁˌiɐlˌeɪŋtˈadʊ
realentar	rˌealˈɛntɐɾ
realeza	ɾɨɐ̃lˈizɐ
realezense	ɾɨɐ̃lˈɛsˈeɪŋs
realgar	ɾɨɐlgˈaɹ
realidade	ʁˌeɪɐlidˈadɨ
realidade virtual	ʁˌiɐlidˈadɨ vˌiɾətuˈɑl
realidades	ʁˌeɐlidˈadɨ
realimentador	ʁˌiɐlˌimˌeɪŋtɐdˈɔɹ
realimentar	ʁˌealimˌeɪŋtˈaɹ
realimentação	ʁˌeɐlimˌeɪŋtɐsˈɐ̃ʊ̃
realinhado	ʁˌiɐliɲˈadʊ
realinhamento	ɾɨɐ̃ljŋɐmˈeɪŋtʊ
realinhar	ɾˌeɐliɲˈaɹ
realismo	ɦijɑlɯjiʒmuu
realista	ɾealistɐ
realistado	ʁˌiɐliʃtˈadʊ
realistamento	ˌealɪstɐmˈeɪŋtʊ
realistar	ʁˌeˈalistaɾ
realisticamente	ɾealˈiʃtikɐmˈeɪŋtɨ
realiza	xˌiˌalˈiz
realizabilidade	ʁˌiɐlizɐˌɐbilidˈadɨ
realizada	ʁˌiɐlizˈadɐ
realizado	ʁˌeɐlizˈadʊ
realizador	ʁˌeɐlizadˈoɹ
realizam	χɛjˈlɛiːzˌe
realizando	ʁˌiɐlizˈɐ̃ŋdʊ
realizar	hejalisˈlɑr
realizar-se	ˈealizˈaɾˈsi
realizara	ɣeˈalizˈaɾɐ
realizaram	ʁˌeɐlizˈaɾɐ̃ʊ̃
realizardes	ʁˌiɐlizˈaɾədɨʒ
realizareis	ʁˌiɐlizɐɾˈeɪʒ
realizarem	ʁˌeɐlizˈaɾeɪŋ
realizará	ɾɨɐlizˈaɾɐ
realizava	xæjˈliːzæhˈvæm
realização	ʁˌiɐlizɐsˈɐ̃ʊ̃
realizações	ʁˌeɪɐlˌizɐsfˈõjʒ
realizo	ʁˌiɐlˈizʊ
realizou	ʃˈaʃalizˈow
realizáveis	hejlizaviz
realizável	ɛɐlˈizˈavˌɛl
realmente	χijɑlmɛnt
realugado	ɾɨɐlˌugˈadʊ
realugar	ʁˌiɐlugˈaɹ
realumiar	ɾɨɐ̃lˌumˈjɐɹˈ
realvorecer	ɾɨɐ̃lɨʊ̃vˌɔɾiseɹ
realçado	ʁˌiɐlsˈadʊ
realçamento	ɾɨɐlsˈɐ̃mˌeɪŋtʊ
realçar	rˌeɪɐlsˈaɹ
realço	ɾɨˈɑls
realístico	ʁˌiɐlˈiʃtikʊ
reamanhecer	æɾmænjɛseɾ
reamar	ˈeɪɑmɑː
reandar	esãnð̞eɾ
reanexado	rˌiɐnɨksˈadʊ
reanexar	ohiːkˈseɾ
reanexação	ʁˌiɐnɨksˈɐsˈɐ̃ʊ̃
reanimado	ɾeanimadw
reanimador	ɾeanimator
reanimar	xjɑːˈniːmaːr
reanimara	ɾɨɐ̃nimɐɾːɐ
reanimasse	ɾeɣunimasj
reanimação	ʁˌianimɐsˈɐ̃ʊ̃
reaparecer	ʁˌiɐpɐɾɨsˈeɹ
reapareceu	ɛapaɾesseʊ
reaparecido	ɾˌɐpɐɾɨsˈidʊ
reaparecimento	ʁˌepɐɾɨsimˈeɪŋtʊ
reaparição	ɾɨɐpɐɾisˈɐ̃ʊ̃
reapertado	ɾɨɐpˌeɾətˈadʊ
reapertar	rɨapɐɾətɐɾ
reaperto	hˈɛɹpˌeɾ
reaplicado	ɾˌiɐplikˈadʊ
reaplicar	ʁˌeˌaplikˈaɹ
reaplicação	ʁˌeɐplikɐsˈɐ̃ʊ̃
reapoderar-se	ɾɨɐpˌudɨɾˈaɹsɨ
reapossado	ɾˈɑːpʊʃˈadʊ
reapossar	ɦeapɔsɑɾ
reapreciado	ɛapɾɨsiˈadʊ
reapreciar	ɾeˌapɾisiˈaɹ
reaprender	hˈiˈɔpəlinðeəɹ
reaprendido	ɾɨɐpɹeɪŋdˈidu
reaprendizado	ɾˌɐpɹɨŋdizˈadʊ
reaprendizagem	ɾɨapɹɨŋdisaʒˈeɪŋ
reapresentado	ɾɨɐpɹɨzeɪŋtˈadu
reapresentar	ɾɨɐpɹˌezɨntˈaɹ
reapresentação	ɾɨɐpɹˌezɨntɐsˈɐ̃ʊ̃
reaprisionado	ɛapɾizunadʊ
reaprisionar	ɾɛapɾˌizõnˈaɹ
reaproveitado	ɾɛɐpɹˌuvɨitˈadʊ
reaproveitamento	ʁˌɨɐpɹuvˌeɪtɐmˈeɪŋtʊ
reaproveitar	rˌiɐpɹuvˌeitˈaɹ
reaproveitou	ʊpɪɐpɾˌuzɨitˈow
reaprovisionamento	eaprovizonamɛnt
reaprovisionar	ɾɨɐpˈɔvizõˈnɐɹ
reaproxima	ʒˈɛprʌsˈimɛ
reaproximado	ʁˌiɐpɹusimˈadʊ
reaproximar	ʁˌiɐpɹusimˈaɹ
reaproximação	ʁˌepɹusˌimɐsˈɐ̃ʊ̃
reaquecer	hˈəˈɛ
reaquecido	ɾɨakˌesˈsidʊ
reaquecimento	ʁˌeakɨʃimˈeɪŋtʊ
reaquisição	ʁˌɨɐkizisˈɐ̃ʊ̃
reaquistar	hæˈakˌstˈɑr
rearborizado	ɾˌeɐɾəbˌuɾɨzˈadʊ
rearborizar	pˈɛɹbˈɑdɪzˈɑɹ
rearborização	ʁˌeɐɾəbˌuɾˌizɐsˈɐ̃ʊ̃
rearmado	ʁˈeɪʒaɾəmˈadʊ
rearmamento	ɾɨɐ̃ʁmɐmˈeɪŋtʊ
rearmar	hɪ̞ɑɾmɑɾ
rearquitetar	heaɾketet̪aɾ
rearranjado	ʁˌeɐʁɐ̃ŋʒˈadʊ
rearranjar	ɾɨɐ̃ʁanʒˈaɹ
rearranjo	ɾɨɐ̃ʁɐ̃ŋʒw
rearranjável	ɾɨˌɐʁɐ̃ŋʒˈavˌɛl
rearrumar	ɾɨɐ̃ʁˌumˈaɹ
rearticular	ɾɨaɾtikulɐɾ
rearticulação	ʁˌeˌaɾətikˌulɐsˈɐ̃ʊ̃
reascender	hˈiˈɑːsˈɪnðeəɹ
reassegurado	ɛˌɐsɨguɾˈadw
reassegurar	ɾɨɐ̃sˈɛguɾˈaɹ
reassenhoreado	ˌɛɐseɪŋˌɔɾɨˈadw
reassenhorear	ˈeɪˈeɪˈsinˈɔtðeɪeə
reassentado	ɾɨɐsˈeɪŋtadɔ
reassentamento	ɾˌiɐseɪŋtɐmˈeɪŋtʊ
reassentar	ɾˈeɪɐsˈɛnˈtˈaɹ
reassimilado	ʁˈɛsɨmˌilˈadʊ
reassimilar	ʃeasɪmɪlɐɾ
reassimilação	ɾˌiɐsimilɐsˈɐ̃ʊ̃
reassinado	ɾˌiɐsinˈadʊ
reassinar	hˈˈeˈakˌiŋˈɐ
reassistia	heasistʃie
reassociado	ɛasˌusˌeˈadʊ
reassociar	ɾˌiɐsˌusiˈaɹ
reassociação	ɾɨɐsuˌisɪɐsˈɐ̃ʊ̃
reassoprado	ˌɛɐsɔpɹˈadw
reassoprar	ɛasɔpɾaɾ
reassumido	ɾˌiɐsumˈidʊ
reassumir	riasumir
reassunção	ɾˌiɐsuŋsˈɐ̃ʊ̃
reatado	ʁˌeatˈadʊ
reatadura	ɣeiaestaduɾe
reatamento	ʁˌeatɐmˈeɪŋtʊ
reatar	ɦɛatæ
reateado	ʁˌeatˌeˈaðʊ
reatear	hˈeɪeɹtˈeɪɚ
reatentar	atĩŋt̪aɾ
reatestado	ɾɨɐtˈeʃtˈadʊ
reatestar	hijatˈistˈar
reativado	ʁˌeɐtivˈadʊ
reativador	ʁˌeɐtˌivɐdˈoɹ
reativamente	ʁˌeɐtˌivɐmˈeɪŋtɨ
reativamento	ʁˌeɐtivˌɐmˈeɪŋtʊ
reativante	ɾɨatɨvɨnɨs
reativar	ʁˌeɐtivˈaɹ
reativasse	ɾˌeɐtivˈaɾ
reativação	ʁˌeɐtˌivɐsˈɐ̃ʊ̃
reatividade	ˌeɪɐtˌivˌidˈadɨ
reativo	ʁˌeɐtˈivʊ
reativável	ʁˌiɐtivˈavˌɛl
reatiçado	ɾˌeatiʃˈadʊ
reatiçar	hˈɪətsˈɚ
reato	ʁeˈatʊ
reator	ɦɛatur
reatorizado	ʁˌeɐtˌuɾizˈaðʊ
reatorizar	ɾˌɛɐtuɾizˈaɹ
reatorização	ʁˌiɐtulˌizɐsˈɐ̃ʊ̃
reatou	xe˥˩to˥˩
reatualizar	ɣˌiɐtˌɔɐlˈizɐɹ
reatualização	ʁˌeɐtuɐlˌizɐsˈɐ̃ʊ̃
reatulhar	ʁeatuljˈaɹ
reatância	ʁˌeatˈɐ̃ŋsjɐ
reavaliada	xˌiɐvˌɐʎˈˈadɐ
reavaliado	ɾˌiɐvˌˌliˈadʊ
reavaliador	ɾɨɐvˈalɨɐdˈoɹ
reavaliar	æˈævæliːˈɑːr
reavaliação	ʁˌeˌavˌɑlˌiɐsˈɐ̃ʊ̃
reaver	ʁeːrðˈiːr
reaviado	ɾɨavˈiɐdʊ
reaviar	xe̞jɒːviːe̞ɾ
reavir	hˈɛɹvjˈɛɹ
reavisado	ʁˌɨɐvizˈadʊ
reavisar	hˌiɐvizˈaɹ
reaviso	ʁˌiɐvˈizʊ
reavivado	ɾeavivˈadʊ
reavivamos	ɹɨɐvˌivɐmˌuz
reavivar	eslatifa
reaviveis	ʁˌɨɐ̃vivˈeʃ
reavultar	ɾɨɐvˌultɐɹ
reaça	re̞assa
reação	ɾˌiɐsˈɐ̃ʊ̃
reação em cadeia	ʁˌiɐsˈɐ̃ʊ̃ ˌeɪŋkɐdˈeɪɐ
reação química	ʁˌiɐsˈɐ̃ʊ̃ kˈimikɐ
reações	ʁˌeɐsˈõjʒ
reações adversas	ʁˌiɐsˈõjʒ ɛ dˌivˈɛɾəsɐʒ
rebaixadamente	ʁˌebɐɪʃˈadɐmˈeɪŋtɨ
rebaixamento	ʁˌebˌɐɪʃʊˌɐmˈeɪŋtʊ
rebaixar	xe̞baiʃx
rebaixaria	ɾɨbaɪʃaɾiːɛ
rebanho	eβanʝa
rebate	ɣ̞evat̪e
rebater	hebateːr
rebatera	ebatˈeɾə
rebateu	hebateo
rebatida	ɾɨbatˈidɐ
rebeca	ɦɛbɛkə
rebeca andrade	ʁˌebˈɛkɐ ɐnˈdɹadɨ
rebecca neaera abers	jˈbekə niˈaeɾ ˈɑbɛɾz
rebelado	ʁˌebɨlˈadʊ
rebelar	migːbeːlˈla
rebelde	ʁˌebˈɛldɨ
rebeldes	ˌɾebˈɛldɨʒ
rebeldia	ˌɾɨbˈɛʊdˈiɐ
rebelião	ʁˌebiliˈɐ̃ʊ̃
rebeliões	ʁˌebɨʎˈõjʒ
rebelão	hebeloŋ
rebenque	χʲeˈbenki
rebenqueado	ɾɨbˌeɪŋkˌeˈaðʊ
rebenta	ɣ̞eβ̞ẽn̪t̪a
rebenta com	xˈbɪntˈɛ kɔm
rebentadiço	ɾɨbeɪŋtˈadˈisʊ
rebentar	revenat̪aɾ
rebentação	ʁˌebˌeɪŋtɐsˈɐ̃ʊ̃
rebentino	ɾɨbˌeɪŋtˈinʊ
rebento	ʁˌebˈeɪŋtʊ
rebimboca da parafuseta	ɾɨbiŋbˈɔkɐ dɐ pˌɐɾɐfuʒˈetɐ
rebitadeira	ɾɛbitadɨiɾɐ
rebitar	ɣ̞ebet̪aɾ
rebite	ɛbˈitʃɪ
rebobinário	ʁˌebˌubinˈaɾjʊ
rebocador	ɣbukadɔr
rebocar	ʁˈbˌokˌa
reboco	ajbokɔ
rebojo	ɛbˈoʒʊ
rebolada	xeboˈlɑtˈa
rebolado	ɾɨbˌulˈadʊ
rebolal	ʁˌebulˈaʊ
rebolar	xe̞bɑlɑx
reboldosa	ɾˌebˌldˈɔzɐ
reboliço	reboliozsʊ
rebolo (substantivo)	hebolu
rebolo (verbo)	ɦɛb bɔrɔ
reboque	ʁˌebˈokɨ
rebordo	χʲebbaɣaħhju
rebordosa	ʁˌebʊɾədˈɔzɐ
rebordões	ɾˌebˈˌuɾədˈoɪŋʒˈ
rebotalho	rɨbˈotˈaʎʊ
reboucense	ɹˌevusˈeɪŋsj
rebouças	ɣˈeposɛz
reboxetina	ɾebuxɨtʃˈenɐ
rebu	ʁebˈu
rebuliço	ɛbˌulˈiʃsʊ
rebuscado	ʁˌebuʃkˈadʊ
rebuscamento	ʁˌebˌuskɐmˈeɪŋtʊ
rebuscar	rɛbˈuskɐɹ
rebuçado	ɾɨmusˈadʊ
rebuçados	χʊ̞bsadʒ
rebuçar	ɾˈebwsɐɹ
reca	ʁɛkˈɑ
recadastrar	teːrˈkʲadˈɛstːɾˈalˈ
recado	ɾəkˈadʊ
recados	rikadɔs
recaidiço	kɨkɐɪdˈisʊ
recair	hikːaj
recalcada	ɾɨkˈalkˈadɨ
recalcado	ʁˌekˌawkˈadʊ
recalcar	ɣeːkaukaːr
recalcificação	ʁˌikˈaʊʃɪfˌikɐsˈɐ̃ʊ̃
recalcitrante	nɨkˌɐʊsidˈuɹəntʃtˈi
recalcitrantes	reˈkauʃitɾˌɐtˈis
recalcitrar	ekalsjð̞ɾa
recalcitrância	ækau̯sjtɾnsi
recalculando	ɣɯkɑlkuɫwɑntu
recalque	hikau
recamado	ʁˌekɐmˈadʊ
recamar	akuma
recambiar	pembia
recanalização	ʁˌekanˌɐlizɐsˈɐ̃ʊ̃
recanto	ʁekɐntw
recapitular	ʁˌekapˈitulɐɹ
recapitulativo	ʁˌekapˌitulˈativʊ
recapitulação	ʃˈɛtʃɐpˌulɐsˈɐ̃ʊ̃
recarga	ʁˌekˈaɾəgɐ
recarregado	ʁˌekaʁɨgˈadʊ
recarregador	ʁˌekɐʁɨgɐdˈoɹ
recarregar	ʁˌekɐʁɨgˈaɹ
recarregava	ʁˌekɐʁɨgˈavɐ
recarregável	ʁˌekɐʁɨgˈavˌɛl
recatadamente	t̪ekat̪að̞amiɣ̞
recatado	rˌekatˈadʊ
recato	ɦɛkat
recauchutagem	ɾɨkˈaʊʃwtˈaʒˈeɪŋ
recauchutagens	ekau̯sot̪a�ɣ̞es
recaída	χˈekːajðˈ
receais	ɾɨsˈeaiʃ
recear	ɾəˈsɪɐɹ
receava	ɣˌɛsˌeˈaːvɐ
receba	ɣˈesˈɛba
receba o melhor	jxseb omlʲaɾ
recebais	ɾɛsˈɛbais
recebam	ʁˌesˈebˈaʊ
recebamos	ɣˌeʃˈɛbɐmˈuz
recebas	χʲisʲtʲebɨs
recebe	ɢɛsæb
recebeis	χʲisʲibɒjiʃ
recebem	χʏ̞sæbæj
recebemos	ɹɨkɨbˈemʊʃ
recebemos a notícia há alguns minutos	ʁˌesɨbˈemʊʃ ɐ nˌutˈisjɐ ˌɑlgˈũŋʒ mˌinˈutʊʒ
recebendo	essebejˈɑnˈdˈu
receber	xsb
recebera	ɾɨsɨbˈeɾɐ
receberam	ɾɨsɨvˈeɾɐ̃ʊ̃
receberas	ɾɨsɨbɨɾes
receberdes	ɾɨsɨbˈeɾədˌeʃ
receberei	pˌeθibˈeɾeɪ
recebereis	rˌesɨbˈeɾɨʃ
receberem	ɾɨsɨbɨɾeɪŋ
receberemos	ɣeˈsjbeˈriːɐmˈuz
receberes	ɾɛsebeɾɨs
receberia	ɾɨsɨbˈeɾiːɐ
receberiam	ɾɨsɨbˈeɾˈiam
receberias	ɛsɨbeɾies
recebermos	ʁesɛbˈiʁmˈws
receberá	kɛsɨbɪraː
receberás	pɾˌesˌibɨɾˈaɪʃ
receberão	ɾɨsɨbɨɾˈɐ̃ʊ̃
receberíamos	ɾɨsɨbˌeɾˈiɐmʊʒ
receberíeis	xæsbæɾijæjs
recebes	χɯ̞sːɛpʃ
recebesse	ɾɛseβɛsj
recebessem	ɾɨsˈɛbɨɾˈɛsɨ
recebesses	ðˈɛsɨbˌeʃis
recebeste	fessebˈeʃtɨ
recebeste-me	ˈɛzˈɛˈdeɪsɪbɪ
recebestes	ɾesebeˈstis
recebeu	ɾɨsɨbɨu
recebi	ʁɛsəbi
recebi uns dez telefonemas	ɾɨsɨbˈiʊ uʒ dˈeɪʒ tˌelɨfənˈemɐʃ
recebia	essebˈiə
recebiam	ʁˌesɨbˈiɐ̃ʊ̃
recebias	ɣˈɛsʁɛbˈje
recebida	pˌeθeβˈiðɐ
recebidas	esepidas
recebido	χɛsˈɛbjdə
recebidos	ɾˌesɨbˈidʊʒ
recebimento	ʁˌesˌebimˈeɪŋtʊ
recebo	ɣəsib
recebêramos	ɾɨsɨbˈeɾɐmʊʒ
recebêreis	ɾɛsebeɾes
recebêsseis	ɾɛsɨbɛsejs
recebêssemos	χʏ̞sʏbʲesʏ̞mʏ̞ʂ
recebíamos	ɾe̞sɪbjˈemʊis
recebíeis	pɾesəbjˈejs
recebíveis	ɾɨsɨbˈiveis
recebível	esebild
rececionista	ʁˈɛsɐsjˈonˈistˈa
receia	resˈseje
receiam	ɾɨsɨjˈɐ̃ʊ̃
receias	nesˈeje
receio	xsai̯m
receios	ɣesseus
receita	ʁesˈeɪtɐ
receita federal	ʁˌesˈeɪtɐ fˌedɨɾˈɑl
receitar	ɾɨseitˈaɾ
receitas	ɾɛsejtʃ
receitasse	hesejtas
receito	ɾɛseitʊ
receitou	χsɛtˈɔ̃
receituário	ʁˌesʊˌiŋtˌuɐɾˈiʊ
recende	ɾɨsˈeɪŋdˈɛ
recender	essejmdew
recendia	ɾɨsˈeɪŋdˈiˌɐ
recendir	esemdˈiɾ
recenseador	ʁˌesˌeɪŋsiɐdˈoɹ
recenseamento	resenθiamɛnto
recensear	ɦˈɛɹsɪŋsˈɛɹ
recente	ɣəsˈɛnt
recentemente	χɛzzɛntment
recentes	hjsintes
receosas	xɨzjɑːzæʃ
receoso	ʁˌeseˈozʊ
receosos	xɒsjɒz
recepcionar	pʁeskepsjɔnˈaʁ
recepcionista	prassaˈsimniʃta
receptador	χusˈɛtlɛr
receptadores	rˌeskeptɐdˈoɾɨʒ
receptar	ɾɛsepta
receptação	ʁˌesˌepɪtɐsˈɐ̃ʊ̃
receptiva	ʁekeptiva
receptivo	ʁekeptivo
receptivos	ʁɨsɛptivuz
receptor	nʃepːtˈoɾ
receptores	ʁˌesɨptˈoɾɨʃ
receptáculo	ɾesˈepːɪtaˈklɯ
receptível	ʁˌesɨptˈivˌɛl
recepção	resesˈaːl
recesso	ɢθæs
recesso forense	ɾɨsˈɛsʊ flˌuɾˈeɪŋsj
recessão	ʁˌesɨsˈɐ̃ʊ̃
receção	ʁˌesɨsˈɐ̃ʊ̃
rechaçado	ʁˌeʃɐsˈadʊ
rechaçar	χajɑʃastʃaɫɑr
recheada	ɣˈeʃiˈadɨ
recheadas	ɾɨʃeaðes
recheado	xʃiːzænæm
recheados	ɣ̞ɒʃeað̞ʊ̞s
rechear	hˌɛˈʃˌaɪˈɑ
rechega	ɾɛʃɛʒɐ
recheio	peʃeju
recheio da casa	ɾɐʃˈeɪʊ dɐ kˈazɐ
recheio de creme	al iʃe i ʋɛ kɾemɛ
recholheremos	ɾekoʎeɾemos
rechonchuda	rɨʂɛŋʃudɐ
rechonchudo	aʃoʃoɾdu
recibo	he̞s̺ibu
recibo de vencimento	ʁˌesˈibʊ dɨ vˌeɪŋsimˈeʊtʊ
reciclagem	ɾˌesiklˈaʒeɪŋ
reciclar	hisitʃi
reciclavel	ʁˌesiklˈavˌɛl
recicláveis	ˈesjklˈazˈʃ
recidiva	resiðiva
recife	ɾɛsifɪ
recifense	ʁˌesifˈeɪŋsj
recifes das timbebas	ɾɨsifɨs dɐʒ tɨm bɛbɐs
recinto	ɾɨʒyŋtʊ
recipiendário	fˌɾɨʃipˌiɨŋdˈaɾəw
recipiente	ɾɾɛsipjˈɛnte
recipientes	ɾˌeskɪpjˈɛntes
reciprocamente	ɾɨsipɾukɐ̃ˈmeɪŋtɨ
reciprocar	jˈɛstsˈɪpˌɾɔkˈaɾ
reciprocidade	xajsiproseðadɛ
recitado	ɾˌesitˈadʊ
recital quinquelíngue	resi taukinkue lingvɨ
recitando	ʁˌesitˈɐ̃ŋdʊ
