!	tɕam˧˧tʰaːn˧˧
"điện ảnh"	bjˈɛ̃
tại sao bạn đi?	tai˧˩˨ saːw˧˧ ban˧˧ di˧˧
tại vì	a
tạm	tˈɑ̃
tạm biệt	tã˥˩lm˧˧b�ʔ
tạm dừng	tãm˧˧ zɤ̆ŋ˥˩
tạm ngừng	tɛm˧˧ ɲɯ̄˨˩ŋ˧˧
tạm thời	tap˨˩ tʰɤ˧˥
tạo	mau̯
tạo phước đức	tɑʊ˨˩˦ tʃ˨˩˦kluːk˥
tạo ra	tɑːp˥raː˥˩
tạo vật	aː˧˧
tạp chí	taːkːiː
tạp chí	tap̚˦˥ xĩ˧˥
tạp dề	ʔtpje̞
tạp hóa	tap˨˩hwa˥
tải	tài˨˦
tải về	tʰɤ˧˥ ve˧˧
tải xuống	tai˥˥su˥˧
tảng đá	taŋ˧˧ daː˧˧
tảo mộ	tau˨˩mok˦
tấc	t̪ɐ
tấm	dˈɑ̃
tấm hình của 1 đứa bé trên cửa tủ lạnh,	tɤm˧˧ hɪŋ˧˧ ko˧˩˨ mɯtbɛ˨ˀ˩ʔ bɛ˧˧ cen˧˧ kɯə˧˩˨ lu˧˨ lɑŋm˧˨
tấm lòng	tam laoŋ
tấm thảm	tɐm˧˥
tấm vé	tˈɑm vˈe
tấn	̪t̪ɐ̃ŋˌ
tấn beo	nãn˧˧ be˧˧l
tấn công	tɤ̆ŋ˧˧ kõŋ˧˧
tất	tap
tất cả	atsʲka
tất cả hết bao nhiêu vậy?	tɤt˦˥ ka˧˩˨ hɛt˦˥ pa˧˧ nhiəw˧˧ văj˧˨
tất my ly	tɐkiliː
tất nhiên	t̪at̪ n̪en̪
tất niên	t̪aːn̪iːjɪn
tầm	tɐm˥˥
tầm cao	sam˨˩ ka˥˥
tầm ngắm	t̪ãm ɣ̞am
tầm ngắn	tɐ̃m˥˩ŋan˨˩
tầm nhìn	samn˥˩iːn˥˩
tầm quan trọng	tɤ˧m˥˩ kwãn˥˥ tʃɑm˨˩˦
tầm thường	tɤ˥m˥˩ʔtʰɯə˥˩ʔam
tầm thấp	m˥˩pʰap˥
tầm trung	tãm˨˩m˧˧tsʊŋ˥˥
tầm tã	ta˥˥m̩˨˩ta˧˧
tầm xa	sɑːm˥˩sæː
tần	dãŋ
tần thủy hoàng	taŋ˨˩tʰʰɪ˨˩ haː˥˥
tần ô	tˌɛnˈhˈoʊ
tầng	tɑːm
tầng bốn	t̪ãŋ bon
tầng hai	gɤŋ˨˩˦ haj˧˧
tầng lớp	tɑŋ˨˩˦nɑ˥˩
tầng mấy?	toaːŋ˨˩ʔhm˥˩
tầng thượng	tɤ˧˥
tầng trệt	ənd̪ʒaː
tẩy chay	tɯ̞j˧˧ tʃaj˧˧
tận	pŋ˥˥
tận dụng	tə zʊŋ
tận hưởng	tãŋ˨˩ hœ˨ŋ˥˧
tận tay	tɐŋ˥˥ tai˥˥
tận thế	tɐn˧tʰɛː˥
tận tâm	tɑt˥m
tập	tap
tập dượt	tɕap˦˥ zʝrt˦
tập huấn	la rˈon
tập thể dục	tăt˧˧ tʰɛː˧˧ zuk˨˩˦
tập trung (集中)	tap̚˦˥tsʊŋ˥˩
tập tành	tɑ˥˥p̚˨˩tan˥˩
tập đoàn	tap˨ luən˥˧
tập đoàn quân	tap do an kun
tật	tˈæts
tắc	ˈɑ
tắc kè	takːeː
tắc kè giống	ták˨ kɛ˧˧ zɔm˨˦
tắc mực	ták̚˥˩mɯk˥˩
tắc nghẽn	ták˨˩ ŋɛ˧˧˧
tắc đường	tăk˧˧ dɯəŋ˧˧
tắm	tɐm˧˧
tắm bùn	tãmbum
tắm nắng	t̚˨˩am̩
tắm rửa	tãm˧˧ rɯə˧˧
tắm suối nước nóng	tãm˧˧ soj˧˧ nɤk˨ˀ˩ nõŋm˧˧
tắt	tap
tắt thông báo	tap˨ˀ˥ tʰuŋ˧˧ pâu˨ˀ˩
tắt thở	tap˦˥tʰaʔ˨
tắt đèn	tɑt˥˥deːn˧˧
tằm	am
tằn tiện	tɑːn˩˩˦ʔtɑjɔːn˥
tằng	dāŋ˥˩
tặc tử	tata
tặng	tɑŋ
tặng quà	táŋ˨˩ua̯˧˧la˥
tẹo	tɤ˧˥w˧˥
tẻ	sì˧˥
tế	dˈɛ
tế bào	te˨˩ balˈ
tế lễ	laiːlaiː
tế nhị	tɛːn˥nei̯˩˧
tết	dæŋ
tết dương lịch	tɛntsɑβlik
tết mậu thân	ne̞t̚˨˩mŋ˧
tết nguyên tiêu	tɛk mɪn tio
tết nguyên đán	tɛt˨ˀ˩ ɲjɛn˧˧ dan˧˧
tết trung thu	tɛt˧˧ uŋ˧˧ tʰu˧˧
tệ	tɛː˧˥
tệ hơn	tʰɔ̀ːn
tệ nhất	tɛ˧˧ njat˦˥
tỉ	t̪eːiːj
tỉ giá	tɑ˥˥
tỉ lệ	tʰjˈ˩
tỉ lệ nghịch	tɯ̞˨˩ lɛ˧˧ ŋɛ̀ːk˨
tỉ lệ nội địa hóa	ti˧˩ le˨ˀ˩ noj˧˩˨ diə˧˧ xwa˧˧
tỉ lệ thuận	ti˥˧le˨ˀ˦tʰɔː˨˦i˥˧
tỉ phú	tʰiː˧˥
tỉnh	saĩ˥˩m̩˨
tỉnh bơ	enba
tỉnh giấc	teŋ˨˩sɤ˥˩
tỉnh lại	tən˨˦ laj˨˩ʰ
tỉnh lộ	ʔt̚˨˩ŋ˧hl˧
tỉnh quảng nam	tɤ̆n˧˧ kwãn˨˦ nam˧˧
tỉnh thức	tɤ̆n˧˥ tʰɤ̆k˥
tỉnh táo	tɐŋt˧aːw˧
tỉnh từ	t̪eɾjo t̪alw
tịch thu	tˈɛstəl
tịnh	se
tịnh độ	tĩŋ˨˩ do˧˧
tọa thiền	d̪e t̪ɾĩŋ
tọc mạch	tɔːp˥mat˥
tỏ ra	tɔːraː
tỏ ra sáng suốt	tʰaːrraːsa˨˩aː˧n˧n˧tɕʰot˦˥
tỏ tình	to˧˧tiŋ˥˧
tỏi	tɑ˧˥
tố	dˈɑ̃
tố cáo	tʊ˧˧ka˥˥w˧˧
tố hữu	tɔ˧˥hou˨˦
tốc độ	tɔpˈnɔk
tối	ˈɑ
tối giản	toj˧˧ jiẽn˨˩
tối mai	tʰɔj˧˧maːj˧
tối màu	tɐʊ̃j mˈaʊ
tối nay	tŏj˧˧ naj˧˧
tối thiểu	tʰiːu̯˧˥
tối đa	tʰj˩˩˦ bɛː˥˩
tối đa hóa	tɔj˧˨ da˧˧ hoa˧˧
tối ưu	toj ɤw˧˧ toj ɤw˧˧
tốn	laɔn
tốn hơn	ˈɑn hˈɑn
tốn kém	tʊŋkeŋ
tốn thời gian	la tʰɑːiː zæn
tống	tɤm
tốt	tɔp
tốt bụng	tɔ˧t̚˨˩ bʊŋ˧˧
tốt hơn	tɔ˧t̚˧ hɤn˧˧
tốt nghiệp	tɔp
tốt nghiệp.	tolʲnʲip
tốt nhất	tɔ̀t̚˥˩ ɲat̚˨˩
tốt đẹp	t˧ɔ̀t˧ ˧ ðẽb˨ˀ˩
tồ	tɔːl
tồi	toi˨˩
tồn kho	fɑː
tồn tại	tɔːn˧tai˥
tồn đọng	ton˧˧ dap˦˥
tổ	tou˥˩
tổ chim	tʰau˧˧tsĩ˥˧im˥˧
tổ chức	t˥o˥˩m˧˥tɕjˈul˨
tổ chức y tế thế giới	tàu˧˩˨ tɕrɤk˧˩˨ i˧˧ tɛ˨˦ tʰe˧˩˨ʔe˧˨
tổ hợp	tɔː˥haː˨
tổ quốc	to˧˧ kuok˨˦
tổ tiên	to˥˥tian˥˥
tổ tiên (祖先)	sɔː tɪŋ˧˥
tổ trưởng	to˥˩tɕiŋ˨˩˦
tổn hại	ton˩˩˦hʰ
tổn thương	tʰn˩˩˦tʰɯəŋ˧
tổng	taˈmo
tổng biên tập	tʰʊŋ˨˩piːn˧
tổng công ty	tɤm˧˧ kɔn˧˧ tɤj˧˧
tổng cộng	tɔ̃˦m˧˥kõŋ˨˩
tổng giám đốc	tɔŋm˧˧ zam˨˦ dɔm˧˧
tổng hợp	tʰɔːŋ˧˥ hɔːk̚˨
tổng lãnh sự quán	tɤŋ˨˩˦nan˧˥ʂɚ˥˩kwan˥˥
tổng thể	toŋ˨˩tʰɛː˥˥
tổng thống	tɔm˧˨ tʰɤm˧˧
tổng trấn	nə miː qɑʊ tʃoː ʃoːpˈʃiːt ʃoːˈʃɚˈkɔːŋ˧˥liː ʃuː˥˩xɤ˥˩ lɪŋ˧˥tuː˧˥ ʈʂɚ˨˩˦
tội	tʰou̯t˨˩
tội bị phát ban	toj bɤ̆j˨ˀ˩ʔ fɑk˥ baŋ˧˧
tội nghiệp	tɔj˧ŋiə˧˧
tội trạng	tʰɔ̀j˧˧tɕaŋ˨˩
tội ác	tʰɔː˧j˧˧
tớ	e̞t̪a
tớ thích cậu lâu lắm rồi	tə˧˩˨ tʰɤ̆t˦˥ kɔ˧˧ lăw˧˧ lăm˧˧˧ ɾɤj˧˨
tới	t̪ãĩ̯
tới đó	tɤ˧˧ mi˧˧ do˧˧
tờ	tɑː
tờ báo	tɤ˧˥ bo˧˧
tờ bạc	toɔːp˦˥lɤk˥
tờ chuyên đề	tɑː˥˩tin˥ deː˧
tờ rơi	taːɾˈaj
tởm	sɑ̃ˈ
tụ họp	tuk̚˦˥hɔːb˥
tụ tập	tuːtp˦˥
tục	tsop
tục ngữ	tũp ŋɯə
tục tiểu	túɔ˥˧ tʰeu˧˧
tục tĩu	túɔ˧˧
tụi	tʰɔːj˧
tụi bay	tʊjˈbuːjˈ
tụng kinh	tʰʊŋ˨˩kɐn˥
tụt hậu	tua˧˥ʔt̚˨˩au˧˧
tụt mood	tutmˈut
tụê	tʊ̞e
tủ	lɔ˥˥tɔ˧˥
tủ lạnh	tʰu˧˧ laj˧˨
tủ quần áo	tʰuːkwt̚˨˩ʰua̯n˧
tủ đông	tu dˈɑ̃
tủi	toj
tủi hổ	tu˥˧
tủm tỉm	tĩ˥˩m˥˩
tủy	tɔ̙j
tứ	tu
tứ diệu đế	tɯ̞˧˨ dɯ̞u˨˩˦ dɛ˧˧
tứ khoái	tsɯ˥˥xua˧˧
tứ xuyên	tɯ̞˳˥syn˨˩˦
tức giận	dɯzat
từ	dəʊ
từ bi	tɨrˈbeː
từ bi hỷ xả	tʊŋ˨˩˦ bi˧˧ ji˧˥sɑŋ˥˥
từ biệt	tɐlβeɪng˧˥
từ bỏ	tɯ̞ŋ˨˩ bɔ˧˨
từ chối	tɯ̃˨˦ tsɔj˨˩
từ chỗ nào	tɯəw˧ cɔ˧˧ naːw˧
từ chỗ nào?	tə tˤrɔn˧nɔhn
từ chức	tuːtʃɪk
từ hy	dˈo hˈeɪ
từ khi	tɤ˧˥ xa˥˩
từ khóa	tˈɪlˈ kwaa
từ lâu bao cao su được xem như một sản phẩm hỗ trợ tình dục không thể thiếu trong cuộc sống hiện đại ngày nay.	kə la bɑ̃kutʁək tʃaɲim ˈo lsɛɑ̃tʁəmɛʁvˈɛ dˈiʁ ldɛsʁənˈ dˈiʁ ˈo ldɛʁʁə kə kə sɔ̃tʁəm ljˈø̃dˈan vənˈɛ
từ lòng trắc ẩn có nguồn gốc từ 2 từ	tɯə˧˧ lɔŋm˨ˀ˩ săk˧ ɤn˧˨ kɔ˧˧ ŋuən˧˧ ɣɤp˧˧ tɯə˧˧ haj˧˧ tɯə˧˧
từ mượn	tɯ̞˨mɯ̞ən˨˩˦
từ mới	tɤ̆ mɤj˧˧
từ ngữ	taue nõˀu
từ nãy giờ trở đi	tɯəŋ˧˧ nɐɛ˧˨ dɤ˧˧ cɤ˧˩˨ di˧˧
từ thiện	dəlˈniː
từ thạch	tʰɔːtʰat
từ trái nghĩa	tu˨˩˦ʈʂaɪ˥˥n
từ trên xuống dưới	tɯ̀˨ tɕen˧˧ suən˧˧ ɟʰɯ̀˨
từ trường	dɑ dʒuː
từ tượng thanh	tɯə˧˧ tɯəŋ˧˧
từ tốn	wtf
từ từ	dˈoʊ dˈoʊ
từ vựng	təl bãn
từ điển	ðə dˈɪɔ̃n
từ đây	tɤ˧˥ dɤj˧˥
từ đồng nghĩa	tɯ̞˨ˀ˩ ðoŋm˧˧ ɲiə˨˩˦
từ … đến …	tɯ̞rən˨˩˦
từng	dɒnˈin
từng bước	tɯ̞ŋ˨˩ pɯ̞ɔ̞
từng chữ	tʊŋ˨˩˦ʐau˨˩˦
tử	taɯ
tử cung	tɤ˧˥ kũŋm˥˥
tử nạn	tɤ˧˧ næn˧˧
tử tế	toɯaːt
tử vong	tɤ˧˥ văŋ˧˧
tửu lượng	tøvˈɯn
tự	tɤ˧˥
tự cao	tɯ̞˨˦ kau˧˧
tự do	dɔ˥˩ɦja˥˥
tự do hóa thương mại	tɯ̞˨ˀ˩ zo˧˧ hoa˧˧ tʰɯ̞˨ˀ˩əŋ˧˧ mai˨ˀ˩
tự do ngôn luận	tɯ̀˨ja˧˧ ngoŋ˧˧ lɔŋm˧˧
tự do ý chí	tɯ̞˨˩˦ tɕi˧˥
tự hào	ðə ˈheld
tự làm	laːm˧˧
tự làm chủ	tɯ̞˨ˀ˩ lam˧˧ cɔ˧˧
tự lập	tɤ˧˥ lap˨˩˦
tự nhiên	tə˧˥ ŋi˥˩mjɪŋ˥˧
tự sướng	tə sɯvəŋ
tự tin	tɐn˥˩
tự tử	tɐu˧˧ tɐu˧˧
tự vệ	tɤ˧˥ vẽ˨˦
tự ý	ɛːn i�mˈmiː
tự động	tɯə˧˧ dɔ̀ŋm˨˩˦
tự đức	la zˈuːlə
tựu	dˈoʊ
tựu trường	tɯ̞u̯˨˩ kɯ̞ʌŋ˨˩˦
tỳ	dˈi
tỳ kheo	te xˈeo
tỳ kheo ni	te˨˩ʔkʰau˥˧ni˥˧
tỷ	tajˈi
tỷ giá	trjˈza
tỷ giá là bao nhiêu?	ti˧˨ zaː˩˨ laː˧˨ ba˨ˀ˥o˧˧ ɲe˧˥
tỷ lệ	tɐi̠lɐ̆
tỷ phú	ti˨˦ fu˧˥
tỷ số	dʒo
tỷ trọng	tianxu˧˥ tt˥tsɯ˥˩ la˥˥ʂu˨˩˦ tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
u	u
u huyền	mɛn
u huyền	ʊ̞hʊ̞jɛn
u sầu	uːsɐʊ
u sầm	uzum
u-ra-ni	aɾuɾaːni
ung	tɛn
ung dung	um jo̞m
ung nhọt	ũŋ
ung thư	ŋm˥˩hɔːɹ˧
ung thư da	vũŋ˧˧ tʰɯə˧˧ zaː˧˧
ung thư hoá	ntə˥˩ lɤ˥˩ qu˧˧
ung thư học	ũŋ˧˧ tʰɯə˧˧ hɑq˨˩
ung độc	lau
ung ủng	umum˧
uy quyền	ʔwi˥˧ kʰuː˧an˥˧
uy tín	uən˧˧ tĩŋ˨˩
uy tín	t̪in˨˩
uyển chuyển	lyːən˥˧ tʃuən˥˧
uỷ ban quân quản	pɐ˥˥n˥˥˥
uâ	wˈɑl
uây	u˨˩˦
uế tạp	ue t̪at̪
uôi	bu˧˧
uôm uôm	umum
uông	u
uông bí	uβijj
uốn	�un
uốn cong	ɔn˧˧ kõŋ˨˦
uốn khúc	oːn xˈok
uốn mình	ˈoːn mˈan
uốn nếp	un nˈɛp
uốn quăn	aʋən wˈʌn
uốn sợi	oɔːnʃaːj
uốn thẳng	ʔɔːn˥˩tʰaŋ˧
uốn tóc	ũn tau
uốn tấm	lɔn tˈam
uốn ván	ˈoːn vˈaɪn
uốn-xoấn	uənʃaŋ˥˩
uốn-xoắn	uən˥˧suən˥˧
uống	uən˥˧
uống cạn	ŋ˥˥kǎ˥˥an˥˧
uổng công	au˨˦aŋ˥˥kau˥˥m˥˩
uơ	waaa
úa	vˌɛˈuːa
ủng hộ	tɐu̯˨
ủy thác	tsi˥˧
ủy viên	v
uốn	uən
uốn cong	fau kau̯
uốn dẻo	u˥˥jɛ˨˦w˧˧
uốn gối	fou goj
uốn nắn	au̯æn naːn
uốn éo	u
uống	uɫ
uống nước	uən˧˧ nɤ˧˧
uống nước nhớ nguồn	uən˧˧ nɯək˨ˀ˩ nʲə˧˧ ŋɯən˧˧
uống thuốc	tʰuɔ˥˥
uổng	u˨˩˦
uổng phí	ŋ˥˥ fɪ˧˥
uỷ ban	ua̯i˨˩ baːn˥˩
v	vˈa
va	væ
va chạm	vaːrc̠am
va li	fɛːˈleː
va ly	vaːˈliː
va nhau	ve˧˧ n˨˩aɫ˧
va phải	vˈaɪ fˈaɪ
va vào	na˥˩˦we˥˩˦l
va đập	ʋeː˥˩p˥˥
vai	vˈaɪ
vai trò	paj˥˥tɔ˧˥
vai trục	sadʒu
vai trò	vaɪ˥˩ tɾɔːˈ
van don	aːndər
vang	vˈɛnt
vang lên	mæk˧læn
vay	fˈaɪn
vay lãi	vaj˧˥laj˨˩˦
vay mượn	vaj˧˧ mɤ˧˧ ɤn˧˧
vay vốn sinh viên	vaj˧˧ fʔm˧˥ sin˨˩viː˧
và	vaː
vài ba	vaːjˈbaː
vài bố	vˈaɪ bˈo
vàng mười	˧ʔmɯəŋ˧˧mɯəŋ˧˧
vàng thật	tiu˨˩
vành tai	vˈantaɪ
vày	vˈaɪ
vá áo	waː ɛːu˨˩˦
vác	dˈɛ
vái trời	maːn˧˥ɪd˥˩ɑːj˧˥
ván	vˈeːn
ván lợp	one lər
váng mình	kwãːŋ˧˧ bən˧˨
váng óc	ʋˈɛn ɔːp
váy	báːjˈe
vãi	vˈaɪ
vãng cảnh	fuaɪ˧˥tɕjɛn˨˩˦
vải	vɤ˧˥
vải ba ga	vaɪ˧˥ baːlgaɪ˧˥
vải bạt	fou˥
vải bóng	faĩ˧˥ bõŋm˧˧
vải bọc	vǎi˧˥mɑʊ˥˩
vải bông	lãĩ˧˨ bɔŋm˧˧
vải bố	vˈaɪbˌɔ
vải băng	vʰ�t̚˨˩aː˧mɤ
vải chéo	wai˨˩˦ jɛ˥˥
vải dầu	vˈaɪ dˈaʊ
vải hoa	tsĩ˥˩ nɤ˥˥
vải láng	faːi˧˧ lẽŋ˨˦
vảy	bˈaɪd
vảy cá	vɐi̯kaː
vảy mại	vãĩ˧˧ ma˧˧j˥
vảy nước	vãĩ˧˨ nɤ˧˧
vảy sắt	fʰjt̚˨˩
vạ miệng	vaʔamiː˧
vạch mặt	vatma
vạch đỏ	văk˨ˀ˩ do˧˧
vại	vãːi˩˦
vạm vỡ	ftaːmˌbˈla
vạn an	fanan
vạn bội	aːn˧boːi˧˧
vạn vật	ba bãn
vạn vật học	ʋə ʋət əp
ve	re
ve chai	vˈˈɛɹ kˈaɪ
ven biển	venas tʃampɔ
vè	b
vé	be
vét	vˈɛt
vẽ	b
vẽ hình	vˈaɪə hˈan
vẽ vời	va eːʋəj
vẽ!	vɛɦɛ
vẻ	be̞
vẻ mặt	vɛma
vẹt	pˈɛ
vi	vˈeː
vi cầm	vɨʲilʲkɑm
vi cổ sinh học	bi˧˧ kɔ˧˨ sanh˥ hɑq˨˩
vi diệu	vizˈeal
vi khuẩn	vi˥˧kuan˨˩
vi khuẩn	vi˥˧kʰuən˨˩
vi mô	rˈeɪ mˈɔɹ
vi nhét	vɨjavɨ tɨ
vi phân	ʋiːf
vi phạm	vɤːˌ iːfˈam˨˩
vi sinh vật	vˈiːz vˈat
vi trùng	vˈɑ̃ˌɪnzʊŋ˨˩˦
vietnam	viːtnˈɛmðɪˈæksəmˈɪzfɹɒmðəsˈaʊθ
vietnamese	vjenamis
viglacera van hai	ti˧˧gwa˧˧sala˥ pən˨˩haj˧
vinh	vɪ̞n
vinh dự	v̝ɪŋsø
vinh hạnh	wˈɛ̃ tʃˈɛː
vinh quang	tsĩŋ˨˩kʰu˥˥ aŋ˥˥ʰtjɛn˧˥kʰoʊ˨˩˦
viêm	vˈiːm
viêm gan	viːmgæn
viêm gan siêu vi	beːm geːn sɪ ɪuː peɪm
viêm họng	vim˦˥ha˥˧ʔum˧˧
viên	vˈeːn
viên bao	v mal
viên băm	biː
viên chức	ve˧n˧˧ tɕɤk˨ˀ˩
viên chức	biːn˧tgˈɪlˈɛ
viên chức tư pháp	li˧˩˨ t˧uk˦˥ tɯk˧˧ xa˨˩˦kʰ
viên cốm	β̞jn kom
viên gạch	bˈiŋa
viên hạt	biŋ
viên mãn	bi me
viên môn	bˈeɪŋ mˈɔɹ
viên nang	iːnˈɛ
viên ngoại	bi˥˧ nw˧˥aɪ˥˧
viên ngậm	fˈɛstaˈ
viên nhện	vi˥˩ɛn˧˥
viên nhộng	bi˥˧lɛːp˨˩˦
viên phân	vˈeːn fˈaŋ
viên phấn	kʰn˩˩˦n˥˩fɔːn˧
viên thuốc	w˧jn˩˩˦ tɔːk˥
viên đạn	vˈiːɪŋkˈaɪˈʌŋ
viêt nam	˨˩n dem˧˥
viền quanh	ve˧˧ an˨˩˦kwan˥˥
viền sắt	vˈyn sˈɑt
viết	viːt˦
viết hết	bib̚˨˩ e̞
viết mật mã	ʔhm˥˩mɔːn˧hm˥˩aː
viết nhầm	bʲijʲa
viết nốt	ʋeːtˢ nˈoːv
viết sạch	fʃap
viết tay	ʃt˦toʃʰtʰan˧
viết tên bằng chữ in	ʰyən˧˧ tɤŋ˧˧ cɤ˧˧ ɹjɛːn˨˩˦
viết tắt	bita
viết đầy	ʋɤ˨˩t˦˥ dɐʔ˧˧
viễn cảnh	wˈɛl kˈan
viễn chinh	bi˧˧n˥˥tɕɪn˥˥
viễn thị	vĩːən˨˩ tʰɐiː˧˥
viễn đông	fĩ˧˧ dɔŋm˧˧
việc	vˈeɪ
việc làm	vˈeːklˌaː
việc thường	vˈaɪktoːm
việc đạt dược	viək˨ˀ˩ ta˧˧t˥˩ ɗɯək˨ˀ˩
viện	vˈe
viện cớ	aːjnɑaː
viện dẫn	ne jˈæn
viện hàn lâm	ʔw˧n˧hɑːn˥˩laːm˥˩
viện kiểm sát	n˧ʔtm˧ʔak
viện phòng bệnh	viən˧˧ sɔŋm˧˧ bən˧˧
viện sĩ	be sej
việt nam	vi˧ɛt˨˩nam˧
việt quất	rˈi wˈɔt
việt sử	bˈi sˈɪlt
vì	v
vì thế	briː ˈɔl
vì vậy	lɪ˥˩ vˈaɪ˧˥
vĩ đại	ʋi˧˨ daːi˨˩˦
vĩ đạo	vɤ̞j˧˨ dàu˧˧
vị giác	vaj˧˧
vị tất	veːltˈɑ
vịnh	vˈeɪk
vịt	dek
viếng thăm	wjɛn˨˩˦ tʰam˥˩
viết	vˈɪɾt
viết hoa	mʲet va
viết lách	ik˦˥ láp˨˩˦
viết tắt	fʲik˦˥ták˨
viền	bɾˈiŋ
viển	vˈeːn
viển vông	tjˈɛnfˈoŋ
viễn	bˈeɪn
viễn chinh	rɛːn˧˧ tɕʰit˦˥
viễn chí	tɛn˨˩
viễn cảnh	iːt
viễn du	jˈu
viễn dương	uən˧˧ dɯ˥˩ŋ˧˧
viễn dụng	fˈɛ̃
viễn kế	ben ke
viễn thị	vi˧˨ ɪŋ˧˧ tʰɐj˧˨
viễn vọng	vˈeːn vˈaɪˈoːm
viễn đông	ne la
viễn địa	fˈɛnd mˈɪn dˈeːɹ
viễn ảnh	beˈnˈɛ
việc	d̪e
việc nhà	vit˦˥ ɲa˧˧
việc thiện	fˈaɪv
việc đó	vjət̚˨˩ dɔ˧˧
viện	vˈeɪŋ
viện bảo tàng	bʲer̝n bãːʊ taːn
viện dưỡng lão	vjɛn˨ˀ˩ dɯəŋ˧˧ laːw˧˧
viện phí	lɪŋ˧fɔː
viện trợ	vi˥˩˦ndʒɑ˨˩˦
việt	wijek
việt cộng	bo˥˩ːn˧
việt hóa	viat˥˥ hwa˧˧
việt kiều	viat kiau
việt minh	ŋ˧sɔːman
việt nam	vjet̚nɛm
việt nam (越南)	fiːətˌnɑːm
việt nam chiến thắng chống mỹ	vjìt˨ˀ˩ nam˧˧ ciən˧˧ tɕɔm˧˧ ɤj˧˨
việt nam cộng hòa	tʰoi˧ʔnn˧kʰɔːŋ˧pʰuːj˧
việt nam cộng-sản	fi men kom sɛj
việt nam là nước đang phát triển!	vjiat˨ˀ˥ na˧w˧˧ laː˧˨ nɤwɤ˧˧ den˧˧ fa˨ˀ˥t˥ɕjɛn˧˧
việt quất xanh	vʲìət˨ˀ˩ kwɤt˦˥ sanʲ
việt trì	kì˧˥
việt võ đạo	vjət˨ˀ˩ vɔ˧˨da˧˧
vn	ʋˈɛɹɪn
vo	fɔː
vo nguyen giap	faːrɔːŋ˨˩˦ wxan˨˩˦ zaːn˥˩
voan	wˈʌn
voi	æonkonvˈɒːi
voi răng kiếm	voj˧˨ zăŋ˧˧ kiəm˧˧
vovinam	baviːnæm
vovinam việt võ ðạo	voːˈviː nˈam viːɔtˈvoːnˈnam
vòi	vˈaɪ
vòng bi	vɔ̀ŋm˨˩ʔ pi˧˧
vòng dẹt	vɔ̀ŋmjɔ̀ːk
vòng lăn	la
vòng quanh	vɔŋ˧˧ kwãn˥˩
vòng tròn	vɔŋm˧˧ tɕɔn˧˧
vòng vàng	væŋˈ
vòng đai	vɔːŋ˧˧ ngaː˧˧ laː˧˨
vóc	vˈa
vót	wɒt
võ quan	fã˨˩
võ sĩ	vaː˧˥sɐi˨˩
võng	fou˥
vỏ cam	tɑːlˈɛkːəm
vỏ hạt	voːˈhɑːp
vỏ ngoài	vaː˧˥ ŋaː˧˥
vọc	bɑb
voọc	va
voọc cát bà	vˈokːabˈbaː
voọc má bạc	vok̚˨˩ maː˥˩baːk˥
voọc quần đùi trắng	vok˨ uən˧˧ doj˨ˀ˩ʈj˧p˨ˀ˥
vtuber	vˈitˈupˈa
vu	vˈu
vu khống	bu kˈaːw
vu lan	di˧˧laːn˨˩˦
vua	vˈuː
vua sư tử	vua˥˥sɯ˥˥ tɤ˨˩˦
vui	vˈoɪ
vui chơi	voai o kai
vui lòng	vui˧˧ lăŋm˨˦
vui lòng cho tôi bia tươi	vui˧˧ lɔm˧˨ cɔ˧˧ tʰoj˧˨ pi˧˨ tɯəj˧˨
vui lòng cho tôi lấy hóa đơn	vuj˧˩ lɑŋm˧˨ cɤ˧˔ tʰoj˧˨ lɤ̆j˧˨ hoa˧˨ dən˧˧
vui lòng cầm đi ạ	vuj˧˧ lɔŋm˧˧ ka˧˩m˨ˀ˩ di˧˧ aː˧˧
vui lòng tính tiền	fuɪ˧˧ lăŋ˧˨ tɯn˧˧ tʰe˧˧
vui lắm	vui˧˧ lăm˧˧˧
vui mừng	mɔɹi vˈɛˈʃˈ
vui sướng	vua̯i˧˧ sɯəŋ˨˩
vui tính	vˈuːj tˈɛŋ
vui vẻ	buːj bwˈj bjˈɛɾ
vui được gặp cậu	mùi˧˧ dɯə˧ găp˨ˀ˩ kɤm˧
vung vieng	ŋ˨˩ bi˧˧
vutruongson	vo˨˩˦tsu˥˩ʂɔ˥˥
vuông	mˌuˌɑŋ
vuông góc	wõːŋka
vuốt ve	vut vˈe
vuốt đuôi	vˈut doj
vùng	fɔːŋ˥˥
vùng cực	fok˨
vùng lên	vˈom lan
vùng rừng	wʊŋʐən
vùng thắt lưng	vũm˨˦ tʰăt˦˥ lɤŋ˧˧
vùng ven	ʋum veŋ
vùng ven biển	vũ˧˥ mʏ̞j˥˩ʰnʏ̞bən˧
vùng vẫy	væːr
vút lên	vˈoːt lˈaɪn
vút nhanh	vˈʊd jˈaŋ
vút qua	fˈu tʌˈanˈ
vũ hội	fɔː˧uː˧hɔːiː˨
vũ trụ	fou˥
vũ đoàn	tu˨˦ luan˥˧
vũng	vˈɔ̃
vũng cửa sông	vũŋm˧˧ kɯə˧˧ sɔŋm˧˧
vũng nước	vɔŋm˧˧ nɤp˦˥
vũng sông	fũŋ˧˧ săŋ˥˥
