'ਕਿਰਨਜੀਤ ਕੌਰ ਵੋਹਰਾ	kʌrəndʒiːd kɑːr bəɣuːrɑː
ਸ਼ਾਹ ਰਗ	ʃaːrɐg
ਸ਼ਾਹ ਵੇਲਾ	ʃaː aː
ਸ਼ਾਹ ਸਵਾਰ	ʃɑː sʋɑːr
ਸ਼ਾਹਕਾਰ	ʃäːkɑːɾ
ਸ਼ਾਹਕੋਟ	ʃɑːkʰoːt̪
ਸ਼ਾਹਜ਼ਾਦਾ	ʃɑːzɑːdˈda
ਸ਼ਾਹੂਕਾਰ	ʃɑːʱʊkɑːɾ
ਸ਼ਿਆਂਗ	ʃaŋ
ਸ਼ਿਕਰਾ	sikɾap
ਸ਼ਿਕਾਰੀ	ʃəkɑːɾiː
ਸ਼ਿਕੰਜਾ	ʃɛkːaːnːdʒaː
ਸ਼ਿਤਾਬ	ʃɛtaːb
ਸ਼ਿਲਪ	ʃɛlp
ਸ਼ਿੰਗਾਰ	ʃɛŋgɑːɾ
ਸ਼ਿੰਗਾਰਨਾ	ʃngardn
ਸ਼ੀਤਲ ਹਵਾ	sit̪a laɣ̞ɑ
ਸ਼ੀਤਲ ਹਵਾ ਵਿੱਚ,ਮਸਤੀ ਦਾ ਡੇਰਾ	səjtal ɦoɑː ʋɑː ʋiː ˈtʃ mɪsˈti dɑ ɖeːrɑ
ਸ਼ੀਸ਼ਾ	ʃiː˧˥ʃaː˧˧
ਸ਼ੁਆ	ʃˈva
ਸ਼ੁਆਵਾਂ	ʃuɑlvɑm
ਸ਼ੁਕਰ	ʃukɒˈɾ
ਸ਼ੁਕਰਾਨਾ	ɕʊkɾɑːnə
ਸ਼ੁਗਲ	ʃuɣɑl
ਸ਼ੁਦਾਈ	ʃodai
ਸ਼ੁਦੈਣ	ʃudˈæn
ਸ਼ੁਬ੍ਹਾ	ʃubˈa
ਸ਼ੁਭ	ʃabɯn
ਸ਼ੁਮਾਰੀ	ʃumɑːriː
ਸ਼ੁਰਲੀ	ʃoːd̪lˈiːm
ਸ਼ੁਰੂ	ʃʊɾˈu
ਸ਼ੁਰੂਆਤ	ʃˈɔɾʊɐtˈa
ਸ਼ੁਹਰਤ	ʃɔɾɛt
ਸ਼ੁੱਕਰ	ʃukːɑɾ
ਸ਼ੁੱਕਰਵਾਰ	ʃʊkːəɾɐʋɑːɾ
ਸ਼ੁੱਧ	ʃadtɒ
ਸ਼ੁੱਧ ਬੁੱਧੀ	ʃadːʃ budːi
ਸ਼ੁੱਧੀ ਪੱਤਰ	qʏdːiː betːɐr
ਸ਼ੂਕਣਾ	ʃuːkɳaː
ਸ਼ੂਗਰ	ʃuːgər
ਸ਼ੇਅਰਾਂ	ʃɛːrɑːm
ਸ਼ੇਖ਼	ʃeːk
ਸ਼ੇਰ	ʃɪr
ਸ਼ੇਰ ਦਿਲ	ʃeːr del
ਸ਼ੇਰਨੀ	ʃɛːrnɛ
ਸ਼ੇਰਵਾਨੀ	ʃɛːrʋɑːnːiː
ਸ਼ੇਸ਼	ʃˈeʃ
ਸ਼ੈਅ	ʂɛ˨˩˦
ਸ਼ੈਤਾਨ	ʃɛtɑːn
ਸ਼ੈਤਾਨੀ	ʃɛtɑːnɪə̃
ਸ਼ੋਕ	ʃok
ਸ਼ੋਰਾ	ʃoːɾa
ਸ਼ੋਹਰਤ	ʃoˈrɛtɪ
ਸ਼ੌਂਕ	ʃɑːn
ਸ਼ੌਕ	ʃɒk
ਸ਼ੌਕੀਆ	ʃɑːkiːə
ਸ਼ੌਕੀਨਾਂ	ʃɒkiˈne
ਸ਼ੌਕੀਨੀ	ʃɔ̞kʰiːn˩˩˦iː
ਸ਼੍ਰੇਣੀ	ʃrɛːɲiː
ਸ਼ੰਕਾ	ʃɑŋka˥˥
ਸ਼ੰਕਾਵਾਦੀ	ʃɑŋkɑːʋɑːd̪iː
ਸ਼ੱਕ	ʃakː
ਸ਼ੱਕ ਕਰਨਾ	ʃakːɑ kɑrna
ਸ਼ੱਕਰ	ʃɐkːɐr
ਸ਼ੱਕੀ	ʃkɳeː
ਸ਼ੱਕੀ ਮਿਜ਼ਾਜ	ʃkː mɪlɑːdʒ
ਸਾਂਗ	fˈaŋ
ਸਾਂਗ ਲਾਉਣਾ	saːng ləʋɳa
ਸਾਂਗ ਵਗਾਹਤਾ ਸੁੱਟਣਾ	saːŋgəbɐgaː ta ʃoʈːana
ਸਾਂਝ	fãː̃ŋdʒ
ਸਾਂਝ ਪਾਉਣੀ	sand pɔuɲim
ਸਾਂਤਿਆਗੋ	fˈanteˌaɣo
ਸਾਂਭ	aːmˈbɑ̃
ਸਾਂਭ-ਸੰਭਾਲ	saːmbeːt̪eæmˈbɑl
ਸਾਂਭੇ	sãnbe
ਸਾਂਵਲੇ	fɑːnwəleː
ਸਾਇਲ	fajl
ਸਾਈਕਲ	sikul̪
ਸਾਈਪ੍ਰਸ	sipɾas
ਸਾਉਣ	fˈaʊn
ਸਾਊਦੀ ਅਰਬ	salði jɛrb
ਸਾਓ ਤੋਮੇ ਅਤੇ ਪ੍ਰਿੰਸੀਪੀ	sau to meia de pɾinθipi
ਸਾਕ	sɑːt
ਸਾਕ ਸਬੰਧੀ	saːkɐsbndi
ਸਾਕ-ਸਬੰਧੀ	sãːkʰsbənˈdiː
ਸਾਕ-ਸੰਬੰਧੀ	säːksəmbənˈdiː
ਸਾਕਾ	sakˈa
ਸਾਕਾਰ	sɑkɑːr
ਸਾਖ਼ ਪੱਤਰ	ʃaːχ iː pətər
ਸਾਖੀ	fˈaki
ਸਾਗ	fˈag
ਸਾਗਵਾਨ	fʔaːgwən
ਸਾਜਨਾ	fadʒɑ
ਸਾਜ਼	fav
ਸਾਜ਼ ਸਮਾਨ	sɑːz sɑmɑːn
ਸਾਜੇ	fadʒe
ਸਾਝਰੇ	aadʒɾe
ਸਾਡਾ	sˈaɪda
ਸਾਡੀਆਂ	ʃadˈiɐ̃
ਸਾਡੇ	saːɖɖeː
ਸਾਡੇ ਵੱਲੋਂ ਖੁੱਲ੍ਹਾ ਸੱਦਾਜਦੋਂ ਮਰਜ਼ੀ	ʃaː ɖeː ʋəlːoː kʰundaː ʃt̪aːɾ dʒədoːn ɾsi
ਸਾਥ	saːt
ਸਾਥ ਛੱਡਣਾ	fɑːt tʃʰəd̪ɳə
ਸਾਥ ਦੇਣਾ	fãːt̪ʰ d̪iː naː
ਸਾਥੀ	fat˦i˦
ਸਾਥੀਆਂ	fatˈdˈiʁˈ
ਸਾਦ	faːd
ਸਾਦਮੁਰਾਦੇ	fˈadˈəmuɾˈadɨ
ਸਾਦਾ	a
ਸਾਧ	fad
ਸਾਧਨ	faʕala
ਸਾਧਨਾ	saːðɐnə
ਸਾਨ ਸਾਲਵਾਦੋਰ	saːn ælˈvɑːe̞ dæɾ
ਸਾਨ ਹੋਸੇ	t̪eːm̩˧
ਸਾਨਗੀ	sɑːngi
ਸਾਨੂੰ	sanː
ਸਾਫ਼	fˈaːf
ਸਾਫ਼ ਕਰਨਾ	saf kɾnə
ਸਾਫ਼ ਹੋਣਾ	saf ˈhɔːlə
ਸਾਫ਼ਾ	safat
ਸਾਫ਼ੀ	safiː
ਸਾਬਣ	sˈabɐ̃ɲ
ਸਾਬਣਦਾਨੀ	sabɓəɳdɑːnæm
ਸਾਬਤ	fabat
ਸਾਬਤ ਕਦਮ	sãːbat kadm
ਸਾਬਤ ਕਰਨਾ	sabət kɐɾna
ਸਾਬਤ ਸੂਰਤ	θɑːbət̪ɕ sʊrət̪
ਸਾਮਰਾਜ	saːmraːdʒ
ਸਾਮ੍ਹਣਾ ਕਰਨਾ	sɑmɐɳaː kɐrna
ਸਾਰ	fɑːr
ਸਾਰਦੇ	fɑːrðe
ਸਾਰਨਾ	farna
ਸਾਰਨੀ	farni
ਸਾਰਸ	sˈɑːrəθ
ਸਾਰਾ	fara
ਸਾਰਾ ਗੜ੍ਹੀ ਦਾ ਸਾਕਾ	saraːgɾi ˈdɑ saːqa
ਸਾਰਾ ਸਾਰ	sɑːɾɑː sɑːr
ਸਾਰਾਂਸ਼	fˈaɾaɐ̃ŋʃ
ਸਾਰਾਗੜ੍ਹੀ	säːɾaːgəɽiː
ਸਾਰੀਆਂ	sˈaɾiɲˌɐ
ਸਾਰੂ	fau̯roː
ਸਾਰੇ	sare
ਸਾਰੋਕਾਰ	sɑːroːkɑːr
ਸਾਰੰਗੀ	farrˈng
ਸਾਲ	sɑl
ਸਾਲਵਾਦੋਰ	salvador
ਸਾਲ਼ਾ	fala
ਸਾਲਾ	salaʔ
ਸਾਲਾਂ	salaam
ਸਾਲਾਂ ਬੱਧੀ	flnˈbaːdiːd
ਸਾਲਾਨਾ	falaːnɑ
ਸਾਲੀ	faliː
ਸਾਲੇਹਾਰ	sɑːliːħɑːr
ਸਾਵਧਾਨ	fafːɣːardɑːn
ਸਾਵਧਾਨ ਹੋਣਾ	fɑːʋdɑːn hoɺa
ਸਾਵਧਾਨੀ	sɑhəfdaːnːiː
ਸਾਹ	faː
ਸਾਹ ਆਉਣਾ	faːr ɑːvna
ਸਾਹ ਗੁੰਮ ਕਰਨਾ	saː gomː kɐrna
ਸਾਹ ਘੁੱਟਣਾ	saː kʊʈːɑː
ਸਾਹ ਚਾੜ੍ਹਨਾ	sɑː tʃɑɳə
ਸਾਹ ਚੜ੍ਹਨਾ	sɑː tʃɽəɳə
ਸਾਹ ਪੀਣਾ	fɑː piːɳe
ਸਾਹ ਫੁੱਲਣਾ	sɑ bʱoːl ɖɾa
ਸਾਹ ਲੈਣਾ	faː laɾɣ̞
ਸਾਹ ਵਿਚ ਸਾਹ ਆਉਣਾ	savˈik saː awnɑ
ਸਾਹ ਸਤ	tɕaaːsatɯ̞
ਸਾਹ ਸੁੱਕਣਾ	tˈaː ɕukːaɳa
ਸਾਹਨੇਵਾਲ	sneːwaːl
ਸਾਹਮਣੇ	samne
ਸਾਹਵਾਂ ਚ ਉੱਤਰੀ ,ਮਿੱਟੀ ਦੀ ਖੁਸ਼ਬੂ	saːʋaːntɕʰj ʊt̪ɾiː mjʈːtiː diːxʃbʊ
ਸਾਹਵੇਂ	fauːe
ਸਾਹਸ	sɑːhəz
ਸਾਹਾਂ	sahˈɛ̃
ਸਾਹਿਤ	sɑːt̪
ਸਾਹਿਤ ਕਲਾ	sɑːɦɪt kəɭäː
ਸਾਹਿਤ ਪੜਚੋਲ	saː ɦɪd pɽʊtʃɔːn
ਸਾਹਿਤ ਸ਼ਾਸਤਰ	t̪ʃʰəd̪ʃɑːst̪əɾ
ਸਾਹਿਤ ਸ਼ਾਸਤਰੀ	sɑːhɪd ʃɑːst̪ɾiː
ਸਾਹਿਤਕ	sɑːɦɪt̪t̪əg
ਸਾਹਿਤਕਾਰ	saːɦɪt̪kɑːr
ਸਾਹਿਬ	θɑhˈb
ਸਾਹਿਬਜ਼ਾਦਾ	sɑːhʱebzɑːdɑː
ਸਾਹਿਬਾਂ	sajbɑ
ਸਾਹਿਬਾਨ	säːɦbäːn
ਸਾਹਿਲ	sɑːhɪl
ਸਾਹਿਲੀ	fʰɑːɦliː
ਸਾਹੇ ਚਿੱਠੀ	fˈɑːhˈˈɛ tʃiː ʃiːˈɛn
ਸਾੜਾ	fɑːraː
ਸਾੜੀ	sɑːɾiː
ਸਿਆਣ	fˈɛˈɑːn
ਸਿਆਣਪ	sæaːnp
ਸਿਆਣਾ	fianna
ਸਿਆਣਿਆਂ	sɪɑːɳɪjɑː
ਸਿਆਪਾ	fjapa
ਸਿਆਪਾ ਖੜ੍ਹਾ ਕਰਨਾ	sʲɑːpɑː kʰɐɖäː kɐɾɳə
ਸਿਆਪਾ ਪਾਉਣਾ	sʲapːaː paʋɳe
ਸਿਆਪਾ ਪੈਣਾ	siʔpaː pəgə
ਸਿਆਲ	sæjal
ਸਿਆਲ਼	sˌiːˈaːl
ਸਿਆਸਤ	sʰiːɑːsˈt̪
ਸਿਆਸਤ ਦਾ ਪਰਵਾਰੀਕਰਣ,	si̯ʔəst̪ d̪aː pə roʊaːriː kərnə
ਸਿਆਸਤਦਾਨ	sasegano
ਸਿਆਸੀ	ɛseɪˈɛ
ਸਿਆਸੀ ਪਾਰਟੀਆਂ	siːʔəsiː paːɾt̪iːəŋ
ਸਿਆਸੀ ਸਰਪ੍ਰਸਤੀ	sʲɛzɪz prastɪ
ਸਿਆਹੀ	s˦ia˥˧hˈi˥˧
ਸਿਏਰਾ ਲਿਓਨ	θjeɾaliõn
ਸਿਕੰਦਰ	fikkandˈɑr
ਸਿਖਰ	sɪkʰɑɾ
ਸਿਖਰ ਸਨਮੁਖ ਕੋਣ	seːkʰr sanmq koːn
ਸਿਖਰੋਂ ਹੇਠਾਂ ਤੱਕ	sikʰʰaːŋ˧he̞ tʰaːntak
ਸਿਖਲਾਈ	fkʰlɑiː
ਸਿਖਾਉਂਦਾ	sekoːnda
ਸਿਖਾਉਣਾ	se˨˩kʰɔːna˥
ਸਿਖਿਆਰਥੀ	sɐikʰɐːɾθiː
ਸਿਜਦਾ	seˈdʒːɑ
ਸਿਤਾਰਾ	fʈɑːɾɑ
ਸਿਥਲ	fetˈʰal
ਸਿਦਕ ਰੱਖਣਾ	sdk ɾəkʰɳə
ਸਿਧਰਾ	sədraː
ਸਿਧਾਂਤ	ʃaʃdˈɑ̃d
ਸਿਧਾਂਤ ਮੁਖੀ	sˈe dˈɛ̃ ɑ̃tmokˈhˈi
ਸਿਧਾਂਤਹੀਣ	setaːnˀthiːn
ਸਿਨਹਾਲੀ	sen˨˩haːn˧liː
ਸਿਪਾਹੀ	səbɑːhi
ਸਿਫ਼ਰ	fəfəɾ
ਸਿਮ	θema
ਸਿਮਰ	sɯmɯɾ
ਸਿਮਰਤੀਗੋਚਰ ਕਰਾਉਣਾ	seː maːɾti gɔtʃaːɾ kaɾaːɓul
ਸਿਮਰਦੇ	semˈɛɹdˌe
ਸਿਮਰਨ	semren
ਸਿਮਰਨਜੀਤ	semrenɣið
ਸਿਮਰਨਾ	semɛrna
ਸਿਰ	fær
ਸਿਰ ਉੱਚਾ ਰੱਖਣਾ	səɾ ʊtʃəɾ kʰəɳaː
ਸਿਰ ਚ ਸਵਾਹ ਪਾਉਣੀ	srtʃsoːaː pə ˈne
ਸਿਰ ਦਰਦ	feɾdaɾsɯ
ਸਿਰ ਪਲੋਸਣ ਵਾਲਾ ਹੱਥ	sɛrpluːsɔnɔː ɔlaːɣatʰʊ
ਸਿਰ-ਖਪਾਈ	sɛrkɑɓɑi
ਸਿਰਜਣ	sɛrdim
ਸਿਰਜਣਾ	fəːɾgɳaː
ਸਿਰਫ	sɛɾfɑ
ਸਿਰਫ਼	sˈɛrf
ਸਿਰਲੇਖ	ɛlɛk
ਸਿਰਹਾਣਾ	firaːna
ਸਿਰਾ	seɾˈa
ਸਿਰੇ	seɾˈa
ਸਿਰੇ ਤੋਂ	sɛɾetu
ਸਿਲਸਿਲਾ	fɛlfɛlˈa
ਸਿਲਾਈ	selaiˈi
ਸਿਲੀਕਾਨ	səl
ਸਿਲੀਨੀਅਮ	sɛliːnjɛm
ਸਿਵਲੀਅਨ	seːʋliːən
ਸਿਵਾਇ	sʊ̃ːiːbaːiː
ਸਿਸਕ	sæfæk
ਸਿਸਲੀ	fɛsˈli
ਸਿਹਤ	seˈeˈeɾə
ਸਿਹਰਾ	fˈeɾɐ
ਸਿਹਾਰੀ	sˌiˈɑɾiː
ਸਿੰਗ	fɪŋ
ਸਿੰਗਾਰਘਰ	sigaːɾukɐɾʊ
ਸਿੰਘ	fɛŋ
ਸਿੰਘਾਪੁਰ	sɪŋabuɾ
ਸਿੰਘਾਸਣ	seŋg�ːasˈeɳ
ਸਿੰਜਣਾ	seŋseɾa
ਸਿੰਧ	sendɐ
ਸਿੰਧੀ	fɛnˈdiː
ਸਿੰਧੋਚੜ	sindɔtʃːeːr
ਸਿੰਬਲ	sɪmbəl
ਸਿੱਕ	fɛk
ਸਿੱਕਾ	fikːɑ
ਸਿੱਕੇਬੰਦ	fikːeːb̪ɐn̪d̪u
ਸਿੱਖ	sˈɛk
ਸਿੱਖਣਾ	fəkʰɳa
ਸਿੱਖਿਆ	sik˦kʰeː˧
ਸਿੱਖਿਆ ਲੈਣੀ	sik˦a˥˧ lɛ̃
ਸਿੱਖੀ	sˈekˈi
ਸਿੱਟਾ	figːʈːa
ਸਿੱਟੇ	seok˨keʃto
ਸਿੱਠਣੀ	sikːtʰɑ̃iː
ਸਿੱਧ	fedˈde
ਸਿੱਧ ਕਰਨਾ	tʃiːd kaɾˈna
ਸਿੱਧ ਪੱਧਰਾ	sed̪d̪e pad̪ðːira
ਸਿੱਧਾ	seda
ਸਿੱਧਾ ਹੀ	sd̪aːħiː
ਸਿੱਧਾ-ਸਾਦਾ	sadˈdaːsaːd̪aː
ਸਿੱਧੀ	sidˈviː
ਸਿੱਧੂ	tɛo
ਸਿੱਪੀ	ɛʁpˈi
ਸੀ	fˈi
ਸੀਤ	fˈiːtˌe
ਸੀਤਲ	siːt̪l
ਸੀਤਾ	fˈita
ਸੀਨੀਅਰ ਲੇਖਕ	s anijɾ ləkˈue
ਸੀਨੇ ਠੰਢ ਪੈਣੀ	siːne ʈʰand peːɳiː
ਸੀਪੀਯੂ	sˈɛstɹiɐnˈ
ਸੀਮ	fˈim
ਸੀਰ ਕਰਨਾ	siːrɯkːəɾɳː
ਸੀਰ ਪਾਉਣਾ	tɕiːɾɐpɐɪ̯ɳː
ਸੀਰੀਆ	fˈiɾjɐ
ਸੀਸ	fˈa
ਸੁਅੱਛ	swɑtʃ
ਸੁਆਗਤ	flaːgət
ਸੁਆਣੀ	sũã˨˩li˨˩
ਸੁਆਦ	swaːd
ਸੁਆਦੀ	suaːdiː
ਸੁਆਮੀ	suã˨˩miŋ˨˩
ਸੁਆਲ	suˈal
ਸੁਆਹ	swa
ਸੁਖ ਪਨੈਚ	so k pə nˈˈadʒ
ਸੁਖਬੀਰ	sukbiːr
ਸੁਖਾਲ਼ਾ	sukʰaːɾa
ਸੁਖੀ	sokjiː
ਸੁਗਾਤ	sˌugˈatʊ
ਸੁਗੰਧ	ogand
ਸੁਘੜ	sukːl
ਸੁਚੇਤ	sutʃejɛt
ਸੁਚੱਜਾ	sokʃa
ਸੁਚੱਜੀ ਵਰਤੋ	sɐtsɐdˈzi vɐrtɔ
ਸੁਜਾਤਾ	sudʒɑtta
ਸੁਜਾਨਪੁਰ	soːdʒɑːnpʊɾ
ਸੁਝਾਅ	sʊdʒaːt
ਸੁਝਾਇਆ	sɔgaja
ਸੁਝਾਉ	suːdʒɑːʊ
ਸੁਝਾਉਣਾ	so˩˥ːʒaːoːna
ਸੁਡਾਨ	sud̪aːn
ਸੁਣ	saˈɛː
ਸੁਣਨਾ	a
ਸੁਣਵਾਈ	sanːwaːiː
ਸੁਣਾਂ	fˈɛstˈ
ਸੁਣਾਇਆ	sʊɳaːjɑ
ਸੁਣਾਉਂਦਿਆਂ	saˈnɑˈldeˈa
ਸੁਣਾਉਣਾ	soɾnauna
ਸੁਣਾਏ	sʊɳɑːɪ
ਸੁਣਾਵਾਂ	sɺuaːmaː
ਸੁਣਿਆਂ	seʁˈaː
ਸੁਣਿਐ	syljɛ̀
ਸੁਤੇ	sotːe
ਸੁਤੰਤਰ ਸਟੇਟ	sotˈaːntɜstˈɛɾ
ਸੁਥਰਾ	sut̪ra
ਸੁਦਾਗਰ	aːd̪ɦagɐɾ
ਸੁਧਰਨਾ	fudɛrna
ਸੁਧਾਰਨਾ	sadarna
ਸੁਨਡਾਨੀ	sondɑːnɲiːn
ਸੁਨਹਿਰੇ	sonere
ਸੁਨਿਆਰ	sˌaˈnjɑːr
ਸੁਨਿਆਰਾ	soːnɛːɑːɾə
ਸੁਨਿਸ਼ਚਿਤ	sʏnɛʃtʃɛt
ਸੁਨੇਹਾ	sneɦaː
ਸੁਨੇਹੇ	sʊnɛːgɛ
ਸੁਨੱਖਾ	saːnəkˈʔaː
ਸੁਨੱਖੀ	sanak˦i
ਸੁਨੱਖੀਆਂ	soˈnaˈkɛ̃a
ਸੁਨੱਖੇ	saˈnɑkˈke
ਸੁਪਨਾ	sopna
ਸੁਪਨਾ ਆਉਣਾ	sʊpˈɛna ˈɑlɑ
ਸੁਪਨਾ ਲੈਣਾ	fəpənaː lɛ̃ɳa
ਸੁਪਨਾ ਵੇਖਣਾ	s˦˥up˥n˩˩˦aːʋʔkʰn˩˩˦aːʔ
ਸੁਪਨਿਆਂ	supnia
ਸੁਪਨੇ	sopˈene
ਸੁਪਨੇ ਦੀ ਚੀਜ਼	supne diqˈiz
ਸੁਪਨੇ ਵੇਖਣਾ	supˈneː vikːɳa
ਸੁਪਾਤਰ	supat̪ar
ਸੁਫ਼ਨਾ	fɪlfɛnˈaː
ਸੁਬਕਦੋਸ਼	sobakdoːʃ
ਸੁਭਾਅ	sobˌaː
ਸੁਭਾਉ	sobaːl
ਸੁਭਾਉਕੀ	sua˧a˥w˧ki˥
ਸੁਭਾਗ	supˈag
ਸੁਭਾਵਕ	sɫavɛtq
ਸੁਭਾਵਕਤਾ	sobaːvokta
ਸੁਭਾਵਿਕ	sobaʔwek
ਸੁਭੈਕੀ	sʊbækkiː
ਸੁਯੋਗ	sujoːg
ਸੁਰ	sˈɔɹ
ਸੁਰ ਕਰਨਾ	sor karna
ਸੁਰ ਠੀਕ ਕਰਨਾ	soːr ʈʰeːk kɐɾnə
ਸੁਰ ਦਬਾਅ	soɾito dɐ baa
ਸੁਰ ਸੰਗਮ	sor sˈangˈam
ਸੁਰਖਰੂ	srkaɾu
ਸੁਰਖਰੂਈ	srkaɾui
ਸੁਰਖੀ	ferki
ਸੁਰਗ	sˈɔɾəg
ਸੁਰਜੀਤ	fardʒiːt
ਸੁਰਤ	sot̪
ਸੁਰਤ ਆਉਣੀ	saˈrta ɑnˈliːn
ਸੁਰਤ ਕਰਨੀ	soɾt̪akani
ਸੁਰਤ ਸੰਭਾਲਣੀ	srt̪ səˈnbaləɳiː
ਸੁਰਤੀ	sorti
ਸੁਰਤੰਦ	sortandɪ
ਸੁਰਮਾ	sʊrmɑː
ਸੁਰਸੁਰਾਹਟ	s̻ɾs̺ɾäːɦɐʈ
ਸੁਰਾਂ	soɾn
ਸੁਰਾਗ	fraːg
ਸੁਰਾਘਾਤ	sɔɾɑkaːt
ਸੁਰਾਹੀ	sɾɑːhiː
ਸੁਰਿੰਦਰ	suɾiːndær
ਸੁਰੰਗ	sɯɾaɴgɯ
ਸੁਰੱਖਿਆ	sʌrəgke̞ɾ
ਸੁਲਝਾ	solʒaː
ਸੁਲਝਾਈ	səlˈdʒɑːiː
ਸੁਲਤਾਨਪੁਰ ਲੋਧੀ	sult̪aːn pə ɔːlɔt̪iː
ਸੁਲਾਉਂਦੇ	sʊːlɑːʊndˈɛ
ਸੁਲਾਓ	slɑːv
ਸੁਲੇਮਾਨ	sʰʔlman
ਸੁਲ੍ਹਾ	salaː
ਸੁਲੱਖਣਾ	sləkːnə
ਸੁਲੱਖਣੀ	səlqniː
ਸੁਸਤ	sostɯ
ਸੁਸਤ ਹੋਣਾ	sofˈtˈe hoɾe
ਸੁਸਤਾਉਣਾ	sustauɾɛn
ਸੁਸਤੀ	sastˈi
ਸੁਸਤੀ ਕਰਨੀ	sosti kaːrnˈi
ਸੁਸਰੀ ਚਾਲ	susriːtʃaːl
ਸੁਸਰੀ ਤੋਰ	susritor
ਸੁਸ਼ੋਭਤ	suːʃolmaˈtim
ਸੁਹਾਗਣ	sʊɦɑːɐgɐɲ
ਸੁਹੇਲਾ	sˌuhˈɛlˈlˈa
ਸੁਹੇਲੀਆਂ	suˌɛlˌiɐ
ਸੁਹੱਪਣ	sʊhəppəɳe
ਸੁੰਗੜ	sʊŋgɐɖ
ਸੁੰਞਾ	sonnɛ
ਸੁੰਦਰ ਤੇ ਸੁਡੌਲ	sʌnˈd̪ɾt̪ eːsɾol
ਸੁੰਦਰਤਾ	sʏ̞mdʊ̞rtʊ̞
ਸੁੰਨ	fˈɔn
ਸੁੰਨਤ	sˈnːit
ਸੁੰਨਸਾਨ	sonsaːn
ਸੁੰਨਾ	sna
ਸੁੰਨੀ	sʊ̃ːɔ̀
ਸੁੱਕਾ	sukˈa
ਸੁੱਖ	sok˨
ਸੁੱਖ ਦੇਣਾ	soːk kʰɑdeːne
ਸੁੱਖਾਂ	sukʰi˧˥
ਸੁੱਖੇ	kʰeːk̚˨˩
ਸੁੱਚਾ	sutʃa
ਸੁੱਚੀਆਂ	sutːĩːɲa
ਸੁੱਝਣਾ	sʊtʃtʃɐɾa
ਸੁੱਟ ਪਾਉਣਾ	sɔʈːɨ paːuɳeː
ਸੁੱਥਣ	sʌtˈtˈɑɲ
ਸੂਆ	soaː
ਸੂਈ	soui
ਸੂਏ	svˈe
ਸੂਏ ਭੇਡ ਤੇ ਤਿੰਘੇ ਛੱਤਰਾ	ɕuʋp̚ eɖu t̪iŋɢɛtʃ tʃʈr
ਸੂਖਮ	sˈukəm
ਸੂਗਰ	ʃuɫgɯ̞rɯ̞p
ਸੂਚਨਾ	sutʃna
ਸੂਚਨਾ ਦੇਣੀ	sut̪ʃnäː d̪eːɾiː
ਸੂਚਨਾ ਪੱਤਰ	sut̪naː pət̪r
ਸੂਚਨਾ ਹਿਤ	sut̪ʃnaː ɦɛtɪk
ਸੂਚਨਾਪੂਰਨ	suːtɕaːnaːpuɾaːn
ਸੂਚਿਤ	soˈt˃ʃətˈ
ਸੂਝ	sˈud
ਸੂਝ-ਬੂਝ	sˈudʒibˈudˈi
ਸੂਝਵਾਨ	saːviːn
ਸੂਟ	sɔːtˈ
ਸੂਟ ਵੀ ਤੇ ਕਫਨ ਵੀ ਪੇਕਿਆਂ ਦਾ ਹੁੰਦਾ	sʊːɖʈʋit̪ d̪iɾəɳʋi pəkːjaːnd̪aːɦundaː
ਸੂਣਾ	suːnˈa
ਸੂਤ	sûːt
ਸੂਤਰ	sˈutɚ
ਸੂਦ	fouˈd
ਸੂਫ਼ੀ	fˈɛ
ਸੂਬਾ	tubˈa
ਸੂਬੇਦਾਰ	supbeːˈdaːr
ਸੂਮ	suːm
ਸੂਮਰ	sumɚ
ਸੂਰਜ ਮੁਖੀ	souːrdʒmauːkiː
ਸੂਰਜਮੁਖੀ	sʊˈɾˈdʒmˈʊˈkiː
ਸੂਰਤ	suːrat
ਸੂਰਤਮੰਦ	suβrətmaːndi
ਸੂਰਤਵਾਨ	suːratˁvaːn
ਸੂਰਬੀਰ	sˈuɾbˈiːr
ਸੂਰਾ	suaɾa
ਸੂਰੀਨਾਮ	souːrinæm
ਸੂਲ਼ੀ	suli
ਸੂਹ ਕੱਢ ਲੈਣਾ	suː kɐɖː n̪iːɳe
ਸੂਹਾ	fɔːhɑː
ਸੂਹੀ	sʊˈhɪ
ਸੂਹੇ	suhe
ਸੇਂਟ ਕਿਟਸ ਅਤੇ ਨੇਵਿਸ	səɪntˈgɪt sɑːtˈe nˈeɪvɪz
ਸੇਂਟ ਜਾਨ	sənt dʒˈɑn
ਸੇਂਟ ਜਾਰਜ	tˈeɪd dʒˈɑɹdʒ
ਸੇਂਟ ਲੂਸੀਆ	sənt lˈusiɑː
ਸੇਂਟ ਵਿਨਸੈਂਟ ਅਤੇ ਗ੍ਰੇਨਾਡੀਨਜ਼	sˈeɪnt vˈɛnsənt ˈʌt ðə gˈɾiːnɑːɖinz
ਸੇਖਵਾਂ	fekme
ਸੇਜ	fˈeʃʊ
ਸੇਠ	sˈeɪt
ਸੇਤਜ	sˈeːtədʒ
ਸੇਧ	fˈeɪd
ਸੇਨੇਗਲ	sɛːneːgəl
ਸੇਬ	seːˈbi
ਸੇਮ	se̞ɦɪm
ਸੇਰੂ	fɛɾu
ਸੇਲਾ	se
