'di	bi
panandaan	banaːndaʕaːn
panandaliang aliw	panangdali aːŋg aliu
pananghalian	banãŋxalriːan
panata	panata
panatag	panatag
panatilihin	paˈnɑtɪlihɪn
panawit	anaui
panay	paˈne
pancit	an
pandaigdig	pandaɛndi
pandaigdigan	pandaɪkdiːgɛn
pandak	fandəq
pandarambong	pandoɾambonɣ
pandaraya	pandəariaja
panday pira	pandaj pʲira
pandayan	p˨˩an˥˩t̚˨˩aː˧jɐn˧
pandikit	panˈdikiat
pandinig	pˌanˈdiˈig
pandiwa	panˈdjwa
pang	ɛːn
pang-aapi	pŋaʔapi
pang-abay	pangʔabaj
pang-ahit	pɑŋ
pang-anim na salinlahi	pɑŋˈʔaːŋɪn na səlɪnlaːhi
pang-apat	tɨmapaʃ
pang-asar	faŋasaːr
pang-asar lahat ng sinabi n'ya.	paŋ ɛsɛlɛhɑt nɛŋ sinabɪnja
pang-ilan	aːnɪlˈɑn
pang-isa	taŋisa˥˩
pang-lima	tŋlimaː
pang-onse	pãŋũnse
pang-ugnay	nipavʲerɨɫatʃi
pang-ukol	taŋguol
pang-una	pa˥˥ʊˌnˈ˩ɑ
pang-unang lunas	pag unang lunas
pang-unawa	paŋʊnawa
pang-uri	taŋguɾi
panga	faŋ˨˩aː˧
pangako	panʔako
pangalan	faŋ˥˥aːlɐn˧
pangalanan	paŋɛlɛnæn
pangalawa	faŋ˥˥a˥˥lawa˥˩
pangalawá	pɑŋɑlɑwa
panganay	fraːmlaj
pangangailangan	paŋaŋajraːŋan
pangangamkam	paŋaŋamkam
pangangasiwa	omgɒpˈɑsiːvˈa
pangangatawan	t̪ãn̪aɣ̞at̪owãn̪
panganib	pa˥ŋamen
panganiban	pəŋanibən
pangaralan	pəŋɑrɑlɑn
pangarap	paŋaɾɐ
pangarapin	pŋŋaɾapɪn
pangasinan	anggasinan
pangatawanan	pəŋatawənˈan
pangatlo	faŋatloɾ
panget	a
panggagamot	nʲtʂʲaɟʲamɨ
panggamot	aŋgamut
panggap	pangap
panggatong	pangatʊ
panggigilalas	onɣʲigʲiːlaːles
panggugubat	pngugubæk
pangha-harass	pŋħɐɐɾɑs
panghadlang	paːnhadla
panghalalan	pa˥ŋ˥˩haːlaːlɐn˥
panghalili	bŋɦliːli
panghibayo	panghibajo
panghimagas	lahimagas
panghinaharáp	bŋɦɪ̞nɦaɾhɑɾɑp
pangingilig	ŋiːnˈgjˈlˈɛg
pangingisda	paŋiŋisda
pangingitim	anginɪtim
panginoon	waŋiːnɯ˩˦oːn
pangit	saːnˈek
pangit na pangit	paŋgɪt˥n˩˩˦aŋgɪt˥˩
pangitain	baŋit̪aɲɑ
pangkalahatan	paŋkɑlɑhɑtɑn
pangkaraniwan	pngkalniwan
pangkat	tɑŋkʰar
pangkikil	paŋglʔki̠ɔl
pangkuha	tamkûːhãː
panglima	paŋlima
panglimang salinlahi	onliman salin laj
pangnagdaán	tɑŋˈnɑdɑɑn
pangngalan	faŋˈaːlən
pango	aŋgo
pangulo	paŋolɔ
pangunahin	fangonˈahɪl
pangungulila	banuᵑgɔliːlɑ
pangungulit	pəŋuŋulɪt
pangungusap	fãŋũnsap
pangungutya	pəŋɔ̃gtiˈa
panibago	panibago
panibugho	pˈanɪbˌuˈʒo
panig	panig
panikì	paniki
panimula	waːnimʊlˈlaː
paninda	panində
panindigan	panɪndɪgɑn
paningin	anʲgʲiːn
paninging	kompaso
paninindigan	pˈanɪnɪnˌbigˈan
paninisi	aniniki
panirahan	wanirɑhɑn
panitikan	panɛtɪkɑn
panlabíng-isá	panlabindɪsə
panlalawigan	paːnnoːnoːign
panlasa	pɔnlasa
panlilinlang	anlilɪn˧laŋ˧
panlulan	ænlulɛn
panluto	panluto
panoorin	panorin
pansamantala	pansemɛntɐlɐ
pansin	p̚˨˩an˧n
pansinin	pensjn
pansit	panˈsɛ
pantal	pant̪al
pantalon	pnt̪a˦˥lõːn
pantapal	pɑntɑpal
pantasa	antasaː
pantawid	pantawed
pantay	p˨˩an˩˩˦daj˥
pantay-pantay	pnt̪aɪ̯pnt̪aɪ̯
pantayin	pnt̪ajɛn
pantulog	pnt̪uːləm
panukala	paːnoːkala
panukalang	pan˩˩˦okâːlɑŋ
panukat	pnoːχt
panukat ng bilis ng hangin	panukat nilain bilis nilain haŋen
panukli	penəklɪ
panulat	penwla
panunubok	pˈɑ̃ˈɔ̃ubo
panuto	panuto
paolo manalo	pau̯no paɲːaðo
paos	paos
papaano	papaano
papag	papak
papak	pˈapˈak
papalapit	pəpːit
papalayo	pːəpəlaɪoː
papalitan	paːpaːljˈtan
papamanhirin	papamanhiˈrɪn
papanaog	papanao
paparoón	paparuon
papayag	fapajag
papel	papɛl
papel-de-bangko	apɛldɛbanko
papeles	papelis
papunta	papŋta
papuri	pɐpːaːɾi
para	ara
para sa	parsa
para-paraan	paɾapaɾaall
paraan	pɑraan
paradahan	faradaːhɑn
paraiso	wɾaisʊ
parak	ɑrɑq
paraluman	pˌɐɾɐlˈumɐ
parang	tɐɾɐm
parang ganon	paraŋga lũn
pararila	araːɾiːla
paratang	paˈraːtɑm
parati	parati
parañaque	parapnake
pards	əɹt
pare-pareho	pareparejo
pareho	parejo
pares	paris
pari	pari
parihaba	tejnãnʕipəɾˈhɑːbɑːr
parine ka!	β̞aɾiːnika
parinig	pariˈnig
parirala	paɾiɾaːɭː
parisan	parisˈanim
parisukat	pɾɪs˥wkat
parisulok	paˈrˈisolˈɔ̃
pariugat	ɾiʝat̪
parke	pɑrtɪ̞
parol	paɾol
parola	paɾola
paroot parito	pra otparito
paroón	paron
parte	ɾɾe
partido	paɾtido
paruparo	pariparo
parusa	dˈoɾˈusˈa
parusahan	pərusʔahəɛn
parì	pare
pasahe	mɑsɑːhɛ
pasahero	asaferojɾʊ
pasalaysay	asalajsaj
pasalubong	pˈasˌalˈubo
pasalúbong	pazalubo
pasaporte	paˈsˈɐpˈɔɾtˈɛ
pasas	pasas
pasasalamat	wɑsɑːsɑlɑmɑt
pasaway	pɐs˥aːw˧aj
pasay	fɑːsɑːiː
pasensya	t̪esẽn̪t̪ɐ
pasensya ka na	paˈsijn tʃɑqɑnɯ
pasensya po	pɐsˈɛnʃɐ pov
pasig	pɑsik
pasikat	basikaɾ
pasintabi	pazsĩntãbi
pasisiil	past̪sisiels
pasko	basko
pasko ng pagkabuhay	pɑskuɔ nɛm pagkɑbuːɦɑj
pasma	bˈɑsmɑ
paso	fˈaɪvzˌoː
pasok	fɑ˥˥sok
pasukan	pazokan
pasya	bʃaː
pasyahan	fɑʃɑhɑn
pasyente	aʃente
pasyon	aːsian
pataas	pataˈs
pataasin	pat̪aaθin
patag	patag
patagilid	aːt̪aːgjld̪
patahas	vˈatˈaˈhˈas
patak	pɐtɐk
patakang	pt̚˨˩a˥ʔkʰon˧
patakaran	pɑtɑqɑrɑn
patalastas	tatalastas
patalbugan	patalmugan
patalsikin	bat̪aɾz̺ɛkẽ̞n
patang-pata	bət̪ẽnpat̪a
patani	batalʲi
patanong	at̪ẽn̪õl̪t̪
patas	patas
patatas	patatas
patawad	tataɫad
patawarin mo ako	patoaːrimu akau
patawarin mo ako sa aking ginawa sa iyo.	pɑtɑwɑrɪnmu akɔ sə ɑkɪŋ ginawa sajiu
patawarin po	pəˈtɔɛrɪn po
patay	pataj
patayan	pataˈjɛn
patayin	pataʝjn
pati	pɐtˈi
patibong	atɨbˈoŋ
patigilin	patɣilin
patigilin mo siya sa pagsigaw.	pɑtiɣilɪn mə ʃa sə pɑg sigaw
patilain	pɑtjɛlɑɑn
patilain ang ulan	patilain aŋ ulan
pating	patˌiŋ
patingin	ɛpastʃŋim
patinig	bat̚˨˩tʰiː˥˩nɨːk̚˨˩
patintero	patintero
patis	patˈis
patitingnan	ãtidʝnaʝ
patnubay	pʰa˨˩n˧ʰuːpʰai˥
patnubayan	patnõbɑjɛn
pato	patu
patok	patok
patola	tɔɫɛ
patuloy	patuloi
patunayan	patunajan
patungo	patuɣum
patungò sa	pɐtuˈŋˈoˈsɐ
patutot	patoːtʊ
patutsada	natutsada
paukol	aʊkɔl
paulit-ulit	pɑuːlɪtuliːt
paumanhin	paːŋmanhet
paunawa	fua̞nawa
paurong	aɾuŋ
pautangin	paʊtɑŋɪn
pautos	autos
pautot	fau̯tot
pauwi	ɛtˈalə
pawang	pawas
pawiin	pawiɛm
pawikan	jˈuwikˈan
pawis	pawis
pawisan	au̯izən
payag	pajak
payak	fɑjɑq
payak na dasal	pajak ɲadasˈal
payao	fajau
payapa	pajapa
payapain	faːjaːfaːaːjni
payat	aja
payatot	bɐˈjatˈuːt
payo	paio
payong	faj˥˥
paypay	fajfaj
paá	a
pebrero	pɛbrero
pechay	petʃa
pedro bucaneg	beð̞ɾuɣ̞
pedro gil	pəd̪ɾoɦiːl
pedro paterno	t̪ẽn̪t̪ɾo kap eɾmõ
peklat	pets˥˩waːk
pekpek	pekpek
peligroso	pˌeligrˈosʊ
pelikmata	plikˈmata
pelikula	tˈɛlˈikːulˈa
penitensiya	benitenʃa
pepe	pepe
pera	pˈeɾa
perahan	berajn
perahin	ɾɑhɪn
peras	peras
perez	paɾes
perlas	balas
pero	ero
perpekto	perpektu
peryódiko	periˈodiko
petmalu	pˈɛtmalumˈa
petsa	petʃa
petsay	petʃaj
peñarrubia	pˈɛnɲˈaˈɾubˈiˌa
philippines	fˌilˈɐpˌinz
pidigan	vidigaːn
piesa	piesa
pigain	tɛgɛiːn
pigain mo ang basang damit.	pʰiʔin˧muu̯ aːŋ˧ pasendʔəʔmin
pighati	peːgʱɦt̪iː
pigilan	dikeːlən
piglas	pliŋlas
pihikan	piːxiːqɔːn
pikit	eqipa
pikon	pikːon
pilak	pila
pilar	pilar
pilat	pilˈot
pilay	pilaj
pilayan	pilajen
pilian	ɔːnɔːn
piliin	piliːin
pilikmata	pelikmat̪a
piling	pilim
pilipina	jˈlˈɪpˌiðˈa
pilipinas	pʝn̪jpĩŋe̞s
pilipino	filipino
pilisopiya	pilospia
pilit	pili̯
pilitin	pilitim
pilyo	pilio
pinabalik	piːnæbɐlɪk
pinadala	pˈinədˈla
pinag-aaralan	pliːnakʔaːɾalaː
pinaghalo	inakhalo
pinaghihirapan	pinakihiroaːpɑn
pinaghuwaran	pinaguvaran
pinagkakalipumpunan	ənəkkajɣəlipəmponˈəl
pinagkakatiwalaan	piˈnagakatiwɑlɑɑn
pinaglalaruan	pʲinɛglaːlarʊˈan
pinagmamasdan	pinagmaːmastan
pinagmulan	ibimˈɛdmulerˈn
pinagpala	qɪãːʔalaːq
pinagpinamamagaspasan	tʁintʁamɑmagaspasat
pinagpupusan	ti˥˩nɑ˥˩tɔtu˥˩sã˥˥i˥˧
pinagsasamantalahang	pinaksaːsamɛnˈtalɦeːhan
pinagsisisihan	pinaksisihan
pinagtibay	finaktibai
pinagtitibay	pʰiːnaːktitiːbaɪ
pinahahalagahan	piːnəhaːhaːləgəhaːn
pinahid	pinˈajd
pinahirapan	pinɑhiɾapan
pinaka	pinaqa
pinakamaganda	piːnɑqɑmɑɣɑndɑ
pinakamalaking	tʃinˈɛkɑmɑlɑkɪŋ
pinakamalinis	liːnˈæˈkɑmɑlinˈis
pinakamasarap	piːnɑkɑmasɑrɑm
pinakamatanda	piːnˈakɑmɑtɑnda
pinakanakakapagpabagabagdamdamin	dinakaanakakapagpapagapagdamdamit
pinakanakapagpapabagabag-damdamin	biːnakakapˈabaːgaːbɑxdɑmdaːmɪn
pinakanakapagpapabagbagdamdamin	miːnˈʕnˈxɑfptˤɑfˤɑlbændˤɑmi
pinakapangit	pinapapagit
pinal	penal
pinalulubha	piːnəluːlʊbʱɑː
pinamamagaspasan	pinamamagaspasan
pinangatawanan	pinatawənänt
pinanggagalingan	pinɑŋɠɑːgəliːŋən
pinanggalingan	pinanggaliŋan
pinangungunahan	binaŋɛnɑnɑhɑn
pinapangatwiranan	tʃiɲafaŋatuɛraːnɛn
pinapapamanhid	pinapaːpɑmanhið
pinas	pinas
pinaslang	pinaslam
pinatay	pinet̪ai
pinatubo	inatubo
pinauwi	pinaoβ̞i
pinay	enajj
pindot	imt̪ot̪
pindutin	pɛ̀ːnt̪ˌaɪn
pinger	enˈgˌeːrˌɑ
pinggan	pigaːn
pinilas	penilas
pinlandiya	penˈlˈˈɑndˈiˈɑ
pino	ino
pinoy	pinoj
pinsala	pɪnsala
pinsan	insan
pinta	pɪmta˥˩
pintahan	tiːn˧sǎ˥hɑn
pintakasi	kintakaas
pintas	pintas
pinto	pɪ˥˩n˩˩˦tɔː˥˩
pintor	pintor
pintuan	bintuan
pintura	pintuɾa
pinturahan	pintuɾaːhæl
pintô	pintˈo
pinuno	pˈinˈʌnˈo
pinupog	pʲinupoɣ
pinupupog	pinuppʊpog
pinuyat	pi˥˧nuaɪoʔ˨
pinya	pigna
pipiliin	fipɪliːˈin
pipilitin	pipilitin
pipino	tipino
pipoy	pipoi
piraso	pirasoo
piring	pirinː
pirmahan	pirmahaːn
pirmi	perme
pisa	bisˈa
pisain	misai
pisara	pizsaɾa
pisika	pˈisika
pisilin	ɾˈisˈɛnɪm
pisngi	bɪsˈniː
piso	piso
pista	bist̪at̪
pistang-bayan	mɪsteˈtaːŋbaːjɛn
pitaka	pʰiːtɑːkʰrɑʔ
pitik	pitik
pito	pɪto
pitong	p˨at˦u˥˧
pitsel	tʃɛl
pitumpu	bitunpo
pitò	pito
pitó	pʲitɕo
piye	pie
piyer	pˈeɪɹ
piítan	piiˈtan
planta	planta
plantsa	plãn̪t̪a
planuhin	laːnˈuhin
plaridel	laribenne
plastik	plastˈik
plataporma	plataporma
platapormang	platˈaplˈman
platito	platito
plato	lato
plauta	lau̯sa
pluma	pluma
pocholo gonzales	potʃolo gonzales
pogi	pɔːgɪ
pogita	pukd̪it̪a
pok-pok	bɑqtɑq
pokpok	pˈɛkpˈɔ̃
polillo	puʎigiu
polisya	pɔːlˈiːʃa
politika	politika
politiko	politiko
pondohan	qoːndaːn
pook	ook
poot	poeː
porsiyento	proʃɛntɔ
portuges	pɾˈoːktˌubgˈɛz
pos opis	post obis
posibilidad	pɔsibiliðad
posporo	pɔspɔrɔ
pota ka	pɔtɑʁɑ
potenciano alino	tʃɛt̪ɛnʃaːnɔː alilio
praktikal	pɾaktikal
prambuwesas	prenboestas
prangko	plankɔ
praning	ɾɑnɪŋ
pranses	fɾɑnsɛs
pransiya	brantʃa
pransya	pranʃa
premyo	pɾemjɔ
preno	prɛno
presa	pɾesa
presentasyon	pɾesentaɾsõn
presidente	presidente
presinto	ɾesent̪o
presko	resko
presyo	pɹeʃo
pridyeder	prʲidzʲideʲe
prinsesa	pɹɪn˧sɛsɚ
prinsipe	prinˈtʃipe
prinsipe't	pintsepet
prinsipyo	prensipjo
prito	pɾjˈto
pritong	propritoŋ
probinsya	pɾɔbinsa
promdi	tromdi
propesor	pɾɔfesor
prosperidad	prospeɾidant
prosti	prosti
prusisyon	pɾɔsisiõn̪
prutas	prutas
puday	puːdaj
puerto princesa	wˈɛɾto pɾinθˈesa
pugad	pugan
pugita	pugita
pugon	ugon
puhunan	poɦunan
pukaw	ɦuːqawʔ
pukawin	puqaɫin
puki	puki
pukinangina mo	tɔkɛ nŋ ɛnɑmu
puksain	puqsɑʔiːn
pukyutan	tˈɛ̃glˈutən
pula	qullɑ
pulbos	bɔlbos
pulgada	pulgadda
pulgas	ulgas
pulisya	pɔljsʃa
pulitika	lanˈire
pulitiko	politiko
pulo	ulˈo
pulong	pulo
pulot	plot̪
pulseras	pulseɾas
pulso	tʃu
pulut-pukyutan	ulutpɔkjutan
pulutan	polutan
pulúbi	unupi
pumalakpak	tɔmalapɑq
pumalo	omalo
pumanaw	pumanau
pumapanaw	puːmaːpaːnau
pumarada	pumaraːda
pumarini	umarine
pumasa	puːmaːsaː
pumasok	pʊ̃˥mɑːsk
pumatay	pumatai
pumayag	pumaːjag
pumiglas	uomglas
pumihit	umjɦjt
pumili	pˌumˈilɪ
pumilit	tɑgmiːlɪt
pumirmi	ʊ̞mɪ̞ɾme
pumisa	sã˥˥
pumukaw	umuqau
pumunta	t̪o̞munt̪a
pumunta ka rito	nomʊ̃ŋˈtɑkɑɾitʊ
pumuntá	kɔmuntaa
pumutok	fɑmɑtɑq
punasan	pʊŋaːsan
pundamental	punt̪ð̞ament̪al
pundido na ang bombilya, palitan mo na. (the light bulb is burnt out, change it)	pundi ɗoˈnɑ ɑːm ɓombilja palitanmo na
punduhan	pwnˈduːjɔn
punglo	umlɔ
punitin	unitin
puno	uno
punong-abala	punungˈabala
punong-lungsod	punũŋlũŋsɔd
punongkahoy	pɔnɔŋkaɦoi
punta	punt̪a
punta tayo sa bali, indonesia.	pwɛntɑ tɑjɛ səˈbɑli ɪndɛnɪsʃɑ
puntiryang	poɳtiɾjəŋ
punto	punto
punuín	kunuin
punyeta	kˈunˈeːta
punó	tɔ̃ˈo
punô	unˈo
pupulsuhan	qoːpəlsuħɑl
pupunta ako ng baliwag kasama ang aking pamilya.	pupʊntɑ ˈako nɑŋ baliwɑg kasama ʔeːl ˈakɪŋ familjɑ
pupunta ako sa baliwag kasama ang aking pamilya.	pupuntɑk sə baliwa kasamaedʒo ɑŋ ɑkɪŋ familjɑ
pupuntahan	pupəntahən
puri't	urit
purihin	poɾiːɦm
pusa	puːsˈa
pusit	poθiːt
puso	puso
puso'y	uzoi
puson	kʰʊ˨˩sʊn˥˩
pusta	ustˈa
pustahan	pust̪aːɦan
pusód	awseɔd
puta	ot̪a
putakti	pʰiːtp
putang ina mo	pɔtɑŋ jɛnɛmɔ
putangina	puːtæŋinɛ
putangina mo	pvtaŋ ʔ inamo
putbol	fˈʊtbɔl
putek	pʊ˥˩tik˥
puti	pot̪it̪
putik	puːtik
puting wisel	pot̪in ʝˈsen
puto	puto
putol	potolʲm
putulin	putuɭiŋ
putók	pˈutok
putól	tɔ̙l
puwang	pu˥˧waŋ˨˩˦
puwede	pwˈeðe
puwede ba'ng magtanong?	pwˈeðe bˈaŋ mˈag tanˈoŋ
puwede po bang magtanong?	kwa dɛ pˈou bˈaːn mˈaktanan
puwedeng magtanong?	pɔ̀ːj˩˩˦dn˧g mag̚˦˥tan˧ŋ˧
puwersado	pufado
puwersang militar	fueːrsŋ ɦid̪ikaɾ
puwet	fweɾ
puwéde bang inumín ang túbig na itó?	pwɛdɛ baŋ inominan tubig na ito
puyat	pujatpujat
pwede	pwˈeðe
pwede ko bang mahingi ang number mo?	pwɛdɛ kɔ baŋ mahiŋi aŋ nɑmbɛɾ mʊ
pwedeng	pwˈeðen
pwera usog	pʊɛɾɐ ʊ sɔg
pákò	pa˥˥kɔ˨˩˦
pára po sa kánto	paja puʃ qɑntu
pára sa kánto	barə səˈkɑnto
pérez	peres
pô	fɔː
púnò	puno
púsod	ʊsˈæd
pútol	utoi
pūlis	polˈis
quaipo	kjapo
quatro	kwˈatɾo
quezon	kɛːzon
quezon city	ke les sit̪i
quezón	keson
quiapo	kako
quirino	kirino
radyo	ɾaːd̪io
rafael palma	rafajɛl palma
rajah soliman	raha sɔlimɑn
rakista	rˈɑxˈɯstˈɑ
ramdam	nʲaˈn
ramon d. abellanosa	roˈmondi eˈtʃˈe ljˈenes
ramon magsaysay	ɾəmɔ̃n magsajsaj
ramon obusan	ramon obussan
ramon valera	ramonʲ valera
ranggo	raŋgo
rantso	antʃo
raw	rau
rebulto	kueɫɨtʃo
refrigerator	ɾɛfɾiðʒaɾaːtɔɾ
regalo	regalo
rehimen	nħigme
reklamo	reklamo
relasyon	ɾɾˌelaθjˈon
relihiyon	ɾiliθjɔn
relo	ɾˈlˈoːm
relós	ɾəlaːs
remedios t. romualdez	kɾɛnɛdʒɔsʲtʲiɾʊ mʊˈldʲiz
reorganisasyon	reorganizaʃon
repolyo	nɛpoʎo
republic of the philippines	ɹipˈʌblɪkəl ðə fˈɪləpˌinz
republika ng gitnáng áprika	rɛpublikaˈnɛn ɠitnɑŋ aprika
republika ng pilipinas	riporiporipoˈblika nɑŋ pilipinas
republikang dominikano	republikan dominikano
reputasyon	wapətˈɑʃtʃɔn
reserbasyon	ɾɾˌeseɾβaθjˈon
reseta	reset̪a
responsable	responsable
restawran	restauˈrɑn
resulta	ɾɪsˈtˈɑ
resíbo	resibo
retrato	retratu
reyna	ræjna
reyno unido	teinno ni
rico mascarinas	pliko maːskadʒoːnjas
rigodon	riguduɳ
rikado	rikado
rin	tʃto
rinig	rinjig
riyan	rian
rizal	pɾesˈaʎ
rizaldy	ɾizal̪t̪i
rodrigo duterte	rodrigo doterte
rolando s. tinio	rolando tiam injo
romblon	rɔːmblon
ronald	ɾɒnɒld
rosario	prˈɔssario
rosella	resˈˈlja
roxas	ɾuhɑs
rumano	umano
rumaragasa	ɾomɑɾtˈgˈastˈ
rumatsada	ɾɔmatsaːda
rurok	ruːɾq
rusiya	rusja
ríles	ɾˈimˌes
rósas	ɾɔsˈaːs
sa	sˈa
sa amin	saːmiːn
sa gitna	saɣ̞jt̪ na
sa halip na	sɛɦɛlip næ
sa halip...	tsɑɦɑlɪp
sa haráp ng	sɑhɑzaɦatɛnɑmɛn
sa hinaharap	sahina ħrap
sa ibaba	saʕbabaʔ
sa ibabaw	sa ʔibabau
sa ibabaw ng	sa ɪbaːbɑu nɑŋ
sa ilalim	saʔlaːlɪm
sa itaas	sa ɪtˈas
sa kabila	saqa biʔlɑ
sa kabilang banda	sɑqɑ bilaŋ bɑndɑ
sa kabilá ng	sa kaˈdɪlanoʝo
sa kabutihang-palad	sa kəˈbʊti haŋ pɑlɑn
sa kaní-kaníno ba ang mga iyán?	saːqaniː qɑniːnupɑmɑj ja
sa kasamaang palad…	sa ˈkɑsɑmɑaˈɑŋ palad
sa kasawiang palad	sa˥˩qɑh biːˈjaŋ paːlɐn
sa katunayan...	saqatunajan
sa lababo	sa la babo
sa labas	salaːbaːs
sa likod	saˈlikod
sa likod ng	sa liːkud dnaŋ
sa likuran	sɑlikɔɾɑni
sa loob	salo ɔm
sa loob ng	sa luʔob na
sa madaling panahon	sa madɑliŋ panahon
sa ngalan ng ama	saˈmaːlan nɑŋ ʔama
sa palagay ko...	sa pɑlɛgɑjkɔ
sa pamamagitan ng...	sa ba mɑmɑgijtɛn jɑ
sa panaderya ako bumibili ng tinapay.	sa pɑnɑgɛɾiɑ ɑkɔ muibilin nɑŋ tinapaj
sa susunod na buwan	sɛ susunˈod nˈˈɛbˈwan
sa susunod na buwan.	sˈasˈusunˈoˌnɑ bwan
sa susunod...	sˈa sˈu sˈu nˈod
sa tabi	zˈɛst kai
sa wakas!	sɒˈqas
saan	saʕnasaʕna
saan ito nahuli?	se ʔan tɔnɑhuːlɪ
saan ka man naroroon	saːan kamaːn naːrroːoːn
saan ka nakatira?	saʔɑn ʔɛn nɑ qɑtɪɾɑ
saan ka nanggaling?	sɛn ke nɛŋ gɑliŋ
saan ka pupunta?	sãn ka pwpuntɑ
saan kayo galing?	saːn tajo ʒalɛn
saan po ba nakakabili nito?	saˈan poː ban akakablɪn nito
saan po ba puwedeng magpapalit ng pera dito?	saˈan poː ba pwˈeɾdɪŋ mapapalitnɛ pɛrɑ ɗito
saan-saan kayo nakatira	saan saan kajo na katɪra
saan-saang	saˈansaˈaŋ
saba	sabah
sabado	sabado
sabagay	sabagaj
sabang	sˈɑbˌaŋ
sabat	sˈbət
sabatin	sˈabtiˈn
sabaw	savou̯
sabay-sabay	sɐbɛjsɐba
sabayan	sˌɐbˌæjˈan
sabihin	sɐbiːhiːn
sabik	sabik
sabit	tʃaːbim
sablay	sɐblɪɛː
sabon	sa˨˩mɔn˧
sabong	sabõŋ
sabsaban	sapsaβ̞ẽn̪
sabungan	saβolan
sadlak	sadlaq
sadya	send̪ia
sadyang nakakapagpabagabag-damdamin ang kanyang kwentong isinalaysay.	sɑˈdʒɑŋ nɑˈkɑkɑpɑk pabaggaabag nɛmdɑmin ʔeɲ� ɛnɲɛɲ kwento iːɾɪnɑjɛsɑj
sagabal	sagˈabˈal
sagad	sˈagˈad
sagada	sˈagadˈadˈa
sagana	sagana
sagasa	sagasa
saging	sa
sagisag	sagisag
sagitsit	sagitse
saglit	səgɭiːt
sagot	t̪eɣ̞ot̪
sagwan	sagwãn
sahig	sˌɐhˈɪg
sahod	sahud
sahog	sˌɑhˈɔg
saka	sˈɑqə
sakahan	saqaaħaa
sakali	saqaaːli
sakay	sakaj
sakayan	saqajɛn
saker	sɑqɛr
sakim	saqim
sakit	sakɪ̞ð
sakit ng puso ko.	sakit naŋ pusu ko
sakitin	sakitin
saklaw	sˤqloː
saklolo	saqlɑlɑ
sakong	saˈkɔŋ
sakop	saqʊp
saksi	sqɪ
saktan	aktaːn
sakuna	saqana
sakwil	saqwa
sala	sala
salabat	sanaba
salagubang	sˌælˈɛgubˌɑ
salakay	sælɑːkæj
salakot	sælˈʔaqːtˤ
salamat	sælɑmɑt
salamin	salaam
salansan	salẽnsant
salapi	sfɪ
salarin	salaːrin
salas	sɒlɒs
salaula	salaːwlaː
salawahan	sˤlwaaːhan
salawal	sˤwaːl
salawikain	saloːikːaɪn
salazar	alaza
salbahe	sɑlbaːʔeːɦ
sali	sˈæli
sali-saliwa	saliːsaliwaː
saligang-batas	saliˈgliɣaŋbatas
salikop	saliko
salimuot	saˈlimuːw˧əw
salin	saljˈˈa
salingbobog	zˈaˈlˌɪŋbʊbˌogɐ
salinlahi	sɐlɪjɦlaːhi
salipapaw	salifɑpɑɔ
salipawpaw	saliːpaːwˈpɑːw
salisi	salisi
salita	salit̪a
salitain	salisaen
salitang	salitaŋ
saliwa	saliwaaː
sallapadan	sælˈbɑdˤan
salok	salo
saloobin	salobin
salop	sɐlou
salot	salut
saloy	saloi
salpukan	sˈlˈpˈˈwkˈan
salubsob	salubsob
salubungin	salubuˈnˈin
saluhin	saluhim
salumpuwit	salumpõijɯt
salungat	fɛlˈnˈʁˈat
salusalo	salosalo
saluwal	saluaːn
saluyan	falaːlian
salvador f. bernal	salβ̞að̞oɾ una β̞eɾnal
sama	sama
sama-sama	samasama
samahan	saːmaːʔhan
samakalawa	smɑqːlɑuaː
samakatuwid	sammaqatuu̯iːd
samal	sɑːmɑːl
samantala	kamentala
samantalahin	saˈmɑntɑlɑhɪn
samantalang	saˈmantaːlah
samar	sɑːmɑːl
samba	sambta
sambalilo	sanakompano
sambat	sæmbˈat
sambit	səmbɪt
sambitin	samɓitˈin
sambut	sæmbˈɔt
sambutin	samɔtin
sampa	sampɑ
sampaguita	sampagita
sampaguitas	sampagitas
sampal	sãn̪t̪pal
sampalok	sempalo
sampay	sɐmpəj
sampayan	sɛmpajen
sampu	sampɔ
sampung	sampɔ̞n
sampû	sã˥˥pu˥˩
san carlos	san�ˈɑrlo ʃˈ
san fernando	sãn ɣeɾnado
san isidro	sanisidro
san jose del monte	sˈan xosˈe del mˈonte
san juan	san˥˧uan˨˦
san luis	sˌeˈælˈuˈɪs
san miguel	saːn mɪgˈɛl
san pablo	san paβlo
san quintin	sankɪnˈteːn
san roque	senroːkə
sana	sona
sana naman	sanə na man
sanay	saˈnaj
sanaysay	senˈejsˈai
sandaan	sendaiːn
sandal	sandaːl
sandal (verb)	sandəl
sandali	sʌndəli
sandali lang	sandə liːlɑng
sandamukal	sãn̪d̪amokal
sandata	santa˩˥ːta
sandatahan	sand̪ataɦan
sandatahang lakas ng pilipinas	sa ndatahŋ laqas nɑŋ pɪlɪɲas
sando	sãn̪t̪ð̞o
sandok	sendˈɑq
sang-ayon	samaajon
sanga	sæŋˈʁaː
sangay	saŋˈaj
sanggol	səŋgul
sanggunian	saŋguːnjɛn
sangkap	saŋ˥˥kʰa˥˥b
sangkapat	a
sangkatauhan	saŋkatakuan
sangkot	saŋkot
sangnilikha	sɐmniliːkʰɐ̃
