's avonds	saɾvons
vrouwemantel	fʁˈaʊənmɑ̃tˈoːl
vrouwen	fˈrauːən
vruchten	frˈyxtən
vuilnisbak	fæɫnɪspæk
vulkaan	lulam
vuylsteke	ʋˈœytstˌeːkən
vôornoene	føːnˈˈuːn
waaien	wˈaɪən
waakzaam	vagzam
waal	val
waals-brabant	ʋaːlsbrˈaːdɑnt
waar	vˈaɾ
waar is het toilet?	ʋˈaːr ˈɪs ə tʋˌɑlˈɛt
waarom	varum
waarschijnlijk	ˈwaːrsxˌɛɪnlək
waarzonder	waɣaɾɯzɔndɯɾ
waaterzooi	vatakzˈoɪ
wablief	wˈʌbli
wachten	lˈaxtɛ
wachtlijst	ʋˈɑxtlɛist
wallonië	oːlˈoːniː
walschaerts	ʋˈɑlsɣaːrts
walter van beirendonck	ʋˈɑltər vɑn bˈɛjrəntuːŋk
wanhopen	ʋˈɑnhˈɔpən
wanneer	lˈɑːmˈeːɹ
wantrouwen	ʋˈɑntrɛʊl
warm	varm
was	vˈas
wasmachine	vosmaʃinɛ
wasseige	ʋˈɑszˈɛɪɣən
wassen	vˈɑsən
wat	wɒts
water	bˈaɪtək
waterfietsen	ʋaːtərvˈitsən
waterloo	ʋaːtɛ�lˈo
waver	ɫavɛr
we	v
we moeten dringend kippenvoer gaan kopen.	ʋˈə mˈutən drˈɪŋət kˈipən vɑnˈɣənkˌɔpən
we proberen een taal te leren.	ʋˈɵnt prɔvˈeːrən ən tˈaːl tə lˈeːrən
we spraken	ʊ̞sbraːkʊ̞n
wedden	vˈɛdə
weduwe	vˈeːljˈandərə
weduwnaar	aːjynaːʁ
weeg	vˈeːç
week	wˈik
weekend	wˈikˌɛnt
weemoedigheid	iːmˈuːdəˈɪçhˈɛlst
weer	vˈiːlɪç
wees	piz
weet	viːt
weetnschap	viːtnskap
weg	rˈɛç
wegen	vˈeːɣən
wegwerpbaar	bˈɪʃˈɔwəbˈaɪx
weinig	β̞enʝ
weireld	vˈɛroːlt
wekker	vˈɛkə
wel	vˈaʊ
welbeschouwd	ʋˈɛlənbərsxˈɑlt
welgekomen	laʒkɔɫnˈɯn
welk	bɛlk
welkom	wˈɛlkəm
welkom aan boord	elkˈɔm ˈɑn bˈɔːrt
welsprekendheid	ʋˈɛlsprəxɛnthəɪd
welstellend	ʋˈɛlstəlˌɛnd
wereld	ðiːrult
wereldkaart	ʋˈɪːrəldkˌaːrt
wereldwijd	ʋˈɪːrəldʋˈeːt
werk	β̞erik
werken	β̞aɾɾakɾ
werkt	berkt
werkte	wˈɛrktə
werkten	ʋˈɛrktə
werpen	vˈɛrpə
west-vlaanderen	nˈɛɪfˈlˈaːntərˌeː
west-vlams	rˈɛstflˈɔns
westen	ɾɛstɛ
westende	vˈɛstəndˌeː
westhoeck	vˈɪstuːk
westvlaams	wˈɛstplaːns
westvleteren	bastfltɛrɛn
wet	wˈɛt
weten	vˈeːtə
wetgeving	ʋˈɛtɣəvɪŋ
weven	vˈiβɨ
wevinnebroek	wˌɛzətˈnˈˈobɹˈoʊk
weyden	vˌɛɾdən
wie	vˈi
wie zijt gij?	bizɪː tʃe
wieg	vˈiːç
wiel	vˈiːl
wij	bɛj
wijd	beːts
wijn	ɹeɪn
wijnegem	mæjlixim
wijzen	β̞eːsən
wil	vˈɪl
wil je pattaten hebben	vɪl jˈɪ pətatən hˌɛbən
willen	vɪlˈlum
willy vanderperre	bili vɑnˈdərpər
wilt	wˈɪlt
wim vandekeybus	ʋˈɪm vɑn dˈə kˈɛɪbɛs
wim vansevenant	ʋˈɪm vɑn sˈeːvənˈɑnd
wimper	nˈɪmpəl
winkel	wˈɪŋkəl
winkelier	vˌɛŋgɪlˈˌiːɾ
winkelomhei	vˈɛnkəlɔmhˈeː
wintereik	wˈɪntərˈɛk
wit	wˈɛt
woa	wˈɔ
woaterstof	vˈoːtˈɛstdˈoːv
woensdag	β̞unjsd̪eaix
wond	vˈɔnt
wonen	lɛ
woon	wum
woonplaats	vˈomplˈaːts
woont	wˈoʊnt
woord	wɔːrt
woorden	voɾðən
woordenboek	fɔːdˈɛbˈuːk
woordenschat	wˈɔːrdənʃlˈad
worden	ʊ̞rdʊ̞
worstelaar	bolˈɛztˈudˈaɾʃ
wouter weylandt	ʋˈɔʊtər ʋˈɛɪlˌɑnt
wraak	vrˈaːk
wuiven	lɛɪvɛ
wuk	lˈœk
wymersch	ðæjmjɪrs
xandro meurisse	ksanˈdɾˈo mˌeːrˌiʃˈan
yper	ipɛ
yves beaunesne	ˈi v bonɛznˈo
yves lampaert	iːvˈɔlˈaːmpˌaːrtˈ
zacht	sˈaʁt
zanbak	zˈɑndbˌɑk
zap mama	zˈɔp mˈama
zaterdag	saːtɛrdax
ze	ʒˈɔ̃
zedelgem	zinoːhæm
zee	zˈe
zeebrugge	sibʁɛ
zeger vandersteene	zˈeːɣər vɑn dˈər stˈeːnən
zeggen	zæ̹lɪ̞n
zeil	sˈeɪl
zeilde	zˈɛːld
zeilden	sˈɛld
zeilen	sˈeɪl
zeilt	sˈeɪlt
zelfbedruipend	zˈaʊfbətɾˌɔøɾbənt
zes	sˈɛs
zesde	zˈɛzə
zesenveertig	zˈɛsənvˈɪːrtəx
zestien	sestin
zestiende	sestinðe
zestig	sjɛstaj
zetmeel	zˈɛtmiːl
zettn	zˈæt
zeven	sˈivˈɛ
zevende	ˈseːvəndə
zevenenveertig	zˈeːvənənvˈɪrtəx
zeventien	sevʲɛteen
zeventiende	savɛtiŋdɛ
zeventig	sˈeːvəntˌɪɣ
zhebilding	t̪eβ̞iʝð̞ĩŋɣ̞
zich aanmelden aan	siʃ ʔɑmɛvɨl ʔɑm
zich ergeren	zˈɪç ˈɛrɣərən
zich scheren	six skˈeːrən
zich verloven	zˈɪk vərlˈoːvən
ziek	zˈik
ziekenhuis	zˈikənhˌɛys
ziekte	siktɛ
zien	ɣ̞em
ziet	sˈit
zievereer	zˈiðrˈɑɾ
zij	se̞
zijn	zen
zijn familienaam is bossuyt.	zˈaɪn famˈiːlˌiːnamen dˈas bˈɔsɜt
zijt	zˈɛt
zijt gij	zˈɛdge
zijvertrek	zˈɛɪnʋərtrˈɛk
zilverpand	zˈɪlvərpˈɑnt
zin	sɪ̞n
zink	zˈɪŋk
zit	sˈɪt
zo	sˈoː
zoe	zˈuvi
zoethout	zˈʌtɾˈoːtʃ
zomereik	zˈɔmɚˈɛk
zon	zˈɔ̃
zondag	sˈɔndɑx
zonder	zumlɯr
zonnebeke	zˈɔnˈɛnpəɪkən
zonnebeke-beselare	zˈɔnəbˌeːkəbeːzˌeːlaːrˌeː
zonsondergang	sˈɔnsˈɔndərɣˌɑŋ
zoon	zˈɔ̃
zorgkundige	zˈɑxkɵndˌeːɣən
zot	zˈɑt
zuid-afrika	sau̯raːfriːk˩a
zuid-afrikaan	zˈɔytˈɑfriˌkˈɑn
zuiden	zˈeɪdə
zullen	zɯɫɯ
zulte waregem	siwˈ tə wˈaːrɪɣəm
zunne	zˈum
zus	sˈus
zusje	zˈʌ̃a
zuster	zˈʌstɛr
zuurdesem	syrdˈesˈɔm
zuurstof	sʲistof
zwaaien	svajɐ
zwager	sʋaːɣɛr
zwanezang	zwˈɑlnˈəzaŋk
zwanger	sʏɫɛŋɯɟ
zwangerschap	zʋˈɑŋərˈɛsʃˈɑp
zwart	svˈɛʁt
zweden	sʲvʲejdɛ
zyn	zɯn
zêe	zjɛ
zêeland	zˈeːlˌɑnt
é	e
één	en
êen	iɛ
ôok	vˈok
