aborigiidna	aborɛgjna
skuvlahistorjjás	skuvlahistoriaˈs
skuvlahistorjját	skuːvlahistoɾiat
skuvlahistorjá	skulˈlahistoriˈa
skuvlahistorjái	skovlahistoriaj
skuvlahistorján	skulˈɑhistoˈriːˈan
skuvlan	skuvlan
skuvlaoahppi	skuːlawɑhˈupːe
skuvlaoahppin	skuːvlɑwɑhbɪn
skuvlaoahppis	sˈkˈuːvlɜˈɔfbˈɪs
skuvlaoahppit	skuːvlaːoːhβ̞ɪkt
skuvlaoahppái	skuːflawɑhbai
skuvlaohppiid	skuːvlaːoːħbit
skuvlaohppiide	skuvlaˈɔːbɪrˌe
skuvlaohppiiguin	akuulaɔhpikoin
skuvlaohppiin	skuːlaɑːhbɪn
skuvlii	skuːvliː
skuvlla	fkovla
skuvllaid	skulˈvlaːt
skuvllaide	skuflajtɛ
skuvllaiguin	skulvlajkoin
skuvllain	skuvlˈˈaɪnˈ
skuvllas	skovlas
skuvllat	sˈuːvlˈahd
skábmagovat	dˈoːdmˈagˈoːvˈa
skádjačearru	skadʒːatʃerro
skádjačearu	skadʒatʃearo
skádjačearus	skadʒatʃearus
skádjačerrui	skadʒatʃerroi
skáhpa	skˈaːpa
skáhpaid	skˈarpˈatˈ
skáhpaide	zgˌɛːħpˢajdˌe
skáhpaiguin	sˈkɐɹbˌɐigˈojnˌ
skáhpain	sgˈaːrpˈinˈ
skáhpas	skˈarˈpˈɐs
skáhpat	sˈɣɐħbɐt
skáhppa	skˈˈapːˈa
skáhppan	skˈɐhbˈan
skáhppii	skˈaħbe
skániid	sˈganid
skániid suohkan	sˈkaːr nˈeː dˈiː ˈɛst
skániide	skanide
skániin	sganin
skánik	zˈganːiːk
skánit	eskiont
skáraskáiddi	sgaagaskinte
skáraskáiddis	sgaːraːraːgɛːttə
skáraskáidi	skadɑskalte
skáraskáidái	gaaðasgajptai
smávis	smɑvɪf
smávva	snava
smávvamánná	smalaːmanna
smávvamánnái	sa˨˩maːnwa˦˥maːn˧naj
smávvamánnán	smalvajmønnæn
smávvamáná	smaːlbaːmaːna
smávvamánáin	sˈmˈavvɑmˈɑneɪn
smávvamánás	smaːbvamɑːnas
snihkkár	sˈɛnˈɛsˈɛr
snihkkára	sn˩˥ːg˥˩gaːraː
snihkkárat	sˈniːkgˈɑrɑːt
snihkkárii	sˌniːxˈgarri
snihkkáriid	sˌniːxˌkˌɛɾiːd
snihkkáriidda	sˈɛstnˈɪçtgˈɐlˈɪtˈa
snihkkáriiguin	seniskariːen
snihkkáriin	sˈniːʒgˈɑriːn
snihkkárin	sˌeːɛʃkˈaɾiːn
snihkkáris	tˈeːstnˈiːkˈɛskˈarɛft
snoase	snoasse
snoases	snˈoːɹsˈɛs
soahti	suahti
soahtin	sɔɑhtin
soahtái	suaħtɛj
soai	sɔai
soađegili	swaːd̪gjˈli
soađegilis	svarikiːls
soađegilli	sʊ̞ɑðikɪlɪ
soađegillái	swaːriːkiːlˈlai
soađi	sɔaɾi
soađis	soavis
soađit	sɔːrˈɪçt
soga	sɔːgɑ
sohka	sohka
sohkabuolva	soxkapbalo
sohkabuolvva	sohkˈɑpˈolʲˈovɑ
sohkar	tojkɑr
sojaha	sɔˀjaha
sojahan	sɔːjɑhæn
sojahanhámi	sɔjɑːrhæmɪ
sojahanhámiid	sɒjahænhɒːmid
sojahanhámiide	soːæjæːnhæmiːde
sojahanhámiiguin	saːjahãnhɑːmiːgwn
sojahanhámiin	saːjhɑnhæmiːn
sojahanhámis	soːjahãnhæmis
sojahanhámit	sɑːjaːhˈɛnhˈɛrmɪkt
sojahanhápmi	sɑːjɑːhænhæpmiː
sojahanhápmin	sɑːjɑːhænhæɾmɪn
sojahanhápmái	sˈoːjahˈanhˈapmˈaɪn
sojahat	sˈoːjˈɑːhˈat
sojaheaba	soːjɑhæːɑpæ
sojaheahppi	sojæhæˌˌpi
sojahedje	sˈoːjɑːhˈedʒːe
sojahehpet	sˈoːjˈɑːhæxbeːt
sojaheidde	sˈoːjˈɑːhˈɛjdə
sojaheiddet	sˈoːjˈɑːheːˈiːdˈɛt
sojaheigga	soːjˈɑheikˌɑ
sojaheimme	sˈoːjˈɑhejmə
sojaheimmet	sˈoːjˈɑheimˈɛt
sojahetne	sˈoːjˈɑːhˈɛtnə
sojahii	sˈoːjˈɑːgˈhˈ
sojahin	sɔjɑhɪn
sojahit	sˈoːjˈɑːhˈɪt
sojat	sɔjæt
somá	saːma
somás	sɑːmɑːs
son	sɔːn
sosialisttalaš	θoˈsialistɒlɒʃ
sosialisttalaš gurutbellodat	sɒssˈeˈɒlˈisˈtɒlˈɒʃ guˈrɒb pɛlˈlɒdɒ
sosiologiija	sosˌiolˈokeɪa
sosiologiijain	sosjolokeiain
sosiologiijan	sosiologian
sosiologiijas	sˈoˌsjolˈokeˈias
sosiologiijii	sˈoːsjolˈoːkjjˈɛ
sosiála	sɔsiala
sotnabeaivi	sotnapæeaiwi
sotnabeaivin	sˈotnɑpæivin
sotnabeaivvi	sotnapæivʲi
sotnabeaivvis	sotnapæiviz
sotnabeaivvit	sˈɑtnabˈɛajvɪkt
sotnabeaivái	sotnapjaːjvaj
sotnabeivviid	sotnapɛjbit
sotnabeivviide	sɔpnapɛjbidɛ
sotnabeivviiguin	sotnapɛivikyn
sotnabeivviin	sotnapei̯viːn
sođiid	sˈoːvid
sođiide	sɔvide
sođiiguin	soˈviːguːn
sođiin	sɔɾvjˈin
spierkojávri	spiankoiauɾi
spierkojávrri	bjˈɛlkoˈjɑːb
spierkojávrris	spiːjˈarkojˈaˈvendis
spierkojávrái	piarcoiau̯ra
spierkávži	pialpauʒe
spierkávžis	spialkoaudʒis
spierkávžái	spjerkaudʒaj
spábba	spabːa
spábban	spabːan
spábbii	spabːe
spánskkagiela	spɑnˈskɑkielˈɑ
spánskkagielain	stãn̪t̪s̺kakealaĩn
spánskkagielas	spanzkakialas
spánskkagielat	spanskakielˈla
spánskkagiella	spæˌˌnˈsˈkɑkella
spánskkagiellan	zpɑnskɑkellæ
spánskkagillii	anskakili
spáppa	spˈaːpa
spáppaid	spapːait
spáppaide	spakbˈajdˌe
spáppaiguin	spapːajːn
spáppain	spapːajn
spáppas	spapːas
spáppat	spapːart
statistihka	stɑːtdˈiːˈɪstˈɪçtkˈɜ
statistihkaid	statesttixkai
statistihkaide	taːftdˈistˈiːçkˈaɪdə
statistihkaiguin	sˈtˈaftdˈɛstˈandərəkˈʊɪnˌaɾ
statistihkain	statdˈasrˈɪçtɪgəˈɪçkəln
statistihkas	statistʃtˈotˈi
statistihkat	zˈtˈatˈdˈiːˈɪçgˈaxt
statistihkka	stˈatˈaʊxˈiːçkə
statistihkkalaš	stˈaɾtˈɪstdiːçkalˈaʃ
statistihkkan	ʃtˈɑːtˈɪstɪçtgˌaɾn
statistihkkii	stˈatˈɪstˈɪçtgˈeːç
stierdná	sdjaɾnætnɑ
stierdnái	tʲarɛtnaj
stiertná	stjɛrtna
stiertnás	ztʲernas
stivra	stivra
stivran	stˈɛvɹˈʌn
stivrii	sˈtɛvɚi
stivrra	stivra
stivrraid	stˈivɹˈaɪt
stivrraide	stˈeəvɾidɛ
stivrraiguin	stˈevɹˈagoɪn
stivrrain	stˈevɾɾɪnˈe
stivrras	stˈemɹˈʌs
stivrrat	stˈɛvɹˈɑht
stoaga	stoaka
stoagai	stoakai
stoagaide	stɔakaide
stoagaidet	stɔakɛidɛt
stoagaiga	stojkaikai
stoagaime	stɔagaime
stoagaimet	stojˈakˈæjmˈɛt
stoagan	stuˈɔkɔn
stoagat	storagat
stoahkaba	sˈtoːɐxˈgɑːbɑ
stoahkabeahtti	stoːɑhˈkɑpeːɑtti
stoahkabehtet	storkapæxte
stoahkan	sto˩˥ːrkan
stoahkat	stoːkat
stoahká	sdoːka
stobu	stɔbu
stobuid	stɔɔbuit
stobuide	stɔbujre
stobuiguin	stɔboːjgoin
stobuin	stɔɔbujn
stobus	stobus
stobut	stɔvˈuht
stohke	sˈtˈoːke
stohken	stɔɦɛn
stohket	stɔkɛt
stohpu	stɔxpɔ
stohpui	stɔpoj
stohpun	stɔħpʊn
studeanta	studːanta
studeanttat	stˈudəntatˈ
stullui	stowluloi
stunže	stundʒe
stunžeba	stuːngɛba
stunžebeahtti	stuːndʒːbˈɛrtːi
stunžebehtet	ztʊnʒɛbʲaʃtɪdt
stunžejedje	stundʒeiedʒe
stunžejetne	stˈuːndʒejˈˈtnə
stunžejin	stuːndʒeːɪn
stunžejit	stˈundrˈjət
stunžen	stundʒen
stunžet	stundʒet
stunžii	stundʒi
stunžiide	stundˈiːre
stunžiidet	stˈunˈdiːrˈɛt
stunžiiga	stundigˈa
stunžiime	stundʒime
stunžiimet	stˈundʒˈimˈɛkt
stuollu	stwˈɛlɔ
stuollun	stwɑlˈlɑn
stuolu	stualo
stuoluid	stuɐlɔjt
stuoluide	stualoi̯de
stuoluiguin	stualoikoin
stuoluin	stuoloi̯n
stuolus	stuolus
stuolut	stuːɐlʊft
stuora	stˈuːaɾa
stuora liidnavuotna	stˈɔrəliːn nˈɑvɔtnˈɛ
stuorajoga	stuaɾaiɔˈga
stuorajogas	stùɔ̯rajûɔ̯kass
stuorajohka	storajɔhka
stuorajohkii	stˈoːrˈajˈɑːgk
stuoris	stuːaɾiːs
stuorra	stwˈarˈla
stuorra rohči	stwˈera rˈɔxtʃi
stuorra ruitu	tʃi er raruitu
stuorradiggepresideanta	stʊeradɪgˈɛprɛstɪdˈɛantˈa
stuorradiggepresideantan	stwˈerɾadˈikɛprˈestideantˈan
stuorradiggepresideantta	tʊˈɛrˈɾatɪkeprɛzɪdɛnta
stuorradiggepresideanttaid	stʊɛlɾadɪkɪːprɛsdʲidɛɑŋtajt
stuorradiggepresideanttaide	s̺t̪oeɾɾad̪ikpɾest̪ibe̞ɦãn̪t̪taid̪e
stuorradiggepresideanttaiguin	stʊɛrɾadɪgɪprɛsɪdʲanˈtˈaegujnˈa
stuorradiggepresideanttain	stʃtuaɾadikiprɛsidentain
stuorradiggepresideanttas	stuʃradigepreztidentas
stuorradiggepresideanttat	stʊɛɾɾadɪkeprɛsdɪdɛandat
stuorradiggepresidentii	stwˈɛrɾadˈigɛprezsˈidenti
stuorradiggeáirras	tʃiːziælˈdʒigeæjˈrɑs
stuorradiggi	stuaradɛge
stuorradiggin	stuaːrːadːigːiːn
stuorradiggái	tʊˈalˈlˈadɪgːaj
stuorradikki	stuˈɑlˈladikːi
stuorradikkiin	stuaːrladekːinˈa
stuorradikkis	stvaradikis
stuorrajoga	stweraljoga
stuorrajogas	stwerajogas
stuorrajohka	stwˈɛrɾaɪˈɔkˈa
stuorrajohkii	estˈoellajˈoke
stuorravári	stʊˈɛlˈravaˈrˈiˈ
stuorraváris	stʊˈɛlzˈavadɪs
stuorravárri	tʊezlavˈaze
stuorravárrái	d̪uezaˈvazaj
stuorámus	stuaɾzamos
stáhta	daːhtˈa
stáhtalaš	sˈtaːɦtɒlɒʃ
stáhtaministtar	staːhtamɪnistˈar
stálja	staːliːa
stáljaid	talja
stáljaide	taːljɑjte
stáljaiguin	t̪alʝajkõi̯n̪o
stáljain	staːlioglion
stáljas	staljas
stáljat	otʃoːtɒːliːʔaːt
stállja	tsdalja
stálljan	stalˈljɔn
stálljii	staliːe
stállu	stall
stállui	stallue
stállun	stallon
stálu	stalo
stáluid	staːɦalut
stáluide	staaluide
stáluiguin	staalljkojn
stáluin	stalojn
stálus	stalus
stálut	staːlut
stámpa	stampa
stámpii	stampi
stámppa	stˈampa
stámppas	stampas
stávval	staval
stávvala	stavɐla
stávvalat	staːvɑlɑt
stávvalii	ztava
stávvaliid	staːvkaˈdiːt
stávvaliidda	tavaljdːa
stávvaliiguin	staːvɐliːguiːn
stávvaliin	staːvalina
stávvalin	staːvɐljn
stávvalis	stafɛljz
su	sɔ
substantiiva	sʊbstantˈiːvˈa
substantiivan	supstantiɛvan
substantiivii	sufsdaːnˈtˈɪvɪ
substantiivva	sʊbstˈɑːtivˈɑ
substantiivvaid	sˈubstˈanˈtˈvˈaɪt
substantiivvaide	sʊbstantiɪmvajte
substantiivvaiguin	subst̪ãn̪t̪jnvajko̞jn
substantiivvain	suːbstaiːtɪg̊iːmvajn
substantiivvas	sufsntivas
substantiivvat	sˈuːbstˌantˈɛnvˈat
sudno	suːnˈnɔ
sudnon	suːtnˈɔn
sudnos	suːtˈnˈɔz
sudnuide	suːtnojda
sudnuin	tsˈoːnˈɔøn
suinna	suːjna
sullii	sʊɫli
sullo	sulˈlˈo
sullos	suljellɑs
sullot	sˈuːllˈɔft
sullui	sulɔj
sulluid	sulloːit
sulluide	sullute
sulluiguin	sʊlɔikoin
sulluin	suːlˈɔin
sunin	soːnɛn
suohkan	sˈoːɑħakan
suohkana	swɑhkəna
suohkanat	sauːaːħkanalt
suohkanii	suħkaniː
suohkaniid	sˈuːħkˈanid
suohkaniidda	suokˈanitˈtˌɑ
suohkaniiguin	suähkːämːiːjɪkuiːn
suohkaniin	sɔɑhgɑniːn
suohkanin	sokakɛnæn
suohkanis	sokˈanɪs
suohpajávri	soˌɑhpaˈjauˈri
suohpajávrri	sˈoːaħpaɪˈaːbɾe
suohpajávrris	sˈvˈɑhbjˈæʏrɪs
suohpajávrái	zoːˈħpaˈjawreːˈ
suoli	sˈuːal
suologáissá	sualokaesza
suologáissás	suɔloːgajssɛs
suologáisá	suɔlːʊkˈaɪzsæ
suologáisái	suɔlɔge̞jsej
suololuobbalat	sualɑlwɑpbalaht
suoločielggi	swˈɔlotʃˈelki
suoločielggis	suolotʃeˈlkis
suoločielgi	sualotʃaliki
suoločielgái	s̺uɔlɔtʃe̞le̞kai
suolu	suɔlːo
suolun	suɔlːun
suoma	suoma
suoma sámediggi	suomɑ sɑːm teikːi
suoma sámiid guovddášsearvi	suɔmɛ saːmi dgɔltɑʃ sɛrvj
suomagiela	suomɑkeælˈlˈɑ
suomagielain	suomɑkeˌelɑĩn
suomagielas	suɔmɑkeɑˈlɑs
suomagiella	suomækjællɑ
suomagiellan	suomɑkælːɑn
suomagillii	suomakili
suomas	suamas
suomasta	suamast̪a
suomastan	sˌuɐmeˈstˈan
suomastat	soamastˈa
suomasteaba	soiamastæˈaba
suomasteahppi	suomestˌeæppˌi
suomastedje	sˌoːamastˈeːtʃːe
suomastehpet	suomɛstɛhbit
suomasteidde	suomast̪ejð̞
suomasteiddet	suːamˈastˈeidˈeːt
suomasteigga	suɔmɑsteˈika
suomasteimme	suomasteime
suomasteimmet	suɒˈmɒsdɒimˈɒkt
suomastetne	suomɛsteːtnæ
suomastii	suamesti
suomastin	soˈɑːˈæmestˈɛn
suomastit	zoːˈɛmɑːˈɛsdɪçt
suopma	swɒbma
suopman	sʉmãn
suopmana	sapmanɑ
suopmanat	sapmanat
suopmanii	sapmani
suopmaniid	swapmania
suopmaniidda	suatmanitˈa
suopmaniiguin	swobbmanieko
suopmaniin	sapmaniːn
suopmanin	sahabmanː
suopmanis	suβ̞aβ̞bãnes
suorbma	svarətma
suorbman	svˈaːləpmən
suorpma	svarma
suorpmaid	suaɾbmai̯d
suorpmaide	svapmɛ̃ːtɛ
suorpmaiguin	svæɾbmajguːn
suorpmain	suaɾbmai̯n
suorpmas	sfɛɾmˈas
suorpmat	svarmaːt
suorta	svˈɛltˈa
suortta suohkan	suɛl tə sɔħkɔ̞n
suorttas	swalˈtas
suovvaguikii	sɔvɐgoikˈe
suovvaguoika	suavakuaʲikːa
suovvaguoikka	suɔvɑkoːˈlka
suovvaguoikkas	swɔvakwɑikːas
sura	sura
surbmii	sˈaʊtɪdmˈeɪ
sus	sɔs
sutnje	sutnʲa
suvrra	suβ̞ɯl
suvrris	suːɾɪs
sábbáha	sæɾbæhɑ
sábbát	sɑhɑtbaħd
sáhte	a
sáhtte	a
sáhttet	sħt̪t̪
sáhttiba	sahebɑɾ
sáhttibeahtti	sahtiberˈiti
sáhttibehtet	sˈaxtdˈiːbˈɛçtət
sáhttit	seˈte
sáhttá	sˈahtˈa
sáhttán	sħɑhtan
sáhtán	sahta
sáhtát	sahdæt
sálašoaivi	saːlasˈuaːjvi
sálašoaivvi	saːlaʃwaːjvi
sálašoaivvis	saːlaʃoaːjvist
sálašoaivái	saːlaʃwaiːbaːj
sálašvággi	ˈsɒlɒʃvɒgːe
sálašvággái	saːlaʃvagaj
sálašvákki	saːlːɛʃvˈakːi
sálašvákkis	sɒlɒʃvɒkːit
sálbma	salɑbmɑ
sálbmagirji	salabməˈkɪri
sálbmagirjin	saːlabmɛkɪrɪjɪn
sálbmagirjji	saləbməkɛriːe
sálbmagirjjiid	sælˈæbmækgeːɾʲeːt
sálbmagirjjiide	sælæpmækːeːrgeːdæ
sálbmagirjjiiguin	saləbmɑkɛɾuikoɲ
sálbmagirjjiin	sælæbmækˈriːjæn
sálbmagirjjis	saləbməˈgeːriːe̞s
sálbmagirjjit	saləbmɛkgeːriːˈt
sálbmagirjái	salabmakedejai
sálbman	sˈaːləbmˈan
sálbmii	tsɾpme̞
sállan	salaːn
sállana	sallala
sállanii	salani
sállanis	sãːlˈlˈaːnɛθ
sállir	saliɾ
sállira	saliɾa
sállirii	salire
sálliris	saliris
sálmma	salma
sálmmaid	salmaj
sálmmaid girji	tʃãl mʔətʃʔriːj
sálmmaide	sahɛlmaʔtɛ
sálmmaiguin	sˈalmˈaɪkˈuɪn
sálmmain	sælmɒjn
sálmmas	sɑːlmɑs
sálmmat	sælmæt
sáltet	falt
sámediggepresideanta	s̺amd̪ikpɾe̞stid̪ẽn̪t̪a
sámediggepresideantan	s̺amed̪igɛprɛsidɛntan
sámediggepresideantta	samedˈigːɛprɛsidˈɛnta
sámediggepresideanttaid	sãːmɛdikːɛpɾɛsidiːjɐnttaɪt
sámediggepresideanttaide	s̺amed̪ig̞epɾẽs̺id̪ẽn̪t̪aid̪e
sámediggepresideanttaiguin	saːmadɪkɪprɛsidiˈantagʊˈinˈ
sámediggepresideanttain	samedˈiːkɪpɾˌɛzɪdˈɛntˈaɪn
sámediggepresideanttas	samnɪgɛprɛsidentas
sámediggepresideanttat	sarˈmədɪkpɛrˈsidɛntat
sámediggepresidentii	samedikepreztidenti
sámediggeáirras	saːmiːdigːgeːaɪvɑs
sámediggi	saːmaiːtki
sámediggái	saːmdiːkkaj
sámedikki	saːmiːdiːqːi
sámedikkis	samdetikis
sámegiel	saːmikɛl
sámegiela	sæˌˌmˌikˌeɑˌlˈlɑ
sámegielkursa	saːmiːkjlkursa
sámegielkursan	saːmiːkalkulsˈan
sámegielkursii	saːmkelkursi
sámegielkurssa	sɑːmɛkelkulsɑ
sámegielkurssaid	saɦamɪkːelkuːlsajt
sámegielkurssaide	saːmiːkælkursaːida
sámegielkurssaiguin	sɛɐmɪkelkulsɛkoin
sámegielkurssain	sɑɑmekɛllkulstaɛ̀n
sámegielkurssas	saːmiːkħɪlkuːlsˈasˈ
sámegielkurssat	saːmiːkæˈlkʰælsɑhˈt
sámegiella	fɛɾmɑjkæloa
sámegillii	sɑːmkiːllj
sámekonvenšuvdna	saːmɛkoːvnbɛnʃovutna
sámekonvenšuvdnan	saːmikɔnvɛrʃovutnɛn
sámekonvenšuvdnii	sämkɔnvɛnsuːvni
sámekonvenšuvnna	samɨkonvɛntʂovna
sámekonvenšuvnnaid	sˈɛʁmˈɛkˈɔnvɛtʃuvnˈaɪ
sámekonvenšuvnnaide	samɛkonverntʃuvnajid̪e
sámekonvenšuvnnaiguin	saːmˈɛkɔnmɛnʃuːnɛkɔjn
sámekonvenšuvnnain	saːmʔɛkɔnvɛrtsɔvˈnˈanˈ
sámekonvenšuvnnas	saːmɨkɔnvɛntʃuvunas
sámekonvenšuvnnat	saːmɛkoːnvɛrˈtʃuːvnɑː
sámevuhtii	saːmvˈuhti
sámevuohta	saːmvoːħdˤa
sámevuohtan	saːmvuaħtan
sámevuođa	saːmvˈɔva
sámevuođain	saːmvˈoːɹbˈeɪn
sámevuođas	samvualas
sámeálbmot bellodat	sɑːm ɑlæb maːɦbæl nɑ dɑːd
sámi	saːme
sámi allaskuvla	sæˌˌmi ˈɑllɑs kˌulˌlɑ
sámieatnan	saːmiːæftænæm
sámiid	saːmiːd
sámiid riikkasearvi	saːmiːd rikːa sɛrvj
sámiid álbmotlihttu	saːmiːt ɑl ɔb mɔrlixtu
sámiráđđi	saːmiraːdˤi
sámis	sɑːbɪs
sámit	sɑːrmɪçt
sámmol	sæmˈmæl
sámás	samas
sámásta	sɑːmɑsda
sámástan	saamastan
sámástat	sˈɐmˈɑstˈat
sámásteaba	sɛæmɛsteɑpa
sámásteahppi	saːmestˈeˈɑhˈb
sámástedje	samastedʒɛ
sámástehpet	saːmztɪjhp
sámásteidde	samastejte
sámásteiddet	sɛɛmɛsteidɛt
sámásteigga	sau̯mazteːɪka
sámásteimme	saːmˈɛsteːimɛ
sámásteimmet	sɛɛmɛsteimˌeː
sámástetne	sææmæsdætne
sámástii	saːmɐsteː
sámástin	saːmɑstjn
sámástit	saːmasˈtˈiːt
sáni	staːni
sániid	taːnid
sániide	saːnide
sániiguin	sãneːnɛɣɔjn
sániin	saːn
sánis	saːnæs
sánit	saːmiː
sápmelaččat	sɒbɒlɒtʃiːt
sápmelaš	sæbmɪˈlæʃ
sápmi	saˈne
sára	sara
sárdnideaddji	sarnediʔe
sátnegirji	sɑhˈtnɪˈgæɾige
sátnegirjin	satˈnikɪlgɪn
sátnegirjji	saːrtniːˈgeɾije
sátnegirjjiid	sanekɛllɛbjɛt
sátnegirjjiide	satʰniːgɪlgide
sátnegirjjiiguin	sɐrtnekɪɛvɪɛkɔjnɐ
sátnegirjjiin	saʔtnegeːɾviːn
sátnegirjjis	sɑːrtnegiːriːe̞s
sátnegirjjit	saːtnegeːriːjeːt
sátnegirjjáš	saɾtnegeːˈbjeːʃ
sátnegirjjáža	saːrtnikkɪrjadʒa
sátnegirjjážat	saʔtnegeːrjadʒaxt
sátnegirjjážii	saːtˈnˈɛdgriː˧ɑːg˥˥
sátnegirjjážiid	saːrnegiːˈriːjaˈdʒid
sátnegirjjážiidda	sart̪nikɛɾjadʒit̪ːa
sátnegirjjážiiguin	sɒˈhɒtnˈˈeˈʒˈiviadʒiˈiˈkuˌniˈ
sátnegirjjážiin	saːrtnegiːrjadʒeːn
sátnegirjjážin	sanekevjadʒin
sátnegirjjážis	saːrtnegeːriːjatˈeːs
sátnegirjái	satʰniːtʃʃɑːdʒiːje
sátnejođiheaddji	satniɔliːhɛdʒɪ
sátneluohkká	sɛrtnaːlɔhgɑ
sátneluohkkái	sætnˈeːlˈoːkːˈkej
sátneluohkkán	sɛrtnɛloːˈɑtgɛn
sátneluohká	satˈnˈlˈoːtgə
sátneluohkáid	sˈaɾnˈəloːtkˈɛlt
sátneluohkáide	sanaluakajde
sátneluohkáiguin	saːtnloːaːtkɛnˈgɔn
sátneluohkáin	sɛrtɛnɪlɔɐkkai̯n
sátneluohkás	sætnlˈoːrkæz
sátneluohkát	satˈnˈlˈuːat
sátni	safi
sátnin	saːnˈnɛn
sátnái	sa˥˩nˀɛ̀
sáttovuona	saktovwona
sáttovuonas	saktovwɔnas
sáttovuotna	sartˈtˈoːvˈotna
sáttovutnii	saːto˥˩ːʋutni˩˥ː
sáva	sava
sávai	savaj
sávaide	sau̯ajtɛ
sávaidet	saːvajdæt
sávaiga	saːvaɪ̯kːa
sávaime	saːvaɪmɛ
sávaimet	sɑhɑvɑjme̞ht
sávan	savan
sávat	savat
sávvaba	savaba
sávvabeahtti	sauːabˈeht
sávvabehtet	savˈabæxteːt
sávvan	saːvɐn
sávvat	sævɑt
sávve	save
sávven	sˈaːvən
sávvet	savˈet
sávvá	sava
sávza	saːvza
sávzaboanda	saːrtsˈabˈɔnda
sávzaboandan	sartsaponton
sávzaboandda	sau̯t̪zapwajnta
sávzaboanddaid	saːrtsapwntaj
sávzaboanddaide	saːvtsapɔntaiːtɛ
sávzaboanddaiguin	saːvtsˤˈæpˈɔnttˈɛdkvinnˈ
sávzaboanddain	saːvtsapˈontˈaiːnˈ
sávzaboanddas	saltsapontas
sávzaboanddat	saːvtsabwɑnda
sávzabondii	saltsabõŋd̪i
sávzan	saːvzæn
sávzii	ta
sávzza	sadza
sávzzaid	sau̯tsai̯d
sávzzaide	saːrvtsoʔdɛ
sávzzaiguin	saːrdzaːjgoːˈɪn
sávzzain	savdzɒjˈn
sávzzas	savdzas
sávzzat	savdzɑt
sáččá	satʃa
sáččás	saˈtʃas
sážžá	sadʒa
sážžái	sˈɐdʒˈaɪ
t-báiddi	teeirtemɛ
t-báiddiid	tebai̯tid̪
t-báiddiide	tebai̯tile
t-báiddiiguin	tebaitiguɛn
t-báiddiin	tebaiˈtiˈn
t-báiddis	teβaiotis
t-báiddit	teːbˈəlˈtɪkt
t-báidi	teːbæite
t-báidin	te˥˩bæit˥˩iŋ˥ˌ
t-báidái	te˩˥ːbaj˨˩ːtaj˥˩
teaksta	tˈɛkstə
teavstta	tsɛɑlustɑ
teavsttaid	tˈeɪɚstˌaɪt
teavsttas	tʃialvstas
teavsttat	teaʊspt̪
teknologiija	tˌɛknoloɣˈia
teknologiijaid	teknologijai̯t
teknologiijaide	tɛknɔlɔgɪiɑjtɛ
teknologiijaiguin	teknologiaikoi̯n
teknologiijain	t̪eknolokitʃi
teknologiijan	t̪eknolokiʝˈɛn
teknologiijas	teknologijas
teknologiijat	t̪eknɔlɔgiat
teknologiijii	tɛknologii
toga	tɔɫɔga
togaid	toɢajk
togaide	toɫgajde
togaiguin	togajgwn
togain	tɔɢai̯n
togan	tɔɾgɑn
togas	togas
togat	tˈɔgˈɑft
togii	toge
troandima	tɾanddɪmˈa
troandimii	tɾˈandˈimi
troandimis	tɾantɪmɪs
troandin	tɾˈʌntən
tráktoraš	tɾaktorɑʃ
tuvra	tura
tuvran	tuvrn
tuvrii	tˈuvri
tuvrra	tuvra
tuvrraid	tɔvrait
tuvrraide	tˈuvrˈajtˈe
tuvrraiguin	tʊvrai̯ko̞iːn
tuvrrain	tuvrajn
tuvrras	tʊrɑs
tuvrrat	tʊrˈaht
ubmisámegiela	ubˈmizæˌˈmigjælˌlɑ
ubmisámegielain	ˈubˈmizæmikiɑlˌlɑin
ubmisámegielas	ˈubˈmizæmikjɑˈlɑs
ubmisámegiella	uˈpmisɑnkelˈlæ
ubmisámegiellan	wbmisæˌminkɑɑlˌlɑn
ubmisámegillii	ˈubmisæmˈiˌllˌiˌ
ubmisápmelačča	ˈubmisaːtmɛlɒtʃːɒ
ubmisápmelaččaid	uːbmiːsːæːtmːɪlːɑktʃaːjt
ubmisápmelaččaiguin	ˈumiːsatmɛ̞lɑtʃɑjkuɪn
ubmisápmelaččain	uːbmiːsˈæbməˈlætdʒɑːnɑhˈ
ubmisápmelaččas	uːmiːsɛbmɛlaːtʃːɛz
ubmisápmelaččat	obmisɛtmɛjlɑtʃɑt
ubmisápmelaš	oːbmiːsaːbmɪlˈɑʃ
ubmisápmelažžan	uːbeːtʃiːzimælɑdʒɑːn
ubmisápmelažžii	uːbmiːsæbmæˈlɑːdʒi
uhc-oarddu	oːxtsvˈaɪtdʊɐç
uhc-oarddus	ʊtsuːalˈʊz
uhc-oardu	oːxtsvˈɛɾeːtˈuː
uhc-ordui	ʊ̞vtsʊ̞rtʊ̞j
uhca	ˈuxtsa
uhca liidnavuonaš	ʊxtsa liːnt na vˈoːnˈɑːʃ
uhca rohči	ɑuh tsæɾɑh dʒe
uhcci	ˈuftsˌe
uhcoarddojoga	ʊ̞ftsvˈatˈojˈoːgɑ
uhcoarddojogas	ʊ̞svʊ̞dpʊ̞rjʊ̞rgəs
uhcoarddojohka	uhtsvædˈojɔhka
uhcoarddojohkii	uhtsaːtomnoːmo
uksa	a
ulbmil	vo̞lɛpmiːl
