"сэ" жызыӏэ	sˈa ʒˈɛzˈa
мыщӏалэж	mˈusatɒʒˈɒˈ
мыщӏэ	nˈɵsˈlˈæ
мыӏу	mˈə
мыӏумин	hæˈuːiːn
мыӏупщӏ	nɛɑps
мыӏупщӏу	naɔpzo
мыӏуэтэн	buʋɔtɑn
мыӏэрысей	maːaːrsiː
мыӏэрысэ	mʊ̞ʔärɪsæ
мыӏэрысэ серчэ	mʏ̞ʔɑrisæsʲɪr ʧʏ̞
мыӏэрысэ сошх	məɺs soːʃˈ
мыӏэрысэджыг	vˈəalsadʒˈyʁ
мыӏэрысэщӏэдзэ	vɒhɒɾsɒzwɒtˈzɒ
мыӏэфӏ	lˈf
мэ	mɛ̃
мэ гуакӏуэ	na gwɔːkwˈˈ
мэ дахэ	madaːxə
мэ къакӏэрех	maːqa dʒʌrɛx
мэ ӏей пихын	ma eːpixiŋ
мэ ӏэфӏ	maʔaf
мэiу	mˈˈo
мэiупс	maˈups
мэiуху	mˈaˈu
мэбакъуэ	mɑbaːqtˤ
мэбампӏэ	mʲadɑmpo
мэбанэ	madaːna
мэбатэ	mabatɛ
мэбауэ	nˈɑdɑvˈ
мэбгъунлъэ	mabʁˈun
мэбжьыбжь	mabʒybˈi
мэбжьэкъуауэ	mabzueawɑ
мэбзэджащӏэ	nˈɔbzˈɛdʒazv
мэбзэрабзэ	mabzrabz
мэбзэх	mabzæx
мэбзэхыж	mabzˈaxiʒ
мэбзэщхъу	mˈtˈbzˈtʃ
мэбэкхъ	mˈabaq
мэбэкъ	mˈabˈaq
мэбэлэрыгъ	mæbæ̹læ̹rɑʁ
мэбэуэбапщэ	nadawapapsɨ
мэбэяу	mɛbæjæʋ
мэгъу	mɛ
мэгъуалъхьэ	maːɣvæːʃhæ
мэдахэ	mʲetsʲ
мэдж	mˈɛdʒ
мэджэгу	mˈˈdˈʒˈəgˈu
мэдрисэ	madʁisˈa
мэдыхьэшх	mɑdˈħɑʃɑ
мэжабзэ	maʒˈab
мэжаджэ	naʒˈad
мэжаджэкiэрыщiэ	mãʒaʒetʃadʊsuɾ
мэжалiэ	mæʃaːslʌ
мэжалӏэмэ	nˈaʒˈaslɑmɑ
мэжалӏэныгъэ	naʒɨltaːnˈnuːɢɑ
мэжджыт	mʲɛʃdʒɪt
мэжджытакiуэ	maːrdʒtʃkw
мэжджытжыг	maʒlɛtˈtˈyʁˈ
мэжей	majvˈe
мэжэлiэкъуэн	mʃjɒsɒqwɒn
мэжэлiэн	maʒˈælˈɑn
мэжэлӏэн	maʒɛsflan
мэжэщiалiагъэ	mˈaʒalˈsaˈʒˈ
мэжэщiалiэ	mɐʒɐsˈwˌɐsɐ
мэжэщӏалӏэ	maʒɛswasa
мэжэщӏалӏэм дыгъужьыр мэзым къыщӏеху	mʲɛʒjɑsʊ̞ɫʊ̞ʊ̞ndɯ̞ gʏ̞zʏ̞rmɛzɪ̞m qʊ̞tsʊ̞jɯ̞w
мэжэщӏалӏэм къэрабгъэри лӏыхъужь ещӏ	mʃjsoʔətɑm qraː bxrjt æxæz jæs
мэжэщӏалӏэм щӏалэри егъэжь	mægjæsæsɑsɑm sɑhæl reːja ɣæz
мэз	mæz
мэз адакъэ къыхэлъэтын.	mɛzɑdɑq qɯ̞qʊ̞ʃæ ʃætɪ̞n
мэз джэду	mæsgæ do
мэз лъапэ	mˈˈlˈaːpˈʃˈ
мэз пхъэншэ хъурэ?	mæz prxɑːnʧɑ xore
мэз-гуащэ	mazguasʃe
мэзакiуэ	masaːkwa
мэзакiуэлi	mˈaynkwˈa
мэзанщiыб	mɒzɒˈnˈsˈubi
мэзбзий	mazbˈzi
мэзгъэкi	mˈasʁˈak
мэздахэ	mastahɨ
мэздей	mʃˈdi
мэзджэд	mɑzʒɛd
мэзджэдур и пащӏэкӏэ яцӏыху	mæs dʒædoːr pæsvɑtʃ ɑjɑsv
мэздзэл	mazdˈɛl
мэзкуу	mˈɑːlkˈu
мэзкхъужь	mˈɛzqyz
мэзкхъужьей	mˈazˈqʒˈʒˈ
мэзкъанжэ	mæzqɑnʒʉ
мэзмей	mʃˈtʃ
мэзмы	mˈazmˈɪ
мэзмэракiуей	mæsmæˈrɑːkʋi
мэзмэракiуэ	mæzmrˈaːkv
мэзмэракӏуей	mazmrakʋe
мэзмэракӏуэ	mɛzmeraːkw
мэзпкъынэ	mˈazbʁˈɔ̃a
мэзпыупщi	mˈˈalˈtˈʁˈ
мэзтхьэрыкъуэ	mʃstʃˈriqqwˈ
мэзтхьэрыкъуэф	mæztæɾqɑf
мэзхэм	mæʃˈʃɑm
мэзшэдыгъу	mɛzʃaduʁ
мэзшэдыгъуей	mˈəzʃˈadˈˈɔ̃ˈ
мэзшэдыгъуэ	mˈazʃˈadˈiʁwˈa
мэзщiэж	mˈasˈoj
мэзыдэ	mɒziddɒ
мэзыкхъуэ	mæzæqqa
мэзылi	mɒziz
мэзылӏ	mɑzɯz
мэзым нэсыжа бланэр яукӏ	mæzim næsæˈdʒɑ belænɪr jæˈudʒ
мэзытхьэ	matzalħa
мэзыхьэ	mæsˈʃˈɑ
мэзыш	mʲazɪ̞ʃ
мэкъу	mˈɑq
мэкъу iэнэ	mɑqʔɑnɯ̞
мэкъу пыпхъуэ.	mœ̃ʁˈ pø pʁwˈa
мэкъу хьэвэ мастэ хэкӏуадэщ	mɑqħæv maːstħɪk wɛ dɑʃ
мэкъу хьэвэм мастэ хэзыӏуам нэхъей	mɑq ħæðɪ̞m mɑː ʔɪstkʰɑ zæwɑm næxæj
мэкъуауэ	mapɾua
мэкъуауэгъуэ	maqaoːɢo
мэкъуауэлi	mɑqɑwɑs
мэкъумэш	maqumɑʃ
мэкъумэш iуэхущiапiэ	mɑqmɑjʃ ʊ̞ffɑpɯ̞
мэкъумэшхэкi	mɑqɫmɑʃχætʃ
мэкъумэшыщiэ	mɑqmɑʃzøzwˈ
мэкъумэшыщiэхэр	mɑqmaʃuzɑhɛr
мэкъумэшыщӏэ	nɑqmɑʃˈɯzwɑ
мэкъумэшыщӏэхэм	maqmaʃsˈħæm
мэкъупiэ	maqʊpˈpɯ
мэкъупiэудзщабэ	maːqupwawldʒaːb
мэкъупӏэ	mɑqʊpːʊ
мэкъупӏэджэд	maqoaːgːad
мэкъупӏэу	naqupɑw
мэкъупӏэудзщабэ	maqoːbˈuːdʃɑːb
мэкъупӏэхэм къыщокӏ	mɑqʊpˈpɑ hæmqʊ sɛwudʒ
мэкъут	mˈaqut
мэкъушей	maqʃæ
мэкъущiэщ	maqsøz
мэкэней	makkeɲe
мэкэрхьэблэ	makaːrħabˈdʒa
мэл	mæk
мэл зиӏэр лэгъупэжьщ, пхъужь зиӏэр унафэщӏщ	mæl dær jˈʁɛ pʁodʒbʁodʒi ɛrwnɛfˈɛʃ
мэл зыхэва нэхърэ бжэн зыхэпкӏа	mʲæʒ zɪxˈbʲaː nɑxr bdʒen zɪxˈb ʒɑr
мэл зыхэвэ нэхърэ бжэн зыхэпкӏэ	mæd iːxæv næxr bʒæn ð xæb dʒa
мэл кiэвей	mɛʒdjˈɛ̃vɛ
мэл щызэӏахкӏэ къыдагъэж	mˈœl sˈɔz ˈaxtuʁ daˈʁiʒ
мэлажьэ	mˈɑʑˈɑʒˈ
мэламу	malemˈmˈɑlgˈɑmɑnzæmˈʔæmˈhɑj
мэлищэм зы мэл щыщӏэмэ, мэл щэ ныкъуэщ	mæʒiʃɑm zimæʃɛ ʃaʃɑmɛ mæ̃lʃæni qɑʃ
мэлкулимот	mæ̹lko̞iːmut
мэлкусын	mæ̹lkʏ̞sʏ̞n
мэлмаму	maʕmaːmˈh
мэлудз	malutˈs
мэлудзщабэ	maxudsab
мэлхьэпiатiэ	mæ̹lːħɑpɑːtɯ̞
мэлъатэ	mæʃˈaːtˈhæ
мэлъхъэдис	mˈaʒˈadˈis
мэлыiыч	naʒiʔitʃ
мэлыбгъуэ	mˈˈʒˈbʁˈɔ
мэлыд	mæʒɛd
мэлыжьыхь	mæðʒʲ
мэлыжьыхь мазэ	maːlħaħmaʕsa
мэлым и кӏапэ и хьэлъэкъым	mæ̹ˈzæmjdʒaapj hæsæm
мэлым и кӏапэр щыдэуейм, бжэныр дыхьэшхащ.	mʲi ðʲæm ɪ̞gɛpɪ̞r sʏ̞dɛwɪ̞m dʒɛnɪ̞g dæ hæʃkɑs
мэлыфэ	ˈmælˈlɪffɑ
мэлыхъуэ	mˈilˈlˈexʊˈɑ
мэлыхъуэ лъакъуэубыд и щхьэусыгъуэщ	mæ̝lɪ̞χ χoæʃ æqoɔpɪt iʃ χawesɪ̞ qɑʃ
мэлыхъуэбзу	mɛliːˈxwabzu
мэлыхъуэвхэр	mæʎɒːxɒvˈðhæɾ
мэлыхъуэкхъуей	mæʒiːχoːqhej
мэлыхъуэм я зэхэкӏыжыгъуэм кхъуейшыпс зэраутхыж	məˈdʒe xɔ zəxartʃdʒo dʒəˈɣɔn qɔjˈʃi pəsˈer hɔːt xɛʒ
мэлыхъуэр куэдмэ, мэлыр хьэрэм мэхъу	mɛgzɛxwɑr kwa dimɑ mɛddʒir χɑrammɑh
мэлыхъуэр шхын щхьэкӏэ лӏати «и гуфӏакӏэм щэ дэз хъунщ» жаӏэрт	mɛdʒxorakenʃ hɑdʒlɑtˈti gofɑdʒmesʃ dɐxun sˈɟəri
мэлыхъуэсабын	mʏ̞nʏ̞χoʊ̞shæbɪ̞n
мэлыхьыплiэ	mæsˈʃɑħibsˈmɑr
мэлыщхьэ	mæːrʒæʃhɑ
мэлэiич	mʏ̞ʒæɪ̞tʃ
мэлэiыч	mægæɛtʃ
мэлэчыпхъу	mɛlditypʁ
мэлэӏыч	mæ̹lːæɪ̞tʃ
мэлэӏыч сурэт зытрегъауэ	mʲadʲa ʲitʃɪsʲurɔt ʲiz trʲijɑʁaɫɪ
мэмунэ	mamˈuna
мэпсалъэ	mapsaːsˈe
мэпщ	maps
мэпщафӏэ	napʃafo
мэракiуалъэ	marakwaʃa
мэракiуапцiалъэ	maraːkwaptsaaæʃʰ
мэракiуапцiэ	marakwaptsɨ
мэракiуей	marakwe
мэракiуэ	mˌɐrˈɐkwə
мэракiуэiэрысэ	mraːkwaʔarisa
мэракiуэджыдэ	mˌaɾˈakwədˈidˈɛ
мэракiуэнэпцi	maɾaːaːkwɛnapts
мэракiуэтумэ	maraːkwaˈtɔhmɛ
мэракiуэхьэ	maraːkwaħad
мэракiуэщыпэ	maraagwɑʃwpə
мэракӏуапцӏэ	maɾaɣ̞lot̪ta
мэракӏуей	mˌaɾɐkwˈe
мэракӏуейфӏыцӏэ	mɛrakwajɛʋɑtsɯ
мэракӏуейхужь	maɾakuefɨʃ
мэракӏуэджыг	maˈrakwˈtˈˈ
мэракӏуэмащэ	mˈarˈakvˈmˈaʃy
мэракӏуэнэпцӏ	maːraːkwɛnˈapt
мэракӏуэтумэ	maraːʒwatʰuːma
мэракӏуэфӏыцӏэджыг	mɑɾɑkwɛfʔtsʔʁwx
мэракӏуэхужьджыг	mʲɛrækwɔfʲizˈdʒʏx
мэракӏуэхэкӏ	marrakoˈhˈt
мэракӏуэӏэрысэ	maraːkwaarɾasa
мэргъущей	margulʃe
мэрем	mˈaɾɪm
мэрчэн	mɛrtʃɛn
мэрчэнпхъафэ	mrtʃɛnprɛ
мэрэмэжьей	madamaʒˈe
мэрэмэжьейм	mərøŋøzøzɛm
мэскiэтiилэ	mɒsdʒatilˈlɒˈ
мэскiэтiинэ	mʃdʒtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃtʃt�
мэскъал	mɑskɑʃ
мэскъарэ	mɐspaɾɐ
мэсхьэб	mˈɑːsħab
мэсхьэбэгъу	mˈasˈabˈaʁ
мэсхьэт	maːsħt
мэудж	maˈvˈʒˈ
мэуджыр	mɑwːuːdˈdʒiɾ
мэудэрабжьэ	mau̯trabrzɨ
мэукӏытэ	mɑwˈdʒitæ
мэундэрабжьэ	mawɨndɛraabʒɨ
мэх	mˈax
мэхъей	baxˈʔe
мэхъу	la
мэхъуапсэ	maːxwapsi
мэхъуж	maʁˈvˈ
мэхъур	mɑxuɾ
мэхъуэщей лӏыфӏым уеуэмэ, зеущэху.	maxa ʃæhˈsɑf ɢoː moːj wɑmæ ʒoː ʃaf
мэхъыч	mˈɑːʁətʃ
мэхъычплъыжь	mɛ̃ːʁkʰtʃɛpˈsˈiz
мэхъычпхъафэ	maxˈitʃbˈxafə
мэхыгъэ	mɛsieʁa
мэхын	mɪ̞ʃiːn
мэхыпцi	mˈˈaːxˈɯpts
мэхькэмэ	maʕkɪmmi
мэхьэмкӏэ	mahamʒɒ
мэчачэ	mˈatʃˈatʃˈe
мэчэней	matʃeˈne
мэш	mˈœʃ
мэшбащӏэ исхьэкъ	maʃ bɑzɑ sˈħɑq
мэшбэв	maʃbˈv
мэшыкъуэ	maʃuqbɑl
мэшым джэдз къыхэкӏащ.	mæʃiːm getʁqig æst
мэшынэ	maʃynˈa
мэщыун	maːʃuːn
мэщӏэн	mˈaʒlˈɑnˈd
мэӏу	mˈœ̃
мэӏущащэ	maːuʃaːʃi
набгъэ	nˈabrˈ
набдзэ	nˈɑdʒɛ
набдзэ зэхэкӏэр гу хэмыкӏыжщ	na abdze zɐxəi tʃar goham dʒuz
набдзэиӏэ	nabizajɛɟaj
набдзэсырыху	nabɨtsɨzərʊff
набдзэтеху	napdzɛtɛw
набжьэ	nˈabzˈe
нагъуэ	naɾɣ̞o
нагъыщэ	nɒgʃɒ
надэ	natː
назэми, нэф нэхърэ нэхъыфӏщ	nɑzɯmʲi næf næxr næxr
назэр нэфкъым, щхьэзэр делэкъым	nɑzɯ̞r nɛf ɪ̞mʲɪʃ hæzɪ̞r dɪ̞jɫɪ̞ɪ̞m
накъыгъэ	nɑqɯ̞vɑ
накъыгъэ хадэ	nɑqɑwɑhɑdɯ̞
накӏуэ	nɐkwɐ
накӏуэ еджапӏэм!	naːkɔ ɛ dʒɑpɑm
накӏуэ, къэткӏухьынщ!	naːk waqaːtkuħˈħɑnɪʃ
накӏэ хуэщӏын	na˥˥tɕjoʊ˨˩˦xo˨˩˦zyn˥˩
нал	nɑjl
налкъуту	naʒɨqtu
налкъутыдзэ	naʃqotezə
налмэс	nˈɒʒmˈɒs
налшык	malʃɛtʃ
налшыч	nælʃytɕ
налщӏэч	nazˈtʃ
налъкъут	nɛʃqut
налъэ	naʃa
налъэ-налъэу зэхэлъ	naʃa naʃa w zaxez
нанэ	nɑŋɯ
напэ	nata
напэ зигъэӏэ	naːpˈs jˈʁaː
напэ зимыӏэ	na pə iːmɨ e
напэкӏуэцӏ	napɐkɫatˈs
напэлэ	nˈapˈʁəlˈlɛ
напэм техуэр жьэм жеӏэр.	naːpəm teː xor zəm ʒeː ar
напэншагъэ	napˈɑˈɲqˈarɑ
напэншагъэр	næpɪ̞nʃɑːr
напэншэ	napɛɲːʂɨ
напэр псэм и пэщ.	na pɪrpsɛ mi pʃ
напэтех	nɛpɛtɪ̞χ
напэщыпхэ	napəsɛpˈre
напэӏэлъэщӏ	nˈəpˈaˈasɑʒ
напӏэ	napl
напӏэзыпӏэм	napazɨpɨm
нарт	nart
нартей	nɑːrˈte
нарткъалэ	nɐrtʰkɑɑtʰɪ
нарткъалэ сыдэсщ	nɑrtqɑ ɫæs dɛs
нартсанэ	nartsɑnɯ
нартхэ	nˈɑrtə
нартхэр	nɑrtħar
нартыху	nɑrtʊw
нартыху гъуэжь пӏастэ	nartɛx ɣɑʒ pɑstɑ
нартыху гъэвар зи тхьэмщӏыгъу, жьэжьей узхэм я дежкӏэ сэбэпышхуэщ.	naftabɒˈavˈa zdiˈ tamsoʁˈ zɑdʒˈe ˈozdʒe wuzˈam jˈdˈeʃtʃˈ səbˈ pˈiʃxos
нартыху жэпкъ	nɑrtɑw χʏ̞ʐɑpq
нартыху хьэжыгъэ ухуэнщӏын	nɑrtʊ̞w ħɑʒɢɑ uvɑnsʊ̞n
нартыхугудзэ	naftɒvkodsɒ
нартыхум	nɑrtʊ̞χʊ̞n
нартыхум гъашэ къыдидзын.	nrtxʊ mɣɑʃˈq diːzim
нартыхуплъыжь	nrtɛwpli
нартыхуфо	nɛrtɪkfɔ
нартыхухьэцыбанэ	nʁrtɨwhasbŋ
нартыхушыдзэ	nartɛχʃɪtʃe
нартыхущхьэц	nartafæʃħatz
нартыхуӏэврэкин	nartɨwafrakjɲ
нартыхуӏэврэчин	nartɨxafrtʂɨɲ
нартыхуӏэмрэкин	nrtʃuʔamrakĩn
нары	nɛrɪ̞
насып	nɒsid
насып тхьэм къарит!	næsb hæm qɑːrˈiːd
насыпыншэ	nasɛpˈnˈiˈʃˈa
насыпыфӏэ	nəsəpʰ
насыпыфӏэ ухъу.	nˈɛsə pˈɪf dˈiː
натӏэ	naːto
натӏэгъауэ	natɑgɑwɑ
натӏэм ит	naːtɐmiːt
натӏэфоч	natofoʃ
нау	nˈoʊ
нафисэт	nˈafisɛt
нахуэ	nˈafr
нахуэ жыӏэнрэ нэ ищӏынрэ	nɛ xojʒɛ ɑnˈɾˈɛ nɛ juz ˈunˈrɛ
нахуэу зыщамыщэм щэхуу сату щащӏ	nafɛv zæɑːmʃæm ʃɑfo sɑtˈuːʃɑʒ
нахътэжь	nxtez
нахьэс	naːas
нашэ	nˈɑʃɛ
нашэбэгу	nˈaʃˈabim
нащхъуэ	nˈaʃuχˈhɑ
нащхьэ	næʃxæ
нащэ	nˈaʃə
нащэ кӏэрэф, хъыуанкӏэфий, хъарбыз кӏэтӏей?	naːʃa tʃarəf xaˈwɑn tʃaˈfi xaˈrbiz dʒaˈde
нащэбэгу	naːʃaːbɛg
нащэгъэбагъуэ	naʃoɣabaro
нащэгъэфӏэӏу	naːsɐɁˈɑːtˈɑ
нащэкъэшхыхь	nɑsɑqæʃkæ
нащэмамэ	nˈamˈɛtʃəmˈam
нащэпӏастэ	naʂapastɨ
нащэшу	nˈɑsʃu
небэ-къебэ	nebʁˈb
нибгъу	nˈibx
нибл	lˈib
ний	lɪŋ˧˥
ниплӏ	nˈips
нитху	nˈidu
нитӏ	nˈeːt
нитӏрэ пэт, зэфыгъуэгъущ	nitrɑpɛt dæfægɑɢ ʃ
нитӏыр зэхуэдэмэ, жыжьаплъэщ	nʲitr zɛxɔdʲmeʃ ʒaːbsʲɐʃ
нитӏыр зэхуэмыдэмэ, мэплъэщхъу	nitɪ̞r zæxwämɪ̞ dæmæm æmæpʃæ ɑʃχ
них	nʲix
нищ	nˈi
нобэ	nˈobɜ
нобэ ди махуэщ.	nˈɔb dˈi mˈaːfəl
нобэ щӏыӏэщ	nob bɑː ʃuː æʃ
нобэрей	nˈoːbˌɑdi
нобэрей щӏакхъуэ	nobɾeʃaːkʰe
номин	nˈomˈin
номин сурэт	nɔminiːsurat
номыр	nˈoːmɯɾ
нтӏэ	m˩˥ːta
нур	nˈuɾ
ныбаблэ	nɛbɑbli
ныбажэ	nˈəbaʒˈə
ныбапхъэ	nˈəbˈapʁə
ныбащхьэ	lɪpæʃhɑ
ныбгъуэ	nepɔɫɑ
ныбгъуэжьауэ	nɛbrɑzɑuɯ
ныбгъуэхугу	nˈəbʁˈɔpʁˈɔ
ныбгъуэщӏэф	nˈə-bʁˈoʒˈʁˈaf
ныбдызэрызгъэлъэлъыжынщ	nʲibdɪzɛrzɑrɛzɑjlɑʃjɯŋys
ныбжь	nˈɪbˈz
ныбжь мащӏэ	nˈə bzmˈaːʒlɪ
ныбжькӏэ зи цӏэ мыӏунум хадэр иуцӏэпӏри и цӏэр игъэӏуащ	nˈi bˈuzdʒɒj zˈitsɒ mˈɒgɒŋˈim hɒdɒri wtsɒˈbrzi ˈi sɒriˈgɒlɒʃ
ныбжьыр	nebzʏ̞r
ныбжьыфӏэ	nɛbʒyvɑ
ныбжьыщӏэ	nɛpzusæ
ныбжьыщӏэ зэхуэс	nˈə bzˈuʒ lɛ̃ afwˈɛz
ныбжьэгъу	nɛmʃoq
ныбжьэгъуищ	nˈəbˈzˈɒvʁˈis
ныбжьэгъур щагъэунэхур махуаещ	nibˈza gʊr ʃaːɣaw næfwˈr mæfaa jæʃ
ныбжьэгъухэри	nˈbzaʁχalˈrɛ
ныбэ	nebːɛ
ныбэ уз	nˈə bˈɛt wˈɛz
ныбэ уз удз	nˈɛbɔwˈiz wˈʊdz
ныбэ ӏейм шхын и пщӏыхьщ	nibaʔɛ mɪkɛn nipsahla
ныбэ ӏейр зэгуретхъи, шхын ӏэфӏыр къренэж	nibɑ ɛjɾ zɛ gʁaːrɛtt xɪ̞ʃkæ nʲ ʔafʁ qɑrja nɪ̞ʒ
ныбэиз	nˈəbˈɛiz
ныбэкъ	nˈə-bˈaʁ
ныбэм	lipːoːm
ныбэм и лажьэр ӏуэтэжыгъуафӏэщ	nɛ bɛmʲiljazər oːtɛʒʊɣawɔs
ныбэм измэ, щӏакхъуэр цӏынэщ	nɛp bɛm jizumæʃ ɑqqer sunɑʃ
ныбэм илъмэ, псынщӏэщи, имылъмэ, уэндэгъущ	nɛ bɛm ilmæpsiŋʒlɛʃi e mɪ̞sɪ̞mɛ uɫæn ɢɑuɫ
ныбэм имылъмэ, лъэр щӏэкӏыркъым	nɛp bɛm jɛmɪ̞sɪ̞m æ særʊ̞ʃʁɑ tʃʊ̞rʊ̞m
ныбэм имылъмэ, нэр плъэркъым	nɪ̞bːɛm jɪ̞mʲɪsimɛ nær pɪ̞ʃærʲɪɴ
ныбэм имылъмэ, щӏыр плъапӏэщ	nɪpæm jɪ̞mʲɪsʲɪmʲɛ ʒʊ̞rpʲsʲɛ ɑpɑʃ
ныбэм уахихьэнщ, фэм уакъыхихыжынщ («ныбэм eмыкӏy къыуигъэхьынущ» жыхуиӏэщ)	nɪbˈbɪm waːʃiː hɑns fɑmɑ ʔaqi ħiːθ ʔidʒns nɪbˈbim jɑmɪk qoiʁa ħɑns dʒiχjɑs
ныбэр къэблагъэмэ, благъэр пщегъэгъупщэ	nibar qɑbɛ jɑrgɑmɑ pəxxer pʃexa ɣupʃi
ныбэр нэщӏмэ, лъакъуэр щӏэкӏкъым	nˈɛ bˈɛr nˈɛ sˈumˈɑl ʃaq va ʃlatʃ m
ныбэрицӏэ	nˈəbˈɛrɪtʃˈa
ныбэрнэгъуей	nɛpærnɑgoj
ныбэузгын	nəbauɫuzgɨn
ныбэф	nˈəbˈœf
ныбэшхуэ	nˈə-bˈɛʒkwˌa
ныджэ	nɛgɛ
ныкъусан	naqsaːn
ныкъуэ	nɤkwˈa
ныкъуэдыкъуагъэ	naqwadaqwaɣa
ныкъуэлъахъэр шыгъэкӏуэрщ	nɑqɑsɑ akɐr ʃɪ̞ʁɑ kɵr
нып	nˈip
ныпым	nˈə-pøm
нысашэ	nesaːʃe
нысашэшхуэри нысашэщ, нысашэ цӏыкӏури нысашэщ	nɛ saːʃaʃ xorji nɛ saːʃos na saːʃaʃa tsɛkuɾʲinɛ sɑʃos
нысащӏащхьэ	misˈsˈædʒaʕˈɑn
нысащӏэ	nɛsaːʃa
нысащӏэ ди унэ къохьэ.	nasaːs watuːnɑqɑːħɑ
нысащӏэ къамышэм щауэ хурашыж	mnesə swɑqɑmɪ̞ʂ hæm sa ha va swɾaː ʃiʃ
нысащӏэ къызыхуашам я гуфӏэгъуэ.	nesaː soq að zoqa ʃamia gufa oɣu
нысэ	nˈɯssˈ
нысэ джанэ	nˈɛsɛdʒaːnˈi
нысэ хъуэхъу	nˈə sɛ xwˈɑx
нысэгъу	nˈəsˈaʁ
нысэишэ	nɛsɛˈiʃa
ныуэ	nˈɛwɚ
нышу	lˈɛstˈ
нышэдибэ	niʃaˈdˈiːbɛ
нэ	nɛ
нэ дахэ уиӏэщ	nadaːxwajɑʒ
нэ жанрэ гу къабзэрэ	næʒɑnɾɑ goɟəb zəˈrɯ
нэ илъагъу нэ ещӏэж	næjˈsjæːg næjˈjæs væʃ
нэ нэф нэхърэ гунэф нэхъ гугъущ	nɛ næf næxrɑ gʲɪnæf næxr gʲoχ
нэбажэ	nɐbˈaʒɐ
нэбажэкӏэшэ	miːnˈʌdˈiʒiˈkeʃi
нэбгъузкӏи	nˈabʁˈøzty
нэбгъузкӏэ	nabɫuzdjɐ
нэбгъузу	nˈabʁˈøzˈɔ
нэбгъэф	nˈəbʁˈaf
нэбгырэ	abgɨra
нэбдзыпэ	nɛmdzɨpˈʃa
нэбдзыпэщӏэплъу	nˈəbdzˈipˈaʒˈapʒˈ
нэбдзыфӏэ	nɛbdzɛtsɑ
нэбжысын	nˈɒbdʒɒsˈɒn
нэбжьыц	dˈəbʒʊts
нэбзий	nˈabzi
нэблагъэ	nablaɣa
нэблэгъэн	nɛblɑʁɑn
нэбэнэушэу	nɛbɛnɛfʃo
нэвагъуэ	navaːra
нэвысын	nɛwsɨŋ
нэгей	nɐgˈeː
нэгу	nˈɛ̃g
нэгу зегъэужьын	nə guziɑɢɑwɑzɯn
нэгу зэлъыӏуха	nə gʊzɑsi ɔxɑ
нэгузыужь	negozəowʒu
нэгузыужьыгъуэ	nˈoguzimuʒˈuʁwˈa
нэгузыужьыпӏэ	nˈɛksˈɛstuʒˈɛpˈœʁ
нэгум щӏэлъыр лъэгум кӏуащ	nɛgum zɑˈʃiri ʃɛgum kwɑs
нэгум щӏэхур гум йохуж	nægum sɑfɪ̞r gʏm jʊ̞xʊ̞ʂ
нэгур гум и гъуджэщ	nɛ guɾˈ guˈm jeŋodʒɐz
нэгуфӏэ	negʊpˈa
нэгуху	nɛgux
нэгъабэ	naradɔ
нэгъабэ къызэуащ жери мы гъэм магъ.	nɑɣɑ bɤq zɑwas ʃoriː mɑˈgɑm mɑˈg
нэгъабэрей	nˈaraːbeˈre
нэгъабэризэ	nɣaːbərjz
нэгъуджэ	naoɟ
нэгъуей	naɫˈeɪ
нэгъужьхьэблэ	naɣɑsħabzi
нэгъунэ	naɣ̞una
нэгъуэщӏ	nˈə-wˈɛʃ
нэгъуэщӏ къинэмыщӏ	næʁɑs qiːnæmɪ̞z
нэгъуэщӏ цӏэ иӏауэ сигугъэщ	nˈɣɔst sɫæj ˈɑwɑ sɛ gugɑs
нэгъуэщӏхэм	nɑˈgɑʃhæm
нэгъэса	nɑːgˈvˈsɑ
нэгъэсауэ	naʁasaːwa
нэгъэсын	navasˈim
нэд	nɛd
нэд мыкъу уврэ, нэд къуа зигъэщхърэ?	nɛdmɯq ʏvˈri nɛdqazʲ ʁˈɑʃxri
нэдж-нэпцӏ	nɛgnɛpts
нэджащӏэ	nɛɟːɑːsɑ
нэджыдж	negˈig
нэджыдж къабзэ.	ne gi gˈapˈza
нэджысын	nˈegəˈsˈɛ̃
нэджэдыкӏэ	neˈgɛdike
нэджэдыкӏэр узын	nˈɒgɒdi gɒɾ vˈizˈin
нэджэдысын	nˈɒˈgidisin
нэджэӏуджэ	nɛɟɛujdʒɛ
нэдзысын	nedzisind
нэдыщхьэ	nˈədˈiʃhˈa
нэдыщхьэхэр пхэжын.	nædʒ hæhɛr pjɒʃiːn
нэжэгужэ	nɛʒˈəguʒˈa
нэз	nəs
нэзымкӏэ ӏукӏуэтын	nɛzɨm dʒɛq vɛtɨn
нэкулъ	nakʰi
нэкӏу	nˈœ̃
нэкӏу лэдэх	næk wlædɛç
нэкӏубгъу	lakˈuːb
нэкӏум	nækʏm
нэкӏуплъэ	nɛqʊpʃa
нэкӏуу	nˈɛ
нэкӏущхьитӏыр	nækueʃχɪ̞jɪ̞tːɪ̞r
нэкӏущхьэ	naquzħɑ
нэкӏущхьэ щабэ	nækæʃ ħæʃɑːb
