(й)езуитщина	ɑːwezoːliːˈstænæm
потеглям	pɔtɛglam
потен	pɔtɛn
потене	potene
потискам	pɔtiskam
потискащ	pɔtiskast
потиснат	pɔtisnat
потиснат съм	pɔtisna tsɑm
потиснатост	pɔtisnatɔst
потиснически	potiːsnitʃɪski
потисничество	pɔtisnitʃɛstvɔ
потичам	pɔtitʃɐm
поткривам	pokrivam
потник	pɔtnjɛk
поток	putok
потомствен	pɔtɔmstvɛn
потомък	pɔtomɨk
потопят	puːtʊpjat
поточе	pototʃe
потреба	potrɛba
потребител	pɔtrɛbitɛ
потребление	pɔtrɛblɛɲiɛ
потрепвам	nʲavam
потрепервам	pɔtrɛperʋam
потресаващ	pɔtrɛsɐɫɐʃt
потресен	podrɛsɛn
потресено	potɾesˈenˈo
потретвам	pɔtrɛtʋɔm
потривам	pɔtɾivam
потривам се	pɔtɾivam sɛ
потрисам	pɔtɾiːsɐm
потропване	pɔtrɔbvanɛ
потръпва	pɔtrɛpˈva
потръпвам	pˈotrɛpvam
потръпване	potrɛbvɪnɛ
потулвам	potulvam
потупвам	pətupvam
потупване	pɔtubvane
потушавам	o˩˥ːtu˩˥ːʃavam
потъвам	pɔtɑvɑm
потъвам вдън земя	pɔtɐvɯˈm v dɯn zɪmja
потъват ми гемиите	pɔtɤvɔt mi gi mɛjite
потъмнея	pɔtɔmɛja
потъмнявам	pɔtɔmnˈɛavam
потъпквам	oːtɐpkvam
потърпевш	pɔtɛrps
потя се	potja se
поуспокоявам се	puospokojavam se
поучителен	ptʃitɛlɛn
похабеност	puxabɛrnɔst
похабяване	baxabjɑbɑnɛ
похапване	poxapvanɛ
похвала	puqvaɫa
похитител	pɔxitjˈtɛl
похищение	pokɪʃtɛːnjɛ
похлупак	wɣɫupæk
поход	baxxud
похот	poxo
похотлив	bɔxʊtlɪf
похотлива	poxɔdljiva
похотливи	poxɔtlivi
похотливо	pogoɟljvo
почва	pɔtʃɔva
почервенявам	pɔtʃɛrvɛnjavam
почервенял	pɔtʃɛrvɛɲau
почерпка	pɔtʃɛrpka
почерпушка	pəpʃɛtpʊtʃgo
почерпя	potʃerpja
почивам	pɔtʃivam
почивам си	pɔtʃivɔm si
почивка	pɔtʃifka
почивните	pokivnite
починал	pɔtʃinal
почиствам	pɔtistvam
почиствам с прахосмукачка	pˈotʃistvˈam z prˈɐxˈozmˈo kˈatʃka
почистващ препарат	pˈotʃistvɐʃ prˈɛparat
почит	pɔtʃit
почитам	pɔtʃitam
почитан	pɔtʃitan
почитател	pɔtʃɪtatɛl
почна	pɔtʃnɨm
почтен	pɔtʃtɛn
почти	pusti
почти стана време	pɔtʃti stɑːna vrɛmɛ
почтителен	pɔtʃtipɛlɛn
почуквам	pɔtsukvam
почуквам леко	pɔtʃukva mlɛkɔ
пошепвам	pɔʃɛˈpɔam
пошъл	pɔʃɔl
поща	pɔʃta
пощаджия	poʃt̪adʒi
пощальон	puʃtaɫjon
пощата	pʊ̞ʃtɐtˈa
пощенска картичка	poʃtɛnskɐ kartitʃkɐ
пощенска кутия	pɔʃtɛnskɐ kɔtijɐ
пощипвам	poʃtipˈva
пощръклявам	pɔstraklaːvɐm
пощя	pɔʃtʲa
появявам се	pojavjau̯avɛm sɛ
появяват	pojavjavot
пояс	boːjæs
пояс на кайпер	o ɛsnɛkajpɛr
пояснение	jɛʃnɛɲiɛ
поясня	pɔjɛsɲa
прeтичвам	pretitʃvam
прав	praf
прав съм	praf səˈm
права	prava
правдоподобен	prɐvdopɔdɔbɪn
правец	praːvɛts
правилата	pravjata
правилен	pravjɛn
правилен отговор	pravilen ɔtguvɔr
правилно	pravilʲnɨ
правило	pravjolo
правителство	pravitɛʎstvɔ
право	pɾavʊ
право в целта	bavɨ v tsɛlta
правоговорен	pravogovoran
праволинеен	bravolinæn
правопис	bravopis
правостоящ	pɾɑvʊstujasð
правотата	bravotata
правоъгълник	praɣuaɣaɫnʲik
правя	pravja
правя много грешки.	pravja mnɔgu grɛʂki
правя на две на три	pravɛ na dvɛ na tri
правя от мухата слон	prɑvɪ utmoɦɑtɑ sɫom
правя се	bra via se
правя секс	pɾavɛ sɛks
правя скандал	pravɛ skɑndaɫ
праг	brag
прагматичен	pə�əgmɑtitʃan
праз	pɾas
праз-лук	rasɫuk
празен	prazɨn
празеодим	ɾɑzɨɫdin
празна кухня	prɐznɐku tsʲi
празненство	prɒznɛw̃stwɔ
празни приказки	praznɛ prɛkɐskɛ
празник	praːznʲik
празници	praːznitsi
празничен	pra˥˩ːzlitʃɛn
празнично	praːznitʃno
празно	praːzno
празно място	prazno mjɐstɔ
празнота	prazluta
празнувам	praznuvam
празнуваме	pˌɐɾɐʃnˈuvɐmˈɛ
практика	praktika
практикувам	praktʲikovam
практичен	praktsʲitʲe
практически	praktitʃɛski
практическо	praktˈitʃiskˈo
пране	prane
прасвам	prasvam
прасвам един	rasvɑ miːdˈin
прасе	prɛse
прасец	pɾɛsetts
праскова	praːskɔva
пратка	ratka
прах	prˈax
прахосвам	pɛrxoswɛn
прахосване	raxosvɛnɛ
прахосмукачка	prɨxuθmuːkɑtʃkam
прашинка	prɛsɪnka
прашки	prasʲːi
пращам	praʃtam
пращам за зелен хайвер	bratʃtɔm za zɛlɛnkaj vɛra
пращи	prosti
пращя	prastja
пребивавам	prebivɐvɐm
пребивам	prebivam
пребивам се	prebivonˈse
пребит	rɛbit
пребледнявам	preblɛdnˈavɐm
преборвам	prɛbɔrvɔm
преборвам се	preborvanse
преброявам	prɛbruˈjavau
преброяване	prebrɔjavanɛ
превала	fɾɛvɑla
превалявам	prevalavam
преварен	prevaren
преварил	prɛːvario
преведа	pɾɛveda
преведен на френски	prɛvɛdɛn na frɛnskij
преведете	prevedete
превеждам	pɾɛvɛstɛm
превземам	prevzɛmam
превзетост	prevzɛtost
превключвам	prevkɫutsvam
превключвател	prefklutʃvatɛɫ
превкючвам	prevklutʃvam
превод	pˈɛivˈɔt
преводач	pravutatʃ
превоз	prevuʃ
превозвам	pɛrɨfozvon
преврат	prɛvrat
превръзка	prɨvraska
превръщам се	prevrɛʃtam tsɛ
превръщане	prevrɛʃtane
превъзбуденост	prevasbudanost
превъзмогвам	prɪjˈvaʒmogˈvʌm
превъзмогнах	prevɐzmɔgnɐx
превъзнасям	prevaznasɛam
превъзходен	prʲiʋasxotɨm
превъзходна	prɛvasxodno
превъзходство	prɪvɑsxɔtstvʊ
превъзхождам	prevazxosdam
превъплъщение	prevopɫoʃtɛnjɛ
прегазвам	prɛgazvam
прегазен	pregazen
прегазен съм	pˌɹɨgˈazɐ̃ŋsɐm
прегарям	prɛgarjam
прегледам	preglɛdam
преглеждам	prijɣlɛʃtam
преглъщам	prɛgɫəʃtɑm
преговарям	prɨgʊʋaɾiɐm
преговор	prajguvɔ
преговори	reguvori
преграда	ɾˈɛgɾadɐ
преграждам	pɾɛgɾasð̞am
прегракнал	prɛgraknaɫ
прегрешение	prɛgrɛʂenie
прегръдка	regrɤtka
прегръщам	prɛgrɛʃtɔm
прегрявам	prɛgrjaːbɐm
прегъвам	pregɨvam
прегърбвам се	pregɤrbvam sɛ
пред	pretˈ
предавам	prɛdaːvam
предавам се	preˈdavɔm sɛ
предаване	prɛdavanɛ
предам	pɾɛdam
предан	pɾɛdaːm
предател	pɾɛdatɛu
предателство	preˈdatɛɫstvɔ
предбалкан	fɾẽn̪t̪pelkãmp
предварителен	pridvariteʲe
предварителна	prɛdvaritɛʊna
предварително	predvaritɛɫnɔ
предвестник	pɾɛdvɛstnik
предвещавам	predvɛʃtɑvɑm
предвещаващ	prenβ̞eʃt̪aβ̞ast̪
предвид	ɾɛdviːt
предвид на	predvjidna
предвидливост	pɾɛdvidɫivost
предвижвам се	predviʒvam sɛ
предвиждам	fʲredvˈyzdʌm
предвиждане	pɾɛdviʃdɐnɛ
предвкусвам	prɛtfkuːsvam
преддверие	pɾɛddɛʋɛɾɪjɛ
предел	prɛdɛl
предела	predewa
преден	preden
преди	pɾɛdiːt
преди всичко	predi fsˈitʃko
преди коледа	predi k ãmb
предизвика	prʲidzʲizvʲiko
предизвикателен	predizvikatɛlɛn
предизвикателно	pɾɛðisfikatɐʊnˈɔ
предизвикателства	predizvikatɛɫstva
предизвикателство	predɪzvikatɛlstvɔ
предизвиквам	pɾɛdizviklam
предимство	pɾɛdiˈmstvɔ
предишен втори район	prədˈɪʃən stɔri ɾagiɔn
предишният	pɾɛdiʃniat
предишният крал	pɾɛdiʃni ɐtkrɐɫ
предлага	pradlaga
предлагам	prijla˥˩ːgam
предлагам мир	prɐdɫagɐm ir
предлагате ли поправки?	predɫagatɛ li poˈprɐvki
предложение	pɾɛdɫʒɛɲiɛ
предмет	prɛdmɛt
предмети	prɛdmɛk
предназначавам	pradnaznatʃavo
предназначен	prɛdnaznatʃɛn
предназначена	preʲtnaznatʃajna
предназначение	prednaznatʃɛɲɛ
преднамерен	prɛtnamɛren
преднамерено	prednaˈmɛreno
преднина	predɲina
предница	projɛnitsɨ
предният	prɛdnijat
предно стъкло	prɛdnˈo ʃtˈakɫo
предопределен	pradupradɛlɛn
предопределям	pradupradɛlʲem
предоставям	pɾɛdˈɔstavʌjamɐ
предостатъчен	predɔstatɐtʃɛn
предотвратя	prɛdɔtɾɐtja
предотвратявам	pretoʊtfɾatjɐbɐm
предпазвам	prɛdpaːsvam
предпазител	pɾɛtpɐzidɛl
предпазлив	predpazljiv
предпазлива	predpazljˈβa
предпазливо	predpazlivo
предпазливост	pɾɛtpazɫivɔst
предпазна	prɛtpaːzna
предписвам	predpisvam
предполагам	pɾɛtpɔɫagam
предположение	pɾɛdpɔɫoʒɛnjɛ
предпоследен	prɛtpɔslɛdɛn
предпоставка	predpostaftka
предпочитам	jpɾɛpɫutʃitɛm
предприемам	prɛtrijɛmmam
предприемач	predprijɛmatʃ
предразполагам	predraʃpolagam
предразположен съм	prɛdras poɫoʐɛnsam
предразположение	prɛdraspoɫoʒɛɲiɛ
предразсъдък	preːdrastɤk
предразсъдъци	pradrasɨdɛtsi
предричам	predritʃam
председател	pɾɛtsɛdatau
председателствам	predsɛdatɛvstvɑm
предсказание	pretskɐzɐnjɛ
предсказвам	brɛtska˩˥ːsvam
представа	prɛdstava
представител	prɛdstavitɔv
представителен	prɛdstɑvitɛlɛn
представление	pradstavlɛɲi
представлява	pradzʲistau̯lʲava
представлявам	ʂɤŋgˈnaːwˈˈɑt˥ʰauˑ
представям	predstavjam
представям си	predstavjam si
представяне	predstavjane
предстои	prɛtstvaj
предстои ми	predstvimj
предстоя	prɛtstuja
предстоящ	pɾɛtstɔjaʃt
предстоящ съм	prets tujaʃt sɤm
предубеден	prɛtubɛdɛn
предубеждение	prɛtubɛʑdɛɲiɛ
предугаждам	preduɣazdam
предумишлен	predumiʃlɛn
предупреди	prɛdupɾɛjdi
предупредителен	predupreditelɛn
предупреждавам	predoprɛzdavam
предупреждение	treduprɛjteɛnje
предусещам	pɾɛdusɛʃtɐm
предучилищна	pretotʃiliʃtsna
предчувствам	pretʃuvstvam
предъвквам	pɾɛðɯ̞vkwɑm
предястие	pɾɛdɪɑstɪæ
преебах го	pre vaggo
преебаха ме	prembaxame
преживеем	pɾɛxivɛm
преживееме	dʒivʔemi
преживени	preʒivɛɲi
преживявам	pɾeʒivjavam
през	prɛs
през два блока	prɛz dvˈa blɔka
през един	pɾˌɛzɨdˈin
през пролетта	prespropet̪a
презентация	pɾɛzentˈatsijˌɑ
презерватив	prɛzɛrvɛtɪv
президент	pɾezjdɛnt
презиме	prezjme
презирам	pɾɛzʲirɐm
презрамка	prɛsramkɔ
презрамки	ɛɭzrɑmki
презрение	prezrɛɲiɛ
презрителен	prɛzɛritælæn
презрян	prɛzɾiɑn
презумпция	prezumptsʲa
преигравам	prejgravɐm
преизказен	re̞izkazɛn
преизказният	ɾɛjsˈazɲiat
преизказно	pɾeixkasnɔ
преизпълнен съм с	prɛj spɛʊnɨŋ sɨmˈs
преимущество	prɛjmuʃtɛstwɔ
преиначен	prijnatʃɛn
прекален	bˈɾˈɪkˈlɪn
прекалено	prekaleno
прекалено рано	pre kalenorano
прекара	prekara
прекарах прекрасно с вас тази вечер	prekarəxpre krasnus va s tazi vetʃar
прекарвам	prekarvam
прекарване	prɛkɐrmɐnɛ
прекатурвам	prekatuvam
прекатурвам се	prekatorvɐn sɛ
прекатурващ се	prekɐturvɐʃtʃɛ
прекачвам	prekatʃvam
прекачване	prɪkɐtʃwɐne
преквалификация	prekalvikatsija
прекланям се	prɨkɫanʲemsʲa
прекомерен	rɛkomɛren
прекомерно	prekomerno
прекрасен	pɾɛkɾasˈɐ̃n
прекрасен избор!	ak rast zɛnizgu
прекрасна	prɨkrastna
прекрасно	prɛkrastno
прекратявам	pɾekrɛtjävɐm
прекрачвам	prekɾatʃvam
прекъсвайки	prakɨsɫaki
прекъсвам	pəkəsɔm
прекъсване	prekɯsvame
прекъснати	prekɨsnɛtʃe
прекъснато	prɛkɛsnatɔ
прелат	pɾɪlat
прелест	prenɛst
прелестна	prɛlɛsna
прелетявам	preletjavam
преливам	pre̝liβɑm
преливам се	prɛjlivam se
преливник	preːlivnik
прелиствам	prejlistvam
прелитам	pre˥˩ːli˥˩tam
прелитащ	preɛɫitaʃt
прелом	prɛlom
прелъстителка	prijɫastʲitɛlka
прелъстявам	pɾɛlɑstɛavam
прелюбодеец	prelobudɛts
прелюбодействие	preːlʲubɔdɛjstvʲe
прелюбодеяние	preləbudjaniː
премахвам	primaxvon
премахвам проблем	prɛmaxvam prɔblɛm
премествам	pɾɛmɛztwɐm
премествам се	prɛmɛstvam sɛ
преместване	premɛstvanɛ
премигвам	pɾɛmigvam
премиер	prɛmjɛr
премиера	pˈrɛmjera
премии	prɛmiː
премина	premina
преминавам	premjnavɔm
преминаване	kəminaħmai̯nə
премислям	premislem
премитам	premjtam
премного	prɛmnɔgɔ
премръзнал	prɛmrɛznalo
премятам	pɾemjataˈm
премятам се	premjatɐm se
пренареждам	prenarsð̞ɐ
пренасочвам	prɛnɐsɔtʃvam
пренасям	prenasjam
пренебрегвам	priniprɛkvam
пренебрежение	prɪnæbrɛʒɛɲi
пренебрежителен	prenɛbɾɪdʒitðalɛn
преносен	pɾˈenɔsen
преносно	prɛˈnɔsnɔ
преобладаващ	preobɫadavaʃt
преобладаващото	preobɫedavaʃtoto
преобличам	preo˥˩ːblitʃam
преобличам се	prɛoblitʃam sɛ
преобръщам	prʲaɫbrɨʂtam
преобръщам се	prɪoˈbrɯʃtɑ msɛ
преодолим	pɾɛodulim
преодолима	prijodulima
преодолими	pɾɛotulimi
преодолимо	pɾɛoduɫimɔ
преодолявам	səpˈˈlˈɛ̃a
преодолях	pɾɪoːdwlax
преоценен	protsɛnɛnt
препарат	pɾepaɾat
препарат за чистене	prɛparat za tʃiztɛnɪ
препарирам	pɾɛpaɾiam
препирам се	prepiranse
препирня	pɾɛpːirɲa
препитавам се	prapɪtavɑm sɛ
препитание	repitannɛ
препитвам	prepɪtɔvɑm
препичам	propitʃɛ
препиши	prepjsʃe
преповтарям	prɛpɔftɑrɛm
преподавам	prijfʲitdʲa˥˩ːn
преподавател	prɛpɔdɔvatɛl
преподреждам	prepɔdrɛʃdam
препоръка	pɾɛpɔreka
препоръчани	preporotʃanʲi
препоръчвам	prepurɛtʃum
препоръчване	prɪpɔrɔtʃvɔnɛ
препоръчвате	prɨprotʂɨtɨ
препоръчителен	proporotʃiteˈnʁ
препотвърждаване	prepotvɐrʒdɐvɐne
преправям	prepravjam
препратка	prɛpratka
препращам	pɾɛprˈaʃtɐm
препречвам	preprɛtʃvam
препродажба	preprodɑzpa
препускам	prɛpuskam
препускам си	ripo̞skɨm si
препъвам	prepɛvɑm
препъвам се	prepɛvɑmsɑ
препълвам	prɨpɛuvɐm
препълвам се	prɪpɛuɫɪmsɛ
препълване	prɪplou̯vanɛ
препъникамък	prəpənikamak
препятствие	prɛpjatstvʲe
преработване	prerabotvˈane
преразглеждане	prerazglæʒdɔnˈe
преразказвам	prɛraskasvam
преразпределям	prasprɛdɛlʲæm
прерязвам	prɛ˥ːrja˥˩ːsvam
пресвета богородица	rɛsʋɛta bɔgɔrɔditsa
пресека	ɾɛseka
пресекат	pˈɛresˈekˈatˈ
пресеклив	prezsjkliv
пресекулки	prensjklki
преселвам се	prɛsɛu̯pɛm sɛ
преселен	preselem
преселение	preseɫanɛ
преселник	pɾɛsɛʊni
пресечен терен	prese˥˩ːtʃɛn tɛren
пресечка	prɛsɛtʃka
пресилвам	pɾɛsilvam
пресипнал	pɾɪsipnɐl
преситен	pɾesjtɛn
пресичам	prezitʃam
пресичам се	prezitʃanse
пресищам	prensjʃtam
прескачам	preskatʃam
прескачам трапа	pre̯skaʲəm trapa
прескок	pɾɛskok
пресконференция	prɛskɔnferɛntsja
прескоча	preskɔtʃɐv
преслав	prɛsɫat
преслава	pɾɛslava
преследвам	pɾɛtsljɛdvam
преследван	prɛsɫɛdvɔn
преследване	prɨslɛdvɔnɛ
преследвач	prɛsɫɛdvatʃ
пресмятам	prɛsmjatɐm
пресовам	prɛsɔvam
преставам	prɛstavam
престанете!	rɛstanete
престани	ɾɛstɑm
престаравам	prijstaravam
престаравам се	prɛstaraˈvɑmse
престиж	pɾɛstijʃ
престилка	prasˈtɪuˌkɑ
престой	pˌɾɛstˈoɪ
престорен	prɛstɔren
престорено	prɛstɔrɛnɔ
престореност	prɛstorenost
престрелка	prɛstrɛlkˈa
преструвам	prestruvam
преструвам се	rɛztruvam sɛ
преструвка	rɛstruvka
преструвки	prɛstruskj
престъпление	prɨstaplʲenʲi
престъпник	prɪstɔpnʲik
престъпност	pɾɪstɪpnɔst
пресушавам	prɛsuʃavam
претеглям	pərtjɛkljɛm
претекст	pɾɛtɛkst
претендирам	pretɛndiram
претенции	pretentsi
претенциозен	pretentsozen
претенция	pretentia
претоварвам	pretovarvam
претрупан	prɛtrupan
претрупвам	pɾɛtrupvam
претупвам	prɛtupvam
претъпкан	prɛtɔpkan
претъпкан съм	prætɯ̞p kɯ̞n sɯ̞m
претъпквам	pretəpkvam
претъпявам	pɾɛtɛpjaɓam
претърпявам	pretarpjaɫɛm
претърсвам	pɾɛtɛrsvɑm
претърсване	prɛtarsonɛ
преувеличавам	preovelidʒaɫam
преумора	preumora
преуспявам	pɾiɛspɛɑvɑm
преустановявам	preostɐnˈovjavam
префучавам	prijfutʃavam
прехапвам устни	ɾɛxabvɛ musnu
прехвръквам	prʲiχvrɛkˈvam
прехвърлям	pɾekfɛrdlɑm
прехвърлям върху	prˈexvɛrɫɛm vrˈxu
прехвърлям се	prexvərlam se
прехвърчавам	prexvɛrtʃavam
преход	prɛxod
преходен	prɛxɔdɛn
преходник	prɛxudnik
прехраната	prɨxrɑnata
прецеждам	prɛtseʃdam
преценка	prɛtsajnka
преценявам	pretsjaɲˈatɔm
прецизен	prɛtizɛn
преча	bretʃa
пречиствам	prentʃistvam
пречистване	pɾɛtʃistɫanɛ
пречистен	prɛtʃɪsten
пречка	pɾetʃka
пречуквам	pretsukvam
прещраквам	pɾɛjztɾakvam
прещракване	prɛjʃtrɑkʋanɛ
при	tɹˈi
при което	pɾjkɔtɔ
прибавям	pribavʲim
прибера	pribara
прибера се	pribarase
прибирам	pribʲirom
прибирам се	pribʲiramsja
приближавам	pribɫʲiʒaˈvam
приближавам се	priblʲiʒavam sɛ
приближавам се към теб	pɾiˈbliʒaˈvɐm sɛ kɐm tɛb
приблизително	pribɫʲizʲitou̯nɨ
прибор	pribor
прибран	pribran
прибързан	priːbrzɐm
прибързана	pribərzɑna
прибързани	ribrzɐni
прибързано	riːbɐrzɐnoː
прибягвам	pribjagvam
привет	privɛt
приветлив	prijvɛtɛljɛf
приветливо	privetljivo
приветства	pɾivɛtstva
приветствам	priːʋɛtstɔ
приветстваха	priːvɛtstvaxa
привечер	pɾiːvetʃer
привиден	prɪvʲidɛn
привидение	prividˈɑnijɪ
привидно	prɪvʲidnˈo
привиквам	pɾivikvam
привилегии	pɾiviˈlɛgi
привичка	pɾiːvɪtʃka
привкус	pɹˈifkˈuʃ
привлекателен	prijvlɛkatɛlɛn
привлекателна	pɾiwliɕatɔw̃nɔ
привлекателност	pravljɛkatɛɫmɔst
привлечен съм	privɫetʃɛn sɤm
привличам	privɫitʃam
привличане	privlitʃane
привнасям	pɫivnˈɑsjam
привърженик	pˈɛɹivˈɛʁʒˈɛnik
привързан	riːvərˈsan
привързан съм	prjvɛrzanzɑm
привързаност	pɾiʋɛrzɐnɔst
привързвам	prijvrzzam
привършвам	privɛrʃɔvam
привършвам се	privɤrʃvam se
приглушен	prijgɫoʂɛn
приготвям	priɣɔtvjam
придавам	pridɑvɑm
придвижвам	prijadvjiʒzam
придвижвам се	pridvjiʒ vam sɛ
придирчив	prɛdiɾtʃɪv
придобивам	prijdo˥˩ːbivam
придобиване	propradoˈbivane
придружа	pridruʒo
придружавам	pridruʒaɣɛm
придружи	kɾidɾuzi
придружител	prijdruʒitˈo
придумвам	pridumvam
придържам се	prijdrʒɐmsɛ
придържане	prijdrʒane
прием	prijem
приема	prijema
приемам	brijɛmɑm
приемате ли mastercard?	pɾɪjɐmɔtɪliː mastɛrkaɾt
приемен	prijɛ̀mɛn
приемлив	prijemlʲiv
приемливо	prɪjɛmlivɔ
приемливост	prijɛmlɪvɔst
приемна	prijɛmna
приживе	priʒivɛ
призвание	prizvaɲie
приземяване	prizɛɲaˈvanɛ
призив	pɾizˈjv
призлява ми	prijzljava mi
призма	prismɐ
признавам	prijznaːvam
признавам си	prijznaːvɐm si
признак	pɾiˈznak
признателен	prijzmaːpɛdɛ
призовавам	prijzovavam
призовавам духовете	pri zuvaɫom duxuvete
призовка	prizɔvka
призрак	pɾiːzrak
призракът	prizrakat
призрачност	pɾiːzrɑtʃnɔst
приисква ми се	pɾijskvamisɛ
приказвам	pɹikˈazvɐm
приказен	pɾikɐzɐn
приказка	prikazka
приказка за жени	prikˈaskˈa za ʒˈanɪ
приказка за лека нощ	pɾikaskɐ za lɛka nɔʃt
приказка за океана	prikəskˈa dɐ okeˈɐnə
приказка за цар	pɾikaska za tsar
приказки	prikazkˈi
приказна	prikɛzna
приказност	prikaznɔst
прикачам	prikakam
прикачване	tojkatʃvne
приключвам	priklʲotʂam
приключване	pɾiklʲutʃone
приключен	priːklʲutʃɛn
приключение	priklʲutʂɛɲiɛ
приключения	pɾiklut̪zẽn̪jɐ
приключенски	prjgɫɛtʃɛnskj
приклякам	priklakam
приковавам	briːko˥˩ːβabam
прикрепям	prikrɛpjam
прикрепям се	prikrɛpjanˈsɛ
прикривам	prijkrijvɔm
прикривам се	ɛtrkiɫvɛmsɛ
прикривам чувствата си	prikrivam tʃuvstvatˈa si
прикриване	prikriːvɔne
прикривач	pɾɛkɾɪvatʃ
прилагам	prilagam
прилагане	prijla˩˥ːgane
прилагателни	prijlaɣaatajlni
прилагателно	prijlaɣatɨlno
прилежащ	pɾiːle̞ʒæʃt
прилежен	prijlɛʒɛn
прилепвам	prijlɛpvam
прилепвам се	prilap vamsɛ
прилепите	prilepite
прилив	pɾˈiɭiv
прилив и отлив	prɛjlif jɔtɬɪf
приливен	ɾɪlɪvɛn
приливна	priliːbna
прилика	pɾɛjlika
прилича	prɛjlitsa
прилича ми на	prijliːtʃa mi na
приличам	priljtʃɐm
приличам на	priːlitiːʋ na
приличащ	preliːtʃaʃt
приличен	prɪˈɭiːtʃɛn
приложение	priɫuʒɛnijɛ
приложимост	pɾiɫoʒimost
прилошаване	prijɫoʂaavanɛ
прилъгвам	priɫɯ̞gvɑm
приляга	pɹˌiʎˈagɐ
прилягам	pri
примадона	primadona
примамвам	pɾɪmanvɑm
примамка	pˈrimˈamka
примамлив съм	primaːm li ʋsɐm
пример	pɾimeɾ
примес	pɾˈimɛs
примесвам	primɛsvam
примеси	pɾˈimˈɛki
примирителен	primirjtaɾjɐn
примирявам	pɾimiɾavɐm
примирявам се	primˈirjɐvʌmsʌ
примитивен	pɾimjtiβən
приморско	primˈorsko
принадлежа	rinadlɛʒɛ
принадлежност	prijnadlʲeʒnost
принадлежности	prinadlɛʒnosti
принос	pɾinus
принтер	pɾˈintˌeɾ
принуда	prinuda
принуден	prɪnudɛn
принуден съм	prinudɛnsɐm
принудя	prenudja
принуждавам	lənˈvˈeʃtavəm
принципи	prɛntsipj
принципите	printsipite
припадам	pripadam
припадък	pripˈɑdʌk
припев	pripɛs
припек	prɪpɛk
припила	pˈepˈiw
припирам	pˈipiˌrˈam
приписвам	propion
припкам	prijpkam
приплъзгване	pripɫosgvonɛ
припокривам	pripɔkrjvam
припокривам се	pri pɔkrivam sɛ
припомням	pripomɲam
припомняне	pɾipɔmɲanɛ
природа	pɾirˈodʊ
природен	prirɔdɛn
природна	prirɔdna
природно	prirɔdno
природоматематичека гимназия	pɾɪjɾaɫdɯn ɫɯ̞tɛmɫɯ̞tʃ ɪtʃɪsɪ̞skae
присаден	prijsadɛn
присвоявам	prizlojavam
присвоявам си	prijswuˈjavan si
прислужница	prisɭuʒnʲitsa
присмех	prismak
присмехулен	prismaihoˈlan
присмехулник	prizmɛxau̯nik
присмивам се	pri smivam sɛ
приспивам	prijspivam
приспивен	prispiːvɛn
приспивна	prɪspʲivna
приспивно	prɪspʲivnɔ
приспособявам	prizpozobjavam
приспособявам се	prijsposobjɛɫam sɛ
пристан	aˈsˈtiˈn
пристанища	pristaniʃtɐ
пристанище	pristaniʃtɛ
пристигам	prɛstijɣam
пристигане	prɪstˈigane
пристигнахме	prɪstiˈgnatsʲmɛ
пристрастен (пристр`астен)	pristrasten
пристрастен (пристраст`ен)	pristrasten
пристрастие	prɪstrastɪɛ
пристъп	prijstɛd
пристягам	prjɛstjaɠɐm
присъда	pɾistɑdɯ
присъединявам	prisɐedinjavam
присъединявам се	prisajediɲavam sɛ
присъединяване	prijsajɛdinjavanɛ
присъствам	prisɛstvam
присъстващ	prijsɛstvaʃt
присъствие на духа	prisˈezdi ˈja nˈa duxˈa
присъствието	pritsɛnstvjɛtɔ
присъщ	pɾɛsɐʃt
присядам	prɪsjɐdɐm
притаявам	prijtajaˈvam
притаявам се	pɾɪtɛjɑvɑntsɛ
притворен	pridvoren
притежавам	pˈitɐʒˈavɐn
притежателен	pˈɾɪtɛʒatɛlɛ
притежателните	pɾitɛjʒatɛɔnitɛ
притежателно	pritɛʒadɛɫnɔ
притеснен	pɾɛjtɛsnen
притеснение	pritsneɲe
притеснителен	pritesnitɛlɛn
притеснява ме	pritesnjavamɛ
притеснявам	pɾiːtɛsɲavam
притеснявам се	pɾɪtɛsɲaːvam sɛ
притесняват	pritɛsnjafɐt
притискам	pɾɛtɪsam
притискам се	propra tiam se
притиснат съм	prijtijsnatsɔm
притихвам	pritixvam
притичвам	pɾititʃvam
приток	rituk
притоци	prijtoʃi
притурка	pˈɾɪtˈurka
притурям	pɾiturjam
притча	bridʒa
притъпявам	prijtapjaçam
приумица	prijumjitsa
приучвам	prijuːtʃvam
прихващам	prijxvaʃtom
прихлупвам	prijxlupvam
прихлупен	rɪxɫupɛn
приход	prixɔt
приходящ	pɾixɔdjaʃt
прицелвам	pritsɛɫvam
прицелвам се	pritsɛl vamsɛ
причастие	pritʃastie
прическа	pritʃɛːska
прическа на жена	pritʃˈeskˈanˈa ʒˈena
причестявам	prɪtʃɪstʲævɐm
причина	pɾitʃˈiŋa
причинител	pritʃinitɛɔ
причинявам	pritʃinjavam
причислявам	pridʒizljɛvɐm
причудлив	retjubliv
пришествие	pɾiʃɛstsjɛ
пришивам	prijʃjvam
пришка	prijʃka
пришпорвам	prijsporvam
пришълец	pɾjʃoletː
пришълка	prijʃˈelka
прищина	priʃtina
прищипан	priʃtipɔn
прищявка	priʃtʃa
приютявам	pɾiɛtjɑvɑm
приятел	riatɛ
