×	peke
正出	seiɕɯtsɯ
正切	seisetsɯ
正則	seisokɯ
正則化	seisokɯka
正則曲線	seisokɯkjokɯseɴ
正則行列	seisokɯgjoɯɾetsɯ
正則表現	seisokɯçjoɯgeɴ
正則関数	seisokɯkaɴsɯɯ
正副	seiɸɯkɯ
正副二通	seiɸɯkɯnitsɯɯ
正副議長	seiɸɯkɯgitɕoɯ
正割	seikatsɯ
正北	seihokɯ
正午	ɕoɯgo
正南	seinaɴ
正反合	seihaɴgoɯ
正反対	seihaɴtai
正史	seiɕi
正号	seigoɯ
正否	seiçi
正味	ɕoɯmi
正味値段	ɕoɯminedaɴ
正味重量	ɕoɯmidʑɯɯɾjoɯ
正命	ɕoɯmjoɯ
正和	ɕoɯɰᵝa
正員	seiiɴ
正嘉	ɕoɯka
正四面体	seiɕimeɴtai
正坐	seiza
正報	ɕoɯhoɯ
正塩	seieɴ
正多角形	seitakakɯkei
正多面体	seitameɴtai
正夢	masajɯme
正大	seidai
正妻	seisai
正嫡	seiteki
正子	ɕoɯɕi
正孔	seikoɯ
正字	seidʑi
正字法	seidʑihoɯ
正安	ɕoɯaɴ
正安息香酸	seiaɴsokɯkoɯsaɴ
正宗	masamɯne
正定	ɕoɯdʑoɯ
正定値	seiteitɕi
正定業	ɕoɯdʑoɯgoɯ
正客	seikakɯ
正室	seiɕitsɯ
正対	seitai
正常	seidʑoɯ
正常位	seidʑoɯi
正常値	seidʑoɯtɕi
正常利潤	seidʑoɯɾidʑɯɴ
正常動作精度	seidʑoɯdoɯsaseido
正常化	seidʑoɯka
正常終了	seidʑoɯɕɯɯɾjoɯ
正常財	seidʑoɯzai
正帽	seiboɯ
正平	ɕoɯhei
正庁	seitɕoɯ
正座	seiza
正式	seiɕiki
正式の歴史	seiɕikinoɾekiɕi
正式メンバー	seiɕikimeɴbaː
正式名	seiɕikimei
正式名称	seiɕikimeiɕoɯ
正式国名	seiɕikikokɯmei
正式発表	seiɕikihapːjoɯ
正式調印	seiɕikitɕoɯiɴ
正引	seibiki
正引き	seibiki
正弦	seigeɴ
正弦曲線	seigeɴkjokɯseɴ
正弦波	seigeɴha
正当	seitoɯ
正当化	seitoɯka
正当性	seitoɯsei
正当防衛	seitoɯboɯei
正徳	ɕoɯtokɯ
正応	ɕoɯoɯ
正念	ɕoɯneɴ
正念場	ɕoɯneɴba
正悪	seiakɯ
正意	seii
正慶	ɕoɯkei
正投手	seitoɯɕɯ
正拳突き	seikeɴzɯki
正接	seisetsɯ
正攻法	seikoɯhoɯ
正教	seikjoɯ
正教会	seikjoɯkai
正教員	seikjoɯiɴ
正教師	seikjoɯɕi
正教授	seikjoɯdʑɯ
正数	seisɯɯ
正整数	seiseisɯɯ
正文	seibɯɴ
正断層	seidaɴsoɯ
正方	seihoɯ
正方形	seihoɯkei
正方行列	seihoɯgjoɯɾetsɯ
正時	ɕoɯdʑi
正暦	ɕoɯɾjakɯ
正書	seiɕo
正書法	seiɕohoɯ
正月	ɕoɯgatsɯ
正月太り	ɕoɯgatsɯbɯtoɾi
正服	seiɸɯkɯ
正朔	seisakɯ
正朝	seitɕoɯ
正期産	seikisaɴ
正木	masaki
正本	seihoɴ
正札	ɕoɯɸɯda
正札付き	ɕoɯɸɯdazɯki
正札値段	ɕoɯɸɯdanedaɴ
正東	seitoɯ
正格	seikakɯ
正格活用	seikakɯkatsɯjoɯ
正業	seigjoɯ
正極	seikjokɯ
正極性	seikjokɯsei
正楽	seigakɯ
正横	seioɯ
正正	seisei
正正堂堂	seiseidoɯdoɯ
正殿	seideɴ
正比	seiçi
正比例	seiçiɾei
正気	seiki
正気づく	ɕoɯkizɯkɯ
正気とは思えない	ɕoɯkitohaomoenai
正気の沙汰ではない	ɕoɯkinosatadehanai
正気を失う	ɕoɯkioɯɕinaɯ
正気付く	ɕoɯkizɯkɯ
正気散	ɕoɯkisaɴ
正油	ɕoɯjɯɯ
正治	ɕoɯdʑi
正法	seihoɯ
正準形式	seidʑɯɴkeiɕiki
正炭	ɕoɯsɯmi
正物	ɕoɯbɯtsɯ
正犯	seihaɴ
正犯者	seihaɴɕa
正獣下綱	seidʑɯɯkakoɯ
正甲板	seikaɴpaɴ
正目	masame
正直	ɕoɯdʑiki
正直なところ	ɕoɯdʑikinatokoɾo
正直な所	ɕoɯdʑikinatokoɾo
正直の頭に神宿る	ɕoɯdʑikinokoɯbenikamijadoɾɯ
正直は一生の宝	ɕoɯdʑikihaiɕːoɯnotakaɾa
正直一徹	ɕoɯdʑikiitːetsɯ
正直一途	ɕoɯdʑikiitɕizɯ
正直一遍	ɕoɯdʑikiipːeɴ
正直者	ɕoɯdʑikimono
正直者が馬鹿を見る	ɕoɯdʑikimonogabakaomiɾɯ
正直言って	ɕoɯdʑikiitːe
正相	seisoɯ
正真正銘	ɕoɯɕiɴɕoɯmei
正眼	seigaɴ
正確	seikakɯ
正確さ	seikakɯsa
正確度	seikakɯdo
正確性	seikakɯsei
正確無比	seikakɯmɯçi
正確爆撃	seikakɯbakɯgeki
正社員	seiɕaiɴ
正称	seiɕoɯ
正立	seiɾitsɯ
正符号	seiɸɯgoɯ
正答	seitoɯ
正答率	seitoɯɾitsɯ
正系	seikei
正経	seikjoɯ
正統	seitoɯ
正統カリフ時代	seitoɯkaɾiɸɯdʑidai
正統信教	seitoɯɕiɴkjoɯ
正統派	seitoɯha
正絹	ɕoɯkeɴ
正続	seizokɯ
正編	seiheɴ
正義	seigi
正義の名に於て	seiginonanioite
正義の味方	seiginomikata
正義感	seigikaɴ
正義漢	seigikaɴ
正肉	ɕoɯnikɯ
正腹	seiɸɯkɯ
正色	seiɕokɯ
正行	ɕoɯgjoɯ
正装	seisoɯ
正西	seisei
正見	ɕoɯkeɴ
正規	seiki
正規ユーザー	seikijɯːzaː
正規兵	seikihei
正規分布	seikibɯɴpɯ
正規労働者	seikiɾoɯdoɯɕa
正規化	seikika
正規化変換	seikikaheɴkaɴ
正規化投影座標系	seikikatoɯeizaçjoɯkei
正規化装置座標	seikikasoɯtɕizaçjoɯ
正規形	seikikei
正規曲線	seikikjokɯseɴ
正規生	seikisei
正規直交化	seikitɕokːoɯka
正規直交基底	seikitɕokːoɯkitei
正規直交系	seikitɕokːoɯkei
正規表現	seikiçjoɯgeɴ
正規言語	seikigeɴgo
正規軍	seikigɯɴ
正規雇用	seikikojoɯ
正規電圧	seikideɴatsɯ
正視	seiɕi
正視眼	seiɕigaɴ
正覚	ɕoɯgakɯ
正覚坊	ɕoɯgakɯboɯ
正観世音	ɕoɯkaɴzenoɴ
正観音	ɕoɯkaɴnoɴ
正解	seikai
正解者	seikaiɕa
正触媒	seiɕokɯbai
正訓	seikɯɴ
正誤	seigo
正誤表	seigoçjoɯ
正課	seika
正課外	seikagai
正調	seitɕoɯ
正論	seiɾoɴ
正論理	seiɾoɴɾi
正負	seiɸɯ
正負条件	seiɸɯdʑoɯkeɴ
正貨	seika
正賓	seiçiɴ
正路	seiɾo
正身	mɯzane
正逆	seigjakɯ
正道	seidoɯ
正選手	seiseɴɕɯ
正邪	seidʑa
正邪の区別	seidʑanokɯbetsɯ
正邪善悪	seidʑazeɴakɯ
正邪曲直	seidʑakjokɯtɕokɯ
正金	ɕoɯkiɴ
正金取引	ɕoɯkiɴtoɾiçiki
正金銀行	ɕoɯkiɴgiɴkoɯ
正銘	ɕoɯmei
正長	ɕoɯtɕoɯ
正長石	seitɕoɯseki
正門	seimoɴ
正閏	seidʑɯɴ
正電気	seideɴki
正電荷	seideɴka
正露丸	seiɾogaɴ
正面	matomo
正面切って	ɕoɯmeɴkitːe
正面向き	ɕoɯmeɴmɯki
正面図	ɕoɯmeɴzɯ
正面攻撃	ɕoɯmeɴkoɯgeki
正面玄関	ɕoɯmeɴgeɴkaɴ
正面衝突	ɕoɯmeɴɕoɯtotsɯ
正音	seioɴ
正風	ɕoɯɸɯɯ
正餐	seisaɴ
正鵠	seikokɯ
此	koɴ
此うした	koɯɕita
此から	koɾekaɾa
此から先	koɾekaɾasaki
此の	kono
此の上	konoɯe
此の上とも	konoɯetomo
此の上無い	konoɯenai
此の世	konojo
此の中	konodʑɯɯ
此の位	konogɯɾai
此の儘	konomama
此の先	konosaki
此の内	konoɯtɕi
此の前	konomae
此の君	konokimi
此の度	konotabi
此の後	kononotɕi
此の所	konotokoɾo
此の手	konote
此の方	konohoɯ
此の期	konogo
此の期に及んで	konogoniojoɴde
此の様	konojoɯ
此の様に	konojoɯni
此の程	konohodo
此の節	konosetsɯ
此の糸	konoito
此の親にしてこの子あり	konoojaniɕitekonokoaɾi
此の親にして此の子あり	konoojaniɕitekonokoaɾi
此の親にして此の子有り	konoojaniɕitekonokoaɾi
此の辺	konoheɴ
此の辺り	konoataɾi
此の間	konokaɴ
此の際	konosai
此の頃	konogoɾo
此の頃様	konogoɾojoɯ
此れ	koɾe
此れから	koɾekaɾa
此れこそ	koɾekoso
此れっぽち	koɾepːotɕi
此れっぽっち	koɾepːotɕːi
此れっ切り	koɾekːiɾi
此れっ許り	koɾepːakaɾi
此れと言って	koɾetoitːe
此れは	koɾeha
此れまで	koɾemade
此れまでで	koɾemadede
此れまでに	koɾemadeni
此れを以て	koɾeomotːe
此れ丈	koɾedake
此れ位	koɾegɯɾai
此れ切り	koɾegiɾi
此れ幸い	koɾesaiɰᵝai
此れ式	koɾeɕiki
此れ彼	koɾekaɾe
此れ此れ	koɾekoɾe
此れ程	koɾehodo
此れ等	koɾeɾa
此れ見よがし	koɾemijogaɕi
此れ許り	koɾebakaɾi
此れ迄	koɾemade
此れ迄で	koɾemadede
此れ迄に	koɾemadeni
此処	koko
此処いら	kokoiɾa
此処が思案のし所	kokogaɕiaɴnoɕidokoɾo
此処ぞ	kokozo
此処で会ったが百年目	kokodeatːagaçjakɯneɴme
此処で逢ったが百年目	kokodeatːagaçjakɯneɴme
此処に於て	kokonioite
此処の所	kokonotokoɾo
此処ら	kokoɾa
此処ん所	kokoɴtoko
此処一番	kokoitɕibaɴ
此処彼処	kokokaɕiko
此処等	kokoɾa
此奴	kojatsɯ
此奴ら	koitsɯɾa
此岸	ɕigaɴ
此度	konotabi
此彼	koɾekaɾe
此所	koko
此所ら	kokoɾa
此方	koɴta
此方の話	kotɕiɾanohanaɕi
此方人等	kotɕːitoɾa
此方持ち	kotɕiɾamotɕi
此方様	konatasama
此様	konasama
此樣	konasama
此等	koɾeɾa
此見よがし	koɾemijogaɕi
此間	konaida
武	bɯ
武し	takeɕi
武を練る	bɯoneɾɯ
武事	bɯdʑi
武人	bɯdʑiɴ
武人気質	bɯdʑiɴkatagi
武侠	bɯkjoɯ
武侠小説	bɯkjoɯɕoɯsetsɯ
武備	bɯbi
武具	bɯgɯ
武力	bɯɾjokɯ
武力介入	bɯɾjokɯkainjɯɯ
武力外交	bɯɾjokɯgaikoɯ
武力干渉	bɯɾjokɯkaɴɕoɯ
武力戦	bɯɾjokɯseɴ
武力攻撃	bɯɾjokɯkoɯgeki
武力政治	bɯɾjokɯseidʑi
武力行使	bɯɾjokɯkoɯɕi
武力行使容認決議	bɯɾjokɯkoɯɕijoɯniɴketsɯgi
武力衝突	bɯɾjokɯɕoɯtotsɯ
武功	bɯkoɯ
武勇	bɯjɯɯ
武勇伝	bɯjɯɯdeɴ
武勇絶倫	bɯjɯɯzetsɯɾiɴ
武勇談	bɯjɯɯdaɴ
武勲	bɯkɯɴ
武名	bɯmei
武問	bɯmoɴ
武器	bɯki
武器倉	bɯkigɯɾa
武器取引	bɯkitoɾiçiki
武器商人	bɯkiɕoɯniɴ
武器庫	bɯkiko
武器弾薬	bɯkidaɴjakɯ
武器査察	bɯkisasatsɯ
武器貸与	bɯkitaijo
武器輸出	bɯkijɯɕɯtsɯ
武器輸出三原則	bɯkijɯɕɯtsɯsaɴgeɴsokɯ
武器輸出禁止	bɯkijɯɕɯtsɯkiɴɕi
武士	mononoɸɯ
武士の情け	bɯɕinonasake
武士の鑑	bɯɕinokagami
武士団	bɯɕidaɴ
武士気質	bɯɕikiɕitsɯ
武士詞	bɯɕikotoba
武士道	bɯɕidoɯ
武士道の華	bɯɕidoɯnohana
武士階級	bɯɕikaikjɯɯ
武夫	bɯɸɯ
武威	bɯi
武学	bɯgakɯ
武官	bɯkaɴ
武家	bɯke
武家伝奏	bɯkedeɴsoɯ
武家奉公	bɯkeboɯkoɯ
武家屋敷	bɯkejaɕiki
武家政権	bɯkeseikeɴ
武家政治	bɯkeseidʑi
武家時代	bɯkedʑidai
武家物	bɯkemono
武家衆	bɯkeɕɯɯ
武家諸法度	bɯkeɕohatːo
武家造	bɯkezɯkɯɾi
武家造り	bɯkezɯkɯɾi
武将	bɯɕoɯ
武庫	bɯko
武弁	bɯbeɴ
武張る	bɯbaɾɯ
武徳	bɯtokɯ
武徳殿	bɯtokɯdeɴ
武技	bɯgi
武教	bɯkjoɯ
武断	bɯdaɴ
武断主義	bɯdaɴɕɯgi
武断政治	bɯdaɴseidʑi
武断的	bɯdaɴteki
武漢三鎮	bɯkaɴsaɴtɕiɴ
武烈	bɯɾetsɯ
武略	bɯɾjakɯ
武神	bɯɕiɴ
武者	mɯɕa
武者人形	mɯɕaniɴgjoɯ
武者修業	mɯɕaɕɯgjoɯ
武者修行	mɯɕaɕɯgjoɯ
武者振り	mɯɕabɯɾi
武者振りつく	mɯɕabɯɾitsɯkɯ
武者振り付く	mɯɕabɯɾitsɯkɯ
武者振るい	mɯɕabɯɾɯi
武者絵	mɯɕae
武者言葉	bɯɕakotoba
武者詞	bɯɕakotoba
武者震い	mɯɕabɯɾɯi
武者顫い	mɯɕabɯɾɯi
武臣	bɯɕiɴ
武芸	bɯgei
武芸百般	bɯgeiçjapːaɴ
武芸者	bɯgeiɕa
武蔵	mɯsaɕi
武蔵鐙	mɯsaɕiabɯmi
武術	bɯdʑɯtsɯ
武術太極拳	bɯdʑɯtsɯtaikjokɯkeɴ
武装	bɯsoɯ
武装を解く	bɯsoɯotokɯ
武装中立	bɯsoɯtɕɯɯɾitsɯ
武装具	bɯsoɯgɯ
武装勢力	bɯsoɯseiɾjokɯ
武装平和	bɯsoɯheiɰᵝa
武装組織	bɯsoɯsoɕiki
武装船	bɯsoɯseɴ
武装蜂起	bɯsoɯhoɯki
武装解除	bɯsoɯkaidʑo
武装警官	bɯsoɯkeikaɴ
武装都市	bɯsoɯtoɕi
武装集団	bɯsoɯɕɯɯdaɴ
武辺	bɯheɴ
武運	bɯɯɴ
武運長久	bɯɯɴtɕoɯkjɯɯ
武道	bɯdoɯ
武道家	bɯdoɯka
武道館	bɯdoɯkaɴ
武鑑	bɯkaɴ
武門	bɯmoɴ
武闘	bɯtoɯ
武闘家	bɯtoɯka
武陵桃源	bɯɾjoɯtoɯgeɴ
武骨	bɯkotsɯ
武骨一徹	bɯkotsɯitːetsɯ
武骨者	bɯkotsɯmono
武鯛	bɯdai
歩	ho
歩き	aɾɯki
歩きたばこ	aɾɯkitabako
歩きはじめ	aɾɯkihadʑime
歩きぶり	aɾɯkibɯɾi
歩きまわる	aɾɯkimaɰᵝaɾɯ
歩きスマホ	aɾɯkisɯmaho
歩きタバコ	aɾɯkitabako
歩き初め	aɾɯkizome
歩き去る	aɾɯkisaɾɯ
歩き回る	aɾɯkimaɰᵝaɾɯ
歩き始め	aɾɯkihadʑime
歩き始める	aɾɯkihadʑimeɾɯ
歩き廻る	aɾɯkimaɰᵝaɾɯ
歩き振り	aɾɯkibɯɾi
歩き方	aɾɯkikata
歩き煙草	aɾɯkitabako
歩き疲れる	aɾɯkitsɯkaɾeɾɯ
歩き神	aɾɯkigami
歩き続ける	aɾɯkitsɯzɯkeɾɯ
歩き食い	aɾɯkigɯi
歩く	aɾɯkɯ
歩こう	hokoɯ
歩ぶ	ajobɯ
歩み	ajɯmi
歩み入る	ajɯmiiɾɯ
歩み寄り	ajɯmijoɾi
歩み寄る	ajɯmijoɾɯ
歩み方	ajɯmikata
歩み続ける	ajɯmitsɯzɯkeɾɯ
歩む	ajɯmɯ
歩を突く	ɸɯotsɯkɯ
歩を進める	hoosɯsɯmeɾɯ
歩一歩	hoipːo
歩人	katɕibito
歩兵	hohei
歩兵師団	ɸɯçjoɯɕidaɴ
歩兵戦闘車両	hoheiseɴtoɯɕaɾjoɯ
歩卒	hosotsɯ
歩合	bɯai
歩合制	bɯaisei
歩合算	bɯaizaɴ
歩合給	bɯaikjɯɯ
歩哨	hoɕoɯ
歩哨を置く	hoɕoɯookɯ
歩帯	hotai
歩幅	hohaba
歩度	hodo
歩廊	hoɾoɯ
歩引き	bɯbiki
歩掛り	bɯgakaɾi
歩数	hosɯɯ
歩数計	hosɯɯkei
歩止まり	bɯdomaɾi
歩止り	bɯdomaɾi
歩武	hobɯ
歩法	hohoɯ
歩測	hosokɯ
歩留	bɯdomaɾi
歩留まり	bɯdomaɾi
歩留り	bɯdomaɾi
歩脚	hokjakɯ
歩行	hokoɯ
歩行器	hokoɯki
歩行者	hokoɯɕa
歩行者優先	hokoɯɕajɯɯseɴ
歩行者天国	hokoɯɕateɴgokɯ
歩行者用信号	hokoɯɕajoɯɕiɴgoɯ
歩行虫	gomimɯɕi
歩行補助器	hokoɯhodʑoki
歩調	hotɕoɯ
歩調を合わせる	hotɕoɯoaɰᵝaseɾɯ
歩調を揃える	hotɕoɯosoɾoeɾɯ
歩速	hosokɯ
歩道	hodoɯ
歩道橋	hodoɯkjoɯ
歪	ibitsɯ
歪み	jɯgami
歪む	jɯgamɯ
歪める	jɯgameɾɯ
歪力	ɰᵝaiɾjokɯ
歪度	ɰᵝaido
歪曲	ɰᵝaikjokɯ
歯	joɰᵝai
歯かす	hakasɯ
歯がうく	hagaɯkɯ
歯がたたない	hagatatanai
歯がゆい	hagajɯi
歯が浮く	hagaɯkɯ
歯が立たない	hagatatanai
歯ぎしり	hagiɕiɾi
歯くそ	hakɯso
歯ぐき	hagɯki
歯ごたえ	hagotae
歯ざわり	hazaɰᵝaɾi
歯に衣を着せない	hanikinɯokisenai
歯に衣を着せぬ	hanikinɯokisenɯ
歯に衣着せない	hanikinɯkisenai
歯に衣着せぬ	hanikinɯkisenɯ
歯の妖精	hanojoɯsei
歯の根	hanone
歯の浮くような	hanoɯkɯjoɯna
歯みがき粉	hamigakiko
歯をくいしばる	haokɯiɕibaɾɯ
歯を抜く	haonɯkɯ
歯を磨く	haomigakɯ
歯を食いしばる	haokɯiɕibaɾɯ
歯を食い縛る	haokɯiɕibaɾɯ
歯を食縛る	haokɯiɕibaɾɯ
歯ブラシ	habɯɾaɕi
歯並び	hanaɾabi
歯並み	hanami
歯並蓑笠子	hanaminokasago
歯付ベルト	hatsɯkibeɾɯto
歯偏	haheɴ
歯元	hamoto
歯入れ	haiɾe
歯内療法	ɕinaiɾjoɯhoɯ
歯内療法学	ɕinaiɾjoɯhoɯgakɯ
歯内療法専門医	ɕinaiɾjoɯhoɯseɴmoɴi
歯冠	ɕikaɴ
歯切り	hagiɾi
歯切れ	hagiɾe
歯切れいい	hagiɾeii
歯切れが悪い	hagiɾegaɰᵝaɾɯi
歯切れのいい	hagiɾenoii
歯切れのよい	hagiɾenojoi
歯切れの悪い	hagiɾenoɰᵝaɾɯi
歯切れの良い	hagiɾenojoi
歯切れよい	hagiɾejoi
歯切れ良い	hagiɾejoi
歯列	ɕiɾetsɯ
歯列弓	ɕiɾetsɯkjɯɯ
歯列矯正	ɕiɾetsɯkjoɯsei
歯列矯正器	ɕiɾetsɯkjoɯseiki
歯医者	haiɕa
歯向う	hamɯkaɯ
歯向かう	hamɯkaɯ
歯周	ɕiɕɯɯ
歯周ポケット	ɕiɕɯɯpoketːo
歯周治療学	ɕiɕɯɯtɕiɾjoɯgakɯ
歯周炎	ɕiɕɯɯeɴ
歯周病	ɕiɕɯɯbjoɯ
歯噛み	hagami
歯固	hagatame
歯固め	hagatame
歯型	hagata
歯垢	ɕikoɯ
歯学	ɕigakɯ
歯屎	hakɯso
歯形	hagata
歯応え	hagotae
歯抜け	hanɯke
歯擦音	ɕisatsɯoɴ
歯朶	ɕida
歯根	ɕikoɴ
歯根管治療	ɕikoɴkaɴtɕiɾjoɯ
歯根膜	ɕikoɴmakɯ
歯槽	ɕisoɯ
歯槽膿漏	ɕisoɯnoɯɾoɯ
歯槽骨	ɕisoɯkotsɯ
歯止め	hadome
歯止めをかける	hadomeokakeɾɯ
歯止めを掛ける	hadomeokakeɾɯ
歯滓	hakasɯ
歯牙	ɕiga
歯牙にもかけない	ɕiganimokakenai
歯牙にも掛けない	ɕiganimokakenai
歯牙状	ɕigadʑoɯ
歯牙疾患	ɕigaɕikːaɴ
歯牙矯正術	ɕigakjoɯseidʑɯtsɯ
歯状	ɕidʑoɯ
歯痒い	hagajɯi
歯痛	haita
歯石	ɕiseki
歯磨	hamigaki
歯磨き	hamigaki
歯磨き粉	hamigakiko
歯磨剤	ɕimazai
歯神経	ɕiɕiɴkei
歯科	ɕika
歯科医	ɕikai
歯科医師	ɕikaiɕi
歯科医師国家資格試験	ɕikaiɕikokːaɕikakɯɕikeɴ
歯科医術	ɕikaidʑɯtsɯ
歯科医院	ɕikaiiɴ
歯科大学	ɕikadaigakɯ
歯科学	ɕikagakɯ
歯科実験室	ɕikadʑikːeɴɕitsɯ
歯科技工士	ɕikagikoɯɕi
歯科検診	ɕikakeɴɕiɴ
歯科用	ɕikajoɯ
歯科病院	ɕikabjoɯiɴ
歯科衛生士	ɕikaeiseiɕi
歯糞	hakɯso
歯肉	hanikɯ
歯肉溝	ɕinikɯkoɯ
歯肉炎	ɕinikɯeɴ
歯脱け	hanɯke
歯膜炎	ɕimakɯeɴ
歯芽	ɕiga
歯茎	hagɯki
歯茎側面はじき音	hagɯkisokɯmeɴhadʑikioɴ
歯茎側面弾き音	hagɯkisokɯmeɴhadʑikioɴ
歯茎側面接近音	ɕikeisokɯmeɴsekːiɴoɴ
歯茎口蓋音	ɕikeikoɯgaioɴ
歯茎音	hagɯkioɴ
歯触り	hazaɰᵝaɾi
歯質	ɕiɕitsɯ
歯車	hagɯɾɯma
歯軋り	hagiɕiɾi
歯軌条	ɕikidʑoɯ
歯間	ɕikaɴ
歯面	ɕimeɴ
歯音	ɕioɴ
歯骨	habone
歯髄	ɕizɯi
歯髄腔	ɕizɯikoɯ
歯鯨	hakɯdʑiɾa
歯鰹	hagatsɯo
歯黒	hagɯɾo
歯齦	ɕigiɴ
歯齦炎	ɕigiɴeɴ
歳	tose
歳々	saisai
歳々年々	saisaineɴneɴ
歳の割に	toɕinoɰᵝaɾini
歳の市	toɕinoitɕi
歳の瀬	toɕinose
歳の行った	toɕinoitːa
歳をとる	toɕiotoɾɯ
歳を取る	toɕiotoɾɯ
歳を喰う	toɕiokɯɯ
歳を追う	toɕiooɯ
歳を食う	toɕiokɯɯ
歳代	saidai
歳入	sainjɯɯ
歳入歳出	sainjɯɯsaiɕɯtsɯ
歳出	saiɕɯtsɯ
歳刑	saikjoɯ
歳取る	toɕitoɾɯ
歳喰う	toɕikɯɯ
歳差	saisa
歳差運動	saisaɯɴdoɯ
歳徳神	toɴdosaɴ
歳旦	saitaɴ
歳星	saisei
歳時記	saidʑiki
歳晩	saibaɴ
歳暮	seibo
歳月	toɕitsɯki
歳月人を待たず	saigetsɯçitoomatazɯ
歳月流るる如し	saigetsɯnagaɾɯɾɯgotoɕi
歳未満	saimimaɴ
歳末	saimatsɯ
歳末大売り出し	saimatsɯooɯɾidaɕi
歳末大売出し	saimatsɯooɯɾidaɕi
歳次	saidʑi
歳歳	saisai
歳歳年年	saisaineɴneɴ
歳殺	saisetsɯ
歳破	saiha
歳神	toɕigami
歳計	saikei
歳費	saiçi
歳食う	toɕikɯɯ
歴	ɾeki
歴々	ɾekiɾeki
歴とした	ɾekːitoɕita
歴る	heɾɯ
歴世	ɾekisei
歴仕	ɾekiɕi
歴代	ɾekidai
歴代史	ɾekidaiɕi
歴代志	ɾekidaiɕi
歴代誌上	ɾekidaiɕidʑoɯ
歴代誌下	ɾekidaiɕika
歴任	ɾekiniɴ
歴伝	ɾekideɴ
歴史	ɾekiɕi
歴史となること	ɾekiɕitonaɾɯkoto
歴史のない	ɾekiɕinonai
歴史の一ページ	ɾekiɕinoitɕipeːdʑi
歴史の無い	ɾekiɕinonai
歴史の１ページ	ɾekiɕinoitɕipeːdʑi
歴史は繰り返す	ɾekiɕihakɯɾikaesɯ
歴史を刻む	ɾekiɕiokizamɯ
歴史上	ɾekiɕidʑoɯ
歴史主義	ɾekiɕiɕɯgi
歴史人口学	ɾekiɕidʑiɴkoɯgakɯ
歴史修正主義	ɾekiɕiɕɯɯseiɕɯgi
歴史再審論者	ɾekiɕisaiɕiɴɾoɴɕa
歴史劇	ɾekiɕigeki
歴史博物館	ɾekiɕihakɯbɯtsɯkaɴ
歴史哲学	ɾekiɕitetsɯgakɯ
歴史地区	ɾekiɕitɕikɯ
歴史地図	ɾekiɕitɕizɯ
歴史地理	ɾekiɕitɕiɾi
歴史学	ɾekiɕigakɯ
歴史学派	ɾekiɕigakɯha
歴史家	ɾekiɕika
歴史小説	ɾekiɕiɕoɯsetsɯ
歴史時代	ɾekiɕidʑidai
歴史書	ɾekiɕiɕo
歴史物語	ɾekiɕimonogataɾi
歴史画	ɾekiɕiga
歴史的	ɾekiɕiteki
歴史的仮名遣い	ɾekiɕitekikanazɯkai
歴史的現在	ɾekiɕitekigeɴzai
歴史的経緯から	ɾekiɕitekikeiikaɾa
歴史科学	ɾekiɕikagakɯ
歴史観	ɾekiɕikaɴ
歴史言語学	ɾekiɕigeɴgogakɯ
歴史認識	ɾekiɕiniɴɕiki
歴史資料	ɾekiɕiɕiɾjoɯ
歴史資料館	ɾekiɕiɕiɾjoɯkaɴ
歴女	ɾekidʑo
歴年	ɾekineɴ
歴年齢	ɾekineɴɾei
歴戦	ɾekiseɴ
歴日	ɾekidʑitsɯ
歴朝	ɾekitɕoɯ
歴歴	ɾekiɾeki
歴法の改正	ɾekihoɯnokaisei
歴然	ɾekizeɴ
歴程	ɾekitei
歴覧	ɾekiɾaɴ
歴訪	ɾekihoɯ
歴遊	ɾekijɯɯ
歴青	tɕaɴ
歴青ウラン鉱	ɾekiseiɯɾaɴkoɯ
歴青炭	ɾekiseitaɴ
歸る	kaeɾɯ
歹偏	gatsɯheɴ
死	ɕi
死がい	ɕigai
死してのちやむ	ɕiɕitenotɕijamɯ
死してのち已む	ɕiɕitenotɕijamɯ
死して後已む	ɕiɕitenotɕijamɯ
死す	ɕisɯ
死すべき	ɕisɯbeki
死する	ɕisɯɾɯ
死なす	ɕinasɯ
死なば諸共	ɕinabamoɾotomo
死に	ɕini
死にかかる	ɕinikakaɾɯ
死にかける	ɕinikakeɾɯ
死にぎわ	ɕinigiɰᵝa
死にそう	ɕinisoɯ
死にゆく者	ɕinijɯkɯmono
死に体	ɕinitai
死に別れる	ɕiniɰᵝakaɾeɾɯ
死に化粧	ɕinigeɕoɯ
死に場所	ɕinibaɕo
死に変る	ɕinikaɰᵝaɾɯ
死に変わる	ɕinikaɰᵝaɾɯ
死に学問	ɕinigakɯmoɴ
死に後れる	ɕiniokɯɾeɾɯ
死に急ぐ	ɕiniisogɯ
死に恥	ɕinihadʑi
死に所	ɕinidokoɾo
死に掛かる	ɕinikakaɾɯ
死に掛ける	ɕinikakeɾɯ
死に損ない	ɕinizokonai
死に損なう	ɕinisokonaɯ
死に時	ɕinidoki
死に様	ɕinizama
死に水	ɕinimizɯ
死に水を取る	ɕinimizɯotoɾɯ
死に物狂い	ɕinimonogɯɾɯi
死に目	ɕinime
死に神	ɕinigami
死に絶える	ɕinitaeɾɯ
死に至る	ɕiniitaɾɯ
死に至る病	ɕiniitaɾɯbjoɯ
死に花	ɕinibana
死に装束	ɕiniɕoɯzokɯ
死に身	ɕinimi
