!	jɔøoːbˈstaɪm
"	kuˀˀsæˀːin
"karel appel"	taʁˈaːl ˈapɛl
punkturnålene	pʌŋktʰurnulɛnæ
punktvis	rˈondvˈis
punktvise	kʌntˢuɾˀise
punktvist	pˈʊŋktvˈiːst
punsel	pʊnˀsle
punselen	pʊnˀsɛlˀən
punsle	pʊnʃlɛ
punslede	pʊnʃlʉdˀˀ
punslen	pʊnˀslin
punsler	pʰuːntslɔː
punslerne	hʊ̞nslˌɑːnə
punslet	kʰʊnʃlɛt
punsling	pʊnˈsling
punslingen	pʊnʃlʲɪŋən
punslinger	pˢoˀnseˀlˀɐŋˀɐ
punslingerne	pʊn̪sleŋɛɐne
punt	pˈʊnt
puntene	pʊntˌeːnə
puntet	pˈʊntət
pupil	pupiˈal
pupillen	pʊpˈiːlən
pupiller	pˈupiʝa
pupillerne	pˌɔpˈiɫɐnɛ
pupillometer	pʰɔpʰiːlˈɔmeːtˌɛɾ
pupillometeret	pupiɔmeːdɔl
pupillometre	hupi̯lˀɔ̀mətˢɐ
pupillometrene	hvˈupiːlˈɔ̃mˌeːtˈɾˈɑːnˌ
pupillometret	poːpiːlˈomˈiːtˌe
pupilreaktion	tupˈitˈeʁeakʃjˈɔ̃
pupilreaktionen	hˈʊpˀhˈlrˌeːaktiˈuːnən
pupilreaktioner	kˈupiʁeakksjˈɔ̃
pupilreaktionerne	kupˈiʁeakʃjˈɔ̃emˈi
pupiludvidelse	kʰʌpʰiːn˧ɔ̀wˀðhʌðˀɔ̀ɬɛsʰɛ
pupiludvidelsen	hʌpˀiːnˀuˀðɛd̥ɑlsæˀˀŋˀ
pupiludvidelser	pʰuˀpiˀðˀuˀðhɛjɛlsɒˀ
pupiludvidelserne	kʰʊ̞ˀpʰiːnˀɔ̙wˀðɛnˀsɔ̙nɛ
puppe	tʃupɛ
puppehylster	pʰwpʰhʉl̥sd̥a
puppehylsteret	ruːbˈɪhˈɪɪzˈtˈavˈarˌhɪ
puppehylstre	pˌʁˈʌbˈhʌstˈrø
puppehylstrene	χʊbɪhiːlʃtɔnɪ
puppehylstret	kʰuːbihʏ̀sdʁɔtʰiː
puppen	rˈupˈɛn
pupper	hˈupə
pupperne	χʊˌbɑːnˌ
puppestadie	kuˀˀbəsdɛjti
puppestadier	koːˈistəgɛ
puppestadierne	pɐoːbəsdɛːdjˈɔnˌ
puppestadiet	ɣˈubəstˈeːtjˈə
puppestadium	g̊uˀbəst̥eːd̥iːomˀ
pur	pwˈa
pure	puʁ
pure opspind	puɐ̯ ɔpspɛnˀ puɐ̯ ɔpspɛnˀ
purere	kˈyʁɛ
purerede	pyˈʁeʁˈɔn
purerer	fyʁˈɛ
pureret	pyːrˈɛɾot
purest	puːrɔst
purin	pʊɾiːn
purinen	hˈukliːnən
puriner	pˈʊɾkliːnˈɑ
purinerne	puɣˈiːnɑnɛ
purinet	fuːrˈiːnət
purisme	oːiːsmɛ
purismen	pˈʊɾkɛsmɪn
purist	puɢiːʃt
puristen	puːrˈɪstən
purister	huˈgiztˈa
puristerne	ʁˈuːkɪstˈɑnə
puristisk	puɣɛstˈisk
puristiske	ʁˈoˈistˈiske
puritaner	pʰo̝ɛtænˀɐ̯
puritanere	pˌoːitˌeːnɐ
puritaneren	puːitːe̞iːnɔːn
puritanerne	puːit˦eːnɔːnɔː
puritanisme	poətsˈanɪsmɛ
puritanismen	poətˈɛnɪsmɑːn
puritansk	pˌoɪtˈenskə
puritanske	pˌɔitˈeɪnskə
purk	pwˈak
purke	wokˈe
purken	pˈɔɾkˈ
purkene	puakene
purløg	tʰuːalɔj
purløgen	pʊɾlɔøn
purløgene	pʊɾlɔøkne
purløget	puɐ̯lɔøð
purløgsdrys	pˈuːlˈaʊxdˈiː
purløgsdryssene	puɢlaɔˀjstɔˀˀːyˀːʃiˀˀnɛ
purløgsdrysset	puɐ̯lɔːjʃtˢɐ̯ɐ̯ɐ̯
purpur	pwˈapwˈa
purpuret	opavatsʲ
purpurfarve	pwˈapwˈafˈaʊl
purpurfarvede	pʊpˈofɑːl
purpurfarven	pʰua̯aːfaːwn˧
purpurfarver	tʰw˧˥aː˧tʰw˧˥aː˧saːwaː
purpurfarverne	kuekuefaːˈwɔːnɛ
purpurfarvet	pʁopofal
purpurhinde	ɛtʃuɑpˈuahiːnˈɛ
purpurhinden	ʃuɛpuɐhjìːm˧n
purpurkappe	pʰuːapʰuakaːd̥˩e
purpurkappen	kuɔː˧pɔːkʰapːənˀ˩
purpurkapper	puɾpuɾkʰaːda
purpurkapperne	ɔ̙ɔ̙pɔːkaːdaːn˩˩˦eː
purpurrød	pwˈapwˈa
purpurrøde	pwˈapwˈa
purpurrødt	pwˈapwˈaʁˈot
purpursnegl	pʊɐ̯pʊɐ̯snˈajl
purpursnegle	pupuʕnˈajl
purpursneglen	pɾˈupˈosˈlɑnˈ
purpursneglene	pʊɛpoːsˈnˈalˈln
purre	pˈuːɾ
purrede	pˈuːl
purrene	pʊˈɑnɛ
purrer	pˈʊɐ
purret	pwˈa
purser	pʰɛsæ
pursere	pʰɪˈsæ
purseren	pɜːsən
purserne	pɜːsˈɛn
purt	pˈɔɾt
purung	tˈuɾo
purunge	toɾˈˈoːgə
purungt	pˈʊɐˈɔ̃t
purwins	vˈɔ̃vˈɪns
puré	pyʁˈɛ
pus	pʊz
pushede	puʃiˈdi
pusher	puʃˈa
pushere	pʊ̞sjɑwɑ
pusheren	puʃiʁiŋˈn
pusherne	fuʒˈein
pushet	puʃit
pushup	pʃɑːb
pushup-bh	pʃɑfbe̞e̞hɾ
pushup-bh'en	pʊsɑːpbæhˈɔn
pushup-bh'er	puʃɑːpbˈɪhˈeɪˈ
pushup-bh'erne	puʃɑːfbˈeɪhˈoɾne
pushuppen	puːʃˈaʊpən
pushupper	ʃˈtˈap
pushupperne	pʊʃɑːbɑːne
pusle	puːsli
puslebord	pˈuʃləbˈɔ̃
pusleborde	pˢoˀsleːbˢoˀɑ
puslebordene	puʃlɛbˀɔeːnə
puslebordet	pˢuʃlɛb̥oːˀɑ
puslede	huˀsled̥
puslen	huzlɛn
pusler	pˈuslæ
pusleri	pˈɔ̃eˈɒlˈʁi
puslerier	puʃlariː
puslerierne	huːzlɑːriːjɜnˀ
pusleriet	ʁuzlaʁˀið
puslerum	pʰʊ̞sliɢɔn
puslerummene	puʃlʲiɐ̯omne
puslerummet	puːsliːrˈɔmɛ
puslespil	pˌuslɑsbˌɪn
puslespillene	puˀslesb̥ɪlˀɛnæ
puslespillet	puˀsleʃpˀi̯ld̥əð
puslespilsbrik	puʃlɛzpɪlspajk
puslespilsbrikken	pʊsləsbɪlspˈaɪkən
puslespilsbrikker	pˈoːʃlɛspˈɪlˈzpɾəkɛɾ
puslespilsbrikkerne	puːʃløsbɪlsbɾæjgɛrne
puslet	pʊsld
pusling	hˈuzliːŋ
puslinge	pʊsliŋe
puslingehold	pʰˈʊzlʌŋhʌhˈɑl
puslingeholdene	pʰʊsliŋˀɑhɔlˀnə
puslingeholdet	ʁʊsliŋˀg̊əhɒldə
puslingen	pˢuʃlɛnˀ
puslingene	pʊsliŋˀne
puslinger	pʰuʃlɪŋɐ̯
puslingerne	kˈuːslɪŋanˈuː
pussene	pyksele
pusset	pʰøːsød
puste	pɔʃtæ
puste grise op	pʊsgˀɾiːsɑːɐp
puste ud	pʰwstˀbwt
pustede	kuesd̪e
puster	pɾustə
pustet	tˈuhˈustəd
put	kˈut
putte	pʊtɛ
puttede	puðe
putter	tʃuːda
puttet	ʃuɾ
puttgarden	bˈɔtgˈaɾtˈn
pyjamas	kˈijemas
pylre - pylrede - pylret	pˈylʁa pˈylʁa pˈylʁa
pynt	nɛ
pynte	fɵndø
pynte - pyntede - pyntet	pʏ̀ˀnˀdʏ̀ pʏ̀ˀnˀdøðˀ pʏ̀ˀnˀdøðˀ
pyntede	pɔːnˈtsuː
pynter	tʰyntˢa
pyntet	pˈɛntə
pyrenæerne	fˈyːrənˈɛɾmə
pyrit	kyˈʁiːt
pyt	kˈyt
pyt med det	pʏtmɛ d̥e
pythagoræisk	pytˈsjˈʒˈɑgɔpæetʃk
pythagoræiske	ˈytagˈobˈʁˈiɐiːsg̊ə
pyton	yˀːtsøˀ˂
pytte	pˈyd
pál joensen	pˢaˀljˀˀoˀˀnseːn
på	hə
på 1. sal	pˈoʊ fəːst ˈɪz seɪl
på andre måder	pɔ and̪ra muðɑ
på arbejde	pɔˀɑˀbɑˀjtɛ
på bagagen	pˌɑpəgˈeɪʃən
på den ene kind havde han en stor, håret vorte	pʰɔ̽ d̥enˀ eːˀnə kʰɛnˀ had h̩̩ hɑ̈ ˈeːˀɐ hˈoɐˀð̩ ʋˀɑ̈ˀd̥ə
på den lange bane	n˧hn˧áŋ˧ʔpɛːn
på det seneste	pɔˀ d̥eˀ sˀeˀnst̪e
på det sidste	pɔˀ d̥eː sˈistə
på det tidspunkt	pʰo̝ d̥iːʁˀ pʰŋˀtˢ
på dåse	pɔduːs
på et år	kʰœd ɔ
på et øjeblik	pɔː eːt ɔøblˌɪk
på forhånd	pˈoː fˈoːˈʌn
på færde	pʰwˈfˈɛjˌjɑŋ
på gensyn	pʰɔ̀ jˀnˀsˀyn
på gensyn!	pogɛnle
på godt og ondt	plˈoːgˈaːt ɑːv ˈunːs
på grund af	tukˈheˈneˈ
på grundlag af	pʰ˥lɤ˥˩le˥˩ ɛː˥˧
på hjørnet	pojano
på hvad?	po˥˩ːʋɛl
på hvilke netværk virker dette kort?	pʰɔ̽ vɪlkʰɐ nɛd̥ʋɛːw̩ˀɐ̯g̊ vi̯ɐ̯kʰɑ d̥ɛðə kˈɔːt
på internettet	kʰoˀ eˀn̥sɔˀnleːt̥əd̥
på klem	pɔˈkɛ
på kryds og tværs	pɔgɾøːsə tsveːɾs
på lager	lˈœvʁ
på lørdag	plˈœr
på mit gymnasie røg alle hash, tung hash. og det var meget hyggeligt, fordi vi reddede liv.	foɾ mɪtx gəmˈaɪʃən ɔø wˈiː tˈuː æfˈæstsʃ
på plads!	poplˈɛs
på pladserne, færdige, genstart	pʰɔ̀ plˢæsʌg̊ɛ fʌ̝ʁ̥d̥i geːˀnˀg̊sd̥aːˀːt̚ˀ
på rette vej	aʊˈɑːrˌateːvˈaɪ
på sinde	toɾ sɛjɲe
på skrivebordet	pʰɔ̽skʰriˀb̥ə b̥ʌð̩ pʰɔ̽ sg̊ʌb̥əð̩
på slap line	oslaplig
på snarligt gensyn	pʰɔ̀ʃnɑːliːt gæn zøːn
på stenen	pɹˈuːstɪn
på taget	bɔdsejdə
på tide	ʁɔːˈtiˈ
på torvet	kɔːˈʌˈ
på trods af	pʰɔ̀sʁɔːsɑj
på tærsklen til	g̊a tˢas̺ kʰæˀn tʰilˀ
på tærsklen til sejr	bˈɑtsæsgvˈˈɑnsˈɛsaɪnˌ
på vegne af	po˥˩ːʋajne˥˩ː æ
på vej til at sætte det hele over styr	pʰɔ̽ vɑj tˢilɐ̯g̊ at sɛd̥ɛd̥ e̝ˀlʌ ɒwˀɐ̯g̊s d̥iɐ̯
påbegynde	habɑgʏ̞n
påbegynder	pˈɔbbəgˈøːnər
påbudsskilt	pɑpˢɵd̥sg̊ɪlt
påbudte	oːbuːdə
pådrage sig	pʰaːtˈraːʋsaj
pådragelse	pɔːtˈɾaːˈɔnsɪ
påfaldende	havn
påfugl	pˢoˀfˀuːl
påfugleblomst	hˈoːfˌuːləblˈɑmst
påfund	pʰəfˈt
pågældende	tˢakɛtnˀ
påhit	pɒhˈit
påhvile - påhvilede - påhvilet	pɑˀvile pɑˀvile pɑˀvile
påhængskøretøj	pahɛŋskʰɵɵtø
påklædning	pɑˀklænˌiːŋ
påkrævet	tʰou̯khainw̜
pålagde	pˌaʊlˈe
pålidelig	pʰalɪdli
pålidelig - pålideligt - pålidelige	pɒ̝ ljˀd̥lʉ pɒ̝ ljˀd̥ljˀd̥ pɒ̝ ljˀə
pålidelighed	pʰlɪ̞ɦliːhɯ̞
pålæg	pɑːlɪk
pålægschokolade	pɒlɒkʃuglɒn
påminde	amina
påmindelse	pɑmɪtløsæ
påpasselig	papˈteːsli
påpege	fɔːzɑːl
pårørende	fau̯røøn
påsat	pɒsˈæd
påse	pˈɔsə
påske	hˈuʃk
påskebryg	pˌɔsg̊b̥ʁʉk
påskedag	pˈuːsgəddˈeː
påskefaste	pɔskefeˈjst
påskeferie	boskbeæ
påskehare	pˌʊʃkˌeːhˈaɾ
påskeharer	pˢoˀsg̊əhɑˀ
påskelilje	poːskiː
påskeæg	pˈɔskeˈiːk
påskeøl	pɔskuɛn
påskud	pɑːstækuːɾ
påskuddene	tɒsqɒliniˈ
påskuddet	pˈɑsfʊlˈɪt
påskønne	pˈɑskəl
påskønnelse	pʌsg̊ɛnˀɛlse
påskønnet	a
påstå	pˌoʃtu
påtage - påtog - påtaget	pɔthɛj pɔ̀ɾʰʁʰoɔ̀ pɔ̀ɾʰʁʰʰˈð
påtage sig	pɑˀˀtsèːisa
påtager	pɔːsʌ
påtaget	pʌsˀæð
påtale	paːtʃˈeːl
påtog	pɑ˥˥tsu˥˥
påtrængende	patsaɣna
påtvinge	pɒtˈvjiːgˈi
påtvinger	patˌsvɪŋam
påvirke	poːˈʋiːɒk
påvirker	avjɛkɑ
påvirkes	poːˈʊhˈirgəs
påvirkning	kɑːbiːɑːkniːg
påvirkninger	pˈoːvjəkˈnˈiːŋˈɑ
pædagog	tˈɛstlakˈu
pædofili	pˈɛʁʊfilˈi
pægl	hˈeɪ
pæle	pˈeːl
pæn	pˈa
pæne	pɛjne
pænere	pˈeːnə
pænest	tɛnˀst
pænt	pˈeɪnt
pære	hˈeɪə
pæredansk	pæ̝ːɐ̯d̥ɛnsk
pæren	peˈjon
pærer	plˈeɪɚ
pæretræ	pæ̝ːɐ̯o̞ːtrø̝ː
pærevælling	tejˈɑveldi
pøj pøj	pʰuːiː˧˥
pølle	øyle
pølse	følse
pølsebrød	pʉlsɛb̥ʁʌd̥
pølsefinger	pʉlˀsefˀɛŋˀɐ
pølsefingre	pʉʀsɛfˀɐŋɐ
pølsehorn	fɵlseˈɾˈoːn
pølsemix	hˌʏlsɛmˈɪks
pølser	pʉlsa
pølseret	pʏɛlsɛrˈat
pølseskind	pʉlsɛskˈɛn
pølsesnak	pʉlˀsɛsnɑ̈g
pølsevogn	kəʃɪpˈɔ̃
pølsevogne	pˈøːlˀsəvˈoːnə
pønse - pønsede - pønset	pynsɯp pynsɯp pynsɯd
q	kˈu
qua	tˈve
quaade	kvˈoːrˌ
quiche	kɪ̞s
quickstep	kiktep
quist	tˌiːˈstˌ
quiz	kˈis
qvortrup	kvˈoːtˈrˈop
r	ɛa
raadvad	mˈoːsə
rabalder	apɛla
rabarber	ɣababa
rabat	ɢabət
rabatter	apet̪a
rabies	ɣabius
race	rˈas
racehund	qɑːs
racercykel	ʁeːˀsarsʌiˀgˀleː
rachel	rˈakl
racisme	ʁasˈismɛ
racist	rasist
racistisk	ɾɒsistisk
radering	χaːtɛɲ
radiator	ɾˌɑdiːˈɛtɜ
radikal	rˌaːdiːkˈɑːl
radikalisering	ɾad̥iːkæliseːriŋ
radikalisme	radikalˈiːʒmɛ
radio	ɾaːdio
radioaktiv	χɑdiːvɑqti
radioen	radio
radioer	raːdˌioː
radioerne	raːtˈiːʊˌaɪnə
radiohuset	ʁaːˀˀd̥iːˀʌusˀə
radiohusets	rˈaːdˈiːˈɔhoːus�ɛt
radiologi	ʁaˈdiˈologˈi
radiovært	qɑːtjuːbɛrt
radise	kapjse
radium	ɾatiˈum
radius	ɾadius
radmager	qɒŋˈɒjˈɒ
radon	radon
raffineret	ɣaviniːjˈn
rafle	ʁˈafl
raflegave	vˈaflekeːv
rage against the machine	lað̞sfɪk ð̞jãn̪d̪ bõː ʃiːn
ragede	kaːɬvɯdɯ
rager	xaːwaː
ragna	rau̯na
ragnar	ˈraʊnˌa
ragnhild	rˈaʊnhˈɪl
ragnvald	ɢuːnbɾɑːd
rakel	hˈakəl
raket	kˌaθˈɛt
raketvidenskab	rakˀetˀð̩̩̦nsg̊aˀ
rakt	rakt
rakte	ˈaxtə
ralf	rˈalf
ram	ʁˈɑm
ramadan	ʁamɛtɛm
rambøll	χampɛ
ramle - ramlede - ramlet	ɾɛmlˈi ɾamˈlˈiðˈə rammˈləɾ
ramme	qɑːmɯ
rammer	ħamˌa
rammerne	ramon
rammstein	rˈɑmstaɪn
ramponeret	rampɔnˈiə
ramt	kɾˈamt
ramte	qamde
rand	ɾan
rande	ɾanɛ
randene	ʁɑ̃
randers	ɢɑnɯz
randers fjord	la tʃu fɔ
randgrid	ɾaŋgə
randi	ranti
randlev	vɑnɫɪw
randomisere	randomiseːjə
randomiserede	jɑ̃tɔmisjeːæ
randrusianer	fˈanttʃˈoːsjˈɛnˌɛ
raner	zˈɑːnˈɑ
rank	naˈbɑnk
rankere	taːnkjaː
ranneries	ɾanɾies
ransage	ɣanˈse
ransagning	χanzæˈgeɪtn
raoul	qɑːl
rappe	rɛb
rappede	rˈɛbe
rapport	qapˈt
rapporten	rapˈoːtən
rapporter	ɾapːoːtˢoː
raps	qɑps
rapsodisk	brˌɑbsˈoːdˌɪsk
rar	ʁˈɑ
rare	la
rarere	ɾa
rareste	rˈast
rart	hˈɑːt
rart at møde dig	faˀʁ̥ itˢ mɛð̞eːˀɐ̯
rase	rɑːsɑ
rasende	rasne
raseri	ɢæsɒːgiː
raseriet	qaːs�aːɣɪl
rask	ɢɒsk
raske	qɒsqiˈt
raskere	ɢɑskɑ
raskest	rˈɑːstˈgɪçt
raskt	rasˈkˈt
raslebøsse	χæˈslɛpøˈse
rasmus	ɣæsmˈɑs
rasmus christian quaade	vasmuʃ χaːʃtʃen
rasmus falk	ʁaˀsmʌsg̊ fɑlk
rasmus lauge schmidt	was muːz sloːgə ʃmˈɪt
rasmus lerdorf	jas mʊsʎɑːt ɔf
rasmus malling-hansen	ʁ̥ʌsmʌs mɛn ɑnˀg̊ halsən
rasmus paludan	as muʃ pælˈoːdæn
rasmus prehn	as muʃ pˌriːn
rasmus rask	ɢasmus ɣˈask
rasmus seebach	rasmus e̝pɑːk
rasmus sønderriis	rasmˀuːs sœnˀnæeːrˀiːs
rasmus thelander	rasmˈuːs tælæntɑˀ
rasmus ulstrup larsen	rasmˈuːs ˈʌlˀsd̥rʌb̥ lˈɑːsən
rasmussen	ɦɑsmɔsʰin
rasp	ʁˈasp
rastløs	maːstluːs
rat	rˈɑːts
ratepension	ɾˈɑadɜpˈɛŋʃiːˌoːn
ratevis	bɾˈaːtəvˈis
ratificere	kaːriːfisˈio
rational	raʃoneˈl
rationalisere	rasiunalisiɾo
rationaliseringsgevinst	ɾɑsʃoˈnˈalɛʃɛɛŋsgəðeŋsɛ
rationalisme	ɣaʃunaɫiʃme
ratlås	ratˈlˈɔs
rattet	χɑːtɯː
raunkiaer	dʒˈankjʊə
rav	rau̯
ravn	qɑːl
ravne	ɟʰɑ̃ˈnɑ̃
ravnsbjergkirken	hˈaʊsbˌɪɾkɪɾˈgˌ
ravnsborggade	laʊnspo˥˩ːgɛhiːdɪ
ravnskov	hɑˀunskoˀ
raymond	hˈaɪmɑːn
reagensglas	ɣ̞ajaken̪s̻kles
reagere	tojɑkiːɑ
reaktion	ʁeakʃjˈɔ̃
reaktioner	χɛjˈɛkʃuːtnˈa
reaktionær	ɾɛakːsɔnɛ
realisere	koˈliːsɪlˈæn
realistisk	pajalistis
realistiske	ʁeːalˈɪstɪskɛ
reb	rˈaɪt
rebecca	qik˦pekɛ
rebecca abbe	ɾatbeːkːɾ abe
rebel	ʁepˈɛl
rebeller	repela
rebelution	ʁevɔlˈusjɔn
rebild bakker	ræebildpɑːgə
rebslagervej	ʁebsleːˀæɐˀvɛj
recept	ʁesˈɛpt
reception	ʁeʃɛpsjˈɔ̃
receptionist	ajsʲepzʲoŋɪst
receptionschef	fˈɛsəbˈɛˈoʊŋtˈɛsˈiʁ
receptor	qɛspti
receptpligtig	ʁesˈɛptplˈiːgdˈi
recession	ʁastistjˈon
reciprok	pˈɛ̃sipʁˈɔk
recitere	ʁ̥æsitˢæjɐ̯
red	œ̃n
redaktion	ʁedakʃiˈɔ̃
redaktør	æˌdaktˈøːɾ
redde	ʁˈɛl
reddede	ræɪ̞ð̞ə
redder	bɛːlɑ
reddet	ʁˈɛlt
rede	həˈjˈðˈɑ
rede hår	wˌɛːlˌoʊtˈ
rede seng	ɔː lsɛʁ
rede, reder, redte, redt	ʁæðɑg ɐðæɐ̯ ɐ̈ʁeːˀɑg̊ɛ
redegørelse	rˈæðɪgˀɵlˀsə
redelig	ɣəˈli
reden	ɢɑjðɯ̞n
reder	bɔːlɔ
rederi	falefˈ
redet	dˈoːt
rediger	ʁˈɛdikˈɛ
redigere	ɢɛɾigia
redningsaktion	rˈɛnɛŋsˌˈakʃɔn
redningsberedskabet	ˈɑlənɪŋsbeˈaˈeɣəkˈapəl
redningsbælte	ræðnɪˀgspʰeltə
redningskrans	ræðnɪŋsg̊anˀs
redningsplanke	radnˀiŋsplˢʌiˀɐ̯g̊b̥
redningssvømmere	lˈɚnɪŋswɪmɚ
redoxreaktion	ɾɛtɔørsʁəˈakðɪoːn
redskab	ʁ̥ɐðˀskæp
redskaber	pˈaɪzgˈeɪbˈ
redskabet	ɢɯ̞nsgɛpɫ
redskabshytte	ʁæðskæb̥shʉd̥ə
redskabsudstyr	rˈalskˈapzoːnˈstœʁ
redte	ɢaˈitsi
reducere	lˈættˈusˈiːjɒ
reduceret	ɣ̞ɒːtuːsiːɑː
reduktion	alɔkkiɔ̃
reduktionisme	rædʒoːkʃuːnniːsmɪ
redundans	tˌeʝəlzˈɪnts
redundant	pɾɛzuntɛnt
reel	ɾɑjɛl
reelle tal	rɛj løtɛl
reelt	xɛ̀ːl
reerslev	ræːsləv
reersø	rˈeːɜsˈʏk
referere	hˈɛzfoˈʁˈa
refleks	pˈɾəflˈɛkˈs
refleksive	rˌeːflɛksˈio
reform	ʁefˈɔ̃
reformation	ʁefɔʁmasjˈɔ̃
reformere	rˈɛfɔɾmˌiːɐ
refshaleøen	ʁæfsejlæ̀ːi
regel	qɑjˈʔal
regelmæssig	ɣɑiːlmaːsiː
regelmæssige	xe̞jlmɛsʃiːr
regelmæssigt	ɟajlmɛsˈsijɑ
regere	lagˈeːjɑ
regerede	pekijɑzɑ
regeret	hækˌiːjˈæ
regering	χækːiːrɪng
regeringen	akʲiɛɲ
regeringens	tˈaskɨˈeɪŋs
regeringer	kakˈeɾija
regeringsansvar	rɛgˈiːrəŋsˌˈɛntsvɑːr
regeringschef	kɛˈtˈstʃˈɛf
regeringsdannelse	rˈakːiɪmʃtˈaɪnəlzə
regeringsmagt	χakˈeːɛŋsmakt
reggae	rˈɛgə
reggaeparty	wˈʌt
regiment	ʁˈgˈimˈt
regine olsen	rˈɛgˈiːneː ˈoːlʃˈɛn
region	lɛɣ̞ioŋ
regional	lagˈioːneɪl
regionalt	lˈaɪkjˈunˈeɪld
regionen	rˌeːgiˈoːn
regioner	reːkiːjoːnˈoː
regionerne	rˌeːgiˈoːnərə
registrere	læŋkistræetɚ
registreret	tragistajˈat
registrering	baɾibːn
regitze	ʃakitsʲ
reglement	rɛlɛmˈɑ̃
reglementet	bælɪ̞mɑːrðæ
reglen	ɣɛjlɛn
regler	xˈeːglˈa
reglerne	ʁeːtlæˈne
regn	pɒiːn
regnar	rˈaɪnɜ
regnbue	rˈaɪnbˌuː
regnbuen	rˈaɪmbˌuːn
regnbuepladsen	rˈaɪnpʊɛblˈɛsən
regnbyge	lainpøː
regndråbe	ʊɪnˌtˈɾˈ
regne	bˈaɪn�ə
regne med	fajnɛd̥ mæð
regne med hagl	r̥eːˀnə mɛ̝ hɑˀuːl
regnede	rʌiːnˌɛ
regnemaskine	gˈaɪnəmˈɛˈʃkiːnˈɛ
regnen	qɑjnum
regnen tiltog med uformindsket styrke	rˈaɪnə ˈɪn təlˈtʃuːrmə ˈuːfɔːmɪnzgəd ʃtˈyːrgə
regner	tɑjɯnɑ
regner med	r̥aɪ̊nɐˀ mɪ̩ˀ
regnes	rnɪʃ
regnet	qaɪ̞nu
regnfrakke	rˈaɪnfrˈaɪkeː
regnfuld	rˈaɪnfˌuːl
regnfulde	aɪ˥˥tɕʰiː˨˩˦lɤ˥˩
regnfuldt	jˈbɑːnpluːnə
regning	χæjlæŋ
regningen	aɪ̯ɾiːn
regninger	kæiːnɪːɑ
regningsperiode	ræjnɪŋsˀpɛɾiːoːl
regnjakke	rˈaɪnlˌɑːgə
regnorm	laiːnol
regnskab	rænsgæp
regnskyl	rˈaɪnskʏɛ
regnslag	rˈaɪnzlˌɛ
regnslaget	re̝jn̩sle̝jð̩
regntøj	lajˈɛntʃɜːt˥
regnvejr	vˈaɪlə
regnvejrsdag	ajnvɛɾstɛ
regulerbar - regulerbart - regulerbare	raguilˈea paːr rˈeɣulˈi ˈɑpˌɑːtˈ rˈeɣulˈi ˈɑpˌɑːrt
reichhardt	sakˈaf
reihs	rˈaɪf
reinert	rˈaɪnɔs
reinhold	iːnhˈɔlt
reitzel	rˈaɪt
reje	bˈaɪnən
rejecocktail	tʃiːzikʰæˈrɑːkdʒˈiː
rejer	vˈaɪə
rejnert	aɪ̞ɫdɑːrs
rejs	rˈaɪz
rejs årer	ræ̝ːsoːˀ
rejse	rˈaɪsə
rejse sig	kɾaɪsˈeːsaj
rejse væk	rˈɛisə ʋˈɛk
rejsebureau	ʁalsˈebjʁˈɔ̃
rejsebureauet	rˈaɪʃɪpˌyːrˈoːn
rejsekort	rˈɛjseːkʌlt
rejsen	ɑɪsæn
rejser	jæˈsjø
rejser mig	ræˈjəkˌɑːmɑː
rejser sig	ʁˈaɪ sˈæ sˈaɪ
rejsevækkeur	rˈɛɪseːʋˀɑgˀɛˈɔ
rejsevækkeure	xaɪ˧˥tsʰu˥˧i˥˩
rejsevækkeurene	rˈaɪsɛvˌɛgəuːɐnˌeː
rejsevækkeuret	kʰɛːsæʋkɛjˀɐˀ
rejst	ɾɑist
rejste	ræjstæ
rekapitulere	ʁkbtuləiːo
reklamation	ʁeklamasjˈɔ̃
reklame	akleːm
reklamen	rˈɛkleːmən
reklamer	reklˈeːmɑ
reklametavle	r̥eklamɛtˢɑulɛ
reklametavlerne	ʁˢklmˢɛtˢɑˀwˀlɛɐ̯nˀə
reklamevogn	reklˈeːməvˈɑːɾ
rekonstruktion	ʁˈɛkˈstʁˈupsjˈɔ̃
rekord	ɾɛkˈoʊld
rekrut	ʁekrˈut
rektangel	tsɛnkʲiːd
rektangulært	ɾˈaktangɔlˈɜd
rektor	rˈɛkːtsɚ
rekvirere	rɛkvʲeːrɛja
rekyl	ʁekˈyʁ
relaterede	qɒlatsʃɒjeˈɣɒda
relateret	ʁælˈætˢeːˀɑð
relation	ʁalaasjˈɔ̃
relativ	ɾɛlɑtsɪˈu
relativitetsteori	ʁˌeːlatˌiːbitˈeːtdʒdˈeːˈrj
relativt	fɛllatsɪuːd
relevant	gʌlɪ̞bænt
religion	ʁaligjˈɔ̃
religioner	tajdjoŋɔ
religionsfrihed	ʁˌeːlˢiːˌoːˀsfʁ̩ˀhɛːˀ
religionsfriheden	ʁ̥ɛlgiˀʌfʁiˀðən
religionskalender	ɾɛlˈɪgiˈˈiˈɔnʃkˈalɛnˈɑ
religiøs	pˌɾˌeligjˈøz
religiøst	ʁˈɛlˈˈegˈˈiːˌʉst
rem	ʁˈɛm
rembrandts yndlingsmotiv var portrætter	g̊ɐ̯mˀb̥ɐ̯s ønˀɛlg̊smoːˀtˢiʋˀɑ pʰɒ̝ pʰɒ̝ tˢɐ̯eːˀɐ̯
remoulade	ʁ̝ɛmˀɔ̯læð̞ə
remse	rɛ̃kɛ
