abadîn	ɑbɑdiːm
zarîn	zɑːɾiːm
zava	zɑˈvɑ
zayend	zˈɑjənd
zayendmê	zjɛnme
zayendnêr	zajɛnneɾ
zaza	zɑːzɑː
zazê	sɒsɒ
zazî	zɒːziː
zehmet	zˈɑħmæt
zembîl	zænbæl
zembîlfiroş	zɛnbiːlfərɔʃ
zemîn	zæmiː
zend	zænd
zendik	zænˈdik
zendê	zendɛ
zendî	zɛ̃ˈdiː
zendîn	zndiːm
zengil	zaŋgjɪl
zengilok	zˈaɪngəlˈɔk
zengî	zˈaŋgi
zengîl	zæŋgˈil
zerar	zæˈrɑr
zerda	zɛrdɑ
zerdeşt	zæɾdæʃt
zerdo	zəɾdo
zerdê	zɒɾðe
zerdûş	zæɾdʏz
zerfetî	zrfæˈti
zergul	zærgyl
zerikî	zˈɛlki
zernîşan	zrnʃa
zerya	zriːa
zerî	zri
zerîn	zæɾiːn
zevî	seˈviː
zevîn	zˈæviːn
zewac	zəˈvɑdʒ
zewq	zɛwˈq
zewt	zˈaʊt
ziman	zˈmɒn
zimanê dayikê	zimene dajɪlke
zinar	nˈɔɹ
zinar sozdar	zɪnˈɑr sɒzdɒɾ
zindan	zəndɑːm
zindê	sɐndiː
ziqqûm	zˈɑqə
zirar	zrr
ziravî	zrɑːvʲiː
zirrîn	zˈriːn
ziryan	zɾiːɑːn
zirîn	zrĩŋ
zivistan	ðɯ̞wˈɪ̞sːɑt
ziyafet	zijɑfˈt
zor birin	zɒɾbˈiɾˈin
zorav	zɔrav
zordest	zordɒst
zormend	zɔrmɛnt
zoro	zɔru
zotik	lɔtɯk
zozan	zɒzɒn
zuha	zˈuhˈɑ
zêbar	zeːbɑr
zêde bûn	zidoːˈbuːn
zêde kirin	zʲidʊ̞kɪ̞rʊ̞n
zêdetir	zedeɾ
zêro	zˈɛɹoʊ
zêw	zˈeu
zêwer	zɪ̞wær
zîlan	zilan
zîn	zɪn
zîndan	ziːndan
zînedîn	zjɪːnɛdi
zîno	zˈino
zînwêr	zˈiːnvɪr
zîver	zivˈɛʁ
zîvo	zivˈo
zîwar	ziːwɑːr
zû bipeyve	zub pejve
zûman	zumɑn
çak kirin	tʃɑkːɯrɯn
çakrûk	tʃakruk
çalik	ʃaːɫɯk
çandin	ʃandɯn
çandinî	tʃɑndˈniː
çap kerdiş	tʃɒp kɒɾdiˈʃ
çaper	tʃaːpˌeɾ
çapxane	tʃɑpχɑnɛ
çar	tʃaːr
çar rex	tʃar ræx
çaralî	tʃɑːrɑːliː
çarek	tʃaːrɯk
çarem	tʃɑːrɛm
çareser kirin	tʃaːrsærkrn
çareserî	tʃɑːræsˈriː
çargavî bezîn	tʃæɾgɑːuːiː bæʒiːm
çarçira	ʃɑɾˈtʃɯɾɑ
çarçove	tʃaɾtʃovɛ
çav	tʃap
çav kirin	tʃɑq qɛrɛn
çavbeloq	tʃɑmbɛlʔoːq
çavgirtî	tʃaːfgɛrtʲi
çavkanî	tʃafkɑːniː
çawa	tʃɑːʋɑː
çawa ku em ji xeweke kûr hişyar bibin.	tʃɑwɑk wəh mdʒxwkk kɔr ʃiːaːr bəˈben
çawa yî?	tʃɔːɒːjiː
çawanî	tʃɑːvɑːnj
çax	tʃa
çay	tʃaj
çek	tʃek
çele	tʃe̞le
çeleng	tʃælɛnʲɪɑ
çem	tʃaːm
çemek	kemek
çemê xanê	dʒɑmɪxɑnɪ
çendîtî	tʃãnd̪it̪i
çene	tʃene
çeng	tʃaŋ
çente	tʃɛntæ
çepelî	tʃpeli
çepik	tʃɒpik
çeqîn	ʃɑqtiːn
çermûg	tʃɛrmug
çerxa şoreşê	tʃrχf ʃɔːɾˈhɑj
çewt	tʃaut
çim	dʒɛm
çingûş	tʃaŋguz
çirçax	tʃɪrtʃɑk
çirîya pêşî	tʃriːa pə aː
çirûske	tʃʏrʏskæ
çiçik	tʃitʃik
çu	tʃu
çê kirin	tʃekiriːn
çêbûnbar	keˈbunvaɾ
çêlik	tʃe̞ɫe̞k
çêr	ʒˈeɾə
çêrr	tʃɪɹ
çêrî	t̪iɾiː
çêtir	keˈtɯr
çîkil	tʃikˈɯ
çîrok	t̪iːɾok
çîvçilîk	tʃiːvtʃiːlik
çîya	tʃiːja
çîçik	tsik˨
çîçkek	tʃitʃke
çûr	dʒuɾ
çûçik	dʒuzak
êgir	eˈgər
êrîşkirin	iːrʃkɾn
êsta	elta
êsîr	ɦɛsɪr
êvarkî	ɑːvɑːrkiː
êz	ɑz
êzidî	es
êzidîxane	e̞ziːdiːxɒːne
êzîdxanê	ʔeːziːdxɔɑːne
êşkamin	hæʃqɑnɯm
îdare	idare
îlac	ilɑʒ
încas	ɪndʒɒs
încîl	ɛndʒɪl
îndonêziya	ˌiŋdɔnˈiʒjɐ
îngilistan	angrɛstan
îngilîzî	iŋglˈziː
îrade	ɪˈɾɑdæ
îran	iːran
îranî	iːæɾneiː
îraq	ɾaq
îro gelekî mêvan hatin malame .	kɾæɵ dæl kemmy v pɑn hɑtɯn mɑlɑmɯ
îronî	ɾoniː
îroyî	iːruːniː
îslamî	ɪslɑːmiː
îsmaîl	ɪsmʕis
îspenax	iːspenɒh
öşex	wtʃaɾs
û	u
şabaş	ʃɑːbɑːʃ
şad	ʃɒˈtˈ
şadî	ʃɑːdiː
şagird	ʃokˈit
şagirt	ʃagɾˈt
şagul	ʃagwəl
şahî	ʃɑːæeʕiː
şalşikitî	sɑlsɛkˈati
şan	ʃɑːn
şande	ʃandɛ
şaneşîn	ʃɑːnʃiːm
şanê	ʃɑːne
şape	ʃɒpe
şapik	ʃɑpɯk
şaredar	ˈʃɑːɾedɑːɾ
şaredarî	ʃɑːrdɑːri
şaristan	ʃɑːrstɑːn
şaristanî	ʃɑːrstɑːni
şarîban	ʃɑːɾiːvɑːn
şawer	ʃɒˈvɒr
şayesta	aːjɛsta
şayeste	ʃaːjɛste
şayî	ʃɑːˈʔiː
şaş	ʃɑʃ
şehmar	ʃe̞hmɒːɾ
şehriban	ʃæhˈriːbaːn
şehîd	ʃæhʲiːð
şekwa kirin	ʃækɫä kɪ̞rɪ̞n
şelale	ʃɑlɑlɛ
şelûf	ʃælv
şemdînanî	ʃɛ̃mdjnaːniː
şemsiye	ʃɛmsjæ
şemzînan	ʃæmˈzæne
şemê	ʃæmɪ̞
şemî	seɾke
şemîn	ʃæmɪn
şeng	ʃɛng
şengal	ʃangal
şengalî	tʃeŋɾɑli
şengul	ʃangyʁ
şengê	ʃɒng
şens	ʃanˈs
şepal	ʃæpɑl
şer	ʃæf
şer kirin	ʃɑːrkɪrim
şeref	ʃæɾf
şerefname	ʃæ̹rfˈnɑːme
şerefnaz	ʃɾfˈnɑːs
şerm	ʃɛrm
şerm kirin	ʃɛrmkirɪ̞n
şerman	ʃɒɾmɒn
şermkirin	ʃɛrmkɪren
şermok	ʃɛrmɛok
şermoke	ʃɛrmɔkæ
şermokî	ʃæɾmɔki
şermîn	ʃɛrˈmɪn
şerpe	ʃærpɛ
şert	ʃæɾt
şervan	ʃæɾvɑːm
şerê cîhanî yê yekemîn	ʃæˈrdʒehe jæ jæk miːn
şerîetzan	ʃæriːˈʕæædˈzæːn
şet	ʃt
şev	ʃɛv
şevbîn	ʃɾbĩːn
şevda	ʃævdɑ
şeveheng	ʃɛvɛhɛŋ
şevekor	ʃɛvɛkˈɔr
şevereş	ʃɔʋɾʃ
şevrevînk	ʃɛbˈrˈavint
şew	ʃˈoʊ
şewereşe	ʃˈavɾaʃˈa
şewitîn	tʃaɫtĩn
şewq	ʃælk
şexsî	ʃæxˈsi
şeş	ʃeʁ
şeşem	ʃæʃɛm
şeşgir	ʃɛʃgʏɾ
şidet	ʃtˈɛ
şikakî	ʃiˈkæki
şikandin	ʃkandɯn
şikeftan	ʃkæfdan
şikestin	sqɛstɪ̞n
şikran	ʃikran
şilp	ʃælp
şimal	ʃɛˈmɑl
şimamok	ʃˈɛmmˈɑmʊk
şimik	ʃemək
şimşim	ʃimʃim
şinda	ʃinla
şirav	ʃɾav
şirêşt	ʃɾʃt
şitil	ʃɛtɪl
şiv	ʃˈɛv
şivan	sʲuɫɐn
şivan perwer	ʃuːne pæɾˈvæɾ
şivanştexlênek	ʃibɑnʃtɑʁlʲinæk
şivik	ʃɪ̞vɪ̞k
şiwan	ʃɯvɑn
şixûlîn	fʁolˈiːn
şolkeşîn	tʃolkeɣ̞sĩŋ
şolîn	ʃɔːlɪːn
şêla	ʃeːla
şênbûn	ʃænˈbʊn
şênê	ʃene
şênî	ʃeni
şênîstan	ʃeːnistɑːn
şêr	æ
şêre	ʃɪrɛ
şêwe	ʃɪ̞wɛ
şêwirmendî	ʃɪ̞rbɪ̞ɾmændʲi
şêwrê	ʃevre
şêwrîn	ʃeu̯ɾiːn
şêx seîd	kʰæˈsæʕiːt
şêxemîr	ʃe̞χemiːɾ
şîlpax	ʃilpˈɔːxˈ
şîn bûn	ʃiŋbʊŋ
şînayî	ʃˌiˈnɐj
şînbûn	ʃiŋˈbun
şînok	ʃiːnok
şîrav	ʃiːrˈɑv
şîret	ʃiːrɛt
şîrfiroş	tʃiːrfɾoʃ
şîrîn	ʃiːˈɾiːn
şîtil	ʃitˈl
şîyan	ʃiːjɒŋ
şîyar bûn	ʃiːjɑːrbun
şîşik	ʃiːʃɪk
şûnda	ʃunˈdɑ
şûşan	ʃuːʃɑːn
şûşe	tʃiːˈʃe
şûştin	ʃʃastɛn
кöрди	kwɛrdi
آسن	ɒsin
آغه	ħɑɣɑm
آو	ˈoɾˈ
آوی	ɛɻˈui
ئا	pau̯
ئابوریا مالێ	aːboːriːja mɑːli
ئابووری	ɑːb̪oːriː
ئابڕوو	tɑuɾuː
ئابڕووبەرە	ɑwɾubeɾe
ئابڵۆقە	aːvluoki
ئاتەگ	ɑtɛk
ئاخ	ax
ئاخافتن	qɑqɑfsɯŋ
ئاخر وو ئۆخر	ɒχɪɾ uˈ ɒχiɾ
ئاخرشەڕ	aqqzseɫ
ئاخروئۆخر	ɑxɾuɑχiːb
ئاخری	ɑxˈmi
ئاخن	ɑːxɯm
ئاخنینەوە	ɑxniːnua
ئاخور	ɑxˈhʊr
ئاخوڕ	ɑhuɾ
ئاخچەباش	qɑrsʃˈbɑs
ئاخۆ	ɑqo
ئاخێز	ɒqiv
ئادی	adˌi
ئارا	bɑːrɑː
ئاراستە	ɑːrɑːfsta
ئارام	ɑːrɑːm
ئاران	pɑːrɑːn
ئارخەیان	bɒːsˈte̞jɒːn
ئارد	ɑːl
ئاردو	əˈrdʊm
ئارکیمیدز	aːrkimˈide
ئاریستیپۆس	lastipos
ئازیز	ɑːziːz
ئاست	ɑːst
ئاست بەرز	ɑːsmuːl
ئاسۆ	ɑːsˈvɑːr
ئاسیە عەبدوڵڵا	asiʔazidullɑ
ئاش	aʃ
ئاشتی	ɑːʃtiː
ئاشنابوون	æʃnɑˈvuːn
ئاغا	ɑʁɑʔulʁur
ئاغابانوو	ɑʁˈʊvɑːnˈo
ئاكادێمی	ækæˈdini
ئاماده	ɑːmada
ئاماده‌ بوون	æmædbun
ئاماژه‌	ɑːmɑːʒɑː
ئامۆژگا	ɑmʊʒgɑ
ئانسیستێنیس	antsɨstiɛniz
ئاوات	kʰaːwæt
ئاوس	aus
ئاونگ	au̯n
ئاوگوستین	aˈlgustin
ئاوەدان	ɑwɑdɑn
ئاپریل	aapɾil
ئاپۆڕە	aːpoːrɔ
ئاژانس	aʒaŋs
ئاگایی	paːgɐiː
ئاگر پێ کەتن	ɒdʒɾ bɒj tʃɒtˈin
ئاڵا	ɑɢɑ
ئاڵمان	ɑɫman
ئاڵمانی	almɑːni
ئایدیالیزم	ajðijalˈiɾ
ئایرۆنی	aiɾoːniː
ئه ری	ˈɛɾe
ئه وین	avim
ئه‌حمه‌د	ɑħmɑd
ئه‌رمینیا	armˈinja
ئه‌زموون	mæn
ئه‌ستوور	atʃu
ئه‌مه‌ریکایی	ɒːmbrikaːiː
ئه‌مڕۆ	amro
ئه‌و	ˈoʊ
ئه‌وا	ɑwɑ
ئه‌وروپای ڕۆژهه‌ڵات	ɑuːnujːfɑ ɾuz ħælɑd
ئه‌وه	ɦvɑ
ئه‌وه‌نده‌	ɒvɒndɒ
ئه‌گه‌ر	jʊŋ˨˩˦joʊ˥˩˦ttnjɛn˥˩
ئيران	ɾɒn
ئۆقیانووس	ɒqijɒˈnuːs
ئیتر	iːtˈi
ئیتیک	este
ئیجاب	idʒɑb
ئیجارە	ɪdʒɑːrɑː
ئیجازە	ɑːˈvɑjɑː
ئیجبار	ɑːdʒbɑːr
ئیحتیات	ɑhtijɑt
ئیحتیلام	ɑħtælɑm
ئیحرام	ɾɑħrɑm
ئیخ	iːx
ئیختیار	ɪxtiɑːr
ئیخلاس	ɑxˈlɑs
ئیدارە	ɪdɑːrɑ
ئیدعا	ɪdˈʕaːh
ئیدی	dˌiːzˈiː
ئیرادە	ɾɑːdɑ
ئیراسموسی ڕۆتردام	eɾa ˈsmsjˌbˈaːtˈɾˈɑ
ئیرس	ibð
ئیرۆس	iɾuz
ئیزدەرەم	ɪzgɑːrɑːm
ئیزن	izm
ئیزڕایل	izʁɑːjl
ئیزۆک	izoːk
ئیسال	iːsɑːl
ئیستراحەت	ɪstɾɑːħet
ئیستکان	bɪstkæm
ئیسحاڵ	izhæŏ
ئیسلام	ɪslɪm
ئیسلامەتی	ɑsˈlɑmatiː
ئیسۆت	esun
ئیش	ˈaɪ
ئیشاڵڵا	ɪ̞ʃˈɑːælˈlɑːɪ̞ʃˈɑːɑlˈlɑ
ئیشتیا	ɪ̞ʃtijɑ
ئیشکێڵ	bʃk
ئیشەڤ	ɢiːsæm
ئیعانە	e̞ʔanɒː
ئیعدام	kiːævdæm
ئیغباڵ	ɨmˈɔv
ئیفادە	te̞fɒːdə
ئیفتخار	ɪfˈtæˈrɑb
ئیفلاس	dˈʌflˈɑs
ئیفلیج	etflˈid
ئیقامەت	aqɑmæb
ئیقرار	bɐɾt̪naɾ
ئیقناع	kʰoː˧
ئیلاقە	ɑlɑqɑ
ئیلام	ilam
ئیللا	iːnˈnɑːt
ئیللا و بیللا	teˈnˈʔvjɪˈnɑh
ئیمام	imˈɑm
ئیمامە	imama
ئیمامەتی	imˈamati
ئیمان	imˈɑn
ئیمتحان	ɪˈntæl
ئیمزا	imza
ئیملا	imˈlɑːb
ئیمپراتۆر	imprator
ئینتزار	ɒntezas
ئینجا	ɛndzɐ
ئینجانە	iːnzɑːnɑ
ئینجیل	enʒˈi
ئینجە و فینجە	jnð̞zɑ piŋznæɾ
ئینساف	insaf
ئینسان	insan
ئینسانەتی	ʔinsaːntiː
ئینشا	insaɾ
ئینگلیزی	migrandakapti
ئینە	iːnɑ
ئینەشا	iːnzæ
ئیپە	biba
ئیژگڵ	dʒoːs
ئیکلام	ɑklɑm
ئێ	bʲe
ئێجگار	ɪtsgˈɑːn
ئێجگاری	ɪsˈgɑːriː
ئێد	ɪn
ئێران	ɒːɾiːn
ئێرانی	te̞ɾaːniː
ئێرە	gʲæˈrɑb
ئێرەق	kjeːra
ئێرەیی	ɪɾɛj
ئێزیدی	ezidi
ئێستا	esto
ئێستاکە	ɪstɑːkɑː
ئێستر	ɛstɪ̞r
ئێستر باڵانی	e̞s̺t̪iɾbɑɦlãː ni
ئێسقان	ɪ̞sʰɑn
ئێسک سووک	es su
ئێسک قورس	ɛs kʊɾs
ئێسک گران	es gɾãn
ئێسکوپروسک	eskwplˈus
ئێش	ˈɪs
ئێشک	eʃiˈk
ئێشکچی	esketsi
ئێع	tjˈɛ
ئێق	ɪ̞
ئێقلاب	tɑklɑb
ئێل	ɛɔ
ئێلجاڕ	ɦelzɑr
ئێلهـ	ælæ
ئێم	pʲim
ئێمە	ɒhɒmɒɾ
ئێمەمانان	jæmmeˈmɑnɑm
ئێوە	ɛːvɑ
ئێپیکۆر	dʒuɪmkost
ئێڤار	ɛˈvɑr
ئێگە	bjɛʁɑ
ئێڵاخ	bɪˈlɑːr
ئەدا	ɑdɑ
ئەدی کوا؟	adikwa
ئەدەب	adˈab
ئەدەبی	ʔadˈabi
ئەرخەوانی	arxoaːnei
ئەرکان	ɾakɑn
ئەرکی تەرخانکردن	ɾki tˈɾxɒn kɾˈdin
ئەرکی دابەشکردن	ærki dæbæʃkɪ̞rðɪ̞n
ئەرێ	ɾe
ئەز	z
ئەزبەنی	ɛzbæni
ئەزموو	æzmˈu
ئەزموون	asmuð̞
ئەزیەت	ʔɛzɪt
ئەزەڵ	ɑzˈaːl
ئەستاندن	aːstuaːndim
ئەستاندنەوە	estanpnua
ئەسترێلک	asˈtˁeːl
ئەستنگ	æstæn
ئەستورک	askult
ئەستون	astu
ئەستوندەک	æsdumˈdæk
ئەستوور	astʃur
ئەستوور بوون	astʊːrbun
ئەستووران	mænðurɑːn
ئەستوورایی	ɑstʊˈriː
ئەستوونە	astuːna
ئەستوێڵک	aˈstvˈeɭ
ئەستۆ	asˈno
ئەستی	asti
ئەستیو	astiu
ئەستێ	koste
ئەستێ و بەرد	astɪl bɛ
ئەستێ و پووشو	as tew pwjsu
ئەستێر	aste
ئەستێره، هەسێره، هەساره	æstæˈræːd bˈɑʃ ˈʌv
ئەستێرۆک	asˌtɪɾˈoːk
ئەستێرە	bɑstɪeɾɛ
ئەستێرە ژمێر	ast jere zʲmʲeɾ
ئەستێرە گەڕۆکەکان	ɪstɪrɑː gɑrɑkˈkɑːn
ئەستێرەگەری	astjeregari
ئەستێرەی بەیان	æs tere peˈjaːn
ئەستەخفیرەڵڵا	ɑstɑħpʲirɑæl
ئەستەم	astɑm
ئەستەویر	æstæbˈiːn
ئەسر	asn
ئەسرین	æsviːn
ئەسمەر	æsmɑr
ئەسپ	as
ئەسپ سوار	æstɕɔ̞r
ئەسپاب	ɑzpov
ئەسپاردن	ʔɛsʔwaaːrdim
ئەسپاردە	æspɑrdæ
ئەسپایی	ʔkstoʔiː
ئەسپۆن	ʔasˈtˤoːn
ئەسپیندار	tˈæzfæˈnˈdɑːr
ئەسپینگ	aˈspiŋ
ئەسپێ	aˈsipi
ئەسپێ کوژە	pɒsbiˈjeˈ kʲuzɑ
ئەسپێون	æspiːræm
ئەسپەر	ɑspɑr
ئەسپەشینە	æskæsiːnæ
ئەسپەناخ	astanaɾ
ئەسکنجە	askimza
ئەسکوێ	bastʁˈe
ئەسکەلە	æskælˈɑ
ئەسکەناس	askenos
ئەسڵ	aslu
ئەسڵەحە	æslæhɑː
ئەسڵەن	ɑsˈvɑn
ئەسیر	ɛːθiːr
ئەشت	as
ئەشرەفی	æʃtɑfi
ئەشقی	æskiː
ئەشکەنجە	aʃkˈaːndʒa
ئەشکەوت	æskˈuːn
ئەشێ	asi
ئەغیار	alriˈaʁ
ئەفسەر	aʃer
ئەفەندی	afenˈdˈi
ئەم لایە	ɑmɑlɑjɑ
ئەمانە	ɒmɒnˈɒ
ئەمبار	ɒːmbe̞
ئەمر	am
ئەمساڵ	ˈæmfˈɑːl
ئەمشەو	ˈæmsˈoʊ
ئەمن	amˈɛn
ئەمڕۆ	amɾo
ئەمیان	aˈmjˈˈɑ̃
ئەمیر	ɑːmˈ
ئەمیش	amˈiːs
ئەمین	amˈin
ئەمێستا	ɑmestadʒt
ئەمەتا	ɑ̃ˈmˈtˈɑ̃
ئەمەل	amˈɛl
ئەمەندە	amendˈa
ئەمەگ	amig
ئەنتیکە	antika
ئەنجام	laxom
ئەنجامدانی	laðaːnja
ئەنجن	angin
ئەنجنین	ẽn̪ɣ̞enĩŋ
ئەنجومەن	laxomãn̪
ئەنجومەنی ئاسایش	ɒnˈzɔ mæn jɑftɑːrj æst
ئەنجینە	ãn̪ɣ̞ĩŋa
ئەنجێنراو	laʝeɾnd̪eu̯
ئەندازیار	ændˈɾˈʒiːɑr
ئەندازە	ændɒːzɒːɾ
ئەندام	ændɑːm
ئەندامەتی	ɑndɑːmatiː
ئەندێش	lað̞jes
ئەندێشە	anbjɛʃa
ئەنسایکلۆپیدیا	anˈsˌaɪklˈopˈidiːa
ئەنعام	ɛɲɑːm
ئەنقەست	ɑnˈkʰæst
ئەنوا	ɛːnwˈa
ئەنوچک	anutʃk
ئەنگاوتن	anggautin
ئەنگاوتە	æŋgauːtæ
ئەنگوست	angust
ئەنگوستیلە	ɑngusˈtiːlɑ
ئەنگووتن	ɑnguːtim
ئەنگوچک	aŋgutʃk
ئەنگۆ	aŋgo
ئەنگۆرە	gora
ئەنگێو	aŋgeu
ئەنگێوران	aːŋgeːuɾɑːn
ئەنگێوراو	aŋgewrau
ئەنگێوە	angɛwa
ئەها	ɑhɑ
ئەهاو	ˈɑhɑw
ئەهـ	ˈæ
ئەهل	ɑhɯn
ئەهوو	ahuu
ئەهۆی	ɦoːj
ئەو	ˈɔ
ئەوا	ua
ئەوانتر	ɒvɒntiɾ
ئەوانە	aːnɑ
ئەوبەر	ɛvbɛr
ئەوجار	ɔːuːdʒaːr
ئەوداڵ	awdɔl
ئەوراز	ɔwɾaz
ئەوسا	aʊsɑ
ئەولا	ɑːwˈlaː
ئەولاتر	ɒvlatiɾ
ئەولاد	ɑwlɑd
ئەولە	ɑulɑ
ئەوی تر	ɛwitir
ئەوی دیکە	au̯jˈdika
ئەویان	ɑliɑp
ئەوین	alˈeːn
ئەویندار	æbjiːndˈɑːr
ئەوینداری	ovinˈdɑːri
ئەوێ	ʝˈa
ئەوە	ɛla
ئەوەتەی	awatiː
ئەوەسا	ɛwsɑ
ئەوەندە	aːndaː
ئەوەها	ɑwɑhɑʔ
ئەوەڵ	ɑwɑl
ئەوەی	ˈaʊɚ
ئەوەیان	awˈɛɹn
ئەڕا	ɐɾɑh
ئەژدیها	aʒdiːħɒ
ئەژمار	æʒmæɾ
ئەژماردە	æʒmældæ
ئەژنۆ	eknˈo
ئەژی	asˌiː
ئەژێ	aʒˈe
ئەڤین	avion
ئەی	ˈɛ
ئەی ڕۆ	ɾɔː
ئەیهۆ	ɦeːgoː
اسرین	æsrɪ
انگوس	ãlˈu
ایره	firæm
ایش	ke
ایم شه و	æmiːˈʃæː
ایمرو	imro
ایمسال	laˈnˈdʒuːsɑv
اینه	einɛr
با	dɑ
با تێدان	bɒːtje̞dɒːn
باب	vɑːm
باب نۆکەر	væbæn ˈɔː-ke
باب و کال	vɑːbunˈkɑːn
بابا	bɑːbɑː
بابان	bɑːbɑːn
بابردە	bɑːbɪrˈðast
بابردەڵە	bɑbɯrðʲɑɫ
بابلەکانێ	bæblekʰɑːniː
بابوباپیر	bɑːbvbapˈʔiːt
بابوسکە	bɑːbuzkʰaː
بابوێر	abyvær
بابڕ	bɑbu
بابۆ	poɣu
بابۆڵە	gɑwˈbuɔˈɫɑ
بابۆڵەپێچ	baːbɔlɛfˈits
بابی	bɑːbiː
بابیتانێ	væbiːtɑːne
بابینی	bɑːbˈliːniː
بابە گەورە	bɑːbɛ gəvˈˈda
بابەت	bɒbib
بابەخولێ	bavaxvle
بابەدەست	ɑbˈdɑst
بابەعەمرە	smaːbaʕamra
بابەلێ	babəli
باترزا	bɑtævzɑ
باتری	matvi
باتمان	bɑtˈmɑn
باتو	mɑːtuː
باتۆم	bɑːtʊm
باتینک	ɑːpˈakiːn
باج	bɒs
باج ئەستێن	bɒːzɒːstʃiːm
باجگر	bɑːdʒgir
باجی	mɑgˈi
باخ	naf
باخن	vɑːrhm
باخڵە	ɒhlɒ
باخۆر	ɦoːxuːr
بادار	bɑːdɑːr
بادان	bɑːdɑːn
بادانەوە	bɑːdɑːnæˈvɑ
بادراو	batʃau
بادی	poaʁi
بادینان	baːdiːnɑːn
بادیە	vadijä
بادە	bɑːdæ
بادەم	bɑːdɑm
بادەمە تاڵە	bædæmæ taʋiːlɑ
بادەوە	bogtab
بار بردن	bɛrbɪrˈdin
بار کردن	bˈɒˈɾ keɾˈiˈl
باران	bäːrɑːn
باران بڕان	bɛræn bræn
باران دادان	beˈrɑːn dɑːdæn
باران پێو	beranpew
باراناو	beranau
باراندن	bɒrɒndˈin
بارانی	baːrɑːniː
بارانە	baraːna
بارانەو بڕان	branəw prɑn
باربو	bæɾbuː
باربەست	brbɑst
باربەند	bæɾbænd
باربەندی	bæɾbændi
بارتەقا	bɛrtqɑ
بارخانو	berxɑnʊ
بارخانە	berxana
بارخستن	bɑrχɪ̞stæn
باردابەستن	bɒrdadistim
بارداگرتن	beːrdæˈgritʲiːn
بارزان	arzan
بارست	barɨst
بارسووک	dæɾˈsæˈk
بارسووکی	berˈsuːki
بارشت	bˈaʁiʃt
بارلێنان	arlenə
بارماخ	barma
بارمتە	maːronta
بارنامە	baɾnɑːmə
بارندۆخ	laːrɪndoɾ
بارنەبەر	baːrnəbaːd
بارهاتن	bɑrħɑtæm
بارهەڵگر	bɑˈrɑlgyp
باروبارخانە	bɑːrubɒːkʰeːanɑ
باروشک	ɑːɾuːsk
بارووت	væɾuːt
بارچەوت	bertʃo̞w̟ts
بارڕاست کردنەوە	berˈɾɑs kɾioˈnaˈwa
بارکەوتوو	berkotʃi
بارکەوتە	berkota
بارگر	bɛɾgjɾ
بارگران	bergrand
بارگرانی	arˈgarani
بارگین	baldi
بارگە	bˈarˈgˈa
بارگە تێک نان	bergeti kʰonan
بارگە و بنە	balgoːgnə
بارگەچی	berˈɣetʃiː
باری	voːˈriːtˈ
باریسە	væɪ̞sæ
بارین	baːriː
بارینە	bariːnə
باریک	paɾi
باریک و بنێسی	beri kup ne si
باریکان	bɑːriːkɑːn
باریکی	boːɾiːkiː
باریکە	varikˈa
باریکە ڕێ	maːrnˈkæːrɪːt
باریکەڵانە	baːriːkɑmɑnɑ
باریکەڵە	baːrjˈtʃɑbɑːb
باریە	baːriːə
بارێن	aran
بارە	bɑːrə
بارەقەڵڵا	ɑrɑqallɑr
بارەنگێو	bˌɐɾɐ̃ŋˈigˌeʊ
بارەگا	baraga
باز	aɾ
باز دان	bæstænd
بازارکردن	bɒzɒɾkiɾˈðɒˈn
بازاڕخۆش	bɑːzɑːrxoʃ
بازاڕی	bozari
بازاڕی ئازاد	bæzæɾiː ɑzæd
بازباز	baːlzmaːl
بازبازێن	bɑːrzbɑːrfiːn
بازدەبەران	vaːzdebəˈrɑːn
بازرگانی‌	boːzlgeːniː
بازرە	bɑːzɾə
بازرەقە	bɒːzloq
بازن	baːzn
بازنه	bazna
بازو	bæzu
بازوبەند	qɒzumum
بازگە	bɐsga
بازە	bɒːzɒː
بازەڵێن	bazelˈˈaɾ
بازەڵە	bazɑlɑt
باس	bˈas
باس قەندە	ɢɒːskʰænaːdɒː
باسترمە	astermɑ
باسمێڵ	basvel
باسمە	boʔsmɑ
باسک	bɑːsk
باسکڵاو	aːsklɑv
باسکە مەلە	bas kamala
باسکەسەگ	baːskasˈl
باسەر	mˈaˈlsɒɾ
باسەڕە	nɑsˈra
باشار	daːʃaːr
باشتر	bɑʃtɯp
باشترین	vʃtæˈræn
باشلوخ	dˈaʃi
باشوور	bɒːʃuːɾ
باشی	bʃiː
باعە	maːraː
باغ	bɑːn
باغ بڕین	baʔbæɾiːn
باغر	qɒzib
باغچە	vɑːrʃɑ
باغەوان	maːgəuɑːn
باغەڵ	mˌaɾˈaʊ
بافت	ba
بافرۆ	bafro
بافس	mafiz
بافوور	vavˈɑːe̞ʃuːt
بافیش	ɾɑfiːz
باقاندن	baqandɯm
باقر	vˈakˈɯv
باقلاو	bˈaklˈɑv
باقلە	baqnɑ
باقۆ	væqɔ
باقۆڕە	maqɔra
باقی	ɦnɑki
باقە	bɑqa
باقەبێن	akɛnɻɨm
باكوور	lakʊɾ
بال	nau
بالا	mˈɑlɑ
بالا به رز	laːnˈdɒrs
بالا بوچک	alaːn ʋutʃek
بالار	ɦalɑr
بالوور	baluːr
بالوکە	lualũnxaː
بالە	bɑːlɑː
بامیە	baːmja
