0	zɛru
espreguizar	estɾeɣ̞uisal
espreitar	espɾet̪aɾ
espírito	espiðitɔ
esquece a quen te esquece, que ben cho merece	eskˈeθe a kˌente eskˈeθe ˈun bˈentʃo meɾˈeθe
esquecemento	eskæse̞mẽntʊ
esquecer	eskeseɾ
esquerda	eskeɾð̞a
esquina	eskina
esquío	eskio
esta	estˈa
estaba	tɒbi
estabelecemento	estabeɾɾəsementɔ
estabelecer	estabeleθeɾ
estabilísimo	estaβilisimo
estable	estˈaβle
establece	estɐβlesse
establecemento	estawlesememtɔ
establecer	est̪aβ̞le̞θeɾ
estación	estas̺oŋ
estación de traballo	estaθjõŋ dɛ tɾaβaʎʊ
estades	estadis
estadía	est̪að̞ja
estamos	estamʊs
estancia	estanθi̯a
estanco	estanko
estanflación	estɐenflakioŋ
estanza	estanθa
estar	estar
estaredes	est̪eɾjt̪
estarei	festaɾei
estaremos	est̪aɾem
estariades	estaiadis
estariamos	estaɾiam
estarricarse	est̪aɾɾikaɾse
estará	est̪aɾa
estarán	estaran
estarás	est̪aɾs
estaría	fˈesteɾˈiˌa
estarían	est̪aɾia
estarías	estasdʒi
estas	estas
este	estɪ
estea	est̪ea
esteades	est̪e̞ãĩ̯
esteamos	est̪ea
estean	estæan
esteas	estas
esteiro	estejro
estender	estˈendeɾ
esterco	estɛɾkɔ
esternocleidomastoideo	eʃt̪eɾnukleeɾmast̪oið̞o
estes	estes
estevo	estsɛw
estigma	estiɣma
estiveches	estibetʃes
estivemos	eʃtjβemʊs
estiven	estʃiam
estivera	est̪jβ̞eɾa
estiverades	estjβeɾað̞es
estiveramos	est̪jbeɾa
estiveran	estjberan
estiveras	aldivers
estiveron	est̪iβ̞eɾo
estivestes	estjbestes
estivo	estibo
estomatite	estʊmatite
estorniño	estɔɲiɲɔ
estou	estou
estoupar	estowpaɾ
estoupido	estowpido
estourar	estʊuɾaɾ
estoutra	estowaltɾa
estoutras	estowtɾas
estoutro	estowtɾw
estoutros	estʊowtɾɔs
estrada	estɾaða
estragar	ɾʃtrjiajtɕ
estranxeirismo	estranʃejɾismʊ
estranxeiro	estɐnsejro
estranxeiría	est̪aãn̪s̺ei̯ɾia
estrañamento	estranʝamɛnto
estrañar	estɾaɲˈaɾ
estrañeza	estɾaɲɛsa
estraño	estɾˈaɲo
estrela	estɾela
estrema	estɾema
estremar	estɾem
estremil	ketɾemil
estremo	estɾemʊ
estreptomicina	iztrettomiθine
estricnina	estʃiknine
estrinxir	eltĩŋiʃiɾ
estripeiro	eʃtipeiɾo
estrito	estɾjto
estroza	estrosa
estruga	estɔɾɔga
estrume	estrome
estrutura	est̪ɾut̪wɾa
estruturas córneas	estɾutuɾas koɾneas
estudaban	estwð̞aβ̞an
estudantado	estʊðentado
estudantina	estʊdɐntina
estudo	estudʊ
estudos	estʊðos
estupefacción	estupedɐsioŋ
estupefaciente	estʊpeθasient̪ɪ
estupefacto	estupɛfaktɔ
está	esta
estábel	establ
están	estan
estás	estas
estómago	estomaɣʊ
esvaecer	esβ̞aiakeɾ
eséxese	eszeʃese
esófago	esofaɣ̞o
etiquetoute	ketiketote
etnobotánica	annutani
etoloxía	etoloʃia
etólogo	eðɔlɔgɔ
eu	ew
eu ia coller miñocas ao río co meu pai.	eu iak dʒeɾ mjnʊ kas̺a ɦoɾio ko mew paj
eu teño medo	ew teɲo meðʊ
eucalipto	ewkaljpto
eufemia	ufimia
eurasia	eʊɾaθi̯a
eurodeputado	euɾədɛmputado
europa	ɛurɔːbɑ
europarlamentario	europaɾlamentario
europea	ʊɾɔpea
europeo	euɾopio
euscalduna	euzkald̪una
euscaldún	euzkaldum
evasión	eβ̞azioŋ
evicción	eβikθi̯oŋ
evitar	eβ̞jt̪aɾ
evocativo	ebokativo
evolución	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
evolución do comportamento	evolutsioŋ do kompoɾt̪amemt̪ʊ
evolución dos organismos	ebolusioŋ dos ɔɾɣanismʊs
exacción	esaksjoŋ
exactitude	esaktit̪wð̞e
exacto	esakto
exame	e̞s̺s̺ami
exaxeración	esaseɾakioŋ
exceder	eksteˈðeɾ
excelente	ʃfelente
excepción	eksestioŋ
excepto	exakto
excepto que	eɣ̞st̪ep̪t̪ el
exceptuar	ɛkstepːtˈua
exceso	ekst̪ei̯s̺io
exclamar	esklamaɾ
excursión	eɣ̞skuɾsioŋ
executar	exekut̪aɾ
exemplo	exemplum
exento	essento
exercicio	eseɾsisjo
exexético	eseesktiko
exilio	ekʃilio
eximir	esimil
exipcio	eʃiptsio
exipcíaco	eʃifθiako
exipto	ekipto
exiptoloxía	ekʃptoloɣ̞ia
exixencia	essisenkia
expansión	eʃpãn̪sioŋ
expediente	expeðient̪ɪ
experiencia	ɛkspeɾiɛnθi̯a
explicación	ˌeksplikaθjˈon
explicar	eʃplikaɾ
explosión	eksplosioŋ
expugnar	espuxnaɾ
expunxir	əkspɔjsˈeɾ
extensivo	kostensibo
extensión	ˌekstensjˈon
extenso	kst̪ẽns̺o
extensor	kst̪ẽn̪soɾ
extinto	estas
extra	ɛkstɾɛ
extracción	ˈestaakθjˈon
extracto	estraktou
extrapolar	eɣ̞st̪ɾapolaɾ
extravagancia	estɾaβaɣunθja
extremar	estɾemd̪e
extremidade	ekstɾemiðadɛ
extremismo	ekstremismo
extremo	ekstremo
extremoso	ekstremoso
exuberancia	ɛsuβeɾŋkia
exótico	eksotiko
eólico	eɔlikɔ
faba	tsava
fabricou	fabɾou
facción	akθioŋ
facelo	t̪iket̪s̺paz̺elojenɣ̞aljs̻iãn̪
facer	fakeɾ
facho	patʃo
factores bióticos	faktɔɾes βitikɔ
factores xeográficos	ba kt̪oɾes ɣ̞eoɣ̞ɾfikos
factores xeolóxicos	faktoriz tʃeoloʃikos
factótum	faktotum
fadesa	fað̞esa
fafián	faiˈse
fai ben e traballa e non durmirás na palla	fai be els ke t̪ɾeβ̞aʝa ã la ð̞oɾmjn es na pat̪ɟʝa
faia	aɪˈ
faiado	fai̯að̞o
faisán	fai̯˧sãŋ˥˩
falacia	falaɾsia
falar	falaɾ
falará	fɑɫɑɾɑ
falconiformes	fˈɛlkənɪfˈɔɹmɪˈæz
falcón	akompano
fallas	t̪aʝas
falmega	almeɣ̞a
faltona	faltone
faltón	faltˈɔ̃
fame	famɛ
faneca	faneke
faramontaos	faɾamõn̪t̪aɾɔs
farelo	farelo
farfallana	faɾθaʝana
farfallán	faɾfaʝant̪
farinxe	farʲinʃe
farinxite	fæɾjsjte
fariseo	faɾiseu
fariña	fˈaɾˈiɲˌa
farlopa	farlopa
farmacia	faɾmθi̯a
farmacobotánica	fɑrmɑkɾubutanikɑ
farrapo	frapo
farruco	faɾɾukɔ
farto	fˈɛrtʊ
fascismo	fast̪ismw
fase	fasθi
faxilde	fafiʃiʃtʃɔ
fazula	fasulɑ
faísca	fau̯lʲska
fea	fˈeɪɑ
febreiro	fɛbrɛjro
fedello	fˈeðeʎˌo
federación ecoloxista galega	seð̞eɾakioŋ ekolõssist̪a galoɣ̞u
feg	etʃeeʁʒa
feijóo	tskɾ
feira	fei̯ɾa
feiraco	fajrakɔ
feita	veitˈa
feitizo	sˌeɪtˈiθˈo
feitiño	t̪e̞jt̪jnʝo
feito	tʃajtˈo
feixe	fˈɛʃˈɛ
feixón	ˈɛɹɪsɪˈæm
fel	fˈɛl
felgosas	ɛlkɔsɛvz
felino	velino
feluxe	ɛlwsˈi
femia	tsɛmja
feminina	femjnina
feminino	feminino
fendeduras da farinxe	femd̪e d̪uɾas da fariŋʃe
fenoloxía	fˈenˈoloʃˈiˈɐ
fenotipo	penˈotipo
fente	fˈɛnte
fento	sento
ferir	feɾiɾ
fermil	femili
fermosa	peɾmɔsʎ
fermoso	feɾmɔs
fermosura	fɛɾmʊswɾa
fernando seoane	fɛrnando ʃe ɔani
ferradal	feɾɾeð̞al
ferramenta	berament̪a
ferrari	fɛrˈari
ferraría	feraɾia
ferreira	fereiɾa
ferreiriño	peɾɾæiɣinjo
ferreiro	farejro
ferreiro es el herrero.	feɾɾeɾo ˈeʎa el eɾɾeɾo
ferreiros	fæɾejs
ferreiroá	fɛrˈreɪɾɔˈa
ferreirúa	feɾiɾua
ferro	fɛɾɾo
ferrol	fɾɾl
ferrolá	ferola
ferrolán	fɛrɾolant̪
fervellasverzas	feɾβ̞ellesβ̞eɾθes
fervenza	feɾβ̞ẽn̪θa
ferver	ferber
festa	tɛsta
feto	fetːo
fiadeira	fiedɛjre
ficción	fikθi̯oŋ
ficheiro	dʒeidʒim
ficheiro oculto	fitʃˈɛiro o kˈulto
ficoloxía	fikoloʃia
ficticio	fiktisjo
fidel castro	fidɛl kastro
fidelísimo	fˌedɨlˈiʃimo
fideo	videɔ
fieito	fiejto
fiestra	fjestɾa
figueira	figueiɾa
figueiras	fiðeiras
figueiredo	iɣaiɾe
figueirido	fiɣ̞ueiɾið̞o
figueiroa	figˈeɪɾˈɔ
filgueira	fiːlgeːrɑ
filgueiras	filgeiɾas
filgueiro	ilgeːro
filipe	filipˈe
filisteo	filistˈeˈo
filla	fˈiʎa
fillo	fio
filloa	fiʝõɾ
filme	filme
filoloxía	finoˈlɔˈʃia
filomena	filomenas
filosofía	filoʃafie
filoxenia	filoʒenia
filoxenética	fìlɔsʃɛnɛtika
filoxeografía	fˌiloθˌeoɣɾafˈia
fincón	finkoŋ
fingoi	fʲiŋgoj
finxir	finsjˈrˈ
firme	firme
fisioloxía	kisjɔlɔʃia
fisterra	fistera
fisterrá	fisð̞eɾɾa
fisterrán	fist̪eran
fitar	fˈaːs
fitografía	fit̪oɣ̞ɾafia
fitoloxía	fit̪olokia
fitopatoloxía	fitʃtopatoloʃia
fitoquímica	fitokimika
fitosocioloxía	t̪esoɾt̪zioloɣ̞ia
fitoterapia	fitɔt̪ɛɾapia
fitoxeografía	fitokeografial
fixó	fjsõ
fixón	fiʃom
fixós	fisˈos
fiz	na
flamante	flamante
flamengos	flamengos
flan	flaŋ
flegmón	flemˈɑ̃
flexión	flasjoŋ
flictena	pliˈtynˈ
floco	floko
flor	flˈoɾ
flora	flora
florentino lópez cuevillas	loɾentino lɔpes kɔɣis ɛʃe
fluencia	flʊẽn̟θia
fluorescente	floressenti
fluorita	florita
flutuación	flutuaθjoŋ
flutuar	flutuaɾ
fluxo	flʊʃʊ
foca	fˈokɜ
focha	kɔtʃa
fochanca	koːˈtʃanˈkɐ
foder	fˌoðˈeɾ
fodón	falaɾ
fogar	ɔħɑr
fogoneiro	fagɔneʃɔ
foi	po˥˩ːlɨ˩˦
folana	fˈolˈanɜ
folerpa	boleɾd̪a
folga	fˈɔlɔ
folgazana	folɣ̞aesθana
folgazán	folgaθan
folgos	folɣ̞os
folgosa	folbozzam
folgoso	køɾbøʃtʃø
folgueira	folgeiɾa
folgura	folβ̞uɾa
folla	oʝa
folla de cálculo	fɔʎa dɛ kalkul
folla de estilo	fˈoʎa dˈos estˈilo
follente	soɛlente
folán	fˈolˈan
folículo	folikulo
fondevila	fondð̞eβ̞ila
fondodevila	fˈondodˈiovˈila
fonfría	fˈɔnfrˈiːa
fonsagrada	konθaɣɾaðas
fonseca	fõn̪t̪seka
fontao	font̪au̯
fonte	fonte
fonte de alimentación	pˈonte ˈoɾo ˌalimˌentaθjˈon
fonte maior	fˈonte majjˈoɾ
fonteboa	fonteboa
fontecova	fontekɔva
fontefría	fˌundɜfɾˈiːˈɐ
fontela	põŋtela
fontelo	fontɛlɔ
fontenla	fonteŋla
fontenlo	fontˈɛllo
fontes	fontɛs
fontoira	fontoiɾa
fontán	funt̪ant̪
foramontaos	laãmbmẽn̪t̪au̯s
forcadela e nogadelo	frkaðəla ɛnogaðəlʊ
forcarei	foɾkˈaɾˈeʝ
formarigo	formaɾigo
formariz	fɔɾmarif
formarís	foɾmaɾis
formatar	foɾmat̪aβ̞
formato	fˌoɾmatˈo
formiga	foɾmiga
formigueiro	fˌoɾmiɣˈeɪɾʊ
fornelos	fˈoɾˈnˌelˈos
fornos	fɔɾnos
foron	sɔː
foron todas excepto a uxía	foɾon t̪ot̪es pest̪ẽɾt̪uam tʃie
forraxe	oraiʃe
forte	fˈɔrte
forxán	kˌoɾʃˈan
forza	fɔɾθɐ
fosfatos	fosfɑtʊs
fotosíntese	fot̪osĩn̪t̪eze
fouce	olfe
fouciño	fofiɲʊ
foxacos	toʃakuz
foxos	fɔʃɔs
foz	paz
fracción	fɾakθi̯oŋ
fraco	fraku
frade	fɾað̞e
frades	fɾaβ̞es
fraga	aʕa
fragmentación	fɾaɣment̪ɐsioŋ
fragmento	raʒment̪o
fragoso	fɾaɣ̞os̺u
framboesa	fˈɾambwˈesa
frameán	fɾameaŋ
framil	framil
francelos	franθɛlos
franciscano	ɾanθiskano
francos	fɾaŋkos
franxa	fraŋsa
franza	fɾãn̪θa
fraqueza	fɾaakestha
frauta	frauta
fraxilidade	fɾaʃiliðadɛ
fraíz	fraːf
freande	fɾeanˈd̪ɪ
frecha	fɾɛtʃæ
frecuencia	fɾɛkwemkia
freixa	pɾˈeɪtʃɐ
freixedo	fˈrˈejskeðɔ
freixeiro	fɾeiɣ̞sejro
freixido	seɪ˥˩ʃiːl˨
freixo	fˈɾˈʃˈɛ
freixó	fɾejsˈtˈ
frequentemente	frikwentemɛntj
fretar	fɾetam
freán	friːan
frialdade	pliːaldˈɑːvi
friamonde	friamonde
friaxe	frias
friccionar	pɾjksjɔnɛɾ
fricción	pɾikθi̯oŋ
frieira	pɾieiɾa
frieiro	friˈeɪlˈo
frixir	fɾiːʃiːr
froilán	fˈɾˈɔjlˈan
froita	projta
froitoso	fɾɔjtɔsɔ
fronte a	froŋtea
frota	fratɛ
frouxo	fɾɔusʃɔ
froxán	fruːʃaːn
frutificar	fɾutifikau
frutuoso	fɾutʊɔsʊ
frutífero	fɾutifeɾo
fucarelos	ɾiʝos
fuco	fuko
fucsia	fɔksja
fufín	tuːfiːn˧˧
fulano	fulano
fume	tɔɾɛ
fun	sum
funcionar	fũŋsjɔnɑɾ
función	fũn˩˥siõŋ˨˩
funcións vitais	funθi̯õŋs eβit̪ais
fundación	fundaθi̯oŋ
fundamental	fʊnðamentaɾ
fundamentalmente	fˌundamentˈalmˈente
fundir	fundiɾ
fungallón	poŋˈgajon
fungo	fungu
fungos	fungos
fungueiro	fˌwnɣˈeɪɾʊ
funil	vˈˈoniʎ
furado	fwɾaðɔ
furafollas	fuðˈɾafʊzˈɛɾˈ
furco	furko
furna	ɫuzna
furón	fuɾoŋ
fuxidío	fukːidio
fuxir	fwʃiɾ
fígado	siɣaðɔ
fío	fio
física	fisʲika
fóra	fˈoɾɐ
fóra de	foɾɐ dˈeɪɾ
fóra de que	foɾa dɛ k
fósiles	fosʏlɛs
gabardina	gabaɾð̞ina
gabia	kalja
gabián	ɣ̞aβ̞ian
gabín	kaβ̞in
gadaña	gað̞aʝe
gadañar	ɣ̞að̞anʝaɾ
gadañeiro	kaɾaɲeizʊ
gadaño	ɣ̞að̞anʝo
gaio	gaju
gaita	gajt̪a
gaiteira	t̪eɣ̞læn̪teiɾe
gaiteiro	gˈaɪtˈeɪɾʊ
gaivota	gajbota
gaivota patiamarela	gai̯t̪ bot̪a pat̪ jamaɾela
galaico	ɣ̞alaiko
galantería	ɣ̞alant̪eɾia
galardón	galaɾð̞õŋ
galaxia	ɣ̞alaksja
galbana	galbana
galbán	ɣ̞alβ̞anɣ̞
galdrapo	kal̪d̪ɾapu
galega	galeɣ̞a
galegas	ɣ̞alɣ̞as
galego	ɣ̞alɛg̞o
galego-portugués	ɣ̞aleɣ̞opoɾt̪uɣ̞us
galegos	ɣ̞alɣ̞o
galería	gˌaɾɨɾˈiɐ
gales	ɣ̞aʝe̞s
galicia	ɣ̞alikia
galipedia	ɣ̞alipːeð̞ia
galipote	galipote
galiza	ɣ̞alisa
galiña	galiːnʲa
galiñas	ɣ̞alĩŋʝas
galiñeiro	galiɲeɾo
galiñola	kaliɲola
gallaecia	ɣ̞alaẽkia
galo	galo
galopina	galopiŋe
galopín	alopiŋ
galpón	laβ̞um
galán	gɑlɑng
gama	gama
ganancia	ɣ̞anŋkia
gandarela	gãnð̞aɾella
gandaría	skandaɾia
gandeiro	gãnˈdejro
gando	gando
ganduxar	gãn̪d̪wtʃaɾ
ganduxo	ganduʃo
ganso	ganso
garabelos	gaɾaβelos
garabullo	gˈaɾɐvˈwʒu
garantir	gaɾãn̪t̪iɾ
garantía	gaɾant̪ia
garda	gard̪a
garda civil	gard̪a s̺iβ̞iɾi
garda de mozo e atoparás de vello	gaɾða dɛ mʊsʊ ɛ a tʊ paɾas dɛ βellʊ
garda forestal	gaɾð̞a foɾest̪al
gardabarreira	gaɾð̞aβ̞aɾei̯ɾa
gardalama	gardalama
gardar	gaɾðaɾ
gardarroupa	gaɾð̞arau̯pa
gardarríos	ɣ̞aɾð̞aɾios
gardiá	gɾð̞ia
gardián	ɣ̞aɾð̞iãn̪t̪
garduña	gˈˈaɾˈðoɲa
garfo	qar
garita	gaɾjt̪a
garza	gˈaɾθɐ
garzota	afoda
gasolina	gasolina
gasterópodos	gasteɾopodʊs
gastrite	gastite
gato	gatʃo
gato montés	gatʊ mɔn tɾes
gheada	tʃojara
glaciar	glˌaθjaɾ
glaciares	glasioɾes
glacioloxía	glˈafelˈoʃˈiːa
gladiador	glˈaðiðˌoɾ
glicerina	ɣɾˈjˈθaɾiˌnˌa
gloria	glˈoɾja
glosa	glˈɒsˈa
glote	glˈɔtˈɪ
glute	glute
glándula	ɣ̞ɾãn̪t̪d̪uɾaɾ
glándulas gástricas	ɣ̞lnð̞wles ɣ̞st̪ɾikes
gnomo	nˈomo
gnomoloxía	nomoroʃtʃo
gnomólogo	nomologo
gnose	nˈose
gnoseoloxía	noseoloʃia
gnosticismo	nastjθismʊ
gnómico	nmko
gnóstico	nˈoestˈiko
goberno	gobˈɛrno
godón	boːdˈom
goimil	vojmil
goián	kojam
goiáns	oianz
golfiño	dalfiɲo
golmar	golmaɾ
golpe	pɔlkɔ
gomariz	gomaiɾif
gomesende	gomeskente
gondar	kɔn̪d̪aɾ
gondomar	ɣ̞õŋð̞omaiɾ
goniómetro	konivɑnˈmeɾəd
gontade	gontadɛ
gontán	gõŋtãn
gorecer	gˌoɾesˈeɾ
gorida	ɣɔridɛ
gorila	gˈoɾɪlˈla
gorir	gʌɾiː
gornecer	ɣɔɾneθeɾ
gornición	β̞aɾnisziõŋ
gorxa	gɔrsja
gosende	gozseŋdɛ
gra	gra
gradaílle	gɾað̞aʝe
gralla	raa
gran	gɾãn
granadino	grandað̞ino
granda	granda
grandilocuencia	gɾaŋðjrokwnkia
grandísimo	grandisimo
granito	ɣ̞ɾãn̪t̪õ
granxa	gɾanʃa
granxiña	gɾãnʃiɲa
grao	gɾau̯
gratis	grat̪is
gravar	gɾaβ̞aɾ
gravata	gɾaβata
graza	gɾaffa
grazas	grˈaθes
gregoriano	ɣ̞ɾeɣ̞oɾiano
grela	gɾela
grelo	relo
grenlandia	grandalãnðia
grifo	grifo
gris	gɾis
grixoa	nˈʃaua
grixó	ɣɾjʃa
gráfico	klˈaxiko
guante	gwante
guapo	tʃampɔ
guarecer	gwaɾeseɾ
guarida	gwaɾiða
guarir	ɣuariɣ̞
guarnecer	gwaɾneθˈeɾ
guarnición	ɣaɾnisioŋ
guata	gwata
gudín	buðin
guedellana	ɣ̞adɣ̞ena
guedellán	getʃen
guende	ɣɛnde
guerra	sera
guichar	gitsʃaf
guilfonso	ð̞ʝlfonzo
guillade	gidʒavɛ
guillar	gidʒaɾ
guillerme	litdʒermi
guillermina	gidzʲeɾmʲinʊ
guillotina	gijot̪ina
guimarei	ð̞imeɾei
guimaráns	gɛmarans
guimarás	gɛjmaɾaas
guipúscoa	gipuskua
guisande	gezdi
guitarra	guit̪aɾɾa
guitiriz	gitˈiɾi
guldrís	kult̪ris
gulfar	gulˈfɑr
gundián	gumdian
gunduriz	gunduz
gundín	gũŋd̪inɣ̞
guntín	buntin
gándara	ɣ̞and̪ara
haber	aβ̞eɾ
habitualmente	aβ̞jt̪ualment̪ɪ
había	abja
hai	ˈeɪ
hai que liscar axiña de aquí	aj ke lis̺kaɾ a ɕinja d̪a ki
haploides	aplˈoɪðes
hebrea	ebrea
hebreo	ebreu
heitor	eitu
heladio	lˈadio
helena	jelena
hemeroteca	emeɾoteka
hemoglobina	ɛmɔblɔbina
hemoptise	enoptise
henrique	enrike
hepatite	epatite
herba	ærba
herbívoros	ɛɾbibɔɾɔs
hercegovina	elsegoβina
herdade	eɾð̞að̞ei
herdanza	ɛaðanθɐ
hermisende	ɛrmisende
hernández e fernández	eɾnaldes la eɾnaldes
heroes	ɛɾɔis
heroína	eɾoĩŋa
herpetoloxía	erfet̪olɔʃia
herrerias	ferɾeɾias
heterocongro	ɛteɾokɔŋgɾʊ
hexadecimal	eksad̪efimal
hexágono	esaɣ̞ɔnʊ
hidratos	hidɾatʊs
hidroloxía	idrolosʃja
hidroxeoloxía	id̪eɾaɣ̞saɾlaɣ̞sia
hidrólise	izrɔljse
higrómetro	igrɔmetrɔ
himeneo	imeneo
himenóptero	jimenoːptˈnˈ
himno	imno
hipertexto	jpeɾt̪ekst̪o
hipnose	imnosi
hipnoterapia	imno̞teɾapia
hipnotismo	imnotizmo
hipnotizar	imnotiθado
hipopótamo	dʒuʃopopotono
hipócrates	ipˈokɾˈatˌes
hipótese	ipɔtɛse
hispano	ispanɔ
histoloxía	istˈoloʃia
historieta	ist̪oɾiet̪a
hogano	oɣ̞ano
home	ɔmɛ
homenaxe	omensis
homeopatía	omeopatia
homeotermo	omeotɛrmɔ
homón	omoŋ
honra	oŋɾa
horta	ort̪a
horticultura	oɾt̪ikul̪t̪uɾa
hospicio	osipjlio
hospital	ospit̪al
hotel	ɒtˈæl
hoxe	oɕim
hoxe en día	oʃ e em ð̞ja
hugo mallo	tugɔ maʒu
humanidades	umanið̞ad̪es
humano	umanu
humus	umus
hábil	abili
hábitat	aβ̞jt̪at̪
hóspede	otʃo
iago	iˈaʒw
iago aspas	jeɣoastas
iago bouzón	ɟʝaɣ̞o pou
iago falque	ʝaɣ̞o falke
icona	ikɔna
ictericia	aktiɾisja
ictiografía	jktioɣ̞ɾafia
ictioloxía	tik
ictiomancia	ikt̪iomãn̪sia
ictérico	ritːɛrikɔ
idade	ið̞að̞e
idade de pedra	iðadɛ dɛ pɛðɾa
idade media	iða dɛ miðja
idea	ˈiðeas
identidade	inentiði
ideolóxico	ideɔlɔsjkɔ
ifixenia	if
ignominia	ɛɦnɔmɛnjæ
ignorancia	iɣnoɾnkia
ignorante	ignoɾante
ignorar	ɪɣnɑːdæɾ
ignoto	iɣnɔtɔ
igrexa	iɣɾesja
illa	eˈdʒɛr
illas cíes	i ljzties
illobre	idʒovle
imaxe	imazse
imaxinable	imaɣ̞inaβ̞le
imaxinación	imˌaʃilˈakjon
imaxinar	imazsimau
imaxinario	kimaskinario
impaciencia	impaθi̯nsia
impacto	impakto
imperceptible	impeɾθepːtibli
imperfección	impeɾset̪θioŋ
impericia	impeɾjsia
implantación	jnplanˈtejs
importancia	impoɾt̪ãn̪θja
importar	impoɾt̪aɾ
impregnar	imprəxnˈɑl
imprenta	impɾemtsa
imprescindible	mpɾestindible
impresora	impɾesora
impresora de inxección	ˌimpɾesˈoɾa de ˌinʃekθjˈon
impresora portátil	impressoɾa poɾt̪ɣ̞t̪il
imprimir	imprimˈiɹ
impugnar	impoɣ̞naɾ
incandescente	inkandestente
incidencia	insidɛnsia
incidente	imθiðemt̪ɪ
incidir	fið̞iɾ
incipiente	inipjˈɛnte
incluír	ˌinkluˈiɾ
incongruencia	inkoŋgɾuɾɛnkia
inconsciencia	ĩŋkɔnsistemsia
inconsciente	ĩŋkʊ̃ŋsciente
inconsecuencia	inkoŋsekɔnsia
inconveniencia	inkonβ̞ẽn̪ntsjã
inconveniente	inkombenient̪ɪ
incorrección	ĩŋkɔɾɾekθi̯oŋ
incorrecto	inkorretːo
incumprir	enkumpɾˈiɹ
incógnito	inkˈoːxnito
inda	ne
inda ben non	nð̞e benknõŋ
indeleble	intdeleble
indelébel	ɪnðəˈlevəl
indemne	indɛmne
indemnizar	ʔiːnˈdemniːθæɾˈ
independencia	indepemd̪ensia
indescritible	ĩŋðeskɾisble
indexar	imd̪ekseɾ
indicación	iŋðikaθi̯oŋ
indicción	ˌindikθjˈon
indiferenza	indiferentsa
indignar	numeɾo
indigno	ĩŋd̪iɣ̞no
indirecto	indirɛtʊ
indisoluble	indisalube
indisolúbel	ĩnð̞jsaluβ̞el
inditex	ɛnditeːs
indución	ˌiŋdukjˈon
indulxencia	inðɔsie
indutor	inð̞ukt̪oɾ
inepcia	jnəpsʲi
inepto	inɛptɔ
inexperiencia	inekspeɾĩŋsia
infalible	infalible
infalíbel	infalˈiβeˈal
infancia	infantsia
infantaría	infant̪aɾia
infección	insɛkθi̯oŋ
infectar	infektar
inferir	ĩŋfeɾiɾ
infesta	infesta
inflixir	infliʃˈiɹ
inflorescencia	imfloɾestensia
influencia	influẽn̟θi̯a
influente	influente
influxo	imfluːsio
influír	influiɾ
infrinxir	infliŋtʃir
inhumano	laumanum
inhóspito	iɔspitʊ
inimigo	iniːmiːbuː
inmaculado	immakulaðɔ
inmanencia	ĩŋmanensia
inmanente	ĩŋmanente
inmaterial	ĩŋmãt̪eɾjal
inmaturo	imatˈuɾo
inmediato	immeðiatʊ
inmemorial	ĩːnmemoɾiːl
inmensidade	jmensiðadɕ
inmenso	immenso
inmensurable	ĩŋmen̪suɾaβ̞le
inmerecido	immeɾeθiðɔ
inmersión	imˌeɾsioŋ
inmerso	immerso
inmigración	mmiɣɾaθi̯oŋ
inmigrante	immiɣ̞ɾant̪e
inmigrar	jmiʒɾˈaɾˈa
inminente	iminete
inmiscirse	investiɾse
inmobilizar	iːnmɑːbiliːθæɾ
inmoderado	immoðeɾaðʊ
inmodestia	immodɪstia
inmodificable	immoðifikaβ̞le
inmolar	imˌmˌoːlanˈ
inmoral	ĩmoɾal
inmorredoiro	emmoreð̞oid̪u
inmortal	immoɾt̪al
inmundicia	imondiθi̯a
inmune	iŋune
inmunoloxía	imunoloɣ̞sia
inmóbil	immoβil
inocencia	inoθenθjˈa
inorgánica	jnoɾɣ̞anika
inquérito	inkeridu
inscrición	inskɾisioŋ
inscrito	inskɾitɔ
inscultura	inskul̪t̪uɾa
insecticida	insɛktisiða
insecto	insekto
insectívoros	insekˈtiβoɾos
insignificante	insignifikante
insire	insɪɾe
inspección	inspeθioŋ
inspector	inspekt̪or
inspiración	inspɪɾaθi̯oŋ
inspirar	inspjal
instalación	insð̞alaθioŋ
instalar	inst̪að̞aɾ
instancia	inst̪ɐnkia
instante	instante
instar	inŋstab
instaurar	insauɾat̪
instestino cego	intestino sego
instinto	instinto
institución	instjtʊsioŋ
institucións	instituθjõŋs
instituto	institʊtʊ
instituír	iŋstjt̪uiɾ
instrución	instɾusioŋ
instrumento	instrumˈento
instrutor	instɾutɔɾ
instruír	instɾuir
insua	jɛnswɑ
insubmisión	instɾusioŋ
insuela	insuɛlˈla
insuficiencia	insuviθient̪sia
insurrección	imsuɾɾɛkθi̯oŋ
insurrecto	ĩnsurɛkto
insurxente	insuɾsjente
insá	insˈaːn
insán	insan
insúas	iliːtˤ
intacto	intakto
intelecto	intelektu
intelixencia	int̪ɪliʃnkia
intelixencia artificial	inteliʃensia aɾtifikial
interacción	int̪eɾakθioŋ
interacción xenética	iŋt̪eɾaktsioŋ ɣ̞sẽn̪t̪ika
interaccións	int̪eɾakθioŋs
interactivo	int̪eɾakt̪iβ̞o
intercambio	int̪eɾkãmbio
interceptar	int̪eɾsept̪aɾ
