cачара	satʃara
синнектән төшәм тигәнтә пабай ҡалты эленеп. [клара кучковская]	sʲinɪ̞ktæn tɪ̞ʂæm sʲigæntæ pɑbɑj qɑɫtɯ̞ æ̹lɛnɪ̞p
синән	sɪnˈnen
сиселмәте	siːsɪlmɛtɛ
сиселте	sjselte
сисмәй	sismei
сисмәм	sˈismˈɛm
сиңа	sjˈulɑh
сиңа тип ырыслап ҡуйтым пу ҡаңзаны.	si̠ɴɑtɪ̞ pɯ̞rsɫɑp qojtɑm puʁhɑŋ zɑnɯ̞
сиңәр оц	sjˈnjɚˈɑts
сопра	sʊprˈa
сопрам	supram
составы	sostɒpˈɒˈ
су	sˈu
сул	suɫ
сумнау	sʊ̞mnɑw
сур	sʊ̞r
сурайты	sʊ̞rɑjtɯ̞
сураса	sʊɾɑsʊɑ
сураштыҡ	sʊ̞rɑʃtɯ̞k
сусылты	sʊ̞sɑɫtːɑ
сусып	sˈusˈap
суҡты	sʊ̞qtæ
суҡҡалы	sɒqqɒɾɒ
суҡҡыц	sqets
суң	sum
сыбыр	kɯˈvɯr
сыбырлар	sɯbɯɾɫaɾ
сыбырстан	sʊ̞bʊ̞rstɑn
сыбырца	sapɔrtsa
сыбырца исәпләйбес	sɯbɯr tsa ʔiˈsæpɫæjbɪs
сыбырым	sɐbəram
сыйарат	sɪ̞ɾat
сыйныф	sajnɑp
сыйрат	fʲɪrɑt
сыйрат асты	sɪ̞rɑ tɑstɑ
сыман	sɑmɑn
сынны	sɯ̞nɫæ
сынты	sɯ̞ntɯ̞
сырт	sɯ̞rt
сырға	sɯ̞rɢɑ
сысылып	sɯ̞sɑɫɯ̞p
сыу оллы йылта ыштанбуыртан пататылар.	sɑu ɯ̞ɫðɯ̞ jɯ̞ɫtæ ʊ̞ʂtæn burtɑn pɑtɑtʊ̞ɫɑr
сыулар сибеп, тарыу пиреп, терелткәц күршеләрне... [клара кучковская]	sɯ̞uɫɑr sʲibɪ̞p tɑrɯ̞w pi̠rɪ̞p tærjɪlkæt kʏrsjɪlærnæ
сыуыҡ	sɒqiq
сыҡтағалы	sɯ̞qtɑʁɑɫæ
сыңар тал	sɯ̞ŋɑrtɑɫ
сүзге	syzgæ
сүкләм	sʏ̞kɫɛm
сүс	sˈis
сүслек	sʏ̞slɛk
сүслекнеңке	sʏ̞slʏ̞knɪ̞nkɛ
сүсләр	sʏ̞sɫɛr
сүсләре	sʏslɛrɪ
сүң	sɛ̃g
сәйел	sˈæjl
сәйер	sæjɪ̞r
сәләм	sɛlɛm
сәмйә	sɛmjɛ
сәмпирә	sænbʲirɛ
сәмтә паш	sɒmtɒb bɒˈɾ
сәмтә төп	sen tɛtœp
сәмтә ыҡ	sæmtæ ɑq
сәтәп	sæt
сәтәп үләң	sætebɾæg
сәтәҡә	sætæqæ
сәғәткә	sæɢɛtkæ
сәҡнә	sæqnæ
сәҡнәтән	sɪ̞qnɪ̞tæn
сәңгесәк	sænˈgˈɛsæk
сөйгәнем	sʲigɛnɪ̞m
сөйләгән ул күршеләргә кицә йәшләр ҡайтыуын. [клара кучковская]	sjɪlɛgæn oɫ kʏrʂɪlɛrgæ kʲitsæ jɛʃlɛr qɑjtuuɯ̞n
сөйләгәнне	sijlægænne
сөйәк	sʃʃ
сөләйманов	sɯɾˈɛjmɑnɑˈv
сөләймановныңҡы	sɪ̞dɛjmɑnɑfnɯ̞ŋqɑ
сөлөклө	silɪxlɪ
сөлөклө ҡыр	se̞ɫɪ̞kɫɪ̞k qɑr
сөт	sɪt
та	tˈɑ
табац	tɔbɔts
табышып	tɑbʊ̞ʂɯ̞p
тайлар	tɑjɯ̞ɫɑr
тал	tɑɫ
тал та кискәнем йуҡ ите — ник талаты пеләгем тип... [йыр, “тусҡасан”]	tɑɫtɑ kʲeskɛnɪ̞m jʊ̞ʁ ʲitɛjɫɪ̞k tɑɫɑtɑ pɛɾɛgɪ̞n tïip
талаты	tɑɫɑtæ
таллары	tɑɫdɑrɯ̞
таллыҡ	tɑnɫɯ̞q
талмы	tɑɫmɑ
талмыхан	tɑlmɑqan
талымхан	tʊ̞ɫʊ̞mχɑn
тамашаға	sɑmɑʃaɢa
тамтау	tɑmtɑuwː
тамыр	tɑmɯ̞r
тамырлары	tamɾɯ̞ɫɑrɑ
тамырларым	tɑmɯ̞rɫɑrɯ̞m
таныман	tənəmɛn
таныштылар	tɑnustɑɫɑr
таптыйлар	tɑptɯjˈlɑr
тапшыла	tɔpʃɪɫa
тапшырылып	tɒpʃɾɒlɒb
тапҡыр	tɑpqɯ̞r
тара	tɔra
таралып	tʊ̞rɑɫɯ̞p
таралған	tɑrɑɫʁɑn
тарамыч	tʊ̞rɑmɑjtʃ
тариғы	sɑriːɢːɑ
тариҡ	tɾiq
тармакүл	tʊ̞rmɑkkɪ̞l
тарман	tʊ̞rmæn
тартсын	tɑrtʰzɑn
тарттырғалы	tɑrtʊ̞rʁɑɫæ
тартыр	tɑrtɑr
тархан	tɾχɑn
тарчымал	tɐrtʃɪ̞mɐɫ
тас карағай	tæsqɑɾɑgɑj
татар	tætɑr
татарлар	taˈtɑrɯɫɑr
татарларның	tʊ̞tʊ̞rɫʊ̞rnɯ̞ŋ
татарларыбыс	tɑtɑrɫɑrbɑs
татарларға	tætɑrɫɑrʁɑ
татарлыҡны	tɑtɑrɯmɫæ
тау пашларта таш тегермән, йәш потай тартыр мигән? [йыр, “себер йағы”]	tɯ̞w pɑʂɫɑrðɯ̞ tɑʂ tʲɪgɪ̞rɪ̞næn jæʃ pʊ̞tɑj tɑrtɯ̞r mʲigæn
таулар пашларынтағы аҡ тирмән, әй, крупчатка он тарта мигән?	tɒuɾlɒɾ pɒʃlɒɾiˈndɒɣi ɒqtˈi mɒngɒnˈej kɾˈubtʃɒtkɒˈ ɒntɒɾtˈɒn egɒˈ
таумашҡа	tɑwɑpqa
тауышы	tɐvˈʊ̞ʃɛ
тауышым	tɐu̠ʂɐm
тауышын	tɔ̙usən
тауыҡлар	tɑwɯ̞qɫɑr
тауға ағыну	tɑwɣa ɑːnɯ
таш	tɔʃ
ташатҡан	tɑʂɑtqɑn
ташлайды	tæʂɫäjdæ
ташны	tɔʃtʃnɛ
ташпыла	tæʃpɫä
ташығалы	tɒʃiˈgɒla
тағын	tɑʁɯ̞n
таҡта йул	fɑq tɑ joɫ
таң	tɑŋ
таң нурынта тибрәлгәнтәй иркәмнең йыр-моңнары. [йыр, “иртеш таңнары”]	tɪ̞ŋ nʊ̞rʊ̞nt tʰɑ tʲirɪ̞bɪ̞ɫgɪ̞n tæj ɪ̞rkæmnɪ̞ŋ jʊ̞rmɯ̞ŋɫɑrɑ
таң та атты, уфылтап ҡарт йататы пасҡыц көтөп. [клара кучковская]	tɪ̞ŋtä ɑtːɯ̞ ʊfɯ̞ɫ tɑp qɑrt jɑtɑtɑ pɑsqɯ̞ts kʏ̞tɪ̞p
таңнар	tɐŋnɐr
таңнары	tɑŋlarɑ
тебет	tˈɪbˈɪt
тегеләр шыпшашып сөйләшәтеләр.	tʲigjlæɾ ʃɯpʃaʃɯp sɯpɯ nʲɛʃɑtʲɪlæːr
тегермән	tʲɪkɪ̞ɾmæn
тейеннәу	dˈojˈunnˈoʊ
теймәтегес	tiːmɛtɪgɪ̞s
тейәп	tˈɪjˈæp
теккәндә	sækˈkændæ
тел	dʒɛl
телгә	tɪ̞lgæ
теле	tɪlɪ
телебес	tɪ̞lɪ̞bæs
телебестә	tɪ̞ɾɪ̞bɪ̞stʲæ
телем	tjɛlɛm
телең	tˈɪ
телләре	tæ̹lːɛræ
телләрен	tælˈlæˈrɛn
телмәц	sɛlmɛts
телнең	tɪ̞lnæɪ̞ŋ
телтә	tɪ̞ɫtɪ̞
телтәшү	tɨlˈtʃɛʃu
теләгән	tɪlɛgæn
теләк	tsɪlk
теләнцәк	tsɪlɛntsɛk
теләу ҡыр	tælæwqɑr
темесгенү	sɛmmɛzgɛlnu
темсенү	sãn̪t̪sænˈløɾ
тепше	tsɛpsɨ
тергәйәк	tɪ̞rgæjæk
терәк	rk
теуеннəмилəр	tʏ̞nnæmæ̹lær
теш	dʒɛʃ
тешләгәле	sɪ̞ʃɪ̞ɫɛgæ̹lɪ̞
тешләре төшмәс ите ғуй “пейә” генә тисәләр! [клара кучковская]	tʲɪʃlæːrʲɪ tʏ̞ʂmæs ʲitʲɪʁoj pʏ̞jægɪ̞næ tʲisæ̹lɛr
теңел	t̪ɪŋɪl
тибенде	tïbɪ̞nðe
тибрәлгәнтәй	tibreelgantɛj
тигәле	tʲigæ̹ldæ
тигән	tʲːgɛn
тигәнтәйен	tjgɛntæjɪ̞n
тиеп	iːɛp
тиктән-тик	tiktentak
тилгәнтас	fɪlgɛntɑs
тилә	file
тиләр	fjˈlæɾ
тимесен	tʃar
тимәгән	tiːməgˈɛn
тимәйтеләр	kimˈɒjtɒdɒɾ
тип	tɪp
тиражлары	tʲiɾʊ̞ʒɫɑrɑ
тирбәләгәнкә	tʲirbælægænkæ
тире	tʲiɾe
тирмән	tʲiɾmæn
тиртунны	tʲiɾtɵnɫɑ
тиртунны айлантыра кийү	tʲirtlɯnni̠ ʊ̞jðɑn tʊ̞rɑk kɪ̞wʲɪ
тирә-йаҡ	siːrɛjɑq
тирән	tʲirɛn
тирәс шерешләп ҡуйтым.	tʲiɾæ sɪ̞rɪ̞ʃɫæp qʊ̞jtɯ̞m
тисен	tiːsˌeɪnd
тисәк	zˈɛsɛk
тойыҡ	tɑjˈq
тон	tˈɵn
тонйа	tˈoːnjˈɑ
тора	tʊ̞rɑ
торасынта	træsʌntɑ
торатығын	tʊɾatʊ̞ʁɑn
тормасын	tʊ̞rmɑsɯ̞n
тормош	toɾmuz
тормошларын	tʊ̞rmʊ̞ʂɫɑrɯ̞n
торнагүс	tʊ̞rnʊ̞agʏ̞s
торнагүс тула сасларың — синең иренең пулған. [клара кучковская]	tʊ̞rnɑgʏ̞s tuɫäsɑsɫɑrʊ̞ŋ sʲenɪ̞ŋ irʊ̞nʲɪɴ bʊ̞ɫʁɑn
торто	tɯ̞rtɑ
торғалы	tʊ̞rʁɑɫɯ̞
торған	tʊ̞rʁɑn
торғаннар	tʊ̞rʁɑnɫɑr
тотар	tʊ̞tɑr
тоғоло	tɯ̞gɑɫæ
тоғоло уй	tɐɣɐlɐue
тоғом	tɵgɵm
тоғом-йолалары	tʊ̞ɢʊ̞mjɯ̞ɫɑɫɑrʊ̞
тоғомнан	tʊ̞ɢʊ̞mnɑl
тоңмас	tʊmɑs
тубылтан	tˈubˈɪlzdˈʌn
тубылтора	tʊ̞bɯ̞ɫtɯ̞rɑh
тубылтура	tʊ̞bʊ̞ɫtʊ̞rɑ
тубыҡ	tubˈq
тубыҡай	tæbqɑːj
тугыз	tʊgəz
туйар	tʊjˈɑɾ
туйчы	kʊɪstˈˈʌjtʃˈa
туйынта	tujɪ̞ntɑ
туйға	bujˈʁa
тула	tʊɫˈɑtʊɫˈɑ
тулайы	tʊ̞ɫɑjjæ
тулайыбыста	tʊ̞ɫʊ̞jbɯ̞stæ
тулайыбыста пер себертатарлыҡ — йолаларыбыс, ҡылығыбыс, әтәтләребес, телебес.	twɫäjɯpɯ̞stɑ bɪ̞ɾ sɪ̞bɪ̞r tɑtɑrɫɯ̞ʁ jɑɫäɫärʊ̞mɯ̞ð qʊ̞ɫʊ̞ʁʊ̞mʊ̞θ ætædɫærɪ̞ bɪ̞s
тулайын	tʊ̞ɫʊ̞jɯ̞n
тулған	tʊ̞ɫʁɑn
тулғанҡа	tɵɬʁɑntqɑ
туп-тула	tubˈtɯlɑ
тупрағы	tʊprɐgɐ
тупрағына	tʊ̞pɪ̞rʊ̞ʁɯ̞nä
тупрағынта	tʊprɐgəntˈa
тупраҡ	tˈubrˈaq
тупцыҡ	tɵptsɯk
тура	tʊra
тура йул	tʊɾa jʊ̞nw
турай	toɾaiʝ
туралы	tʊ̞rɑɫːɯ̞
турлы	turɫɑ
турынта	tʊrnta
тус	tus
тус-ишкәйләребес	tʊ̞sjɪ̞ʃkæjlærɪ̞bɪ̞s
тускимә	tʊ̞skʲimæ
туслар	tʊ̞sɫɑr
тусларның	tʊ̞sɫɑrnɯ̞ŋ
тусларныңҡы	tʊ̞sɫɑrnʊ̞nqæ
тусларым	tʊ̞sɫɑrʊ̞m
туслаштыҡ	tʊ̞swɑʃtɯ̞q
тусҡасан	tʊ̞sqɑsɑn
туған	tuːræn
туғаннар	tʊ̞ʁɑnbɑr
туғаннары	tʊ̞ʁɑnɑrɑ
туғаннарын	tuːgɑnmɑrˈrɯn
туғаннарыңта	tojɑnnɑɾɯ̞ŋtɑ
туғансын	duʁɑnsɯn
туғанцы	tuʁɑntsɯ
туғыртлар	tʊ̞ʁɯ̞rtɫɑr
туҡсан	tˈuˈksɑn
туҡтау	tɵktɑwˈħɑ
тын	sɯ̞n
тын алу	tɨlɲalu
тыумышы	tɔmɑʃɛ
тыуған	tʊ̞uɣɑn
тышта йегетләр тораты, ҡыцҡырып кәпләйтеләр. [клара кучковская]	tʊ̞ʂtä jɪ̞gɪ̞tjɪlær tʊ̞rɑtɯ̞ qɯ̞ns qɪ̞rʊ̞p kæpɫæjtjɪlɛr
тығыслыҡ	sʊ̞ʁʊ̞sɫɑq
тың	tɯ̞ŋ
тыңлатым	tɯ̞ŋɫɑtɯ̞m
тыңнатылар	ɯ̞ŋɫɑtɯ̞ɫɑr
түбә	tʏbɛ
түгел	tˈuːgəl
түре	tʏrɛ
түшкәле	tʏ̞ʂkæ̹ldi
тә	sɛ
тәбәй	tsɛbei
тәбәшәк	bɛsɛk
тәгирмән	teciɾmɛn
тәлеү	tɛlɛʋ
тәлилләп	tɑlɪlˈlɑp
тәлә	tɛlˈɛ
тәннәр	ðɛnlɛr
тәпкин	tɕɛpkʲin
тәпше	sɛpszɛ
тәрлек	tɛrlik
тәрәс	tɛres
тәңзәлү	dˌaɪnzˈɛlˈʌ
тәүләткән	tˈoːɹoʊtˈɛkˈkeɪn
төгөрмәй	tʲɪgɪ̞rmæj
төгөрмәй утыр, ысбайы эцең.	tʏ̞gʲɪrmæ̹ iʋɪ̞tʲɪr ɑθpɑj jæʲɪɪ̞psʲɪɴ
төлкө урта	tʏ̞lkʏ̞ urtːä
төмән	tømˈɛl
төмәнкә	tʃiːdmɪnˈke
төмәннән	ðømænðen
төн	tˈøn
төннә йоҡламаған мамай йоҡлайты иссес китеп. [клара кучковская]	tɪ̞nːæ jɯ̞qɫɑ mɑʁɑn mɑmɑj jɯ̞qɫɑj tɑ ʲiθsɪ̞s kʲitɪ̞p
төньята	tɛnˈjata
төнҡойоҡ	tɪ̞nqɯ̞jɯ̞q
төпкәцә	tʃɵpkɛtsɛ
төпцөк	tˈɛptsˈɛk
төс	ʃa
төсәрем	tˈɪsˈɛɹɪm
төсөгәле	tʏ̞sʏ̞gæ̹lʏ̞
төсөлгән	tʃtʃɪlgæn
төтөн	tɛtɛn
төште	ðəsdeɾ
төштә	tsɯʃtɛ
төшү	tɛsʁy
төшөрөп	ʃʲɛʂɛrɛt
уағай	waːjiː
уағайтан	vozɑjtan
уаҡыт	wɑqɯ̞t
уаҡыт йетсә, шыбырып ала ҡуйатек пецәнне.	wɑqɯ̞t ɪ̞tsæ ʃʊ̞bɯ̞r bɑɫɑ kʏjɑtɪ̞k pʲiθænnɪ̞
уаҡыт йитәр, мин сиңа ҡырыҡ ҡыс төсәрем, перен олғап алырсың.	wɑqɯ̞t ɪ̞tær mʲen si̠ɢɛ qɯ̞rɑq qʊ̞st ɪ̞særɪ̞m bɪ̞rʲɪn uɫʁɑ bɑɫɯ̞rsʊ̞ŋ
уаҡытта	wɑqɯ̞tːɑ
уаҡытҡа	qɯ̞uɑqɯ̞tqä
уаңғы	qoŋɢa
уаңҡы	wɑŋqɯ̞
уба	uba
убаларға	ɫpɑɫɑrʁɑ
убаларға цығыуларым көлсирин өцөн кенә. [йыр, “иртеш таңнары”]	u bɑɫärʁɑ sɯ̞ʁɑuɫɑrɑm kɪ̞ɫ sʲirɪ̞jɴ ɪ̞tsæn kɪ̞næ
убаул	ubɑoɫ
убауыл	ubɑuɯ̞ɫ
убауыллар	ubɑβɯ̞ðɫɑr
убауылта	ubɑɫtɑ
убауылтан	uboɫtɑn
убауылғаца	ubɑuənʁɑtsɑ
убылдыҡ	ubʊ̞ɫtɯ̞q
уйанам	jɑɫnɑm
уйгашлыҡ	jʊ̞jʁäʂɫɯ̞q
уйлайым	jɯɫaim
уйлап	ujlap
уйларынта	ojɫɑruntɑ
уйлатыҡ	wjɫätɯ̞k
уйлаған	ojlaɣan
уйнағалы	ojnɑʁɑla
уйта	tɔ
уйын	ujæn
ул	ʊ̞ɫ
ул йаҡның халғы айырыт.	oɫ jɑkmɯ̞ŋ χɑɫʊ̞ ɑjɯ̞rɯ̞t
ул минем аҡам пулаты.	oɫ mʲinɪ̞mæqɑn pʊ̞ɫɑtɯ̞
ул пала ағацта аташып.	oɫ pɑɫɑ ɑʁɑtsɯ̞ tɑ ɑtɑʂɯ̞p
ул сүсләрне ишетте тә туҡсанҡа йеткән күрше... [клара кучковская]	oɫ sʏ̞slɛrnɪ̞ ʲiʂɪ̞tːʲɪ tɛ tʊ̞qʂänqɑ ɪ̞tkæn kʏ̞rʂɪ̞
улы	ula
улыс	ɫæs
улысның	qwɯ̞rsʊ̞nɑŋ
улысныңҡы	wɫɯ̞snɯ̞ʁqɑ
улыста	ʊ̞rɯ̞stɑ
умар	umaɾ
умпы	umpɐ
ун	n
ун гөн алғыры пулдым.	un dɪ̞n ɑɫʁɯ̞rɯ̞p poɫdɯ̞m
ундүрт	undʏrt
урал	urɑl
урал йағы тау йағы ла, себер йағы мал йағы. [йыр, “себер йағы”]	urɑɫ jɑːɢɯ̞ tɑw jɑːgɯ̞ ɫæ sɪ̞bɪ̞ɾ jɑːɢɯ̞ mɑɫjɑʁɯ̞
уралларға	wrɑɫɑrʁɑ
уралларға пармас итем — тусларның тыуған йағы. [йыр, “себер йағы”]	urɑɫɑrʁä pärmäθ ʲetæm tusɫärnɯ̞ŋ tɯ̞wʁɑn jɑʁɯ̞
уралған	wrɑɫʁæn
урман	urman
урманбаш	wrmɑnbäʂ
урманнарта искән, әй, йелләртән йапраҡ ҡына төшәр өсөлөп.	qurmɑnlɑrtɑj sɛn æjjillɛr tɛŋ jɑprɑq qɯ̞nɑ tʏ̞ʃær ʏ̞ʃʏ̞lʏ̞p
урманныҡ	ʊ̞rmɑnɫɯ̞q
урманын	urmɑnɑn
урнашҡан	pʊ̞rnɑʂqɑn
урнына	uɾnɑlɑ
урынтыҡҡа	urntɯ̞qqɑ
урыс паш	ʊɾus pɑʂ
урыс ҡуыл	ʊ̞rɯ̞sqwɯ̞ɫ
урысца-себертатарца	uraztsasɛbærtatɑrtsa
усман	ʊ̞smɑn
усылған	tɾʊ̞ɫʁän
утаба	ɔtɑba
утарца	ʊtɑrtsɑ
утын	qut̪ɑn
утын айау түгел, мин муйцатан ойалам.	utɯ̞ŋä jɑw tɪ̞wgɪ̞l mʲen mujθɑtɑn jɑɫɑm
утынҡа	pʊ̞tʊ̞nqɑ
утыр	pʊ̞tɪ̞ɾ
утырғаннар	ʊ̞tɯ̞rʁɑnnar
утыс	lt̪ɯ̞s
уцағайаҡ	ɵtsɑʁɑjɑk
уцҡашу	ɵtsʃɵɬ
уштамаҡ	ʊ̞ʃtɑmɑq
уғымайыр	oɢɯ̞mɑjɯ̞r
уғыты	ʊ̞ʁɑtːɑ
уғыған	ʊɣɪzæn
уҡшыну	qʃɯ̞nɯ̞w
уңайсыслыҡ	ʊ̞ŋɑjsɯ̞sɫɯ̞q
уәчир	vɒtʃiɾ
филология	fjlovɔʒiɐ
фуфайканы	poftæjpli
фәрид	hˈɾid
фәүсийә	ɾɛusijæ
халғы	χɑlʁɑ
хан	xɔn
ханаул	χɑnɑoɫ
хараб	χæɾæb
хатынына	χɑtɯ̞nɯ̞nɑ
хуҗалайн	χʊ̞ʒɑɫlajɯn
цагыпты	tɑʁɯ̞ptæ
цай	sajt
цай шеңкән	zɾaɪʃənkən
цай эцкәле	tɒjtsʃ eˈlɒ
цайлар	ɑjɫɑr
цала-бола	sɑɫɑbɯ̞ɫɑ
цалғадан	sɑɫgɑdɑn
цана	sɑnɑ
цапты ҡортҡайаҡ күршегә, ҡыцҡыраты ашығып. [клара кучковская]	tɑptʊ̞ qɯ̞rtqɑjɑ kʏrθɪ̞gɛ qɯ̞tsɯ̞qɯ̞rɑ tɑ ɑʂɯ̞ʁɯ̞p
цапҡын	tɕɑpqɑn
цапҡыц	sɑpqɯ̞ts
цара	tsɑrɑ
цауыллы	sɑuɯ̞ɫdɑ
цауыллы утрау	tsɑuɯ̞ɫnɯ̞wɯ̞trau̯
цац	sat
цацтырығын	tsɑtsɯ̞rʁɯ̞n
цацҡыц	sɑgɯzqɨlt
цағыратылар	ɑqratɯ̞ɫɑr
цағырту	sɑɢɑrtuː
цаҡлары	tsɑqɫɑrɑ
цаңғылцаҡ	sɑŋgɯzɑq
цебегитәк	tsebegitɛk
цебецкә	tsɪbɪtskæ
цейә	tsʰiːjɛ
целек	ˈsilɪk
цемецке	tsɛmɛtskɛ
цергәй	sɛrˈgɛj
церек	sɛɾɯk
церек күпер	ɪ̞rɪ̞k kʏpær
церетмә	sɪ̞rɪ̞tmæ
цидиркәү	tʃitɪrkew
цийә	sˈiːə
цикец	sikːets
цимке	tsʲimkɪ̞
цинисә	tsiːniːsɛ
циттән	sətˈɛ̃d
цитәк	sipˌek
цицата	tsiːtlɑta
цицебаба	tsitsɛbaba
цицегәй	sinsege
цицәк	tsitsˈɛk
цицән	sitsˈɛn
цишнәк	sʃiʃnæk
цобар	tsobar
цом	tsɔm
цоғын	sɯ̞ʁɯ̞n
цубалту	sobɔltu
цубацаҡ	sʊ̞bäθhɑq
цури	tsʊrˈiː
цуцҡа	tɕltqɑ
цуцҡун	tɵtquŋ
цыбыртҡы	sʊ̞bɯ̞rtqæ
цыбыҡлартан	tʊ̞bɯ̞qɫɑrtːän
цыйлмаған	tsɯ̞jɯ̞ɫmɑʁɑn
цыйған	tsʰig̊ən
цым	sm
цымцу	tsɤŋtsu
цын	tsən
цыратҡалы	sɯ̞rätqɑɫɯ̞
цыраҡ	tsɾq
цыуы	tsɔ
цығарыпты	sɑgɑrɑːbsə
цығарған	sʊ̞ʁärʁɑn
цығыу	tsɯ̞ʁɯ̞wˈ
цығыуларым	tsɯ̞ʁɯ̞wɫɑrɯ̞m
цығыш	sɯ̞ʁɯ̞ʂ
цығышыбыс	sɑɢɑʃˈɑbɯ̞z
цыҡты	tɪktɪ̞
цыҡҡан	tɑqqən
цүбәк	tsybˈɛk
цүмец	tsʏmɛt
цүмәк	tsymek
цүңкер	tɕʏ̞nkɛr
цәгәлтәк	sˈɛgəltˈɛk
цәйнәгәле	sæjnægælɛ
цәлгенцәк	tsɛlɛkɛntsɛkk˥
цәркә	tsɛrkæ
цәрәттәге	sɪ̞rɛtːɛgɪ̞
цәтә	tsɛte
цәци	tsɛtsi
цәци мама	tsɛtsɪ mɔmɑ
цәци паба	tsɛtsi paba
цәцибаба	tsɛtsɪbaːbaː
цәцинә	tsɛtsinɛ
цәцә	tsɛtsɛ
цәцәкә	tsɛtsɛkɛ
цәңгелцәк	sæŋgəlsæk
цөрите	tsɔrˈitɪ
цөрү	tsɪrˈu
цөцө	tsɛtsɛ
чагылмаҡ	tʃɑʁɯ̞ɫmɑq
чалто	tʃɑltɔ
чалча	tʃɑltʃɑ
чамбар	tʃɑmbɑr
чаҡта	kʲɑqtʊ̞
чийә	kiːjæ
чиленчә	tɕi˥˧lɤŋ˧˥tɕʰjɛ˧˥
чиләбе	ki̠ɫæbæ
чипкиш	tʲipkɪ̞ʃ
чистай патраҡ паллары тип ылғап алтылар.	tʃiʃ tɑj pɑtɯ̞rɑq pɑɫlɑrɯ̞ tïip ɑɫʁɑ pɑɫzɯ̞lɑr
чичән	tʃitʃɛn
чорналы	tʃɯ̞rnaɫɯ̞
чумыҡ	tʃomq
чүплекүл	ʃyplɛkˈøːn
чәлбен	tʃɛlbɪ̞n
ша	ʃtɑ
шабаласы	ʃɑbɑɫɑsɯ̞
шайларта	ʂɑjlɑrtɑ
шал заготовительлартан шәлләтек танабысны. [клара кучковская]	ʃʊ̞ɫ zʊ̞gʊ̞tɑvʲitɪ̞ɫːɑr tɑn ʃæ̹lɫɛ tɪ̞k tɑnɑpʊ̞sɯ̞nɯ̞
шал көннән мин кел уйлайым — анта ник сес киттегес? [клара кучковская]	ʃɑɐkɛnlɛn mʲen pæ̝ːl ujðɑjɯm ɑŋtɑj mʲiksɛs kʲitːægɪ̞ð
шалар	ʃɑɫɑr
шалар арасынта минең сопрам — тупрағынта песнең себернең. [булат сөләйманов]	ʂɑɫɑr ɑrɑsɯ̞ntɑ mʲenɪ̞ŋ sɑpɯ̞rɑm tʊ̞pɾɑʁʊ̞n tɑpɪ̞sɪ̞nɛŋ sɛbɪ̞rɛnæk
шантай	ʃɑntɑj
шантай матур иш-тусларны күралматыҡ төштә тә. [йыр, “айрылу”]	ʂɑn tæjmæθur i̠ʂ tusɫɑrnɯ̞ kʏræɫmɑtɯ̞q tʏ̞ʂtætæ
шанылтау	ʃanɔ̃ttau
шапыҡ	ʃɑpɯ̞q
шатан	ʃˈɑtɑn
шаушау	ʃˈoːʃˈoː
шағыр	ʃoqɯ̞r
шеш палыҡ	ʂɪ̞ʂpɑɫɯ̞q
шикелле	ʃɪ̞kæ̹ldæ
шикәр гөле	ʃiːkær gʏlæ
шимнең үсе шим түгел, туны шим.	ʃʲimnʲɪɴ ʏsæʂɪ̞n tʏ̞gæ̹l tunɑ ʃʲim
шимшү	ʃiːm˥˩spʰɪː˧˥
шимәкцем — ошаҡ йөртәтегән пицә пулаты.	ʂʲimæksɪ̞m ɑʂɑq jʊ̞rtæ tɪ̞gɪ̞n bʲitsæ pɫɑtɯ̞
шиғер-проза	siɣaɾproza
шиғерен	sʲiɣɛrɪ̞n
шиғерләр	ʃiʁɪ̞rɫær
шиғрий	ʃagɾe̞i
шола	ʃɯ̞ɫɑ
шыбан	ʂʰɛbɑn
шыбаҡ	ʂɑbɑq
шыбаң	ʃɑbɑŋ
шыбыртҡы	ʃɒbɒɾtqɒ
шыбыртҡы ишү	ʂɑbɯ̞rtqʊ̞ jɪ̞ʃɪ̞w
шыбыру	ʃabru
шыбырылайыҡ	ʂɯ̞bɯ̞rɯ̞ɫɑjɯ̞q
шыбырылу	ʃɐbrɫɔu̯
шыбырылып	ʃɯ̞brɯ̞ɫɯ̞p
шыбырып	ʃbɐrap
шыйбаңлап	ʃɪjbɑŋɫæp
шыйбаңлап йөрү	ʂɪ̞bɑŋɫɑp jɪ̞rʏ̞
шыйбаңнап	ʃɪbɑɫnap
шыйбаңнау	ʃɛ̀i̯bɑŋlauʁ
шылбыҡ	ʂɯ̞ɫbɑq
шылыҡ-мылыҡ	ʂɯ̞ɫɯ̞qnʊ̞ɫɯ̞q
шыр	ʃɯ̞r
шырцай	ʃɛrtsɑj
шытый	ʃatˈa
шытыр	ʃɔtɛr
шытырмыц	ʃɐtɯ̞rmɑʈs
шығай	ʃɣaːli
шығай тумар	ʃɯ̞ʁɑj tʊ̞mɑr
шығайдан	ʃɢajdɑn
шығыр	ʃgʊ̞r
шығыр арасынта чийә йыйыштырып йөрисең.	ʃɯ̞ʁɯ̞r ɑrɑsɯ̞ntsɑ tʲeðæ jɯ̞jɯ̞r sɯ̞rɑp jʏɾʏ̞jsæng
шыҡ	ʃɯ̞q
шыҡлау	ʂɯ̞qɫɑuɯ̞
шыҡча	ʃɑqtʃæ
шүләкәтсес	ʃyɾɛkɛtsiz
шүмшек	sʏ̞mːsɛk
