a	aɾ
zordan	zordɒn
zordar	zɔɾˈdɑɾ
zoxasalan	zɔxɑsɑːlɑːm
zugurd	zukr
zugurdî	sˈˈugˈudˈi
zuhre	zʊ̞hɾʊ̞
zurbe	zubɑ
zurezur	zurɑzur
zêde	zəda
zêdebûn	zˈɛdəbˌun
zêdekarî	zjdkaːri
zêdeyî	zɛjˈdeːi
zêdikan	zidɪkɑn
zêdkan	zidkɑːn
zêfan	zˈɛfˈɑnd
zêhabûn	zˈɪħɑːbun
zêlî	zˈli
zên	ze̞n
zêr	zˈeɪɹ
zêrevan	zˈeɪɾɑvˈɑn
zêrgul	zrgul
zêrin	zɪrɪ̞n
zêringer	zɛrɯngar
zêringerî	zirɾngri
zêrker	zirkar
zêrr	zˈɛɹ
zêrîn	zˈɾˈin
zêwê	zˈewˈe
zêç	zˈidʒ
zî	zˈi
zîbal	ziːbɑt
zîbeq	zˈiːbɔb
zîft	zˈiːft
zîl	zˈil
zîlik	ziːlik
zîmkirin	zimkɪ̞rʊ̞n
zîn kirin	ziːnfæˈrʲɪn
zînde	zˈiŋdɐ
zînê	ziːne
zîper	sˈipəʒ
zîpik	zepˈuk
zîpke	zˈikː
zîq	ziːq
zîqndin	qɯ̞ndɯ̞m
zîqên	ziːqˈin
zîqîn	ziːqjˈn
zîre	zˈiːɾə
zîrehpûş	zˈiːrɑːpˈʊʃ
zîrek	zˈiːrək
zîrekî	zˈiɹɐkˈi
zîrepûzîrevan	zirɛpo˥˩ːziɾɛvɑn
zîro	zˈiɾo
zîtik	zitæk
zîtikdan	zitɔktaːn
zîtirk	zˈitɾˈk
zîv kirin	zʲiv kɪ̞rɪ̞m
zîvirîn	zˈivriːn
zîvker	zjifkaɾ
zîvkerî	zjˈbkæˈri
zîvî	zjivi
zîvîn	zivin
zîwan	ziːbɑn
zîwandin	zivɒndˈin
zîwarî	ziuaɾi
zîwer	zjwər
zîwîn	zjɔˈin
zîxan	zæiːkæm
zîyan	zˈiːɒːm
zîz	zˈiz
zîzani	zizane
zîzî	zizi
zîçik	zitʃɯc
zîçirk	zitʃərk
zû	zˈu
zûka	zˈuka
zûlan	zæulɒːn
zûlandin	zuːlandɯn
zûmend	zulmɒnˈdi
zûrzûna	zɔrzona
zûrçik	zuɾtʃɯk
zûrîn	zˈʊˈɾiːn
zûtir	zutɾ
ça	tʃa
çadir	tʃadɯr
çak	tʃak
çal	dʒˈɑl
çalak	tʃaːlaq
çalakî	tʃɑlɑkiː
çand	tʃant
çandî	tʃɑndi
çapemenî	tʃɑtmɛni
çaqrût	tʃaqruːt
çar	tʃar
çardeh	tʃɑɾdɑ
çaregkî	kɑːɾkkiː
çarekan	tʃarɛkaːn
çargavî	tʃargɑːvjiː
çargavî çûn	tʃɑr gɑː wi tʃʰon
çargoh	tʃargo
çarik	tʃɑɾɯk
çarox	ʃɑːrɑx
çarşef	kɒɾʃev
çarşem	tʃɑɾʃɯm
çarşî	tʃɑːrʃiː
çav	dʒɑːv
çav kirin	tʃɑf qiˈɾim
çavank	tʃavak
çavbeq	tʃaːsdak
çavbikil	tʃɑːrbkɦl
çavgirtîka	tʃaːfgərtika
çavkesk	tʃaːvke̞sk
çavkesper	tʃɑfqɑspɾ
çavkor	tʃau̯kuɾ
çavreş	tʃɑːvɾeʃ
çavrijehayî	tʃaːblaxɑhɑj
çavteng	tʃaftak
çavtêrnebûyî	tʃaftʃortnesʃˈbue
çavxezal	tʃɑːbqɑjˈzɑlɑl
çavzeytûn	ʃɑːbzæniːtævæm
çavîlke	tʃɑvɪltɛ
çavînk	tʃa˥˩ːnk
çavşîn	tʃʰaːbʃin
çavşûjin	tʃarftʃɛŋ
çawa	tsʲo
çawan	tsavan
çawîş	saauiʃ
çaydan	tʃɑjdɑm
çaçan	tʃatʃan
çaçanî	tʃɑtʃɑːniː
çekdar	tʃɛkːdaːr
çekya	tʃakija
çekî	tʃakʃ
çend	ʃɒnt
çendan	sendøɢøz
çendî	tʃɛnˈdiː
çepel	ʃɑpɑn
çer	tʃɛr
çerx	tʃarɯχ
çetîn	tʃatːiːn
çewal	ʃɔɑd
çewlik	tʃɛulɪ̞k
çeçen	tʃɑtʃɑn
çeçenya	tʃɛtʃɛnjɐ
çeçenî	tʃetʃeˈniː
çi	tɕʰe˥˩
çi dibe bila bibe	tʃɪ dɪ bɛj bɪlɑ bɪbɪ
çilane	dʒlɑːnɑ
çile	tʃɪlˈlɑ
çill	tʃæl
çilmisandin	tʃɪlmisɑndɯm
çilmisîn	tʃɛlmɪsˈin
çilo	tʃʰlʊ
çilwilîn	tʃlwlin
çilxûr	tʃlχoːr
çilçira	tʃɛrɛtʃɛ
çilêçilê	tʃɔlɛjːʃɔlɛjː
çima	tʃɛmmo
çima na?	tʃɪman
çimamk	ʃˈmɑn
çinar	tʃɛnaːr
çiqas	tʃiːzæs
çire	tʃɔro
çirûsk	tʃrʊːsk
çivte	tʃɪftɛ
ço	ʈʂu˥˩
çok	tʃok
çol	tʃon
çoman	ʃæmɑn
çonî	tʃo˩˥ːni˥˩
çopî	tʃu˥˩pi˥˩
çoçik	tʃoːˈtʃɯk
çêlek	ʃɛjlæk
çêlîk	tʃɛʁlik
çêlîkew	tʃelɨkɨ˧ːʊ
çêtirîn	tʃɛːtɛɾiːn
çîksayî	kikːsaːiː
çîlan	ʃiːlɒn
çîqe	tʃikːaː
çîr	tʃiːv
çîrok	ɟːiɾɔk
çîrt	tʃiːrd
çîyayê agirî	tʃiˈjajˈeˈɦaːgri
çîçeka şevê	tʃi tʃakaːsʃ ʃavɛ
çûk	ʒˈug
çûn	tʃuː
çûçika	tʃutʃka
êl	ɛːl
êrîş	ˈeːɾiːʃ
êrîşker	erɪʃkɑr
êvar	iːvɑɾ
êzing	iziz
êzîdî	ɛːˈziːdiː
êş	eʃ
êşîn	eʃi
îdir	iːɯdɯɾ
îlam	iːlaːm
îlon	iːlon
în	iːɛ
încêlor	inˈdʒelɔr
încîlnas	indʒiːnˈnoːs
înformatîk	ɪnfɔrmɑtik
îran	iːɾɒːn
îro	ˈiɾu
îsa	ase
îskan	izkom
îslam	ɪslɑm
îsot	isot
îstîfa	istifˈa
îşk	iːʃk
öcalan	ɔɪɟɔɑlɑn
ûnex	uːnˈɒh
ûr	uɾ
ûr û bizûr	uːr uː bəzuːr
ûranus	uhɾɑnɯz
ûrbirçî	urβurtʃi
ûrmîye	ɔrmija
ûşî	ʊsˈi
şabakî	ʃɑbɑkiː
şabaşî	ʃæbɑːʃiː
şabûnî	ʃɑːbunˈi
şadan	ʃɑːdɑːn
şadiman	ʃɑːdˈmɑn
şafi'î	ʃafæin
şagird	ʃagirt
şahid	ʃɑːhæd
şal	ʃɒːn
şam	ʃɑm
şandin	ʃandɯm
şanepesend	ʃɑːnpɒsænd
şano	ʃɑːnʊ
şanzdeh	ʃɒnˈzdɒ
şaperî	ʃɑːpˈri
şar	ʃɑːr
şara	ʃɑːɾɑː
şaran	ʃɑːrɑːn
şare	ʃɑːrɑ
şariya	ʃɑːriːjɑː
şarê	ʃɑːreː
şaver	ʃɑːvɑt
şax	ʃɑːx
şaxor	ʃɑːχoːr
şaxora çiyê	ʃɑːχɔɾɑː tʃeje
şaxê	ʃɑːxʰeʔ
şaxûr	ʃɑːxuːr
şayîk	ʃɑːk
şazdeh	ʃɒzˈdɒ
şaşik	ʃaːʃɯc
şaşîtî	ʃaːʃiːti
şe	ʃɛ
şebeş	ʃabɑʃ
şehmar	ʃɛːmɑːr
şehmîran	ʃahmiːraːn
şeht	fˈa
şekal	ʃɐkɐl
şekir	ʃækɪ̞r
şelgemîn	salɣ̞aminʝ
şelpî kirin	ʃælbʲigɪ̞rɪ̞n
şelwar	ʃluaɾ
şemaq	ʃamˈɑ
şemlê	ʃɛmlɛ
şemmî	ʃamiː
şemopiv	ʃamopo
şemrex	ʃɛmrɑh
şemsê	ʃanˈse
şepol	ʃapɔl
şeqam	ʃɑqɑn
şeqitandin	ʃɑqɯtɑndɯn
şeqitîn	ʃˈɑqtˈin
şeqle şıkesti	ʃqlʃ gæstiː
şer	ʃɑːr
şerab	ʃæˈrɑb
şermezar	ʃæɾmzɑr
şermezar kirin	ʃɛrmɛzɑr kɪ̞rɪ̞n
şermî	sʲærmi
şerr	ʃɑɾ
şerê	ʃaˈre
şerîet	ʃæriːʔat
şetomîz	ʃætˈomis
şevnem	ʃɛvnæm
şevîn	kseβin
şevşevok	ʃafʃavog
şewciwan	ʃoʒuːˈwan
şewitandin	ʃɛwutaːmdin
şewqvedan	ʃoqgəˈdɑːn
şewrandin	ʃæʏrɑntɯ̞n
şeyda	ʃæiːdɑ
şeypor	ʃe̞jpɔr
şeş	ʃæs
şibake	ʃˈbɑkɑ
şijing	ʃiʒɪŋ
şik	ʃɯk
şikeft	ʃɛkˈaf�ɛt
şikeva	ʃɛkɐʋa
şikrî	ʃakri
şil	ʃæl
şil kirin	ʂɪ̞lkɪ̞rʲɪm
şilêr	ʃɛˈleːr
şilêra	ʃleˈra
şilî	ʃˈeːli
şima	kə
şimsat	ʃɛmsat
şimzê	ʃɛmze
şino	ʃɛlɔ
şirnex	ʃɾnkh
şirrîn	ʃɾiːn
şirîk	ʃɾiːd
şixul	ʃuʁʁl
şixulandin	ʃuʁˈilɒndim
şixulîn	ʃɔ̞lɪn
şiyan	ʃijan
şole	ʃuːla
şoqil	ʃoːql
şoqilê mara	ʃoːqli mɑːrɑ
şor	ʃoːr
şorbe	ʃorba
şorbeşîr	ʃoɾbæʃiːr
şoreş	ʃoɾɑʃ
şov	ʃov
şoxan	ʃoːxɑn
şoxê	ʃo˥˩xe˥˩
şoş	sau̯s
şrapnel	ʃɾætnæl
şwit	ʃuʁɛt
şwîr	ʃɔbˈir
şêlik	ʃeːlik
şêlî	ʃeːliː
şêngeh	ʃiːngæ
şêr	ʃɪɹ
şêrgul	ʃɪ̞rgʏl
şêrîn	ʃɛːˈrin
şêrîvan	ʃˈɛːɾˈivɑn
şêst	ʃɛst
şêveder	ʃeːbadɑr
şêwra	ʃiuːˈra
şêwran	ʃɔːɾɑːn
şêwrete	ʃɛːvˈrˈta
şêx	ʃˈɛx
şêx bizinkî	ʃiːx bəˈzɪnki
şîlan	ʃiːæn
şîlo	ʃiːˈo
şîna	ʃiːnɑ
şîngul	ʃiːnguːl
şînî	ʃiːni
şîr	ʃiː
şîrê tirş	siːrɪtːɐrʃ
şîrêt	ʃiːɾet
şîrînaxêv	ʃiːrinɑːxɪl
şîrînnaz	ʃiːrʲinˈnɑs
şîv	ʃiːv
şîyar	ʃɪːˈɑːr
şûjin	ʃuʒɒˈn
şûn	ʃun
şûr	ʃuːr
şûşar	ʃoːʃaːr
şûştin	ʃuʃtɯm
ئاخر	ɑxɪb
ئاخره ت	ɑːxiːɾɑːt
ئازاد	ɑːzɑːd
ئازادی	ɑːzɑːdiː
ئاماده‌	ɑːmɑːdɑ
ئاماده‌بوون	ɑːmɑːdˈbun
ئاو	əv
ئاگادار	aːgaːdɑːr
ئه وه ل	awal
ئه‌مریكا	ameriːkːa
ئه‌نجام	adʒɒːm
ئه‌نجومه‌ن	ʔɛnˈdʒuːmæn
ئه‌ندام	ɛndɑːm
ئۆل	ɑɔːl
ئێراق	ɾɒːq
با	dˈaɪ
باخەمس	bafɾəns
بار	bɑːr
بازرگان	bazɛrˈgɑn
بازرگانی	bazrgaːni
باش	bosɛ
باکور	akur
باڵاش	balɑʃ
به	bɛ
به له ی	balɛ
به‌غدا	bæɣˈdɑ
به‌ڕێوه‌به‌ر	beːruːbər
بڕیار	bɪrjɑːr
بیمزه	beːmɛzˈɑ
بەفر	bˈɛrf
بەنگی	benji
ته به قه	tˈabaka
جان	dʒˈɑn
جه‌زائیر	ɟoːzɑːjɾ
جێگر	gegar
حسەینی	ħɑsˈnːi
حكومه‌ت	ħakumat
حه وش	aʊs
خان	xɑm
خاڵ	xɑːl
خه‌لک	xælk
خه‌ڵك	xɛl
خوێندكار	xuːndakaːr
خوێندن	χwændim
خۆش	xuʃ
دا	dˈɑ
دان	dˈaɪn
دایک	dˈɑj
دنیا	dˈʌnjˈa
ده‌ربار	drbaːr
ده‌ست	dæst
ده‌ستپێک	dastpli
دیمه‌ن	diːmæn
دیموكراسی	dokrasi
دەرێجا	berˈidʒa
دەهل	daħæ
راپه‌ڕین	raːpæɾiːn
رووسیا	rˈusja
رۆژهه‌ڵاتی	rʊʃɦlɑt̪ɪ
زانستی	zɑːnestiː
زمان	zæmɑn
زۆر	zˈuɾ
سازکردن	sakrdin
سازکرن	saːzgɾˈn
سال	fˈsˈɑl
ساڵ	sɒl
ستون	satˈun
سلێمانێ	sælæmaːniː
سه‌رباز	srbɒz
سوار	soɣɑr
سوومەر	sumar
شار	ʃɑːr
شانازی	ʃɑːnɑːziː
شاندێ	ʃɑːndi
شێواز	ʃiːwˈɑz
عراق	ɪrɑːq
قالی	qɑːliː
كار	kɑːr
كارگه‌ه	kärgˈɛ
كه‌ركوك	kərkuk
كه‌ركووك	kɑrkʊk
كورد	qirˈd
له‌	læ
ماده‌	maːda
ماس	mos
ملاك	malak
من	man
مهر	mˈeːr
مه‌لا	maːlɑ
نزیك	nˈɛˈʃiːk
نه هار	nɑhɑr
نه‌مر	nɛˈmɪr
نێچیرڤان	ne̞jtʃiːrævɒːn
هه‌ر	hær
هه‌رێم	ħærim
هه‌شت	hæʃt
هه‌لبژارده	halbʒaːrda
هه‌موو	amɛ
هه‌ڵبژاردن	hlbɪdʒardin
هه‌ڵه‌بجه‌	ħɑdɑqtʃɑ
هونه‌ر	ɦɵnɑr
هونه‌ری	ɦʊnˈɑriː
هیچ	hiːtʃ
هێز	hˈiz
و	vˈoː
وه‌زاره‌ت	ɒːzɑːɾe̞t
وه‌زیر	uːziːr
وه‌ك	wak
ویشی	oiʃi
وێنه	viːnɛ
وێژه‌	aʒe
په نجه ره	penˈdʒera
په‌رله‌مان	pɑrlɑmɑn
په‌روه‌رده‌	arordʊ
پێشنیاز	pˈeʃniːzˌz
پێشوازی	pʃoɑːzi
پێنج	peinʃ
چاپ	tʃɒp
چاڵچاڵۆک	tʃaːltʃalˈuːk
چه‌كدار	tʃaktar
چوون	tʃuːn
ژماره‌	ʒumara
کتێب	kɪtiɪ̞r
که ر	kæɾ
کو	kɯ̞
کورد	qurd
کوڕ	kør
گشت	gɛʃt
گفتوگۆ	gˈaftˈugˈaf
گه‌رم	gərn
گه‌ل	gæl
گووهێر	gohːəɾ
یه‌كه‌م	jækæm
‌هێز	hˈiz
