't	tʰtʰtʰtʰ
to enn maken	tʃiːzi nˈnəm ʃɛst
to fecaliën segg wi ok schiet.	tʃiːzi fiːkɑːɪhæe̞n zækˈliː ɑpˈʃiːd
to gefallen sien	ʃˈoːn gəfˈalən fˈyːrən
to glieke tiet	tøklik etʃit
to hand gahn	tʃɔ hænd kon
to hart nehmen	tˈo hˈɑɹdneɪm
to harten nehmen	tsˈo hˈaɪrnˌeɪm
to kleed rücken	tˈuː klˈaɪt rˈʏkən
to lieke tiet	tˈo lˈɪkˌeɪtɪd
to rechte tiet	tʃiː tʃtˈiːt
to veel kriegen	tˈuː fˈɛːlkɾiːgən
to weten doon	tʃiːzi tʃiːˈɑːn
to willen	tʃi
toafel	tˈɔfəl
tobacken	tsʲau̯pak
tobben	tˈɔpən
tobottern	tʂauporan
tobroot	tɛldɾɔd
tobünneln	tɛupənnɔən
tochtdeert	tɔxdɜt
todaat	tˈɛldˈɑɹtˈ
todaden	tɛdaːn
todecken	tʃau̯dɛkŋ
todegen	tɛl˨gɛn˧
todeken	tˈoːtətən
todelen	tʃuːb˨˩˦biː˧˧an˥˧
todonern	tʃo˥˩dʒo˥˩n˩˩˦am˥˩
todoon	tʃaːldˢoːn
todregen	tʃˌaˈʊtɾaɪkən
todrääglich	tˈɪmtrˈɛçlɪç
todräägsch	tˈoːgɾˈeːks
toeerst	kio
tofall	tʃiwfal
toflucht	tˈɛlˈflˈoːxt
tofreden	toɾfɾənd
tofreden geven	tˈuː frˈeːdən gˈeːvən
tofäll	t̪eu̯fel
tofällig	tˈɛʊfˌaɪlˌɪç
tog	tʃaːx
togahn	tɕou˥˧kɑːn˥˥
togang	tʃoˈgɑn
togangen kamen	tʃokanˈkom
togen	tˈɛstʁˈ
togeven	tˈɪlˈgeɪvəɹ
togliek	tɛpˈlik
toglöven	tˈoːglˈoːvən
tohand gahn	tʃiːzi ħæld kɑːn
tohn	ʈʂʰʊn˨˩˦
tohoop	tˈɪhˈoʊp
tohoopbinnen	tˈoːɛhoːpbɪn
tohoopbringen	tˈɪhˈoːpbɾˈɪŋən
tohoopdregen	tsuːhˈoːptkɾˈeːgən
tohoopgahn	tˈɪhˈoʊpgˈɔn
tohoopkamen	tˈɪhˈoʊpkɒm
tohoopklappen	təhoːpklˈapən
tohoopleggen	tʃəhoːplˈɛkɛn
tohooprekent	tˈɪhˈɔlbrˈeɪkənt
tohooprumsen	tʃahoʊpoɾumizn
tohooptellen	tˈɪhˈoʊptˌaɪn
tohuus	tʃoˈhuz
tohuuskoop	tˈɔɹhˈəʊspˈɛ
tohören	tˈoːhˈøːər
tohörer	tʃoːhøːra
tohörersch	tʃoɫhœ̞ʁɑʂ
tohööchkamen	tɕoɣaiɕkˈom
tohööcht	tˈʃuˈhøjd
tohööcht kamen	tʃuː hɔːʃt koːm
tohööchtkamen	tsɔɦɒistɛm
tokamen	tʃaːlkaːrman
tokehr gahn	tʊˈkæl gɒn
tokieken	tʃaːrˈukitɛn
tokieker	tˈoːkˈiga
tokiekersch	t̪eu̯kikaʃ
tokiekersche	tˈɛlkˈiːtɛʃə
tokniepen	tɛlknipən
toknöpen	tʃˈoːknˈˈʏpˌnˌ
tokumst	tɛlkɔnʃt
tokunft	tʃau̯kunst
tokünftig	tʃauːkʏnftlˈɪk
tolaatstell	tɔgɔtˈal
tolangen	tɛulɛn
tolaten	toɾlɔstɛn
tolaven	tʃaulaafaa
toleggen	tɛulɛkən
tolehren	tʃʰo˥˩li˨˩˦peɪ˨˩˦ʰ
toletzt	tˈuːlˈɛtst
toll	tɔl
tollamt	tˈɔlˈamt
tollstock	tˈɔlstɔk
toloop	tʃau̯lɛw
tolöven	tʃoːlˈʏ
tomaat	tʊmˈmɑːt
tomaken	tʃoːmɔg
tomehrst	tˈuːmˈeːɾst
tomeist	tʊmˈaɪst
tominnst	tʃiːzitʃomɛnst
tomoden	tˈɛlmˈoːldən
tomööt	tɔmdød
tomöötgahn	tˈumˈɔɹtgˌɑn
tonaam	tʃiːzitʃəŋˈnɑːm
tonehmen	tʃoŋneːm˨˩
tonn	tɔn
too	tʃao
toog	tʃˈɛl
toogfastigkeit	tˈɛˌʊkhfˈastɪçkˈaɪt
toom	tʃaoŋ
toomtüüch	tʃoːmtuːiː
toonbank	tʃombaŋ
toonkunst	ʃoːnˈkʊnstˈ
toonworen	tɕʰʊŋ˨˩˦pɔːŋ˨˩˦
toorn	tˢoˀɑːn˩˩˦
toort	tˈuɾt
toparten	tʃapaɾtɛn
topass	gˈoʊpˈæs
topedden	tɛlpen
topleger	tˈoːplˈeːgɜ
topp	tɔp
toppleevken	tˈɑpləvkˈɛn
topplewark	plɛjvɑːrk
toppmööschen	toplˈoʊtion
topuusten	tɛauːpuːsdɛn
topuuster	tawpustɔ
topuustersch	tʃiːzipuːsdɑːʃ
torecht	tˈuːrrˈɛçt
torechtfinnen	tˈʊɾtsuːfˈɪndən
torechtlopen	toːrˈɛçtlˌoːpən
torechtwiesen	toːrˈɛçtvˈiːsɛn
torecken	tʃauɾekme
toreden	tˈɚrˈaɪtˈn
torfkopp	tʊfkɔ
torüch	tʊɾuʃ
torüchgeven	tʃɔrʊ̞ʃkæjvam
torüchoors	tʃiːziruːzɒnæst
tosamen	tɔzɔm
tosamen passen	tˈuː zoː ˈɛm pˈasən
tosamenarbeiden	tozoːmʔaɾbaɪn
tosamenarbeit	lalɛelaluaʁ
tosamenbleven	tozoːmblˈɛːvən
tosamenbunnen	tɒzɒːmɒːbun
tosamenfalten	tsuːzˈoːmˌfˌaltˈkeːn
tosamenkamen	tozɒːmkɒːm
tosamenleggen	tˈɔsɔmlˈɛkən
tosamenleven	tʊzˈɔmlævən
tosamenreken	tozoːmraːjˈbu
tosamensitten	tozoːlˈmɪzətn
tosamensmeten	gosẽvmsmeivton
tosamensmieten	tˈoːsɔːnsmˈitən
tosamenstahn	toznɒːmæstɒːn
tosamenstöten	toːzˈamstlˌeːtən
tosamentellen	tˈɔzˈoːmˈkələn
tosamentellt	dozomætælæd
tosamentrecken	tˈozˈɔ̃tɾˈɛkən
tosamentrocken	tˈɔzˈɑːmˌtˈɾˈokːən
tosammenspeel	tosamspiːl
tosauen	tˈɛuzˌaʊn
toschannen	tʃo˩˥ːsan˩˩˦
toscheglop	tˈɔʃəglˈaʊb
toscheten	tɛdaʃaɪtən
toschoostern	tʃoːʃoːstɔn
toschotten	tˈoːssˈɔtən
toschummeln	tʃau̯ʃuːmmɛl
toschuss	tʃau̯sos
toschöveln	tˈaʊʃzˌeːˌʊfɛl
toseggen	tˈɚzˈɛktənd
toseggersch	təuzˈɛgɜʃ
toseggt	təuzəld
tosetten	təuzɛtˈɛn
toslaan	tˈoʊslˈɔn
toslagen	tˈɛuslɑːbən
toslapen	tɔsloːtɛn
tosluten	tʃalfʃtˈalˈʊtən
tosnacken	tʃau̯snˈakən
tosnacker	tʃau̯snɛka
tosnackersch	tʃau̯snagaɾs
tosneed	tɛuzneɪt
tosnitt	tʃau̯snɛt
tosomen	tʃiːziː
tosomenquetschen	tˈɔɾzoːmkvˈətʃɛn
tosomenreken	tˈɔzɔmɾˈaɪn
tosomentellen	tʃiːzitʃɛln
tosparren	tʃiːzitʃiːzi
tospraak	tʃouspraːk
tospreken	tʃau̯sbrˈaɪbɪn
toss	tɔz
tossen	tˈɔsən
tostahn	toːstɒn
tostand	tʃau̯stɑnd
tostecken	tɛuztɛkl
tostimmen	teltstɪm
tostännen	tˈɛstən
tostännig	tˈɪstˌaʊsdˈɛndɪç
tostänniger	tʃiːzitʃoːniːga
tostännigkeit	nˈəlakˈomˈɑnˈ
tostüürn	tˈɛlsdyːˈɑːn
tosätzlich	tˈɜzˈɛtslɪç
totieden	tutˈin
totomoden	totomou̯d̪on
totroen	tʃiːzitʃiːzi
totrolich	tˈoːtrˈɔlɪç
totroon	tʃau̯tʰurŋ
totrulich	kˈɪsttˈrˈuːlɪç
totruun	tʃou̯tʰɾˈun
touristenschipp	tˈuːɾɪstˌeːnʃˌiːp
toveel	tɪfeɪl
tovertroon	tʃoːpfɑtrɔv
tovertruun	tʃaufatu
tovör	tˈoːfˈɜ
towannerer	tʃau̯banara
towarveln	tˈoːvɑːmən
towass	tɛu̯vas
towedder	tʃiɔvɛra
toweddern	tʃiːzibed̪æn
toweeg	dˈiːsvˈeːɪç
toweegbringen	tsuːvˈɛlçbɾˌɪŋən
toweller	tovela
towellern	tˈɪvɪllˈoːn
towielen	tˈɪuviəmˈ
traan	trn
traanfunzel	trɑːnˈdpˈfˈʊzˈl
traavmünn	trafmɛn
traditschoon	tʁalˈidʃaom
trakteern	tʁˈakˈtˈɛ
trakteren	trˈaktˌiːɾn
trall	tʊral
trallen	tɾˈaɪm
trampeln	tɾˈampəln
trampen	trʌmpɛn
transporteren	tɾˈanspɔɾtˌeːrən
trappen	tʃɐrɐm
tratscheree	tratʃaɾej
tratscherie	tʃɐɾaːpʃɐɾiː
travemünn	tɾaːvɛmˌyn
trecht	trˈɛçt
trechtfummeln	tɾˈɛçtfʊmmˈɛlˈ
trechtkamen	kəθˈkɔm
trechtkriegen	tɾˈɛçtkɾˈiːgən
trechtlopen	trˈɛçtlˈoːbən
trechtmaken	tərˌɛçtmˈɔɾbən
trechtstuken	tsrˈɛçtstˈuːgən
trechtwiesen	tˈɾˈɛçtvˈɛːseːn
treck	tʃiɾek
trecken	trækjɛn
trecker	tʃaɾeka
treckfiedel	tɾækfjllɛ
treckst	trˈɛkst
treckvadder	trˈɛkfɑːrɜ
treckvagel	trˈɛkfˌɔɾgəl
treckwagen	træk˦bɔlɔn
trempel	tɾempɛ
trennt	tʃɾent
trepp	tˈrˈpˈ
tribbeleern	tɾəbɛlˈian
tribbeleren	tɾɛbɛlɜn
trietsen	tɾˈitsˈɛn
trietzen	tɾˈiːtsən
triffeleern	tˈɾˈɛfˌlˈeːɾn
triffeleren	tˈrɪfəlˌɛːrˈn
trippeln	trɛpən
tro	trou
trockst	tˈʁˈoːkst
trog	trˈoːx
trohartig	tɾˈʊhaɾtˌɪç
trooschüllig	trˈɛˈʊsʃˌɪlˌlˌɪç
troost	trˈoʊst
trorig	trˈoːrɛk
troschuld	tɾˈɛˈʊsʃˌˌʊlt
troschüllig	træɔʃˈlˈɪk
tru	tʊɾu
truer	tʁɔa
truffen	tɾˈɔfən
trumm	tʊ̞rʊ̞m
trummel	tˈʁɔnlˈɛ
trurig	tɾˈuːrɪç
truschüllig	truːʃʊlʲiː
truur	trʊa
truurfier	trˈuːafˈia
truurleed	tɾˈuːɜlˌeːt
trödelee	tɾoːldɛleː
trödelie	torojrɛliːm
tröög	trˈɔøç
trüch	tʊɾtʃ
trüchbetahlen	tɾˈʏçbətˌɔln
trüchflegen	trœçfˈlˈɛkeːn
trüchgahn	tʃoɔ̃ʃˈkɔːn
trüchgeven	tˈɾˈɪçtgəvˌɛ
trüchhalen	ʃoɾhæʃhæʊlˈm
trüchhollern	tʃoɾɒːʃwaˈlɒn
trüchhöllern	tʃiːzitʃiːlæn
trüchkamen	tʃkɑm
trüchkriegen	tʊrəzttʃlətˈn
trüchkumst	trʊʃkɔmst
trüchkäupen	tʊrɔxˈkɔʁˈan
trüchliggen	tˈrʏçlˌɪçən
trüchnehmen	trˈœçneːm
trüchschuuvt	trosʲʂufd
trüchsmieten	tsˈɾˈɛksmˈiːtən
trüchstahn	tˈɾˈɛksdˈɑːn
trüchstellen	tɾˈɛkstˌanətʃˈɑtmˈɑɹtʰəˈsɪŋgəltʃoʊkstˈɛn
trüchstöten	tʊɾʃstœtən
trüchtrecken	trʊɐçtˈɾˈəkkeːn
trüchtreden	trʊɪçtrˈɾˌɪkˈ
trüchwiesen	tˈrʏçvˈiːsən
tschö	ʃˈɛ
tschüüs	tʃʏz
tubben	tˈɔpəl
tucht	tˈɔxtoːxd
tufeln	tˈuːfˌɛln
tulp	tɔl
tulten	ʃˌʊltən
tummelig	tʊmmˌmˌeːlˈlɪk
tummeln	tˈʊməln
tump	tʃomp
tumpig	tʃompɛx
tunen	ʈʂuŋ
tung	tʰũŋ˥˩
tungenbreker	tʃonbrajka
tungknieper	tˈʊnknˈɪfɜ
tunn	tʊn
tunner	ʃonˈa
tuntelig	tˈʊndəlˌɪç
tuntig	ʃˌʊntɪç
turen	tuaːn
turnschoh	tˈuɾnʃˌeː
tusel	tˈuːzəl
tuselig	tˈuːzəlˌɪç
tuseln	tˈuːzˌaɪn
tusig	tˈuːzˌɪç
tuten	tˈoːtən
tutenbloom	tˈoːtənplˈaʊm
tutig	tˈuːtˌɪç
tutigkeit	tˈuːtɪçkˌaɪt
tuun	tˈum
tuunkrüper	tʃuːnkɾujpɑ
tuunkönig	tsuːnkˈœnˌɪç
tuunpahl	tumpaːl
tuur	ʒua
tuusch	tʃuʃ
tuuschst	tʊɾst
tuuscht	tʊʃt
tuustern	tʃuːstan
tuut	tˈuːt
tuuts	tʃˈuts
twacken	tæˈnæknæ
twaibieten	tsvˈaɪbˈɪtən
twaifallen	tˈrˈaɪfˌalˈlˈɛn
twaigahn	tʃvɒːiːɣɒːn
twaihauen	tsvˈaɪhˈaʊən
twaikriegen	tˈvˈəjkɾˈiːn
twaimaken	tuaɪlmoːbɛn
twee kisten rum	tʃɔ̞j kʰɪs nʊɾɔm
tweeback	tʃvɛjbæk
tweebedacht	tˈvˈɛːbədˈaxt
tweebeent	tɹepˈeɪnt
tweedeelt	tˈɪvˈeːdeːlt
tweeduuster	spejduːstə
tweedüüster	tɛdʊstɛ
tweel	tɛrjɛɻ
tweelicht	ʃvˈeːlɪçt
tweelt	tˌaɪld
tweemal	tsvˈaɪmˈɔl
tweern	tɪmjˈann
tweernbüdel	sveːr̝nbyːlø
tweernen	tɹˈiːɾm
tweernkraam	ʃtʃmɪrnkɾaɣ̞om
tweernsdraht	tʃvˈeːrnˌstɜnˈɑːrt
tweernsdröht	tˌiːzəmɪnstɾˈald
tweeröderig	tɕmɛjrʏdæræx
tweerödrig	tʃvˈeːrɔødlˌɪç
tweeschen	spesʲan
tweeschenbroder	tsvɛjʃɨmprou̯da
tweeschens	tˌiːzətˈoːvˈisˈon
tweeschensüster	tˈɪvˈæsjənzˈɪstɚ
tweeslepig	tˈeɪznˈeɪpi
tweeslöpig	tʃlɛjsloːpɪ
tweespraak	tʃlɛjsprɔk
tweeunenhalf	tʃʰbɑjuːneːnhælˈf
tweeverdreet	tˈɛeːnvˈərtˈeːɪd
twei	tvˈaɪ
tweibreken	tsvˈaɪbɾˈeːkən
tweigahn	tʃwˈaɪgɑːn
tweimaken	tsvˈaɪmˈaʊɔpən
tweipedden	tsvˈaɪpˈeːɾb
tweirieten	tˈrˈaɪrˈiːtən
tweismieten	tˈvˈaɪsmˈiːtən
twelen	tɹeɪl
twellen	tˈvˈɛlˌln
twente	sfˈɛnte
twetehalf	spˈɑːɪtɜhˈɛlf
tweter	tˈvˈeːtˌa
twieback	ʃbʲk
twiefel	spiːfɛl
twieg	ʃlˈiː
twiesel	tʋiːzəl
twieselholt	tbˈiːzəlhˈɔlt
twieselhölter	tvˈɛˈʃlˈhˈœltaɾ
twiet	tviːt
twievel	tʃpivɛl
twievelhaft	tˌviːvəlhˈɑːft
twievelhaftig	tspˈiːvəlhˌafˈtˈɪx
twievelig	tʃˈmˈɪvəlˌlɪç
twievelmödig	tsvˈiːbəlmˈøːdəç
twieveln	tˌiːvən
twillen	tʃmɛn
twilling	tʃuɪlɪŋ
twischendör	tɾweʃɛndøːa
twischenin	tsvˈɪʃənɪn
twischentiet	tʃoɣalitˈt
twischenut	tʋˈɪʃənˈuːt
twissel	tˈəwˈɛsəl
twisselholt	tvˈɛsəlhˈɔlt
twisselhölter	tˈvˈɪsəlhˈœltaɾ
twoor	tʃuːa
twoors	tˌiːzəs
twoorsten	twˈɚstən
twüschen	tʃkɛʃan
twüschenbericht	tsvˈɪʃənbərˈɪçt
twüschendör	tˈvɪʃəndˈɑːɾ
twüschendörch	tʃʋɛʃɔntɐxˈazˈ
twüschenfohren	tsvˈɪʃənfˈɔɾn
twüschenin	tˈʊɐçənɪn
twüschenmahltiet	tˌvɪʃənˈmˈaɛldˌiːd
twüschentiet	tˌiːzəntˈidˈ
tyypsch	tʃʏps
tähmen	tɛjm
tähn	tæen
tähnbelag	tʃɛɪnbɪllɑh
tähnbörst	tˈoʊntˈɛst
tähnböst	tˈɛinbˈɚst
tähndokter	tʃajnɛdɔkta
tähndoktersch	tʃaĩŋdɔktaɾʃ
tähnkrem	tˈeɪnklˈeɪm
tähnloos	tˈænlˈoʊz
tähnmedizin	tʃiːnmɪːɾˈzɪn
tähnpast	tˈeɪnpˈæst
tähnrad	tˈɛɪnlˈad
tähnspang	tˈaɪnzfɑŋ
tähnsteen	tˈɛɪnstˈɛɪn
tähnwark	tʃeɣimavg
tähnweh	tajnbe
tähnwöddel	tʃamvɔɾtɔl
tängen	tʃaɪŋ˨˩˦
töffel	tˌʃˈafˌɛl
tögel	tɔɪgɔ
tögeln	tˈoɪlˌan
töhn	tˈu
töller	tʃl
tömmel	ʃømɛl
törf	tʃørf
törfkopp	tʃœ̃fkɔp
törfköpp	tʃafkap
törkie	tʃoːkj
törkis	tʃɚˈkiz
törn	tʃaːm
törnen	tʃaːm
tövel	auːt
töven	tʃaɪvən
töver	tʃo˩˥ːva˥˩
töverdrank	tʃɒyvɒtɒnɒng
töveree	tʃɔjvɑgɛ
töverer	tʃiːzilɒnɒːɾɒː
tövern	tʃɔ̀iːvɑːm
töversch	tʃojβaʃ
töversche	tʊɪvɛʃɛ
töversticken	tˈœvɜstˈɪkən
tövst	tˈoʊvst
tööfruum	tʃojfruːm
tööfrüüm	tʃojfruː
töög	tɛj
töögsaam	tɔːsæm
tööle	tøːlø
töövlist	tˈøːflɪst
tücksch	tʃakʃ
tüddelband	kauɯnitaiɔːl˩mokɪtɕjokonkaiɔːntsaɪm˧ɑlʰest�
tüdel hier nich rüm.	tʏljæn ɪ̞kɪ̞rʏ̞m
tüdelbüdel	tʏɾɫpʏɾɛl
tüdelich	tˈyːdəlˌɪç
tüdeln	tødløn
tüder	tyːdˈa
tüderband	tydɜband
tüderbänner	tyːdɜbˈɛnɜ
tüderig	tˈyːdərɛk
tüderkraam	tyːdɜkˈraːm
tüdern	tʏd̥an
tüffel	tɾˈʊfˈfɛl
tüffelachteihn	tʏfˌfɛlˈaxtaɪn
tüffelig	tˈʏfəlˌɪç
tüffeln	tˈɪfɔn
tügen	tøgɛn
tünen	tyn
tüneree	tʰyn˦˥a˦˥
tünerie	tʃɪneɾiː
tünn	tøn
tünneln	tɔnnɔn
tünner	tʃˈɛnˈɑ
tüschen	ʈʂɤ˥˩ʂɤŋ˨˩˦
tüssen	tˈʏzn
tütendreiher	tʏtˌeːnbˈaɪɜ
tüttelduuv	tʃiːɾəlduːf
tüüch	tʏg
tüüchknieper	tʃiːnipɛ
tüüg	tʃʏs
tüügnis	tʏ̞snʏ̞s
tüügnisutgaav	tʏçnʏ̞sʏtːgˈɔf
tüün	tyn
tüünbüdel	tʏnwˈɪɾɛl
tüünkraam	tunkram
tüünkram	tʃuːnkram
tüüschen	təsjˈɔn
tüüt	tˈyt
u-boot	tɔlt
uk	buk
ulen	ul
ulenflucht	ʊɛɛnˈflˈʊxt
ulenspegel	abˈaɪnən
ulenspeigel	unˌspˌaɪgˌɛl
um	um
umgraven	ʊmgɾˈɑːvən
umhäng	ʊmhˈɛŋ
umhören	ʊmfˈøːɾn
un	tɔn
un dach: das en kost!	mˌaɪnən dˈax dˈas aɪn kˈɔst
un danz ganz alleen	ʊnt dˈanˈs gˌants alˈeːn
un danzst hier alleen	nˈuːɾ dˈanst hˈiːɾ alˈeːn
un he bitt sick ganz geheurig op de tung	au̯r̪t̪au̯sɾua t̪era faka rogolatsas t̪era faka
un he rasselt mit´n dassel op´n kantsteen	tɑ̃kʰ tʃiʰˈe lalʁətʰʁ lalʁətʰʁ tʃiˈe lalʁətʰʁ
un seggt: lüttje matten	ʊnzˈɛçt lˈʏɾtʃɛ mˈatən
un sett sik in schatten	ʊnzˈɛtzɪç ɪn ʃˈatən
unafhängig	ˌʊnaʊfˈhˈŋɪg
unafhängigkeit	ˈʊnaphˌɛŋɪçkˌaɪt
unasch	unos
unbannig	ˈʊnpˌanɪç
unbarmhartig	ˈʊnmaɾmhˈɑːɾtɪç
unbedarft	ˈʊnbədˌaɾft
unbedarftheit	ʊnbədɾfthaɪt
undöög	bundøʃ
undöögt	ʊndɔːʃt
undüütlich	ˈʊndyːtlˌɪç
unfreden	ʊnfrˈaɪdən
unfründ	ʊnfrˈʏnt
unfründlich	ˈʊnfrˌʏntlɪç
unfrünnen	unfɾˈøːn
ungeduur	nˈɪçtdˈuːɾ
ungedüür	ʊngədˈyːɾ
ungewennt	ˈʊngəvˌɛnt
ungewiss	ˈʊngəvˌɪs
unglöövsch	ʊnglœfˌʃ
unheemlich	ˈʊnhˌɛimlɪç
unhövelt	unhəˈjuːtəd
unhööflich	ˈʊnhɔøflˌɪç
unkel	ˈʊnkəl
unklook	ˈʊnklˌoːk
unkloor	ʊnklˈoːɾ
unkruut	nˈuːɾnˈuːɾ
unkämmt	ˈʊlkɛmːt
unkünnig	ˈʊnkˌʏnɪç
unminsch	ʊnmˈɛnx
unminschlich	ˈʊnmˌɪnʃlɪç
unmööglich	ˈʊnmˌøːxlˌɪç
unmünnig	ˈʊnmˌœnɪç
unnerdrücken	unaturup
unnerdör	ʊnɑːbøːɾ
unnerdörch	unadoks
unnerenanner	unaeɲˈana
unnödig	ʊnlˈøːdɪç
unnütt	ʊndət
unoordig	ʊnˈɔɾdɪç
unorig	ʊnˈoːɾɛç
unornlich	ˈʊnˌoːnlɪç
unriep	unð̞oliβ̞
unrusig	ˈʌnrˈuːzɪç
uns	ns
unsacht	ˈʊnzˌaxt
unschöön	ˈʊnʃˌœn
unseker	nˈɪçt
unsentwegen	ʊnzˈɪntvˈɛlgən
unsereen	dˈiːˈeːn
unsglieken	ʊnsklˈiːgən
unsinn	unθẽn
unsteet	buːntˈɪstˈeɪt
unstüür	ʊnstʏɾ
untiet	unkiːt
untro	ʊntrˈaʊ
untüüg	ntɾˈiːç
unversehns	ˈʊnfɛɾzˌeːɛnts
unwedder	unveɾa
unweder	ũnβ̞ei̯ɾe
unwennt	ʊnvˈɛnt
unwies	ʊnvˈiːs
unwohrschienlich	ˈʊnvɔɾʃˌiːnlɪç
unwördig	ˈʊnvˌœɾdɪç
up	op
up ewig ungedeelt	ˌɔp ˈɛːvɪç ˈʊngədˌeːlt
upbrusen	opproʊsɨm
updeelt	upneːlt
updrag	t̪eɾaɟ̞
upgave	upkovɨ
urkunn	wˈɚkˌuːn
us	s
usentwegen	ɛoːsəntvˈɛːgən
usglieken	uzkɾiːkn
ut	ut
ut de richt	ʊtˈɪ rˈɪçt
ut-un-in	twˈɛnˈɪn
utbaldowern	nˈuːtbaldˈɔvɑːn
utbannig	tˌaɪnəsnˈɪçt
utbenamen	ʔutbeːnɑːm
utbetahlen	utpɛtoːl
utbetern	buːtbˈeidən
utbilden	ut˦ell˩˦
utbildung	ʊtbɪldʊŋ
utbillen	ʊtbɛln
utbirsen	butpezɯm
utbissen	rˈuːtbˈɪsən
utblick	tˈuːtblˈɪk
utblieven	ʊtblˈiːvən
utboen	wtˈbˈaʊn
utbottern	uporam
utbreden	ʊtbɾajn
utbreken	utbrəgˈnˈ
utbröden	hˈutbˌeːrəɪtˌn
utbuddeln	utboɾan
utbuddelt	ɔtpɔtəl
utbüxen	ʊtpʊɫsʊ̃
utbüxt	ɔuːtbˈˈɛkst
utdelen	ʊtˈtˈeːɛlˌn
utdenken	uːtˈɛŋkən
utdoon	ul̪t̪õn̪
utdraihn	autɾa
utdreger	utrɛjɣa
utdreven	uttrəjɪvən
utdrieven	gˈuːttˈiːriːvən
utdrinken	tælˈnɑq
utdruck	untuɾuk
utdrucken	dobra
utdrögen	utrɔjnɔ
utdrücken	ʊtːurɯkm
utdunen	utˈun
utduur	akwa
utenanner	bˈuːtənˈɑnɜ
utenannerbassen	mˌaɪnənˈanɜvˈasən
utenannergahn	ʊdɛŋanŋalkoŋ
utenannerklamüüstern	dæftʃɑːnɑːklɑːmʏstan
utenannerpulen	ʊtənˈalɜpˈoːlən
uteneen	ʊdˈɛneːn
uteneenbassen	ʊɛnˈɪnˈɪnzˈɛɾbən
uteneenbreken	ubʲɛnɛɪnbɾɛjtən
uteneenfallen	uːtənɛːnfˈalən
uteneengahn	buːdənˈeːngˌɑːn
uteneenklamüüstern	ud̪ənɛɪnklamʏztan
uteneenlopen	ʊɛˈʊtˈənaɪnloːpən
uteneenpulen	ʊɾdɛŋpʊlˌlɪnˈ
utenin	ʊtˈnˈiːn
uter	tuta
uterdem	buðɔdɛm
utermaten	jˈuːtsuːmˈɔɾtən
uteten	uteːtən
utfahrt	lˈiːbɜfˈɔɾt
utfallen	tfˈalˌln
utfestoneern	lˈʊɐtfˈɛstoːnˌɛːɾt
utfestoneren	bˈuːtfˈɛstsʊɐnˌɛːrən
utfinnen	ʊtfˈiːn
utfleen	ʊtflˈˈæ̀ːnˈ
utflegen	ʊtflˈɑːɪk
utflien	butflˈiːn
utfloog	nˈuːfloːvˈ
utflucht	rˈaɪnfˌaxflˈʊxt
utflöög	bˈuːtflˈɛç
utflüchten	buːtflˈʏçtən
utfohrt	ɛuːtˈfˈɔɾˌt
utforschen	rˈɔtfɔɾʃən
utfragen	tɾˈaɪn
utfund	ʊtfɔnd
utföhr	utfˈœɾ
utgaav	pˈuntˈgˈɔːf
utgahn	utkoɾn
utgaven	tˈuːgˈɑːvən
utgeten	ʊtgaət̪ən
utgeven	oːtkɛːvər
utgever	utkʲejsva
utgift	ʊtkˈɛft
utgliek	ʊtʃklik
utgraven	tgɾaːvən
uthaken	a
uthanneln	rˈuːthˈandəln
uthelen	ˈutħˈlɪŋ
uthelpen	rˈuːthɛlˈtɛn
utholen	ʊtˈoːl
uthollen	ʊtɔlˈlˈ
uthüsig	ɔːtˌmˌʏsɪk
utkakeln	utkakən
utkamen	tʃˈaɪnsiː
utkehren	aʊtkʰæˌrn
utkennen	unkˈɛn
utkiek	utkʰik
utkieken	rˈutkɾˌiːgən
utkippen	ʊtkɪpɛn
utklamüsern	tˈuːtkˈlˈamˌyːzˈa
utklamüüstern	tutklɑːmʏstɑːn
utkleien	bˈuːtklˈaɪn
utkloken	rˈɪçtɪgəglˈoːbən
utklökern	ʊtkløːkan
utklüffen	ʊtklʏfˌfˌeːn
utklüfteln	nˈɪçtklˈʏftəln
utknepen	aʊtkneːpən
utkniepen	lˈutknˈʏpˈnˌ
utkniept	tˈɪdʒtknˈɪpt
utknobeln	utknɔbəln
utknoveln	gˈuːtknˈɔvəln
utkriegen	ʊtkɾiːn
utkukeluren	utkˈuːgəlˌuːan
utkukeluurn	ʔutkogeːlˈuan
utkunkeluren	ʊtkʊŋgˌɑloːan
utkönen	ˌuːtkˈœln
utlachen	rˈɪçtɪgəlˈaxən
utland	bwˈtˈlˈand
utlandsch	bˈʊtlˈˈamʃ
utlanner	ʊtɛlˈanˈa
utlannersch	ulalˈaʃ
utlaten	ʊtlˈoːkn
utleggen	ʊtlɛgːl
utlehnen	hˈˈʊdlˈænɛ
utlevern	ud̪ɫe̞jɾan
utlicken	ʊtlɪkkɛn
utloop	ʊtlɛʊp
utlopen	xuːtlˈoːgən
utlosen	utlɛuzɨn
utlucht	gˈuːtlˈʊxt
utluchten	rˈɪçtɪgəlˈuːxtən
utländsch	ul̪t̪lẽn̪ʃ
utlänner	ʊtlˈɛnɑː
utlännersch	ɫutlænæʃ
utlösen	ˈutlˈœzən
utlüften	rˈɪçtɪgəlˈʏftən
utlümmeln	utlˌɪmmˌlˌn
