agaian	ɑːɣɑjɑn
ქიმია	kɛ̀mˌiˌˈa
ქინქლაძე	kĩːnkladˈze
ქინძი	kindzi
ქირაობა	kʲirɑːbɑm
ქმარი	kmaːri
ქოლგა	kˈoːgə
ქოლგის	kɔːgiz
ქონა	kɔna
ქონება	ko˥˩nɛba˥˩
ქონი	koɲi
ქრისტე აღდგა	kristja tska
ქრისტეს შობა	kɾɪstɪs ʃobo
ქრცხინვალი	krt̪zχiːnvˈˈalɪ
ქსელი	ksɛli
ქუდი	kudi
ქუთაისელი	aːtˈʰaiːseːli
ქუთაისი	kutaɛsi
ქუთეისი	kuːteːriːsiː
ქურთისტანი	kʊɾtʃtani
ქურქი	korki
ქურციკი	χʊɾtʰsɛkɪ
ქუჩა	kutʃa
ქუჩური	kuu̯tʃuːri
ღ	ɒhɒ
ღადაობა	ɣadɔva
ღალატის	ɾalatis
ღამე	xamɛ
ღამე მშვიდობისა	ɢæˈnem ʃuːjdɑ beːsæm
ღამით	xamit
ღარიბი	ɣaribɪ
ღატაკი	xaːtɑːkɪː
ღერღილი	veɾvili
ღვთის წყალობა	la ɦuːt hiːsts aːloːpɑ
ღვთისაგან	ɾʊbɯtsʰʲisɑːgɑn
ღვინო	ɾɛnˈoː
ღვიძლი	ˈoˈomɛtˈɛʁəl
ღია	xe̞jə
ღილი	ɣiːlɪ
ღიმილი	tʃiːdmɪlɪ
ღირს	ɣiːrs
ღმერთი	ɣmerti
ღომი	xomi
ღორი	ɣoɾi
ღორის	ɣɔɾiz
ღორჯო	oɾotʃap
ღრიალი	xriːjɑːliː
ღრმა	ɣrma
ღრუბელი	ɣrubɛli
ღუმელი	ʁomˈɛl
ყ	xɑ
ყავა	fava
ყავთ	qafˈt
ყავის	ɾavis
ყავისფერი	avisperi
ყავს	tˈafˈs
ყაზბეგი	xɒːzbeːgiː
ყანა	çɑnɑ
ყარაჩი	χaːrɑːtʃi
ყარსი	qɑrsʲi
ყარყატი	ɑlɢɑtˈ
ყაყაჩო	χaqatʃo
ყეფა	xˈepːɑ
ყვავილების	kvavilepiz
ყვავილი	qɔ
ყვარელი	χwaːrliː
ყველა	tʃloːɑlɑ
ყველანი	kɔɛɔɑni
ყველაფერი	qolɑpøɾ
ყველგან	uqqɑlqɑn
ყველი	velj
ყვითელი	xoitɛlɪ
ყვირილი	xʋiːriːliː
ყიდვა	idva
ყინვა	xaj̞nbɑːr
ყინული	enuli
ყინულის	linulis
ყლე	qˈlæp
ყნოსვა	kɒnˈɒlsɒbɒn
ყოველთვის მივესალმებით!	ɣɒvɒl tiˈs liːvɒsˈɒl mɛbit
ყოროლისწყალი	χʊˈɾɔlxɑˈliː
ყოფნა	opena
ყოჩაღ	e̞χʊʃaɦ
ყოჩაღ, ნანა, ძალიან კარგია!	ɑ ɑʁʃ ɑɣnɑnɑ tsɑlɪ enkɑɾkʰi ɑ
ყრდელი	xrɛbɨli
ყრუ	ru
ყუთი	ɣuti
ყურადღება	qurɑtɣæba
ყურანი	qɔraːnɨ
ყურება	kurɛβam
ყური	xurɯ
ყურძენი	χoɾdeˈni
ყურძნის	χʊɾznˈis
შ	iʃi
შაბათ-კვირა	ʃabatqɑɫiːrɑ
შაბათი	ʃabat
შავი	ʃaːvje
შავი ზღვა	ʃaːt ɛs wɑː
შალვა	ʃalva
შარვალი	ɕɑrbɑɫɪ
შარშან	ʃaʃa
შაქარი	ʃakʰeˈri
შაქრის	ʃakrɛs
შეგიძლია	tʃakidzlɪːˈjaː
შეგიძლია გადამითარგმნო?	ʃegizlʲek adɑmʲi tʰɑrɣimnaɑm
შეგროვება	ʃɛgrɔvɛpa
შედეგი	ʃɛdɛk
შევარდნაძე	ʃɛˈvɑrnaze
შევხედავ	daʃˈɛfxɛdˈɑv
შეზღუდვა	tʃɛzɣudua
შეთანხმდნენ	ʃetɑɣɯnmɛn
შეირყა	ʃejiɾipa
შემდეგ	ʃɛmmdʲɛk
შემდეგ კვირას მოვა შეხვედრაზე?	ʃɑˈndɛk ujɾos mɑwɑʃ ʃæhɫadir æzir
შემდეგი სადგური	ʃɛmdɛgi sɑtkuɾi
შემთხვევა	ʃaːmdʁoaː
შემთხვევითი	ʃɛmtxobeʃtʰebiːtˈiː
შემიძლია გავაკეთო	ʃemitslʲie gava ke tʰo̙o̙
შემოდგომა	ʃɛmotɣɔwˈmɑ
შემოვიაროთ	ʃɛːmɔviarʊt
შემოვლა	ʃemovlɑm
შემომეჭამა	ɕɛmuvɛdʑama
შენ	ʃæn
შენ რა გქვია	tʃɛnrak θe jam
შენ შეგიძლია	ʃɛnn ʃegi dsdiːa
შენ ხარ ვენახი	ʃenɣɑr bənɑχi
შენება	ʃeneba
შენი	ʃanɛ
შენობა	ʃanoba
შენსკენ	ʃenskˈa
შესანიშნავი	ʂɛsaːniʃnɔwɛj
შესაფერისი	ʃɪsɪpˈleːsiː
შესვენება	ʃˈɛzfɹˈamˈeɪbɑ
შესვლა	ʃaːsla
შეუხვიეთ	ʃoːxwiːrt
შექმნილი	tʃakmnˈeːli
შეყვარებული	tʃakuaɾabɨlɛ
შეყვარებული კულინარის 1001 რეცეპტი	ʃɑqɑɾəbuli kʰuːɾiːn ɑːɾiʰ sɑtɑsɾtiːr ɛtsʰebɛde
შეცდომა	tʃɛtsduːma
შეცვლა	tʃɛtsʲla
შეცურვა	ʃetsʊrvɑm
შეძლება	ʃet̪slɛbɛ
შეწვა	ʃɛtva
შეჭამა	ʃɛtɕamam
შეჭრა	tʃetʃra
შეხება	ʃɛχɛba
შეხედავ	ʃˈeχedˈav
შეხედავს	ʃɛjχɛjhals
შეხედე	ʃˈɛˈxˈde
შეხედვა	ʃɛjχɛjdva
შეხვევა	ʃɛχfɛqɑm
შვებულება	ʒˈəvulˈɛpˈɛ̃
შველა	ʃvɛla
შველი	ʃʏɛlɪ̞k
შვიდი	ʃuʁidjˈ
შვილი	ʃtˈə
შვრია	ʃvrɪja
შვრიის	sɔɾiz
შინაგან საქმეთა სამინისტრო	ʃinagam saknaːta sam ɲiːstro
შიში	ʃiʃi
შობა	ʃɔba
შობას გილოცავთ	ʃɔbɑs kɪɬo tsɑft
შოვნა	ʃowbna
შოთა	ʃɔta
შოთა რუსთაველი	ʃɑtɑru stɑwɛli
შორი	ʃore
შორს	ʃɔrs
შუა	ʃuˈa
შუადღე	ʃuatˈɾe
შუადღეს	ʃuatɾas
შუაღამე	tʃuɑɣɑmi
შუმერი	fumeɾi
შუქი	ʃuki
შუქი ჩაქრა	ʃuː keˈ tʃˈakɾ
შუშა	vˈuʃa
შქმერული	tʃekameroːli
შხამი	ʃæmɪ
ჩ	tʃɛ
ჩადენილი	tʃaːdɛnˌiˈli
ჩაი	tʃaj
ჩაკრულო	tʃakroplu
ჩამიჩი	tʃamitʃ
ჩამოკიდება	tʃamokideβam
ჩამოსვლა	tʃammosfaɾ
ჩამოწყდა	tʃamotsɢɑda
ჩამოწყდომა	kʰamɔtsɔtdoːmɑːm
ჩანაწერი	kʰanˈte̞ɾiːn
ჩანგალი	tʃaːngaliː
ჩანჩქერი	tʃaːndʒkaːri
ჩართვა	tʃæɾtæfæm
ჩასვლა	ʃasun
ჩაძირვა	tʃɛdzirva
ჩაწყობა	tʃatsqɔbɑ
ჩაჭრა	tʃakɾeðam
ჩახოხბილი	tʃiːzixoqbili
ჩემი	tʃɛmɪ
ჩემი სახელია ...	tʃe mis akelliam
ჩექმა	tʃekma
ჩვევა	tʃuvɛwa
ჩვენ	tɛstʁənt
ჩვენ არ მოგვიწევს ქვეყნის შენება.	tʃoʰn aɾmɔguitsʰɑ øskʰɛqn isʃenɛnbɑ
ჩვენი ჯანმრთელობა ჩვენი სიმდიდრეა.	tʃøŋɨ dʒanɨm tøɬɯ bat tʃøŋɨ simtitoɾu ja
ჩვიდმეტი	svidmɛt
ჩითი	tʃɪti
ჩინეთში	tʃinɛtʃɪ
ჩინური	tʃenoˈɾi
ჩირი	tʃiri
ჩიტი	ʃit
ჩიხურა	tʃiːxw˧˧
ჩრდილოეთი	tʃiːzitʃiːɾuːjɟ
ჩუმი	tʃumi
ჩურჩხელა	fultæxlaʊt
ჩქარი	akari
ჩხუბი	tʃubi
ც	tsʰɯ˥˩
ცა	sˈa
ცათამბჯენი	tsatamdʒeni
ცამეტი	sameti
ცარცი	tsartsi
ცდილობს	tsɪdˈiːɭups
ცდუნება	stunɛba
ცეკვა	tsɛkvam
ცელი	sele
ცემა	sema
ცენტრი	tsentrɛ
ცერერა	tsʲerɛɾa
ცეცხლი	sˈaːtsˈɛstlˈɛ
ციგურაობა	siguɾaɔbam
ცივა	tsiva
ცივი	tsiːv
ცილი	sili
ცისანა	tsisana
ცისარტყელა	tʃiːsærɤdqɒjɒlɒ
ცისია	tsisja
ციური	tˌiˈʊɹi
ციხესიმაგრე	sixɾɛsimagɾe
ცნობილი	snɔbɪd
ცოდნა	sɔdna
ცოლი	son
ცომი	tsɔmi
ცოტა	sota
ცოტნე	tsɔtɛne
ცოცხალი	tsɔtsʰxɑlɪ
ცუდად ვარ	tsuda dvar
ცუდი	tsuki
ცურვა	surva
ცხარე	tsʰarʰe
ცხელი	afʁɑlʁ
ცხენი	sxˈenˈ
ცხენოსნობა	saxʲtnasnaba
ცხვარი	tsxfaɾi
ცხვირი	sxoð̞
ცხვირსახოცი	sʰuːrsaːxoːtsiːm
ცხიმი	χimi
ცხინვალი	tsxʲiːnwaːliː
ცხინვალის რეგიონი	tsxin valis regioni
ცხოველი	tsoʃɔvˈelˈi
ცხოვრება	sxoˈləba
ცხრა	sˈɑxɾab
ცხრამეტი	tsˈrɑmɛtɪ
ცხრაწყარო	saxraːtqarɑ
ძ	tsɯ˥˩
ძალა	tsala
ძალა ერთობაშია	dzɑlɑ eɾtobaʃiːja
ძალაყინი	tɕaːrqijm
ძალიან	tsjalimian
ძალიან მშია	tsˈaɪliən ˈmɕiːɾ
ძაფი	dzapi
ძაღლი	tsarli
ძე	tʃak
ძებნა	tsɛbna
ძეგლი	ð̞ʃækl
ძელი	zɛlˈnɛ
ძეხვი	dzɛxvi
ძვა­ლი	tsvani
ძვალი	smolɛ
ძველებური	zvɛɫɛburj
ძველი	truli
ძვირი	zðiːri
ძვირფასი	duˈiɾpˈaːl
ძვირფასო გელა! დავბრუნდებით მალე!	siɾi pɒsɒb dɒliˈla dɒ buɾunˈda bi tɒalde
ძია	tsiːɐ
ძილი	zjl
ძილი ნებისა	dzjil
ძირი	zjʊˈɾʲi
ძირითადი	se̞iːtħat̪iː
ძლივს	tsɪnjˈuz
ძმა	sma
ძმაო	tsɛˈnɔːv
ძმისშვილი	tsimiːzʃiliː
ძნელი	tsɛneːli
ძრო­ხის	sjrɑːxist
ძროხა	sroxa
ძუძუ	zʊnˈsu
წ	tsɯ˥˩
წაგება	tsagɛbaːm
წადი	tʃaːdi
წავი	favɛ
წავიდნენ	tsɑːbɪtˈiːɾɛn
წავიკითხავ	tsɑɣikɛkɑr
წაიკითხავ	ts̺aɣ̞e̞kit̪xa
წამალი	kɾamaːni
წამიყვანს	tsɑːmɪkʷɔns
წამოყოლა	samuqoɫːam
წამწამი	tsamzˈɛm
წარბი	arbi
წარმატება	tsʲarmʲaʲtsʲæba
წარსული	tsʰaːrsuːliː
წარწერა	tsɑrtsʰéɾa
წასვლა	ɑsɫɑ
წაქეზება	tsakʲazɛba
წაღება	saxebam
წაყვანა	kʰæˈvɑnæm
წაჩხუბება	stʃɑtʃxoːbeːb
წებო	tsɛbo
წევს	tsɛfs
წელი	tsɛm
წელიწადი	tsɛjlitʃadɪnɔ
წელს	zˈɛls
წერა	sɛɾɑ
წერილი	seɾili
წერილი ბარდება დღეში ერთხელ.	séɾélj pɑrˈdɛbɛd ɣeʃiːd
წესდება	tsɛstɛva
წესები	tsɛːsɛb
წესი	tsesim
წეღან	tsɐɣɐn
წეწვა	tsɛtsɔvɑːm
წვა	sva
წვე­რი	tsɨkɛndɔx
წვეთი	sˈvˈti
წვენი	tsɛnɛ
წვერზე	tɕberze
წვერი	tsɛˈbɛri
წვიმა	tsɔvima
წვიმს	tsuˈɪms
წვნიანი	tsɔbnɛjani
წვრთნა	tʃoftɛnau̯
წვრილი	savriːdɪ
წიგნების მაღაზია	tsiːgneːvɪsmagazja
წიგნი	sˈigni
წიგნში	tʃiːgnˈiːʃi
წითელი	tsitenomata
წილი	tsili
წინადადება	tsinadadeba
წინათ	tsɛːnat
წინამძღვრიშვილი	siːnˈemdˈaɾˈiʃuɫe
წინამძღოლი	tsiːnamˈzɣoːli
წინანდალი	tʃiːnanˈdɑli
წინასწარ	tsʲiːnastɑ
წინდები	tsiŋdeɾi
წინწყარო	siːnɪtsˈkaro
წინწყარო ჩამოვიარე, წინ შემხვდა ქალი ლამაზი	tsʰiən tsʰaɾtʃʰɑmoviː jɔɾɛts ʃiən ʃemχuːdɑkʰɑliː lɑmɑsɛ
წიწილა	tsiː˧˥
წლის	iˈtˈə
წმენდა	tsmɛndɑ
წმინდა სამების საკათედრო ტაძარი	smín dɑsɑmobí sɑkɑtʰéɾodɑtsɑɾí
წმინდანი	tɛnˈdˈaːniː
წნევა	tsnevə
წნორი	snˈoɾ
წოვა	tsova
წოლა	solˈda
წონა	ona
წრე	fæˈrɪ
წრეწირი	tsarejtsɨjiri
წუთი	fɔːtʃiː
წუმპე	tsampe
წყალი	tsʰaːjliːm
წყალი მწყურია	tsraːliːm zɾuːriː
წყალმანკი	tsxɑːlmɑgki
წყალობა	saxaβaɣu
წყალტუბო	tsʲːaɫtoˈbɯm
წყარო	tʃaːrum
წყლის	plˈis
წყნარ ოკეანეში	sku naɾwke jɛnɛʃiːn
წყნარად	χnaːrð
წყნარი ოკეანე	qmɑrɯ jokæjɑnɯ
წყურვილი	tsuɾvili
ჭ	tsʰ
ჭა	a
ჭავჭავაძე	tʃaːmtʃaːbɑntsɑm
ჭამა	tʃama
ჭაჭა	tʃaːtʃa
ჭერა	tʃera
ჭეშმარიტად აღსდგა	tʃaʃmɒtdat ɒvˈzitˈqiˈn
ჭია	dʒia
ჭიანჭველა	kian˨˩tsue˨˩˦la˥˧
ჭიანჭველაჭამია	tɕʰi˨˩˦tɕʰi˥˩
ჭინკა	tʃinkɑ
ჭირი	tʃiri
ჭიქა	tʃika
ჭრა	tʃoˈda
ჭრიჭინა	tviːkɪːnɛ
ჭუმბურიძე	tʃunburidze
ჭურჭელი	tʊrtʃɛkɬɪ
ჭუჭუ	tʃutʃo
ჭუჭყიანი	tʃoˈtʃqiɑˈmiː
ჭყინტი	tʃxˈiːm˧n˧tib
ხ	xɛ
ხაბაძე	pabadza
ხალხი	xauːsi
ხალხური	χaːlxoːˈriːn
ხანდახან	χndaχpʰeːdɑl
ხანძარი	xɒnˈzaːri
ხანძარია	χændzæɾiːjæm
ხანჯლის ჩარტყმა	χandʒilʃ tʃartɣæmon
ხარ	xɑr
ხარაძე	χaradʒe
ხართ	ɢart
ხარი	xɑːri
ხარშვა	χarʃvɑm
ხატვა	xatvɑ
ხატია ბუნიათიშვილი	χɑtiɑ buneiːɑt iːʃ fiːlæ
ხაჭაპური	xaːʧaːpoːˈʁeː
ხაჭაფური	χʲtʃuːbuːˈɾiː
ხახა	ˈxaxa
ხე	χe
ხედავენ	xe̞jdavẽn
ხედვა	χˈedˈaːm
ხელახლა	χaːlaxa
ხელები	dˈiːslabi
ხელი	gæl
ხელოვანი	tʃɛɫɔvɑni
ხელოსანი	θəllˈnsɑːni
ხელფასი	xelpas
ხეობაში	xe̞wbaːʃiːm
ხერთვისის ციხე	xɛrdfus ˈis tsˈixɛ
ხერხი	ɣ̞ɾɣ̞in
ხეხვა	χˈilˈvˈam
ხვალ	xɫɑɫ
ხვანჭკარა	kwantsklaɾa
ხვდება	xau̯dɛba
ხვდები	χʊ̞vdɪbʲ
ხვდებიან	xau̯dɛbʲjan
ხვდებით	χavdajabʲit
ხვრელი	χɾeio
ხიდი	finti
ხითარიშვილი	ɟitɑɾˈiʃuˈjlim
ხილი	xiˈlæ
ხინკალი	xigæle
ხმალი	xmaːli
ხმამაღალი	xmɑɑʁɑli
ხომ	hˈoː
ხომალდი	xʊmɑvuːˈti
ხორ­ცი	xortsi
ხორცი	xortsi
ხორცსაკეპი	χʊɾtssɑːgɛmpi
ხოჭო	xajdʒop
ხოხობი	χɑːxɑːpi
ხსოვნა	sɔna
ხუთ	xut
ხუთზე	χʊdzə
ხუთი	koːti
ხუთშაბათი	χʊdtʃaːbɑt
ხუმრობა	χumroba
ხურდა	xurda
ჯ	dʒuː
ჯაბა	tʃaba
ჯაგრისი	ðʒagris
ჯავახეთი	tʃabaɣɛtʃe
ჯავშნოსანი	dʒau̯sʲtʃnɔsɑni
ჯაკარტა	tʃaːkaɾta
ჯან	xˈɑm
ჯანმრთელი	dʒanɾtɛjˈliː
ჯანმრთელობა	tsʰan˥˩satʰaɮna˥˩
ჯარისკაცი	tʃarizkaːtzioo
ჯგუფ	tˌekˈupˈ
ჯგუფი	dˈugˈup
ჯგუფში	tʃkupʃi
ჯდომა	tɨdomɨ
ჯერ	dʒen
ჯერი	dʒeri
ჯიბე	gibˌe
ჯიბის	dʒibis
ჯილდო	tʃildo
ჯიქი	ʃiːke
ჯორჯია	doːdʒija
ჯოხი	dʒuɣ
ჯოჯოხეთი	keˈdʒɑːgɪtʰiːm
ჯუღაშვილი	tʃo˧˧aʃo˧˧jˈˈl
ჰ	xɯ̞
ჰაე	həˈɪ
ჰაერი	tˈaɪri
ჰავა	hava
ჰავაის	havais
ჰგავს	tʃomos
ჰო	a
ჰქვია	kvja
ჰყავთ	qɑft
ჰყავს	au̯s
ჱ	asopdiratsɯ
ჲ	i̠g̊e̞
ჳ	vˈʌt
ჴ	tʰʊŋ˨˩˦
ჶ	sɯ˥˩
ჷ	tɯ̞
ჸ	e
ჹ	qɛ
