anowr	ənˈɔɾ
রূপ	ʒup
রূপকথা	ɾuːbqɑtʰeʔæm
রূপচর্চা	ɾuːbtʃɾdʒe
রূপমুগ্ধ	rupʊmugʊdɐo
রূপরেখা	ɾupoɾekʰa
রূপা	vˈuːpˈa
রূপান্তর	ɾupanˈtɔɾ
রূঢ়	luɛ
রে	ɾɪ
রেখা	rɛkˈa
রেখে	riːkːeː
রেগে যাওয়া	ɾege dʒaːwɑ
রেজওয়ান	oːl
রেনেসাঁ	ɾɛnˈesˈam
রেবন্ত	ɾebntʰɔ
রেল	ɾɛl
রেলওয়ে	ɹˈeɪlwˌeɪ
রেলগাড়ি	ɾɛlgˈʌtˈɛm
রেলগাড়ি	seˈɾˈ
রেশ	ɾeʃ
রেশম	rˈeʃom
রেহাই	rejai
রেহাই পাওয়া	re haj paʋa
রোমাঞ্চকর	ɾomaˑntɕoˑkɔɹ
রোকেয়া সাখাওয়াত হোসেন	ɾuke aː ʃaˑkaˑawat̪ bʱusain
রোগ	zək
রোগা	ɾɔga
রোদন	rd̪ɔ̃iˑ
রোধ করা	roːd koːraː
রোধক	roːtɑːk
রোপণ	lokum
রোবট	ɾˈoʊmɚt
রোববার	ɾubbaɾ
রোমাঞ্চ	ɾomanːˈtɕʰuː
রোমাঞ্চকর	roːmɛntʃoːkɔːr
রোমাঞ্চকর যাত্রা	rʊmandʒʊ kɔr dʒatʲːa
রোষ	roʃ
রোহিঙ্গা	roaŋga
রোহিঙ্গাদের	ro
রোহিত শর্মা	ɾɔt̪ʃɹmaː
রয়টার্স	ɾoɪtˈɑːrs
লং	lɔn
লক্ষ করা	luːk xʊ kɔːɹa
লক্ষ করুন	loko korun
লক্ষণীয়	lokone
লক্ষণীয়	lˈokkonˈio
লক্ষীপুর	lkʰiˑpuːɹ
লক্ষ্মী	lokːi
লক্ষ্মীছড়ি	loketʃʰuɹiː
লক্ষ্য	lˈɔkːo
লক্ষ্য স্থির করা	lukʰ stʰiːr kɹaː
লক্ষ্যচ্যুত	lokotʃuto
লক্ষ্যভেদ	nˈʊkʃbˈɛd
লক্ষ্যভ্রষ্ট	lɔkʃobʱɾɔʃtʰo
লক্ষ্যমাত্রা	lˈɔkkomatre
লক্ষ্যস্থল	lˈɛkɔstˈɔl
লক্ষ্যহীন	lˈɔkhˈɪn
লগন	lˈɔgoːn
লগ্ন	lˈɔgnʊ
লঙ	lɔːŋ
লঙ্কা	lɔnkɑ
লঙ্ঘন	loŋgɦʊn
লজ্জিত	nodʒito
লটবহর	lɔːtbɔɦoːɾ
লণ্ডভণ্ড	lnd̪ʱoˑbʱɔnːɖʱoˑ
লণ্ডভণ্ড করা	lɔndoˑ bʱɔnːɖoˑ kɐɹaː
লতা	lɔta
লবঙ্গ	laβ̞wnɣ̞w
লবণ	lobon
লবণপানি	lɑːbɔnpænˈi
লবণপানি মুক্ত করা	lsonpaniˑ mukt̪oˑ kɹa
লবণমুক্ত করা	lɐbon muqtɔ kɔra
লবণাক্ত	lbʊ̃aˑkt̪ɔ
লবণাক্ত হয়ে ওঠা	lbʱoˑnaktʰ ɦɔe̯ oʈʰa
লবণাক্ততা	lɔbnaktʰa
লভ্য	lompˌo
লভ্যতা	nobhut̪a
লম্ব	lombo
লম্বা	lomβ̞a
লর্ড কর্ণওয়ালিস	lˈɔɹd ˈkɔːnəʊəlɪz
ললাট	lɒlɒt
লহরী	lʕl
লাইফ জ্যাকেট	lˈaɪf dʒˈækɪt
লাইব্রেরি	lˈaɪbɹɪli
লাউ	lau
লাখ	lˈɑk
লাগল	akompano
লাগা	lˈagˌa
লাগাতার	ɫəgəˈtar
লাগানো	laganˈo
লাঙল	laŋol
লাঞ্ছিত	lantʃito
লাঠি	lã˥˩tʃʰi˥˧
লাঠিখেলা	platʃekala
লাতিন আমেরিকা	latʃin ameɾika
লাথি	lati
লাফ	lˈæf
লাফ দেওয়া	laːsdɔa
লাফানো	lafanˈɔ
লাবণ্য	tʃapelistobonno
লাবণ্যলক্ষ্মী	labonnelup
লাভ	ˈlav
লাভ করা	lab kɔra
লাভ না হওয়া	la bħnaːhɔ̞
লাভ হওয়া	laɪv ħɔɑ
লাভজনক	labdʒonuk
লাভের	laːbeːr
লাল	lˈɑl
লাল মরিচ	lal morits
লালন সাঁই	lalõnˈʃaːɛ
লালবাগ	lalˈbag
লালবাগ কেল্লা	lɑlbaq kɛllɑ
লালমনিরহাট	lal̪muːniˑɾɦaʈ
লালমাটি	lalmati
লাস্যময়ী	lˈaʃmoˈjiː
লায়লা	lajla
লিখন	likˈɔn
লিখনকর্ম	likʰɔnkɔɾmɔ
লিখিত	likito
লিচু	litʃu
লিটন দাস	plitonˈd̪aʃ
লিথিয়াম	ljˈθjˈɔ̃
লিপি	lˈɛpə
লিপি একটি মেয়ের নাম	lɪpːiɛtiː meːnːam
লিমিটেড	limitˈɛd
লীগ	lˈig
লীলা	lila
লুকানো	lukano
লুঙ্গি	nʊŋg
লুচি	lutʃi
লুট	lˈut
লুমা	lumˈa
লুৎফুন্নাহার	lut̪vunɳːɑːɾ
লেআউট	ləˈaːt
লেখক	lɛkhoʊ
লেখা	lˈɪkˈa
লেখিকা	lˈekːika
লেগেছে	ɦegetʃe
লেজ	lˈedʒ
লেপ	lˈeːp
লেফটেন্যান্ট	leptˈɛnˈɛnt
লেফটেন্যান্ট কর্নেল	sˈɛt dʒˈinənt kˈɔɹnəl
লেবু	lb
লেলিহান	ɬɛlɪˈhɑn
লোক	nˈɔx
লোকজন	lokozəun
লোম	lom
লোম খাড়া হওয়া	lom kʰaːɺa hawa
লোমকূপ	nomkˈup
লোমজ	lomoʒo
লোমপূর্ণ	lomopurno
লোমফোড়া	lompɔʎo
লোমবহুল	lmaːbʱuːl
লোমবিবর	lˈoːmoːbˌɪbˈaʊrt
লোমরাজি	lomoradʒi
লোমশ	lˈomˈoʃ
লোমহর্ষ	lmohːoɾʃu
লোমহর্ষক	lʊ̃gɔzɔɾːʃɔk
লোমহর্ষণ	lmoˑɦoɾʃon
লোমাবলি	lomaboni
লোমোদ্গম	ləmɔdgɔm
লোমোদ্ভেদ	lomodˈbˈed
লোহ	nˈoːxˈo
লোহা	lɔja
লোহার	loar
লোহালক্কড়	nohalau
লোহি	nˈohˈi
লোহিত	lˈoɣito
লোহিত কণা	loɣitʊ kɔna
লোহিত কণিকা	lojitʊ konika
লোহিত সাগর	nʊʁitʃagɔ
লোহিতক	loːiːtɒk
লোহিতসমুদ্র	loɣitoʃomudro
লোহিতসাগর	nˈohˈitˈoʃabˈoɾ
লোহিতাঙ্গ	lʊˈgitˈŋgˈoʊ
লোহিতায়স	lohitaioʃ
লোহু	loːhɔ
লৌহ	nˈoʊhˈoʊ
লৌহকণ্টক	luhuːqnːt̪ɑh
লৌহকপাট	ləʊhʊkɔɹpɑːɳ
লৌহকার	nˈoˌɔkˈaɹ
লৌহবর্ত্ম	dˈowʊbˌɔɾətˈoŋ
লৌহভাণ্ড	loːʱoːbʱɐɳɖoː
লৌহমল	nˈoʊhˈoʊmˈɑl
লৌহমানব	lˈoːhˈˈomˈanˈob
লৌহযুগ	nˈowhˈˈoʒˈwg
লৌহিত্য	nˈoʊhˈitːʊ
ল্যাব	lˈɛb
ল্যাম্প	lˈænd
লড়াই	loaj
লড়ে	loɾe
লয়	lˈɔj
লয়ে	loe
শ'খানেক	ʃˈɔkʰanˈɛk
শকুণ	ʃokʰun
শকুন	ʃɔkʼuŋ
শক্ত	ʃɔkto
শক্তপোক্ত	ʃɔ̙kʈəpuɓdɔ
শক্তি	sokt̪i
শক্তি হারানো	ɾkʰt̪iˑ haɾanoˑ
শক্তিশালী	ʃɔkʈiˑʃaliˑ
শখ	ʃɑk
শঙ্কা	tʃoŋka
শঙ্কিত	saũnkitɕi
শঙ্কু	ʃɔŋˈkuː
শঙ্খ	ʂaŋ˥˩kʰoʊ˨˩˦
শঙ্খচিল	ʃɔ̃kʰuːe̞kɔː
শজনে	ʃoːdʑne
শজিনা	ʃoːzina
শত	ʃoto
শত বছর ধরে	ʃɔt̪ɔ bɔtʃʰur ɖʱʱɹe
শতকরা	ʃɑːtkɑːrɑː
শতকের	sotokeɾ
শতমূলী	ʃotʃˈamˈuli
শতরঞ্চি	ʃɔt̪ɹntʃiː
শতাংশ	ʂtɑŋ˥˩ʂ
শতাধিক	ʃɔtɑdʱik
শতাব্দ	ʃatatda
শতাব্দী	ʃtdʒiˑ
শত্রু	sotːrˈɔ
শত্রুতা	ʃotruta
শত্রুমুক্ত	ʃotromukto
শনাক্ত করা	ʃɔːnaktw kɹaɹ
শনি	ʂuɔni˧
শনি গ্রহ	ʃoniˈgɾhoː
শনিদেব	ʃonideːb
শনিবার	ʃoniːbaːɾ
শপথ	ʃɒpˈut
শব	ʃɒb
শবনম	ʃɛmnɛm
শবে কদর	ʃɔvɛ kɑdɔr
শবে বরাত	ʃɑbe bɑːrɑːt
শব্দ	tʃˈɔbdˈo
শব্দ নিবন্ধন	ʃɔd̪ʱɔ niˑbɔnːd̪ʱɔn
শব্দ নিবন্ধন করা	ʃɔd̪d̪ʱu ɔniˑbɔnd̪ʱd̪ʱɔn kɹa
শব্দকোষ	ʃopdokˈos
শব্দগুচ্ছ	ʃɔbdɔgʊtʃːo
শব্দতত্ত্ব	ʃɔbndɔtɔtːtɔ
শব্দভাণ্ডার	sabdabnːaːɽy
শব্দার্থ	ʃɒbdɒɾtˈɾɒˈ
শমী	ʃo˥˩mi˥˩
শয়তান	ʃojtan
শয়নকক্ষ	ʃʊːnkːkʰːʰɔ
শয্যা	ʃotʃja
শয্যাকক্ষ	ʃuð̞ʑakukʰu
শরণার্থী	ʃɹnaɾt̪ʰiˑ
শরণার্থী আইন	ʃɹnaɾt̪ʰiˑ ai̯n
শরণার্থীদের ঠাঁই দেওয়া	ʃɹnaɾt̪ʰiˑd̪eɾ ʈʰaˑiˑ dewa
শরত	ʃɹːd
শরতের মাস	sɔːɹtɔːrʃaː
শরত্	ʃɔːɾɔtʰ
শরীয়তপুর	ʃoliːtˈpuːɾ
শরীর	ʃɔɹiːɹiːd
শরীয়তপুর	ʃɹiːd̪iˑɔul
শরীয়তপুর একটি বাংলাদেশের একটি জেলার নাম	siʃa bt̪ut̪e
শর্করা	ʃɾkɹa
শর্ত	ʃɔːɹtɔ
শর্তসাপেক্ষে	ʃɔrtʰʃaˑpeɔe̯keʃi
শর্তাদি	ʃɔːɹt̪aːdiː
শর্তাবলি	ʃɾt̪bʱɔliˑ
শর্তের	ʃɾteɾ
শর্মিলা ঠাকুর	ʃɔrmiːlɑː tʰakuɾ
শরৎ চন্দ্র বসু	ʃɹt̪tʃɔnd̪ɹʊ bɔʃʊ
শলাকা	ʃaːlaːqa
শশাঙ্ক	ʂaʈʂan˥˥kʰo˨˩˦
শশী	sˌoːsjˈ
শসা	ʃaːaː
শস্তা	tʃastak
শস্য	ʃoʃˈo
শহর	ʃuɦoɾ
শহরতলি	ʃɔɦʊɾtʊnʲi
শহরতলী	ʃɔːɦoɾt̪oːniː
শহরবাসী	ʃɔhɔɾbaʃiː
শহরস্থ	ʃɔɦrsto
শহরের উপকণ্ঠ	ʃɦreɾ upɔɔkɔnʈʰ
শহীদ	ʃuhˈjːd
শহীদ দিবস	ʃuɦd̪ʱaˑbɔʃ
শহীদ মিনার	ʃohid miːnəɾ
শহুরে	ʃʰoˑɦ
শাঁস	ʃaʃ
শাক	ʃak
শাকসবজি	ʃakːʃobdʒi
শাখা	ʃaka
শাখা প্রশাখা	ʃɑkʰɑː pɾolʃɑkʰɑː
শাখা-প্রশাখা	ʃɑkʰɑːpɾosɑkʰa
শাড়ি	saˈrjɛ
শান্ত	ʃanto
শান্তি	ˈʃɑntli
শান্তিতে	ʃantite
শান্তির	ʃɑːndiːɾ
শান্তিশৃঙ্খলা বজায় রাখা	ʃant̪iˑsɾiˑŋ kʰːlabɔzaˑe ɾakʰaˑ
শাফায়েত	ʃafaae̞t̪
শাবক	ʃabok
শামলাপুর	ʃɑmɫɑkuɾ
শামসুর রাহমান	ʃam sˈʁɑ ˈmɑːn
শারদ প্রাতে	ʃaˑrod̪pɾat̪ːɹ
শারদাশংকর	ʃaˈɾɑhˈtˈeʃɑˈnkoɾ
শারমিন	ʃaːrmiːn
শারীরিক কাজ	ʃariːrikː kaːdz
শার্ট	tɑːɾt
শালগম	ʃɑːlgɔm
শালিক	ʃɑlik
শাশুরি	ʃaːʃuːriː
শাসক	ʃaʃok
শাসকগোষ্ঠী	saʃokgʃtʰi
শাসকশ্রেণী	ʃaːʃoksɾeni
শাসন	ʃaːʃɔn
শাসনকাল	tʃaˈtʃɔnkal
শাস্তি	tʃastɛ
শাস্তি পাওয়া	ʃastɪ pˈaʊɚ
শাস্ত্র	ʃastro
শাহজাহান	ʃaːdʒaːɦan
শাহবাগ়	ʃɑɹbɑn
শিউলিফুল	ʃuːliːpʰuːl
শিকার	ʃɪkɑːr
শিকারি	ʃɛkɑːliː
শিকারী	ʃiːkəriː
শিক্ষক	ʃiːk˥ʊk˥
শিক্ষককে ভক্তি কর	ʃiˑkkʰːeˑ bʱokt̪iˑ kɾɔ
শিক্ষা	ʃiːk˥ʰa˥˥
শিক্ষা প্রতিষ্ঠান	ʃiχˈa pɾotistˈan
শিক্ষানবিশ	siikːkʰːanobɪʃ
শিক্ষাব্যবস্থা	ʃikːɑbʔostɑ
শিক্ষাব্রত	ʃikabroto
শিক্ষাব্রতী	ʃikːabˈɾɔtˈi
শিক্ষার্থী	ʃɛːkʰaːɾtʰe
শিক্ষার্থীদের	siqkatːideɾ
শিক্ষার্থীর	ʃɪkʰɑrɖtʰiːr
শিক্ষার্থীরাও	siːk˧tʰt̚˨˩raːw
শিক্ষিকা	sikːika
শিক্ষিত পাঠক	ʃiˑkʃit̪ɔ paɔt̪ʰɔkʰ
শিখছ	ʃiːktʃe
শিখছি	ʃiktʃi
শিখছিল	ʃiːktʃiˈlɔ
শিখছিলাম	tʃiktʃɪlɛn
শিখছিলি	fˈiktʃˈeˈli
শিখছিলে	ʃiktʃʰile
শিখছিলেন	ʃɪktʃʰiːlɪn
শিখছিস	ʃiːk˨˩seʃ˥˩
শিখছে	ʃiːkʰtʃʰe
শিখছেন	ʃiːk˨˩tsʰen˨˩
শিখত	tʃikːtˈo
শিখতাম	ʃiːktam
শিখতিস	ʃiːkˈtiʃ
শিখতে	ʃiːkˈte
শিখতেন	siːkʰitːən
শিখব	estasbon
শিখবি	ʃikːviː
শিখবে	ʃikw
শিখবেন	ʃikbin
শিখর	ʃikɑr
শিখরচুম্বী	ʃikːarʃˈumɛ
শিখল	ʃiklo
শিখলাম	ʃikːlam
শিখলি	tʃikli
শিখলে	tʃikle
শিখলেন	ʃiːklɪn
শিখা	ʃik˨a˥˧
শিখি	ʃik˨˩i˨˩˦
শিখিস	ʃiːk˧ɪʃ˨
শিখুক	ʃiːkɔː
শিখেছ	sikeːtʃo
শিখেছি	ʃiketʃi
শিখেছিল	ʃiˑkʰetʃʰiloˑ
শিখেছিলাম	ʃiːk˧tʃiːlɑm
শিখেছিলি	siːkʰeːtʃiːliː
শিখেছিলে	tʃikeˑtʃile
শিখেছিলেন	ʃikeˑtʃʰileʱɔn̪
শিখেছিস	ʃiːkʰeːtʃiːʃ
শিখেছে	ʃi˥˧kʰɪ˥˥tɕʰe˨˩˦
শিখেছেন	si˥˧tʃʰan˥˧
শিখো	ʃikɔ
শিগগির	ʃegˈjɾeɾ
শিগগিরই	ʃəkːri
শিথিল	ʃiːtʰl
শিনজো আবে	tɕiːnˈgio abe
শিফট	ʃɪft
শিম	ʃim˨˩
শিম্পাঞ্জি	ʃiᵐpanʄi
শিয়াল	ʃɪˈɑl
শিয়ালদহ	sialdɔ
শির	ʃiːd
শিরোনামহীন	ʃɛɔnaːmɔnhɛn
শিরোমনি	ʃiɾomoni
শিলা	ʃiːlɑ
শিলা-বৃষ্টি	ʃiɔl̪abɹiʃt̪iˑ
শিলিগুড়ি	ʃileˑguːˈɾiː
শিল্প	ʃilpo
শিল্পকলা	ʃiɔpɔqɔla
শিল্পকলায়	sɾlpoˑkoˑlaˑe̯
শিল্পজগৎ	ʃinpodʒaogo
শিল্পসাহিত্যের অঙ্গন	ʃiˑn poɾ ʃaɦʰiˑt̪ːt̪iˑɾ əŋgɔn
শিল্পসৃষ্টি	ʃiːlpʊsˈɹistˈi
শিল্পায়ন	silpajon
শিল্পী	ʃɪlˈpʰe
শিল্পীসুলভ	ʃiːlpjʃuːlˈab
শিল্পের জন্য শিল্প	sin per zono sinpo
শিশির	ʃiʃiɾ
শিশু	sɪʃu
শিশ্ন	ʃiʃno
শিষ্য	ʃiʃˌoː
শিস	ʃiʃ
শিসধ্বনি	siˑʂd̪ʱoniˑ
শিয়রে	siɔɾe
শী	ʃiː
শীত	ʃɪt
শীতকাল	ʃitkal
শীতল	ʃitˈol
শীতের মাস	s̺it̪te̞ɾ maːʃ
শীর্ণ	ʃiɾn
শুই	ʃuːi˨˩
শুও	ʃuɔ
শুক	ʃuk
শুকনা	ʃukna
শুকানো	kˈamˈɑ̃
শুক্র	ʃukrˈo
শুক্র গ্রহ	ʃukrɔbɾɔɦɔ
শুক্রবার	ʃukrobar
শুক্রাণু	ʃukːrɔnuː
শুচ্ছ	ʃutʃo
শুচ্ছি	ʃutʃʰiˑ
শুচ্ছিল	ʃutʃʰiˑloˑ
শুচ্ছিলাম	ʃʊdʃɪlʲm
শুচ্ছিলি	ʃuːttʃʰiliˑ
শুচ্ছিলে	ʃutʃile
শুচ্ছিলেন	ʃutʃjln
শুচ্ছিস	ʃutʃis
শুচ্ছে	ʃutʃe
শুচ্ছেন	ʃutʃen
শুতাম	ʃotʃi
শুতিস	ʃupis
শুতে	ʃupˈe
শুতেন	ʃuten
শুতো	ʃuto
শুদ্ধ বাংলা	ʃutʰoː baːnː
শুধু	ʃudʱu
শুধু তা–ই নয়	ɕud̪ʱuˑ t̪aˑi̯ nʊeːʱ
শুধুমাত্র	ʃuːd̪ɹoˑmaːt̪ɔ
শুনছ	ʂu˥˥
শুনছি	abonistʃi
শুনছিল	ʃuntʃʰil
শুনছিলাম	ʃuntʃʰil̪ɐm
শুনছিলি	ʃntʃʰiˑliˑ
শুনছিলে	ʃuntʃʰileʱɔn̪
শুনছিলেন	untʃʰi˥˧lən˥˧
শুনছিস	ʃuntʃˈeʃ
শুনছে	ʃuntʃʰe
শুনছেন	ʂun˥˥tsʰen˥˧
শুনত	ʃunto
শুনতাম	ʃunt̪ːm
শুনতিস	ʃˈunpiːs
শুনতে	ʃunt̪e
শুনতেন	ʃuntˌeˌnˌ
শুনব	ʃunbo
শুনবি	ʃuːnbiː
শুনবে	ʃunbe
শুনবেন	ʃunben
শুনল	ʃuːnloː
শুনলাম	ʃɔnlam
শুনলি	ʃuːnli
শুনলে	ʃunʃɔle
শুনলেন	ʃuːnlən
শুনি	ʃuniː
শুনিস	ʃuniːʃ
শুনুক	ʃunuk
শুনুন	tsʊˈnʊn
শুনে	ʃune
শুনেছ	ʃunetʃo
শুনেছি	ʂu˨˩nɛ˥˩leʃi˥˩
শুনেছিল	ʃunetʃʰil
শুনেছিলাম	ʃˈɔntʃiːlʌf
শুনেছিলি	ʃuneʃʰli
শুনেছিলে	ʃunetʃʰile
শুনেছিলেন	ʃunetʃʰileʱɔn
শুনেছিস	ʃˈuːnetʃʰiˑʃ
শুনেছে	ʃuneetʃe
শুনেছেন	ʃunetʃʰen
শুনো	ʃu
শুন্য	ʃunˈno
শুবি	sʊbʲi
শুভ	ʃub
শুভ জন্মদিন	ʃubʱ dʑɔnːmoːɔd̪iˑnɔ
শুভ নব বর্ষ	æʃuˑb ne bːoɾʃɔ
শুভ নববর্ষ	ʃubʱoˑ nbɔ bɔɾʃoˑ
শুভ বড়দিন	ʃuˑbɔbɔɾɔ d̪iˑn
শুভ সকাল	ʃubʱɔ ʃɔkɑ
শুভ সন্ধ্যা।	ʂu˨˩˦ ʂu˨˩˦
শুভরাত্রি।	ʃubʱɔɾat̪ɾiˑ
শুভাকাঙ্ক্ষা	ʃuɦakʰankʰaɾ
শুভাগত হোম	ʃuːbʱaɦam
শুভেচ্ছা	ʃuˑbʱeˑt̪ːʃʰaˑ
শুভ্র	ʃʊbʁɑ
শুরু	ʃuɾu
শুরু করা	ʃoɾuː kɹæm
শুরু হওয়া	ʃuɾuhɒːwa
শুরুতে	ʃoɾuːtɛ
শুরুয়া	ʃɾua
শুলাম	ʃuləm
শুলি	ʃuːliː
শুলে	ʃule
শুলেন	ʃuɔlˈæn
শুলো	ʃulo
শুশুক	ʃuʃuɟ
শুষে নেওয়া	tʃuʃe nawa
শুষ্ক	ʃuʃko
শুস	ʃuʃ
শুয়ে	tʃuːjɛ
শুয়েছ	ʃuˈjɛtʃu
শুয়েছি	ʃɔtʃ
শুয়েছিল	ʃuetʃʰilɔ
শুয়েছিলাম	ʃuːjtʃʰiːlæm
শুয়েছিলি	ʂue˥˥tɕʰi˥˧li˨˩˦
শুয়েছিলে	ʃuetʃʰile
শুয়েছিলেন	ʃuːjaːtʃiːleːn
শুয়েছিস	ʃuːttʃiːz
শুয়েছে	ʃuɛtʃe
শুয়েছেন	ʃuːj˧˧a˥˧tsʰeŋ˧˧
শুয়োর	ʃuɔɹ
শূকর	ʃukɔɹ
শূন্য	ʃumnbʱ
শূন্যরেখা	ʃuːnˈnuːɾekʰaː
শৃঙ্খল	sɹˈɪŋkˌɔll
শেকড়	tʃakɔr
শেখ	ʃeːk
শেখ মুজিবুর রহমান	ʃæk muːdiːbuːɾ xʊbɑn
শেখা	ʃɛːkʰɑ
শেখে	ʃeki
শেখেন	ʃiːkən
শেখো	ʃakal
শের-এ-বাংলা	ʃeɾebɑŋla
শেরপুর	ʃeɾbuɾ
শেরশাহ	ʃɚːʃa
শেষ	ʃeʃ
শেষ করা	ʂɛʂkɔrɑ
শেষ পর্যন্ত	ʃeʃ ɾɔ do˞ntɔ
শেষকৃত্য	saʃsikritːɔ
শেষটায়	sistai
শেষদৃশ্য	tʃeʃtojiʃˈe
শেষার্ধে	ʃɛːʃaːrde
শেষে	ʃeʃe
শেষোক্তটির	ʃe̯ʃpʰti̯ti̯e̯aː
শেয়াল	ʃɛːl
শৈবাল	ʃojˈbal
শৈলী	ʃojli
শৈলীগত	ʃliˑgɔtʰoˑ
শৈলেন্দ্র	ʃojlɛndro
শৈল্পিক	ʃoː˧ːlpukː
শো (তুই শো)	ʃo tuː jʃo
শোও	ʃɔː
শোচনীয়	ʂɤ˨˩˦njɛn˧˥
শোচনীয়ভাবে	ʃtʃniˑoˑbʱaˑbe
শোণিত	ʃonjtˈo
শোন	ʃɔ
শোনা	ʃona
শোনে	ʃoni
শোনেন	ʃneɔoˑen
শোন্‌	ʃˌoːn
শোব	ʃobu
শোবার ঘর	ʃobar gʱɑːr
শোবে	ʃobe
শোবেন	ʃɔbɛ
শোভন	ʃɔbʱɔn
শোভনক	ʃʊbʱɔnɔːk
শোভনতা	ʃuβ̞ʱnt̪aˑ
শোভনীয়	ʃbʱːʱoni̯e̯
শোভমান	ʃbʱmaːn
শোভা	ʂɔva
শোভাকর	ʃbʱaːqɔɹ
শোভাঞ্জন	ʃbʱanːdʑɔn
শোভাদায়ক	ʃɔbɦanaɪ̯ɔk
শোভান্তরি	ʃoˑbʱaːnt̪oriˑ
শোভান্বিত	ʃvɔbʱaɔn̪it̪oˑ
শোভাবর্ধক	ʃbʱaˑbɔɾd̪ʱok
শোভামণ্ডিত	ʃbʱaˑmɔn̪d̪it̪ːoˑ
শোভাময়	ʃbʱamɔ̀ːi
শোভাময়তা	ʃubʱaˑmɔeɔtɔ
শোভাময়ী	ʃbʱaːmoːiː
শোভাযাত্রা	ʃvbʱaˑt̪ɾaˑ
শোভাযাত্রী	ɕʰobʱaːdʑat̪ʰɹiː
শোভাযুক্ত	ʃbʱaˑdʑukt̪oˑ
শোভাহীন	ʃʊbʱʱɑːɦɪn
শোভিত	ʃɔbʱiːtoː
শোল	ʂun˥˩
শোলা	ʃu˨˩˦la˥˩
শোষণ	ʃɔʃɔn
শোয়	ʃou˥˩
শোয়া	ʃoa
শৌচাগার	sˈoːtəgˌɑːr
শৌভিক	ʃuːbʱiːkː
শৌর্য	ʃou̯rdʒu
শৌর্যশালিতা	ʃoˑuːɾdʒoˑʃaˑliˑt̪aˑ
শৌর্যশালিনী	ʃʊːɹdʑoˑʃɦaˑli̯niˑ
শৌর্যশালী	ʃau̯ɾdʑoʃaˑli
শৌল্ক	ʃoːnkoː
শৌল্কিক	ʃɔulkikː
শ্বদন্ত	ʃodæˈŋtɔ
শ্বশুর	ʃoʃuːr
শ্বশুরবাড়ি	ʃoʃuɾobaɽe
শ্বশুরালয়	ʃoʃuːdæɾlɑj
শ্বশুর্য	ʃoʃuːrdʒuː
শ্বশ্রূ	tʃuʃtruː
শ্বশ্রূমাতা	ʃoˈsɾumata
শ্বসন	ʃɑʃɔn
শ্বসমান	ʃa˥˩ʃlman
শ্বসিত	ʃoʃito
শ্বাস	ʃaːs
শ্বাস নেওয়া	aʃneua
শ্বাস ফেলা	ʃɑʃ pɛla
শ্বাসকষ্ট	ʃaʃqɔʃtʊ
শ্বাসক্রিয়া	saʃbria
শ্বাসপ্রশ্বাস	ʃɑʃpɾɔʃˈaʃ
শ্বাসরুদ্ধকর	ɾʃaˑʃɹud̪ʱkɹaɹ
শ্বাসাঘাত	saːshshat
শ্বেত	ʃˈɛt
শ্বেতকণিকা	ʃet̪konika
শ্বেতকরবী	ʃædkɑːrɔːbiː
শ্বেতকাঞ্চন	sˈɛtkəndʒˈɑn
শ্বেতকুষ্ঠ	ʃɛtkʊʃtʃo
শ্বেতচন্দন	sˈɛtdʒˈɑndɒn
শ্বেতচর্ম	sˈɛtdʒˈɔrmo
শ্বেতদ্বীপ	ʃetod̪ip
শ্বেতপত্র	sˈɛtpˈɔtɾo
শ্বেতপদ্ম	ʃˈɛtɒdˈum
শ্বেতপাথর	sˈɛtpatʁo
শ্বেতপ্রস্তর	sˈɪtfɹˈuːstɔɹ
শ্বেতবর্ণ	ʃtˈbˈˈoɾnˈo
শ্বেতাঙ্গ	ʃɛtɑŋgo
শ্বেতাভ	ʃɛtaˑbʱʰoˑ
শ্বেতি	ʃit̪i
শ্মশান	ʃɔːʃɑːn
শ্মশান ঘাট	ʃɔʃɑŋ gʱaɹɖ
শ্যাওলা	tʃau̯la
শ্যামল	ʃæmɔl
শ্যেন	tʃɪn
শ্রদ্ধা	srɔda
শ্রদ্ধাবোধ	srɔdːʱabod
শ্রদ্ধাবোধ করা	sˈɾodhˈbʊd kɾɑ
শ্রদ্ধাশীল	srod̪aʃil
শ্রদ্ধাশীল হয়ে ওঠা	ɔsrod̪ʱaˑsiˑl ɦɔe̯ ɔtʰaˑ
শ্রদ্ধেয়	tɨoti
শ্রবণ	srobon
শ্রমজীবী	sromodʒili
শ্রমরত	srʊmɔratʊ
শ্রমিক	ˈsɹɒmɪk
শ্রমিকদের	soˈmiˈkˈdeb
শ্রমিকের	sɔmɪkeɾ
শ্রাদ্ধ	sradɔ
শ্রান্ত	srʌndo
শ্রাবণ	t̪ɾaβ̞on
শ্রাবণজল	saɾaːbonxaˈj
শ্রিকুমার ব্যানার্জী	srɪkˈum ˈarv ɛndrˈgi
শ্রী	θɹiː
শ্রী অরবিন্দ	sri ɔrɔbindɔ
শ্রীপতি	sripoːˈti
শ্রীপতিচরণ	sɹipʊtitʃɔɹon
শ্রীরামকৃষ্ণ পরমহংস	ɔːsramkɹisnoː poːɹoːm hɔ̃ʊ̃ʃu
শ্রীরামপুর	sriːampʊʒˈe
শ্রীলংকা	sʁilɑ̃ka
শ্রীলেখা	sriljka
শ্রেণীকক্ষ	srnˈiːkoːk�oː
