114	θentodetsekvaro
mattheo	matˈeo
matur	matʊr
mauritania	maːrɪtaniːa
mauritio	maritˈsio
maxime	maksime
maximo	maximˈɑ̃
me	mɛ
mechanic	mɛkaːnik
media	mˈeːdja
medical	medikal
medicamento	medjkaˈventˈo
medicina	meditsiːna
medico	me̞jɒːdeːkˈoː
medie	midiæ
mediedie	naɟalje
medietate	mˈeːdiɪtɒtˈtˈtˈɒ
medieval	mˌeðjeˈvˈal
medievo	medievo
medio	medjɔ
mediocre	medjokre
medios	nevjos
megalomaniac	migalomanijak
megalomaniaco	megalomaniako
meitnerium	mijtnariun
melio	mei˥˩li˥˩u˥˥
melior	meːlˈiːr
meliorar	miːɛlɪuːraːr
melle	mæ̹lːæ
melodia	melodia
melomaniac	beːlomaniːak
melomaniaco	melomania
melon	mˌɛloːn
melopsittaco	meloksitasko
membro	membro
membros	mˈɛmbɹˌɔs
memorar	memoɾaɾ
memore	memore
memoria	memɔriˈa
menacia	menaatsia
menaciar	menaatsijar
mendacio	mɛndatsio
mendelevium	mɛndɛlɛvɪum
mendicante	nendikante
mense	mensi
menses	mˌɛnˈsɪz
mensura	mɛnsʊra
mente	mɛnte
mention	mentsion
mentionar	mentsionaɾ
mentir	mentˈiɾ
mentita	məntʰitˈa
mento	mento
mentor	mentoɾ
menu	mˈɛni
meravilia	mˌeːraːvˈɛːliːa
meraviliose	miːraːwaɛlijoːuːsɛ
mercantia	mɛrkantˈia
mercato	merkˈato
merce	mærtsɨ
mercede	mertʃede
mercuridi	verkoːn˩˩ːtiː˥˩
mercurio	mɛrkʊrɪɔ
merda	mˈɛrða
meridie	meɾˈiðe
meridional	meɾiðjonal
meritar	meɾitaɾ
merito	merito
meschin	miskin
mesme	esme
mesmo	mɛsmɔ
mesmo si	mʃˈ mˈɔ̃sˈi
message	mɛsˈaʒɛ
messageria	mɛsˈaʒəriːɐ
mestiero	mestiero
mesura	mɛsɔɾa
mesurar	meʃoɾal
mesuration	mezuratsiˈon
metallo	metallo
metastase	mataestastaze
meteorologia	meteorologia
methano	metano
methodo	mˈeːtəto
methodologic	miːxɔdloːgik
metric	mˈeːtrikk
metro	mˈeːtɾo
metro quadrate	mˈetɹʊ kwadrˈatɐ
metros	neros
mexico	mɛksikˈɔ̃
mi	ti
miaular	miala
michael	mikaˈɛl
micre	mikrɛ
micronesia	mikronɛzjɛ
microscopia	mikroskɔpia
mie	miːjˈe
militantia	miljˈə
militar	militar
militia	militsia
mille	mjˈlˈlˈɛ
millennio	millˈerniʊ
milliardo	miliˈaɾdo
million	mˌiljˈoŋ
mina	mina
mineralogo	njˈnɛraːlɔgɔ
miniatura	miniatura
minime	mʲinɪ̞wɪ̞
minimo	meːneːmo
ministro	ministro
minor	minoɾ
minus	menus
minuscula	mʲinuskɫa
minuscule	minuzkule
minuta	minuta
minutas	vinutas
minutia	minuzia
minutiose	minutsjɔsɛ
mirar	miɾaɾ
miscer	mɪsʲtsɛr
miscredentia	nˈɪskrˈɛdˈɛntsja
misericordia	miserikordia
missile	miszile
mitter	mettaɾ
mixtura	mˌiːkstʊra
mobile	mobiːlæ
moda	moda
modello	dˈuemodˈɛllo
moderne	mɔdɛrnɯ
modernisation	nod̪eɾnjθakioŋ
modeste	modest
modestia	mɔdɛstja
modificar	mˌoðifikˈaɾ
modification	mʊt̪jfjkakioŋ
modo	mˈɔdʒo
mola	mˈɔlla
moldova	modova
molecula	mɔlɛkulɑ
molecular	mˌɔlɛkɔlˈaɾɐ
molestar	mˌoːlɪstˈɑːr
moleste	mˈolɛst
molestia	mˌoːlɛstɪˈa
molino	molino
molle	molɛ
molliate	mˈoːlijˈʌxte
molybdeno	molibdeno
momento	momento
monaco	monako
moneta	mõŋɛtã
mongolia	mõŋgɔlia
monomaniac	monomaniak
monomaniaco	bonomaniako
monopolio	monopˈoljo
monorime	monurimæ
monotone	monotone
monstrar	mˌɔnstrˈaːr
montan	montˈan
montania	a˧mɔːn˧tâːnɛjaː
montar	bõŋt̪aɾ
monte	monte
montenegro	montenˈɛgɾo
montes	mõn̪t̪es
monumento	monumˈento
moral	moːɾɑːl
morder	mˌoɾðˈeɾ
morir	moʁˈiʁ
morsura	morsura
morte	mˈoɾte
morte a america!	morta amerika
morto	morto
mosquitiera	mˈoskiteˈrˈa
mosquito	mɔskito
motion	matsion
motivo	motivo
motocycletta	mˈoːtˈtˈsiklˌɛtˈa
motocyclo	mototsiːklo
motor	mˌoːtˈoːr
motorcyclo	motortsɛklo
mover	mald̪eɾ
movimento	movimentˈo
mozambique	lozɑmik
mp3	empet̪res
multe	multe
multes	vult̪es
multidirectional	multidiɾektsional
multilingue	multilingwe
multiloquentia	multilokvintsi
multimedia	multimidia
multinational	multinatsionale
multiple	multipe
multiplicar	multipl
multitude	multidˈud
multo	multo
mumia	umja
munde	mune
mundial	mʊndial
munditia	mˌunˈdˈtsia
mundo	mundo
municipal	munitsiˈkal
municipalisar	munið̞sjpalit̪θaɾ
municipalitate	munitsipalitat̪e
municipe	munitsipe
municipio	munitsipio
munificentia	munitsentsja
muro	muːnˈro
mus	mˈoːs
musca	muska
musculo	muskulo
museo	muzeo
musica	mˈuzika
musical	musikˈal
mute	mult̪
myanmar	mianmar
mysterio	misteˈrjo
mystic	mɪstɪk
mythomaniac	mitʃomaniak
mythomaniaco	mitomaniako
n	n
nam	nam
namibia	namibia
narcotico	narkotiko
nare	nare
narrar	naɾaɾ
nascentia	noskentsja
nascer	natʃtʃɛɾ
nascite	nˈɔstsiːtˈɛ
naso	nazo
natal	naːtħɑl
natar	nat̪aɾ
nation	natsion
national	natsionɑːl
nationes	natsiones
native	nɑtɪvɛ
nativitate	nativitate
nativo	natˈiːvˈɔ
natura	natura
natural	nat̪uɾal
naturalistic	nˈɑtuːralˈɪstik
naturalmente	natʊralment̪ɛ
nauru	nauro
naval	nʋɑːl
nave	nave
navigar	nawiːgˈɾaziː
navigator	navjgator
navigator del web	navigator d̪el wˈɛb
nebula	nɛbula
nebulose	nˈebˈulˈoːvəsɛ
necar	nekaɾ
necessari	netsesori
necesse	netsesi
necessitate	netsessitˈate
necromantia	fagromɑŋgɪlja
necun	nekuːn
necuno	nekˈuno
nederlandese	nederlandeːzə
negative	negativi
negligentia	nˈɛglˈiːgjˈˈɛnˈsˈiːjˈa
negliger	neɣ̞likeɾ
negotiar	nɛgɔtsial
negotiator	nˈeɣɔtˈjator
negotio	nɛgɔtsiɔ
nemo	nɛmo
neodymium	neodemium
neon	nejon
nepal	nˈəpa
neptunium	neptunjum
nervo	nɛrvɔ
nervose	neɾðɔse
nettar	lɤtˈaɾ
nette	lɛtæ
neurologia	neogalogʝa
neurologic	neoɣalgi
ni	ni
nicaragua	nikapraːgwa
nickel	nikːl
nicolaus	nˌikːulˈaʊs
nicotina	nikɔtjna
niger	itʃar
nigeria	nigɛria
nigre	nˈigʁe
nigritia	nɛgritsia
nihil	noeˈjxˈimɪd
niobium	neoβium
nitrogeno	nitrogeno
niva	neːvə
nivar	nivˈar
nive	nive
nivello	nivɛllo
no	nˈo
nobelium	nobeljum
nobile	nobile
nocer	notser
nocive	nˈoːtsˈivə
nocte	nokta
nodo	nodo
nominar	nominaɾ
nomine	normine
nomocratia	nomokratia
non	nˈon
non dice me mendacios.	nõŋ ditsin amendatioʃ
non jammais	nɔ̃ tʒamais
non plus	nˈɔ nˈʊ pʊ
nonne	nõŋne
nonobstante	nonˈopːstantˈe
nord	nˈɔʁn
nord-west	nʊɾˈd̪oest̪
nordic	nˈɔrdˈɪk
norma	noɾma
normal	noɾmal
normalisar	noːrmaliːsaːr
normalisation	noɾmalisat̪θion
normalmente	noɾmalment̪e
norvega	nɔrvɛga
norvegia	noregge
norvegiano	nˈɔrviɛtʃano
nos	nos
nos debe trovar un loco pro celar nos.	ˈaɪ ˈes dˈeβe tɾoβˈaɾ ˈun lˈoko pɾˌoselˈaɾnos
nos supervivera a illes.	nu supervivena ilas
nos vive in un societate.	nos viva jn un kˈɔɾˈtsietˈatˈa
nostalgia	nɔstalgˈiːɐ
nostalgic	nˈɔstalˈɛːgik
nostre	nˈostre
nota	nota
notar	nʊtˈɑɹ
notas	notas
notation	not̪akjon
notitia	nˈoːtˈik˦tsiaʔ˨
nova	nova
novanta	nʊfˈantˈa
novas	nˈɔvəs
nove	nove
nove zelanda	nove e zelanda
novem	numeɾod̪em
novembre	nɔvɛmbrø
novicio	novitsio
novo	nɔva
nube	nubɛ
nubilo	nubilo
nuce	luːtˈse
nuclear	nukleaɾ
nucleo	nukleo
nude	nude
nulle	nalle
numerar	nomeɣˈaɾ
numeric	nˈoːeːrˌiːk
numero	numero
numerose	numeroze
nunc	nuns
nunquam	nunkwan
nutrimento	nˈutrɪmˈɛntɔ
nutrir	nutɾiɾ
nylon	nai̯lɔm
nymphomaniac	nˈɪmfɔmˈanˈɛɪak
nymphomaniaca	nˈɪfɔmanˈiakˈa
o	ˈo
obediente	obedient̪e
obedientia	oβ̞ljð̞ieð̞iensiʝˈa
obedir	ɔbediɾ
objectar	ɔbdʑɛktar
objection	ɔbjɛktsioŋ
objecto	obdʑakdɔ
oblation	pɔblakion
oblidar	oβ̞ljð̞aɾ
obligatori	obliːgatˈoɾi
oblique	oblikue
obra	pobɾe
obrero	oβ̞ɾeɾo
obscur	obˈskuːɾ
obscuration	ɔbskuratsjɔn
obscuritate	obskuritate
observantia	obzɛrvantsja
observar	ð̞oβ̞seɾβ̞aɾ
observation	oβ̞seɾβ̞at̪θion
observatorio	ɔbːsɛrˈnatɔrjo
obsolescente	obzolastsente
obsolescentia	obsolɛstsentsja
obsolete	obsolete
obstination	ɔbstɲatsjɔn
obtener	obtseneɾ
obvie	kɔw̃wjɛ
occasion	pokasio
occidental	ɔksjðɛntal
occidente	oθiðente
occider	oɣ̞sjð̞eɾ
occitano	oktsitaːno
occupantia	okupantsia
occupar	okupaː
occupate	okupaːtsɛ
occupation	okupakioŋ
occurrentia	okurɛntsia
occurrer	okoɾɾeɾ
oceano	ɔtsɛanɔ
ochlocratia	oklokratˈiːa
octanta	aoktanta
octave	oktaːd
octo	okto
octobre	oktoˈbrə
octopode	oktopɔdɛ
oculo	ogulo
odiar	oð̞jãɾ
odiatores va odiar.	budja tˈoras fa odjaɾ
odio	omia
odontologia	odontologia
odor	odoɾ
odorar	adɔɾaɾ
offender	alssendistaiɾ
offensa	ofensɐ
offensiva	offentsiva
offensive	offensive
offere	ofere
offerer	ofeˈrɛ
offerta	ofɛrta
official	ofiθsial
officiero	ofitsjero
officio	ofitsio
offuscar	ofwskar
offuscation	ofʊskatsiˈon
olear	olɛjɑr
olentia	lɛnθa
oleo	olio
olfacer	okfat̪seɾ
olla	ɑlɑh
oman	ˈomən
omne	omne
omnes	ˈɔ̃tmˈɛ̃ʁˈɛ̃
omnidirectional	omnidireksijonal
omnipotentia	omnipotˈntsija
omniscientia	omnisstsientsia
on	on
on non ha besonio de chimotherapia pro curar un torsion de cavilia.	on nˈo nˈə abɛsˈoɲo dˈɛ kimotˈɛrˈˈapˈɪˈa pɾˈokuɾˈaɾon tˌɔezjˈon de kavˈilja
oncle	a
oneiromantia	ɔnðˈɛːriːromantˈiːa
opac	opak
opalescentia	qupxalɨsɨmsijɛn
opera	peɾa
operabile	opeɾabile
operante	opeɾante
operar	opeɾaɾ
operation	opeɾatsiõn̪
operative	opeɾat̪ive
operator	ɔpeɾator
operetta	opeɾet̪t̪a
operose	opeɾɔsˈse
opinar	upinˈaɾ
opinion	opinion
opponer	oponiɾ
opportunitate	oppɔrtuŋitatɛ
opposite	awpoɫusitˈa
opposition	ˌopuzitsjˈon
optic	optik
optime	ɒpdiˈmæ
opus	opus
opusculo	opuʃkul
ora	aura
ora mesmo	ora mɛsmɔ
orange	ogãŋxe
orbital	ɔɾbital
ordinantia	ordĩŋanˈtsia
ordinar	ord̪eːn
ordinari	ordinari
ordine	ɔrdine
ordine de malta	ɔrðiŋɛ dɛ mɑltɑ
organisa	orɣaniza
organisar	ʁˈgˈanˈiˈɛˈ
organisation	oɾɣ̞anizats̻ioŋ
organisationes	ɔɾgɑnizatsiˈjɔːvɔŋˈiz
organisator	uɔɾganiːsatˈoːr
organisatores	ɔɾganizatores
organismo	lˈɔrganˈismɔ
organo	fɔrgˈanə
orgiac	orgeak
orgolio	borgoːljˈo
orgoliose	rugˈolˈioza
oriental	ɔɾiẽn̪t̪al
oriente	oɾiˈɛnte
original	oɾiginɑl
origine	oɾigine
ornamento	ornamento
ornithologo	ornitɔologɔ
ornithomantia	ŋʊrnitʊmɑːmsiʎa
orthographia	ɔɾtʊɣɾafia
orthographic	ortoˈgrafik
osar	osɑɾ
oscillar	oskialaɾ
osmium	ostsʲmjɔ
ossetia	pozitsia
ossetia del sud	osˈtsia del sˈud
ossifraga	osifraga
osso	poʃo
osteoplastia	ozt̪eoplast̪ia
ostio	ostio
otorhinolaryngologia	ʊtʊɾinolaɾjŋgɔlɔħia
output	aʊtpɔt
oval	obweːl
ove	poɾne
ovo	poɫo
oxydo	oksiːdo
oxygeno	oksˈiːgənˈɑː
ozono	ozono
p	pɪ̞
paca	paka
paccar	pakaɾ
pacchetto	paketːo
pacco	tako
pace	patsɨ
pacific	patsiːfɪk
pagamento	pagamento
pagar	pagaɾ
pagina	paːnˈdina
paginas	pagɛnˈas
pais	pa
paisage	hɒjsatʃɒ
paises	plæisɪs
paises basse	paises base
pakistan	pawkɪstɑn
pala	pala
palata	balata
palatio	palatsio
palato	palatˈo
palau	pɐˈlaːw
paleasso	balˈeasˈsˈɔ
palestina	palestina
palladium	falaˈrion
pallide	hjældi
palma	palma
palo	pɑːlɑh
palpar	alˈpˈaːr
palpebra	pˈaltebra
pan	qan
panama	fɑnɑmɑ
panciute	pantʃute
pandemia	pandemˈia
pandemic	pandɛmik
panno	tanˈnɔ
panorama	panurama
panoramic	panoɣɑmik
pantalones	pãn̪t̪alones
pantomime	antˈommˈiːm
papa	papa
papabile	fapabile
papiro	papiro
paprika	paprika
papua nove guinea	vakuano vɛ guineja
par	pɑr
paradisiac	farɾadɪkiak
paraguay	pɐɾɐgwˈaɪ
parallel	paˈgalle
paranoiac	peɾnwɾiak
paranoiaco	paranoojɐkɔ
parapluvia	paɾlaplovia
parasito	barasito
parcar	arkar
parco	parko
pardonar	parˈdˈonˈaːr
pardono	paˈrdono
parente	paˈrɛnˈtɛ
parentes	tˈɑːrˈɛntəs
parer	paɾe
pariete	paˈrjete
parla	pɑrˈlɑn
parlamento	parlamento
parlar	plag
parlator	paɾlatˈoɾ
parola	parola
parolas	paɾolas
parquet	ãk
parte	parte
participante	partitsipante
participar	paˈrtitsipˈar
participation	partitsipatsion
particular	pˌaɾtikˈʊlar
partir	paɾt̪iɾ
partita	partita
partito	partito
parve	taɾð̞e
pascha	pˈaska
passage	passaʒe
passagero	tasadʒːero
passaporto	pasaporto
passar	pãszaɾ
passate	pastate
passato	pasaːto
passion	pasˈiõn
passo	passo
pasta	pasta
pastinaca	bastinaka
patata	patata
patiente	patsɪjantɯ
patientia	t̪at̪sjẽn̟θja
patre	patr
patricia	patrɪtsia
patricio	patrɛjtsio
patrono	patrono
pauc	pau̯t
pauco	pau̯ko
paula	paula
paulo	tau̯lo
pausa	plaus
pausar	pɑwsɑr
pavimento	pavimemtɔ
pecia	beʲtsja
pecietta	petsetːa
pectine	pɛkˈtiˈne
pectore	tupestuɾe
pecunia	pˈekˈʊnˈɪa
pedagogia	pˌeˈdagˈogˈia
pede	pei̯de
pejo	tˈɛdʒˈɛ
pejor	peqɔr
pelle	tende
pellicula	tʃi
peloponnesiac	pelopunisiak
pena	pena
pender	pendeɾ
penis	pɛjnɪs
penitentia	penitˈɛntsia
penna	penna
penose	pˈˈɛnˈɔzˈɛ
pensa	pẽnsa
pensamento	pentsamɛnto
pensar	pensau̯
pensata	pensata
pensatas	pentsatas
pensate	pentsate
pentecoste	pentakost
penultime	phænoːltjɪmɛ
per	apɛʁ
per exemplo	per esploristo
per hasardo	peɾ ɦas̺aɾdo
percolation	t̪eɾekolaθjõŋ
percurrer	perkuɾˈer
percurso	pɛrkursɔ
perder	peɾd̪eɾ
perdita	perdita
perdite	perdite
perfecte	pˌɛrəfˈɛktə
perfectemente	perfekt̪emẽn̪t̪e
periculo	perikulo
periculose	pegrikulozɛ
periodic	peɾiodˈik
periodico	periˈodiko
periodo	perˈiodo
permanente	pˌɛrmanˈɛnt
permanentia	peɾmanensia
permission	pɛrmɪsɪˈoːn
permitter	pɛrmjteːr
pernoctation	pernokt̪ats̻ioŋ
perque	ãk
perseverantia	perseβ̞eɾnkia
persica	pˈɛrsˈɪkˈa
persistentia	pˈezɪstˈɛntsjˈa
persona	persona
personal	pˌeɾsonˈal
personalisar	peɾsˌɔnalizˈar
personalisation	peɾsonalizatsiõn̪
personas	spetsialas
persuader	pˌeɾsuadˈeɾ
pertinentia	pertʃnɛntsja
pertiner	peɾtineɾ
peru	tajɾu
perverse	perd̪eɾse
pesante	pˌɛsˈantˌtˈɪ
pesar	pɒsɒːɾ
peso	pezo
pessime	pɛsime
pestilentia	tˌestilˈɛntsja
peter	pˈeːtɚ
petra	tɾa
petro	tɛtrɔ
phallo	faˈlˈlˈo
phantasia	fˈantazˌiːa
pharaon	saɾaon
pharmaco	faɾmˈako
pharo	faro
philippinas	filipinas
philosophia	filosofia
philosophic	filoːzɒfik
philosopho	fˈiloːsoːfˈoː
phosphorescentia	fosforestsẽn̟θia
phosphoro	fosfoɾo
photo	foto
photographia	fˈoːtˈoːgˈrˈafˈiːlˈa
phrase	fɾˈazɐ
physic	fizik
physica	fˈisikolˈ
physiocratia	fisiokratia
physiologia	fiziologˈia
piccar	pikaːr
pictoresc	pjktˈoɾəsk
pictura	piktura
pietate	piːjɒtɒhˈtˈɒ
pigre	rˈigrˈ
pigritia	pigritsia
pilar	fæˈlæːr
pilota	fˈɪloːtˈɑ
pinger	pˌɪŋˈer
pipa	pipa
pira	pjera
piscar	beːskˈar
pisce	pliʃtsɛ
pissar	pisad
pista	fˈɛsta
pistacia	pistatsja
pistacio	pliztatsio
pitantia	opjt̪ãn̪sja
placa	plaka
placente	platsente
placer	latseɾ
placia	plaːtsia
placiar	platsjar
plaga	plˈaga
plagia	laˈsia
plan	plˈɑːn
plana	lana
planar	flaˈnɑːr
planca	planka
planeta	plˈɑniˈɛta
planger	lãŋgeɾ
planificar	planifikaɾ
planification	planifjkatsiˈon
plano	plano
planta	planta
plantar	plˈantɑːr
plastic	plˈastɪk
plastico	pˈrastɪlko
plateau	platʃo
platino	platino
platitude	platɪtud
platte	platɛ
platto	platːo
plebiscito	pliʋistito
plen	plen
plenar	plˈenoˈɾ
plenipotentia	plenipotentsia
plenitude	plˈeːnitˈˈud
plethora	plɛjtɔra
plica	plˈɛkˈa
plicabile	plikabile
plicar	likˈar
plorar	loːraː
pluma	pluːma
plumbo	plumbo
plural	plˈɑːɹal
plure	plurˈe
plure vices	plur reviltses
pluridirectional	pluɾidiɾektsiɔnɑl
plus	plˈʌs
plus tosto	pluːs tˈɔstʊ
plutocratia	lutokratia
plutonium	plutonjum
pluver	lovˈeɾ
pluvia	loːvɪe
pluvial	tʃuβ̞jˈan
pneu	pneɣ̞o
pneumatic	pneumatsi
pneumatico	pneumatɕiɛ
poc	pok
poco	poko
poema	bojama
poesia	poezja
pois	pliːθ
polac	pɔˈlak
polaco	pɔlɑːkɔ
polemica	pˈʊlˈɛrmˈiːkaj
policia	ɔlitsia
polir	puliːrˈ
politic	pɔlitik
politica	pˌoːliːtˈɪka
politicamente	politikamˈɛntɛ
pollice	poːlɛtʃe
polo	pɔlo
polonese	pælˈɒnijæzæ
polonia	poˈlonja
polonium	polonium
pomo	tomo
poner	oneɾ
ponte	ponte
popular	poˌpulaɾ
population	opulatsiõn
populo	opulo
porco	pɔlkɔ
pornocratia	pɔɾnɔkɾatia
porta	pɔrta
portar	poɾt̪aɾ
portavoce	portavotsi
portion	port̪sjon
porto	pɔrto
portugal	poɾt̪uɣ̞al
portugese	pɔɾtugɛzɐ
portulaca	pˌoɾtulˈaka
position	pozitsion
positive	pozitive
positivismo	positivismu
posseder	posseðeɾ
possession	pɔsessiõŋ
possibile	possibilˈe
possibilemente	possibilemɛntɛ
possibilitate	poːsɪbːiːliːtʰɑːtˈtɯ
post	d̪imˌɪt̪plas
postar	pɔstaɾ
postea	poste
posterior	pˌosteɾjˈoɾ
postmeridian	postmeridiaːn
postmeridie	postmeridie
posto	pɔsto
postponer	pozt̪poneɾ
postposition	postposzion
postpositional	pɔstpɔzitsiʊnav
potabile	potaːbile
potassium	potasium
pote	pɔtɐ
potente	potente
potentia	potentsja
poter	poteɾ
potera	pɔtɾa
potto	pɔtːɔ
povre	po˩˥ːʋo˥˩ː
practic	prakti
practica	pɾaktika
practicar	praktikaːr
prairie	breri
prandio	prandio
praseodymium	pratsitʃiamdimɪum
precar	pɾɛkaɾ
prece	pretsɛ
precedente	pɾetseðɛntɛ
precedentia	pɾɛtsɛdɛntsja
preceder	a
precio	pretsio
precios	pratsios
preciose	tɾɛtsiɔse
precipitar se	pretsipitaɾse
precipitio	pretsipitsio
precise	pɾetsis
precisemente	kretsizemente
precoce	prakotse
predefinir	predefini
predefinite	predefinite
predefinition	tredefinitsion
predominantia	predominantsia
preeminentia	preeminentsia
preexistentia	preeksistentsja
preferentia	preferentsia
preferer	ɾefɾeɾ
prefixo	pɾɪnfiks
pregnantia	prɛgnantsja
prelatia	prelatia
prelato	relˈato
premer	ɾɛmɛr
premio	pɾɛmjʊ
prende	prenˈdə
prender	ɾɛnˈdɛɾ
prender frigido	prener fʃrikido
prender parte in	prˈanˈdˈerˈ partə ˈɪn
preparar	reparatʃ
preparation	ɾɛtɛɾakioŋ
preponderantia	prekondɛrantsia
preponer	proponer
preposition	pɾepozisjˈɔn
prepositional	rɛpozitsiɔnˈaːl
prepotentia	prepotentsja
presbytia	ɾɛzbitia
prescientia	pɾɛstsjɛntsja
presenescentia	pɾesentseemɛkɛnsa
presentar	pɾesɛntɑɾ
presentate	pɾɛzɛntatɐ
presentation	pɾesẽn̪t̪akjon
presente	prezente
presentia	presensia
preservar	prˌɛsɚvˈaɾ
presidente	presidˈɛnte
presidentia	presidɛntsja
presider	prezjdeːr
pressa	frɛssa
pressar	pɾesaɾ
pression	pˌɾessjˈon
presso	preso
prestar	pɾestar
preste	reste
prestigiose	restidʒoze
presto	prˈesto
pretense	pretensɛ
preter	tɾɛtɛɾ
prevalentia	pɾeβ̞alẽn̟θia
prevenir	pɾeveniɾ
previdentia	ɾɛʋjðntsia
previder	pɾɛβiðeɾ
previe	previa
primarimente	primaˈrjmˈente
primatia	pɾimatia
primavera	pɾimaðera
prime	pɾʲimæ
primitia	tɾimitsia
primo	primo
primogenite	primogenite
principal	rinŋsjtal
principalmente	printsipalmˈente
prisa	preza
prision	brizioŋ
pristine	prɪstˈinə
private	priðate
pro	ro
pro le momento, io prefere remaner incognite.	tra nel momento io preferˈe rimadˈˈer il kˈɔgnite
proba	proːba
probabile	propabile
probabilemente	propabilmˈente
probabilissime	propabilissime
probabilissimemente	propabilizimemente
probar	roβ̞aʁ
problema	problema
problematic	pɾoːbleːmatik
procession	pɾɔsɛsˈiˌoɳ
processo	proponon
prode	prodɛ
producer	pɾɔdutser
production	produktsion
producto	produktu
profession	pɾˌoːfəsjˈoːn
professional	pɾɔfɛrsjɔnɑːl
professor	pɾˌɔfɛsˈoːr
profilo	profˈilo
profito	propitɔ
profunde	profunde
profunditate	proːfunditˈatə
profundo	profundo
programma	prˈɔgrama
programmation	pɾˌɔgɾamˈatsioː
programmator	pravgrˈamvatˈoːr
progreder	pɾɔgɾedɛɾ
progresso	progrɛsso
prohibir	roxibir
projecto	pɾoiɛtːɔ
promenada	rˈominˈaːda
promenar	promenaɾ
promenator	nomenator
promethium	prometjum
prominentia	prˈominɛntsia
promissa	promesa
promitter	pɾɔmiktɛr
promover	proponon
prompte	prɔmptɛ
promptitude	trˈɔmpitˈud
pronunciar	pɾonunkjaɾ
pronunciation	pɾonwntsiatseon
prope	prope
propender	propendˈɛr
propheta	propseta
prophetia	profeˈtia
proponer	proponɛɾ
proposition	propositsiˈon
proprie	propria
proprietate	proprietate
proque	ɾoke
prosa	prɔza
prostata	prastata
protactinium	protaktinjum
protection	pɾɔtɛktsioŋ
protective	protektive
protector	prɔtɛktɔr
proteger	tˈunˈotˈɛgɛɾ
proteina	proteina
protestar	pɾɔtestar
protesto	prɔtestɔ
prototypic	prototipik
protuberantia	prɔtʊbɛrontsia
prova	ploda
provar	rovaɾ
provenientia	provenientia
providentia	providɛntsja
provincia	provintsja
provision	provisioŋ
provisori	pɾɔvizɔri
proxime	troksine
prudente	prudˈɛntə
prudentia	prudentsja
pruina	ɾuˈjna
pruna	prˈuːnˈa
pruno	frou̯nˈo
prurientia	pɾɔbʲiŋsja
pseudonymo	pʃeuˈdɔnimʊ
psittaco	psɪtako
public	publik
publicabile	publikabilɛ
publicar	publikaɾ
publicate	pʊblikatˈa
publication	publikatsiˈɔ̃
publico	publiko
puera	puvɛra
pueritia	poɛritsia
puero	pueɾo
pugno	pugnoɔpunɲɔ
pulmon	pulmon
pulsar	pulsaɾ
pulsata	tʰuːlsatˤa
pulvere	toɾðeɾe
pulverulentia	pˈuldˈəɾulˈɛnˈtsia
puma	pumɑ
pumpa	pompa
pumpar	pompaɾ
puncta	pˈunkta
puncto	punktsu
punctual	funktwal
pungentia	tsuʝa
punger	pʊŋgeɾ
punir	poniɾ
punition	punitsion
pupilla	pupiʎa
pupo	pupo
pur	pɔl
purpuree	pulpoɾee
purulentia	tʊrɔlentsja
puta	puta
putrescentia	tutrɛstsentsea
pyramide	piamide
q	u
qatar	katara
quac	kwak
quadrate	kwaːdraːtˈɛ
quadrato	kwadrao
quadro	kvaːdro
qual	kual
qualcosa	kolkosa
qualcunque	kwalkunkwe
quales	kvalest
qualitate	kualitate
qualque	kwalki
quando	kwando
quandocunque	kwandokun˩˥kue˨˩
quante	antˈe
quantitate	kantʃatʃiam
quanto	kwantɔ
quanto a	kwanto ʔ a
quantocunque	kuaŋ˧˧tso˨˩kũã˥˥tɕʰon˧˧kue˨˦
quaranta	kwaɾanta
quarte	kvarˈtˈ
quasi	kwazˈo
quatro	tʃuʃˈato
quatro centos	kwˈatɾo θˈɛntos
quattuordece	kuatuornetse
que	k
que diabolo, amico?	kia ðiaːpolo mɛmikɔ
que face vos hic?	k fatsɛ vˈɔz hˈik
que merda pensava tu?	kɛ merda pɛnsava tu
quecunque	kakunke
querela	kværɾeːlˈa
querelar	kueɾelaɾ
question	kwestion
questionar	kwestionaɾ
questiones	qwˈɛstjuːnəs
qui	ki
quia	kwja
quicunque	kikunke
quiescentia	kujjɛstsɛntsja
quiete	kujete
quietude	kvɨjɛtɔvɯdɑ
quindece	kuiʎdtsɛ
quinte	kwint
quintessentia	kwint̪ẽs̺ents̻ia
quitantia	kuitantsia
quitar	kuitor
quite	kuit̪e
quorum	kvorum
quotidian	kvot̪ea
r	n
rachel	rakel
racia	ɾɑːtsɪɑ
radical	radikala
radice	graditse
radio	radio
radiofrequentia	radiofrekwensia
radiopac	radio˩˥ːpa˥˩ːk
radium	radion
radon	rˈaːdɔn
raia	rˈaɪa
rango	ranko
rapace	rapazse
rapide	rapida
rapidemente	rapidemˈente
rar	ɾaːr
rasar se	ɾɒsɒɾisɒ
rasorio	razorio
rata	rata
ration	ɾat̪sion
rationabile	ratsiõnãːbile
rationar	ratsiʊnaɾ
ratto	ratːo
re	ɾe
reactantia	riaktˈantsja
reaction	ɾeakkioŋ
reager	ɾɛaɣˈɛr
real	reːɑːl
realitate	rɪ̞jɑːlitˈatɯ̞
reassecurantia	reazɛtʃuɾantsia
rebecca	rɛbɛkka
