''	tfoɲuzam
paguani	aguani
pajisje	pajisʲe
pajtin kasami	pajtiːn kasami
pak	pˈak
pako	pakɔ
paksa	paksa
pal gazulli	palʲ gasuɫɨ
pala	pala
pallat	alaːt
pallto	palto
pallë	pɔʊ
palmë	palm
palë	pal
panesër	fasˈnˈeˈsɛɾ
panjohur	paɲolhˈoɣ̞ur
pantallona	pˈanˈtˈalˈonˈɑ
pantallonat	antˈaˈlˈɔnˈaˈt
panxhar	panʒaːrv
panxharit	panʒaːɾid
papagall	pɐpˈagˈɐɫ
paparë	paˈpaːɾ
papritmas	apritmas
papuçe	apɔtʂɛ
papuçet	papuːtʃɛt
paqe	patʃɐ
para	paːr
parajsë	faraj
parapëlqyer	pˌarˈapˈʉltʃˈyːər
parat	paˈraːt
parave	pʰaːɻˈlaːvɯ
pardje	paltje
parfum	fou˥
paris	paris
park	pɑːɾk
partizani	partizani
partner	pˈɑɹtnɚd
partnerin	pakneɾlin
pasdite	asd̪it̪e
pash	pɑʃ
pasi	pasim
paske	pɑskɛ
pasqyrë	pɑsʃuɾ
pastaj	pastaj
pastroj	pastrɔi
pastruar	astruaɾ
pastrues	pastruːɛs
pastërma	pastˈɛrˈmˈa
pata	pata
patate	patatɛ
patate të skuqura	patatɨ to skuʃuɫa
patatina	patatiːna
pati	patːi
patjetër	patˈieːtˌeːɹ
patos	patos
patosi	atˈossɨ
patricia	patritsia
patëllxhan	patʊɫdʒaɾm
patëm	patɨm
pavarësisht	pavaɾsɛʃt
pazar	pazɑɾ
paç	patʃ
paç fat!	atʃkat
paçim	patʃɨm
pejë	pei̯
pema	pema
pemë	pem
pemët	pɛmt
peng	pˈɪŋ
pengon	pˌeŋgˈon
penicilina	pˌenitsilˈina
penuar	pˌenˈʊˈaɾ
peqini	vetʃini
perde	pˈeɾədɐ
perdet	pɛrdɛt
perfekt	pɚfˈɛkt
perfekte	perfekte
perparim	ãpaɾim
person	peˈson
persona	spetsiala
personale	pɛrˈsonˈale
perëndeshë	peɾdndʒ
perëndi	peranti
perëndim	peɾanðim
peshk	pɛʃk
peshkaqen	peʃkatʃe
peshkoj	pɛʃkɔj
peshkopi	beʃkopi
peshkopia	pɛʃkɔpiːa
peshku	pɛʃkɔ
peshq	pɛʃtʃ
pesë	pɛs
pesëdhjetë	bɪsðˈir
pesëmbëdhjetë	pɛsmozɪot
petrit çeku	petrit tʃeku
petrologjia	petrolodʒia
pi	piː
piero	pielo
pije	pijˈe
pika	pika
pike me gaz	piːk meː gas
piktura	piktˈuːra
pikturat	piktuːrat
pikturën	pˈɪktuɾən
pikturës	pikturas
pilaf	pˌiːlˈaf
pinel	pinel
pini	pini
piro malaveci	piro malavetsi
pirun	biro
piruni	piuɾni
pish	pʃ
pjata	pjata
pjekur	pʲekɫ
pjekuri	pʰi˥˩
pjeper	pjˈepɚ
pjepër	pjɛ˥˥pɤ˨˩˦
pjerin vlashi	pˈɪɛɾiːn βlˈaːʃi
pjeshka	bjɛʂka
pjeshkë	pjɛʂk
pjesë	pjɛs
pjesët	pieset
pjetër marubi	pjɛtr ma rubi
plagë	plˈag
plan	plˈɑn
plane	planen
planet	planet
plani	plani
plastika	plastika
plazh	plˈaʒ
pllana	plana
plot	plˈɑt
plumb	plˈumˈb
plumba	plˈumbˈa
plus	plˈʌs
po	pɔ
po, pak	pɔpɑk
podujevë	pɒduˈjev
pogradec	po˥˩ːgɾadɛts
pogradeci	pogradɛtsi
policisë	pojitsis
politika	politika
poliçani	pɔlitʃani
poloni	pɔlɔniː
popull	pɔpɔl
populli	pɔpɔli
popullit	pɔpɫit
popullsi	pupulsi
por	fɔːd
porta	pˈoɾta
portokall	poɾt̪okal
portokalle	pɔrtokaːlɛ
portokallet	pˌoɾtokˈaːlɨt
poshtër	pɔʃtɛr
postoj	pɔstɔj
pozicion	pozitsion
pozë	pɔz
prandaj	brˈanˈdˈaj
pranoj	kˌɛntˈa
pranvera	brˈanvˈɛːra
pranverë	brˈaʊnvˈeə
preferuar	pɾɛfɛrˈoˈuɐɹ
prek	pɾek
prekur	pɾˈekuɾ
premten	prämtˈeːn
premtim	pɾemtiːm
premtuar	prenˌnˈtˈor
prençi	prankɛ
presh	pɾɛʃ
presheva	pɾɛ
preshevë	pɾɛʃˈɛv
preshi	prenʃɪ
president	ɾˌezidˈɛnt
presidentin	presidentin
presion	pɾesjˈon
prespa	pɾɛjzpa
prezantoj	fɛnɛsantɔj
prift	brˈift
prill	pɾˈil
princi	printse
prind	pɹiŋd
prindërit	prindɾið
prishtin	pɾiʃtĩŋ
prishtinë	pɾistim
pristina	pɾɪstɪna
pritje	pɾˈitiə
privat	privat
private	pɾjvatɛ
privilegj	pɾiːvjlˈɛdʒ
prizreni	prizriːni
problemet	prop̥læmɛt
problemin	problemin
produkt	produkt
profesor	pɹˌufɨsˈoɾ
programin	propramin
pronari	pˌɾˌɔnˈaɾjʊ
prova	plɔva
provo	pluvˈɑ̃
provoj	pɾɔvoj
provojmë	provojm
provoni	provo˥˩ːni
provosh	pravɔʃ
pse	pse
publik	publik
publike	publikɛ
publikoj	publikoj
publikuar	publikuaɾ
pukë	pˈuk
pulle	puːlˈɐ
pullet	ʊɫɛt
pulë	pul
pulëbardhë	pˈʊlbaɾˌtˈ
punoni	punoni
punonte	pʊˈnɔntɛ
punosh	pˈunos
punë	pum˥˩
pushime	pʊsʃiːmɛ
pusho	pʊˈʃɑ
puth	puz
puthje	pufje
puç	pɔtʃ
pyesja	pyˀeːsjˈa
pyeti	pyɛti
pyetja	pʏ̞tjæm
pyetje	hˈøːtjˈɛn
pyll	føːl
páqja	patʃa
pëllumb	pˌɐlˈumˌpˈ
pëlqej	pəltʃeː
pëlqyer	pəlˈtʃuːjɑr
për	pɜːd
përballë	pˌɛʁdˈaʊ
përbashkuar	pøʁbˈaʃkˈuˈʌll
përbindësh	pɛrbindɔʃ
përbën	pəɾðɑn
përcaktuar	pəɾtsɑktɵɫɑjɾ
përderisa	bˈɚtəɹɪsɑn
përdor	pəˈdˈɔr
përdori	predoˈri
përdorim	pɔɾdɔblˈim
përdorimi	pordoɾiːmi
përdorin	pˈœrdˈoːrin
përdoroj	pɾdoɾoi
përdorur	pərdorur
përdorësh	pɨrˈdɔɾɨʃ
përemrat vetorë	pə rˈemr ˈadvətˈoɾ
përemër	pɔrɛmɛrd
përforcoj	pufurtsɔj
përfshij	pˌyɾəvʃˈiɹ
përfundoi	pɔɾfʊŋdɔj
përfundoj	poɾfwmdoi
përfundojë	pɚfumdoj
përfundon	peɾfunðɔn
përgatit	pəgˈɛtɪd
përgatitem	proːlgatːˈitan
përgjegjësi	pɔrtʃəɾsɪ
përgjegjësitë	pɚdʒidʃit
përgjigje	pˌɐrdˈɐʒˈa
përgjigju	pɔrdʒidʒʊ
përgjithmonë	pɔjdʒismon
përjashta	pˌɐɹˈɪɑːʃtˈɑ
përjashtim	pɔljaʃtɛːm
përjashtime	proʲaʃtʲimɛn
përjashtëm	pɹjɑʃtɑ
përkthej	pɔːksaj
përkthimi	pɛrkˈðimim
përkthyes	pɾakˈtˈɪvɪz
përkulem	pəɾkˈuːlˌeːm
përmeti	perme
përpiqemi	propitʃemi
përpiqu	pɛrpɪnʃu
përpjekje	pɔɫpiɛkjɛ
përpoq	pɔˈpɔtʃ
përpoqa	pɔrpoːtʃa
përqafim	pəʃafim
përrenjas	preɲas
përrenjasi	prˈeɪnˈaˈsi
përseriteni	pərsɛɾitɛni
përshtati	pˈɛrʃtˈati
përshtypje	pɚstupɪæ
përshëndetje	peɾseŋdɛdjɛ
përsipër	tˈɚsˈipɚ
përsëris	pˌɑsəɹˈis
përziej	bˈɚdiˈeɪ
përzihen	porziˈan
qafa	tʃafa
qafebar	tʃafɛbar
qafë	tʃaf
qaj	tʃoj
qante qaniu pas qerres së qeve se qeni qimekuq i ishte qepur pas.	tʃɛ antɛ tʃa niu pas tʃɛrez itʃeve sɛ tʃenitʃi mɛkudʒu iʃtɛtʃɛ pur pas
qark	ʃˈɑɹk
qazim laçi	tʃa zim lakɛ
qe	tʃɛ
qebapa	tʃepapa
qejfi	tʃiːzi
qelbur	tʃeɣimuɾ
qelibar	tʃilibɑɹ
qelizat	tʃɛliːzaːt
qelq	tʃeɾ
qemal haxhihasani	tʃɛːmɑl ħadʒiːha sɑːniːm
qen	tʃɛn
qendresa	tʃendresa
qendër	tʃaːnðɯr
qeni	ʃoːnˈ
qenin	tʃenɛn
qenke	tʃanka
qenë	tsʰen˨˩
qepë	tʃɛp
qerimaj	tʃeɾimə
qershi	kɜːˈʃiː
qershor	tʃɪɹsɑɹd
qesh	tʃʃ
qesharak	tʃeː˧ːʃa˥˧la˥˧k
qetë	tʃɛt
qiell	tʃɪə
qielli	tʃeɫɨ
qilar	kɪllɑːrd
qilim	tʃilim
qime	kiːmæm
qindar	tʃɪn˨˩˦dɑːr˥˩
qindarka	tʃindaːrka
qindarkë	tʃinˈdɑrkɯ
qiri	kɪɾiː
qirinj	tʃiɾˈɪn
qiriu	kɪ̞ɾioː
qofte	tʃoftɛ
quan	tʃʊn
quhej	tʃuːhej
quhem	tʃuːhem
quheni	tʃoˈvɛniː
quhesh	tɕuhɛʃ
quhet	tʃuhet
qukapik	tʃukapik
qumësht	tʃumast
qumështor	tʃumɒstɒɾ
qysh	tʃˈu
qytet	tˈətˈɛt
qytetarëve	tɕʰy˥˩ʰtaɪ˥˩ta˥˩ɻɤ˨˩˦ɕjɛn˥˩
që	tʃe
qëllim	tʃɔjm
qëllimi	tʃɛulimim
qëlloi	tʃɛloj
qëlloj	tʃɛlɔj
qëlloni	tʃɔɫɔnjɛ
qëllosh	tʃɒlɒʃ
qëndrim	tʃɛndʲːim
rabdishtë	ramtist
radha	glava
radhë	ɾəv
radio	radio
radomirë	ɛladˈemˈiʁ
rahovec	ɽaɦoʋʱtʃ
rajoni	roːˈaːˈɔni
ramiz alia	ɾɑːmizˈliːɑ
ramush haradinaj	ɾamuʃ haradĩŋa e
ramën çepele	la men tʃepele
rapanzëll	rapanzo
raport	ˈɛnpˈɔʁt
rasa rjedhore	rassa rʎe dal
rasti	nˈu
rastin	plastin
re	la
reaksion	ɾɾˌeakkjon
reale	nˈudˈiˈaːlə
realitet	ʁealitˈɛt
regjistruar	reʒistruaɾ
rehati	nˈʉdəhˈɑːrtˈɪl
rehatshëm	reχatʃon
rehovë	ɾˌeːˈov
remzie osmani	reŋzi reŋzio osmani
republika e maqedonisë së veriut	ɾɛpublika ɛ mʊˈʃtoni səˈbeɾjut
republika e shqipërisë	republika adzʃ tʃipois
reshedi	rˈeʃɛdi
respekt	ʁɛspˈɛkt
respektin	ælˈtˈɛzpeɪktɪd
restorant	rˌɛstoːrˈant
revani	ɛɾlævɑːnˈniː
revistë	ɾɛvist
revolen	rˈeːdˈɛːrvˈɑːlən
rexha	rˈɛja
rexhbecaj	rɛdʒbɛtsai̯
rexhep meidani	redʒep mej danj
rexhepi	rɛdʒɛpi
rey manaj	rˈeɪ mˈɑn ˈɑɪ
rezultatet	rɛsultatet
ri	θˈɚti
rigon	pɹˈɪtigɔːn
rilindja	ʉɾiːl˧iːnˈdiːɑː
rilindja kombëtare	rjˈlˈɪndˈiːˈɑ koːmtaːrˈə
rinor	hˈɛɹtinˈɔɹd
rita sahatçiu ora	liːtə saːhətʃiːu ɔːɾa
rita zeqiri	lita za xili
riviera shqiptare	pɾɛvjɛr a ʃɪptarə
rob	lɒb
rojet	ɛˈʋɛlɔːˈit
rolin	roːlˈɪn
romeo çela	romeo tʃela
romir zalla	rɔmiɾ zala
ronald gërçaliu	roˈnald kertʃaˈlio
roskovec	rɔzko˥˩ːvɛts
roskoveci	rɔskɔʋɛːtsi
rosë	plau̯s
rozafës	rozafas
rozina "rozi" prendi kostani	rozina rozi prˈɛndɪ kˈɔstˈaːnˈi
rozina "rozi" ​prendi kostani	roziŋa rozi prˈɛndɪ kostˈantɔ
rozina prendi	rosina prende
rozina prendi kostani	rosˈina prˈɛndɪ kˈɔstˈaːni
rozina ​prendi kostani	rozˈina prˈɛndɪ kˈɔstaːnˈi
rozmarin	ɾˈosmˈˈaɾˈinˈ
rozë	lˈɔz
rrah	rax
rrallë	rˈaɪv
rrallëherë	ɾˈɑlhˈɛɹd
rregulli	rɛguli
rregullojmë	rɛgulojmɯ
rreth	f
rrethuar	ɾesuaɾ
rrezatues	ɾɛzatuɛz
rreze	ˈɾˈɛse
rrezet	rɛzat
rrezet e diellit	rɛzɨ dɛ djaɫɛt
rri	ɾɪ
rrij	rˈiː
rrit	rˈit
rriten	ritæn
rrjedh	ɾˈjˈal
rrogozhina	rɔgɔʒina
rrogozhinë	rogoʒin
rrotë	rɔt
rrufe	ruːfˈa
rrugët	rˈugʌt
rrugëtim	rugɒtiˈm
rrumbullak	rɔmbulatɔ
rrush	ɾʊʃ
rrushi	ruʂi
rrxon	rɨdzɔn
rrymë	rɨm
rrëfehem	rʏfæjhæm
rrëmujë	rɛmuj
rrëshen	prɨʂɛm
rrësheni	rʃenʲi
rrëshqanor	rˈustʃanˈɔɹd
ruajtur	ɾʊaɪtˈoɾ
rubiku	lˈubɪku
rudens turku	rudens turku
rumun	lumˈɔ̃
rus	plˈʃ
ruse	rˈusˈɛ
rusi	ɾusi
rusisht	rusiʃt
rëndë	rˈant
rëntgen	rˈæntgˌɛn
rërë	ɾaːr
s'e di	r
s'ka përse	skapɾsa
s'mëson kali revan në pleqëri	smsʔonkɔɑːli ɾuaːn pliː tʃoɺe
sa	sˈa
sa kushton	sakusˈtɔn
sa është ora?	satʃt ɔra
sahatçiu	sehatʃɨw
saimir gongo	sajmiɾ gɔngɔ
saimir kodra	sajmiʝ gɔdra
saj	saj
salcë kosi	sal sˈɛst
sali berisha	səˈli bai̯ɾiː ɪkːʃɑ
sali emini	salii ɛmini
sallatë	saˈɫat
sami frashëri	sˈaːmi frˈaːʃli
samir mane	samir manˈe
samuel	sˈɑmwˌɛl
sanduiç	sandwitʃ
sapun	sapun
sapunxhiu	sapundʒiu
sara	saːra
sara jaupaj	sˌɐɾˈa jˈæv pˈoːj
saranda	saˈɾanda
sarande	saɾaːnˈðɑ
sarandë	sæɾɒːnd
saturni	saturni
sava	ava
sazan	sazan
scutari	skuːtai
se	tsɛ
sekonda	stˈato
sekret	sekret
sekrete	sekɾˈetɐ
selenica	selenitsa
selino	silinɔ
seman	se˥˩man
seminari	seminaɾi
serbi	sɛɾbi
serbia	seɾβia
serioz	seɾˈdiˈɔs
serioze	serioza
sesa	kisˈɛ̃
sevdaim	sɛfdaajim
shabllon	ʃɐbɫɔn
shaka	saka
shakaxheshë	ʃakadʒeʃ
shampo	ʃampo
shani tarashaj	ʃɑːni tæɾɑːʃɑj
shaqiri	ʃatʃiri
sharqi	ʃɐɹtʃɪ
shefin	ʃɛfin
shefqet	ʂɛftɕɛjɛt
shefqet vërlaci	ʃɛfʃɛt f rɛlatsi
shegushe bebeti	ʃɛguʃɛ bɛbɛtɪ
shekulli	ʃakuj
shembll	ʃæmbɨɫ
shembëllej	ʃambɨlˈeɪ
shenjat	ʃˈɛjˈnˈɑˈt
shenjtë	ʃtˈ
shenjë	ʃanʲa
sheqer	ʃɛː˩˦tsiː˥˩ɚ
sheqeri	ʃˈɛtɕeɾi
sheqerit	ʃɛjtɕɛjɛɾeð
shes	ʃɛs
shesh	ʃɛʃ
sheshtë	ʃɛʃtɔ
shet	ʃɛt
shfryj	ʃfˈˈɾʊi
shi	ʃɪ
shihe	ʃɪjɛ
shihemi më vonë	siːr mˈeː mˈʌvˈɑn
shihemi nesër	ʃiː hˈɛmi nˈɛsɚ
shihemi së shpejti	ʃiɦem mɛn sɔ ʃpejti
shijaku	ʃijaku
shije	ʃiːjæ
shijoj	ʃijoj
shikim	ʃikim
shikoj	ʂikɔj
shikojeni	ʃikoʲæni
shikojë	sɨkɔje
shikonte	ʃikonte
shinë	ʃiːnɑ
shishe	fʃiʃɛ
shitës	ʃitɔs
shkaba	ʃkaba
shkaktuar	ʃkaktuaɾ
shkaku	ʃkakum
shkallë	ʃkau̯
shkallët	ʃkɑɫɯ̞t
shkenca	ʃkɛntsa
shkencë	zˈkˈaɛnˌs
shkencës	ʃkæjentsæz
shkerdhate	eskoɾðatʊ
shkodra	ʃkɔˈdra
shkodran mustafi	ʃkɔdrannʊːstaːvi
shkodër	ʃkɔdar
shkoj	ʃkɔj
shkolla	ʃkɔɫa
shkolle	ʃkoɫɛ
shkollë	ʃkɔu̯
shkop	ʂkɔp
shkove	ʃkɔʋɛ
shkrepëtima	ʃkɾæpɛtʲima
shkrihet	ʃkɾihɛd
shkrim	ʃkrˈim
shkrimtari	tʃkɐmtaːrˈɨ
shkronjë	skrˈɑn
shkruaj	ʃkɾuɑj
shkruar	ʃkɾuaɾ
shkuan	ʃkuan
shkumbin	ʃkˈumbˈiːn
shkumbini	ʃkumbini
shkumës	ʂkomɨs
shkund	ʃkˈumpt
shkupi	ʃkupʲi
shkurt	ʃkwˈrtˈ
shkëlzen gashi	ʃkɐlzən kɐʃi
shkëndija	ske˩˥ːnja˥˩ː
shndritje	ʃtʃntrijtʲe
shoh	ʃa
shok	ʂok
shoqe	ʂɔsʲe
shpata	ʃpata
shpatë	tɛːp
shpatën	ʃpˈɑːtən
shpejt	spˈeɪt
shpejtim arifi	tʃpejtiːm aːriːfi
shpejtë	ʃpˈeɪt
shpejtësi	kəspɛjtiˈsi
shpellë	spɛɫ
shpend	spˈɛnd
shpesh	spɛs
shpif	ʃpjf
shpinë	ʃfɛn
shpirt	spˈɪɹid
shpirti	ʃpˈiɾti
shpirtit	ʃpˈirti
shpjegon	ɕpjɛgɔn
shpjertë	ʃpjerda
shporta	spɔrta
shpoti	ʃpɔtˈiv
shprehi	prij
shpresa	ʃpɾesa
shpresa frrokaj	spresa frokaj
shpresojmë	ʃpˈeɭsoːjm
shpresë	ʃpɾɛs
shpërthej	ʃpɔɾθɛj
shpëtim	ʃtɨm
shpëtoi	tɨpɨtaji
shpëtojmë	ʂpɨtojmam
shpëtojë	spətˈɔø
shpëtove	ʂpɔtɔvɛ
shqarth	ʃtʃaɾs
shqetësohesh	ʃtʃɛtɛsɔɦɛʃ
shqetëson	zsʃɛddzɔːn
shqetësoni	ʃtʃzɒːniː
shqetësuar	s̺ɪtsˈuɹ
shqip	ʃtʃɪp
shqipe	ʃtɕipɛ
shqiperi	sipɾi
shqiponja	ʃtʃipoɲa
shqiponjë	ʃtipɔnj
shqiptar	ʃɯpˈtɑːr
shqiptare	ʃtʃiptaɾe
shqiptarët	stʃiːptɑːrɑt
shqipëri	ʃtʃɪbɾːi
shqipëria	ʃˈɪpɹlɪə
shquar	ʃtʃˈor
shqypni	ʃtʃypˈni
shtab	ʃtap
shtator	tʃtator
shtatzanë	ʃtatzan
shtatë	ʃtat
shtatëdhjetë	tʃtokɛ
shtatëmbëdhjetë	ʂtɑnbʊðɯjet
shtesë	ʃtɛz
shtet	ʃtɛts
shtetet e bashkuara të amerikës	imemaːnokoɯ əɾɯ
shtetësi	tɨtsi
shtijë	ʃtʃɛj
shtim	ʃtim
shtime	ʃtiːmɛn
shtoj	ʃtɔj
shtrenjtë	ʃtrˈaɪnˈd
shtriga	ʃtrigo
shtrigë	ʃtrˈig
shtrihem	ʃtrʲiɣem
shtrirë	ʃtriːɐ
shtrënguar	ʃtrŋguaɾ
shtunën	ʃtunən
shtyj	ʃtʃɛ
shtyp	ʃtˈyp
shtëpi	ʃtupi
shtëpia	ʃtapja
shtëpin	tɨpʲin
shuaj	ʃuɑj
shuj	ʃuːj
shumica	ʂumjitsa
shumica nga ne	ʃuːmiːtsaŋanɛ
shumicë	ʃumˈiːts
shumti	ʃũŋte
shumë	ʂum
shumë mirë	ʂɤŋ˥˩mjɛn˧˥
shurdhër	ʃuɾzər
shëmtuar	ʃɑŋtuɔr
shën	ʃˈøn
shën valentini	tɨ valɛntini
shëndeti tuaj!	ʃondet̪e tuaj
shëndetshëm	ʃandɛtʃɔm
shëndetëli	ʃandɒˈtli
shëndoshë	ʃɛndoʃ
shëngjin	ʂun˥˩j˥˩l
shëngjini	ʃoˈndʒini
shërbim	ʃɛrbim
shëtitje	ʂɛtʲitsjɛ
si	sˈiɹ
si je sot?	ŋoo ˈesot
si je?	sie
si jeni?	si ja ni
si ju shkoj rruga	tsiː jɔʃkɔj ruˈga
si mund të shkoj atje?	simundəʃ kaʝatie
si quheni ju?	sikjuː ɛnɛjuː
si quhesh	siː tʃuˈaʃ
sidni hoxha	sɛ˥˩dni˥˩ ɦɔdʒa
sidomos	sedˈomɛ̃s
sidrit bejleri	sʲidʲːit bejlæːlɪ
sigurimi	segoˈrime
sigurinë	seˈʁuːrin
sigurohu	seŋgʊrɔːˈhɔ
siguroj	segˌuɾˈɔj
sikurse	sˌigˈʊɹsˈɛst
sill	zˈil
sille	sile
silleni	silenɛ
sillesh	sʲiɫæs
sillet	tsiːlɛt
simone	simone
sinagoga	sˌinagˈoːga
sinjal	sˌiːnjˈal
sinjalin	sinjalˈin
sistem	sist̪em
sistemi	sistɛmi
situata	situata
situatën	situatẽn
sjell	sjˈɛl
sjellim	tʃiɛlɪm
sjellin	tʃiuibatas
sjellje	sjɛlɪæ
sjellshëm	sʲeɫʂɨm
sjellur	siːˈɛlˈɔɹd
sjellësh	sʲeɫɨʂ
skifter	skifteːr
skrapar	skrˈapˈad
skuadrën	skwadran
skuadrës	eskwadɾɐs
skënderaj	skandɛjrai
skënderbej	sˈkəndˌalbˈɪl
skënderbeu	skandalebeːəʊ
skënderbeu korçë	skændɚbɛjoː kɔɹtʃ
slit	sljit
sllav	slˈɑf
slloveni	sɫɔvɛni
smeraldi	sɛːrɑːldiːb
smir	smiːr
snob	snˈɔb
sociologjia	sotsiolodʒˈia
sokol angjeli	soˈ kˈolˈ andʒɛllɪ
sokol cikalleshi	soˈkol sikaleʃi
solla	sola
solle	sɔɫe
solli	soɫle
sonja leço	soɲa letʃo
sonjela leço	soɲela letʃo
sonë	saːna
sorrë	sˈɔɹ
sotme	sotmæ
spanjisht	zpaɲist
spanjë	spˈaɪn
speca	spɛːtsɛ
special	spetsjal
speciale	spetsiale
spital	spital
spitali	spitˈalli
stacion	statsiˈon
stacion hekurudhor	statsʲion hẽkʰoɾoðaɾ
stadiumi	statjumɨ
stallë	tstaːlˈa
statistika	statistika
stefan	stɛfan
stilian	stiliaːn
stiliani	stiljani
stilolaps	stilolaps
stoli	stoːnli
stop	stɒp
strakosha	strakɔʃa
struc	struts
stërvitje	starvitjɛ
suedi	sue
suela konjari	sʊ ˌɛlˈa koɲˈare
suela qoshja	sʊ ɛlˈlˈa tʃoʃˈa
suela tukaj	suela tukaj
suela xhonuzi	sʊˈɛlɑ dʒonˈuzi
suflaq	ʃʊ̞fɫɑʃ
suharekë	sʊaɾek
sukses	sukˈses
sulm	soːlɪm
sulmuar	solmuːa
sundimtar	sˈʌmdiːmtˈɑːrd
super	suːpɛr
supozoj	supozoj
surprizë	sɔɹpɹˈiz
sven	sˈvˈɛn
sy	sy
syltjash	syltˈiˈaʃ
syri	sˈɚi
syrin	sˈyːriən
syt	syˈt
syve	syvˈe
syze	sysa
syzet	syːzɛt
sëmundje	samuːndjˈe
sëmurë	sˈɑmɔr
t'boftë mire!	bˈoːft mˈɪɹ
ta	ta
tabu	tabuu
tafiqi	tafiːsi
tajvan	tajˈvɑn
takimi	takʲimʲi
takimin	tɑkimin
takoj	takˈaj
takojmë	akojmu
takojnë	takɔjnɨ
takon	akon
taksi	taksim
takuam	takoɑm
tallaz	kɑlɑð
tanush topia	tanuʃ tɔ pia
tanë	tan
tashme	taːʃmɛ
taulant	tˈɐʊlˈɐnt
taulant xhaka	aːwˈland dʒˈakˈa
tave kosi	tav koːsi
tavolina	tavˈɑlˈɪna
tavolinë	tabolin
tavë kosi	taːv kɔːsi
taçi	taatʃɨ
teatër	tˈeːatər
tej	te
tek	tɛk
teke	tˈɛkə
teknologji	teknoloʒi
teknologjia	t̪eknoloɣ̞ia
telefoni	tˈɛlˈlˈɛfˈoni
telefono	t̪elẽfãn̪o
telefonoi	telefonoi
telefonoj	telefonoi
televizor	tˈɛlˈəviθˈoʁˈ
televizori	tˈɛlˈlˈɛviˈsˈorɪ
temperatura	tˌemperatˈuɾa
tenxhere	tenʒere
tepelena	θeplena
tereza	tɛrɛza
termodinamika	teɾmɔdɪnaˈmika
test	tɛst
tetor	tetˈoɾ
tetova	tɛto˥˩ːva˥˩ː
tetovë	tɛtɔɾbɑ
tetë	tɛt
tetëdhjetë	ˈesla
tetëkëmbësh	tɛtkɑˈnbɯʃ
tetëmbëdhjetë	tɛtbɪlvjæd
teuta	tɛutɑ
tharm	tsɤ˨˩˦m
tharti	θɑːɾtˈi
thartor	fartˈoːr
that	fˈaːt
thatë	sˈænt
thelbësor	ʁɛlpsar
thellë	θɛl
thelë	θˈɛl
them	fˈɛm
theth	sˈɛf
thika	fika
thikë	fˈik
thikën	fˈiːkən
thirr	fiːr
thirri	iri
thirrni policinë!	fiɾnji politsiˈn
thith	fˈaɪv
thomas	tso˥˩mɑːs˥˩
thomas strakosha	samas tra ko˥˩ːʃa
thoni	sˈoni
thonj	soːɲ
thot	fɔːt
thuaj	fua
thuaju	fuaɪu
thuhet	fouːhˈət
thumane	fumɑːnɛ
thyej	syˈe
thëllëzë	fˈɛlɚz
thërras	sʊɾɑːs
thërrasim	fɛraːsɪm
thërrasin	θraːsjm
thërrasësh	fɾaːsɨʃ
ti	tʃu
ti flet	tieːfˌlˈət
ti kupton	tʃiː koptɔn
ti lexon	ti˥˩lɛzɔn
ti, shqipëri, më jep nder, më jep emrin	tis tʃi pɾimɛ jˈɛp dɛɾmɑ jˈɛp ɛmlɪn
tifoz	tifoz
tigër	tˈigɚ
tij	ti
tilla	tila
tillë	tiu
tim	tɪm
time	tima
timen	tiːmən
timin	timin
tip	tip
tipat	tipat
tipik	tipik
tirana	t̪eɾana
tiranë	la
tirona	tˈiːrɑːnˈam
titroi	tʃitroj
tjerët	tʲiɛrt
tjetra	tjɛtra
tjetrën	tˈiːtˈrˈœnˈ
tmerr	smˈɛr
tmerri	tmeːri
tmerrik	tsmeːriːk
toka	toka
toke	stɔɫke
tokë	tɔk
tokëzoj	tɔgzɔji
tom	tɔm
tomi	tɔmi
tona	ona
tonë	tɔn
top	tˈɔp
topin	topim
tortë	dˈɔɹd
trahana	trana
trajnuar	trajnˈuːr
transmetoj	transmjatoj
transmeton	transmɛton
trashë	traʃ
tre	t̪rẽ
tregoje	trˈegˈoʊjɛ
tregojmë	træjgɔim
tregove	træɣɔvɛ
tregu	trɛgu
treisi nanushi	trɛj si na nuʃi
trembëdhjetë	trɛnbaðɪjɛt
tren	trɛn
treni	treni
trenin	trenin
trepça	trɛpːtʃka
tri	trˈi
tridhjetë	tɹɪlʲet
trigonometria	trigoˈnɔmetria
trim	tɹˈim
trishtuar	triʃtuaɾl
tropoja	tɾɔpɔjɐ
tropoje	tropɔj
tropojë	tropoj
trotuar	tɾotuaɾ
trup	truːp
trupa	trupa
tryezë	tɹɪeʃ
trëndafil	trˈɛndafˈiːl
trëndafili	trəndafɪlɪ
tuaji	tˈuˈaɪ
tuajit	lait
tufa	tsufa
tulipan	tuːliːpaːn
tullumbace	tulũmbatsɛ
tunden	tunda
tundje	tˈɵndjˈ
tungjatjeta	tundʒadtˈiːtˈan
turmë	fˈtˈʊrm
turne	tˈuɾneːm
turp	tˈɔɾp
tymi	tymɛjɛ
tyre	bɪrɛ
të	ta
të dashuroj	tadaʃ oɾoj
të dua	se duˈa
të lutem	tɛluːtɛn
tënd	stˈænd
tërheq	trˈˈɛtʃ
tërhequr	tərdhejsɔɹ
tërmet	tˈɜːmɛt
tоpologjia	tɔpɔnɔʒia
