a-má	a.ˈma
treinando	tɾey.ˈnã.dʊ
treinar	tɾey.ˈnax
treinaram	tɾey.ˈna.ɾãʊ̃
treinarem	tɾɛy.ˈna.ɾẽỹ
treinaria	tɾey.na.ˈɾi.ə
treinava	tɾey.ˈna.və
treinavam	tɾey.ˈna.vãʊ̃
treinos	ˈtɾey.nʊs
treinou	tɾey.ˈnow
treinta	tɾe.ˈĩ.tə
treiná-los	tɾey.ˈna.lʊs
treixedo	tɾey.ˈʃe.dʊ
trejeitos	tɾe.ˈʒey.tʊs
trejo	ˈtɾe.ʒʊ
treliça	tɾe.ˈli.sə
treliçada	tɾe.li.ˈsa.də
treliças	tɾe.ˈli.səs
trem	ˈtɾẽỹ
trematódeo	tɾe.ma.ˈtɔ.di.ʊ
trematódeos	tɾe.ma.ˈtɔ.di.ʊs
tremem	ˈtɾẽ.mẽỹ
tremembés	tɾe.mẽ.ˈbɛs
tremenda	tɾe.ˈmẽ.də
tremendas	tɾe.ˈmẽ.dəs
tremendo	tɾe.ˈmẽ.dʊ
tremendos	tɾe.ˈmẽ.dʊs
tremendão	tɾe.mẽ.ˈdãʊ̃
tremendões	tɾe.mẽ.ˈdõỹs
tremor	tɾe.ˈmox
tremores	tɾe.ˈmo.ɾɪs
tremoço	tɾe.ˈmo.sʊ
tremoços	tɾe.ˈmɔ.sʊs
tremula	tɾe.ˈmu.lə
tremulando	tɾe.mu.ˈlã.dʊ
tremular	tɾe.mu.ˈlax
tremês	tɾe.ˈmes
trencadís	tɾẽ.ka.ˈdis
trencavel	tɾẽ.ka.ˈvew
trentinos	tɾẽ.ˈtʃĩ.nʊs
trento	ˈtɾẽ.tʊ
trenzinho	tɾẽ.ˈzĩ.ɲʊ
trenó	tɾe.ˈnɔ
trenós	tɾe.ˈnɔs
treo	ˈtɾi.ʊ
treonina	tɾɛ.o.ˈnĩ.nə
trepadeira	tɾe.pa.ˈdey.ɾə
trepadeiras	tɾe.pa.ˈdey.ɾəs
trepador	tɾe.pa.ˈdox
trepadoras	tɾe.pa.ˈdo.ɾəs
trepadores	tɾe.pa.ˈdo.ɾɪs
trepanação	tɾe.pa.na.ˈsãʊ̃
trepando	tɾe.ˈpã.dʊ
trepar	tɾe.ˈpax
trepidação	tɾe.pi.da.ˈsãʊ̃
tresa	ˈtɾɛ.zə
tresloucada	tɾez.low.ˈka.də
tresminas	tɾez.ˈmĩ.nəs
tresouras	tɾe.ˈzow.ɾəs
trespassado	tɾes.pa.ˈsa.dʊ
trespassou	tɾes.pa.ˈsɔw
trespontana	tɾes.põ.ˈtã.nə
treta	ˈtɾɛ.tə
tretas	ˈtɾɛ.təs
treu	ˈtɾiʊ
trevas	ˈtɾɛ.vəs
treves	ˈtɾɛ.vɪs
trevico	tɾe.ˈvi.kʊ
trevolada	tɾe.vɔ.ˈla.də
trevos	ˈtɾɛ.vʊs
trevões	tɾe.ˈvõỹs
trezentas	tɾe.ˈzẽ.təs
trezentos	tɾe.ˈzẽ.tʊs
tri-campeão	tɾi.kã.pɪ.ˈãʊ̃
tri-lobulado	tɾi.lo.bu.ˈla.dʊ
tri-varga	tɾi.ˈvaɣ.gə
tria	ˈtɾi.ə
triacilgliceróis	tɾi.a.siw.gli.se.ˈɾɔys
triacontaedro	tɾi.ə.kõ.ta.ˈɛ.dɾʊ
triada	tɾi.ˈa.də
triagem	tɾi.ˈa.gẽỹ
trial	tɾi.ˈaw
triana	tɾi.ˈã.nə
triangular	tɾi.ã.gu.ˈlax
triangulares	tɾi.ã.gu.ˈla.ɾɪs
triangularis	tɾi.ã.gu.la.ˈɾis
triangulação	tɾi.ã.gu.la.ˈsãʊ̃
triangulações	tɾi.ã.gu.la.ˈsõỹs
triangulo	tɾi.ã.ˈgu.lʊ
trianual	tɾi.a.nu.ˈaw
trias	ˈtɾi.əs
triatleta	tɾi.a.ˈtʃle.tə
triatoma	tɾi.ə.ˈtʃõ.mə
triaxial	tɾi.ə.ʃi.ˈaw
tribalismo	tɾi.ba.ˈliz.mʊ
tribalistas	tɾi.ba.ˈlis.təs
tribeca	tɾi.ˈbe.kə
tribigildo	tɾi.bi.ˈʒiw.dʊ
triblásticos	tɾi.ˈblaʃ.tʃi.kʊs
tribo	ˈtɾi.bʊ
tribos	ˈtɾi.bʊs
tribrometo	tɾi.bɾo.ˈme.tʊ
tribruxo	tɾi.ˈbɾu.ksʊ
tribulação	tɾi.bu.la.ˈsãʊ̃
tribulações	tɾi.bu.la.ˈsõỹs
tribuna	tɾi.ˈbũ.nə
tribunado	tɾi.bu.ˈna.dʊ
tribunal	tɾi.bu.ˈnaw
tribunas	tɾi.ˈbũ.nəs
tribunicia	tɾi.bu.ni.ˈsi.ə
tribunos	tɾi.ˈbũ.nʊs
tributada	tɾi.bu.ˈta.də
tributadas	tɾi.bu.ˈta.dəs
tributado	tɾi.bu.ˈta.dʊ
tributados	tɾi.bu.ˈta.dʊs
tributar	tɾi.bu.ˈtax
tributaria	tɾi.bu.tə.ˈɾi.ə
tributarista	tɾi.bu.ta.ˈɾis.tə
tributação	tɾi.bu.ta.ˈsãʊ̃
tributações	tɾi.bu.ta.ˈsõỹs
tributos	tɾi.ˈbu.tʊs
tributária	tɾi.bu.ˈta.ɾi.ə
tributárias	tɾi.bu.ˈta.ɾi.əs
tributário	tɾi.bu.ˈta.ɾi.ʊ
tributários	tɾi.bu.ˈta.ɾi.ʊs
tributável	tɾi.bu.ˈta.vew
tribuzi	tɾi.bu.ˈzi
tricamaro	tɾi.ka.ˈma.ɾʊ
tricampeonatos	tɾi.kã.pi.o.ˈna.tʊs
tricampeão	tɾi.kã.pɪ.ˈãʊ̃
tricampeões	tɾi.kã.pɪ.ˈõỹs
tricana	tɾi.ˈkã.nə
tricanas	tɾi.ˈkã.nəs
tricarboxílicos	tɾi.kaɣ.bo.ˈzi.li.kʊs
tricarico	tɾi.ka.ˈɾi.kʊ
tricarpelar	tɾi.kax.pe.ˈlax
tricentenário	tɾi.sẽ.te.ˈna.ɾi.ʊ
tricerátopo	tɾi.se.ˈɾa.to.pʊ
trichinela	tɾi.ʃi.ˈne.lə
trichiura	tɾi.ˈʃiw.ɾə
tricholoma	tɾi.ʃo.ˈlõ.mə
trichomonas	tɾi.ʃo.ˈmõ.nəs
trichuris	tɾi.ʃu.ˈɾis
tricia	tɾi.ˈsi.ə
triciclo	tɾi.ˈsi.klʊ
triciclos	tɾi.ˈsi.klʊs
tricloreto	tɾi.klo.ˈɾe.tʊ
tricloroacético	tɾi.klo.ɾo.a.ˈsɛ.tʃi.kʊ
triclínico	tɾi.ˈkli.ni.kʊ
triclínio	tɾi.ˈkli.ni.ʊ
tricobótrios	tɾi.ko.ˈbɔ.tɾi.ʊs
tricolor	tɾi.ko.ˈlox
tricolores	tɾi.ko.ˈlo.ɾɪs
tricomas	tɾi.ˈkõ.məs
tricomoníase	tɾi.ko.mɔ.ˈni.a.zɪ
triconodonta	tɾi.ko.no.ˈdõ.tə
tricotilomania	tɾi.ko.tʃi.lo.ma.ˈni.ə
tricotomia	tɾi.ko.tɔ.ˈmi.ə
tricromática	tɾi.kɾo.ˈma.tʃi.kə
tricíclico	tɾi.ˈsi.kli.kʊ
tricíclicos	tɾi.ˈsi.kli.kʊs
tricórnio	tɾi.ˈkɔɣ.ni.ʊ
tricô	tɾi.ˈko
tricúspide	tɾi.ˈkus.pi.dʒɪ
tridacna	tɾi.ˈdak.nə
tridente	tɾi.ˈdẽ.tʃɪ
tridentina	tɾi.dẽ.ˈtʃĩ.nə
tridiagonal	tɾi.dʒi.ə.go.ˈnaw
tridimensional	tɾi.dʒi.mẽ.si.o.ˈnaw
tridimensionalidade	tɾi.dʒi.mẽ.si.o.na.li.ˈda.dʒɪ
tridimensionalmente	tɾi.dʒi.mẽ.si.o.naw.ˈmẽ.tʃɪ
triedro	tɾi.ˈɛ.dɾʊ
trienal	tɾi.ɛ.ˈnaw
triestina	tɾi.ɛʃ.ˈtʃĩ.nə
trietilamina	tɾi.e.tʃi.la.ˈmĩ.nə
trifena	tɾi.ˈfẽ.nə
trifenilfosfina	tɾi.fe.niw.fɔs.ˈfĩ.nə
trifida	tɾi.ˈfi.də
triflora	tɾi.ˈflo.ɾə
trifluoreto	tɾi.flu.ɔ.ˈɾe.tʊ
trifluoride	tɾi.flu.ɔ.ˈɾi.dʒɪ
trifoliadas	tɾi.fo.li.ˈa.dəs
trifurcula	tɾi.fux.ˈku.lə
trifásica	tɾi.ˈfa.zi.kə
trifásicas	tɾi.ˈfa.zi.kəs
trifásico	tɾi.ˈfa.zi.kʊ
trifásicos	tɾi.ˈfa.zi.kʊs
trifão	tɾi.ˈfãʊ̃
trifório	tɾi.ˈfɔ.ɾi.ʊ
triga	ˈtɾi.gə
trigarante	tɾi.ga.ˈɾã.tʃɪ
trigeminal	tɾi.ʒe.mi.ˈnaw
triglicerídeos	tɾi.gli.se.ˈɾi.di.ʊs
triglicerídios	tɾi.gli.se.ˈɾi.dʒi.ʊs
triglicéridos	tɾi.gli.ˈsɛ.ɾi.dʊs
trigo	ˈtɾi.gʊ
trigonal	tɾi.go.ˈnaw
trigonometria	tɾi.go.nɔ.me.ˈtɾi.ə
trigonométrica	tɾi.go.nɔ.ˈmɛ.tɾi.kə
trigonométricas	tɾi.go.nɔ.ˈmɛ.tɾi.kəs
trigonométrico	tɾi.go.nɔ.ˈmɛ.tɾi.kʊ
trigonométricos	tɾi.go.nɔ.ˈmɛ.tɾi.kʊs
trigoso	tɾi.ˈgo.zʊ
trigramas	tɾi.ˈgɾã.məs
trigueirinho	tɾi.gɛy.ˈɾĩ.ɲʊ
trigueiro	tɾi.ˈgey.ɾʊ
trigueiros	tɾi.ˈgey.ɾʊs
trigueros	tɾi.ˈge.ɾʊs
triguilho	tɾi.ˈgi.ʎʊ
trigêmeas	tɾi.ˈʒẽ.mɪ.əs
trigêmeo	tɾi.ˈʒẽ.mi.ʊ
trigêmeos	tɾi.ˈʒẽ.mi.ʊs
trilateral	tɾi.la.tʃe.ˈɾaw
trilha	ˈtɾi.ʎə
trilhado	tɾi.ˈʎa.dʊ
trilhados	tɾi.ˈʎa.dʊs
trilhando	tɾi.ˈʎã.dʊ
trilhar	tɾi.ˈʎax
trilhas	ˈtɾi.ʎəs
trilhas-sonoras	tɾi.ʎa.sɔ.ˈno.ɾəs
trilheiros	tɾi.ˈʎey.ɾʊs
trilho	ˈtɾi.ʎʊ
trilhos	ˈtɾi.ʎʊs
trilhou	tɾi.ˈʎow
trilhão	tɾi.ˈʎãʊ̃
trilhões	tɾi.ˈʎõỹs
triloba	tɾi.ˈlɔ.bə
trilobada	tɾi.lo.ˈba.də
trilobado	tɾi.lo.ˈba.dʊ
trilobados	tɾi.lo.ˈba.dʊs
trilobitas	tɾi.lo.ˈbi.təs
trilobulado	tɾi.lo.bu.ˈla.dʊ
trilocular	tɾi.lo.ku.ˈlax
trilogias	tɾi.lo.ˈʒi.əs
trim	ˈtɾĩ
trimensal	tɾi.mẽ.ˈsaw
trimestral	tɾi.mis.ˈtɾaw
trimestralmente	tɾi.mes.tɾaw.ˈmẽ.tʃɪ
trimestres	tɾi.ˈmɛs.tɾɪs
trimetilamina	tɾi.me.tʃi.la.ˈmĩ.nə
trimetilarsina	tɾi.mi.tʃi.lax.ˈsĩ.nə
trimonte	tɾi.ˈmõ.tʃɪ
trimotor	tɾi.mo.ˈtox
trimpe	ˈtɾĩ.pɪ
trina	ˈtɾi.nə
trinacional	tɾi.na.si.o.ˈnaw
trinacria	tɾi.na.ˈkɾi.ə
trinado	tɾi.ˈna.dʊ
trinados	tɾi.ˈna.dʊs
trinaldo	tɾi.ˈnaw.dʊ
trincadeira	tɾĩ.ka.ˈdey.ɾə
trincado	tɾĩ.ˈka.dʊ
trincas	ˈtɾĩ.kəs
trincheira	tɾĩ.ˈʃey.ɾə
trincheiras	tɾĩ.ˈʃey.ɾəs
trincheras	tɾĩ.ˈʃe.ɾəs
trindade	tɾĩ.ˈda.dʒɪ
trineta	tɾi.ˈne.tə
trineto	tɾi.ˈne.tʊ
trinetos	tɾi.ˈnɛ.tʊs
tringa	ˈtɾĩ.gə
trinidade	tɾi.ni.ˈda.dʒɪ
trinitariana	tɾi.ni.ta.ɾi.ˈã.nə
trinitarianos	tɾi.ni.ta.ɾi.ˈã.nʊs
trinitarismo	tɾi.ni.ta.ˈɾiz.mʊ
trinitária	tɾi.ni.ˈta.ɾi.ə
trinitárias	tɾi.ni.ˈta.ɾi.əs
trinitário	tɾi.ni.ˈta.ɾi.ʊ
trinitários	tɾi.ni.ˈta.ɾi.ʊs
trinta	ˈtɾĩ.tə
trinta-réis	tɾĩ.ta.ˈɾɛys
trintena	tɾĩ.ˈtẽ.nə
trio	ˈtɾi.ʊ
triodia	tɾi.o.ˈdʒi.ə
trionfo	tɾi.ˈõ.fʊ
triopas	tɾi.ˈɔ.pəs
triora	tɾi.ˈo.ɾə
trios	ˈtɾi.ʊs
triose	tɾi.ˈɔ.zɪ
tripa	ˈtɾi.pə
tripanossoma	tɾi.pa.nɔ.ˈsõ.mə
tripanossomíase	tɾi.pa.nɔ.so.ˈmi.a.zɪ
tripartida	tɾi.pax.ˈtʃi.də
tripartido	tɾi.pax.ˈtʃi.dʊ
tripartição	tɾi.pax.tʃi.ˈsãʊ̃
tripas	ˈtɾi.pəs
tripeiro	tɾi.ˈpey.ɾʊ
tripel	tɾi.ˈpɛw
tripla	ˈtɾi.plə
triplamente	tɾi.pla.ˈmẽ.tʃɪ
triplas	ˈtɾi.pləs
triplete	tɾi.ˈplɛ.tʃɪ
tripleto	tɾi.ˈplɛ.tʊ
tripletos	tɾi.ˈplɛ.tʊs
triplica	tɾi.ˈpli.kə
triplicada	tɾi.pli.ˈka.də
triplicado	tɾi.pli.ˈka.dʊ
triplicando	tɾi.pli.ˈkã.dʊ
triplicar	tɾi.pli.ˈkax
triplicaram	tɾi.pli.ˈka.ɾãʊ̃
triplicação	tɾi.pli.ka.ˈsãʊ̃
triplicou	tɾi.pli.ˈkow
triplo	ˈtɾi.plʊ
triploblásticos	tɾi.plo.ˈblaʃ.tʃi.kʊs
triplos	ˈtɾi.plʊs
triplos-duplos	tɾi.ploz.ˈdu.plʊs
triplóide	tɾi.ˈplɔy.dʒɪ
tripolar	tɾi.po.ˈlax
tripolitânia	tɾi.po.li.ˈtã.ni.ə
tripos	ˈtɾi.pʊs
trips	ˈtɾips
tripsina	tɾip.ˈsĩ.nə
tripsinogênio	tɾip.si.nɔ.ˈʒẽ.ni.ʊ
triptamina	tɾip.ta.ˈmĩ.nə
triptaminas	tɾip.ta.ˈmĩ.nəs
tripulada	tɾi.pu.ˈla.də
tripuladas	tɾi.pu.ˈla.dəs
tripulado	tɾi.pu.ˈla.dʊ
tripulados	tɾi.pu.ˈla.dʊs
tripulante	tɾi.pu.ˈlã.tʃɪ
tripular	tɾi.pu.ˈlax
tripulação	tɾi.pu.la.ˈsãʊ̃
tripulações	tɾi.pu.la.ˈsõỹs
tripura	tɾi.ˈpu.ɾə
tripuí	tɾi.pu.ˈĩ
tripé	tɾi.ˈpɛ
tripés	tɾi.ˈpɛs
triquinose	tɾi.ki.ˈnɔ.zɪ
trisavó	tɾi.za.ˈvɔ
trisavós	tɾi.za.ˈvɔs
trisavô	tɾi.za.ˈvo
trismegisto	tɾiz.me.ˈʒis.tʊ
trisneto	tɾiz.ˈne.tʊ
trissacarídeo	tɾi.sa.ka.ˈɾi.di.ʊ
trissomia	tɾi.so.ˈmi.ə
tristam	ˈtɾis.tãʊ̃
tristana	tɾis.ˈtã.nə
tristania	tɾis.ta.ˈni.ə
tristar	tɾis.ˈtax
tristemente	tɾis.tʃe.ˈmẽ.tʃɪ
tristeza	tɾis.ˈtɛ.zə
tristezas	tɾis.ˈtɛ.zəs
tristonho	tɾis.ˈtõ.ɲʊ
tristram	ˈtɾis.tɾãʊ̃
tristão	tɾis.ˈtãʊ̃
tritongo	tɾi.ˈtõ.gʊ
tritongos	tɾi.ˈtõ.gʊs
tritonia	tɾi.to.ˈni.ə
tritonoturris	tɾi.to.nɔ.tu.ˈxis
triturada	tɾi.tu.ˈɾa.də
trituradas	tɾi.tu.ˈɾa.dəs
triturado	tɾi.tu.ˈɾa.dʊ
triturador	tɾi.tu.ɾa.ˈdox
trituradores	tɾi.tu.ɾa.ˈdo.ɾɪs
triturados	tɾi.tu.ˈɾa.dʊs
trituram	tɾi.ˈtu.ɾãʊ̃
triturar	tɾi.tu.ˈɾax
trituração	tɾi.tu.ɾa.ˈsãʊ̃
tritão	tɾi.ˈtãʊ̃
tritírio	tɾi.ˈti.ɾi.ʊ
tritões	tɾi.ˈtʃõỹs
triunfa	tɾi.ˈũ.fə
triunfado	tɾi.ũ.ˈfa.dʊ
triunfalmente	tɾi.ũ.faw.ˈmẽ.tʃɪ
triunfam	tɾi.ˈũ.fãʊ̃
triunfando	tɾi.ũ.ˈfã.dʊ
triunfante	tɾi.ũ.ˈfã.tʃɪ
triunfantemente	tɾi.ũ.fã.tʃi.ˈmẽ.tʃɪ
triunfar	tɾi.ũ.ˈfax
triunfaram	tɾi.ũ.ˈfa.ɾãʊ̃
triunfaria	tɾi.ũ.fa.ˈɾi.ə
triunfará	tɾi.ũ.fa.ˈɾa
triunfava	tɾi.ũ.ˈfa.və
triunfo	tɾi.ˈũ.fʊ
triunfos	tɾi.ˈũ.fʊs
triunfou	tɾi.ũ.ˈfow
triunviros	tɾi.ũ.ˈvi.ɾʊs
trivago	tɾi.ˈva.gʊ
trivalente	tɾi.va.ˈlẽ.tʃɪ
trivela	tɾi.ˈve.lə
trivento	tɾi.ˈvẽ.tʊ
trivero	tɾi.ˈve.ɾʊ
trivia	tɾi.ˈvi.ə
trivial	tɾi.vi.ˈaw
trivialidade	tɾi.vi.a.li.ˈda.dʒɪ
trivialmente	tɾi.vi.aw.ˈmẽ.tʃɪ
triz	ˈtɾis
trizidela	tɾi.zi.ˈde.lə
triádica	tɾi.ˈa.dʒi.kə
triássica	tɾi.ˈa.si.kə
triássico	tɾi.ˈa.si.kʊ
triássicos	tɾi.ˈa.si.kʊs
triângular	tɾi.ˈã.gu.ləx
triângulo	tɾi.ˈã.gu.lʊ
triângulos	tɾi.ˈã.gu.lʊs
triênio	tɾi.ˈẽ.ni.ʊ
trióxido	tɾi.ˈɔ.ʃi.dʊ
triúnviro	tɾi.ˈũ.vi.ɾʊ
triúnviros	tɾi.ˈũ.vi.ɾʊs
trna	ˈtɾnə
trnava	ˈtɾna.və
troas	ˈtɾo.əs
troca-letras	tɾo.ka.ˈle.tɾəs
trocada	tɾo.ˈka.də
trocadas	tɾo.ˈka.dəs
trocadilho	tɾo.ka.ˈdʒi.ʎʊ
trocadilhos	tɾo.ka.ˈdʒi.ʎʊs
trocado	tɾo.ˈka.dʊ
trocador	tɾo.ka.ˈdox
trocados	tɾo.ˈka.dʊs
trocam	ˈtɾɔ.kãʊ̃
trocamos	tɾo.ˈkã.mʊs
trocando	tɾo.ˈkã.dʊ
trocar	tɾo.ˈkax
trocaram	tɾo.ˈka.ɾãʊ̃
trocarem	tɾo.ˈka.ɾẽỹ
trocaria	tɾo.ka.ˈɾi.ə
trocariam	tɾo.ka.ˈɾi.ãʊ̃
trocará	tɾo.ka.ˈɾa
trocas	ˈtɾɔ.kəs
trocava	tɾo.ˈka.və
trocavam	tɾo.ˈka.vãʊ̃
trocação	tɾo.ka.ˈsãʊ̃
troclear	tɾo.kle.ˈax
troco	ˈtɾo.kʊ
trocos	ˈtɾɔ.kʊs
trocou	tɾo.ˈkow
trocundo	tɾo.ˈkũ.dʊ
trocá-los	tɾo.ˈka.lʊs
trofa	ˈtɾɔ.fə
trofozoítos	tɾo.fo.zɔ.ˈi.tʊs
trogloditas	tɾo.glo.ˈdʒi.təs
trogo	ˈtɾo.gʊ
troiana	tɾoy.ˈã.nə
troianas	tɾoy.ˈã.nəs
troianos	tɾoy.ˈã.nʊs
troica	ˈtɾoy.kə
troisgros	ˈtɾoyz.gɾʊs
troje	ˈtɾɔ.ʒɪ
troleicarros	tɾo.ley.ˈka.xʊs
trolha	ˈtɾɔ.ʎə
trombadinhas	tɾõ.bə.ˈdʒĩ.ɲəs
trombeta	tɾõ.ˈbe.tə
trombetas	tɾõ.ˈbɛ.təs
tromboembolismo	tɾõ.bo.ẽ.bo.ˈliz.mʊ
trombolítico	tɾõ.bo.ˈli.tʃi.kʊ
trombos	ˈtɾõ.bʊs
tromboxanos	tɾõ.bo.ˈzã.nʊs
trombudo	tɾõ.ˈbu.dʊ
trompas	ˈtɾõ.pəs
trompeta	tɾõ.ˈpe.tə
trompetas	tɾõ.ˈpɛ.təs
trompetistas	tɾõ.pe.ˈtʃis.təs
tronador	tɾo.na.ˈdox
troncos	ˈtɾõ.kʊs
troncoso	tɾõ.ˈko.zʊ
troneiras	tɾo.ˈney.ɾəs
tronos	ˈtɾɔ.nʊs
tronou	tɾo.ˈnow
tronqueiras	tɾõ.ˈkey.ɾəs
tronto	ˈtɾõ.tʊ
troodos	tɾo.ˈɔ.dʊs
troopas	tɾo.ˈɔ.pəs
tropas	ˈtɾɔ.pəs
tropeirismo	tɾo.pey.ˈɾiz.mʊ
tropeiros	tɾo.ˈpey.ɾʊs
tropelias	tɾo.pe.ˈli.əs
tropeça	tɾo.ˈpe.sə
tropeçam	tɾo.ˈpe.sãʊ̃
tropeçando	tɾo.pe.ˈsã.dʊ
tropeçar	tɾo.pe.ˈsax
tropeço	tɾo.ˈpe.sʊ
tropeços	tɾo.ˈpe.sʊs
tropeçou	tɾo.pe.ˈsɔw
tropica	tɾo.ˈpi.kə
tropicalismo	tɾo.pi.ka.ˈliz.mʊ
tropicalistas	tɾo.pi.ka.ˈlis.təs
tropico	tɾo.ˈpi.kʊ
tropicos	tɾo.ˈpi.kʊs
tropismo	tɾo.ˈpiz.mʊ
tropos	ˈtɾɔ.pʊs
troposférico	tɾo.pos.ˈfɛ.ɾi.kʊ
troquem	ˈtɾɔ.kẽỹ
tros	ˈtɾʊs
trosa	ˈtɾɔ.zə
trou	ˈtɾʊʊ
trouxa	ˈtɾow.ʃə
trouxemos	tɾow.ˈʃẽ.mʊs
trouxeram	tɾow.ˈʃe.ɾãʊ̃
trovador	tɾo.va.ˈdox
trovadorismo	tɾo.va.dɔ.ˈɾiz.mʊ
trovas	ˈtɾɔ.vəs
troveja	tɾo.ˈve.ʒə
trovoada	tɾo.vo.ˈa.də
trovoadas	tɾo.vo.ˈa.dəs
trovão	tɾo.ˈvãʊ̃
trovões	tɾo.ˈvõỹs
troça	ˈtɾɔ.sə
troças	ˈtɾɔ.səs
troço	ˈtɾo.sʊ
troços	ˈtɾɔ.sʊs
truchas	ˈtɾu.ʃəs
trucidado	tɾu.si.ˈda.dʊ
trucidados	tɾu.si.ˈda.dʊs
truco	ˈtɾu.kʊ
truculenta	tɾu.ku.ˈlẽ.tə
truculento	tɾu.ku.ˈlẽ.tʊ
truculentos	tɾu.ku.ˈlẽ.tʊs
truculência	tɾu.ku.ˈlẽ.si.ə
trucão	tɾu.ˈkãʊ̃
truda	ˈtɾu.də
trueba	tɾu.ˈɛ.bə
truebi	tɾu.ɛ.ˈbi
truecolor	tɾu.ɛ.ko.ˈlox
trufa	ˈtɾu.fə
trufas	ˈtɾu.fəs
trumbo	ˈtɾũ.bʊ
trumpete	tɾũ.ˈpɛ.tʃɪ
trumpetista	tɾũ.pe.ˈtʃis.tə
truncada	tɾũ.ˈka.də
truncadas	tɾũ.ˈka.dəs
truncado	tɾũ.ˈka.dʊ
truncados	tɾũ.ˈka.dʊs
truncamento	tɾũ.ka.ˈmẽ.tʊ
truncatula	tɾũ.ka.ˈtu.lə
truncatura	tɾũ.ka.ˈtu.ɾə
trunfo	ˈtɾũ.fʊ
trunfos	ˈtɾũ.fʊs
trungpa	ˈtɾũg.pə
trupe	ˈtɾu.pɪ
trupes	ˈtɾu.pɪs
truques	ˈtɾu.kɪs
truro	ˈtɾu.ɾʊ
trustees	tɾus.ˈtɪ.ɪs
trutas	ˈtɾu.təs
trzebnica	tɾzɛb.ˈni.kə
trácia	ˈtɾa.si.ə
trácias	ˈtɾa.si.əs
trácio	ˈtɾa.si.ʊ
trácios	ˈtɾa.si.ʊs
tráfego	ˈtɾa.fe.gʊ
tráfegos	ˈtɾa.fe.gʊs
tráfico	ˈtɾa.fi.kʊ
tráficos	ˈtɾa.fi.kʊs
trágica	ˈtɾa.ʒi.kə
trágicas	ˈtɾa.ʒi.kəs
trágico	ˈtɾa.ʒi.kʊ
trágicos	ˈtɾa.ʒi.kʊs
trápani	ˈtɾa.pa.nɪ
trás	ˈtɾas
trásia	ˈtɾa.zi.ə
trânsitos	ˈtɾã.si.tʊs
trégua	ˈtɾɛ.gwə
tréguas	ˈtɾɛ.gwəs
tríade	ˈtɾi.ə.dʒɪ
tríades	ˈtɾi.a.dʒɪs
tríduo	ˈtɾi.du.ʊ
tríglifos	ˈtɾi.gli.fʊs
trímero	ˈtɾi.me.ɾʊ
trímeros	ˈtɾi.me.ɾʊs
tríodo	ˈtɾi.o.dʊ
tríplices	ˈtɾi.pli.sɪs
tríptico	ˈtɾip.tʃi.kʊ
trípticos	ˈtɾip.tʃi.kʊs
trítico	ˈtɾi.tʃi.kʊ
trítio	ˈtɾi.tʃi.ʊ
trívia	ˈtɾi.vi.ə
trófeu	ˈtɾɔ.fɪʊ
trófica	ˈtɾɔ.fi.kə
tróficas	ˈtɾɔ.fi.kəs
trófico	ˈtɾɔ.fi.kʊ
tróficos	ˈtɾɔ.fi.kʊs
tróia	ˈtɾɔy.ə
tróilo	ˈtɾɔy.lʊ
trójmiasto	ˈtɾɔʒ.mi.as.tʊ
trólebus	ˈtɾɔ.le.bʊs
trólei	ˈtɾɔ.ley
tróleis	ˈtɾɔ.leys
trópicas	ˈtɾɔ.pi.kəs
trópico	ˈtɾɔ.pi.kʊ
trópicos	ˈtɾɔ.pi.kʊs
trôade	ˈtɾo.ə.dʒɪ
tsagi	tsa.ˈʒi
tsangarides	tsã.ga.ˈɾi.dʒɪs
tsar	ˈtsax
tsares	ˈtsa.ɾɪs
tsarina	tsa.ˈɾĩ.nə
tsarista	tsa.ˈɾis.tə
tsavo	ˈtsa.vʊ
tschierva	tsʃi.ˈɛɣ.və
tschudi	tsʃu.ˈdʒi
tschumi	tsʃu.ˈmi
tselem	ˈtsɛ.lẽỹ
tseltal	tʃew.ˈtaw
tsn	ˈtsn
tso	ˈtsʊ
tsonga	ˈtsõ.gə
tsongas	ˈtsõ.gəs
tsopei	tso.ˈpey
tsr	ˈtsx
tsu	ˈtsʊ
tsuana	tsu.ˈã.nə
tsuba	ˈtsu.bə
tsubame	tsu.ˈbã.mɪ
tsubasa	tsu.ˈba.zə
tsubomi	tsu.bo.ˈmi
tsuchida	tsu.ˈʃi.də
tsuda	ˈtsu.də
tsuen	tsu.ˈẽỹ
tsuga	ˈtsu.gə
tsugaru	tsu.ga.ˈɾu
tsugumi	tsu.gu.ˈmi
tsuji	tsu.ˈʒi
tsume	ˈtsũ.mɪ
tsumugi	tsu.mu.ˈʒi
tsuna	ˈtsũ.nə
tsunade	tsu.ˈna.dʒɪ
tsunamis	tsu.na.ˈmis
tsunemoto	tsu.ne.ˈmɔ.tʊ
tsunenaga	tsu.ne.ˈna.gə
tsunessaburo	tsu.ne.sa.ˈbu.ɾʊ
tsunetomo	tsu.ne.ˈtɔ.mʊ
tsunoda	tsu.ˈnɔ.də
tsuru	tsu.ˈɾu
tsurugi	tsu.ɾu.ˈʒi
tsurumi	tsu.ɾu.ˈmi
tsutomu	tsu.to.ˈmu
tsutuil	tsu.tu.ˈiw
tsuzumi	tsu.zu.ˈmi
tsvetaeva	tsve.ta.ˈɛ.və
tual	tu.ˈaw
