! (vykřičník)	kɾˈitˈvˈ
uskutečněno	uskudɛtʃɲanɔ
uskutečněny	ugɛdatʃiŋɛmɛj
uskutečněné	uskutɛtʃɲɛnɛː
uskutečněném	uzkudɛtɕɲɛnɛːm
uskutečnění	uskutɛtʃnɛniː
uskutečněním	uskudɛtʃnɛɲiːm
uskutečňované	uskudɛtʃniɔvɔnɛ
uskutečňovat	uskudzʲadzinʲovat
uskutečňovat se	uskutɛtʃɲovat sɛ
uskutečňována	usvatːɛtʃnavaːna
uskutečňováno	uːskutɛtʃɲovaːna
uskutečňování	uskudɛtʃnɔvaːniː
uskutečňováním	uzkudɛtʃnʊvaːj
uskutečňuje	uskutatʃɲujɛ
uskutečňují	uskutʒɲujiː
uskutečňující	uskutɛtʃɲujiːtsiː
uskutečňujících	uskutɛtʃnˈujiːtsiːx
uskutečňujícího	uskutɛtʃɲujiːtsiːɦo
uskutečňujícím	uskutɛtʃɲujiːtsiːjɪm
uskutečňujícími	uskutɛtʃɲujiːtsiːmɪ
uskutečňujícímu	uskutɛtʃɲujiːtsiːmu
uslyšel	uslɪʃɛl
uslyšela	uzliʃɛla
uslyšeli	uslɪʃɛlɪ
uslyšení	uːslɪʃɛɲːiː
uslyšením	usliʃɛɲːɛ
uslyšet	uzliʃæt
uslyší	uzliːxiː
uslyšíme	uzlɪxˈiːmɛ
uslyšíte	uslɪʃˈiːtɛ
uslyšíš	uzlʲixʲijix
usmaženého	usmaʒɛnɛːɦo
usmaženými	usmaʒɛniːmɪ
usmažit	ʊ̞smɑʒɯ̞t
usmiřovat	usmjɾjɔvat
usmlouvat	usmɔɫɔvat
usmolený	usmolnˈiː
usmrcen	usmrtsɛn
usmrcení	usmrtsɛniː
usmrcením	usmrtsapavʲerɨɫa
usmrcovat	usmɛrtsʊvat
usmrcuješ	usmrtsujɛʃ
usmrkánek	usmɛkaːnɛk
usmrtil	ugˈsmrˈtˈir
usmrtí	u̯smrtːiː
usmrtíš	uʃmɛrciːʃ
usmyslel	ʔuʃniːslɛl
usmyslela	usmiztlɔla
usmysleli	uzniːslalɪ
usmyslelo	usmjsɫɛlo
usmyslely	usmjslalj
usmysleme	usniːsˈlama
usmyslet	usmisˈɫat
usmyslete	usmizɫata
usmysleti	usmˈisɭoti
usmysli	uzmiːsli
usmyslil	usmislo
usmyslila	uzmizljɛla
usmyslili	uʃmisliɫi
usmyslilo	ʌusnˈislɪlo
usmyslily	uznisɛnˈni
usmyslit	usmizlit
usmysliti	usmʲinʂlɛdɲiː
usmyslíc	uzmiːzlɛts
usmyslíce	usmisliːtsɛ
usmyslím	uzmislam
usmyslíme	usmisˈælˈima
usmyslíte	usnˈislˈita
usmyslíš	ʊsmiːsˈlˈejiːʃ
usmál	usmaː
usmála	usmaːla
usmáli	usmaːli
usmálo	smali
usmálo se na ni štěstí.	usmɛːlo sɛ nˈa ɲɛ ʃcɛstiː
usmání	usmaːnj
usmát se	usmaːtsa
usmívají	usmˈiːvaɪ
usmívající	uzmiːvajɛtsi
usmívajících	usmʲiːvajitsʲjix
usmívajícího	ʊʃniːvajitsiːho
usmíval	ʔuʃniːvɑl
usmívala	usmˈiːvala
usmívali	usniːvaɾiː
usmívat	usniːvat
usmívat se	usmiːvat sɛ
usmívá	usmˈiːvaː
usmívám	usniːvaːm
usmívání	usmˈiːzaːniː
usmíváním	usmˈiːvaːniːm
usmířenou	usniːxʒənˈogu
usmíření	uvmiʐanʲi
usmířit	usmˈiːʒit
usměj	usɲɛj
usměje	usmʲeje
usměji	usnˈeji
usměrnit	usmʲaɾnʲit
usměrníme	usmjɛrɲiːmɛ
usměrněn	usmjernʲen
usměrnění	usnʲirnɨnʲa
usměrněním	usmʲirnɨnʲa
usměrňovali	ʔuʃmɪdɛrnɔvalɪ
usměrňovat	uzmjɛrɲavat
usměrňovače	usmjɛrnovatʃɛ
usměrňován	ʔuʃɛɲɛrmɪɔvaːn
usměrňování	usmjarnovaːnːi
usměrňováním	usmjarnovaːniː
usměrňuje	usmjɛrɲujɛ
usměrňujeme	usmjarnʲøzɛmɛ
usměrňují	usmjɛrɲiː
usměrňujících	usnʲirmʲeʲtsʲejix
usměvavý	ʔuʃnɔvavɪ
usměvavým	uznɛvaviːm
usměvavěji	ʂɲːvɔfjɛji
usměvavější	usmɲɛvovjɛjʃiː
usměvavějších	ʔuzmɛbovjɛjʒiː
usměvavějšího	usmɪvovɛjʒiːɔ
usměvavějším	usmjelovjɛjʒiːm
usměvavějšíma	kusnˈoːlˈoːvɛ
usměvavějšími	usmjuvovjɛjʃiːmɪ
usměvavějšímu	ʔuʃmɪmovɛjʃiːmuː
usnadnil	usnadɲːɛ
usnadnila	uznatmjɪla
usnadnili	vusnatɲiljst
usnadnily	usnatɲilɪ
usnadnit	usnatnʲa
usnadní	ufnadɲːiː
usnadníme	ʔuznɛdmɪmɛ
usnadněn	usnatnʲaɛ
usnadněna	usnatɲɛna
usnadněno	ufnadnʲinu
usnadněny	usnatnɛnɛj
usnadnění	usnatɲɛniː
usnadněním	uznatŋɛɲim
usnadňoval	uznatɲɔvɑːl
usnadňovat	usnatnʲova
usnadňování	usnatnʲovaːn
usnadňováním	osnodnʲovaɫa
usnadňuje	usnatɲuɛ
usnadňují	usnatɲujɛj
usnadňující	ʔuznɑtnɯmɛðizɯ
usnadňujících	usnaɾdnou̯mʲansʲi
usnadňujícího	ɛtʃtʃniniːtseɪwɔ
usnadňujícím	usnatnɛujitsiːm
usnadňujícími	usnatmɲuɲitsi
usnadňujícímu	ʃnɑtnʲimɛtsɪ
usne	usna
usnesení	usnasˈanˈeː
usnesením	usnɛzaɲim
usnesením vlády	ʔuʃnɛsɛɲiːmvaːdɪ
usnesli	usnasli
usnou	usnou
usnout	usnou̯d
usnul	usnˈuɫ
usnula	uznuɫa
usnutí	usnˈuːtˈiː
usnutím	uʃnˈoːtˈiːm
usoudil	ufkauʔdiːra
usoudila	uʃauɟɪla
usoudili	usauðiren
usoudit	usau̯nit
usoudí	usou
usoudíte	usulnʲitæ
usouzení	usou̯zai̯pˈo
usouzením	uʃouzaɲim
uspané	uzpanɛ
uspaném	uzpanɛːm
uspat	uspat
uspokojen	uspokojɛn
uspokojena	uspokoɛna
uspokojeni	uspokojɟɛɲiː
uspokojenu	uspokoʝanu
uspokojeny	uspokojaniː
uspokojení	uspokojɛɲiː
uspokojením	uspokoɛnij
uspokojil	uspokojoj
uspokojit	uspokoj
uspokojivá	ufpɔkɔjilɑː
uspokojivé	uspokojvɛː
uspokojivého	usokɔjvaaɾo
uspokojivému	kˈosvukuikˈam
uspokojivý	uspokoˈjviː
uspokojivým	uspokoɛjliːviːm
uspokojivě	uspokojljublja
uspokojivěji	uspokojivjɛji
uspokojivější	usmokojɛvjɛjɪʃiː
uspokojivějších	ʌspukojvjɛjʃiːx
uspokojivějšího	uspokojɛjʃiːɦo
uspokojivějším	uspokojɪdˈiːʒiːm
uspokojivějšími	uspokojvjɛjʃiːmi
uspokojivějšímu	uspukoɟiːʃiːmu
uspokojovat	uspɔkɔjɔvat
uspokojování	puspokojovaːniː
uspokojováním	ʃtˈokʊˈjɔvɑn
uspokojuje	usbɯ̞qɯ̞jɯ̞wjɛ
uspokojují	ˈuʒbɔːkˌeː
uspokojující	uspɔkɔjʊjˈiːtsiː
uspokojujících	uzbɔxmiuiːdʲiɑʒ
uspokojujícího	uspokojumiːtsiːhɔ
uspokojujícím	ustokljovitsiː
uspokojujícími	uzpokoɛditsi
uspokojujícímu	uztukmimiːtsi
uspokojí	uspokoːˈi
uspoř	usbɔɾ
uspoře	uzpoʐa
uspořen	uzvoʐajon
uspořena	uspor̝ɛna
uspořeno	tupɛspɔʒɛnu
uspořeny	uzplʊʒɛnɪ
uspoření	usplor̝ɛɲiː
uspořením	usborɪɛɲːiː
uspořil	nʊsboɾɪjoʊ
uspořila	usborɪlo
uspořili	uspoɾiɾi
uspořilo	uspɔrɪum
uspořily	usvoʐɨɾɨ
uspořit	uzqɯʁi
uspořiti	usəpoʁˈti
uspořme	usvɔɾimɑ
uspořte	uspɔrsta
uspořádal	uzpoɾaːdaːl
uspořádala	uzuɾaːdɑlɑ
uspořádali	ʊsbɔzɑːnɑːɫɛ
uspořádanosti	spoʐaɫadaɫɑsdɪ
uspořádanou	ʊsbɔʒaːdaːnˈaː
uspořádaná	ʔuzbʃaːdɐnaː
uspořádané	oːsbˈɯʃaːdɑnɑ
uspořádaného	uzpodɾaɾdɑnɛːho
uspořádaném	usbɒʃaːɾanɛm
uspořádanému	ɒsbɒːɾhɒˈɾdɒneɾmˈu
uspořádaný	ʔuzpoʒaːdɔnɟiː
uspořádaných	ʁʏswˈɯrˈhɑlɑn
uspořádanými	uzvoraːdaneni
uspořádaně	uzɫuzɑaɑdɑnjɛ
uspořádaněji	uzguɾhɑːdɑnːæːnʲii
uspořádanější	uvporɦadanɛʃiː
uspořádanějších	ʃəʃɔːrɑːn˧ʃ
uspořádanějšího	ʊsgɔrɑːlɛnʲiːɦɪɦɔ
uspořádanějším	uʒpoʒoɫadɛpɲiːɛjʃiːm
uspořádanějšími	ʔuzbʒaːdɔɲiːʃiː
uspořádanějšímu	pozpozadannɛʃiːnu
uspořádat	uspoʐaːda
uspořádejte	ʔuʃpˈoʒoːdɛjɛ
uspořádá	qsboɾaːdaː
uspořádám	usporaːdaːm
uspořádáme	usdoradaːmɛ
uspořádán	uspoʒoːdaːn
uspořádáno	uspoʐaːdaːmo
uspořádány	uzpoʒaːdaːnɪ
uspořádání	uspor̝aːdaːniː
uspořádáním	tstorˈaːdaːɲiː
uspořádáte	ʃoːspəɾhɑːrɖaːteːeːʔ
uspořádáš	uspor̝aːdaːʒ
uspoří	uʃpoʊʒɪɲiː
uspořím	usvoriːɲ
uspoříme	uʃpoʒiːmɛ
uspoříte	nʲuspɔɾɪlse
uspoříš	uvʃpoʒɾˈiʃ
uspávací	uspaːvaːsiː
uspávající	uspɑːvaɦitsi
uspávat	uspavat
uspívající	ustizajitsiː
uspívání	uspiːlaːniː
uspíváním	ʊspiːwaːl
uspíšili	uspˈiːʃɪlɪ
uspíšit	uspɛjʃit
uspěchané	uzbjɛxanɛː
uspěchaný	uːsteχɒːniː
uspěje	uspjɛjɛ
uspějí	uspjɛji
uspěl	uspʲau̯
uspěla	uʃpjɛla
uspěli	uspjali
uspělo	uzkjɛlo
uspěly	uspiɛli
uspění	uspjɛnˈiː
uspěním	uzpjɛɲin
uspět	uspjet
uspět u pohovoru	uspjɛt dˈi pɔɦovɔru
usrkoval	uzɛrkɔvaːl
usrkávala	uzrkaːzaːla
usrkávaly	usrkaːvaːli
ustal	nˈsdˈaɫ
ustalovač	ustɑʎɔvatʃ
ustalování	ustɛlovaːniː
ustaly	ustali
ustane	ustɑnʊ̞
ustanovena	iʃtaɾɯmdana
ustanoveni	uʃtonovɛɲiː
ustanovení	uztanovɛɲiː
ustanoveních	vzotnouvɛnˈiː
ustanovením	mʊ̞stɑŋgɑnːi
ustanoveními	mustanɔgɔnmɪwi
ustanovil	ustanovija
ustanovit	poːstɑnovɛt
ustanoviti	jʊstɔnɔʋiːti
ustanovovat	ʔəstʃaːnʔuvɒˈbɒːt
ustaraná	ustornaː
ustaraný	ustazaniː
ustaraně	kustorãn̪t̪
ustaraněji	ustaraɲej
ustaranější	ustarajɲii̯xii
ustaranějších	uʃtorɛɲeːʃiːn
ustaranějšího	ufɛraɲiɛxiɦa
ustaranějším	uvtaraɲeʃɲi
ustaranějšíma	pustaraːmɪʃˈiːma
ustaranějšími	ustoranˈiɛjixjiːmɪ
ustaranějšímu	ustaraŋejʃiːmɨ
ustarán	aːnsaːraːn
ustat	ustad
ustavení	mustavɛɲiː
ustavit	nastɑbi
ustavitelné	pustɔfɪtɛlnɛː
ustavičný	ustavɪtʃniː
ustavičně	uːstavitʃɲɛ
ustavovat se	ustavovatsɛ
ustavování	tɔzɔwɑn
ustavováním	mʃtoɫonaːliː
usteleme	ustɛlamɛ
ustelou	β̞ast̪eloi̯
ustlal	uzplau̯
ustlali	ustlaɫɪ
ustlanou	ɔskɫɑnɔli
ustlat	usklad
ustoupení	ustoupʲː
ustoupením	ustoupavʲerɨɫa
ustoupil	ustopɛjo
ustoupila	unstɔupiɾa
ustoupili	ustoupɛlɪ
ustoupilo	ustou̯pɪlo
ustoupit	ustau̯pi
ustoupí	ustou̯pˈɪ
ustrašenec	ustrɛʃɛnɛts
ustrašenosti	uʃtrɛʃɛnɔsti
ustrašená	ustra˩˥ːʃana˩˥ː
ustrašené	ustrɑʃtʃanaja
ustrašený	ustraʃɛniː
ustrašeným	uzdraʂɨnɨjim
ustrašeně	ustraʃɛɲɛ
ustrne	istrnɛ
ustrnout	ustrnaut
ustrnuli	ustanul
ustrnuly	ustɛrˈnulɪ
ustrnulému	ustrnulaɛmi
ustrojily	ustrojini
ustrojit	ustrojit
ustrojovat	ustrojɔvat
ustrouhané	ʃtrɔʁanɛ
ustrouhaných	ustrouɦamɪnɪ
ustrouháme	ztrouɦanɛ
ustupovala	ustupovola
ustupovali	ustupɔvɑli
ustupovaly	oʔtobovali
ustupovat	uʃtupɔvat
ustupování	ustupɔvaɲiː
ustupováním	ustupovaːniː
ustupuje	ustupuʲe
ustupuješ	uʂtupujas
ustupují	uvʃtupujiː
ustupující	ustupuʲitsi
ustupujícího	ɔstupɔjtsiːɦɔ
ustájeni	ustajapavʲerɨɫa
ustájeny	ustajɛnɪ
ustájená	ustajɛnɑ
ustájené	ustajɛnɛ
ustájením	aːl
ustájených	ustajɛnix
ustájeným	ustaja
ustájit	uzlaːjit
ustájovat	ustajɔvɑ
ustájujeme	uztaɾmjɔzme
ustálena	ustala
ustálené	uzalaːnaː
ustáleného	ztaːlɛnɛːho
ustáleném	uztaːlanaːm
ustálení	ufzkaːlɛniː
ustálením	ustalaɲii
ustálený	ustala
ustálených	uztaːlɛmɪː
ustáleným	ustavanʲimɔ
ustálil	ustaːlɪjoː
ustálila	ɨmstaɐniɮa
ustálilo	ustauɾilo
ustálit	sufitstavit
ustálíš	ustˈaːliːʃ
ustání	ustaːniː
ustáním	ustaːnɲim
ustřelení	uvtr̝ɛlˈaɲiː
ustřelením	ustr̝ɛlɛɲiːm
ustřelil	ʊsdxaɾiːl
ustřihnout	ustr̝ɪɦnouc
usuzovali	usuzovoɫʲi
usuzovat	usuzumum
usuzování	usuzovaːniː
usuzováním	kɔ˧˥
usuzuje	usuzuje
usuzujeme	qɔsʊzɯjɯmɑː
usuš	usus
usuše	usupʃa
usušen	usufiːvɑn
usušena	uzuʃenɑ
usušeno	ʃuʃuʃenim
usušeny	usuʂanɨ
usušení	uzuʃen�ˈnɪm
usušením	ʃuʃuʃimiːni
usušených	ɒsvʃaˈniɹ
usušil	kusuʃi
usušila	u˨˩˦sʊ˥˩ɕi˥˥lɑʊ
usušili	usʊʃɛle
usušilo	usuʃɪlo
usušily	usuʃɪli
usušit	usuʃiːt
usušiti	aːnsɔʃitil
usušme	ʊzʊzma
usušte	ʊ̞sʊ̞ʃtæ
usuší	ʊsʊʃiː
usušíc	kwsˈi
usušíce	qɔsuʃiːtsɛ
usuším	usˌuʃiŋu
usušíme	usʊʃiːmɛ
usušíte	usuʃiːtɛ
usušíš	usʊʃiʃ
usvědč	usjetʃ
usvědčen	ufjetʃen
usvědčena	uzvʲattʃɨna
usvědčeni	uzvjɛtʃɛɲi
usvědčeno	uzvjɛttʃˈanu
usvědčeny	uzɛvɛttʃeni
usvědčeného	ʃʰʰɑŋ˨˩˦ʰʰɑŋ˧˥
usvědčením	doʂtʂzvʲedtʂanːʲem
usvědčených	uzvjɛtʃɛniːx
usvědčil	uzvjɛttʃiːl
usvědčila	usvjɛttʃiɫa
usvědčili	usvjɛttʃiːnɪ
usvědčilo	nˈislˈetʒiːnˈoː
usvědčily	usvjɛttʃɪli
usvědčit	usɛgettʃit
usvědčiti	usvʲettʂɨtsʲej
usvědčme	usgætʲitʃmæ
usvědčování	usvjɛtʃovaːniː
usvědčováním	usvjɛtːʃovaːniː
usvědčte	sɛjʃtɑ
usvědčí	nʲazʲvʲertʲiːn
usvědčíc	dobraʃvʲetskʲits
usvědčíce	usvjɛttɕiːtsɛ
usvědčím	uzvjɛttʃiːm
usvědčíme	usvjɛtʃiːmɛ
usvědčíte	usvjɛtʃiːtɛ
usvědčíš	usvjɛtʃiːʃ
usychalo	uzixalo
usychat	usixat
usárna	uzarŋa
usídlenec	ʊsiːdɛlanɛts
usídlenou	ozidlaou
usídlení	uziːlaɲiː
usídlením	uziːdlænˈiːm
usídlil	usˈilɪdlɪjoːˈ
usídlit	wfjˈɛ̃k
usídlovaly	uziːblˈovaɫɪ
usínal	uziːnɑː
usínat	usina
usíná	osina
usínání	usinaːniː
utahané	taɦnɛ
utahaného	tʃarɦanɛmɔ
utahaný	d̪əɣ̞äːnai̯
utahovač matic	utaɦovatʃmatɛts
utahovák	uːtaɦovaːk
utahování	utaɦovuaːniː
utahováním	utaɦovaːniː
utajen	tǎjɐn
utajena	utajana
utajeno	t̪oð̞ajano
utajenou	tajaŋoo
utajeny	tutajene
utajené	dajænæ
utajení	utajɛnːi
utajením	utajɛnˈiːn
utajený	utajɛˈniː
utajených	utajaniː
utajeným	utajɛniːm
utajeně	tajɑnʲɛ
utajit	ɯtajɯt
utajovanou	utajokonou
utajovaná	utajovanaː
utajované	utaɪɔvɑnɛː
utajovaného	ʊtajɔbɑneɛɦɔ
utajovaný	utaʒovatiː
utajovaných	ztajuvanjx
utajovaným	utajɔvɑɲiːm
utajování	utajʊʋɑːniː
utajuje	tajɔjɔ
utají	utaj
utajíme	utäiːmɛ
utajíš	utˈaiːʃ
utancoval	t̪ãn̪t̪soβ̞al
utancování	tantsuaːniː
utancováním	utantsobaːniːm
utažené	utaxuneɾ
utekl	tɛkːo
utekla	utɛkla
utekli	utɛklɛ
uteklo	utɛklop
utekly	ut̪eklj
uteče	upɛtʃɛ
utečence	utɛtʃɛnsɛ
utečencem	utɛtʃɛntsɛn
utečenci	tutɛtʃɛntsj
utečencova	utɛtʃɛnsɔva
utečencovi	utɛtʃɛnθoʋi
utečencovo	utɛtʃɪnsovo
utečencovou	utɛtʃɪnsovou
utečencovu	utɛtʃɛmsovu
utečencovy	tutɛtʃɛnsoʋɛ
utečencových	putɛtʃɪnsoʋiːx
utečencovým	utɛtʃɛntɕuvim
utečencovýma	utɛtʃɛntsɔviːmɔ
utečencovými	utɛtʃɛnsuviːmi
utečencích	butatʃɛmzjix
utečenců	utɛtʃɛntsɛ
utečencům	utetʃe̞nts̺um
utečencův	utɛtʃɛntsʊv
utečenec	utatʃanets
utečení	utɛtʃɛɲiː
utečením	utɛtʃɛɲˈiːʲim
utečenče	uðadʒentʃe
utečeš	utɛtʃɛʃ
utečte	otɛtʃtɛ
uteču	putakau
utichal	uɟɪxal
utichl	utisɫo
utichla	uɟɪxla
utichlo	uːtɪxlo
utichly	uʧixlɪ
utichne	uʲːixnæ
utichnout	potixnouc
utilitární	utɛlɪtaːrɲiː
utilitárních	utɪlɪtaːrɲiːx
utilitárního	utɪlitaːrɲiːɦo
utilitárním	utɪlitaːrɲiːm
utilitárními	utɪlɪtaːrɲiːni
utilitárnímu	utɪlitaːrɲiːm
utiskovanému	pociːskovanɛːmu
utiskovaný	uːciskovamiː
utiskováni	uciːskofaːni
utiskováním	ucizkovaːniːm
utiš se!	utɕiʃsaj
utišení	utiʃˈɛniː
utišil	utɪʃɪl
utišující	putiʃujiʲtsi
utišujícího	uʧɪʃujiːɛɪtsiːɦo
utkají	kudkajix
utkali	pˈutkˈaɫi
utkalo	udkalop
utkané	utkajnɛ
utkaný	tkaniː
utkvívat	utkviːvat
utkvěla	kutkvʲeɫa
utkvělou	utkvʲeɫau̯
utkvělá myšlenka	utkvɪlaːmɪʃlɛɲka
utkvění	utkvjɛɲiː
utkvěním	tkvjennjim
utká	ˈudka
utkán	tkaj
utkání	tkaːniː
utkáních	tkaːnɛ
utkáním	tkaːnɛ
utkávají	tkavaj
utkávali	tkauaɾi
utkávání	utkˈaːvaːniː
utkáváním	tukɑːvaːniː
utlač	ʊtɫɐtʃ
utlačen	upɫatʃɛn
utlačena	nˈtlatːʃɛna
utlačeni	utlatʃɛɲiː
utlačeno	uplatɕɛnɔ
utlačeny	udlatʃɛnɪ
utlačením	udɫatʃɛɲiːm
utlačil	putlatʃiːl
utlačila	ɔdlatʃɪla
utlačili	udlatʃili
utlačilo	putlatʃiɫo
utlačily	putɫatʃɪlɪ
utlačit	tɫɑtʃit
utlačiti	utɫatʃɪtsʲi
utlačme	utlɑtʃmɛ
utlačovaněji	udɫatʃovaniː
utlačovanější	kudlatʃuaɲɛjʃiː
utlačovanějších	udɫadʐvɛːnɛjʃiːx
utlačovanějšího	kɔɛekzˈvonˈjɪçi
utlačovanějším	utlatʃɔvɑniɛjʃiːm
utlačovanějšími	utɫatʃɔvɛnɛjʃiːmi
utlačovanějšímu	hutlatʃuloɲɛjʃiːnu
utlačovat	utɫɑtʃɔvat
utlačovatel	utɫɛtʃɛvˈɑtɛl
utlačovatele	upɫatʃɔvatɛlɛ
utlačovatelem	udlˈatʃovatɛlɛm
utlačovateli	kutlat
utlačovatelova	utlatʃovatɛlova
utlačovatelovi	utlatʃovatɛlovɪ
utlačovatelovo	uplatʃovatɛlɔvɔvɔ
utlačovatelovou	utlatʃovatɛlovu
utlačovatelovu	utmatʃovatɛlovv
utlačovatelovy	ɛʊtɫatʃɔvatɛːɫɔvɪ
utlačovatelových	utlatʃovotɛlovˈiːx
utlačovatelovým	tlatʃovatɛlovjim
utlačovatelovýma	pudlatʃovatɛloviːma
utlačovatelovými	uplatʃovatɛloːvɛjmɛ
utlačovatelích	utlatʃovatɛlix
utlačovatelů	uplatʃovatɛlu
utlačovatelům	uplatʃovatɛlum
utlačovatelův	uplatʃovatɛluf
utlačována	utlatʃovaːna
utlačování	utotʃovaːniː
utlačováním	ɔtlatʃɔfɑːniː
utlačte	tlatsʲtʊ̞
utlačuješ	utlatsʃujɛʃ
utlačuji	utlotʃuj
utlačující	ˈutvˈatʃueˈitsi
utlačí	utɫatʃiː
utlačíc	utɫatʃiːt
utlačíce	utlatsʲitsɛ
utlačím	kudɫatʃiː
utlačíme	tɫatʃimæ
utlačíte	udlatsʃiːtɛ
utlačíš	putlatsiʃ
utloukat	utloukat
utloukat se	utlou̯katsɛ
utlumena	utɫumeni
utlumení	utɫumani
utlumením	uplumaniːm
utlumil	pudɫumɛjɫ
utlumit	utlumit̪
utlučení	ukɫutʃɛɲiː
utlučením	kˈutɫutʃenɲːim
utlučou	ʊtɯltʃoŋ
utne	utmɛ
utnout	ʔutnaʔut
utok	uːtɒk
utonuly	tonore
utonulý	utonuli
utopence	utopɛntsɛ
utopenci	utɔpɛntsɛ
utopenec	utɔpɛnɛts
utopeneci	utˈopˈɛ̃tsˈe
utopeno	utopɛnɔ
utopenou	tutopenoɣ̞
utopeny	utopɛnɪ
utopené	ultopunita
utopením	tˈəkˈaneˈ
utopickou	utopitstgo
utopická	utopɪtsgaː
utopie	utopjɛ
utopil	unopio
utopila	utopˈtila
utopií	upi
utopí	utopji
utopíme	udobiːmɛ
utracena	utrotsɛna
utracení	utratsɛniː
utracením	tratsɛniːm
utratil	utratiːl
utratil to v tokiu	utrɛtɪlt o f tˈokɪu
utratila	utratiɫa
utratili	utratili
utratit	utratit
utratí	ukrati
utratíš	utratiːʃ
utrejch	uprajik
utrhat	utrɣ̞at̪
utrhačný	uːtraɦɛtʃɲiː
utrhl	utrɦl
utrhla	tʊ̞rɦlɑ
utrhly	utrɦlɪ
utrhne	tʊ̞rʊ̞gnɑ
utrhni	utrɛɣnʲi
utrhnout	utrugnou̯sd
utrhnutí	utrʒnˈiti
utrhnutím	putrɛŋuːtˈiːn
utrhovali	utrɦovalɪ
utrhovat	utrɛɦovat
utrhování	utrɦvaːniː
utrhováním	doʂtʂtrɦlaːniː
utrhání	utrɦaːniː
utrmácena	trmˈaːtsɛna
utrmácený	tʃiːtʃaːnɭɪ
utrousil	utrousiːl
utrousila	autrousiɫaː
utrousit	utrou̯sɛt
utrousí	ul̪t̪ɾau̯si
utrpení	ot̪ɾapenʝ
utrpení knížete sternenhocha	utrɛpɛɲiː knˈiːʒɛtɛ ʃtɛrnɛn ɦusa
utrácela	utraːtsɛla
utrácet	atraːtsɛt
utrácíme	traːtsiːmɛ
utrápená	tɾaːpɛnaːm
utrápení	uztraːpɛniː
utrápením	utraːpaniːm
utrápený	usraːpɛniː
utrápeně	utrɑpɛn
utržené	utɛrʒanaː
utržení ze řetězu	udrʒɛɲiː zr̝ɛtɛzu
utržením	udrʒaniː
utržený	uːtrʒɛniː
utržilo	utrɛʃirɔ
utuchat	utuxat
ututlat	ʊtːˈʊlˈɑt
utužit	ʁotoʒit
utužování	utvʒʊvaːniː
utužováním	utuʒovaːniː
utvoř	tɔr
utvořen	utvɔʒɛn
utvořena	udvoɾena
utvořeno	utvorɛno
utvořenou	utvorɨnou
utvořeny	utvorɛnɪ
utvořené	udvʊr̝ẽnaː
utvořeného	uːtvoʒɛnɛːɦo
utvoření	udvɔɾʒɛniː
utvořením	doʂtʂtlʲa
utvořeným	udvoʐanɨjim
utvořil	utvoʐɨju
utvořila	otvorɪla
utvořili	utvoʁilɪ
utvořilo	upoʒɨlou
utvořily	utvoʐɨlɨ
utvořit	tvoʁiɛt
utvořiti	duːrɨki
utvořme	twɯ̞rmɑ
utvořte	tɔzˈtɑ
utvoří	obvorii
utvoříc	doʂtʂtvorɨʲtsː
utvoříce	udvoʐɨʲtsːa
utvořím	utvorɪjiːm
utvoříme	otvorijma
utvoříte	utvoritɛ
utvoříš	uːtvoʐiːʃ
utvrdil	utvrdɪl
utvrdit se	utvrdʲitstsa
utvrdnutí	ɔtvɛrˈdnˈokiɛv
utvrdnutím	utvrdnˈukˈiɛm
utvrzení	utvrzɛniː
utvrzením	utvɛrzɑniːm
utvrzoval	tfrzɔvɑːl
utvrzování	utvrzovaːniː
utvrzováním	utvrzvaːnʲiːv
utvrzují	otvɛrzuji
utvářejí	tvaːr̝ej
utvářel	utvaːʒɛl
utvářela	utvaːʐɛla
utvářely	dlaːrɛli
utvářenost	tvarɛnost
utvářeny	upvaːr̝ənɪ
utvářená	udvaːr̝ɛnaː
utvářené	uθvaːrɦɛnɛ
utváření	podvaːr̝ɛniː
utvářením	utvaʐɛɲiː
utváření povahy	utvaːʐɛɲiːpovaɦɪ
utvářet	ʊ̞dwɑɢɯ̞t
utváří	utvaːr̝iː
utábořený	taːborɪniː
utábořil	utaːborɪv
utábořili	utaːborɪlɪ
utáboříte	utaːborɪjˈtɛ
utáhl	utauɦum
utáhnout	utaːɦnout
utáhnout někoho na vařený nudli	utaːgnut ɲɛkoɦo navar̝ɛnɪː nutlɪ
utáhnutí	ntaːɾmɛnˈki
utáhnutím	utaːɦnukiːm
utápěly	utaːpjɛli
utápění	utaːpjɛniː
utápěním	utaːpjɛɲiː
utápět	tɑːpjɛt
utéci	uteetsʲ
utéct	utaʲets
utéct se	utɛːtst sɛ
utíkat	utikap
utíkám	uʧˈiːkɑːm
utírat	uʲːirã
utírám	ukiraːm
utíráme	qiːramɛ
utýrat	hˈuːtiːrat
utěrce	utkɛrtsɨ
utěrek	uθɛræk
utěrka	ukʲærka
utěrkami	utɛrkɑmɪ
utěrkou	mʲːarkoɫ
utěrku	uθɛrku
utěsnit	utjasknʲit
utěsněné	uːcɛsɲɪnɛ
utěsnění	utɕɛsnɛɲɛniː
utěsněný	utʃastnˈiniː
utěsněte	bˈuˌtʃiˌtsnˈete
utěsňovat	utɕɛsɲɔvat
utěsňování	uɟɛsɲovaːniː
utěsňuji	utjɛsʲːue
utěš	ukjɒʃ
