!	vikritʃɲiːk
%	pɛrtsɛnt
(	zaːtvorka
výbušný	vijbuʃnɛː
východ	vixɔt
východe	viːxɔɟɛ
východne	viːxɔdɲɛ
východniar	vˈiːxodɲar
východniari	viːxvˈodnˈɲariː
východniarka	viːxodɲarka
východniarsky	viːxondniːarski
východná	vˈiːxodnaː
východné prusko	viːxodnɛː prˈuːska
východný	biːxɔdniː
východoeurópsky	viːxɔdɔɛurɔːpski
východofrízskeho	vˈiːxotdofrɛjsgɛɦo
východofrízskym	viːxodoffrɪjskiːm
východopruský	viːxodopruzkiː
východoslovenský	vˈiːxodoslovɛnskɪ
východočeskému	wixɔdɔtʂɛskɛːmu
východočeskí	viːxodɔtʃɛski
východočeský	vˈiːxodiltʃaskɪ
východočeským	vixɔdɔtʃaskɪm
východočeskými	viːxɔdɔtʃɛskɛjmi
východzí	viːxoːziː
výchovný	obiːxobni
výdaj	vidai
výdatnosť	biːdatˈnˈɑsi
výdatný	viːdʌtˈniː
výdavok	viːdɑbɔk
výherca	viːhɛɾtsa
výhoda	vˈiːɦoda
výhodne	viːɦodɲɛ
výhodné	vˈiːɦodnɛː
výhra	piːɦɾɑ
výhľad	nˈeiʒlˈɑt
výklad	vˈiklˈat
výklenok	tiːkˈlˈɛnˈɔk
výkon	vikom
výkonná	viːkɔnˈna
výkonné	viːkɔnˈlɛ
výkonný	mi˥˩ko˥˩ːn˩˧
výkop	viːkop
výkopový	miːkɔpˈovj
výkres	vikres
výkričná	biːkɛtʃnaː
výkvet	vikvɛt
výlet	viːlɛt
výletný	vjilɛtniː
výlevka	ðiːlɛrka
výlevný	biːləbiːniː
výmysel	ðiːmiːtsel
výnos	vinos
výpad	vipat
výpalníčka	viːpɑʋniʃka
výpary	biːbɑri
výplet	biːplɛt
výpomoc	viːpɔmɔts
výpustnom	vɛːpuznam
výr	vˈiːra
výrastok	fijrastok
výraz	la
výraz tváre	vˈiːras tvaɦrɛ
výrazne	viːraːsɲɛ
výraznejšie	viːrazɲɛjʃiɛ
výraznom	viːraznɔm
výrazný	miːrazniː
výrazy	viːrɑːsiː
výrobok	vˈiːrɔbɔk
výročie	lilo˥˩ːtʃe˥˩ː
výsek	viːsɛk
výsev	ðisɛʊ
výskok	viskok
výskot	viːskɔt
výskum	dviskum
výskumník	biːskomɲiːk
výskumný	tiː˥
výsledkom	vijisɫɑtsɟɔm
výsledku	viːʒɫatkɔ
výsledok	viːslɛdok
výslovnosť	viːslovnɔsc
výslovný	vjˈiːsloʋɲiː
výslužka	vˈiːslˈuʃka
výsosť	viːsostɪ
výstava	vistava
výstavbu	dajsdau̯bu
výstižný	viːstiʒniː
výstrah	viːstrˈax
výstrahy	ʃafoistraɦi
výstredný	tadɨjistrɛtnɨ
výstrih	tukjistrɪx
výstupisko	vijstupɪskɔ
výstupišťami	listupiɕtɕamɨ
výstupišťom	viːstupiʃtʃɒm
výstupkové	viːstupkɔvɛ
výstupkového	vʲistupgɔvɛːɦɔ
výstupíšť	vjistupjʃtɕ
výtlačok	vˈiːtlatʃok
výtok	ɾiːtˈɑ
výtržnosti	viːtˈrˈoʒnˈaˈsʲtɪ
výtvarný	diːtˈvɑrniː
vývar	vivar
vývod	vivot
vývoj	vivoj
vývoz	biːvɔzɔ
výzbroj	iskielbroi
význam	viznam
významný	vijsnaamni
významným	visnamnim
výzor	vizɔr
výzvam	piːzˈvæm
výšivka	vɪʃɪvka
výškový	vˈiːʃkˈoviː
výšky	bʃkʲ
výťah	vˈiːtjɑːx
výťahový	biːkˈaɦɑbiː
výťahár	vilkehˈɑːr
výťažok	vˈitˈaʒˈok
výžinok	viʒinɔk
včasný	tʃasɲiː
včelnica	ftʃɛɫnitsa
včely	ftʃɛli
včelár	tˌelˈaɾɐ
včelí	ftʂɛɛj
včera	ftʃera
včerajší	ptʃɛrajʃiː
vďaka	bidiaka
vďačiť	pɛˈdʲatʃit
vĺča	vltʃa
vľavo	bavɛ
vľavo na zemi stojí staré kreslo	v lɛaˈvɔ na zɛmi stɔi starɛː krɛsɫɔ
vľavo pri lampe leží hrubá kniha	v ɫjavɔ prɪ lampɛ lɛʒiː ɦrubaː knɪha
vľúdnosť	vlʲiu̯dnˈost
vŕba	brɛbɛ
vŕbový	vrɛbɔviː
vŕtanie	brɨtaɲi
vŕtat’	vrtatsʲ
vŕtačka	vrtɛtʃka
vŕtať	ɔbɔrtətʃ
vŕšok	ʋrˈyʃok
všade	pʃadɛ
však	ʃak
všakovaký	ʃakovaki
všakový	pʃakɔfiː
všedný	ʃʌdnˈɛ
všelijaký	fʃɛliaki
všeobecný	ʃɛʊbɛtsnɨ
všestranný	fʂɛstranɨ
všetci	ʃˈɛtse
všetci sa nakoniec musíme pominúť.	vʃɛtsɪ sˈa na kɔɲɛts muziːmɛ pɔminuːc
všetci to robia takto.	fʂɛtstsj tɨrɔbja tak tak
všetko	fʂɛtkɔ
všetky	ʃɛtski
všetkých	fʂɛtki
všetkých srdečne pozdravujte.	fʃɛtkiː sɛrdjɛtʃɲɛ pozdrˈavujɛ
všetok	fʂɛtɔk
všetučkým	satutʃkijim
všeužitočnosti	fʂɛuʑitɔtʃnɔsti
všeužitočný	fsɛʒiːtɔtʃniː
vševedomý	pʂɛvɛdɔmɪ
vševedúcky	sɛfɛtɛatski
vševidiacou	fʂɛviljɛtsɔ
všežravec	fʃɛʃravɛts
všimnúť	fʃimˈɛnˈuːt
všímavý	pʃiːmaviː
všímať	pʃiːmaj
vždy	bəˈtiːm
vždy všetko len pobabreš! si obyčajný babrák!	fʒdiː fʃɛtkɫat povabrɛʃ si ɔbitʃɛjniː babraːk
webkamera	ve̞t̪kamɛra
weiss	vˈaɪs
wifi	vˈiʃi
wikipédia	wikipɛria
william ganz	vˈɪliːˌɑm gˈants
www	ðɛvɛvɛ
x	kˈsˈɛ
y	k
yelizaveta	jeːliːzɑːnɑːsɑː
z	z
z brindy	zbrindj
z chodby sa ide do kuchyne.	sxɔdbi sɑ idʑɛ dɔ kuxjɲɛ
za	zˈa
za hoďku	zaɦoːtʃku
za tu knihu	zatuː kɲɪɦu
zababrú	zababruː
zabalený	zabalɛnɪ
zabaliť	zabalˈit
zabalzamovaný	zabaːzamɔlaniː
zabaviť	sabavit̪
zaberať	sapɛra
zabezpečenie	zabɛspɛtʃɛnɪjɛ
zabezpečený	zapɒsbeˈʃeˈniː
zabezpečilo	zabɛspɛtʃɪlo
zabezpečiť	zabʲespɛtʂɨtsʲ
zablokovať	zapɫɔkɔvac
zablúdiť	zablvdɪc
zabrať	zabrat
zabrániť	zabrˈaːnit
zabudnutý	zabudˈiʁnutiˈi
zabudnúť	zabudnu
zabávač	zabavatʃ
zabávači	zabavatʃi
zabávať	zabava
zabávať sa	zabavatʃa
zabíjačka	zabijjɑtʃka
zabúdať	zabudotsʲ
zabývať	zabiva
zacharias zarewutius	zxɑːriːʔaʃ zɑːre̞v utsiː
zachovanie	zaxovannɛ
zachovaný	zaxɔvɑniː
zachovať	zaxɔvatɕ
zachovávať	zaxofaːvatɕ
zachrániť	zakraːnjt
zacko	zatskɔ
zacloniť	zatsloɲiːt
zadanie	zadaɲe
zadaný	zadanˈiː
zadarmo	sadarma
zadkolízač	zatkɔliizatʃ
zadné	zadnɛ
zadný	zadnɨ
zadok	saadok
zadokolka	zaːdoːkɔlka
zadosťučinenie	zadazuputʃtʃɛɲɛɲiɛ
zadubenosť	zadubɛnosc
zadusený	zaduzai
zadusiť	zadozik
zadychčať	zadɨxtʃat
zadymiť	zatɪvitɪ
zafír	sɐfˈiɹ
zafírový	zafiːroviː
zahalená	zaɦalɛnaː
zahalený	zəɦlemiː
zahaliť	zaɦaliːc
zahataný	zˈɑhˈætɑnˈɛj
zahatať	zˈɑhət
zaheslovaný	zaħisvɔɢɑmi
zahmlieva	zahmjɛva
zahnaný	zˈɐhnaˈniː
zahnať	zaɣnatsʲ
zahrabaný	zaɦrabalɛm
zahradený	zɑhradɛnɪ
zahradiť	zaɦraditɕ
zahraničie	zaɦraɲitʃijɛ
zahraničný	zaɦraɲɛtʃniː
zahrejeme sa	zħrɛ mɛːsa
zahrnovať	zaɦarnovɛt
zahrnúť	zagʲrnuu̯
zahryznúť	zɑhriːznut
zahubený	zahupɛniː
zahubiť	zaɦobic
zahundrať	zaɦundratɪ
zahustiť	zaɦustiɛt
zahynúť	saːrjnˈud
zahŕňať	zaɣrˈɲɑt
zaistenia	zajsdzʲanʲːe
zajac	zajas
zajačik	zajadʒik
zajačí	zajatʃiː
zajtra	zˈatʃɾa
zajtrajší	zajtrajʃiː
zakarpatsko	zakarpatskɔ
zakazovať	zakazovatsʲ
zakliaty	saklɛati
zakliať	ðəzˈakli
zaklínač	zakɫˈinatʃ
zaklínať	zaklˈiːnatsʲ
zakomplexovanosť	zakomplɛtɛtɑvɑnɔv
zakomplexovaná	xakomplobzona
zakomplexované	zakɔnplɛksɔvanɛ
zakomplexovaní	zakomplɛksofaːniː
zakomplexovaný	zakomplaksofanˈiː
zakomplexovaných	zakomplɛksofanɪ
zakomplexovanými	zakomplɛksɔɫɑniːni
zakončiť	zakontʃɪk
zakotviť	zakotvix
zakrivený	zakrivɛniː
zakrpatený	zakrpatɛŋiː
zakuklený	sakuklɛmiː
zakukliť	zakukliɟ
zakázať	akazak
zakúriť	zɑkuːritɕ
zaletieť	zalakek
zaletované	saɫatavanaja
zaletovať	zalɛtɔvac
zaležať	saliʒak
zaliečavý	zalɛtʃa˥˩bili
zaliečať sa	zaljɛtʃatɕ sa
zaliznúť sa	zaliznˈuɲitsˈa
zalizovať sa	zalizɔvat̪ sɐ
založenie	zaɫoʐɛɲiɛ
založený	zaloʒɛniː
založiť	zaloʒˈik
zalužice	dzaɫuʒɨtsɛ
zamazaný	samazan
zamazať	zæmæʃæ
zambia	zænbija
zamenený	samɛɲɛnɛj
zameniť	zamɛnit
zameraný	samuraniː
zamestnanci	samɛsnantsi
zamestnancov	samɛʃtantsɔv
zamestnanec	tɨzamɛstnaɲɛts
zamestnanie	zamɛsnaɲɛ
zametať	zamɛtac
zamiešaný	zmiːje̞ʃaɲiiː
zamiešať	zæmiːæʃatʃ
zamilovanosť	zamilɔvɑnɔsc
zamračené	zamratʃna
zamračený	zamratʃɛni
zamrznúť	zamɛrznuːc
zamyslený	zamɪslɛniː
zamyslieť	zamɪsljɛtɪ
zamyslieť sa	zamizlɛtsa
zaneprázdnený	zaɲɛpraːzɲɛniː
zanikať	anika
zaniknutý	zaniknutɪ
zaniknúť	zaɲiknˈu
zanorený	zanorɛmi
zanoriť	znɑːɾk
zaoberať sa	zau̯bɛrɑtɕ sɒ
zaoblený	zauːblɛniː
zaostalosť	zaːostɛlɔsc
zaostalý	zaɔstɑliː
zaostriť	zau̯strɪtʃ
zapadajúci	zapadajutsɨ
zapaľovač	zapaɫjɔvatʃ
zapierať	zapjɛratɕ
zaplatený	zapɫatɛmi
zaplatiť	zapɫati
zaplietol	zapɛljɛtɔʎ
zaplátaný	zaplaːtaniː
zapnutý	zˈapɹʊtˈi
zapnúť	zˈapɛnˈotˈ
zapojený	zˈapojɛmi
zapojiť	sapoi
zapomnuc	zapomnuts
zapomnul	zapɔmnuu
zapožičať	zapɔlʲutʃak
zapredanci	zaprɛdantsʲi
zapredávanie	zaprɛdaːvɑɲiɛ
zapretie	zaprɛtie
zaprieť	zapr̝ɛt
zapríčiniť	zatɛmɨtʃiɫɛ
zapálil	sapɐʎjʊ
zapáliť	zapaːlik
zapísaný	zapjiːsaniː
zapísať	zapjiːsatɕ
zapískať	zapʲiːskatsʲ
zaradzic	zaradzɨtsʲ
zarastený	zarasciɛniː
zarazený	zarɑzɛnɛj
zareagovať	zareagofat
zariadenie	zariadzjɛnjɛ
zariadený	arɪadzʲinɨ
zariadiť	zariadzʲitsʲ
zarmútený	zarmuːtɛniː
zarmútiť	zarmutʲitsʲ
zarobiť	zarobi
zaručene	zartʂɛɲiɛ
zaručeno	zrutsʲanɔ
zaručenosť	zˈarutʃɛnˈostɕ
zaručiť	zarutʃit
zaručovania	zarudʐavonːʲe
zaručované	zorutsʲuvanɨ
zaručovaného	zˈarutɕɔvanɛːɦɔ
zaručovaní	zarutʃovaniː
zaručovanú	ʑorutʂavanːu
zarábať	zarabat
zasadací	tsaːsadaːtsi
zasadačka	zɛsadɛtʃkɛ
zasadať	zasadak
zasadený	zasaɟɛniː
zasadiť	asadik
zasadnutie	zasadnukɛ
zasahovalo	zasaɦovalo
zasahovať	zasaɦobotɕ
zasiate	dzasijate
zasiaty	zasjatˈi
zaskočená	zˈaskɔtʃɛnaː
zaskočiť	zaskɔtʃit
zaskvejú	dzˈɑskvʌju
zasmiať	zazmʲatsʲ
zasnúbený	zasnˈubɛniː
zasnúbiť sa	zasnˈubɪtɕ sˈa
zaspať	zˈaspˈak
zaspievaj	zaspjɛvai
zasran	zasran
zastaviť	zastavit
zastavme	tɑstɑmɛ
zastiera	zaztsiɛra
zastierať	zastjɛrat
zastrašený	zastraʃɛɲii
zastrašiť	zastraʂɨtsʲ
zastretý	zastrɛtɪ
zastrieť	zastr̝iːc
zastupovať	zastupɔvac
zastávka	zastau̯ka
zastúpenie	zastupɛɲiɛ
zastúpený	zastupɛni
zastúpiť	zastupɪc
zasunúť	zasunˈut
zatajiť	zatˈaɭɪt
zatelefonovať	zatɛlɛfɔnɔvatɪ
zatiahnutý	zatɕaɦnuti
zatiaľ	zatjɛr
zatko	ozatko
zatvorenie	zatworɛtɲɛ
zatvorený	zatvorɛniː
zatvoriť	zatvorj
zatvárať	zatvaːra
zaujal	zau̯jaɫa
zaujať	zaujɑc
zaujímavejší	zaːuːjiːmvajʃiː
zaujímavosť	zau̯imɛbost
zaujímavé	fzauːjiːmovɛː
zaujímavý	zaːuːjnimaˈvi
zaujímať	zˈɑːvjuːˈmæk
zaujímať sa	zau̯imatsːo
zauzlenec	tsau̯zɫanʲets
zavesiť	zavɛsik
zavesovacie	zavɛsovatsiɛ
zavesovací	zavɛsovatsiː
zavezenia	zavjɛzɛɲiɛ
zavezením	zavjɛzɛɲiːm
zavezený	zavɛzɛniː
zaviazaný	zaviaz
zaviazať	zavjazatɕ
zavierať	zavjɛrɛt
zavináč	zavinaːtʃ
zavlažovanie	zavɫaʐovannʲi
zavlažovať	zˈɑbɭʌʒyvɑt
zavolať	zavɫak
zavrený	zavreŋej
zavretý	daprete
zavrieť	zavrɛtɕ
zaváraniny	zævɑːrɛɲiːniː
zavítať	zɑviːtɑc
zavýjať	zavijatsʲ
zazerať	zazerat
zaznamenaný	zɐˈsɪnaˈmɪnɐni
zaznamenať	zaznamɛnat
zazobaný	zˈazɔbaɲi
zazrieť	zazrʲit
začala	zatʃaɫa
začalo	zaːtʃalo
začarovaný	zɑtʃarɔvaniː
začarovať	zɑtʃɛrɔvac
začať	zatʃat
začiatok	zatʃijɛtɔk
začiatočnícky	zatʃiːatotʃɪniːtski
začiatočník	zˈatʃɛtotʃɲiːk
začína	mʊzˈaːttʃiːnˈa
začínajúci	zatʃinajutsˈi
začínať	zatʃinatsʲ
zaľahnutý	zəlɛɣntiː
zaľahnúť	zˈɐliʌrnˈuˌvˈ
zaľúbený	zaliubɛnɪ
zaš	ðæʃ
zašili	zaʃɛjlɛj
zašiváreň	tsaʃlareɲ
zašnurovac	zaʃnurɔvac
zašpiniť	zˈaʃpˈiˌnˈi
zašívali	zaʃliːvaːliː
zašívať	daʃuːˈɾɑs
zať	datʃ
zaťatými	zatsiatɛjmi
zažiariť	zaʒiarɪc
zažiť	zaʒit
zbabelec	babɛlɛs
zbabelý	zbabɛli
zbabrať	zbabra
zbabrú	zbabru
zbadať	zbadɛt
zberač	zbɛratɕ
zberať	zbɛrata
zbešňety	zbɛʃɲɛti
zbieraný	zbjɛranɪ
zbierať	zbjɛrat
zbierka	zbjɛrka
zbitý	zb̥t̪i
zbiť	spiːtˈ
zblažnic	zbɫˈɑʒnitʃ
zblbnúť	tsɔbɔnɔt
zbližovanie	pliʒɔvanɪə
zblázniť sa	zblɑːzɲitstsa
zbohom	zbɔɦɔm
zborovňa	sborɔvɲa
zboru	zbɔru
zbožný	zboʒnɛj
zbraň	asperaɲ
zbroj	zɛbrɔj
zbrojnica	zbrojɲitso
zbrojárstvo	sprojaːrskvɔ
zbudoval	sbuˈdoˈvɑl
zbúchaný	zpɔːka˥˩liː
zdanie	zdaɲe
zdanlivý	zda˩˥ːlivi˩˥ː
zdaný	zdanɛ
zdať	zdˈɑt
zdať sa	zdatsʲ sɔ
zdeno chára	znoxaora
zdieľaniu	zdzijalʲanːʲau̯
zdivieť	zɟivjɛtɕ
zdolať	zidɔlak
zdravas'	zdrɑmɑs
zdravie	zdrˈavjɛ
zdraviť	zdrɑbiɟ
zdravotná sestra	ztrˈavotna sˈɛstra
zdravotníctvo	zdravotɲiːtstv
zdravotný	zdrˈavɔtniː
zdravý	d̪ɾaβ̞i
zdražieť	zdraʐjɛtɕ
zdriemnuť si	zrʲemnutsʲ sʲins
zdrobnenina	zdrɔbɲɛɲinɛ
zdržanlivosť	zdrʒɛɔnlivos
zdvih	sdrix
zdvihnúť	zdviːɦnuːt
zdvorilý	zdvoriliː
zdvíhať	zdvjiːhɑc
zelenay	θaˈlˈanaɪ
zelenina	zɛɫɑnʲina
zelená	zˈɛlənˌa
zeleného	zæɫɑnɛːɦɔ
zelený	zɛlɛniː
zeler	zɛlɛr
zelinkový	zɛlɛnkɔʋi
zelinkárstvo	zɛlɛnkaːrstvɔ
zem	zˈɛm
zemančíkom	zɛmanʃikom
zemeguľa	zɛmɛgulʲa
zememerač	zɛmɛmɛrɛtʃ
zemepis	zavˈapˈis
zemepisec	zˈɐmɪpisɛts
zemepisný	zɛmbjpɛsniː
zemetrasenie	sɛmɛtrasɛɲiː
zemiak	zˈɛnjɑː
zemiaková kaša	zɛ mjaˈkɔva kaʃa
zemiakové+placky	zɛmiɑkɔvɛplatki
zemiaky	zɐmiːˈakiː
zemiansky	zɛmjaŋski
zemitý	semiti
zemplín	sempliːn
zemplínska	zɛmpliːnska
zemplínska šírava	zɛmpuɲska ʃiɾava
zemplínske	zɛmpliːnskɛ
zemplínskej	sempliːnskaj
zemplínsky	satʃapavʲerɨɫa
zenit	zænˈi
zhabaný	ð̞eːthˈɑːrbˈɑːniːlˌɪn
zhabať	ðæbɑt
zhasnutý	zɣasnuti
zhluk	fok
zhnitý	zaɦnitɪ
zhodený	zɦɔɟɛmiː
zhodiť	zɦoːdik
zhodná	zɦɔdna
zhodné	zɦɔdnɛ
zhoršiť	zɦorʃi
zhoršovať	zɦorʃovatɕ
zhrešiť	zɦrɛʃɪtʃ
zhromaždenie	zrɔbaʒdɛɲiɛ
zhromaždený	zɦorɔmaʒcɛniː
zhromaždiť	zɦɛrɔmaʒcɛc
zhromažďovacie	zrˈomaʃtɕovatsiɛ
zhrozená	ɔ̙ɾɔ̙tɕak
zhroziť	uzrˈoːzɛt
zhrubnúť	srobnˈovut
zhrčiť sa	tsɦrtʃitsa
zhŕknuť sa	zrkɲutsa
zima	zima
zimanova	zjimanova
zimbabwe	zimbablɛ
zimný	zimˈniː
zimomriavky	zimɔmɾiaʊki
zinok	zɨnok
zips	sepz
zirkón	zjɛlkɔn
zirkónový	zjrkɔɦnʊʋiː
zisk	zˈisk
ziskový	zɛskoviː
zistenie	zjɛstɛɲiɛ
zistiť	zistit
zisťovať	zistɛʊvak
zištný	zɪʃtɪniː
zjavný	dʒaːbunˈoː
zjazd	ziast
zlacnený	zʎɑtsɲɛniː
zlanárila	zlanaːrɪla
zlato	zɫatɔ
zlatohlavý	zlatouɦlaviː
zlatá	zlata
zlatá rybka	zlataː rɪtkɑ
zlaté	zlatɛː
zlaté moravce	zlatɛː mˈorau̯tsɛ
zlatý	zlatɪ
zle	dʒyɯzʉnɛ
zlepšiť	zlɛpʃi
zlepšovať	zlɛpʃovac
zliatina	bizliːtɛkɪnɑm
zlievareň	zjɛːvaːrn
zlo	zɫo
zloba	zɫoba
zlodej	zɫodʲej
zlomenina	zlɔmɛɲinɛ
zlomený	zwˈmˈɑni
zlomiť	zɫomit
zlomyseľný	zɔmisɛlni
zlosť	zlɔsc
zloženie	zɫɔʒɛɲi
zložený	zɫɔʒɛnɪ
zložitá	zloʒitaː
zložka	zɫoʐko
zlámala	zlaːmaɫa
zlámané	zlaːmaːnɛ
zlámať	zlaːmatɕ
zlé	zʎɛ
zlúčenín	zɫɔtʃɛɲi
zlý	zˈliː
zmena	zmɛna
zmene	zmˈɛnɪɛ
zmenený	zmˈɛnini
zmeniť	zmɛɲitɪ
zmenkovníka	zmɛnkɔvɲika
zmenkovo	zmɛnkɔvɔ
zmenáreň	zɪmɛnaːrɛj
zmenšene	zmɛjʃɛɲiɛ
zmenšime	zmɛʃimɛ
zmenšime to!	zmjɛnʃimɛ tɔ
zmenšiť	zmˈɛnʃi
zmenšovať	zmɛnʃɔvɛt
zmesou	zmɛsɛu
zmetať	zmjtot
zmienka	zɛmjɛnka
zmiešať	zmjɛʃati
zmija	zmja
zmiznúť	zmʲisnutsʲ
zmluva	znˈova
zmluvný	zmɫovniː
zmlátený	zmlaːtɕɛniː
zmrazila	zmɾaːziʎa
zmraštiť	zmraʃtɛ
zmrzačený	zmɛdɛzatʃərˈniː
zmrzlina	zmrslina
zmrzlinový	zmɛtɛzlˈiːnoːviː
zmrzlinový pohár	ɛɾɛn rnɔːviː bɔɦaːr
zmrzlinárstvo	zmrzɛlinaːrstvɔ
zmrznúť	zmrɨznːut
zmysel	zmisɛɫ
zmysluplný	zmˈisluːplɔɲiː
zmätený	zmɛcɛniː
zmätky	zmɛskim
zmätok	zmjɛtok
zmätočný	zmɛtɔtʃniː
zmĺkol	smoko
znak	nizmak
znalec	znaɫɛts
znalosť	zɛŋalɔsc
znalý	znɑli
znamenať	znamenad
znamenie	namɛnjɛ
znamenitý	znamʲanʲinʲadɨ
znameňe	znamɛɲɛ
znamienko	znamjɛnkɔ
značiť	znatʃit
značka	znatʃka
značný	znatʃniː
znechutil	zniknutʃiːɫo
znejúci	zʲːanʲetsʲi
znepokojený	zɲɛpɔkɔjɛniː
zneužitie	zɲeuʐɨtjɛ
zneužitý	zʲːau̯ʐɨdɨ
zneužiť	sɲeuʒit
zneužívať	zɲeuʒiːvɑc
znečistiť	zʲːɛtʃistʲitsʲ
znečisťovať	zʲːetʃistʲovatsʲ
zničená	zɲitʃɛna
zničený	zɲɛtɕɛnɪ
zničiť	zanʲitʂɪtsʲ
zničíš	zɲitʃɪʃ
znižovať	zniʒʊʋɑc
znojemská	ʃtˈonˈojˈemskˈaŋ
znovu	znou̯u
známejší	znaːmɪjʃɪ
známka	znaːmka
známy	znaːmi
znázorňovať	saˈnaːzˈɔrnəˈomatʃ
znázorňujúci	naːzɔrnʲiːuːtsi
znášik	znaʃik
zníženie	zɲiːʒɛɲiɛ
znížená	zɲiːʒɛnaː
znížený	zɲiʂɛnɨ
znížiš	zɲiːʒiʃ
znížiť	zɲiːʒɪc
zo šerca	zɔʂɛrtso
zo šersci	zo ʃɛrztsi
zobrazenie	zobrazɛɲɛ
zobrazený	zobrazɛːniː
zobraziť	sʊbɾɐzˈik
zobrazovať	zɔbraːsɔvaːt
zobrať	zobrɛt
zobudený	zabudɛniː
zobudiť	zabudʲitʲ
zobudiť sa	zobudɛtsʲ sa
zobudzil	zabuzˈeɭˈˈ
zobák	zobaːk
zodpovedať	zodpovjɛdatɪ
zodpovednosť	zɛtɔdpɔvɛdnɔsc
zodpovedný	zaɑdpɔvɛdni
zohnať	zˈɑːre̞næk
zohnutý	zˈaɦnʊtˌe
zohnúť	zaɦnˈuːc
zohor	zɔɦɔr
zomierať	zomjɛrac
zomrieť	zomriɛ
zoologický	zɔɔlɔgitskiː
zoológ	zɔːlɔk
zoológia	zɔoloːgija
zopakovať	zɑpɑkɔvak
zoprieť	zɔprijɛc
zopsiť	zopsiːd
zopsutý	zopzutɪ
zopsuť	zɔpsu
zopätovať	zapɛtɔvɑc
zopínať	zɔpiːnatɪ
zoradeniu	zoradɛɲu
zore	zˈɔre
zoskupenie	zɔskupɛɲiɛ
zosobášiť sa	zɔsɔbɑː ʃitstsɑ
zostala	zɔstɑɫa
zostarnúť	zostarnuu̯
zostatkový	zɔstatkɔjiː
zostatok	zɔstatɔk
zostať	zɔstatɛ
zostať doma	zɔstatɕ vɔma
zostrojiť	zɔstɾɔitsʲ
zovretý	zɔvrɛtiː
zovrieť	zofrɪɛc
zovšeobecnenie	zɔfʂɛɔbɛtsɲɛɲɛ
zovšeobecniť	zofʃɛːʔobɛtsɲɛc
zozadu	zozadu
zoznam	zoznɛm
zoznamovať	zosnamovat
zoznámiť	zoznaːmɪc
zoznámiť sa	soznaːmiːtsa
zočiť	zotˈik
zošalieť	zoʃaːsjɛc
zošitý	zoːʃiti
zošiť	soʃik
zprudka	sprutka
zrada	zrˈada
zradca	zrˈatstso
zradený	zraɟɛniː
zradiť	zrˈadjɛt
zradný	zratniː
zrak	zræk
zranenie	zraɲɛɲiɛ
zranený	zraɲɛni
zranených	zraɲɛnæːx
zraneným	zranɛnɪːm
zranil	zraʲːiu̯
zranili	zraɲiliː
zraz	zras
zrazenina	zrazɛnɲina
zraziť	zrazim
zrazu	zrazu
zrealizovať	zrɛɑlizofaɟ
zrejme	zrɛjmɛ
zrejmý	zrnɛjniː
zrelá	zrɛla
zrelé	zrɛlajɛ
zrelý	zrɛliː
zrenica	zrɛɲitsa
zreteľ	zrˈˈoftʃjɑlʲi
zriedka	zrɛtːa
zriedkavý	zrjɛtkavjiː
zrieť	zriɛc
zrkadlo	zrkadlɔ
zrkadlový	zakarlovji
zrnko	tsrɛnka
zrno	zrnɔ
zrobeny	zrɔbɛni
zrobic	srabʲs
zrobiť	zrɔbitsʲ
zrod	zrɑt
zrodil	zrɔɟiɫ
zrodiť	zrɔdʑitɕ
zručnosti	zrutʃnoscɪ
zručnosť	zrˈutʃnɔsc
zručný	zrutʃniː
zrušiť	zrˈuʃiːt
zrátaný	zraːtani
zrážku	zraːʃku
zrážky	zraːʃki
zrúcanina	zɾutaã
zssr	sasara
zsuzsová	ʒuzova
zub	zˈup
zubami	zubami
zubatá	zubata
zubná kefka	subnaː kɛfka
zubná pasta	zubnaː pastˈa
zubný	zupˈniː
zubný kaz	sobnei kas
zubor	zubor
zubár	zubar
zurčivo	zurtʃivo
zurčivý	zrtʃɛʃ
zuzana	zɑˈna
zuzana búriková	suzumna muɾikoba
zuzana licko	zuzana litskɔ
zuzana smatanová	suzana smatanova
zuzana čaputová	zuzana tʃaputɔvaː
zuzi	zuzi
zuzka	dzʲiska
zuzka sa hrá v parku	zuska sɛ ɦraː f parku
zuzo	zuzɑ
zuzulová	zuzulɔva
zužovací	zuzɔvaːtsɛj
zvada	svada
zved	zvæt
zvedavec	zvˈɛdaɫɛts
zvedavosť	zvɛdawɔsci
zvedavý	zvædaːviː
zveličovať	zvɛːlʲitʃɔbɑt
zverejniť	zvɛrɛjɲɛtɕ
zverinec	zvɛrɪɲɛts
zverokruh	vɛroːkrux
zvestovať	zvɛstɔvɑc
zvesť	zvɛsc
zviazaný	zvjazanˈiː
zviazať	zjajsak
zviera	zvjɛra
zvierací	zvjɛratsiː
zviesť	zvjɛsc
zvislica	zvizlitsa
zvislý	zvizlɪ
zvitky	zʋidki
zvlhnúť	zwɔgmu
zvládnuť	zvlaːdnouc
zvláštne	zvlaːʃtɲɛ
zvláštny	zvlaːʃtni
zvlášť	zvlaːʃtɕ
zvolen	svɔɫɛn
zvolenská slatina	svɔɫɛnskaː sɫatin
zvolený	zɔɫɛniː
zvon	zvon
zvonia	svonja
zvonica	svɔɲitsa
zvonil	dʒəvɑ̃njˈɔ̃
zvoniť	tˈɛstvˈɔ̃ik
