.ئاسلان	bɑzɫæ
قۇرمان	qurmɑn
قۇرچى	qurʊ̞tːʲi
قۇرۇت	qrʊ̞t
قۇرۇتۇش	qʊrˈtˈʃ
قۇرۇم	qurɯ̞m
قۇزئۇلۇس	quzɔɫuz
قۇش بۇرۇن	kʏʃbuɾuŋ
قۇشئىز	qʃiz
قۇشتىر	kustɯr
قۇلا	qulɑ
قۇلاق	qulɑq
قۇلايسىزلىق	qulɑjsizlɑp
قۇلۇلە	qululæ
قۇم	oːm
قۇمانباي	qɔmɑnbaj
قۇملۇق	qumluq
قۇمۇت	qumuz
قۇمۇق	qumˈɔk
قۇمۇقباي	qɔmuqbajn
قۇمۇل	qumul
قۇمۇل راۋابى	qumɯmɯl ɾɑwɑdɯ
قۇمۇل كۆك مەشرىپى	qumol jɛqmɑ ʃɪrpɛ
قۇن	χun
قۇنانباي	qunɑnbɑj
قۇنتئاي	qonʊ̞tʊ̞j
قۇنتئەر	qʊ̞nʊ̞tær
قۇندۇز	qumduz
قۇياش	qwajɑʃ
قۇياش ئېنېرگىيىسى	qujɒʃ enˈiɾgiˈsi
قۇيۇق	qujuq
قۇچ	qutʃ
قۇچاق ئاچماق	qtʃɑq ɑtʃmɑq
قۇۋۋەت	qʉt
قېتىرقىنىپ	qitˈɛrqinˈɪp
قېتىش	ɢatʃ
قېتىشتۇرغۇچى	qɒtʃtuɾˈludʒe
قېتىشما	qɒtʃmɒ
قېتىشماق	qɪtʃmɑq
قېتىق	qitˈɯ̞q
قېتىم	qitˈim
قېتىمقى	qitimqi
قېرى	qɪriː
قېرىنداشلىق	qeɾeˈndɒʃlɒq
قېلىش	qiliʃ
قېلىن	qilin
قېلىپى	qˈɛlˈpjˈe
قېلىچ	qɛlˈitʃ
قېيننا	qˈɛllnˈɑ
قېيىق	qɪ̞jɪ̞q
قېچىر	qɒtʃɒɾ
قېچىش	kɛːtʃˈɛʃ
قەبرىستانلىق	qɛbristɑllɪq
قەبرىگاھ	qabriːga
قەبىلىلەر	qɒbilɒlɒri
قەبىلە	qɛjpilɛ
قەتئىي	tʰat̚˨˩iiː˧
قەددى قامەت	qɛttɪqɑmɛt
قەدىردان	qɛdrdan
قەدىرلىك	qɛdirlik
قەدىرلىمەك	qɒdɒliˈmag
قەدىمئەر	χæd̥ɪ̞mɛr
قەدىمكى	qɛdˈimki
قەدىمىي	ʁadmi
قەدەمبەگ	qɛtɛmbɛg
قەرز	qæɾz
قەرىز	ɢæɾz
قەسەم	qɒsæm
قەشقەر	kæʃkɛr
قەشقەر گېزىتى	qɛʃqɑr gezdi
قەغەز	qɑjˈqæz
قەلەي	kɛ̀ːl˥æiːt
قەيسەر	χæjsæɾ
قەيىت مەشرىپى	χɛjt mɛʃrpːe
قەيەر	qɛjˈær
قەپەس	tɑfˈtˈs
قەۋەت	qɒvɒt
ك	tɕʰi˥˩
كائىرومون	tʃiromon
كائىنات	kɑːiːnɛt
كائىنات بىئولوگىيىسى	kaːˈɑˈjnɑːt bˈiɔɫuˈgisi
كائىناتنى	kaːʔinætni
كابابە	kɒbabæ
كابول	kɑbol
كابىنكا	kabinkˈaf
كابىنېت	kaːbiːnɛt
كابۇل	kɑˈpɯl
كابېل	kɑːbɪl
كابېل ئۇزىتىش	kaːb el uθɯtɪʃ
كابېل ئۇزىتىش سىستېمىسى	kaːbeːl uzɯteʃ sesteʃɛ
كابېل ئۇلىغۇچ	kɒbɒl ɒliˈɒtʃ
كابېل ئۇچى	kɑːbɪl utʃu
كابېل بېشى	kɒˈbɒl beʃe
كابېل قاپلىمىسى	qɑpɨl qɑplɪmɪsɛ
كابېللىق قاتلام ئۆلچىگۈچ	kɑbellik pɑtlɑm ʔøltʃi gøtʃ
كابېللىق پومپا ئاسقۇچ	kɑbeɛkkompɑ ʔɑsqutʃ
كابېلنىڭ كېرىلىش كۈچى	kɑpɪlniŋ kerilɛʃ kytʃi
كات	kɒt
كاتابوللىزم	katabɔlizim
كاتازىيە فلورىسى	kɑtɑð jæˈ flursi
كاتالونىيە	kɑtɑlɔnjæ
كاتالوگ بىرلىكى	katalwk birlikɪ
كاتالوگ سىستېمىسى	katɑlɯz sɛstɯmɪzɛ
كاتالوگى	kataloɣi
كاتالىز	katalɯz
كاتالىز توكى	katʃaːliz tɔkɛ
كاتالىزاتور	katalɨzator
كاتتا	katːa
كاتېگورىيە	katˈɛgoriˈa
كادىر	kɒˈdɾ
كارات	kɑrɑt
كارامەت	kɑɾɑmɛt
كارتا	kartˈa
كارتون فىلىم	kɑrtun fɯlɯ̞m
كارخانا	kˈarxanˈa
كارخانىچى	kɐrχɐntʃʰiː
كارخانىچىلار	qarxantʃɨlɑr
كارناي	kɑrˈnɑj
كارىز	kɑːrɯz
كارىزچى	kɒrztʃe
كارىۋات	kɑːrʊˈvɑt
كارۋان	kɒɾwɒn
كاككۇك	kakˈok
كالا	kɑˈlɑ
كالام	kalɑm
كالتىسي	kaltsi
كالۋا	kɯ̞ɫɯ̞vɑ
كامالەت	kɑmɑlɑt
كامان	kaman
كامانچە	kɒmmˈɒntʃɒˈ
كامىرا	kʰɑmɪɾɑː
كان	kʰɒn
كان بايلىقى	kɒˈn bɒjliqˈi
كاچات	katʃat
كاچۇڭ مەشرىپى	kʰɑːn mɛʃr pɛ
كاڭ،	kʰaŋ˥˥
كاۋا	kɑwɑ
كاۋاك	tɾaːq
كاۋاپ	kɐˈvɑp
كراخمال	kræχmæl
كلاسسىك	klasˈsik
كلاسسىك ئەدەبىيات	klasˈsik ɛˈðebijɑt
كود	kˈud
كوردىنات	koɾdˈiːnat
كوررېكتور	kʊɾrɑktʊɾ
كوررېكتورلۇق	korektɒrniˈq
كوررېكتورى	kɔriːktɔri
كورىيە	kˈoːriːæ
كوزا	kɑːzɑː
كوللېكتىپ	kɔllɛktip
كومىتېتى	koːmˈiteːti
كومپىيوتىر	kɔmpiʊteɾ
كومپىيوتېر	kopjotoɾ
كومپىيۇتېر	kompjutire
كومپيوتېر	kompjote
كومپيوتېر تورى	kompioterture
كومپيۇتېر	kompjotur
كومپيۇتېردا	kompjɒtˈɾˈda
كومپيۇتېرغا	kɔ̃pjutɾɣa
كومپيۇتېرنى	kompjˈûːtɛrˈni
كومپيۇتېرىڭىزغا	kɔmpjuˈtɔraˈʁizɣa
كونا	kɔːnɑː
كونتىرول	kontroːl
كوچا	kɔːˈtɕa
كوچا ئاپتوبۇسى	koˈtʃɑ ɑpˈtɯbɯse
كىت	t̚˨˩
كىتاب	tɯ̞p
كىتاب ئىشكاپى	aʈap skɐpi
كىتاب بەندىسى	kɪˈtɑp bɛndisi
كىتاب نومۇرى	kitab numɾi
كىتابنى	kitablˈe
كىتاپ	tˈɑp
كىر	kˈɪr
كىر يۇيۇش	kriːjuz
كىرئالغۇ	kɾaʔalʁu
كىرا كېمىسى	krakimsi
كىرا ماشىنىسى	kɾama ʃinɪse
كىراز	kajɾuz
كىرىئالغۇ	kɪ̞rʔɑlʁu
كىرىمى	krˈmi
كىرپە	kɯ̞rtæ
كىرگۈزۈلمىگەن	kʏrgʏzʏlmɪˈgɛn
كىسرا	sra
كىشىلىك	kiʃilik
كىشىلەر	kiʃilɛɾ
كىلو	tʃiː˥˧luː˨˩
كىلومېتىر	kilometɪr
كىلوۋات	kloːat
كىم	kim
كىندىك	kiŋdijk
كىندىكباتۇر	kɪ̞ndɪ̞kpʊ̞tʊ̞r
كىنو	kino
كىنوچىلىق	kʲinɪ̞wːtʃlæk
كىنگورو	kangoro
كىيىم - كېچەك	kiːm kiːtɛk
كىيىم تىكىش ماشىنىسى	kijɯɴʃ kːʃoʊ̯ːʃiːn ɑːw˧˥ɑŋanːʒiː
كىيىن	kʰiː˨˩an˥˧
كىيىنكى قەدەم	kiˈjn kɛˈqɛdɛm
كىچىك قىزىلمۇچ	kɪtʃik qizɯl mutʃ
كىچىكئاخۇن	kɪtʃkɑχun
كىچىكئالپ	kitʃikɑlɯp
كىچىكبەگ	kitʃikbɛg
كىچىكخان	kikːxɒn
كىچىكلىتىشنىڭ	kitʃikletiʃnɛŋ
كۆتۈرۈش	køtyryʃ
كۆتۈرۈلگەن	køti̠rʏlgæn
كۆتۈرۈپ	katʏrʏ̞p
كۆتۈرەڭگۈ	kutræŋgɪ̞
كۆتۈرەڭگۈ روھ	kʏ̞tɾæŋgʏ̞ rʏ̞χ
كۆرتاغ	kørtaq
كۆرخان	kørχɑn
كۆرزەك	kurzek
كۆرسىتىدۇ	hœrstʃtʃɛdɔ
كۆرسىتىش	kʏrsteʃ
كۆرسىتىشى	kʏ̞stʂʏ̞
كۆرسىڭىز	kœɾsænɛz
كۆرسەل	kørsɛl
كۆرك	kœrɛk
كۆركئاي	kʏrkʲɑj
كۆركئەر	kʏrkˈɛr
كۆركئەل	kørkɪl
كۆركلۈك	kørtlyk
كۆركمەن	kœ̞rʏ̞kmæn
كۆركۈن	kœrkyn
كۆركۈنئاي	kʏ̞rkʏ̞nɑj
كۆركۈنجان	kœrkynciʁɑn
كۆركەم	kʏ̞rkʲɛm
كۆركەمئالپ	kœrkɛmʔɑlɪp
كۆرمەي	kʏrmæj
كۆرىنەرلىك	køɾynɛɾlɯk
كۆرۈش	kørʃ
كۆرۈشكە	kʏrʏʃkæ
كۆرۈلگەن	kørylgæn
كۆرۈلۈپ	tʏ̞rʏlʏ̞
كۆرۈمچى	kørymtʃi
كۆرۈنمىدى	køɾynmedɯ
كۆرۈنمەيدىغان	kʏ̞rʏnmæjtɪʁɑn
كۆرۈنىدىغان	kørɪnædʁɑn
كۆرۈنگەن	kʏrʏ̞ngæn
كۆرۈپ	kʏrət
كۆرەر	kørær
كۆرەرئاتا	kʏrærɑtɑ
كۆرەرئەر	koˈrɛrɛr
كۆرەركۆز	koˈrɒrkøz
كۆرەريىگىت	kørɛrjɪgɪ̞t
كۆرەش	kœɾɛʃ
كۆز	t̪e
كۆزئاي	køzɑj
كۆزئايدىڭ	pøzʔɑjdɯŋ
كۆزئەر	kʏ̞zˈʏ̞r
كۆزدىن كەچۈرمەك	køzˈjin ketʃiˈɾmæk
كۆزلەم	køzlɛm
كۆزلەگ مەشرىپى	køzlɛk mɛʃripbi
كۆزنەك	køznek
كۆزىتىشكە	jutupʃitʃikæ
كۆزۈش	køzyʃ
كۆك	kˈʊk
كۆك ئاسمان	kʰɑk ɑːsmɑːn
كۆك پۇرچاق	kʏ̞χ pɯ̞rtʂɑq
كۆك چۆچۈرىسى	køk tʃyttsjɯɾsɯ
كۆكئارت	køkɑrt
كۆكئېرىق	køkerɪq
كۆكئەر	køkɛr
كۆكئەل	køkɛl
كۆكباران	køkbaɾɑn
كۆكباي	kʏ̞kpaj
كۆكبىلگەقان	køkbilgɛqɑn
كۆكبۇدۇن	kœtkbuˈdun
كۆكبۇلۇت	køkbulɯt
كۆكبېچ	køkbitʃ
كۆكبەرق	køkbɛrq
كۆكبەن	køkfæˈn
كۆكتات	kʏktät
كۆكتاش	kʏ̞ktaʂ
كۆكتاغ	kətˈaʁ
كۆكتاي	kʏ̞t�tɑjɯ̞
كۆكتوغان	kœktɔʁɑn
كۆكتوقاي	kʏ̞ktʊ̞qɑj
كۆكتونلۇق	kyttʰulˈluq
كۆكتۇنا	køktʊ̞nä
كۆكتۇچ	kœkˈtʰutʃ
كۆكتۈرك	kʏ̞xtʏ̞rʏ̞k
كۆكتېرەك	kʏ̞xteɾek
كۆكتەن	kʏ̞kːtɛn
كۆكجان	kʏ̞k˥tɕjan˥˩
كۆكجاي	kʏ̞t˦˥tɕaj˥˩
كۆكرەك	kukˈrk
كۆكساراي	kœksɑrɑj
كۆكسال	kœksal
كۆكساي	kiksaj
كۆكسوي	kœksɔj
كۆكسۆيەر	kʏ̞ksʏgær
كۆكسۇن	kœksun
كۆكسەل	kœksɛl
كۆكقاغان	kʏ̞kɦɑkɑn
كۆككۆل	køkˈgyl
كۆكمەن	køkmøn
كۆكمەنئەر	kʏ̞kmænɛr
كۆكنار	køknar
كۆكياغ	kˈøkjɑk
كۆكياغاچ	køkjɑqɑtʃ
كۆكپۇتاق	kœkpttɑq
كۆكچاي	kʰɪ˥˩tʃaj˥˩
كۆكچورا	kœktʃora
كۆكچە	køkˈtɕe
كۆكچەبالام	køkˈtʃɯbalɑm
كۆكچەسۇ	kœçtsuu
كۆل	kjˈul
كۆلۈگ	kølyg
كۆممىقۇناق	θʏ̞mʏ̞qonɑq
كۆمۈش	kymˈyʃ
كۆمۈچ	cʏmɯtʃ
كۆمەن	køːmøːn
كۆنىلىگ	ynlig
كۆنۈكمىلەر	kynykmijlɛr
كۆيۈر	kʏjʏr
كۆيۈمچان	koː˧m˥˩tɕam˥˩
كۆيۈپ	kʏ̞jʏ̞
كۆپ	kˈœp
كۆپ مىقدار	køp møqtärø
كۆپىنچە	køpintʃɛ
كۆپياشار	køpjøʃɑr
كۆپەيتىلمەكچى	tɑzɑjʔɛjtɤlmɛktʃi
كۆچمە	kœtʃme
كۆچەت	tʃœtʃɛt
كۆڭۈل	køŋyl
كۆڭۈلئال	koŋuɫɑl
كۆڭۈلدىكىدەك	kˈomˈøʁdˈɛkdˈɛk
كۆڭۈلدە	køŋɨldæ
كۆڭۈلسىز	kɔmɔzɛz
كۆھۇن	køkun
كۆۋرۈك ئاستىغا بېكىنمەك	køyryk ɑstɯɢɯ beqɨnmɛk
كۇلۇب	kulu
كۇلۇچ	tɤ˧˥tt˧˥a˥˥ʈʂʰɔ˥˩
كۇنۇپكا تاختىسى	zupkoz ɒχsiw kɒmpɒn
كۇنۇپكىسىنى	koˈnuːqsiˈne
كۈدە مانتىسى	tʃidɛmɛntsi
كۈرۈنمە	køynle
كۈز	køz
كۈزگى بۇغداي	aʒgj bɒɢdɒj
كۈسەنباي	kysembɑj
كۈسەنبەگ	kysembɛg
كۈل	kyl
كۈلسوي	kylsøj
كۈلپەت	kølˈpæt
كۈلگىن	kɵlgɪ̞n
كۈلۈشمەك	kylyʃmɛk
كۈلۈگبىلگە	kilygbilgæ
كۈلۈگچۇر	kilygtʃoɾ
كۈلەرئالپ	kylɛrɑˈlɯp
كۈلەركۈن	kyn
كۈلەريىگىت	kylærjɪgɪt
كۈمۈش	kymˈœʃ
كۈمۈشئاي	kymʃʔaj
كۈمۈشقۇت	kymʃqut
كۈمۈشقۇرت	kimuʃquruq
كۈن	kyn
كۈنئاق	kynʔɑq
كۈنئال	kynɑɫ
كۈنئالتاي	kynaltæj
كۈنئالپ	kynɑˈlɯp
كۈنئىزى	kynizi
كۈنئەرئۆز	kynʔɛrʔiz
كۈنئەل	kynʔɛl
كۈنبەرگەن	kynbɛrgɛn
كۈنتۆرە	kyntøɾɛ
كۈنتۇغقان	kyntuqqɑn
كۈنتۇغۇش	kyntɔʁɔʃ
كۈندۈز	kynˈdøz
كۈنسۇ	kynsu
كۈنقان	kynqɑm
كۈنكۆرئەر	kynkørʔɛr
كۈنكۆردى	kynkørdi
كۈنكۆرمۇش	kʏ̞nkørmʏ̞ʃ
كۈننىڭ بۇيېقى	kynˈnɪŋ bujɯqˈi
كۈنيۈز	kynjyːz
كۈيلەش	kyjˈles
كۈچئالدى	ytʃɑɫdɯ
كۈچئەل	tʃɑmɑ
كۈچتېكىن	iʃtʃɛkɪ̞n
كۈچخان	kytʃχɒn
كۈچقان	kytʃɯp
كۈچقانات	qʃqɑnǎt
كۈچلۈكئەر	kʲiʃlikɛr
كۈچلۈكبەگ	kʲiʃlyːkbeʁi
كۈچلۈكتۈرك	kytʃlyydyrʏk
كۈچلۈكيىگىت	kytʃlyyigɛt
كۈچمەن	kytmæn
كۈچى	kytʃi
كۈچيېتەر	ktʃiːtær
كۈچۈم	kytym
كېتىپتۇ	keˈtɯptu
كېرىكى يوق	kerki joq
كېرەكلىك	keɾeclik
كېرەم ئىمىن	keɾæm emin
كېسىش	kɪ̞sɪ̞ʃ
كېسىپ	kɛsip
كېسەك	kɛsɛl
كېسەل	kɒsseˈl
كېسەللىك	kesɛllik
كېلىش	keliʃ
كېلىشكەن	keˈlɪʃkæn
كېلىن	kilim
كېلىۋاتقان	tʃilibɑtqɑn
كېمە	keimɨ
كېمەيتىدىغان	kiːm˧ɒːjiːtɒdɒˈʒɒnˈ
كېمەيتىش	kemeɣtiz
كېيىن	kijˌen
كېيىنكى	kink
كېپىنەك	kepiːnek
كېچە	kɛːtˢe
كېڭەش	kˈemɐʒ
كەبى	kæbʲi
كەبىسە	kɒbriˈsɒ
كەبە	kæbæ
كەترا	katra
كەترەن	kætjɛ
كەدتاش	kɛˈt�fɑʃ
كەركدان	kerkidɔn
كەركىدان	kærkʲiːdɑn
كەسكىن	kɛsqin
كەسكىنئاتا	kɛskinɑtɑ
كەسكىنئالپ	kɛskiˈnɑˈlɯp
كەسكىنئوق	kɛstkɨnʔoːq
كەسكىنئۆز	keskinøz
كەسكىنئەر	kɛskinʔɛr
كەسكىنباي	kɛskinbaːj
كەسكىنجان	kɛskindʒaːn
كەسكىنخان	kæskimχɑn
كەسكىنسەن	kɛskinsɛn
كەسكىنقان	keskinqɑn
كەسكىنقول	kɛskimqɔl
كەسكىنيىگىت	kɛskɨnɪkɛt
كەسكىنيۈز	kɛstkinjyːz
كەسلەنچۈك	kæslæntʃøk
كەسىپ	kɛˈsɪp
كەكلىك	kɛklɪk
كەلتۈرمەك	kɒlturmɒki
كەلتۈرۈشكە	kɒlturuʃgɒ
كەلدىئاتا	keldɒɒtˈa
كەلدىئاخۇن	kɛldiɑqun
كەلدىئالپ	kɛlduɑˈlɯp
كەلدىئوغۇل	kɛldɛʔoʁul
كەلدىئەر	kɒldɒæɾ
كەلدىباتۇر	kɛldɛbaːtduːr
كەلدىبارىس	kɛldebɑːrɯs
كەلدىباي	kɒldibaj
كەلدىبۆرە	keldibøʁˈɾe
كەلدىبەگ	kɒldibag
كەلدىتېكىن	kelditekɪn
كەلكۈنئەر	kɛlkynʔɛr
كەلمەسلىك	kɛlˈmɛslik
كەلمەك	kɒlmɒk
كەلمەكتە	keˈlmɒktɒ
كەلپىن	kɛlpɪˈn
كەلگۈسى	kɛlˈgusiˈ
كەلگەن	kelˈgen
كەم	kɛm
كەمبەغەللىك	kɛmbɛʁænlik
كەمسۆز	kemsiz
كەمپۈت	kmpyt
كەمچەت	kʰɛ̀mˀtʃʰtʃɛt
كەمەر	kemeɾ
كەنت	kent
كەنت باشلىقى	kɒnˈit bˈɒʃlɒqe
كەنجىباي	kɛndʒibaj
كەنچەك	kɛntæk
كەينى	kejne
كەپسىز	kɛpsɨz
كەپشەرلەش	kɒpʃɒɾlɒʃ
كەپكۈر	kʲɛpkʏr
كەچ	kæt
كەچلىك	kɒtʃlik
كەچلىك تاماق	tɾɛʃlik tɑmɑq
كەچۈرۈڭ	ketʃiɾum
كەڭ	kʰŋ
كەڭقىر	kænqɯ̞r
ل	liː
لائوس	laʔuz
لائىك	laːk
لائىكچىلىق	naʔɨktʃilɛq
لائەقەل	laʔɛqɛl
لابدۇر	lɑptur
لابدۇر ئادەم	lɑbduɾ ɑdæm
لابدۇر خوتۇن	ɫæp tur xʊ̞tʊ̞n
لابدۇرلاشماق	lɑpduɾlɑʃmɑq
لابرادور	lˈabˈɾador
لابوراتورىيە	lɑbuɾaːtʊɾjæ
لابورانت	lˈabran
لاتا	lɑtɑ
لاتا - پۇتا	latupta
لاتا خەي	latʃe
لاتا غىلاپ	natɯɁlɑp
لاتا غىلاپلىق	lɑtɯ̞ʁɫɑpɫɑq
لاتا غىلاپلىق قىلماق	ɫætɯ̞ʁɯ̞ɫɑp ʂɪp qɨlmæq
لاتا قورچاق	lat qoɾtʃak
لاتارى	lataːriːt
لاتارىيە	lɑtɑrjæ
لاتاپەت	lɑtɑpɛt
لاتاپەتلىك	lɒtɒtɒtlik
لاتقا	ɫätqɑ
لاتقىلىق	lɑtqiliq
لاتىلاشتۇرماق	lɑtɯnlaʃtʊrmɑq
لاتىن	lɑtɪn
لاتىن ئامېرىكا	latɯn ɑmɯrka
لاتىنلاشماق	laːtɯnlaʃmɑk
لاتىنچە	latɪntʃæ
لاتىپۇرۇش	latprʊ̞ʃ
لاتۋىيە	latʊjæ
لاخشىگىر	dʒuʃugøɾ
لازا	tianxu˧˥tt˥tsɯ˥˩la˥˥ʂu˨˩˦tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
لازىم تاپماق	lazim tɑtmɑq
لازىملىق	lazɯmliq
لازىمەت	lazmɛt
لاي	loj
لايىھەلىگۈچى	lɑjˈjhɛlˈlɪgitʃi
لاپاتكا	lɑpɑtkɑ
لاچىنئەر	lɑʃɯnʔɛr
لاچىنبەگ	latʃnbæ
لاچىنجان	laːtin
لاچىنقان	flatʃinqɑn
لاچىنكەلدى	lɒtʃɒnˈkeldi
لوبا	loba
لوباچە	lɔːbaːtɕeʔ
لوت	lɔt
لوختاي	loxtai
لوخو	loːkɔ
لوزۇنكا	lɔzumka
لوغەت	loːgət
لوق	lɔk
لوقمان	lɵqmɑn
لوپنۇر	ɫupnur
لوگىكا	lˈoɣika
لوگىكىلىق	loːgɪkɪlæq
لىباس	libas
لىبرال	librol
لىبىرىيە	nˈebɾˈi
لىتىر	lidl
لىتىرلىق	leterlɨq
لىرىك	liɾik
لىكسىيە	liksˈe
لىمفا بېزى	lɪnˈfɑː beˈzi
لىياقەت	liːaqet
لىينە	lˈiːnə
لۆم-لۆم	lømløm
لۆڭگە	lyŋgæ
لۇتفىيە	lutfjˈe
لېئو	lˈˌeo
لېكسىكا	lɪk˩˥kɑ˨˩˦
لېكىن	liːkːin
لېون	leon
لەتىپە	latˤɪpˈla
لەززەت	lazat
لەزىزە	nɛzizɛ
لەلىرۇي	laːlruːj
لەلىقىز	laælæqɯz
لەيلا	lˈeɪlə
لەيلى	gʲæ̹jne̞
لەپەر	nɛpɛr
لەڭمەن	lɒŋˈmæn
لەھەڭ	lahaŋ
م	me
مائارىپ	mʔɑrɛp
مائارىپ ئىسلاھاتى	maʔaːrɪj ʔɪslahaːti
مائارىپ ئىشلىرىغا سادىق بولماق	mɑʔɑrɪp ʔiʃlɑrʁɑ sɑdɪq bolmɑq
مائارىپ ئىقتىسادشۇناسلىقى	mɑʔɑrɯ̞p ɪ̞χtʃɪ̞sɑt ʃʲɪnɑsɫqɪ̞
مائارىپ ئىنقىلابى	mʊ̞ʊ̞rɯ̞p ʲinqɫɑ bʲe
مائارىپ ئېستېتىكىسى	mɑʔɑrɛt ʔistɛtɛɾɪkse
مائارىپ ئېكولوگىيىسى	mɑʔɑrɯp ɛkiloːgijsi
مائارىپ باشقارمىسى	mɑʔɑːrɯp bɑʃqɑrmisɪ
مائارىپ تارماقلىرى	mɑɑɾɯ̞p tɑrmɑqɫɯ̞rɯ̞
مائارىپ تۈزۈلمىسى	mʌʔaʕrɯz mɛrhumusɨ
مائارىپ تېخنولوگىيىسى	mɑʔɑrɯp tɛxnologɯjɯsɯ
مائارىپ جەمئىيەتشۇناسلىقى	mʌʔɑrɪp dʒɛmʲijætʃuŋasliqɪ
مائارىپ خادىمى	mɑʔɑrɯp χadɪmɪ
مائارىپ ساھەسى	mʔɑːrɑːp sɑhɛsɪ
مائارىپ فوندى	mɑʔɑrɯp fondi
مائارىپ قورۇلمىشۇناسلىقى	mɑʔɑrɪp qurulmɪʃnɑ qɪ
مائارىپ كېلەچەكشۇناسلىقى	vɒˈ ɒˈɾiˈb keˈlɒjɒtʃɒˈnɒˈsliˈqi
مائارىپ مەمۇرىيەتشۇناسلىقى	mɑʔɑrɯp mæmurɯjɯtʃɯnɑsliqɯ
مائارىپ پراكتىكىسى	mɑʔɑrɪp prætʃtʃɛkessʲe
مائارىپ پىسخولوگىيىسى	mɑʔɑrɯp psɯxologizi
مائارىپنى ئومۇملاشتۇرماق	mɑʔaːrɯpni ʔomumlɑʃturmɑ
مائارىپپەرۋەر	mʊ̞ɑrɯ̞ptærwær
مائارىپچى	mʊ̞aɾɯ̞ptʃɪ̞
مائاش	maʔaʃ
مائاش ئالماق	maʔaʃ ʔɑlmɑk
مائاش بەرمەك	maːʃ bɛrmɛk
مائاشسىز	mˈaʔaʃsiz
مائىدە	maːɪdæ
مائۇس	maːʔuz
مائۇسنىڭ	maːʔuznuː
ماتتىئاس قائىدىسى	matʰtʰiːʔaas qaːjtqʰiː
ماتروئىدلار كېسىشىشى	matruˈjtˈlɑr kɛsɪʃɛ
ماترىتسا	matritsˈa
ماترىتسا ئېلېمېنتى	mətˈrɪtˈtsə ɪlmɪnˈte
ماترىتسا ئەكسى	matritsˈa ɛk sˈe
ماترىتسا تاقابىللىقى	mɑtrɨtsɑ tɑqɑbɯnlɯqɯ
ماتور	mator
ماتورلۇق	mɑtʊrluq
ماتورلۇق كېمە	mɑtirluq kɪmɛ
ماتىغۇچ	maːtogutʃ
ماتىماق	mɑɑtɑmɑq
ماتىچى	matitʃe
ماتېرىك	matrɛk
ماتېرىيال	mataɾjɐl
ماتېرىياللار	mɑtɾijɑllɑr
ماتېرىياللارنى	wtɾjɑllɑrnɯ
ماتېرىياللارنىڭ	mɑtɛrjɑllɑrnɯ̞ŋ
ماتېرىيالنىڭ	mɑtɯ̞rjɑɫnɯ̞ŋ
ماتېماتىكا	matika
ماتەم	matem
ماتەم تۇتماق	matɛm tʊ̞tmɑq
ماتەمدار	mɑtɛmdar
ماتەملىك	matemlik
ماجال	mətʃəl
ماجاڭ	máːdʒan
ماجىدە	maːdʒida
ماجىرا	mɐdʒraː
ماجىرا كۆتۈرمەك	mɑdʒɯrɑ køtyrmɛk
ماجىرا پەيدا قىلىش	mɑdʒɪrɑp pejtɑp qilɪʃ
ماجىرا چىقارماق	mɑdʒrɑtʃ qirmɑq
ماجىرالاشماق	mɑtʃiɾɑlaʃmɑq
ماجىراچى	mʌdʒraːtʃi
ماددىلار	mætɯ̞ɫär
مارافون	mɑːrɑːfun
مارجانئاي	mɑrdʒɑnɑːj
مارجانبىبى	məːrdʒaːnbibɪ
مارجانقىز	mardʒɒnqiz
مارجانقۇم	mɑrdʒɑnqum
مارجانكۆز	mɑɾdʒɑnkøz
مارجانگۈل	mɑɾtʃɑngyl
مارشال	marʃɑɫ
ماركا ھوقۇقى	maːrka ɦoː koːki
مارىيە	mɑriːjɛ
مارىيەنىسا	marenesɑ
ماسسا	massa
ماسلاشتۇرۇلدى	mɑslɑʃtʊɾɯɫdi
ماسلاشتۇرۇلۇپ	mɑslɑʃtʊ̞rʊ̞ɫʊ̞p
ماسلاشقان	mɑsɫɑʃqɑn
ماسلاشمايدۇ	mɑslɑʃmɑjdu
ماشىنا بېلىتى	maʃiːnˈa bˈɪlətˈe
ماغدۇر	mɑɣdʊr
ماقال	mɑqɑl
ماقالىلەرنى	mɒqɒlilɒˈɾni
ماقالىنى	mɑqɑtini
ماقۇل	mɑːqqul
مالىيە	mɒːlie
مالىيە مۇتەخەسسىسى	mɑːlijəːja mətaxˈs sə
مانتا	mɑntːa
مانىل	maːnəl
مايسا	maisa
مايسىئاپئاق	mɑjsʊ̞ɑpːɑq
مايسىخان	maisxaːn
مايسىگۈل	mɑɪsɪgyl
مايسەم	majsæm
مايكا	mˌɐɪkə
مايكول	mˈaɪkɯl
مايور	majoɾ
ماڭ	mˈɑŋ
ماڭارئالپ	mɑŋɑrɑlɯ̞p
ماڭارئوغۇل	mɑŋɑruʁul
ماڭارئەر	maŋaɾær
ماگىزىن	maːgzin
ماگىنىت	mɑɢniʔtʰjɛnˈsʏ
ماھارە	mahare
ماھارەت	mɑhaːrɑt
ماھىبان	maːħibaːn
ماھىبانۇ	maːrħibaːno
ماھىبىبى	mˈɑːhibˈbe
ماھىبەدەر	mɑhibɛdɛr
ماھىدىل	mahˈidəl
ماھىران	mähʲirɐn
ماھىرلىقى	mɑːhirluqe
ماھىرۇي	mahɪrʊiː
