(ممتاز حسین (مصنف	multasuzɛ
کُلْفَت اُٹھانا	kʰəlfʈ ʊtʰɑːnə
کُلْفَت دُور کَرْنا	kəɳfʈ doːr kɐɾnə
کُمَیت	kumˈat
کُنجِ تنہائی	koːn dʒət̪n gɑiː
کُنجِ جہاں	koːn ja ɟɛjɦɑ
کُند	kˈond
کُند ذہن	kun zɪħˈm
کُند ذہنی	kol zɛjˈni
کُندنی	kondɛːnij
کُندہ	kɔndaː
کُنَد	kuðad
کُنڈ ملیر	kon lmaliːvɛ
کُنڈی	koɳɖiː
کُنکُنا پانی	kʊŋˈnaːpɑni
کُنگرا	ungɾa
کُوئے خرابات	koːˈj xraˈbɑt
کُود جانا	qumda xɑnɑ
کُود پھاند	ˈɛd pˈɔːn
کُود پھاند لَگانا	guːld pˈɑːn lagɑnə
کُولھا	kula
کُون	kal
کُونا	koɔnɑ
کُونج	uweɲ
کُون٘کْھنا	ko˥˥kʰɔ˨˩˦nɔ˥˩
کُوچَک	kuːtʃɑk
کُوچَک اَبْدال	qoːtʃək əbdʒɑːz
کُوچَک دِلی	kʊtʃə gɪli
کُوڑا	kula
کُٹائی	kʰɑt̪ːɑːiː
کُٹنی	koːtiniː
کُٹْھلا	kʰʊd̪la
کُٹھالی	koʈɑːliː
کُٹیا	kɾˈutiɑ
کُپَٹْنا	kʊpːɯɳt˃ʰnɑ
کُچھ	kuk
کُچھ اُمید	kutʃ jnˈə
کُچھ تو ہو	kutʃ po˥˩ːbo˥˩ː
کُچھ نہ بولنا	koʃnoː bol nə
کُچھ ڈرتے ڈرتے	kotʃ ɖəɾt̪e ɖəɾt̪e
کُچھ کم نہیں	kɪtʃ kɐm nɛːiː
کُچھ ہَوس	kˈutʃ hˈɐviz
کُڑ کُڑانا	toɾ kɔ ænæ
کُڑا	kua
کُڑھنا	kuhna
کُکْڑا	kukɾa
کُھجانا	kʰʊdʒɑːnɑː
کُھجلی پیدا ہونا	kʲiːliː bæn hæna
کُھدے	χudˈe
کُھرَچْوانا	kʲɾatʲæːone
کُھس	ɾuz
کُھسّہ	xʊ̞sˈa
کُھلم کُھلا	kulləm kullə
کُھلوانا	kʰoːlwaːna
کُھلوانے	kʰulwɑːj
کُھلّم کُھلّا	koːlˈlam koːlˈla
کُھلے	kʰʊlɛ
کُھلےعام	qɔlɑːm
کُھنڈانا	koːnlɑːnɑh
کُھنڈی	kondi
کُھوہ	tɔːmˌ
کُھٹ	kɔːt̪
کُھٹ پَچْرا	kʰʊt pə ɾɑ
کُھٹ چال	kurtʃɑːl
کُھٹانا	kʰoːtɑːnɑː
کُھٹَک بَڑَھئِی	koftæm bɒhɾiː
کُھٹَک جانا	koˈtak dɑna
کُھٹک	koˈtɑk
کُھٹکنا	koːdakˈna
کُہر	ʊ̞hɯ̞r
کُہرا	kɔɦra
کُہسار	kʰəsɑːr
کُہْرا پَڑْنا	koɦɾaː pɑɺɭẽ
کُہْرا چھانا	koɦrɑː ɑtʃʰɔnɑnɑ
کُہْنی مارْنا	koɦniː mɑːr nə
کِتاب بَندوبست	kiːt̪ɑːb b bŋ goːbas
کِرائے	kirɑːe
کِرائےلینا	keraːjelena
کِرایہ	kriʔaː
کِرم	kirm
کِرْکِرْی	kɾkɾ
کِرْکِرْی ہوگئی	kɪrkɪriː ɦoː gɪɪ
کِریانہ	kɪɾiːɑːnɑː
کِس	əs
کِس مُنہ	kez bon
کِس نے	kes ne
کِس چیز کو	kestʃizko
کِس کا	ɑːskə
کِسوت	kesˈsozˈk
کِسکی	ɛski
کِسے	kisˈe
کِشمِش	kɛʃmis
کِلو گرام	kiːloː gɾɑːm
کِلْبِلانا	kilbilaːna
کِن کِن	kĩ˥˥ kim˥˥
کِن کِن لوگ	pynkiɲog
کِنارَہ پَکَڑْنا	kɪˈnɑːɾɑː pəkɐɾnə
کِنارَہ کَرْنا	kɪˈnɑːɾə gɪrnɑː
کِنارَہ کَش	kənɑːrɑː kəʃ
کِنارَہ کَش ہونا	plnɑːrɑː kəʃ hona
کِنارَہ کَشی	t̪iːnaːɾɑː kʃiː
کَِفالَت	keːfɑːlɑː
کِھلائیں	xˈilˈjeːɹiːn
کِھلْنا	tʃoɾal
کِھلے	kile
کِھنچاؤ	kintʃau
کِھنڈانا	tʃiːzinɒnˈɒ
کِھٹ	k
کِھچَر	kɪtʃer
کِھچْوانا	kʲæˈʃaːnɑ
کِھیل	kɪːn
کِیکڑا	kekɾa
کّلی	kliː
کٗنجڑا	kʰuː˧˥
کٹ بڑھئی	kəʈ bəɦe
کٹ کر	kaːʈ kaːn
کٹا پھٹا ساحل	kʈaːɓʃt̪ʃaːsɑːɦɪl
کٹائی	kɐt̪aːiː
کٹار	kʈːɑːɾ
کٹاری	qɾbəla
کٹر مذہبی سوچ	kˈaːktaːrməs həˈbi sɔːtʃː
کٹوائیے	kʌtʋaːjeː
کٹوانا	kt̪oːɑːnə
کٹوتی	kʈɔːtʃiː
کٹورا	katora
کٹوری	kəʈoːriː
کٹّی	kʌt̪ˈi
کٹھ بڑھئی	kəʈː məɦai
کٹھ بیدائی	kəɺ bai̯daːiː
کٹھ دلیلی	kət ðə n̪iniː
کٹھ ملّا	kʌt̪ muːllə
کٹھ پھوڑا	kað̞ kʰoɫa
کٹھل	kʌt̪ʰəl
کٹھن	ka̝˥t̪inː
کٹہرا	kʈeɦɾ
کٹہل	kʌʈːʌl
کٹی	kinti
کٹی کٹائی	kʈiː kʈaːɪ
کٹی کٹائی فصل	kətiː kəʈəai fsəl
کٹیری	ghʈɛɾi
کٹیلا	kəʈeːla
کٹیلا کااثر	kʌt̪eːlɑː kə əsr
کٹے ہوئے ٹماٹر	kəˈtɛ ˈhue təmɑːtə
کپ	ˈkʌm
کپاس	kɑːbɑːs
کپڑا	kapɾa
کپڑا لپیٹنا	kəpɾaː la peːtnaː
کپڑے	kpl
کپڑے اتارنا	kɯ̞pɯ̞ utɑrnɯ̞
کپڑے دھوتی	kəpˈɔe d̪ʱoːt̪i
کپڑے پہننا	kəprɛj pʰəɳaː
کپکپاہٹ	kəpkəpɑːɦʈ
کپیوٹر	kəmpjˈutɚ
کچ دلا	kɐtʃ diːlˈla
کچا	kɐtʃa
کچا قلعہ	kə tʃa qɪla
کچا پپیتہ	pɛtʃːaː pɛːpitaː
کچا گوشت	katʃa gɔʃt
کچائی نکالنا	kʌtʃɑːiː niːkɑːlɳə
کچالو	təˈtʃəloː
کچرا اٹھانا	kʰiːstʃ raː ʔuːtɑːnɑː
کچرا کنڈی	kətʃraː kumbi
کچرا گھر	kʰəslaːd gʱr
کچری	kʌtʃːiː
کچرے	kətsɾe
کچرے سے بھرا	kɐtʃɾeːse bʱɾäː
کچرے میں	gatsiɾeme
کچرے کا ڈھیر	kʌt̪ʃwe kɑː ɖʱeʝ
کچرے کے ڈھیر	kʌsreː keː ɖʱeːɾ
کچل	kutʃəl
کچل دو	ʊtʃwɑːl d̪oːiːtʃʰɑːs
کچل کر	kʊtʃəːl kɑːr
کچلاک	gʊ̞ʃlɑːk
کچلاک بازار	kʃ laːgbɑː zɑː
کچنار	kastnar
کچوئی	ka˥˩j˧˧tɕʰo˧˧i˨˩˦
کچورا جھیل	kʌtʃoːɾaː dʒiːl
کچوری	kətʃoɾiː
کچوکے	kʰəˈtɕoːkeː
کچُھ بھی	ko tʃip li
کچّا راستہ	katʃaːrasta
کچّا ناریل	gɪt̪ːʃː nɐaːɾijəɭ
کچّے	toʈʂe
کچھ	kʊˈtɕ
کچھ آسان	kwtʃ ɑːsɑːn
کچھ اندازے	kʌtʃ ɑːndɑːz
کچھ اور	kutʃa por
کچھ اور تھا	kʊtʃ ɔrɑdɑr
کچھ اور ہے	kɪtʃ ɔːr eːeːʔ
کچھ بات	kutsʲ bat
کچھ بھاگتے پھرتے ہیں	kɪtʃ bʱɑːgʈeː pʰɪɾteː əɪ̯n
کچھ بھی نہیں	kʌtʃ bi nəiː
کچھ بھی ہو	kʌtʃ bhi boː
کچھ حد تک	kutʃ hɒtˈbɒˈɾˈ
کچھ حد نہیں	kɪtʃ hɑːd̪ʱ nəɦẽː
کچھ خامیاں	kutʃ xaːniu
کچھ دن پہلے	koːtʃ jˈæˈliːf beːðe
کچھ دیر	kutʃ beɾ
کچھ رینگ رہے ہیں	kʌtʃ ɾiːŋ ɾəɦẽː əɪ̯n
کچھ سالوں	kutʃ sɑlom
کچھ شعلے	kə tʃoːle
کچھ عرصہ بعد	kutʃ ɑrsɑbɑn
کچھ غیر متوقع	kɵtʃ zɑjɛɫ mutawaqqa
کچھ فاصلے	kɪtʃ fɑːsile
کچھ لوگ	kˈut lˈog
کچھ ماہ	kutsʰ maː
کچھ مجھے	kʌtʃʰ məʐe
کچھ مشکل	ɣ̞oθ moskˈil
کچھ مقدار	kutʃ bɪ̞qdɑr
کچھ مقدار میں	kʌtʃ mɪdːɑːr mɛ̃ː
کچھ مہینوں	kʌs mʌhĩːnõː
کچھ میٹھا	kʌtʃ miːtɑː
کچھ نام	kwtʃ nɑːm
کچھ نہ ملا	kɑˈʃtʃuː naːmjlæ
کچھ نہ کچھ	ko tʃi natko
کچھ نہ کہو	kiʃ nə kəˈho
کچھ نہیں	kɪtʃ nəˈɦen
کچھ نیا	kwɪtʃ nəjɑː
کچھ پتہ نہیں	kʌtʃ pədaː nəeː
کچھ پرانا	kʃ doːˈɾɑːnɑː
کچھ پہلے	kɪtʃ prəleː
کچھ کمائےگا	kʌtʃ kʌmaːjeːgə
کچھ کچھ	kɔtʃ kɔtʃ
کچھ کچھ ہوتا	kʊtʃ kʊtʃ ɦoˑ taː
کچھ کھویا کچھ پایا	koːtʃ qɔja
کچھ گھسٹ رہے ہیں	kɪtʃ giːsɐt̪ reːgəɪ̃
کچھ ہو	kˈut wˈoː
کچھ ہوا	kˈutʃ ˈɦuːɑ
کچھ ہی	kʰiːt kiː
کچھ ہی پہلے	kɪtʃ hi peːˈɦle
کچھ ﻧﮩﯿﮟ ﺟﺎﺗﺎ	kɪʃ nəːiː gɑt̪ɑː
کچھوا	katʃiva
کچھی زبان	gtʃʰiː zəbɑːn
کچہری	kətʃʰhri
کچہریوں	kˌatˈjˈhˈrɪŋoː
کچی آبادی	kətʃiː ɑːbɑː diː
کچی بستی	kʌtʃiː ˈbɑstiː
کچی دال	kətʃiː daːl
کچی رپٹ لکھواؤ	k̚˥˩ʰt̚˥˩ʰaːjkʰraːʋ
کچی سبزی	tˈakːtˈsijˈsapzjˈ
کچی مٹی	kəˈtʃi mɛdi
کچی کولی	qɑtʃɪ koːˈliː
کچی کچی گالیاں دینا	kʌt̪ʃiːn kʌt̪ʃiː gʌliˈɑ̃ ɖeːnə
کچی گولیاں	katʃiː gˈoːliːnɛ
کچے انڈوں	gəːˈtʃe ənd̪oːn
کچے راستے	kʌtʃe ɾaːsʈe
کچے قیمے کے پراٹھے	kɛːtʃjə kiːmɛ keː pəɾɑːʈʰe
کچے گوشت کی بریانی	kətʃʰe gɔʃt̪ kiː bɪɾiːɑːniː
کچےآم	gətʃeːəmaː
کڑ کڑاہٹ	tol kaːhət
کڑا	kəˈrɑʊ
کڑا موسم	kæːmˈɑlˈsˈɑm
کڑا پن	kɑːp̚aːn
کڑا کرنا	kakaɾna
کڑائی	kiɾai̯
کڑاپن	k̚˥˩laːpən˦˥
کڑاکے دار	kɑːɫɑː kʰeː ɖɑːɾ
کڑاکے کا	kɾɑːt̪ keː kəɾ
کڑاکے کاجاڑا	kɑː keː kə ɟɑɦ
کڑاھئی	khəʔiː
کڑاہی گوشت	kʰə j gʊɾ
کڑوا	kɐɾˈɛːvɐ
کڑوا تیل	kaːlaː teːr
کڑواہٹ	kəɺʋaːɦəʈ
کڑوی زبان	kɾliː zbɑːn
کڑوی مرچ	kɐlɛːbiː ɪlmɛtʃɪ
کڑوے بادام	kɾʋeː baːd̪ɑːm
کڑک چائے	ko˩˥ːlˈap tʃaj˥˩
کڑھائی	kaːhaːiː
کڑھائی گوشت	əˈhɛai̯ goʃt
کڑھاﺅ	koːˈhɒːl
کڑھنا	koːɾsbuna
کڑھنے	koːˈhˈnɛ
کڑھی	koːrˈhiː
کڑھی پتّہ	gə liː pətːa
کڑھی پتّےکا درخت	xəɺʱiː pətːeː kə drx
کڑھی پتےکا درخت	koːd̪ʱe pət̪eː kə drəx
کڑھی پتےکاپیڑ	kəɦeː pʊt̪ːt̪eː käː peːɔeːʈ
کڑی	kɐɾˈiː
کڑی تنقید	kəɽiː t̪əŋkiːn
کڑی دھوپ	kɐɾiː d̪ɾʊp
کڑی نظر	kɑːriː nɑːzæɾ
کڑی نگاہ	qɔɾiː ljˈbɪgːə
کڑے	kɐɽeʔ
ککن	kuk˦an˥˥
ککڑی	kəkˈriː
کھا جائے	kʰɑː ɐˈjeː
کھا رہے	ɦɑː ɾeːe
کھا لیے	kʰɑːliːæ
کھا پی	kɑːpɪ
کھائی	kʰeː
کھائی جائیں	kʰʊː˨˩eː˧˥aː˧˥iː˧
کھائی جاتی	kʰɑːɪdʒɑːt̪iː
کھائیوں	jɪ̞
کھائیں گی	kʰɑːnˈgiː
کھائے	ˈaɪ
کھائے جائیں	kʰɑːeː gɑːɪ̃
کھاتا ہُوں غوطے	kʰaːtaːn˧huːwɔːteː
کھاتہ	kʰɑːtə
کھاتے پیتے	kʰɑt̪eː piːʈe
کھاد	kˈɑd
کھارا پانی	kʰaːraːpaːni
کھاران	ɦɑːrɑːn
کھارک	kɑːrk
کھاری	kʰaːɾiːf
کھاریاں	kəɹiːɑn
کھال	aːl
کھال اڑ گئی	kʰɑːl ɔːgəiː
کھال کے لیے	kʰɑːl keː liːe
کھالیں	kʰɑːlɛː
کھانا	kɑːnɑː
کھانا تیار	kʰɑːnɑː tɑjːɑːr
کھانا ضروری ہے	kʰɑːnɑː zɑːɾuːɾiː e̞j
کھانا پکانا	kɑnɑ pakɑˈnɑ
کھانا چاہتے ہیں	kʰɑːnə tʃʰɑːt̪eː ɦẽːʔ
کھانا چنّنا	kʰaːnɑːtʃnɑ
کھانا ڈھونڈتے ہیں	kʰɑːnə ɖʊɳteː ɦẽːʔ
کھانا کھا	kɑːnɑː kʰɑ
کھانا کھاؤ	kɔːnɑːkɔː
کھانا کھاتے	kʰɑːnɑː kʰɑːt̪e
کھانا کھانے	kʰæˈnɑː tʰɒːle̞
کھانا کھایا	kalaːrkɔjˈa
کھانستا	kɑːstˈæ
کھانسنا	kɑːstnɑː
کھانسی	kɒːsˈiː
کھانچے دار پہیّا	kʰ ɑːtʃɛ ɖɑːɾ pɐɦjə
کھانڈ	kand
کھانی چاہئے	kʰɑːniː θʰiː e̞
کھانے	kʰɑːnæ
کھانے پینے	kɒne biˈne
کھانے کھلانے	kʰɑːne kʰɪlɑne
کھانے کی میز	kʰɑːnˈʔgiː mɪz
کھانے کے لئے	kʰɑːneː keː liːe
کھاوں فریب	kau fʲadʒa
کھاپ	kʰɤ˥˩
کھاڑی	kˈɑɹli
کھب	kˈɔm
کھتّے	katːe
کھجانا	ʃoːsknə
کھجور	kadʒur
کھجور کاپیڑ	kʰəˈdʒuːr kə peːr
کھجوروں	kdʒuːron
کھدائی	xɔdɑːiː
کھدبد	koːdˈbun
کھدرا	kudra
کھرا	kɐrˈɑ
کھرنی	kjɾˈniː
کھرچائی	xʊɾtʃaːiː
کھرچن	koɾtʃan
کھرچنا	kʊɾaʃna
کھری کھری	kʰəɾiː kʰəɾiː
کھری کھری بات	kʰəɾiː kʰəɾiː baːt
کھری کھری باتیں	kʰɐɾiː kʰɐɾiː baːt̪ẽː
کھری کھری سنانا	kʰəɾiː kʰəɾiː snənə
کھرے کھوٹے	kʰɾeː kʰoːɾte
کھسر پھسر	pusur pusuɾ
کھسوٹنا	kɒsɒbna
کھسکتے	izˈɛkˈti
کھسیا کر	kʰəsiːɑː kɪɾ
کھسیانا	kɾɪsˈijɑnɑ
کھل مندن	kʰoːl muːndɔːn
کھل کر	kʰunː qar
کھل کھلا کر	θʰeːl χɛlə kər
کھل کھلائی	kælˈʃɑːlɑːiː
کھل کھلانا	kɪ̞n xɪlɑnɯ̞
کھلا خط	kʰælɑh pʰaːt
کھلا سکتا ہے	kʰləː sɐt̪t̪ə eːeːʔ
کھلا ہوا	qɔlɑh uaː
کھلا ہوا رہنا	kola hoaːr hina
کھلائی	kʰelɑːiː
کھلائیں	kʰiːt˥rai˥
کھلانا	klana
کھلانے	klanɛ
کھلاڑی	kæˈlɑːrɪ
کھلاڑیوں	xlaːɾiːõː
کھلبلی	kɒlbɒliˈg
کھلتی	kʰəltiːm
کھلتی کلیاں	ʃiː gɑliˈjɑŋ
کھلم کھلا	kʏlnʏ̞m kʏlmɑ
کھلنا	qɔlnakeːlna
کھلنڈرے	kælɛndɾɑj
کھلنے کے وقت	kʰɑːneː keː vɑqt
کھلوانا	kelaona
کھلواڑ	kaluaːʕ
کھلونا	kɪ̞ɾɔmɑ
کھلکھلاتے	kʰɪlˈxɪlɑːt̪e
کھلکھلانا	tʃiːzilɑnɑ
کھلی فضا	kʰoːliː fʔiːza
کھلی مداخلت	koˈli modaxxla
کھلی چھٹی	kʰoːliː ɕʈiː
کھلے آسمان تلے	kʰle ɑːsmɑːn kɛle
کھمبا	kæmba
کھمبے	kã̠mbe
کھنبوں	kˌumˈbɔ
کھن٘پا ہوا	kʰɑpɑː ˈhɔːäː
کھنچ جاتے	kʰenʃ gɑːr teː
کھنچاؤ	kɔː˧˥tɕaːw˥˩
کھنچاﺅ	kʰeː˧˧tɕaʊ˥˧
کھنڈت	qɒndɒt
کھنڈر	kəndər
کھنک	kanat
کھنکتا	kʰanːaːknˈa
کھنکھار	kɔːˈkɔː
کھنگال	kaːnˈdalː
کھنگالا	kʰɑŋɢɑlɑ
کھنگالنے	koːnˈgɑlɭiː
کھو جاتا ہوں	ko gɑt̪ɑː ɦoːn
کھو جانا	oːaːnə
کھو دینا	koːdˈeːnˈɔ
کھو چکی	koːrˈ tʃuː kiː
کھو کر	əˈgɾ
کھو گئے	koˈgaj
کھوبر	hubər
کھوج	koːdˈæ
کھوج لگانا	koʒ lɣɑnɑ
کھوج لگانے	kʊːdʒ ləgɑnɛ
کھوج کا آغاز	kʰoːdʒ kə ɑːgɑːs
کھوجنا	koːgidʒinæ
کھوجنے	koːˈdʒiːde
کھوجی	kɔːˈgiː
کھودتا رہا	kʰoːd qaːr ɾəɣa
کھودنا	koːdnə
کھودنے پر گھاس	kʰoːnne pɾə gʱäːs
کھول دو	koːl doːp
کھول دی	koːl d̪iː
کھول دیا	kɦoːl diːɑː
کھول کر	kʰoːl kɐɾ
کھولا	kɔla
کھولتا ہوا خون	kʰa˨˩ta˥˩xua˧˧ xun˥˩
کھولنا	kolna
کھولو	kɑlɑ
کھولی	kʰɔ̀li
کھولے	kʰoːlɪ
کھونا	koːna
کھونٹے کی بھینسیں	kʰoːt̪eː kiː ʋeːsɛ
کھووار زبان	kovaɾ zɑˈbɑn
کھوٹا	kɔːtɑː
کھوٹا سکہ	kʰoːʈaːɐsɨpːkaːʔ
کھوٹے بھائی	kʰɔtɛ bʱɑi
کھوٹے سکے	kʰʊɖɛsˈɛ ke
کھوپرا	kɔpra
کھوپری	koplˈin
کھوپڑا	kʰoːp˨˩nɑx˥
کھوپڑی	koːpˈrɪ
کھوپڑی بِھنّا گئی	au pɾˈi dʒˈnɐgəl
کھوکھا	hˈoːkˌɑ
کھوکھلا	koklɑp
کھوکھلی	kʰɤ
کھوکھلی جگہ	kʰoːliː dʒəgɦäː
کھوکھلے	oːklɪ
کھوکھلے پن	kʰoːkʰlɛpãn
کھوگئی	koːgɐɪ̃
کھوہ	kɑhvɑ
کھویا	koja
کھویا ہوا	wa ju eːtʃ
کھَرا	kɐɾa
کھُلا	kullɑ
کھِلکھِلاتے بچے	kʰɪl ɦɪlɑːtʰeː bətʃːe
کھٹ پٹ ھونا	t̪ɾt̪pʰt̪ ɦoːnə
کھٹ کھٹ	kʰəʈː kʰəʈː
کھٹ کھٹاہٹ	xət khətaːhət
کھٹا	kʰʌt̪nɑː
کھٹائی	kʰəˈtaːiː
کھٹائی میں ڈالے	kʰɑːt̪ɑːiː mẽː ɖɑːlɛʔ
کھٹراگ	kə˥˩ːtrn˧
کھٹمل	fəɖməl
کھٹّا	kʰɑːkkɑ
کھٹّی دال	kʰt̪iː ɖɑːl
کھٹّی دھی	kʰɐt̪ɪː ɖəɦiː
کھٹک ہونا	kʰaːtaː kʰoːna
کھٹکا	kʰəːtkaː
کھٹکتا	kʰəˈtʰəkta
کھٹکتی	kʰɑːt̪ɐt̪iː
کھٹکتے رہنا	khʈəʈe ɾəɦnə
کھٹکنے لگی	kʰəʈəkneː ləgiː
کھٹکھٹانا	kʰʈkʰɑːt̪aːnäː
کھٹی دال	kʰt̪ːiː ɖɑːl
کھٹی میٹھی	kɔːˈtiːnitʰiː
کھٹیاو	kˌaʊtˈjˈɑʊ
کھٹےآم	kʰt̪eːəm
کھپائے	kʰap̚aː˧e
کھپریل	taprɛl
کھچا کھچ	kʰɑtʃ˥a˥˧kʰɑ˥˩ʃ˥˩
کھچنا	tʃetʃnɑ
کھچڑا	kytʃˈɾa
کھچڑی	kˌaɪndʒəɹˈeɪn
کھڑا	tʃʰt̪a
کھڑا ہونا	kʰɑːlɑː ɦoːnɑː
کھڑاویں	kɑːnɑːmi
کھڑاہونا	kʰɑːlɑːhɔːnɑː
کھڑکا	kʰaːlɤ˨˩˦keʔ˨
کھڑکانا	kʰaːnˈnɑ
کھڑکتے	kʰɑɾɑtˈvɛ
کھڑکنا	kʰaːraːqnaː
کھڑکھڑاہٹ	koːlkoːləlhət
کھڑکی	fˈɛkˈi
کھڑی بولی	kʰɾʔ bəˈliː
کھڑی دال	koːˈliːtˈl
کھڑی چٹان	kʰəːiː dʒəʈaːn
کھڑے	koɾɛ
کھڑے مسالےکا گوشت	xɛnɛj mɑːsɑːleː keː doːr
کھڑے ہوتے	kʰɐɭeː ɦoːt̪eː
کھڑے ہیں	kʰɐɽeː ɦẽːʔ
کھڑےہونا	kʰaːɾee̞bõːnə
کھکھیڑ	kɐˈkɪɹˈ
کھی کھی	tʃiː˥˧xiː˨˩
کھیت	tʃiːd
کھیت کھلیان	kʰeːt kʰəliːˈɑːn
کھیترانی	kɛːtrɑːni
کھیتی	kɛːtʃ
کھیتی باڑی	kʰeːt̪iː baːɺiː
کھیرا	kˈira
کھیل	k
کھیل جمانا	kʰeːl gʊmɑːnɑː
کھیل جمنا	kʰeːl dʒʌmːnɑː
کھیل ختم پیسہ حضم	kɒjl xatˈɒm bˈɒˈj sɒhˈizm
کھیل لڑکوں کا	kʰeːl ɾəɣ ko kaː
کھیل میں	kelme
کھیل کود	kel kud
کھیل کھیلا کرتی	kʰeːn kʰeːlə kɾt̪iː
کھیل کھیلتے	tʰɪl xɛlˈte
کھیلا ہو	kɛlɐ huːɑ
کھیلتے	kete
کھیلنا	klna
کھیلنا شروع	kæːrˈnˈaːʃu
کھیلنے	kʰeːlne
کھینا	ɦɛːnɑ
کھینچ تان	kʰiː tɔːnˈ
کھینچا	kintʃa
کھینچاتانی	kʰiːn˧tɕaːtɔ̀ːŋ˧
کھینچنا	kintʃnɒ
کھینچی تھی	kiʄit˦i˥˩
کھیوا	tʃiːwa
کھیوڑہ	kivrˈɑ̃
کھیویا	kʰeːlaːjˈjaː
کھیپ	k
کہا جا سکتا	kʰɑː dʒäː sɐt̪ʰt̪ə
کہا کہ	kɐˈhɑː keː
کہا گیا	kɐˈhɐ gɐjɑː
کہا گیاکہ	kʰɑ gɑːjɑː keː
کہانی	kahoːni
کہانی سناؤ	kɐɦɑː niː sɔnɑːʋ
کہانی سنیں	kəɦɑːniː sʊnɪ̃
کہانی میں دلچسپی	kəɦɑːnɪ mɛ̃ː d̪ɪl dʒɑsˈtiː
کہانیاں	kaɦɑːnɪːe
کہاوت	gɑhɑːwɑt
کہاں	qɑhˈɑ
کہاں تھی	kɦɑːt˦i˥˩
کہاں چھپی ہے	kʰɑːt̪ tʃʰoːpiː ɦeː
کہاں ڈھونڈوں	kɦɑː ɖʊɭɭoː
کہاں ہو تُم	kʰɑːɦeː ɦoː t̪ɪm
کہاں ہوئی	kaːhaːəwn
کہاں ہوگا	kɑːgɑː ɦoːgə
کہاں ہیں	kɐɦɐ ɦeː
کہاں ہے	kʰɑːɦɑː ɦeː
کہتا ہوں	kɛhtu huː
کہتے ہو	kɛhˈte̞ ɦoː
کہتے ہیں	kæhtɪ̞rɪ̞
کہرام	qɑhrɑm
کہرام مچ جاتا	gʊɦɾaːm ˈmɑtʃ dʒɑːt̪ə
کہرام مچنا	ʔuhɾaːm mʃnaːʔ
کہروا تال	kɦɾɑːʋɑːt̪ɑːl
کہرے کی چادر	kʊɦɾe kiː tʃɑːd̪ʱɾ
کہل	kɔɦɔl
کہلوائے	kəɦluäːjeː
کہن	quːħæn
کہنا	kɛːnə
کہنا تھا	kɛːhnaː t̪ʰɑːr
کہنا ہے	kʰæh nɑː ɦɛː
کہنہ	ko˩˥ːnaː
کہنہ ناسور	mæn nææs fʊl
کہنی	kumni
کہنے لگيں	kaɦneː laːgiːm
کہنے لگے	kʰne ləgeː
کہنے والے	kɛɦneː ʋɑːleː
کہنے کا مقصد	kɛ̀hne kə mɑqsən
کہوا	qɑhvɑ
کہوٹا	kɐhuːqɐ
کہویں	kɛ̀ːnhɛ̀ː
کہکشاں	kɛkkɛʃɑːm
کہہ دو	kaːrdˈɔ
کہہ رہی تھی	kɦ ɾeːniː θiː
کہہ لیجئے	kæhˈliː dʒiː
کہہ مرنا	kɛː ɦɛj mɐɾnɐ
کہہ چکے	kʰt̪ɟʰwkʰt̪
کہی ہوئی بات	kɐɦiː ɦoːiː baːt̪
کہیئے بھی تو	kɛːe bʱiː toː
کہیں	kɐɦẽːŋ
کہیں بھی	koːɦeː bi
کہیں بھی ہوں	qɪʰeː bʰiː ɦoːʔ
کہیں بہتر	kəɦeː bət̪əɾ
کہیں دیکھا	kɐˈhiː ɪkʰɑː
کہیں زیادہ	kaːin zɑːd̪eː
کہیں نہیں	kɦiː nəɦẽː
کہیں پھر	kəɦeː pʰɪr
کہیں ہونی ہے	kɐɦeː ɦĩː ɦoːniː əj
کہے بغیر	kʰɑːh beːgʌʒ
کی بجائے	kiː bʱɑːjɛ
کی جاسکتی ہے	kiː ɟʌgɑː sɐkt̪iː ɦeː
کی لیس	gʲɪlʲɪs
کی وجہ سے	kiː ʋɑdʒɑ seː
کی گئی	kɪ gɐɪ
کیا	kʰaː
کیا آگ دھواں	kijˈɑ ɑːgd̪ʱoːɑː
کیا آپ نے	kijɑ ɑːp neː
کیا بات ہوئی	kijɑ baːt ɦoːi
کیا بات ہے	kabɑtɛ
کیا بدھیا	kɛːrbatsʲijɐ
کیا تعلق	qɪːaː taːlq
کیا تعلق​	kjaː taːnˈq
کیا جائے	giːɑː gɑːjeː
کیا جارہا	ɓiːɑː dʒäː ɾəɦɑː
کیا جاسکتا	kiːjɑː gɑːsʌt̪ə
کیا جانا	hejɑ dʒenɑn
کیا دھرا	kijɑː d̪ʱɐɾäː
کیا دیکھا	kijɑː deːgʰtʃ
کیا ساز	kʰæz sɑːz
کیا سُنیے	kijɑ sviː
کیا لو گے	kaloˈne
کیا معنی	kijɑoːmɑːni
کیا میں نے کیا ہے	kijɑ mẽː ne kiːɑ eːeːʔ
کیا وجہ ہے	kijɑ bgʱɑː ɦeː
کیا پتا	kˈɑːn pt̪eːt̪ə
کیا کریں	kɪ̃ɑː kɾeː
کیا کس نے	kiːə kˈis neː
کیا کم ہے	kʰjə kəm ɦeː
کیا کچھ	kiːɑːt kutʃ
کیا کہ کیا	kiːjɑː keːt̪iːjɑː
کیا کہیئے	kʰɑː kəɦiːeʔ
