'ar hyd y nos'	ˈaɪɚhˈidˈæŋəs
geni	kani
gennych	kænʲɪχ
genod	kennot̪
ger	kje̞r
geraint	tʃiroent
gerallt	kira
gerbyd	gˈɛtəbɪd
gerddi	kaɾði
gereint	kijɾent
gethin	keðin
geunentydd	kæjnend̪sʲɪð̞
gildwin	tikeð̞uẽn̪i
gilfach ddu	ʒˈɪlvɑk diː
gilvaethwy	kiloɛjsɔj
gilydd	gjˈlˈɛð
gitâr	gitaːr
giât	dˈas
glan	klaɾn
glan y môr	klaːn muːr
glanhau	klanhaj
glanmor	klanmol
glas	klˈæs
glas tywyll	glas ɑwɪ̞ɮ
glas wen	klˈæs wˈɛn
glascwm	glaskoːn
glaslyn	ɣ̞ɬʌslɪŋ
glasoed	klˈæssˈɔdˌɛ
glaswellt	klaszʋəlt
glaswelltir	ras̺kɐɮtɐr
glaswelltyn	klaswɛ̀ɮtɪn
glaw	klaau
glawio	labila
glawog	klawok
gleidio llaw	klejtjˈoːtˈtˈvˈ
gleiniau	klˈeɪnnjaʎ
glenda	klɛnta
glenys	glˈɛnəs
glesni	blˈɛsni
glewlwyd	kleu̯luð̞
gliniadur	kliːn˧ˈgtær˧ˈ
glo	lo
glodrydd	klatːɾɛv
glofa	lɔva
glowty	klˈoːti
glud	klip
gludiog	klit˦tjˈˈoː
glwcos	klukːos
glwyd	loːˈɛt
glyderau	lit̪eɾal
glydwr	klˈɪtːɔr
glyn	tɛjnɨ
glyndwr	klemtʊr
glyndŵr	klanduur
glynis	klons
glynrhedynog	tlɛnnʲʁɛdɐnɑk
glywed	ɟlowat
glywysing	lauasəŋ
glân	plan
glòs	glˈɔs
glôb	klop
glöyn	klɔʋɪn
go lew	ko˥˥lɛːu˨˩
gobaith	gɔbəθ
gobeithiaf	kɔpˈɛisɪaŋ
gobeithio	kapbejnˈtʃiːɾ
gobennydd	kobenin
gobowen	t̪e
goddefgarwch	gəðˈafgɑrɑx
goddefol	koltenpol
goddiweddyd	kɒðiˈweəðid
godineb	godinɛm
godinebwr	koˈdinɛbuːr
gododdin	katoað̞en
goelcerth	koːilkæθ
goes	kois
goewin	ko˥˩ːe˥˩ʋie˥˩n
gofaint	kɔ̞ʁˈeint
gofannon	kɔvaaɔn
gofod	gafˈɑd
gofodwr	kavoktõːr
gofyn	tˈoðɪ
gogledd	tugles
gogledd america	koklɛð amɛriksa
gogledd corea	koklɛːt kɔrɛja
gogledd korea	koklɛt korɛja
gogoniant	ko˥˩ːko˥˩ːnlia˥ns
gohebydd	kaːrpe̞v
gohirio	koːˈhˈrɛjˈ
golau	bole
golau glas	koˈlaj klas
golchi	kolxe
golchi ceir	gˈoːlxi kˈɛjɚ
goleuadau	kolia˥˩taj˥˩
goleuadau traffig	kɔlɛj ataj trafˈi
goleuddydd	ˈgolˈætˈɛ
goleudy	kolejtsi
goleuedigaeth	gˈoliːɹdɪgˈæð
golli	kɔˈfe
gollwng	kɔ̙ssɔ̙ŋ
golwg	doːɫuk
golwg y glyn	kɒlɒvˈ vˈɑdˈinˈ
golygu	koˈlɯke
golygus	kɔɫɯ̞kʲɪð
gorau	kore
gorchudd duvet	ɣɔrxid duve
gorchymyn	kɾxʊ̞mɪ̞n
goresgyn	karɛskin
goresgyniad	kɔresikənʲːat
goreu fab custennin	dʊɾˈɛj vˈaːb kɛstˈɛnɪn
gorff	kˈɔrt
gorffen	kɔrfan
gorffennaf	korofenaɾ
gorffennol	ɣ̞oɾfẽn̪l
gorffwysfa	kɔrfɔjsfa
gorfod	kɑrvɑt
goriad	kɑːriːat
gorllewin	k̚ːrʃlæʏɪ̞m
gorllewin sahara	karʃɫɛ wɨ̞n sɛhaɾa
gormod	kaɾmat
goron	kɔrɔm
goronwy	koɾonoi
gorphwysfa	gɔrˈfuisvaɾ
gors	gɔrs
gorsaf	koɾsau
gorsaf drenau	kɔrs ʃaβ̞t̪ɾe ĩ naʝ
gorsafoedd	korsaavoid̪
gorsedd	garseð
gorseddau	kɔrsɛdɛ
gorslas llanelli	kɔrslas fnæθːi
gorwedd	koɾues
gorwel	kɔɾɔɛl
gosod	kozsot
gostwng	kɒstˈum
gostyngedig	kəʃtixˈdiːg
gostyngiad	kʏ̞stʏ̞ngɛp
govannon	tvaːnon
govilon	kolβ̞ilon
gradd	graz
graddfeydd	ɾɒdbeːɣz
graddio	graθja
gramadeg	kramatːək
grawn	krau̯n
grawnffrwyth	grˈaʊlfrˈuːɪf
grawnfwyd	ɾɐnʊid
grawnwin	kramʝ
greidawl	gɹˈidɔ
greu	kɾei
griddfan	grɪwˈan
grisialau	kriʃale
grisiau	kreski
gro	grɔ
groeg	kɾueːk
groesfan	gɾɔisbãn
gronell	kronaʃ
gronynnau	kronane
gruffud	ʁəfˈɛt
gruffudd	kɾeskɛs
gruffydd	kɾefes
grug	kɾˈiːk
grugiar	ɣrigaɾ
grymwych	kɛˈnwˈɛf
grys	kɾɪs
grŵp	grup
guaurdur	kiajɾðe
guoidel	ɟʝɑɫitˈaʎ
guotepauc	ɪɛɔtsɛpaʊk
guotodin	˨˩tɕɛ˥˥tʃeŋ˧˥
gwadn	kwað̞n
gwae	kuaːl
gwaed	klaɪd
gwaedd	kwaiz
gwaedlyd	gwˈaɪdˈi
gwaednerth	kwaɪtnˈɛ
gwaedwr	kwˈaɪtˈuɾ
gwael	kwˈaɪl
gwaelod	kweɪlɑt
gwaenynog	kwaaʝnˈɛnˈnɔg
gwaerth	kwaɪəz
gwaeth	gwˈaf
gwaethaf	ɣoisav
gwaethygu	kuaʃtɕi
gwag	kwak
gwahaniaeth	kwaħamniajð
gwahaniaethu	gwɑhɑnʲeʃt˨
gwahanol	kajɑnɑ
gwahodd	ʁuɑhɔv
gwahoddiad	væˈhɑjædæm
gwaiddan	kvaɛvam
gwain	klæn
gwair	tˈɾˈɛ
gwaith	klˈaɪf
gwaith cartref	kweðkaɾtʃɛf
gwalch	tʃu
gwalchcrwn	kalt̪ɾon
gwalchmai	tɛstmaj
gwalchmei	kwalkme
gwalchmei ap gwyar	ˈʌɛl xmˈɛj ˈað qoˈjɑr
gwallt	gwælt
gwananhon	kwnˈanˈhˈon
gwaneg	gwanɛg
gwanwyn	wˈʌnwˈɛn
gwar	kwˈaɾ
gwaraidd	kwaɾraãmb
gwarchodfa natur	kvar xodva na t̪iɾ
gwarddur	kaɾð̞eɾ
gwaredawg	kwaɾetaw
gwaredd	uaɾɾet
gwario	gwˈarja
gwartheg	kuaɾset
gwas	tsʃʃ
gwas ystafell	kwas estabis
gwasanaeth	wasamas
gwasg	ʒuzk
gwastad	kɔastadʊ
gwastadiroedd	koːstaːt̪iːrɔz
gwastraff	ʃtraf
gwau	kua˥˥
gwaun	kwan
gwawl	kwaʝ
gwawr	kauɾ
gwawrddur	kauɾð̞eɾ
gwawrddydd	kwauzið̞
gwawrwen	kwaɣ̞obãn
gwayw	kwaio
gwbl	kupo
gwcw	kuk˂˂
gwddf	kʊz
gwddw	kuðo
gwdihŵ	kutə
gwe	kweɾ
gwe pry cop	guˈeˈ pri kˈɔp
gweddi'r arglwydd	ue d̪iɾ la rãm kɣ̞luð̞
gweddio	kuefia
gweddol	kwˈaːvɔ
gweddol!	koˈeðoˈlˈ
gweddw	tɾˈaɪb
gwefan	gwˈɛbða
gwefl	tɾɛvɛl
gwefus	koˈevɛs
gwefusau	ʒˈuːtvisˈajˈ
gwehydd	kuhˈt
gweiddi	ʃtʃtˈe
gweinidog	kojnitum
gweinydd	kweɪmiz
gweinyddesau	tˈuˈiniðˈɛstlaɪ
gweiryn	lawulɛn
gweision	gwˌeɪˈsion˥˩
gweithdy	kwaɪsti
gweithgar	pozkaɾ
gweithgaredd	kweɪ̞skaɾɨv
gweithio	kɔjsˈtɔ
gweithiwr	koːsseɾ
gweithredu	kwajsfʁetːe
gwelais i	kwela si
gweld	tɛstˈ
gwell	kwˈɛs
gwella	kwela
gwellt	gwˈɛlt
gwelodd	tʃiːziloːv
gwelwch	ɣ̞uellux
gwely	ugɛli
gwely blodau	kvˈˈe̞li plˈotːa
gwelyau	ɔːljaːj
gwen	qɯ̞ʊ̞ʔani
gwenabwy	kwnʲapoj
gwenda	kwˈɛnta
gwenddolau	kuentˈoˈ
gwendolen	kwanˈdɔlən
gwendolyn	gwˈəndolin
gwendraeth	ɪˈuˈɪndɹə
gweneira	gʊ̞nˈae̞ɾɒ̙
gwener	koeneɾ
gwenfair	envˈaɪə
gwenfor	kwˈɛnttˈɔr
gwenfrewi	kwãn̪β̞ɾau̯i
gwenfron	kwˈɛntbˈɾɔn
gwengad	gwˈeŋat
gwenhwyach	kwanˈhuːl�mˈaxˈ
gwenhwyfar	karenɣ̞ujvɑɾ
gwenhwyvach	kwan˥˥h˥˩iːfr˥˩
gwenhwyvar	aɻ˥˩
gwenith	gwene
gwenllian	kwẽn̪sjãn̪t̪
gwenlyn	wˈənlin
gwennan	koɛnʁ
gwennol	kwãn̪ot̪
gwenogvryn	kwãn̪t̪alɣ̞fɾeɾn
gwent	kwˈɛnt
gwenu	kueni
gwenwyn	kuenˈnwɛn
gwenwynwyn	kwan˥˥ua̯n˥˩
gwenydd	kwˈɛnnˈɛv
gwenyn	ɣ̞uẽn̪en
gwenyn meirch	gwˈɛnn in mɪɪrˈɛx
gwenynan	kweɦˈnʌnˈnɑŋ
gwenynen	kuan˥˥a˥˧man˥˩
gwerful	kwaɾð̞beʝ
gwerfyl	tʃweɾβ̞el
gwerin	kweɾin
gweriniaeth	kʏrrinja
gweriniaeth canolbarth affrica	berɛnija asˈtˈ qɪnˈol baːrˈlɑf ˈsɑfɾɪkɑ
gweriniaeth ddemocrataidd congo	goɾˈiniˈaːθ lɛnːˈɔːkɾataiːð kɔ̙nˈkɔ̙
gweriniaeth tsiec	gvarɪmja ftʃak
gweriniaeth y congo	guɛrɨ̞njajsʌ kɔ̞ŋgɔ
gwern	kwɛrn
gwernen	tʃorknɛn
gwernfyl	kwað̞aãmbð̞ell
gwers	tʃãˈɾs
gwersyll	fersaj
gwersylla	kurserɮa
gwersyllfa	kwˈɛnsækfˈɑ
gwersylloedd	kvˈˈæˈsˈɑhˈhˈɔjdv
gwerthefyr	kwãn̪t̪ebeɾ
gwerthfawr	gwaɾð̞fauɾ
gwerthiant	kwaɾtseant
gwerthrynion	kwað̞rãmð̞ion
gwerthu	kvarfi
gwestai	kwɛːtsut̪sai
gwesteion	kwestseme
gwestfa	tʃar
gwestion	istˈeɪˈɑˈʊn
gwesty	gwˈɛsti
gwesty'r	kwestɪɾ
gweu	kweɪ˥˧
gwgawn	kukˈtauˈn
gwgon	kukːɔn
gwialen bysgota	kwiː aːlˈlẽn bəs koːtsa
gwiawn	kˌuˌɪaʊn
gwili	kwili
gwilym	kwilˈen
gwilym ap fychan	qɪ̞̞ɫɪ̞m ʔabθxm
gwin	wˈin
gwinbren	kwnˈbranˌ
gwion	uion
gwir	kujeɾ
gwirion	kojrion
gwirionedd	kʊi̯rionne
gwirod	juːˈɾot
gwisg	kvist
gwisg ffansi	gwˈiːsk fˈæn sˈi
gwisgo	kuzka
gwisgoedd	kʃkɑːje̞s
gwiwer	kwjˈβeɾ
gwlad	klaːrt
gwlad beirdd a chantorion	lo lo atsɛn ɕan tsɔndɔn
gwlad belg	plat̪ bel
gwlad groeg	kɫad krojk
gwlad iorddonen	kulˈa tiː ɔrðɔrn ɛn
gwlad pwyl	kɫad foɪl
gwlad swazi	klaːt sʊˈaziː
gwlad thai	kʊlat tsʰai̯
gwlad yr iâ	kɫadɛr ja
gwladfa	klatˈvaː
gwladgarwyr tra mad	ɫatgaːr ʋeːl ʃamad
gwladwriaeth	kuað̞uɾjaes
gwladychfa	gəladˈɛxfˈa
gwladys	platɛs
gwlanen	kullandnˈen
gwled	tʃoːltˈ
gwledd	kulev
gwledig	kulɛtɛk
gwledydd	kvˈeˈtˈɪv
gwleidyddiaeth	kˌulˈajtdˈasjˈaɪz
gwleidyddol	koˈlitˈotoˈ
gwlith	ˈʌlɪff
gwlithen	kulˈistˈan
gwlyb	væi̯
gwlychodd	klˈxɑːz
gwlyptiroedd	kulleptsɛjɾɔjð
gwlân	tʃuən
gwlân cotwm	kulaːn kʰot̪t̪um
gwnaf	knaaf
gwndwn	kundun
gwnes i	koneˈsi
gwneud	gʊnˈeɪn
gwnio	koˈnio
gwobr	kɔɔbeɾ
gwrach	gˈuɾˈah
gwrachod	krastˈtˈ
gwragedd	kˈɾˈɑgeð
gwragedd annwn	kɾaːkθanon
gwraidd	gʊraːiða
gwraig	bɾaj
gwraig tŷ	kɾaɪke
gwrando	granda
gwregus	kɾekiz
gwregys	kʊɾɯɴiʃ
gwregysau	rekezsa
gwreiddiol	kˌuɾˈaivˈeal
gwreiddyn	kɾæiðæn
gwres	gˈrɛs
gwresogi	kɾɛssɔki
gwrgan	kˈˈɔrgˌɑːl
gwrgi garwlwyd	pˈoɾkɨ kˈaɾʊ lˈuɪt
gwrhyr	kʊɾhʲir
gwriad	kuɾjat
gwrial	koɾɾial
gwrien	kurjˈan
gwrlais	kordles
gwrlydr	luːɑnlˈtæˈhɑː
gwrthdan	kursdan
gwrthddatgysylltiadaeth	kʏrfðätkətsɪlʃtɪː˧aːd˧ajθ
gwrthdrawiad	kʊrθtʊraɫɪat
gwrthdystiwr	kuɾˈsˈteˈsˈtˈiɾ
gwrtheyrn	kʏrsǎjjɛrn
gwrthwynebeiriau	koˈfwˈɛlnˈɛpˈɛʁʁeˈal
gwrthwynebiad	koɾsfwinezpiaʔt
gwrthwynebwr	koltsvpavʲerxpõɾ
gwrvawr	ɣ̞uɾβ̞auɾ
gwrych	kɔrriːχ
gwryth castle	koˈrɪθ kˈasəl
gwryw	kuɾɨu
gwrywaidd	loːdlajɾe
gwta	kutsa
gwthio	koˈsˈtɛ
gwybod	vipat
gwybodaeth	kwˈeːbəʊdaɪθ
gwybodiadur	kuipoʲːaatiɾ
gwych	kujk
gwyd	kubit
gwyddau	ku˥˧sai˥˧
gwyddawg fab menestyr	kui taːk vˈaːb mˈɛnɪstər
gwyddbwyll	kuɪsbɔʃt
gwyddel	umjsal
gwyddelan	kuiðæɾlam
gwyddeleg	kuizalajk
gwydderig	kuzˈeve
gwyddfa rhudda	kudvaː xrɪza
gwyddfid	kwaʁðvik
gwyddien	dˈeːdɪn
gwyddon	kiðɔn
gwyddoniadur	kwiðɔmeafeɾ
gwyddoniaeth	kuið̞onjaes̺
gwyddonol	kið̞oŋoo
gwyddorau y ddaear	kuið̞oɾe að̞aiar
gwyddug	kwˈilβˈɛk
gwydion	kuition
gwydr	itˈeɾ
gwydraid	tˈa
gwydryn	kwit̪ð̞ɾeɾn
gwydyen	kuitʰæːn
gwydyr	kwjˈdˈɛɾ
gwyfyn	tʃi
gwyl ffraed	koːilˈ frˈai
gwyl mair	gɾˈilmajɚ
gwylad	koˈjˈlˈa
gwylan	gwɪlɑn
gwylfai	kwˈiʎʊvˈaɪ
gwyliau	gwiljaʝ
gwylio	koɾeɲo
gwyliwr	gujʝioɾ
gwyll	wˈɛl
gwyllgi	kʊʃˈkɪ
gwyllt	bwe
gwylltio	kˈɵtɕiːw˧
gwymon	uimont
gwymp	kwip
gwyn	kwɪnn
gwyn ap nudd	vˈɛn ˈæt lˈiv
gwyn eu byd y tangnefeddwyr (blessed be the peacemakers)	kʏ̞ine i bi dɪ tãŋɲɛf eðʋwɨɾ
gwyn-fynydd	koinvanev
gwynan	kwilãn
gwyndaf	kwintˈaɾ
gwynedd	wˈɪndəz
gwyneira	kujnaiːra
gwyneth	ˈɪtnəθ
gwynfor	tɕekalˈtɑr
gwynfyd	kvinˈvɛt
gwynfynydd	kounˈnˈɛvˈanˈtˈ
gwynhwyfar	kwan˥˥xweɪ˥˩fa˥˥
gwynhywach	unhewˈaq
gwyniad	gvinˈniat
gwynllŵg	kwels̺uɣ̞
gwynonwen	kwiːnõn˧nɵan
gwynt	kwˈɪnt
gwynto	kwinta
gwyntog	kwintsokk
gwynwyddigion	koenwˌeðekjˈoŋ
gwyran	kwirˈan
gwyrdd	kwɛrz
gwyrddlas	kwɪrtəlas
gwytherin	bjtsarjɑn
gwythur	kustˈeɾ
gwythyr	kustˈe
gwythyr ap greidawl	kuiʃeʁ apkɾejtaʊ̯
gwên	gwiːn
gwêr	kʰua̯
gwŷr y gogledd	gwˈɪr ə gˈoːglæð
gyda	dˌiːzəda
gyda llaw	gˈˈadˈefˈaʊtˈ
gyda phleser	kɛt rafleser
gyda phwy?	kadafoi
gyda'i	kʲitaj
gyda'r	gitaɾ
gydag	adˈæˈ
gyfeiriad	kʏ̞bæjɪ̞rjɑːd
gyfeiriadau	kfeːrjaːtaj
gyfer	kɣɛðæɾ
gyfieithu	kavjaxe
gyfoeth	tɾˈɛvˈəʃ
gyfun	kavˈeɲ
gyfunrywiol	ʝˈaːʎamxwliˈo
gylchfan	dˈɛlχvɑn
gymnedol	kɛmmɛnetɔ
gymraeg	kamrai̯k
gymreig	kamreik
gymru	kamre
gymylog	kanaɫoɣ̞
gynau nos	ganaj nɔs
gynharach	gnˈɛnhɑrɑkh
gynhelir	kˈɛnhˈɛlər
gynnar	kanaɾ
gynnes	gˈænəs
gynnwrf	lanoz
gynnwys	kənwˈɛs
gynnyn	gˌɛnnˈin
gynrychioli	senɾeɣ̞iõn̪j
gyrhaeddodd	tjärhæjðːoːð
gyrru	kori
gyrrwr	kɾuɾ
gyrrwr trên	kərˈoːrˈɛn
gywir	kau̯e̞r
gên	kæ˥˥n˧
gês	kʰeːs˨˩
gôl	kɔːl
gŵn llofft	gˈoːn ʃˈɑːft
gŵr	kur
gŵydd	koˈiz
gŵyl	kuew˧
gŵyl fair y canhwyllau	kʰuːdɬpaɐn rɪ̞kɪ̞n ʏiʂäi̯
gŵyr	ɣ̞oiɾ
hadau	atːal
hadnabod	xadˈnaːpɔt
haearn	həjˈjɑr
haeddu	hazi
hael	hʊ̞ɪl
haf	fau
hafan	avon
hafgan	hˈævgˈɑn
hafina	avina
hafod	a
hafren	afrɛkn
hafwen	avˈnɑ
halen	halen
hallt	hæʃt
halltu	hæ̀ɮte̞
hambwrdd	ãmbð̞oɾð̞
hances	ankes
hanes	janes
hanesyddol	ɑnɛsɐdɔʎ
hanfon	halvɑ
hanner dydd	anɛrˈteɾ
hanner nos	anɛɾnos
hapus	hapɪs
hapusach	hæpesˈæx
hapusaf	apɛːdˈv
hapusrwydd	apɛsɾue
harbwr	hæɾbˈuɾ
hardd	aɾl
harddwch	harðo
harlech	aɣ
harri	ari
harwyddo	aɾɾoiðo
haul	hai̯l
hawdd	hau̯s
hawl	hau̯
hawliau	aɔlje
hawlio	hou˥˥ljoʊ˥˧
heb	hɪ̞p
heblaw	æbˈlaːv
hebog	ɦɛbog
heddi	heði
heddiw	hˈævjuː
heddlu	ɛvli
heddwas	ð̞uas
heddwch	hɛðɔχ
heddwen	hˈiwˈɛn
heddwyn	edwiːn
heddychlon	hizˈɑxlɑn
hedfan	ɦɛt
hedydd	kʰeːt˦teːt˥
hedyn	ˈarrdɪn
hefina	ħævima
hefyd	həˈvɪd
heilyn	hˈeɪlɪn
heini	həjni
heledd	teles
helfa	hɛlˈvɑ
helmed	heʎɛmid
helo	ˈɛlo
helpu	helpi
helwyr	ælˈweɾ
helyg	hˈɛlɛk
helynt	hˈɛllənt
helyntion	hˈələntˌaɪn
helô	ˈeɪloː
hen	ɦɪ̞n
hen golwyn	emɣ̞olβ̞in
hen ogledd	hɛ̀i̯n ɔklæð
hen wlad fy nhadau	heːnˈrlaːd vˈˈnˈadəː
henaint	hˈɛnənt
hendref	hɛntrɛv
henffych	hɛnfix
hengroen	æŋgɾˈˈɔɪn
heno	hemno
heol	eɣo
heolgerrig	aɣoɾɪg
her	hɛ
hers	ɦɛrθ
het haul	hæts hæl
het top	hˈɛts tˈɑp
hetiau	ɛkːtˈsˈiaːj
heuldes	ˈeɪldɪs
heulfryn	ˈeːlfɾˌeɪn
heulog	hˈeɪlˈʌg
heulwen	hjˈuwˈɛn
heulwyn	æjˈluːən
heulyn	ˈeɪlən
heveydd	tɐzɛz
hi	i
hil	hˈiəl
hinsawdd	hˈisˈʌlt
hir	kje̞r
hiraeth	hˈiɹˈaɪf
hirgrwn	kɾɔn
hirgylch	hirkɪ̞ɫ
hirnant	ɦɛɾnats
hirwaun	hˈɪɹvˌaɪn
hobo	hapːo
hoel	xɔjɫ
hoelion	hojljon
hoff	xɔːf
hoffi	pˈˈafˈfi
hoffterau	ofterɑj
hoffwn i	háf iː
hofni	hovni
hofrennydd	xovreniz
hofrennyddion	opɾennavjon
hogan	hɔːkɑŋ
hogiau	pokkial
hogyn	tokjẽn
holiadur	koːlˈlˈiatˈer
holl	os
hollalluog	ʁɑslart̪jɑk
hon	xon
honddu	hˈɑ̃nzˈi
hongian	kɔŋjɛn
honno	hono
hosan	potstãn
hoyw	hɔːjɔː
hueil mab caw	hɛjˈɛ mˌɑːbkˈaʊ
hufen iâ	te vˈɛ̃ˈ
hufennog	fˈɛivˈɛnˈogˈ
hugain	ɛːkɑːn
hunain	tsynin
hunan	tinan
hunllef	hʲenʂɛv
hunllefau	inzeeve
huw	kiu
hwch	ʊ̞χ
hwiangerdd	aiãmbð̞jɢd̪e
hwlffordd	ɦaʊlθoɾles
hwn	hʊ̞n
hwngari	ungɾə
hwnna	pɔ̀ɳɑ
hwnnw	ˈunˌɔ
hwntw	huntˈu
hwrdd	aɾɯs
hwy	fɔj
hwyaden	ko˩˥ːɑ˥˩stn˩˩˦
hwyaid	hˈoiˈɛt
hwyden	hujden
hwyl	ɦɔɪl
hwylfyrddio	ol̪d̪eɾoð̞io
hwylio	julia
hwyliog	uʲɫljok
hwyr	hejeɾ
hwyrach	xujræx
hwyrnos	kuirnos
hychdwn	ħadɔn
hyd	hˈit
hyd yn oed	ˈedvˈɛ nˈoɪd
hydd	hˈiz
hyddwn	aðɔn
hyder	hadar
hyderus	hederes
hydref	adrɛv
hydwn	patːon
hyfaidd	həvˈaɪz
hyfforddwr	afɔrðɔr
hyfforddwyr	æfˈɔrdvˈɪɹ
hyfryd	ɦvrjɛ
hyfrydol	ɦɔrɛtɐu
hygar	ekaɾ
hygwydd	agwɛθ
hyll	hɪ̞s
hyllt	elt
hyn	hˈɪn
hynaf	ɦænˈav
hynny	ɛ̃nɪ
hynod	hˈənˌad
hynt	hɪnt
hysbyseb	aspassep
hysbysrwydd	hasbæzɾɑːjˈb
hywel	ˈoːl
hywel ap einion	a lɛpiniɔn
hywela	awela
i	e
i ble rydych chi'n mynd?	ɛ pleɾ ɾɾesimest̪
i ble?	ible
i bwy?	ipɔj
i ffwrdd	es sus
i fyny	es vˈɛnˈe
i fyny'r grisiau	ˈaɪ vənɪɾ gɹˈeːʃɪ
i fyny'r grisiau, i fyny	ivani jkkɔʃtʃa ivani
i lawr	ilauɾ
i lawr y grisiau	ila rɛgɾiɣ̞sai̯
i lawr y grisiau, i lawr	i laauɾ a kɾˈɛʃa i lauɾ
i'ch	ˈɪç
i'n	iːn
i'r	i̠jɪ̞r
i'r bur hoff bau	ir piːrˈ hoːv baːj
i'r chwith	ir̥ xwið̞
i'r dde	irðɛ
iach	jˈɑːx
iago	jakːo
iaith	llaj
iaithoedd	jaːnsɒiz
ianto	jantˈo
iau	jˈaɪ
iawn	ʝˈaʊn
iawndal	esãũnd̪alt̪
idanwen	t̪enɣ̞lwẽn
iddewiaeth	ɛtðˈɛɹwˈaɪf
iddi	i˥˩ði˧
iddo	idu
iddynt	əvˈɛnt
idris	edɾes
ie	dˌiːzə
iechyd	iaχiːd
iechyd da	jæhʔtˤa
ieir	jæjɪ̞ɾ
ieir bach yr haf	jɛjɪ̞r baχjɾ haːv
ieithoedd	iːnzɛz
ieithyddiaeth	je̞jsriajs
iestyn	jestim
iesu grist	jˈessi kɾˈist
ieuan	tɨjæjɑm
ieuan davies	jajan davidz
ieuan gethin ap ieuan ap lleision	ɟʝa jãn̪ɣ̞ue xãn̪ d̪a pjaia d̪a pjei̯ession
ieuanc	jajʊ̞nk
ieuenctid	jajænkigd
ieuengaf	iːkav
ifan	ɣ̞ibãn
ifanc	iːvɑŋk
ifanna	ɪvˈandˈa
ifans	eβ̞ãn̪s
ifanwy	jˈbanweɪ
igraine	egrɛjmɛ
ildio	ɪldɪo
ildiwch	ɪlˈdjɒː
illeuad	iːtˈɕˈeɪˈɑt
illtyd	ˈɪçtɪd
inc	lɛg
injan dân	ɪˈŋgəndɑːn
ioan	xoan
ioan gruffudd	joˈwan kɾɛθˈð
iogwrt	jˈɔʒgˈɔɾt
ioio	jojo
iola	iola
iolo	jɒlɒ
iolo morganwg	jɒˈlo mɒɾgɒnˈnuːk
iona	iona
ionawr	jˈɔnaʊr
iorwen	joɾwan
iorwerth	ɟʝoɾɣ̞uals
iorweth	lɔˈrwe
iorwg	jɒˈrug
ir	iːr
irac	aːrˈks
is	i˥˩
isaf	essav
isdeitlau	izeʲtslæ
isel	asɛl
iseldireg	is̺ɛld̪iɾɛk
iseult	dˈiːzˈɛçt
isio	isʊ
islandeg	islamtɛk
islaw	islau
islwyn	isɾuɪn
ithael	æθˈɑl
ithel	iθel
ithela	istˈɛlla
iwan	ewan
iwerddon	pieɾð̞on
iwerydd	ɪwˈeɾɪz
iwganda	tiːuː˧kʰan˥˥tsaː˧˥
iâ	dʒaː
iâr	ʝaɾ
jac y do	tʃakːadoː
jam	tʃam
jariau	tʃaɾɾia
jiráff	kʲiɾaf
jiwbilî	tʃufliː
jiwdo	tʃudou
jyglo	dʒaklɑt
jyglwr	dʒoɣla
karadawc	karaːtaʊk
keincaled	kʰæiːnkʰældæd
kigva	kigva
kilhwch	kˈɛlhˈuːk
kreiddylat	tɾˈeɪdˈəlˈɑt
kynan meriadoc	kɛnˈan bɛriˈato
l-llantysiliogogogoch	antˈɛsiliəgˈoːgoːgoːʁoːχ
lafant	laβ̞ant
lamp stryd	lɑːmp stɹiːt
lanslod lak	lˈænslˌoʊt lʌk
latfia	latvjɛ
lawer	lauaɾ
lawgoch	lau̯kɔ
lechyd da	de xedɑ
leihau	nei̯˩˧hɐi̯˨
leisa	ləsˈa
lemon	lemon
lemwn	lemon
lenwi	lalwˈi
leri	lerrˈi
lerpwl	lˈɛrpˌʊl
letys	lɛtɪs
lewsyn lwcus	lau̯sɪn lukɪs
lhuyd	sɔid
libanus	lɪbɛnˈɛss
licio	likːʊ
lico	likːo
lifft	lˈɪft
lili	lɪlɛ
lilwen	lɪn˧w˧n˧
lindysyn	lɛndɛsɛn
llabyddio	saβ̞að̞io
llac	tʃak
llaca	saka
llachar	zˈaxar
llacheu	ʃɑχˈɛ
lladd	ʃlaːv
lladrata	ʃakrˈatsˈa
lladron	satrn
llaeth	sai
llaeth mwnci	tʃaːjsmilke
llafariad	savariːad
llafnau rholio	siap˨˩ nai xo˧˧ljo˧˧
llafur	tʃater
llai	saj
llain	ʃˈaɪn
llais	slˈis
llall	sˈa
llam	am
llamrei	ʃambɾej
llamu	xami
llan	ʃan
llan sain siôr	tʃan sãnʧoɾ
llan-non	annom
llan-on	sanon
llan-y-pwll	ʃanapʊtʃ
llanahs	ʃɛːnɛs
llanbadarn	ðanbaðɑrm
llanbadarn fawr	sen ba ð̞aɾnβ̞auɾ
llanbedr	ʃanpædæɾ
llanbedr-goch	lãnpædərgoːχ
llanbedr-y-cennin	samvadarakaŋiŋ
llanbedrog	ʃamˈpestrat
llanberis	ʃamperes
llanc	θanˈk
llancaiach fawr	lãn kaːjaːħ θaːwɬ
llandaf	xanˈda
llandaff	fandaf
llandafydd	sãn̪t̪aβ̞e̞ɾ
llandderfel	samd̪eɾð̞
llanddewi brefi	θanð̞euʝ prɛðɪ
llanddowror	saˈndaoːrɑr
llanddulas	ʃanˈd̪əlɑs
