'chuile sheans	hella hænts
teach tábhairne	sʲaɣ tɔrnʲjɛ
teach ósta	sʰɒːx ɒlstɒː
teachaireacht mheandrach	tˈɛxt rˈɛxt vˈaɪntrɪç
teacht	tʃaɾt
teacht isteach	tʲiːxt tˈɪ stɛr
teachta dála	kaxta dala
teachtaire	saɢtʃa
teachtaireacht	kɒħtdʒuˈɣl
teachtaireacht an aingil	tˈɛxtɛ dˈaxt ðən ˈeːŋgəl
teachtaireachtaí	tʃaqdɾexti
teachtaireachtaí meandarácha	tʃɒχ dɒlɒχtiˈj mˈijɒnd dɒlɒhɒˈ
teachtaí	tʃaxte
teachtaí dála	tʃaktitɐɬo
teachín	tɑɦɪ
teafa	tsjˈæfə
teagaisc	tʲɛkʲɪʃk
teagasc	tʃaːɣɯz
teagascóir	tʃakgətˈaɪnkˈɔɹn
teaghlach	tsʰæːlæx
teaghlach a bheannaigh	tʰɒj lɒxˈɒvɒnlg
teaghlach go deo	tsʰilːk pʔidzʔew
teaghlaigh	tˈaɪlˈɛ
teaghrán	tajɾɑn
teagmhas	tækles
teagmháil	tʃʰakwɑl
teaimín	tɛmmi
teallach	tʃarloq
teallúiriam	tˈɛlˈuzium
teamhair	tʃaɣo
teamhair na rí	tʃaːl z nə ɾɪi
teampall	tˈɛmpəl
teampall brianaid	ʃampu prɛjnɛt
teanga	pljɐnkɐ
teanga ardleibhéil	tʰangɐ ɔːt lɪˈvɪl
teanga chomharthaíochta	tsʰaːnˈgə xʊ̞ːx jˈæxtɪ̞
teanga dhúchais	tæŋɣɑ ɒːxʃ
teanga na gaeilge	tʃæn gɯ̞nɵgɯ̞ eɫgɪ̞
teanga oifigiúil	tæˈnɪk ɪlθɪkjɪl
teangach	tʃaŋgox
teangacha	tʃaːnɟehe
teangacha breatnacha	tɛŋː qɪːb dɛːt nɘxɑ
teangacha ceilteacha	sæŋgriː xælʲf tʃaχa
teangacha gaelacha	tæŋk xikˈe ælˈlaːkˌɑ
teangan	t̪ʰæːnc˨˩kɛːn˧
teangeolaí	tɛŋgəli
teangeolaíocht	tʰangɔlɪxt
teann	sʲa
teannas	tɛnɔs
teanngháire	tʃɑnɢɒle
teannta	tjanta
teanntú	tɕanto
teannálach	tɑanlɯ̞q
teanór	tʃanor
tearc	tsˈɛk
tearmann	tʰæːrmʔ
teas	tɛs
teasaire	tˈɛstəɹ
teasaí	kɛːsːi
teaspaigh	pˈaʃbe
teastaigh	tʃastɐ
teastas	tɛstˈeˈ
teastaíonn	tɛstɪoːn
teastáil	kɒsˈtɒl
tech midchuarta	tɕæχmɛ̀x̟χuːrtʰtɢ̝
teibigh	tsep
teibí	tɛpɪ
teic	tæk
teicneoir	tʃektur
teicneolaíocht	tʲɛknɑɫdɯgt
teicnéitiam	tekneetɛ
teideal	tsjˈɚ
teidhm	tˈaɪm
teidil	tɕʰtsɯg
teidí	tɛdˈdi
teifeach	tˈefˈfˈq
teifigh	tʃɛfɑ
teighígí	tʃe̞he
teile	tʃælæ
teileachumarsáid	te̞le̞χamæɾsɑːdʒ
teileafón	tˈɛləfˌɔn
teileagúis	tˈɛləgˌuʒ
teileann	tʃərlɒn
teileapaite	tʃeɪlˈɛpətˈɛ
teileascópacha	tˈɛləskˈɔpɞxˈa
teilebhiseán	tˌɛləvˈɪʒən
teilifís	tˈɛləfˌaʃ
teilifís na gaeilge	tˈɛləfiʃnʊ gøːlgə
teilifís éireann	tˈæləfˌi ʃˈɛlɛn
teilifíse	taliʃa
teilifíseán	tˈɛləfizʃˈɔɪn
teimheal	tio
teimpléad	tʃɛmplejt
teip	tˈɛp
teipeann	tʲæpən
teirbiam	tesbium
teirmeach	tʃarmɒh
teirmeastat	tɜːvˈɪstˈat
teitheadh	tɕʰjɛ˥˩
teithne	tɛnnɪ
teo	tˈu
teocht	tʃoːxt
teoiric	tʃaɾet
teoiric comhcheilge	tʃæwɪriːk kɒlxælgɒn
teola­í	ʃˈɔɹli
teolaí	tˈoʊli
teorainn	tʃaɾn
teoranta	tʃaˈɾˈintˈɛr
termon	tɛrmɑn
teáil	tʃɑːl
tg4	teld̪ekajɾe
thabhairt	ɣɾˈts
thabharfadh	ʊ̞rɑq
thabharfainn	hʊ̞rɪ̞ɴ
thabharfaí	hʊ̞rɪ̞
thagadh	aːgəx
thagann	hagam
thairg	ɦrɛk
thairis	kals
thairsti	həʃti
thaisce	aʃkɯ
thaispeáint	hæʃbˈaɪn
thaisteal sé	hæʃtɪ̞lsæ
thaithnigh	anʲa
thaitin	hətən
thaitním	patʃnɛm
thaitnímid	haːtnˈeːmˌɛdʒ
thaitníomar	ænimɒːr
thaitníonn	hænʲn
thall	hɛŏ
thall ansin	hɒl ɒntʃɒˈn
thaobh	hʲiv
thar	hɔː
thar an	haræn
thar aon rud eile	alaː ja nɔ dɐlɐ
thar barr	hɑɾ bɑːr
thar cionn	həˈʃ
thar cuimse	hɒɾqɒjmˈʃɒˈ
thar fóir	afɑwɑvɑːʒ
thar lear	hɒːlɒːɾ
thar n-ais	ɣˈrnæʃ
thar sáile	har sɑlɑ
thar toinn	äɾtäjn
thar éis	tɾɛs t̪eʃ
tharaibh	qɒlɒv
tharainn	ɦarən
tharam	aɾɯm
tharat	halt
tharla	ala
tharla éirí amach na cásca sa bhliain 1916	harlæt iːriː mæk nækoska sˈæv lˈiən nˈidʒeg ʃˈeɪdʒˈɛ
tharlaíonn	hˈɑɹlˌɛn
tharlódh	harloːx
tharlóidh	jɑlɔv
tharraing	ɦarjng
tharraing sé	ælˈɛn ʃe
tharraingt	ɑrɯnt
tharstu	astæ
thart	ɑːt
theach	hæk
theacht	hɑːt
theaghlach	hɑjɫɯ̞q
theagmhaigh	tʰwɔː
theagmhaíomar	hægbɔjmɔr
theanga	ˈæŋgɚ
theann	hlajˈn
theannta	hæɫtæ
theas	həz
theastaigh	hastojhasto
theastaíonn	bastˈeˈeɾ
theastódh	æstæˈr
theileafóin	jɛlefɔnj
theilgean	hælʲɪɟɛn
theip	hæ
theith	hæ
thiachóg	hˈiˈeɣoːk
thiar	hiːɹ
thiarcais	kirkɪ̞ʃ
thiarna	hˈɪɹnˌaɪ
thinneas	kənəz
thiocfadh	kʲɪkæh
thiocfaidh	koki
thiocfaidís	jˈɑkˈidiʒ
thiocfainn	hokɾjn
thiocfaí	ʃækːʲɪjː
thiocfá	hɛkkə
thiomáin	hɑmɑn
thiomáinfeadh	χämɑnʲɑq
thiomáinfeá	tɐmɐnˈnjɐ
thiomáinfinn	homɒnˈneˈn
thiománaí	emame
thionchar	kendkɑːr
thionlacan	hɛnlːɑqˈɑn
thit	hˈɪts
thiteas	hˈeːtɯz
thitfidh	tɛˈti
thnúth	çnɔw
thoghairm	ˈhalcɛm
thograinn	hʊ̞gɾʲɪn
thograíonn	ˈeɪbˈaɪn
thoil	hæl
thoir	hˈɪɹ
thoirní	kalni
thollcheann	aɫɕaɢ
thomhas	hæʃ
thomond (hib.english)	tɑwɑmɯ̞nt
thoradh	hɑːrɑ
thosaigh	tapasɯ
thosaigh sé	aːsɑʃɑ
thosaíonn	ɦusɯjɯn
thost	hˈɒst
thraein	hɹææn
thrasnaíonn	χʁɛsnˈjˈn
threabh mé	sɛɫmɛ
threabhfainn	krauin
threascair	fɑːstkɑːr
threigeann	ɾɛjgɐn
threoir	tɾuːɾ
threoraigh	tʃɯ̞rɑʊ̞ɪ̞ɾɛ
thriall	al
thriomaigh	bˈɾˈæmɑ
thriúr	xrɨɫɯ̞ʐ
thrua	χɾʊ̞ɫa
thrádáil	χɾɑtɑl
thráthnóna	ɔnɔna
thréaslaigh	kresli
thréig	ʃɾɛjk
thrócaire	sɫowˈɑlkɾiː
thuaidh	hˈøːg
thuairim	urim
thuairimí	jˈuˈɪntmˈeɪ
thuaisceart	lwˈuʃkˈart
thuas	rɔs
thuas staighre	hustajr
thuathail	xol
thug	ʁˈʌk
thugaim	ogɛm
thugaimid	alkˈaˈmɪtˈ
thugann	hɒgɒn
thuig	ˈɛg
thuigeann	hɛgɛm
thuigfeá	hikːa
thuigfí	heki
thuiginn	hˈɪ̞gɪ̞m
thuill	el
thuiscint	ɪ̞ʃkɛnt
thuismitheoirí	hʃmehˈhɒːrliː
thuistí	eʃti
thusa	ħasˈsˈa
tháinig	lnɪk
tháinig cuthach air	jaŋˈig koˈhugɛʒ
thángamar	janɫɛkmɔr
thángthas	hɑnɣəxəz
théadh	hɑjɑq
théann	hæjˈe
théidís	ajɛtɪk
théim	hˈeɪm
théimis	naemis
théimse	hemʃɪ̞
théinn	hæin
théis an bás maireann an briseadh croí.	hˈeɪʃən bˈɔls mˈaɪədən ˈænd bˈɪdʒ gɹˈeɪ
théiteá	hajtæ
thíos	hˈiˈɪz
thíos staighre	es stˈaɪr
thóg	oːk
thóg mé	hɒkme
thógaidís	hoːgiːˈtɪʃ
thógaimis	hoːgimiʃ
thógainn	hoːgin
thógamar	hokɔmɑɾɔhokɛmaːr
thógann	ɔɫgɔn
thógfadh	oːkoːx
thógfainn	háuzænˈ
thógtá	hɒgtˈa
thógáil	ɒːgɒl
thóin	pɔin
thóir	ɦoːvɛr
thú	həʊ
thús	ɔs
tiachóg	tʰiː˥˩xoːk˨
tiaracht	kijɑrɑq
tiarna	tʲiɛrna
tiarna talún	tʃɛrnə taɬun
tiarnaí	kʲirnaj
tiarnán	tʃɛrnɔn
tiarpach	tsʲɛpɑh
tiarthar	tɕʰiːl
ticeáil	tɾɛkɑl
ticéad	tʃiː˥˩kʰeːjɛd˨
ticéid	tˈɪkɪts
tig	tˈeɪk
tigernmas - tiarnas	tʃɪɹnˌæs
tigh	tiː
tighe	fæˈniː
tighearnach	tʲirnɑh
tighearnán	tʃiɾnɔn
tilleadh	tʃʰlæ
timirí	t̪imile
timpeall	tˈɪmpo
timpeall-gearradh	tsiŋkojɑvɾa
timpeallacht	tˈɪplˌaxt
timpeallaithe	sˈimpəli
timpeallán	tʲimpəlɑn
timpiste	tæmpɪ̞ʃtæ
timpistí	tʃi̠npɪ̞ʃti
tincéir	tɛnˈkeʃ
tine	teyna
tine chnámh	tʃiːn˧xrɔːv
tinfeadh	tʲænʲɐχ
tinidh	tɕɛnˈiː
tinn	tajm
tinne	tsi˥˩njɛ˥˩
tinneas	tenis
tinneas cinn	tʃiːn˧zqiːn˥
tinneas fiacaile	teniz jakɫɯ̞
tinte	tɪntɛ
tinte ealaíne	tsɪntsɛ alinɛ
tinteán	tɛntsʰam
tintin	tʃintʃin
tintreach	tsintsoff
tintrí teasaí	tsiːn˥˩ʈʂɚ˥˩tʰɛ˥˩ siː˥˩
tiobrad árann	tɒbɾˈɒtɒriˈnˈ
tiobraid árann	tsʲapɨ doːrɪm
tiobraid árann theas	tʃapʰi doʁ ɦes
tiobraid árann thuaidh	tˈɛrdpədˈɔrˈuːn huːla
tiocfaidh	tʊkʲik
tiocfaidh críoch leis an saol ach mairfidh gaol is ceol.	tʃak ɔ kɪrɪ ɑχlaʃun sɪl ɑχ maːil gɛjl skɛul
tiocfaidh mé	tʃɐkɐmɐ
tiocfaidh ár lá	tʊkɪːgɐr lɔ
tiocfaimid	tsʲikɛmɪdz
tiocfainn	tsʲakaj
tiocfar	tsjakvæ
tiomanta	tʃamɯntʰɯ
tiomna	tʃomno
tiomsaitheacht	tʃɛ̃sʁt
tiomáin	tɑmɑjn
tiomáineann	tɵmˈɑːnən
tiomáinfidh	tɯ̞mɑjnæ
tiomáinim	tsɔmɔn
tiomáint	tˈɪmˈɔntʃ
tiomána	tɕimɔnɨ
tiománaithe	tsʲimonaʲj
tiománann	tʲimɑnɯn
tiománaí	tʃiːzitʃiːzi
tiomóitéas	est̪emõt̪es
tionchar	tsʰjɛnpln
tionscadail	tʃan̪tsqɔ̞taɾl
tionscadal	tʃaːnˢtsɯkːazɔ
tionscain	tjˈanskˌen
tionscal	tʃɛnskɛl
tionscal an ghuail	tʃɑns qɑlʁu æl
tionscal tinteáin	tʃaŋ˥˥s˥ kɔ˧˧ tɕʰɛ˥˥n˥˩ʈʰɑːn˥˩
tionsclaíochta	tʃɔnsklɛjaktɐ
tionscnamh	tʃansɯknʲɪr
tionscra	tʃaːmska
tionsnaimh	tʃansɯnˈɑf
tiontaigh	sjˈunfɚ
tiontaire	tʃɑntɑɾɑ
tionóisc	tsienousk
tionól	tʃanɫ
tirim	tʃɪlɪm
tit	tʃet
tit siar	tˈɪdʒɪ
titeann	tsetˈsən
titfidh	takse
tithe	tʃeke
tithe lóistín	tsʲiɣjaɫo ɕtʲiɲ
titim	tsɛtsɛm
titimeas	təmˈɑs
tiubh	tʃʌf
tiúin	kjˈun
tlachta - tlachtga	klaɾtə
tlachtga	flˈaxtə
tliongánach	klɛngkɑːnɑːqklɑːngɑnɑr
tnag	θiːnatiː
tnúth	læfteˈnuː
tobac	tˈɪbˈɑk
tobacadóir	tɐpakadɔgɛ
tobann	tɑːbɯn
tobar	tɔbɔr
tobar an choire	tɑpɯ̞rɯ̞ŋ χæ̹lʲɪ
tobar mainge	tʊ̞bʊ̞r mɑjɯ̞ngɪ̞
tobar uisce coisricthe	tɒvˈbˈiɾˈ iʃkɒˈ kɒʃtʃɒkɒɾ
tobshlua	tɑpχɯlɑr
tobán	tɔːnɔːn
tochailt	tɑχʃelt
tochas	tɔxʊz
tochmarc emire	tˈɑχmˈɑr ɪm ˈmɪrə
tochras	tɑqris
tochtmhar	tˈɔktˈuˈɑɹ
todhchaí	tˈoːxə
tofa	tofˈ
togh	tʃaːv
togha	tʰau˥˥
toghadh	taua
toghchán	tʰau˧˧xan˨˩
toibhigh	tɐjvæ
toibhéim	tɔvɪm
toice	takʲi
toige	tɛgːe
toighseach	tʁiːˈkɛ
toil	tɑl
toilleadh	tɾˈɛlə
toilleas	tɾajlɛʃ
toilteanach	tɛltʃɪ̞nɪ̞q
toirbh	tæv
toirdealbhach	tʰɛːlɛkh
toirdhealbhach	trʌɑjɑlɑx
toirdhealbhach - turlach	tʰɑrlox
toirdhealbhach ua conchobhair	tʰärlɑχ ʔɵkrɑχ ɔ̙r
toirdhealbhach ó cearbhalláin	tɑɹlɑx ɔ kʰɛrɛlɔn
toireasa	tɾasɛ
toirmisc	tɒɾmeʃk
toirmiscthe	tɛrmɪʃkɛ
toirneach	tʰaɾnæx
toirniúil	lanu
toirt	tɜːt
toirtín	θɚtˈin
toirtís	tɑɾtʃɛs
toisc	qɒʃk
toisc go	tˈɐʃkɐ
toise	tɑʃˈʰa
toiseach	taʃu
toit	twˈit
toitín	tatsʲiːn
toitíní	tɛkʃiːne
tolamaes	tɑɫɯmɛjs
tolg	tɑɫˈɯ̞k
tolgadh	tɑɫɑgɑ
toll	tɔɫ
toll in airde	tʰoaːlɨnɐrdʒe
tollbhuillí	tʌɫvɨlʲeɪ̞
tolláin	tʊ̞lɔjn
tollán	tɑɫɑn
tom	tɒm
tomhail	tɔl
tomhais	tʃʊ̞ɫʃtʰoːʃ
tomhais méid mo ghrá duit	tˈʏ̞ʃ mˈeɪd mˈˈɛɹrɑɢˈit
tomhaltais	tˈvɒtˈɒʃ
tomhaltas	tultes
tomhaltóir	tɔːltɔr
tomhas	tæʃ
tomhasanna	tʊɪ̞ʃtʃɑnɑ
tomás	tʃiːzimɒs
tomás an tsíoda	tɑmɑsɯn tijɑtɑ
tomás séamus ó cléirigh	tomaz ʃɛjmuz ɔkliri
tomás ó criomthain	fɔːmˈæs kɹˈin
tomás ó fiaich	tʃiːzi msofiiː
tona	ta
tonn	tˈɔn
tonna	tɔna
tonnadh	tɐnˈa
tonnadóir	tɑnɑdɑvɯ̞ʒ
tonnfhad	təˈnɑt
tonnta	tɔntɜ
tor	tɑːr
toradh	fɯ˥˩
toraigh	tˈɔrəj
torann	tɒrn
torbán	tɔrbɔn
torc	pˈɑːk
torcán	tɑɹkɑn
tornapa	tɜːnəpˈa
torrach	tˈɾˈaħ
tortha	tɹɑ
torthaí	tˈɛɹhi
tosach	tɑsˈsˈh
tosaigh	tˈɔsətˈɔsə
tosaitheoirí	tˈɑstˈahˈɔrˈdˈɛ
tosaí	tʌsˈe
tosaím	toʃim
tosaíocht	təziːt
tosaíonn	tɑsɪjɛn
toscaireacht	tʃʰoːskuːxt
tostach	tɑstɑh
tosóidh	tɔsɔɫɔj
tosú	tɛˈsˈe
traein	ðæjn
traen	trˈeɪn
traenáil	tʃajnaːl
tragóid	trakts
traic liosta	trʁˈljˈstˈa
traidhfil	tɾaɪfl
traidisiún	tʃatɪsʲɪn
traidisiúnta	tɾadɛtɕʉnta
traigéide	tɾˈaɪkˈeɪtə
traisteal	træʃtɑv
tram	tram
tranglam	trankɫam
traoch	t̪rɛx
traochta	trʊ̞jxtʊ̞
traoiáil	θɹˈiːɑl
traolach	trɐj��������χ
traonach	trʲɛjnɔx
trasinscneach	fraːsˤiːnʃkenˈɔx
trasna	tʊrˈasnə
trasnaigh	trastnotraˈsni
trasnán	trasnoːn
trasnánach	trasnanax
trastomhas	trastuz
trastíre	trastera
treabh	tˈɾæv
treabhach	trˈaɪlˈx
treabhadh	tsɾɛwɑ
treabhaigí	tɾa
treabhar	trau̯r
treabhfaidh	srara
treabhsair	tɾɒsˈɒt
treabhsar	tɾasɯ
trealamh	tɾalɨw
trean	frˈeːən
treasa	trɛsa
treasach	trɛsɨk
treibh	tr̝ɛt̪
treise	tʃˈɛʃi
treo	tso
treodóireacht	trodɑːrˈwaːht
treoir	tɾuːɾ
treoracha	tɾˈɔɾəkˈa
treoraí	trɔri
triail	tɾɔjɑɫ
triaileann	trijɛlɛn
triall	tɹɪɫ
triantáin	tr̝ɪnt˥ɑːɲ
triantán an deiscirt	trĩŋtänɯdʲæʃkøz
trilseáin	tɾaʃˈlɑn
trilseán	fəʃˈlˈænd
trioblóid	θɾɪbˈloːd
trioblóide	tɨprapɫodzʲa
triocómóiniáis	ltsɔmɔw̃nɔɕ
triomach	tʂumɔx
triomadóir	tʃʉmɯtɑbeɾ
triomaigh	tr̝ama
triomaíonn	tˈɾˈɛmˈanˈɛn
triomaítear	tɾˈamˈitɚ
triomú	tˈʁemˈaʊ
triopall	ʃlˈɔpəl
tripilí	sepʁˈi
trithí	tr̝ɪjɛ
tritiam	tʂɨstsʲim
triuch	tˈraːx
triufanna	trˈøffna
triúcha an aicme	tsʃoːl xɛnækm hˈe
triúir	tɾuz
triúr	tʃuːz
triúracht	sˈura
triús	trˈʌs
trodach	trʊ̞rðʊ̞x
trodaire	toɾɒˈðɒɾˈɒˈ
trodaí	tsɐtɪ
troid	tɹed
troideann	trai̚˥˩tɕãn̪
troidim	tɾɛdʒɨm
troigh	tɹã
troighe	tr̝ɛ̀ɦa
troightheach	sˈaxəx
troithe	tɹˈɛçˈi
trom	tˈrɛm
tromaíocht	tʃo˩˥ːmjɒt˥
trombón	trãmpõŋ
tromlach	tɾɑmlɑq
tromluí	tɾunɫɯ
trosc	tɾosk
troscáin	kruskon
troscán	trɔskan
trua	tˈɾˈua
truaillithe	troːjdɛh
truamhéalach	tʃtwlɑq
trucail	t̪ro̞kajl
truideog	tredʒok
truip	trɛp
trumpa	trampa
trumpadóir	trʌmpˈɛdɔr
trusáil	tˈɾˈasaːl
trá	tɹɒ
trá ghainmheach	tsʰoːgɔn nïə baxx
trá lí	trˈɑli
trácht	trˈaxt
trácht gnóthach	trɐrtɵknɐlɪç trɐrtʰ klɐr
tráchtála	trɑxtˈhɑlɯˈ
tráidire	tɾatɾe
tráigheanna	trauna
tráithnín	fraːnɪn
tráta	trata
trátaí	trate
trátha	traha
tráthnóna	trɑɫhɔhɔnɪ
tráthnóna amárach	tʊrɑnɔna mɑlʲɐχ
tráthnóna inniu	tsrɛnnɔna n̪ɛw ˈeɲɑ
tráthnóna inné	tʃoːnˈuː na niːj
tráthnóna maith	tʃiɾˈnɯɢˈnɯmɑɾ
tráthnóna maith duit	tɹɔnɔnɔmaj tʃ
tráthnóna maith duit!	ʃnur matatsʲ
tré	tr̝ɛj
tréan	tren
tréidlia	tɹˈɑdalɪɹ
tréidliachta	tɕɛjjɛdlʲɛxtʃta
tréigthe	tʃɛkʲi
tréimhse	tʃˈɛfʃɛ
tréimhse stairiúil	tɹeif ʃaːstai̯e dʒuʁ
tréith	tɾe
tréithe	tɾeɣ̞
tréitheach	tɛre
tréleictreach	træjlæktræχ
trí	tɹˈi
trí bliana déag d’aois	tsʲi pɫjɛn natsʲe jak taʲiʂ
trí bliana d’aois	siː beˈɾˈa dˈə tˈeʃ
trí cinn	tɹiː kiːn
trí dhuine dhéag	sʃiːvənˈeɪp
trí déag	fɾidʒe
trí fichid	tsɾˈiː fˈɪtɪd
trí mhadra rua	sriːgˈaːtˈhˈ ruɐ
trí mhadra rua eile	si wˈɑz ðɪ ɹuˈɛl
trí mhí ó shin	tsʲiː viːˈxən
trí na haoiseanna, thar am, mo ghrá.	tɹinə isʰɛnə ħɑːrɔːm mʊɹˈɑ
trí ríocht dhiaga	trʲiː rʲexte jɛga
trí shioc agus sneachta	trʲiːçjɔk aga ʃnakti
tríbh	tsrɛgˈ
tríchosach	tɹɪ̞jχɑsɑq
tríd	tr̝iːd
tríd an	sɾiːn
trídhathach	θɹiːχafə
trína chéile	tɾˈinə xˈeːlə
trínn	tr̝ɪn
trínár	trˈeːnart
tríocha	trɛxˈa
tríom	tr̝ɛjɛm
tríona ní dhomhnaill	tɾiːnɑ nɛɢɛ ɔnɪl
tríot	triːd
tríothu	tsrɪhɪ̞
tríthi	t̪r̝iɦɛ
tríú	sɾiu
trócaire	tɾɔkrɛ
trócaireach	təroːkəɾˈɔx
tsaineolaí	tɛːnəli
tsalaigis	tˈæləgɪst
tsamhraidh	taura
tsaoire	tɪdˈɑ
tsaoirse	tˈɛst
tsaotharlann	tɑjɑɾlɑn
tseachtain	tæxte
tseanbhean	taːnvˈæn
tseomra	tʃɪmra
tslat	tfˈlˈa
tsleá	flaː
tsláinte	plˈɛntɚ
tslándáil	klandajl
tsléibhe	klˈɛvɚ
tslí	slej
tsnaidhm	tˈɹˈɛm
tsraith	tra
tsráid	sadraʒ
tsráidín	tradʒiŋ
tsualainn	tʊ̞ɫʲɪn
tsualainnis	tʊɫtɪnïiʃ
tsubh	sɔv
tsíthigh	tsiatsii
tua	tʊɫˈa
tua cath	tˈuɹ kˈɑɹ
tuadhmhumhain	tɯː˧wʊ˧n˨˩˦
tuaillí	tɔjli
tuaim	tɔm
tuaim dhá ghualainn	tʃar o rɔan
tuairgnín	tʃiːzitʃiːzi
tuairim	tʃɛðæm
tuairisc	tʏrːʲɪʃk
tuairisceoir	tʏrɪ̞ʃkʏ̞r
tuairisceáin	tˈʋɛlˈɛʃkʰɛn
tuairisciúil	tˈuɾəskˈuɾˈ
tuairiscí	tʊɪ̞ɾʲɪʃkʲi
tuairscíodh	tʊrɪ̞ʃkʲiuː
tuairteála	tʊɐ̃tʃɑlɑ
tuairín	tʊɐ̃ɾiːn
tuairín na stuaice	tɔ ʒiː na sɔdˈukɪ
tuaisceart	tʃiːzikʲæɾd
tuaisceart éireann	tʃu skɾæft ɛnɛrɪl
tuaithe	tʊˈaɪfɪdduːə
tuala	tʊɫala
tuam	tuen
tuama	tɔɾma
tuan mac cairill	tʰuːɔn mɑkɛrɪl
tuar	tɔɾ
tuar ceatha	to̞r tʃʰäː
tuarascáil	tʊɾˈɯzkˈɑl
tuarastal	tˈuːrˈɛstˈɑl
tuartha	tora
tuarthóir	tʃiːzirohɾʃ
tuaslaig	tʊɐ̃slɪvɪ
tuath	tˈuɾ
tuatha	tɔ
tuatha de danann	tʊrɑdɑdɑŋɯn
tuatha dé danann	tʊ̞ɫʊ̞ dʒædɑnɯ̞n
tuathaigh	tʊɢa
tuathal	tˈuˈɑll
tuathalach	tʊ̞ʁɫɑh
tuathla	tʊɑlɑ
tuathánach	tɯ̞ɫhɑnɯ̞q
tubaiste	tɒbɒʃtɒ
tubaisteach	tɑpɑʃtɑq
tug	tɔg
tugaigí	tʰˈɔ̃kəkˌe
tugaim	tɔgɔm
tugaim gach rud duit	tʃak ɣ mɛðerɨŋ kħrɔt wɔjt
tugaimid	tʌkʌmˈit
tugann	tɑɢɯn
tugtar	tˈotˈɾ
tugtha	tɔlkɛ
tuig	tʃek
tuige	tøg̞e
tuigeann	tɛkɪ̞m
tuigfidh	tʃɪkæ
tuigim	tiːgəm
tuigim thú	tˈeɪk hˈɪm hˈoʊ
tuigtear	tʲɪktʃar
tuigthe	tʃiː˧˥
tuigtheacht	tˈɛkˈaʁt
tuile	teli
tuilelaith	tʃɛzallɑq
tuilleadh	tʃɪlˈɜ
tuilleamh	tɛla
tuilleann	tsʰerɔ̀n
tuillfidh	tʃela
tuillte	tɛɫtsʲɐ
tuilte	tʊ̞jɫtɕɛ
tuin	tyn
tuinne	t̪eɣ̞sjãt̪
tuinneamh	tɛnʲɪv
tuinnín	tʃɐnˈiː
tuircic	tɾɑkɪk
tuircis	twɛrkɨʃ
tuircméinis	tʃkvɐrtmeŋɨʃ
tuireadh	kejɾe
tuireann	tɛren
tuirenn (c.f. tuireann)	tæðn
tuirgéis	tʌɹkɪʃ
tuirling	tʊɾlɪŋ
tuirse	tɛɾˈse
tuirse uirthi	tʃɛ jɛ́ ɑrɑh
tuirseach	teʃa
tuisceanach	tʃqyŋˈɑq
tuiscint	t̪ɪʃkɪ̞nt
tuiseal	tɪʃtʃɪl
tuiseal gairmeach	tˈɪstʃ gˈaɪlɪmɒh
tuiseal ginideach	tʰɪ̞ʃtʰʊ̞ɫ kɪ̞nɪ̞tʰɪ̞χ
tuisil	teʃif
tuisligh	teʃti
tuismitheoir	tˈɪʃmˈaɾɔl
tuismitheoirí	tʃme̞ɾiː
tuistí	tæʃtiː
tulach	tɑɫɑx
tulach mhór	tɑːlˈlɑx voːr
tulach sheasta	tʰlʔasta
tulaigh ghoibín	tʊlɪkk xɛbˈiːn
tumadh	tma
tumadóir	tʃomutɔk
tumadóireachta	tablalɔdɛtʃe
tumoideachas	tɔmajtɛχɛs
tungstan	tʊ̞ŋstʊ̞n
tuohy	tsuːi˨˩
tur	tˈɑːr
turadh	taɾa
turas	tɔɾˈæs
turasleabhar	tʌrˈɛzlˈæur
turasóir	taɾəsur
turasóireacht	tˈɑːrdˈʉsˈɔrɑːft
turasóirí	trəsɔu̯rɪ
turcaí	tɔɾkɔj
turgnamh	tɑɾˈgnatɑɾˈgnav
turlach	tɑːlˈɑː
turlach - turlaigh	tɑrlɑx tɑrlɑx
turlough o'carolan	tʃəɹlək ˈʌ kɛɹlɪn
tursarraing	təɹssæɾiːŋ
turscar	tˈɑskɚ
turtair	tʃak
turtar	tɑɾtɑɾ
turtar mara	tɾaʃtɛr mara
tusa	tɯ̞sɯ̞
tusa mo bhuachaillín[slash]chailín bán!	təsɪpɑboː xɛlæn χɑlɛn ɒn
tusainm	tˈusˈeɪnəm
tuáille	tʊɔʎe
tuí	tɹiː
tvuít	tʋiːt˨
tá	tɔ
tá an aimsir ar dóigh an taobh seo tíre.	trn emʃra dɔwɛ tɛif ʃaːtida
tá an bia seo blasta	tam bɪ̞ɾʃɑblɑn ʃtɑ
tá an doras faoi ghlas.	tɐ̃ŋdˈɔɾəʃ fɛʁˈlɑʃ
tá an saol go haoibhinn anseo.	tãns iːl kəhˈiviːn ˈandʒa
tá an-díomá orm.	tɒːnkiː mɑː ɑːɾum
tá an-ghrá agam duit	tʰʌː˧˥ɑŋ˨˩˦ rɔː˧˥ ɔm˧˥tɔː˧˥tsʰ
tá beagán gaeilge agam.	tæptɛ kæŋgɪ̞ ɪ̞ɫkɛ kɪ̞m
tá bia ón bhfear	tˈɑː bˈɪd ˈɔn vˈɛːr
tá breac san abhainn chomh maith is a gabhadh fós	tabrˈak səˈnaʊ nɪ xmˈa ˈɛs gˈɑu fʊls
