'arif	uʔib
uluq	bɔɫoq
ulus	ɫus
ulus, känd, bodundïn ẹvürmiš sẹn jüz.	huluʃkent bˈɒdundun ɒˈbiɾmiˈʃ senˈgiz
uluš	uvʊʃ
uluš saju	oɫɯ̞s sæjuː
ulušqa	ʊ̞ɫʊ̞ʂqä
uluštïn ulušqa	ʊ̞ɫʊ̞ʂtʊ̞n uɫɯ̞ʂqɑ
uluštïn ulušqa jorïmaq	uɫɯ̞ʂtɯ̞n uɫɯ̞ʂqä jʊ̞rʊ̞mɑq
uluγ	ulˈuɹ
uluγ ada ijinč bašïnč bolγaj. [türkische turfan-texte]	wɫuʁɑðɑ ʲiʲɪmʧ bɑʂʊ̞nʲiʃ bɔɫʁɑj
uluγ bačaγ	ʊ̞ɫʊ̞ʁ bɑtʃɑʁ
uluγ kičig	ʊ̞ɫʊ̞g kʲitʃik
uluγ kündä körkit olarnïŋ jüzin, ẹlig tuttačï qılγïl ẹdgü sözin. [йосыф баласагуни]	wulʁ kynlɛr kørkit bir jyzyʃnɨ elelix tut tʃoq tʃoqulʁul ʔet gysøz jin
uluγ kündä körkit olarnïŋ jüzin. [йосыф баласагуни]	ʊ̞ɫʊ̞χ kʏ̞ndæ kʏ̞rkʲit ʊ̞ɫɑrnɯ̞n gʏ̞zʲiɪ̞n
uluγ taluj ögüz tolu suvnïŋ bir bir tamïzïm sanïn sanaγalï bolγaj.	ʊ̞ɫʊ̞qtɑɫʊ̞ jʏgys twlɯ̞sʊ̞bɯ̞nɯ̞ŋ bʲisbʲir tɑmɯ̞zɯ̞n sɑnɯ̞nsɑnɑʁɑ ɢɑɫɯ̞ bʊ̞ɫʁɑ ï
uluγ ẹlig bẹg	wɫuʁiɫi̠k bɪ̞k
uluγ ẹlig bẹg balïqï	ʊ̞ɫʊ̞ʁɯ̞nʲikbɪ̞k bɑɫqɯ̞
uluγ ẹlig bẹg balïqïnta ulusïnta ülgüsüz sansïz ẹdi tavarï bar. [uigurische sprachdenkmäler]	ɫɫʁɪ̞nʲikðʲek bɑɫɯ̞qɯ̞ntɑ ʊ̞ɫʊ̞sʊ̞nʊ̞tʊ̞ɾ ʏlgʏ̞sʏ̞ sɑŋzɯ̞s ɪ̞ði̞ tɑwærɯ̞ bɑɾ
uluγ ẹrŋäk	ʊ̞ɫʊ̞ʁʲirŋæk
uluγ ẹŋräk	uɫuːɢ iŋræk
uluγ ẹŋräklärin, suq ẹŋräklärin, čïčamuq ẹŋräklärin qabšurup,tikä üčgil qïlu. [türkische turfan-texte]	ʔuluʁ enʁæklærɪn sɔɟ ʔiŋæklærn tʃiʃamuq enʁæklærn qɑbʃurup tʃekæ ʔytʃkil kɪlɪw
uluγlarnï bušrup sẹŋä bu mizaḥ.	uɫuɢlɑrmiː buʃːup siŋæ bu mizɑq
uluγluq saŋa ol, bẹdüklük saŋa, sẹniŋdin adïn joq saŋa tuš tẹŋä. [йосыф баласагуни]	ulɯwɫuq sɑŋɑ ɑɫ bɪ̞ðːɪ̞k ʏlʏ̞k sɑŋɑ seŋʲɪdʲin ɑdɯ̞n joq sɑŋɑ tʊ̞ʂtʲiŋæ
uluγluq saŋa ol, bẹdüklük saŋa. [йосыф баласагуни]	wulwulʊ̞q sɑŋɑ oɫ bɪ̞ðʲɪkɫʲyk sɑŋɑ
uluγlïqqa	ʊ̞ɫʊ̞ʊ̞ɾqä
ulïdïlar	uɫɯ̞ðɯ̞ɫɑɾ
ulïč	uvʊ̞tʃ
ulγajdum	oɢaɪ̞ðːum
ulγajïrmẹn	ʊ̞ɫʁæjɯ̞rmæn
ulγajγïl	ɫgɑjˈʁɯl
um	um
uma	umma
umaj	ˈumɐɪ
umaq	ummaq
umdur	umdoɾ
umdusuz	umd̪osɔz
umdučï	umduːtʃe
umun	umum
umuq	wmok
un	ɔːn
una	unɑ
una basa	unabosa
unadïm	unɑdɯ̞m
unamaq	unɑmɑq
unarmẹn	unɑrmɪ̞n
unat	unɑt
unu	anʊ
unul	onʊɫ
unur	unur
unut	un
unutmaq	unutmɑq
unïtmaq	ʊ̞nʊ̞tmɑq
upagupdi	upagubˈdi
upakati	upakati
upasi	ˈupˈasi
upasiki	ˈopəseki
upasini	ʊpɑsʲiniː
uq	q
uqa bar munï sẹn, turu qalma qal. [йосыф баласагуни]	uqɑ bɑɾ mwnɯ̞sɪ̞n tʊ̞rʊ̞qɑɫ mɑqɑɫ
uqa barmaq	bɔqɑ bɑrmaq
uqal	ɵqɑl
uqat	ʊ̞qʊ̞t
uqmaq	ʊ̞qmɑq
uqruq	ɵqʊ̞rʊ̞q
uqsa	ɦʊ̞qsɑ
uqsa bolmaq	ʊ̞qsɑ bʊ̞ɫmɑq
uqtur	aqtɔr
uqtur ötkür	aqtur ʔitkʉɾ
uqul	ɔkɔl
uqušluγ	uqɯ̞ʂɫuɫ
uqušluγ kišilär sözüg az qïlur.	ʊ̞qʊ̞ʂɫʊ̞q kʲiʃjɪlær sʏ̞zʏ̞k ɑsqɑɫɯ̞wʊ̞r
uqušqa	uquʃqa
uqïtdačï	uqɯ̞tdɑtʃe
ur	uɾ
ura	urɑ
uram	räm
uran	ɾan
uraγun	ɾɑɣˈon
uraγut	ʊraːgoːt
uraγut jüzin örtündi. [мәхмүд кашгарый]	uɾaːgət dzə zən ɛrtɪn dɪ
uraγut sikildi. [мәхмүт кашгарый]	oɾaɣ̞o̞ts̺ik kild̪i
urbaq	aɾbɑq
urla	wrɫɑ
urmaq	ɵɾmɑq
urnaq	ɵɾnɑq
urq	urq
urra	ɾɑ
ursa	ɾʊsɑ
ursuq	ursˈuɟ
ursuqmaq	ʔorsɔqmɑq
ursuqup	ʊ̞rsʊ̞qʊ̞p
ursuqup bẹrtinmäk	ʊ̞rsʊ̞qup bʲir θʲiŋmæk
urt	urt
urtumuz	uɾtumuz
urtur	ʊrtʊr
uru	ɔrɔ
urul	ru
urum	urum
urum qaγan	qɔrumqäːgan
urum üstükä sẹn atlar bola sẹn.	ɒɾuŋ ɒstʃiˈkɒˈ siˈn ɒtlɒɾ bˈɒlɒsiˈn
urumuki	uɾumɫki
urun	run
urunmaq	ʊ̞rʊ̞nmæq
urunčaq	ɔruŋtʃɑq
urunčaq tutuzmaq	uɾun ʧɑqtʊ tʊzmɑq
urup	wp
urup kigürmäk	rʊb kiː gʊrmæk
uruq	bwrooq
uruqluq	rʊ̞qɫɑq
urut	uɾot
uruz	ʊ̞ɾwʊ̞z
uruz bẹg	rusbˈek
uruŋlï	ʊ̞rʊ̞ŋɫä
uruγ	rʊɫ
urïlanmaq	ʊ̞rʊ̞ɫʊ̞nmɑq
urγa	burqa
us	ʊs
us ẹt	osˈit
us ẹttim	ʊsɛ tˌimˈ
us ẹtärmẹn	uz itɛrmin
usal	usɑɫ
usaluq	mʊ̞sʊ̞ɫʊ̞q
usan	ɔsɑn
usandur	ʊsɑndʊɾ
usanmaq	tusˈɑnmɑq
usban	sbɑn
usbat	uzbat
usik	ʊ̞sʲɪk
usiklig	usʲeklʲig
uskada	uskada
usla	usɫɑ
usmaq	ʊ̞smɑq
usnisa	nʲa
usqun	ʊ̞skʊ̞n
usun	ʊsʊ̃n
usuq	ɔsˈq
usuz	usuz
usï učtï qoptï aδaγïn örü. [йосыф баласагуни]	usɯtʃ utʃtɯj qɑptɯj ɑjɑɢɯn wɾw
usï učtï, qoptï aδaqïn örü. [йосыф баласагуни]	ɔsɑ ʊtʃtɑ qɑptɑ ɑjɑqɯnʲirʏ
ut	ʊt
utakaparasat	utakaparasad
utan	ɔtɑn
utanmaq	tɑnmaq
utar	pʊ̞tɑr
utarabadra	tɐraːbadra
utarabadravat	utɐrabwdɾɐuaːt
utarabatiravat	ʊtɑɾɑbɑtʲiɾɑwɑt
utarapalguni	oːtaraːpɑɫgoni
utmaq	tmaːq
utmat	ʝːpmat
utpal	tupˈaɭ
utrabarda	mungibɑrdɑ
utrapalguni	atrapɑɫpwnʲ
utratti	tɾatːi
utru	utro
utru kẹl	ʊtɾu kɛl
utru kẹlmäk	utrugjl mjˈæg
utru tur	tɾutuɾ
utru turun	ʊ̞tɫ tʊ̞rʊ̞n
utru tut	wa tɾuːtut
utrulan	aðrʊɫan
utrun	tɾuːn
utrunlan	ɔtɔrɔnɫɑn
utrunmaq	ʊ̞tɾʊ̞nmɑq
utsuq	bʊ̞tːsʊ̞q
uttra	ɵtɾɑ
utumbar	utumbɑɾ
utun	tɔtun
utunluq	ʊ̞tʊ̞nɫʊ̞q
utunč	u'tuŋtʃ
uturu	utuɾu
utuz	ɔtɔz
uv	u
uva	hva
uvtan	ʊftɑn
uvtanmaq	ʊ̞ftɑnmɑq
uvtanïr	ubtaniɾ
uvu tẹvin	ugut evin
uvul	uvˈoɫ
uvun	uˈvɔn
uvut	oguð
uvut at	ɔvut ɑt
uvutlan	ɫutɫɑn
uvutsuz	vutsʊz
uvutsuz kiši	oːtsuːz kiːsiː
uvutsuzluq	vutsɔzɫɔk
uvutsïz	uβ̞ut̪s̻ɐz̺
uvutsïz kišidä jïraq tur, töŋül. [йосыф баласагуни]	ʊ̞wʊ̞sʊ̞s kʲiʃɪ̞ dæ jɪ̞ɾɑq tʊ̞r tʏ̞nʏ̞l
uz	uz
uza	uzɑ
uzal	uzɐɫ
uzamaq	uzɑmɑq
uzaq	uzɑːk
uzat	uzat
uzatmaq	uzutˈmɑq
uzattïm	ʊ̞zɑtːʊ̞m
uzattïrmẹn	uzɑtbɪ̞ɾmɪ̞n
uzlan	uzɫɑn
uzluq	uzɫuk
uzsuz	ɔzˈsuz
uzun	uzun
uzun igläp, aštïn kẹtip, sav söz qodtï. [altun jaruq]	uzun ʲigæp ɑʂtɯ̞n kʲɪtjɪp sɑw sʏ̞z qʊ̞tːɯ̞
uzun jol jorïdïm sẹŋä jüz urup. [йосыф баласагуни]	uzum jɒʁg jɒɾdiˈm siŋˈɒ juzd ɒɾɒˈp
uzun turqaru	ʊ̞zʊ̞n twrqɑru
uzun uzluγ	ʊzɫʊ̃ ʊzɫʊx
uzun ẹlig	uzona lʲek
uzut	uzut
uč	utʃ
učan	ˈupʊtʃən
učmaq	ʊtʃmɑq
učup	utʃup
učuq	ʊtʃˈu�q
učuqmaq	kˈutʃijɔkmˈaːk
učurmaq	ɔtʃurmɑq
učuz	utʃuθ
učuz bolmaq	utʃuz buɫmɑq
učuγlï	utʃuʁla
učuγlï jorïγlï suv ičrä balïq qutulmaz sẹniŋdin.	utʃuʁɑ jɔrʁɫɯsɯb ɪtʃɪrɑ bɑɫɯqqu tɯlmɑsːenɪŋdin
učuγlï jorïγlï tïnïğlï nẹčä, tirilgü sẹniŋdin bulup jẹr ičä. [йосыф баласагуни]	utʃuɣlu jirɨqlɑ tɑnɑqlɑrn itʃæ tilɛlgyzsɛnʲiŋ jin bɔlɯp jir itʃæ
ušaq	ʊ̞ʃɑq
ušaq söz	uʃɑq sʏ̞z
ušaq söz ẹδärmäk	ʊ̞ʂɑq zʏ̞z ʲiðærmæk
užar	ɔzɑr
užlaŋ	uzlan
uǯmaq	quʒmɑq
uǯmaq jolï	kʏdʐmɑq jɑˈɫɯ
uǯmaq jẹri	kʌdʒmɑqˈjri
uǯmaq jẹri körüldi.	qoʧmɑq jirɨ jirɨlði
uγaj	ʁˈɑ
uδluq	kʊdluːq
v	v
v-v	v
va	ɟʱɑ
va'da	wɛqdɛ
va'z	bæɣzæ
vafa	vˈafˈa
vahman	bæxmaːn
valäkän	β̞alakn
vaqar	wɑqɑr
vaqt	bɑq
vara'	bˈɾa
varuqdad	varʊ̞qdät
vasik	bæːsik
vazir	bwɒziɾ
vačir	vatʃir
vaχšik	wɔʁʃiːk
vaχšiklar	wɑqʃiːklɑr
vaχšiklarnïŋ	wæqʲiqɫɑrnʊ̞ŋ
vid	vˈid
von	wˈʌn
vu	u
vudd	vodada
vä	vɛ
väbal	dapɑl
väbal kötür	gæ bɑɫ qɯ̞tʊ̞r
väbal kötürmäk	d bɑlʊj turmɛj
väfasïzraq	vafsɒszraːq
vägär	ðægæɾ
väläkin	β̞æ̹lækʲiŋ
väzir	væzʲir
väzirlïq	wæzʲirɫɯ̞q
väzirniŋ	væziːrnɪŋ
vẹr	vˈɪɾ
vẹrmäk	wɪ̞rmæk
w-w	v
xan	χɑn
xat	χɑːb
xata	χɑtæ
z	zɛ
z-z	z
zahid	zˈɑçid
zamana	zɑmɑnɑ
zap	wsap
zap zap bar	zɑp zɑp bɑr
zaq	zɑq
zaq zaq	zɑk zɑk
zarb	zɔrm
zikr	zɪkɪ̞
zim	zʲim
zina	zʲinɑ
zindan	zɪ̞ndɑn
zinhar	dʒenhaɾ
zinät	zʲinʲet
zinätü-ümärä	dʒinɛtumɛrɛ
zira	zɾɑ
zu	zoː
zud	zum
zum	zˈum
zähr	ðjæhɪ̞r
zäkit	zakˈit
zäkät	zakat
zär	zɛr
zär sim	zärsʲim
zärua	zɐˈroaː
zäränzä	zɛrnʲzæ
zäŋi	zɛːŋˌiː
zäŋi ḥabäš	zɛŋˈgij xaˈbˈɑʃ
zühd	zʲuhɣɯ̞ð
zülf	zwlf
zünküm	zʏ̞ntkʊm
ä	ɛ̞
ä-ä	ɛ
ädib	adˈib
ädäb	ɛdˈɛb
ägär	ægæɾ
ägär bolsa	ɑgɛr bɔlsɑ
ämanät	ʔɛmænɑt
ämin	ɑmin
ämr	ɛmar
ämäl	amˈal
ämäl ičräsindä pusuγlï äǯäl. [әхмәд йүгнәки]	ʔɛmæl ʔiʃræsɪ̞n dæ pʊ̞sʊ̞ʁʁɑ ʔɛdʒæl
ämäl uzat	ɛmeluzat
änkäbüs	ænkæbʲuʃ
ävängliun	ˈɛbngɾˈiːəˈ
äzrua	æzrʊ̞ɫæ
äzrua täŋri	ɒz ruɒt ɛngriː
äzäl	ʔɑzɛl
äǯäl	ɛʒæl
äǯälsiz	dʒˈeːlsis
ï-ï	ɯ̞
ïd	ɦˈɯ̞ð
ïda qabïšalïm tẹmiš. [runic manuscripts]	ʲiðɛ qɑbɯ̞ʂɑɫʊ̞m tʲimʲiʃ
ïdmaq	pədmaq
ïdmïš	atmɑʂ
ïdtï	ɯ̞tːɯ̞
ïduq	ˈadˤq
ïduq arïγ	aduqɑrɑx
ïduqluγ	dqloq
ïduqut	ʔðoːkɔtɔ
ïdïm	ʊ̞ðːɑm
ïdïrmẹn	ɯ̞ðɯ̞rmɪ̞n
ïdïš	nˈoʊðɯr
ïjïrmẹn	ajɯɾmejˈn
ïmaγa	maːgɑ
ïnan	ɑnɑn
ïnandum	aːndaːm
ïnanma tiriglikkä, jẹl tẹg kẹčär. [йосыф баласагуни]	ɑnɑnmɑ tiriʁylikːæ jɪl tik kɪtʃær
ïnanmaq	ʲinɑnmɑq
ïnanmaq ïšanmaq	nɑnmɑq ʂɑnmɑq
ïnansa jaraγaj	ʔanaːn sɑjɾɑɣɑj
ïnanurmẹn	ãnãnʊɾmɛn
ïnanč	ɫɑntʃ
ïnanγan	ʔanɑnʁɑn
ïnanγïl	ʁɑnɑnʁi̠u
ïnča	ɯntʃla
ïnča kẹrgäk ẹrti, üstünki köki bẹk qatïγ boltï ẹrsär. [türkische manikhaica]	ɯ̞ntʃɑ kʲirgæ gʲirtʲe ʏ̞stʏ̞n kʲikʏ̞kʲi bʲek qɑtɯ̞q bwɫtɯ̞ ʲirθær
ïnča ẹšitmäk	ɑ̃tʃi ɑːˈʔiʃiːtmɛk
ïnčïqla	ɑŋtʃɯ̞qɫɑ
ïnčïqlamaq	ʊ̞ntʃɪ̞qɫɑmɑq
ïqa	qɑqa
ïr	ɯ̞r
ïraq	rɑq
ïraq jẹrdäki	qɾɑq jɪrdæqʲi
ïraq tarïqïp	rɑqtɑrɯ̞qɯ̞p
ïraqtan	rɑqtɑn
ïraqtan közünü turur	raqtɑn køzim nøt turur
ïraqtïn	rɑqtɯ̞n
ïrla	ärɫä
ïrladïm	ärɫäðɯ̞m
ïrlamaq	ɯ̞rɫɑmɑq
ïrlarmẹn	ɯ̞rɫɑrmɪ̞n
ïrlaγïl	ərɫäʁɯ̞ɫ
ïrq	ɯ̞rt
ïrq bitig	ʔɑrq bʲitʲik
ïrq sačmaq	ʔɛrqsɑtʃmɑq
ïrqla	ɯ̞rqɯ̞ɫæ
ïrqlamaq	ärqɯ̞ɫɑmɑq
ïrqlaγučï	ɑrqɯ̞ɫɑʁutʃʲa
ïrqïγ	ɑrqɯ̞ʁ
ïrra	arɑ
ïru	ru
ïrïm	ɯ̞rɯ̞m
ïrïn ojunun ïrlaju büdijü. [türkische turfan-texte]	rɯ̞n ʊ̞jʊ̞nʊ̞n ɪ̞ɾɫäjʊ̞ bʲidʲɪjʊ̞w
ïrγa	ɯ̞rʁɑ
ïrγal	ärʁɑl
ïrγalmaq	ɯ̞rʁäɫmɑq
ïrγalup	rɣ̞ɑlup
ïrγamaq	ärʁämɑq
ïrγanmaq	ärʁɑnmɑq
ïrγat	arɣ̞at̪
ïrγatmaq	ärʁɑtmɑq
ïrγaš	ɔrɢɑr
ïrγašmaq	ärʁasmɑq
ïrγaγ	ãɾβ̞ɑð̞
ïs	ɯ̞s
ïsbara	təspra
ïslan	ɑsˈvɑn
ïslanmaq	ɑslanmaq
ïsmaq	ʔɪsmɑrq
ïsrïl	əsrɑɫ
ïsrïlmaq	ɯ̞sɯ̞rɑɫmɑq
ïsrïm	asram
ïsrïn	ʔɑsʁɑn
ïsrïnmaq	əsrɯnmɑq
ïsrïq ïsrïq	ɯ̞srɯ̞q ʊ̞srɯ̞q
ïsrïš	æsrɑʃ
ïsrïšmaq	əsrɯzʃmɑq
ïsur	ɦɯ̞sʊ̞r
ïsurmaq	ɑsʊrmɑq
ïsï	qɯ̞sɑ
ïsïmaq	ɑsɑmɑq
ïsïn	ɑθən
ïsïnmaq	ɯ̞sɯ̞nmäq
ïsïr	ɢɯsɯr
ïsïrmaq	ɯ̞sɯ̞rmɑq
ïsïrt	ɯsɯr
ïsïrtmaq	ʊ̞sʊ̞rtmɑq
ïsïrγan ït	ʊ̞sɯ̞r ʁɑnɑt
ïsït	ɯ̞sɯ̞t
ïsïtmaq	əslətmɑq
ïsïz	ɑsˈsˈz
ïsïš	ɯ̞sɯ̞r
ïsïšmaq	sɯ̞ʂmɑq
ïsïγ	qɑslɑq
ïsïγan	æsʁɑn
ït	qɑt
ïčγïn	ʔɑtsʁɑn
ïčγïnmaq	ʔɑtɕɪgɯnmaːq
ïčγïnmïš	aːtʃqɑnbɑːr
ïčγïnï	ʔutɕiŋla
ïš	ɯ̞ʂ
ïš buqa	ɪ̞ʃ bʊ̞qa
ïš taq	æʃtæq
ïšan	æˈʃɑn
ïšanmaq	ɯ̞ʂɑnmäq
ïšbara	æʃbˈaɾˈra
ïšbaraš	bãsβ̞aɾaz
ïšlan	ɯ̞sɫɑn
ïšlanmaq	ɯ̞ʂɫɑnmɑq
ïšlïγ	æʃɫɑɢ
ïšänγïl	æʃaːnɣɑl
ïšïγ	qɯ̞ʂɯ̞χ
ïšγun	aːʃqoːn
ïγamïš jïγač	ʁamʃ jeɣaːtʃ
ïγač	ʁaʃ
ïγačqa	ʁɑtʃqɑ
ïδ	z
ïδmaq	ælmaq
ö	e
ö-ö	e̞
öd	ˈød
öd ijinki	aˈðviː ɛnki
öd kẹčmäk	ʔøtkitʃmæk
öd qolu	ʔøt qɔlu
ödik	edˈik
ödkä olurmaq	ʏ̞tkæ ʊ̞ɫʊ̞rmɑq
ödläk	œzlɛk
ödrül	ədrˈʉl
ödrülmäk	ʁpˈʁlmk
ödrüm	ʁˈyːm
ödründi	ˈɛdɹˈʌnˈdi
ödrüš	adrˈuʃ
ödrüšmäk	œ̃ndˈə-ʁˈyʃmək
ödürgän	ødrgɛn
ödürmäk	ʉ̞dʉ̞rmæk
ödüz	œdyz
öfkä	ʊ̞fkæ
ög	ˈeɣ
ög bilig jẹtür	hʏ̞kbe̞lʲɪkʒʲɪtʏ̞r
ög jitmäk	œ̃gjˈitmɛk
ög jẹtür	œkʒɛtør
ög jẹtürmäk	øgjɯ̞ tʏ̞rmæk
ög qan qa qadaš bolmïš tïnlïγlarï γörlätdim, ẹmgätdim. [altun jaruq]	ɯ̞qːɑn qɑqɑðɑʂ bʊ̞ɫmɯ̞r tɯ̞nɯ̞ʁɫɑrɯ̞ jʏ̞rjɪlæðːʲiɪ̞m ɪ̞mgʲɛtðɪ̞ɪ̞m
ög qaŋ	ʁqɑŋ
ög qaŋ qa qadaš bolmïš tïnlïγlarïγ örlätdim ẹmgätdim. [altun jaruq]	ʔøq qɑnqɑqɑdɑʃ bɔlmɯ̞ʂ tʊ̞nɫɯ̞qɫɑrʁɑ ʔørræddɪ̞im ʔimgæðdɪ̞jɪ̞m
ög tiril	ʊ̞ktʏ̞rʏ̞l
ög tut	ektot
ög täŋri	ʊ̞ktæŋrʲiː
ögdi	øgdi
ögdülmiš	ʁdˈlmɪ
ögdülmiš odγurmïš tüšingä ta’bir qïlmïšïn ajur. [йосыф баласагуни]	ʏ̞kdʏlmʲiʂ ʊ̞dʁʊ̞rmʊ̞ʂ tʏ̞ʂʏ̞ndæ tæʁβir qɯ̞ɫmɯ̞ʂʊ̞n ɑjur
ögi qaŋï joq	ægʲi kɑŋɯ̞ jɔq
ögin köŋülin ïčγïndï, tujunmadï, bilinmädi, muŋqul tẹltük qal bolup.	ægʲɪn kønɪ̞nʲɪn ɪ̞ʂɪ̞ʁʊ̞ndɯ̞ tʊ̞jʊ̞nmɑðʊ̞ bɪ̞ɫʲiɫmæðɪ̞ muʁʁol tjɪl tʲik qɑɫ bɔɫɯ̞p
ögirttür	girˈtur
öglük	əglˈok
ögmäk	əgmɛk
ögräjük	ʊ̞grɑjʊ̞k
ögränmäk	øgɾlɛnmek
ögrätmäk	øgɾɛtmæk
ögrünčülüg	ʁˈʁˈntʃulʊk
ögsiz	əksið
ögsiz ögi	ʁˈɛkˈt ləʒˈogˈi
ögsiz ögi, qaŋsïz qaŋï siz boltuŋuz. [kalyanamkara & papamkara]	øksizygi kɑŋsiz qɑŋɯ siz bolʁun
ögsämäk	ʊ̞ksɛmɛk
ögsüz	ʁksyð
ögtürmäk	ʊ̞ktʏ̞rmʲɪk
ögä	ɛˈge
ögä bolmaq	ʏ̞gæ pʊ̞ɫmɑq
ögäj	ˈeɪgˈæi
ögälämäk	øgælɛmmɛk
ögän	əˈgeɪn
ögänlärtäki	ʏ̞gænlærtæki
ögäntäki	ʒˈaʒʁmˈteʃˈ
ögär	agəɾ
ögük	aguk
ögülmäk	øgylmˈɛk
ögülüg	ʁgʁ
ögüm qaŋïm ẹčim tẹgingä sẹvär, mẹni aqlajur ẹrti. [kalyanamkara & papamkara]	ʏ̞gʏ̞m qɑʁʊ̞mɯ̞ tʃɪm tægɪ̞ngæsæ bærmɪ̞nni ɑqɫɑ jʏ̞rʏ̞ktʲi
ögün	ˈeˌgˈaŋ
ögün tutuq	ə gyn tu tɔq
ögüngüči	ʁˈgyŋgytʃi
ögünmäk	øgynmɛk
ögünč	əgʏ̞nt
ögür	økjør
ögürlänmäk	ʊ̞gjɾlɛnmæk
ögürlüg	əgʊdlˈʊk
ögüt	əgˈut
ögütlämäk	œ̃gʏ̞tlɛmɛk
ögüz	œzʒøz
ögüzlär	gʏzlær
ögüčüm	ygety
ögüšmäk	œgyzʃmˈɛk
öjlä	ʏ̞jlæ
öjäz	ˈejˈæz
ök	øk
ök at	əgat
ökil	ekˈil
öklimäk	øklimˈak
öklitmäk	øklitmɛk
öklämäk	ʁˈɛlɛmæk
öklänmäk	ʁˈɛlɛnmæk
öklünmäk	əklˈɵnmɛk
öklütmäk	œbløtmɛk
öklüšmäk	ʁˈlyzmɛk
ökmä	ʉpme
ökmäk	əkmˈɛk
ökmäklän	ækmæklæn
ökmäklänmäk	ɯ̞kmækjɪlɛnmæk
öksä	ɯ̞ksæ
öksämäk	ʁˈœksjɛmɛk
öksüz	ɔksˈyz
öktür	kto
öktürmäk	øktʏrmæk
ökül	əkˈuʁ
ökülgän	økylgˈɛl
ökülmäk	økylmɛk
öküm	køm
ökün	økʏn
ökünmäk	ʊ̞kʏ̞nmɛk
ökünmäk qaqïnmaq	ʏ̞gʏ̞nmæk χɑqɯ̞nmɑq
ökünč	əgʏ̞ntʃ
ökünč kẹlmäk	øqynʧ kilmæk
ökünčdin	əkynʃdiːn
ökünčüm asïγ joq, kẹsär mẹn sözüm.	ʔøqimtʃim ʔɑsɯg jɔq kisɛrmɪn søzym
öküz	ə-kˈyz
öküzlänmäk	ʁyzylɛnmɛk
öküš	œkœʃ
öküšlän	ʃlˈɛn
öküšlänmäk	økʏʃɛlɛnmɛk
öl	øːn
öldäči	ɪ̞ldɪ̞tsʲi
öldürmäk	ʏ̞jðʏ̞rmæk
ölimäk	øliˈmɛk
ölitmäk	øːlˈɪsmɛk
ölišmäk	øliʃmæk
ölmiš kövtüŋ	ɛlmiʃ kɪltuŋ
ölmägäj	œlmægɛj
ölmäk	œlmæk
ölsämäk	ʉlsɛmɛk
öläs	eɫɛs
ölüg	ˈœ̃nlˈœg
ölügsämäk	œlyksɛmɛk
ölügsüz	ʁˈœlyʒsˈøz
ölüm	œløm
ölümdin qačïlmaq	ʔølym din qɑtʃɯlmɑq
ölümdin qutulmaq	ʔølymdin qotulmɑq
ölümdin qutulγu jarï joq, bilin. [йосыф баласагуни]	ʏ̞jʏ̞mβʏ̞n qoʊ̞tʊ̞ɫʁʊ̞ jɑrɯ̞ jʊ̞q bʲilɪ̞m
ölümkä	ʊ̞lʏ̞mkæ
ölümlüg	ʁlymlʒ
ölümüg	œlˈemˈœk
ölümüg tiδär ẹrsä dünja nẹŋi, bolup ölmägäj ẹrdi bẹglär bẹgi. [йосыф баласагуни]	hʏ̞rmʏ̞kt jær ɪ̞rsæ dʏ̞njɑnɪ̞ŋ buɫɯ̞p ʏ̞lmægæ irðʲibʲɪkɫɛr bʲigʲi
ölümüg unïtma, gürüŋ jurtuŋ ol. [йосыф баласагуни]	hʏ̞lʏ̞mgʏ̞ gʊ̞nʊ̞ntmɑ gʏ̞rʏ̞n jʊ̞rtʊ̞n oɫ
ölürgäj	olurgaj
ölürmiš	yðʊɾmʲiʃ
ölürmäk	ʏlʏrmæk
ölürmäk saγïnčïn	ʏ̞jʏ̞rmʏ̞k sɑʁʊ̞n ʲtʃɛn
ölürtäči	ɾɛdtʃi
ölürür	ʏlʏrʏɾ
ölürür, tẹrisin sürär, qan ögüz aqïtar. [kalyanamkara & paramkara]	ɪ̞wʊ̞rʊ̞r dɪ̞ɾʲɪsʲiŋ sʏ̞rær qɑnʊ̞ gʏ̞s ɑqɯ̞tɑr
ölüt	œ̃lytˈ
ölüt ölürmäktä ulatï	ʏ̞lʏ̞ tʏ̞ðʏ̞rmæk tæ ʊɫɑtɯ̞
ölütlä	ʒʉlʉtlɛ
ölütlämäk	ʁyɫultlɛmɛk
ölütlük	œylˈʊtlˈœk
ölütči	ʁˈyːtʃi
ölšämäk	œ̞ʃɛmɛk
ölšätmäk	øʃɛtmɛk
öm	ɛ̀m
ömgän	əmgɛn
ömgän tamïrï	ʏ̞mgæn tɑmɪ̞rʊ̞
ömiš	uimˈeʃ
ömlüg	ˈœmlˈuk
ömzük	əmsuk
ömäk	ømˈɛk
ömäz	ymˈɛz
ön	ɛ̃
öndür	enduɾ
öndürmäk	ʏ̞ndʏ̞rmæk
öndürüp	ʏ̞ndʏ̞rʏ̞p
önmiš	œnmis
önmäk	œnˈmɛk
öntür	latʏr
öntürmäk	øntyrmæk
önüp	œ̃nøp
önüp barmaq	ʏ̞nʏ̞p bʊ̞rmɑq
öp	hɛp
öpkä	øpkɛ
öpkälämäk	ʔøpgæwɛmæk
öpmäk	pˈɛ̃k
öprülmäk	əprɨlmɛk
