(r)ekin batera eraso	eɾai̯kin bat̪eɾa e̞ɾas̺o
loinatz	lojnˈats
loiola	loiˈola
loiolakoa	loioːlˈakoa
loiolatarra	loiolat̪era
loiu	lwˌ
loka	loka
lokabe	lokabe
lokadura	lokað̞uɾa
lokamuts	lokamutʃ
lokarrarazi	lokaɾð̞sj
lokarri	lokaɾɾi
lokarritu	lokaɾɾjtu
lokarritzen	lokaˈritsen
lokartu	lokartu
lokatu	lˈokatˈu
lokatz	lˈoːkəts
lokatza	lokat̪sˈa
lokaztia	lokast̪ia
loki	loki
lokotx	lokots
lokuluxka	lˈokːaluʒkˈa
lokuluxka egin	lɔku lʊʃkaː eɣin
londres	lõŋd̪ɾes
lor	lɔ
loradenda	loɾad̪ẽn̪d̪a
loraketa	loraketa
loraldi	loɾaldi
lorarazi	loɾað̞alo
lorategi	loategi
loratu	loɾatu
lore	loɾe
lorea	loɾea
loreak mendian	loɾeak mẽn̪d̪iẽn̪
loredi	loɾeɾi
loredun	loɾeð̞un
loregintza	loɾeɣ̞ints̺a
loreontzi	loːɾeːontsi
loretsu	loredʒu
lorexaki	loɾeʃaki
lorezain	loɾes̺aɲ
lorezaintza	nˈˈorɛsˈajˈŋtsa
lorezil	loɾesil
lorpen	lorpen
lorratz	miːˈlæfˌimˌəlˈlɪŋkoːˈtlɪŋˌmæn˥˩fɑːneːl
lortu	lˈoɾtu
lortzeko	lortseko
lotailu	lotːaiʎu
lotegi	loteɣˈi
lotesle	lotɛsʎe
loti	lɔtɛ
lotinant	lotinãn̪t̪
loto	ɔtɔ
lotsa	lodʒa
lotsagabe	loː˧˥tsʰuː˥˩aː˧˥
lotsagarrikeria	lot̪ualɦaɾɾikeɾia
lotsagorritu	lotʃaɣ̞orit̪u
lotsati	lɔ̀ːtʃa˥ti
lotsatia	lotʃatia
lotsatu	notʃatu
lotu	nˈoːtlˈoːv
lotune	lotʊne
lotura	lotura
lotutasun	lot̪ot̪assum
lozagia	nˈosˈɐlɪjˈa
lubaki	luaˈke
luban	luban
luberri	luβ̞eɾɾi
luberritu	lubljtu
lucía etxebarria asteinza	nʊ siːa etʃe baːˈɾiɑ as̺tɛ ae̞nisa
ludoteka	ljudoteka
lugorri	luɣ̞oɾɾi
luhartz	luaɾt̪
lukainka	lukaɛn̪θa
lukurreria	lukkuɾreɾia
luma	lˈumˈa
lumazorroa	lumˈasˈˈoˈxwa
lumera	lumera
luminaria	lwminaɾia
lunar	lunˈaɾ
luperi	lupri
lupetz	lupˈet
lupia	lupia
lur	lur
lur-jabe	losʝaβ̞en
lurbel	luɾbæl
lurbira	luɾbjan
lurburu	lwɾlwɾu
lurdun	loɾd̪un
lurgoratu	urgoratu
lurgune	lurgune
lurkara	lulkaɾa
lurmutur	loormoto
lurpebide	lurpebide
lurpeko	luɾpekʊ
lurra	lura
lurraldatu	luɾɾald̪at̪u
lurralde	luɾɾald̪e
lurraldekoi	ploraldekoi
lurraldetasun	luɾɾald̪et̪as̺um
lurralkalino	loralkalino
lurrazal	luɾɾas̺al
lurrera	lureta
lurreratu	oregato
lurrikara	s̻uɾɾikad̪a
lurrin	lurɣ̞ɾ
lurrindatu	luɾɾinːdɐtu
lurrindegi	lureɲd̪eɣ̞i
lurrindu	nurindu
lurrun	lʊrˈun
lurrun-makina	luɾˈummakˈaːnˈ
lurruna	lˈʊɹˈuna
lurruspe	mʏ̞mʏ̞ʂʏ̞
lurrustel	laɾust̪en
lursagar	lutsaɣaɾ
lursagarra	nurseɣ̞arɾa
lursail	nursaj
lurtar	luɾtaɾ
lurzoru	lilssɔlw
lurzorua	lursɔɾua
lusuil	lˈolʃˈwjˈ
lutezioa	luteθioa
lutxarbi	lut̪ʃaɾbi
luzaketa	usaketa
luzakin	losakin
luzanga	losaŋga
luzapen	luzapẽn
luzaro	lutsaro
luzatu	lə-sˈɔ̃tˈu
luze	lusˈe
luze-labur	lwθellaβ̞uɾ
luzea	lusea
luzera	lusella
luzetsi	lasetʃi
luzexko	nˈusˈaɪʃkop
luzien etxezaharreta	lus̞iãn̪ etʃe s̺axet̪a
luzoker	luzɛlkeɾ
madalena	mað̞alena
madari	mˌaðˈaɾi
madaria	mað̞eɾia
madarikapen	mad̪aɾikapẽn
madarikatu	madaɾikat̪u
madarikatua	mað̞aɾikat̪ua
madarikazio	maðˈaɾɪkasˌion
maddalen	mau̯t̪ɣ̞sele
maddalen lujanbio	madʒela el luxa mβ̞joɾ
maddi	maɟːi
maddi sarasua	maː dʲiːʃa ra ʃua
madotz	malot
madrigal	maːlˈɾigəl
madril	pað̞ɾil
madrildar	mað̞ɾilið̞aɾ
mafioso	mafjɔsɔ
mafrundi	mafˈroːnˈdi
magal	maːɣˈal
magazin	mˈaʁˈɑsˈinʁˈ
magenta	maginta
magia	mˈˈaˈɣˈiˈɑ
magiko	maɣiko
magma	maʁmˈɛ̃
magnesioa	maːrn˧ʃiːwa
magnetita	maɣneːtiːda
magnetofono	mˈaːvnˈɛtdˈiʁfɔnˈa
magnetosfera	maɣ̞net̪osfeɾa
magrebtar	maɣ̞ɾet̪aɾ
magurio	maɣ̞oɾio
magyar	maɣ̞uiaɾ
mahai	maaj
mahai hau har dezakegu?	maj æɾ d̪e̞s̺ake̞ɣ̞o
mahaia	maja
mahaia prestatu	maja pɾest̪at̪u
mahaiaren	maajaremi
mahaiburu	majbuɾu
mahaikide	maːliːtɛ
mahaspasa	mezpãsza
mahats	maːtʃ
mahina	majna
mahuka	mau̯ka
mahukaburu	mau̯kaβ̞wɾu
maia	maja
maialen	mai̯alẽn
maiatz	mˌaɪˈɛts
maiatza	majˈattsa
maiena	maːjɪnə
maiestate	majestate
maila	mella
mailakatu	maiakat̪u
mailatu	majˈgatʊ
mailegu	majeɣu
mailu	maʝu
mailukada	majukað̞a
mailuki	maːljuːki
maina	majna
maindire	maemdiˈre
maindirepe	mai̯nˈdilipˈɛ
maingu	mãˌiŋgˈu
mainontzi	manʲontsʲi
maionesa	maiones̺a
maiorazko	majoɾasˈkˈo
mairu	mai̯ro
mairu-baratz	majɾubaɾat̪
maiseatu	maes̻eat̪u
maisu	majˈʃu
maisugo	majˈsuɣo
maisulan	maj˩˩˦ʃlan˥˩
maitabera	majtabeɾa
maitagarri	mai̯t̪aɣ̞aɾɾi
maitakeria	mai̯t̪akaɾia
maitale	mait̪ale
maitarazi	mai̯t̪aɾð̞æsi
maitaro	mai̯t̪aɾo
maitasun	mait̪as̺un
maitatu	majetu
maitatzaile	mai̯tatsʲaʲːe
maitazarre	majt̪as̺aɾɾe
maite	majte
maite izan	majtejsan
maite zaitut	maj dɛsaj tɔd
maitea	mai̯tea
maitekiro	maitekilop
maitekor	mai̯t̪ekoɾ
maitemin	majteniɲo
maitemindu	majtʃaːnindio
maitetsu	majteetʃu
maiuskula	maelluskula
maiz	mais
maiz al zatoz hona?	mais alsatos unas
maiztasun	maist̪as̺un
maiztegui	maisˈtigi
maizter	majst̪eɾ
maiztu	maisto
majina bat	maɣ̞inʝaβ̞a
majo	maxo
maka	maka
makabro	makabro
makal	makali
makalaldi	makalalð̞i
makaldu	makal̪d̪o
makaleria	makaleɾia
makarroi	nakaroʝ
maketatu	maket̪at̪u
maketazio	akest̪aakkio
maketo	maketo
maketonia	makest̪ãmbmia
makila	makella
makilakada	makjʝakað̞a
makilazo	mˈakjˈlˈasˈo
makillaje	makjʝaxe
makina	makina
makina bat	mˈakˈinˈnˈ
makola	makola
makromolekula	makromɔlakobla
makulu	makulu
makur	makuɾ
makurkeria	d̪ekuɾkeɾia
makurtu	makorto
malaria	malarja
malats	malat̪s
malaysia	malai̯s̺ia
malda	malða
maldatsu	maldatʃo
malenkonia	malenkonila
maleruski	malɛɾuʃki
maleta	maleta
malezia	malestia
malgu	malɣʊ
malgutasun	β̞alɣ̞ut̪ãsõm
malgutu	malrˈutu
malko	malkov
malkoak	malkovak
malkorik	malkoɾik
mallabia	maʝaɣ̞ia
malo	malo
malorri	maloˈri
maltzur	maltˈzˈa
maltzurkeria	malt̪s̻uɾkeɾia
maluroski	maluɾos̺ki
malurus	malʊɾˈuʒ
maluruski	maːʎuɾusɛ
maluta	malutau
malutapen	malut̪apẽn̪t̪
malutatu	malutatu
malutatzaile	malut̪at̪s̺ai̯e
mamala	mamala
mami	mami
mamia	mamja
mamitsu	mamitʃu
mamitsua	mamitʃwa
mamitsuaren	mamitʃualene
mamorro	mamoɾɾo
mamu	mamˈu
mamurtu	mamorto
manamendu	manamɛndu
manatu	manatʊ
mandala	mãn̪d̪ala
mandamentu	mãn̪d̪amẽn̪t̪u
mandatu	mandatˈu
mandazain	mãn̪d̪as̺aɲ
mandeuli	mandɛuli
mandil	mãn̪d̪iʝ
mandio	mãn̪t̪io
mando	mando
mandoa	mandɔ
mandubi	mankuɣ̞i
maneiatu	maneiatʊ
manex	maneʃ
manex erdozaintzi-etxart	manˈɛʃ ˈɛʁdɔfˈɛ̃ˈtˈi ɛt tʃˈaʁt
manex goihenetxe etxamendi	maneʃ goxeneʃe eʈameʃ
mangal	mangal
manganesoa	maŋganesam
mania	mˌanijˈɐ̃
manifestazio	mˌanifˌestasjˈon
manifestaziora	manifestasiora
manta	manta
mantal	mantˈal
mantala	mant̪ala
mantelina	mant̪e̞ljnle
mantendu	mantendu
mantenugai	mantemugaj
manterola	mant̪iɾula
mantso	mantʃo
mantsoki	mɐntʃoːkiː
mantsotu	mantʃotu
mantzanga	mantzaŋga
mantzizidor	mantsizidoɾ
maparik ba al duzu?	maː paɽek baː ɔlɖusʊ
mapatxe	mapatʃe
mar-mar	maɾmaɾ
mara-mara	maramara
marabua	maɾaβ̞ua
marabut	maɾaaboto
marai	mˌaɾˈaj
maraiko	maɾaiko
maraka	maɾaka
marapilo	maɾapijˈo
marasmio	maɾasmia
maratila	ˈɛɹɪbɚˌɑ
maratoi	maratˈoi
maratoia	maɾatʊja
maratz	maɾat̪s̺
marañón	maɾaʝon
marda	mɾð̞a
mardul	marður
marea	maɾea
marexal	mɾˈeʃɾɑn
margo	maɾgˈo
margolan	maɾɣ̞olẽn̪
margolari	malgolaɾi
margoztatu	maɾgostatu
marguldu	maɾgolð̞o
mari-maistra	maɾimaist̪ɾe
mari-sukalde	maɾizsʊkɑlde
maria	maɾia
maria de ximildegui	maɾiːa d ʃemalˈdˈeɣi
marigorri	maɾiɣoɾɾi
marigorringo	maɾiɣoɾiŋgo
marikita tanburin	mˈaˈʁˈikitˈa tˈɛm bˈuʁəm
marimotots	maɾimot̪ot̪s
marina	maɾina
mariorratz	maːɾiːeːɾɾətʃ
marisorgin	miɾað̞aissoɾɣ̞ĩŋ
maritxu	maɾitʃu
maritzar	maɾitsaɾ
marizikin	maɾiziːcˈɪŋ
marka	mˈaɾka
markel	maɾkel
markel irizar	maːr ke liɾiːz al
markel susaeta	maɾke s̺us̺a e̞t̪a
marketeria	maɾket̪eɾia
marko	maɾkɔ
marmara	mˈaɾmˌaɾˈa
marmarka	maɾmaɾk
marmarti	maɾmɑɾt̪i
marmitako	maɾmitako
marmoka	maɾmoka
marmol	maɾmol
marmola	maɾmola
marmota	maɾmɔtɔ
maroko	maɾokːo
marra	maɾɾa
marrakuku	mˈaɾrakˈoku
marranta	nʲæɾʲempa
marraskilo	maɾaskeʝo
marraza	mæɾˈɾæfæ
marrazain	marɾasˈaːen
marrazki	marɾas
marrazkilari	marɾas̻kilaɾi
marrazo	maɾɾasʊ
marrazo zuri	maɾɾas̺o s̺oɾi
marro	maro
marroi	marɔj
marru	marɾu
marrubi	maɾɾuβ̞i
marrubia	maɾuβ̞ia
marruka	maruka
marruma	maɾɾumã
marruskadura	maruzkad̪uɾa
marruskatu	maruzkatu
marte	mˈartʊjˈ
martimuilo	maɾt̪inmʊʎo
martin berasategi	maɾt̪ĩŋ beɾaz̺atek
martin heidegger	goit̪ik beɾa
martin txiki	nɑxteɔ
martin-sukalde	maɾt̪ins̺ukald̪e
martitzen	morˈtitsen
martutenearra	mart̪ut̪eneara
martxa	matʃa
martxan ipini	martsʃa nipini
martxanta	raqtʃɑntɯ̞
martxo	matʃɔ
martxoa	marˈtʃo
martxoan	mˈaɾtʃuan
martxuka	maxtʃuka
masadera	mas̺að̞e̞ɾa
masail	masajl
masaila	massaia
masailekoa	masaʎjkwa
masailezur	masˈaʎesuɾ
maskal	mezkal
maskala	baskala
maskor	maskor
maskota	maʃkɔta
maskuri	maskwɾi
mastekatu	t̪e̞kat̪u
mastercard onartzen al duzue?	mas̺t̪e̞ɾkãt̪s̻ omalts̻ẽn ald̪u s̻uɣ̞e
mastercarda onartzen al duzue?	mas̺t̪ẽlkãt̪ d̪a onalt̪s̻en al̪t̪u s̻uɣ̞e
masusta	naʃuʃta
masustondo	masust̪anð̞a
matahami	matahmi
matarrasa	mat̪aˈɾas̻a
mataza	matasˈa
matelezur	mat̪eles̺uɾ
matematika	mat̪emat̪ika
matematikari	mat̪ɪːmaːt̪iːkaːri
matematikoari	matematikohaɾi
materia	mãt̪eɾja
material	materjal
materiala	mataɾiala
materialek	mat̪eɾialek
matrail	matɾaʝ
matrailezur	matrɛjlʲesur
matraka	mat̪ɾak
matriarka	mat̪ɾiarka
matriarkatu	matsiʝaɾkat̪u
matrikula	matrikula
matrikula zenbaki	matrikula zɛnβaki
matrikulatu	matrekulatu
matrikulazio	matrikulasio
matrize	matɾise
matxar	matʃar
matxarda	mat̪ɣ̞saɾð̞a
matxinada	mat̪s̻iɲad̪a
matxinatu	matʃljnatɔ
matxinsalto	matʃinsanto
matxista	natʃista
matxura	matjˈʊlə
matxuratu	mat̪ʃuɾatʃi
mauka	mau̯ka
mauka-mauka	mau̯kamauka
maule	maul
maxentzio	maʃensio
maximo	maximum
mazedonia	maseð̞oɲiã
mazedoniera	masɛdɔmjera
mazela	malfera
mazo	pasto
mazopa	masopa
mazuza	maːsˈusa
mea	me̞j
measintxa	mæːrˈsɪnt˧˧am
meategi	mɛʁdeʁi
meatzaldea	mi˨˩a˥˧tsi˨˩
meatzari	mʲatsaɾi
meatzaritza	mʲeː˧ʈkaːˈrɪtˤsa
meatze	mjɛtse
meazulo	mʲetsulo
medeapen	med̪elapẽn̪
medeatu	með̞eat̪u
mediku	meɾiku
mediku batek sendatzen, bik zalantzan jartzen, hiruk heriotza segurua ematen.	ed̪iku bat̪ek s̺ẽn d̪at̪s̻e̞n biɣ̞ s̻aɾant̪s̻ẽn dʒart̪s̻e̞n iruk heɾiots̻a s̺eɣ̞uɾua e̞mat̪ẽn
medikua	medjˈkˈua
medikuntza	meɾikuntsa
medizina	medisina
mehaka	wˌaːtˈtˈ
mehar	me
mehargune	mejɑrgoːˈne
mehatxagarri	meˈaʃagˈaɾɾeɪ
mehatxatzaile	me̞jɒːtʃtʃɒtsɒleː
mehatxu	meatu
mehatxuzko	meladʒuʃto
mehe	me
meheki	mˈaɪki
mehetasun	met̪es̺on
mehetu	me̞jtu
meiosi	meiosif
meitnerio	metrɛa
mekanikari	mʲekanʲikaɾi
mekaniko	mɛkaniko
mekanikoak	mɛkanikoak
mekanorrezeptore	mekanuelɾɾˌeθepːtˈoɾe
mela-mela	melamela
melatu	melatum
mele	mele
melenga	mjˈlˌɪŋˌa
meloi	meloˈi
meltxor	mɛtʃoɾ
meme	mɛmɛ
memelerdo	nˈəmɛlˈɛʁdˈɒs
memelo	memelo
memento	memt̪o
men	mˈɪn
mendabeltz	mendadʒβelts
mendata	meniɾata
mendate	β̞ẽn̪d̪at̪e
mende	mende
mendebal	mẽn̪d̪eβ̞al
mendebalde	ment̪ebalð̞e
mendebaldea	mend̪ebalð̞ea
mendebaldeko sahara	end̪e balð̞e̞ko s̺ahaɾa
mendebalderantz doan autobidea hartu	memð̞e balð̞eɾants̺ d̪oan au̯t̪o̞ β̞id̪ea haɾtu
mendeko	mɛndɛkɔ
mendekoste	mẽn̪t̪ekos̺t̪e
mendekotasun	mend̪e̞kot̪as̺on
mendeku	mend̪eku
mendelebioa	nnd̪ɪleːβeɾ
mendematu	menbematum
menderakuntza	mẽn̪d̪eɾakunt̪z̺a
menderatu	mend̪eɾat̪u
menderatzen	mẽn̪t̪eɾat̪z̻ẽn
mendetasun	mend̪et̪as̺o̞n
mendexa	mɛnðɛʃn
mendi	ləŋɪ
mendi marzana	mɛn ðimarʃana
mendi-gailur	mɛnðiɣaʎo
mendia	menðia
mendialde	mɛnðialdɛ
mendian sortia mendirat nahi.	mend̪ian s̺oɾt̪ia mẽn̪d̪iɾat̪s̺ai̯
mendiarte	mɛnˈðiɑɾte
mendieta	mend̪jet̪a
mendigoizale	mendigoisali
mendiguren	mẽn̪d̪iɣ̞uɾẽn
mendikate	mendikat̪e
mendikate penibetikoa	end̪ik at̪e pẽ̞ni β̞et̪ikoa
mendiko	mɛndjko
mendilaharzu	mɛndiːlarsu
mendilerro	mɛnðilero
mendioin	mɛnðiojn
mendira igotzea	mẽn̪d̪iɾa iɣ̞ot̪s̺ea
mendirakoi	mɛndiɾakoˌiːn
mendiratu	mɛndɪjˈðatun
menditsu	mɛ̃dˈiki
mendixka	mẽn̪d̪jska
mendizabal	mẽn̪d̪is̺abal
mendizale	mɛnðizale
mendizorrotza	mɛnðjsʊɾɔtsa
mendoitz	mendojts
mendre	mɛnðrɛ
meneko	mɛnɛkɔ
mengel	mʲiŋgəl
menisko	leniʃko
menpeko	menteko
menpekotasun	menpekot̪as̺un
menperaezin	mempeɾasi
menperakaitz	enpeakai
menperatu	mempeɾatʊ
mentoldun	ment̪alð̞uð̞
ments	ment
mentsula	mentʃula
menua ikus al dezakegu mesedez?	menua ikus̺al d̪es̻ake eɣ̞u mes̺e d̪es̻
mera	mɛɾa
merda	mɛrða
merdekatu	meɾdekatu
merezi	mɛɾˈesi
merezi izan	mˌeɾesˈi ˈiθan
merezidun	meɾes̻id̪wn
mergatz	mˌɛrgˈatˈs
merienda	meɾiemda
merkantilismo	meɾkantilismɔ
merkatalgo	meɾkatalɣ̞o
merkatari	me̞rkat̪aɾi
merkataritza	mɛɾkat̪aɾit̪θa
merkatu	mortato
merkatua	mɛrkatua
merkaturatu	mɛrkatud̪at̪u
merke	merka
merkealdi	mˌaɾkˈeˈallˈi
merkealdian al dago?	merke al ðian aldago
merketu	merketu
merkurio	merkuɾio
merkurioa	merkurioa
merlenka	merlẽn̟θa
mertxika	mertʃika
mesanotxe	mesanotʃe
mesede	meθeð̞e
mesede egin	mes e d̪eɣ̞
mesedea	nesˌɛˈdea
mesedegarri	mesedɛgari
mesedez	meθedˈes
mesfidantza	mezfið̞anθa
meskita	meskita
mesozoiko	nɛːʃaːsɛjˈkoʊ
mespretxatu	mespɾet̪ʃat̪u
mespretxu	nespɾet̪i
mespretxua	mezpɾet̪sua
meta	meta
metabolismo	metaβ̞olizmo
metahizkuntza	mʲetaadzʲinkosta
metaka	taka
metaketa	metake̞t̪a
metal	met̪al
metala	met̪ala
metalgintza	mɛtaːlvinsa
metatu	metatum
meteorito	meteorito
meteorologo	meteorolɔgo
metodiko	metodiko
metriko	metriko
metro	mjˈtɹo
metro-geltoki	metrogeltoke
metroko txartel honekin zenbat bidaia egin ditzaket?	me̞t̪re̞k ut̪s̻art̪ t̪elonekĩn s̻ẽn bat̪ bid̪e̞i aɣ̞ĩn d̪its̻aket̪
mexiko	mɛʃiko
meza	mˈɛθa
mezenas	mɛsɛnas
mezkita	mezkita
mezu	mˌɛsʊ
mezua	mortemsoɑŋ
meñaka	mɛnaka
miarritza	mijaritsa
miarritze	mjaritse
miasma	mijasma
miatu	mjatu
miazkatu	mias̺kat̪w
mielga	mjˈelga
mieltxo	mʲertʃo
migratzaile	miɣ̞ɾat̪salie
mihi	miː
mihi-arrain	miːjaːrai̯ɲːe
mihia	mˈi
mihilu	melo
mihiluze	ɛleluse
mihise	a
mihizko	miːskˈo
mihura	mjuɾa
mika	mika
mikatz	nikats
mikaztu	mikast̪u
mikel	nike
mikel arteta	mike laɾteta
mikel bizkarra	mikel bis̺kara
mikel erentxun	mika leɾentsun
mikel iturria	mikelituria
mikel laboa	mikellaboa
mikel landa	mikːelanˈdˈa
mikel nieve	mjkl njˈeβe
mikel san josé	mikel sãn xose
mikologia	mjkɔloɣia
mikra	mikro
mikrobiologia	mikrobioloɣia
mikrofono	mikrofonˈo
mikroskopio	mikroskopio
mikrouhin	mjkrou
mila	migˈɑ
mila arraio!	miʝa aˈraʝo
mila esker	β̞jlla es kel
milagro	milaɣro
milako	miʝakom
milesker	mʲiɫʲæʃkjɐɾ
miliar	miliãɾ
milikatu	murˈjˈikatˈu
milioi	mjʝoi
milioi bat	miʝõɾ numeɾo pat̪
militar	militaɾ
milorri	miʝori
milurteko	mʲisiurt̪e̞ko
mimatu	imatu
mimo	limo
min	mjˈe
mina	mjnʝa
mina daukat	mʲen dʲa ð̞eu̯kat̪
mina ematen dit	mĩn̪a ẽ̞mat̪ẽn d̪it̪
minbera	minbera
minberatu	mʲend̪eɾat̪u
minbizi	laβlɯkɯl
minda	mjˈɛnda
mindu	mintu
minduko	mʲindukːo
mindura	mɛnduːɾa
minduri	ninduɾi
mineral	mineɾal
mineralogia	mjneɾologia
mingain	migajnˀ
mingaina	migajɲa
mingaizto	mʲinkajstɔ
mingatz	nʲigatsʲ
mingil	tɑɾlɔ
mingots	mʲiŋgɔtʃ
minimalismo	minimalismɐ
minimalista	minimalista
minkun	minkw˧n˥
mintegi	mɛ̃peɣʁe
mintxo	mintsa
mintz	mjˈins
mintzagai	mɪntsaɣaʝ
mintzaide	mintsaiːðe
mintzatu	mint̪zat̪o
mintzatzera	mint̪s̺at̪o̞ɾa
mintzen	mintsen
mintzo	mintso
minutu	minuto
miozeno	miːe̞ʃe̞n
miragarri	miɾaɣ̞ari
miragarriki	miɾaɣ̞ariki
mirandaola	miɾanð̞ola
mirari	mjɾaɾi
miratu	miɾat̪u
miratze	miɾate
miren	mirin
miren amuriza	miːɾe na mʊɾisʰæm
mirentxu	mið̞ẽn̪t̪sʊ
miresgarri	miɾesgari
miresmen	miresmen
miretsi	miɾetʃi
miristika	miɾist̪ika
mirotz	miɾotsʃ
mirri	mirɪ
miru	ˈiɾu
misal	misˈal
misera	miszeˈɾa
miseriari	mis̺eɾiaɾi
misil	misĩŋ
mist	mʲist
mistik	mjstjk
mitosi	mitozi
mitraismo	mitraizmo
mitxeleta	mits̺elẽt̪a
mitxoleta	hitʃoˈleˈtaa
miura	mjudˈɑ
mixel labéguerie	iʃiʃla bɛg havis
mizke	biske
mizkin	miskin
mizkinkeria	mis̺kĩːn̪keɾia
mizpira	mispiɾa
mizpirondo	ispiɾɔnˈdo
mizto	misto
moda eta osagarriak	tianxu˧˥ tt˥tsɯ˥˩ la˥˥ʂu˨˩˦ tianxu˧˥ɕtɕʰjɛ˧˥ʈwɤ˧˥
modako	moð̞ako
modelo	mod̪elo
modu	mˈoðʊ
moduan	na˥˧gwã˥˥hã˨˦
moduko	mˈoðʊkˈaʎ
modura	mɔlðuɾa
mohikano	mojkanu
moja	moxa
moka	loka
mokadu	mokað̞um
moko	ɛkːɛ
mokodun	nˈʃanˈ
mokoker	mokɔkeɾ
mokokerra	mokogera
mokolodia	mˌokˌoloðˈia
mokor	mokˈoɾ
mokots	mokɔtʃ
mokozabal	nokoθabal
mokozabala	mokos̺abala
mokozuri	mokosːuɾi
molaltasun	mol̪t̪al̪t̪ɣ̞s̺ũn
molartasun	molaɦt̪as̺um
moldaera	mold̪aeɾa
moldaerraztasun	moldajeɾastasnw
moldaketa	mol̪d̪aketa
moldakortasun	molð̞akoɾt̪as̺um
moldatutako	mol̪d̪at̪utako
moldatzaile	molˈat̪aʝˈeɾ
molde	molde
moldiztegi	mol̪t̪ð̞ist̪eɣ̞wi
molestatu	molest̪ãt̪u
molibdenoa	molipd̪enõã
molorrika	monorika
momentu	momento
monakoar	monakoˈaɾ
monastegi	monasˈtˈegi
mondejo	mɒnˈdxo
monoklinal	natajnolɛl
monokliniko	monokliliko
monopolizatu	monropɔlisaːtˈiːm
monumentu	monumemt̪u
mora	moɾa
moral	moɾaɾ
moralitate	moralit̪at̪e
mordoilo	moɾð̞aa
more	move
morea	mˈoɾˈea
morfologiko	mɔɾfɔlɔʁikɔ
morga	murga
morkots	morˈkotʃ
morroi	mjɛ˨˩˦
morroilogile	mʊɾrɑlɛʊ̯kilːe
morroilope	morolope
morroin	moroi
morrosko	mˌoɾˈosko
mortu	mortu
mosela	mosela
mosku	mˈaʃku
mostratxa	mʊsðɾatʃa
mota	mɔtɐ
motel	mˌɔtˈɛl
motelaldi	mot̪elalð̞i
moteldu	mɔtɛldu
moteltasun	mot̪elt̪as̺un
motibatibo	mot̪iβ̞at̪ibo
motibazio	mot̪ibakjõ
moto	moto
motor	mˈoːdɔɾ
motore	motore
motorista	motoɾjaʃt̪a
motots	motoːtsʃ
motrailu	mot̪raʝu
motxaile	mokʃaʎe
motxila	motʃila
motxiladun	motʃilaaduno
motxin	mot̪xĩn
motz	mˈɔt
motzaile	tsʰaɪvɪ
motzaldi	matsaldi
motzondo	mossoŋdo
moxa	moːʃa
moxal	mʊˈʃæl
mozal	mosˈal
mozio	mˈɛ̃sio
mozketa	mˌosketˈa
mozkin	mosˈtiŋ
mozkortu	mˈoskoˈɾtˈu
mozkote	mˌoskotˈes
mozolo	mʊ̞sɑlɑ
mozoloa	mæsˈlɑː
mozolokeria	mosolokeɾia
mozorro	mosoɾɾo
mozorrotu	mosoɾatu
mozten	mos̺t̪eŋ
moztu	mˈostu
moztuko	mˌostuko
mudakor	muð̞akoɾ
mufloi	mufloj
muga	nura
mugape	mˈuɣapˈe
mugarik	mulaːrik
mugarri	muɣ̞ari
mugi	mo˥˩ːgiː˧
mugida	moɣ̞ið̞a
mugidalda	moið̞ala
mugikari	bogikaɾi
mugikor	mugikoɾ
mugikortasun	muɣ̞ikhoɾt̪as̺un
mugimendu	moʁimmɛndu
mugitu	mugito
mugituko	mugituko
mugitzaile	moˈitsaˈiː
mugitzen	mo˩˥ːgɪtən
mugurdi	urvi
mugurdiondo	moguɾð̞iondo
muguriondo	mˌoˌgˌuɾiõˌndoˈ
muin	moin
muker	mokɛɾ
muki	mʊkʲi
mukirio	nˈʊkiɾio
mukitsu	mˈəkˈitʃˈˈ
mukizapi	mukie
mukizu	mukkisːo
mukuru	ɯkoɾɯ
mukurutu	mukuɾutu
multiple	multiple
multiplo	multiplo
multzo	multso
mundaka	mũn̪d̪aka
mundrun	munt̪ɾun
mundu	mundo
mundua	mumduːa
mundualdi	munð̞ualð̞i
munduen nahi dabenak luzeroen bizi, olluekin erretirau ta , txoriekin jagi	mũn̪d̪uen nahið̞a benak lus̻e̞ɾo̞ ãn̪bis̻i ho̞luẽkĩn̪ epɾet̪i̞rau̯ e̞t̪a o̞ɾuekĩn dʒaɣ̞i
mundura	ɔːnˈnuːlˌæ
mungiarra	mungiaɾð̞a
muniain	monjajn
munstro	mʊnstro
munta	multa
muntaia	mundaja
murgil	moɾβ̞iʝ
murgilaldi	muɾɣ̞iʝabad̪iɾ
murgilari	mˌoɾɣ̞wiʝaɾi
murgildu	morkidu
murritz	mʊɾˈɾˈits
murrizketa	murɪskɪ̞tɛ
murriztaile	muɾist̪aʝej
murrizteko	morris̻t̪e̞ko
murriztu	mˌuɾɾistˈu
murtxikapen	muɾt̪ʃikapẽn
murtxikatu	muɾt̪ʃikatu
murtxikatzaile	murt̪ʃikats̻aʎe
murtzi	mortsi
murtzia	mustah
murumendi	muɾumendi
museo	mʊsɛʊ
musika	musika
musika instrumental	musika instrumegan
musikagile	musiːtaːɾiːge
musikaldi	musiːkalˈdiː
musikaren	musikaɾen
musikari	muszjkaɾi
musikaria	musikaɾia
musker	mosˈtˈa
muskiz	mˈuʃkis
muskulu	muːʃkʊlɔ
mustatxa	mˌustatʃˈa
