-abel	ɑːbəl
terapeutisk	tæræpæʉtjɪsk
teresa	tˈɛrəsˌɑ
terese	tˈɛrˈɛsa
teresesgate	tød̥˩iˈɛsskot̪e
terge	tˈælgə
terje	sˌɐɾˈiɐ
terje bakken	tˈɛrje bˈɑtˈkeˈɛ
terje håkonsen	tæɢje̞hɒkəmsʉn
terje methi	tærje̞mete
terje rypdal	tɛrjɛr iːbda
terje rød-larsen	tˢɛrjɛ røːd lɑːʃˀɛn
term	tɒɾim
termin	tʃarmʲin
terminal	tæɾmjnɒːl
termisk	tˈɛrˈmiːsk
termiske	tærmijskjɒ
termodynamikk	tˈɛŋmˈanlˈʉnamˈɛj
termometer	tˢɛrmˀuːmətˢiːr
termometeret	tˈɛrmˈɔmətːrˌa
termometra	tˈɛrmˈɔmətˈrˈa
termometre	t̪eɾmomet̪r̥a
termometrene	tærmˈomətˈrɛnˈ
termos	tarɪmus
termosen	tæɾˈmˈusˈɛn
termosene	tærmʌsna
termoser	t̪æɾmʊsɯr
terningkast	tɛrnɪnkɔst
terningkast seks	tˈɛrnɪŋ kˈast sˈɛks
territoriene	tæritˈuːriːjɔnˈnɑ
territorier	pæɾˈitʊrˈɑ
territoriet	tæritˈuːræ
terror	tajɾuɾ
terroren	tærˈuːn
terrorisere	t̪eɾuɾjseɾɑ
terrorist	tælˈvɑst
terroristen	teroɾistɛn
terroristene	tˈɛrˈuristnˈa
terrorister	tʲɛrʊ̞ristɪ̞r
terskelen	tâˈʃkɛlɛn
tersklene	tɒʃkɾɒnˈɒˈ
terte	tˈɑːstə
tertialregnskap	tˈɛrtɪɑːlrˈɑːgɪnskap
teskei	tsɛː˧ːʃɛː˧
teskeier	tˈɛrʃaɪr
teskjeen	ˈteːʃən
teskjeene	teːrʃeːne
teskjeer	tɛntʃɛr
testament	tˌɛstamˈɛnt
testamente	tɛstamentə
testamentere	t̪est̪ament̪eɾe
teste	trɛsta
testikkelkreft	tˈɛstˈɪkəlkrəft
testiklene	klasiktˈekjˈalˈtˈ
tetgruppe	tˢeˀtˢgˌɾuːppə
tett befolket	tˈɛt bəfˈɔlkət
tett på	tˈɛt pˈoː
tetthet	tˈɛtət
tettsteder	tˢətsdˢiˀɑːr
texas	tˈɛksəs
thailand	tɑjˈlɯm
thailandsk	tˈaɪlˌansk
thailandske	tˌaɪlˌanskə
thailender	tˢai̯lˌeːnˌeːr
thailendere	tˈaiːlˈɛnːiɾˈɑ
thailenderen	tˈɑjlˈɛnˌɛɾn
thaulow	tˈoʊlˈʌv
thea	dˌiːzə
thea louise stjernesund	tˈɛːr lʉysə stˈɛrnə sˈyn
themsen	tɛmsɪm
theodor	tejuɾ
theodor kittelsen	tøøðogɯɾ køtest
theodora	tɛodura
theresa frostad eggesbø	tˈɛrɛsˌɑː frˈuːstˌaːd ɛdʒəspʰʉ
therese johaug	tˈøːrˈæzə jˈu hˈæv
thessaloniki	t̪ɪsaɫõnɛiki
thisted	tʰiː˥˩sat˨
thjømøe	søːmmˀɛ
thomas	tamas
thomas dybdahl	tˈɔməs diːv dɑːl
thomas har blitt sykepleier	tˈɑːməs hˈɑːr blˈɪt sˈiːkɛbˈlajr
thomas marco blatt	tˈɔmɑːs mˈɑːrkˈuː blˈat
thomas myhre	tˈɔmɑːs mˈyːrə
thomas rogne	tˈɔmant jˈɛl rˈɔŋiːnə
thomas tofthagen	tˈɔmɑstˈoːv tˈɑgɪn
thonar audun wold	toˀˀnar ɛʉdɪn boˀˀl
thor heyerdahl	tʰuːr hajr
thor hushovd	tˈuːr ˈʉsavd
thora	tʊra
thoralf albert skolem	tˈɔrɑːls ˈalbɔɾt sxuːlˌɛm
thorbjørg	turɓørɟ
thorbjørn	tˈuɹˌibˈɪəɾn
thorbjørn egner	suɾɓiːnɾiːəɾdnɾ
thorbjørn harr	tˈɒbˈiɒn hɒg
thorbjørn jagland	tʰulb jøøn jøøŋ ˈglɑm
thordis	tˈɪðˈɪs
thore	tˈuːrə
thore langfeldt	tˈuɐrə lˈaŋfəlt
thoresen	tˈuɾɪsin
thorhild	tˢoˀrhˀɪl
thorleif	tˈudlˈaɪf
thormod	tˌuɾɨmˈowdʊ
thorolf	tʊrɔlf
thorstein aaby	tɔztajn ɔɾbe
thorstein veblen	tˈɔɾʃtaɪn vˈˈɛblɛrˈn
thorstensen	tˈɔɾʃtˌɛntsən
thorvald	tˈuɐvˈɑl
thrym	tʏ̞rʏm
thune hammerstrøm	tsˈʉnə amˌmˌɛːrstrøːm
thymus	tˈimˈɪθ
ti	ti˥˩
ti over halv ti	tˈiː ˈoːvər hɑːl tˈiː
ti over åtte	tˈi ˈoːvər ˈɔtːə
ti på halv ti	tˈip pˈɛˈɛ hˈɔlt tˈi
ti på åtte	tˈi pˈoː ˈɔtːɑː
ti tusen	ti˥˩ tɹˈisɛ
tid	tˈiːm
tidd	tˈid
tidde	tˈidːa
tidemands gate	tˈiːdə mˈan ʃatə
tiden leger alle sår	tˈiːdən lˈægə ˈɑllɑsˈuːʁ
tiden vår er dessverre ute.	tˈiːdən vˈoːr ˈɑɐɾəs sˈɑrə ˈʉtə
tidende	tid̥m
tidene	tˈiːdnə
tidevann	tʃiːtʃãm
tidevannsstrøm	fiːdəvˈanˈstˈrøːm
tidevannstrøm	tˈiːdəvˈanʂdrˈøːm
tidkrevende	kʰiːtsgˈrɛvɪnˈa
tidlig i ettermiddag	tˈiːlˌiː ˈiː ˈɛtɛ mˈiːdɑːg
tidlige	tʰiː˧˥ljɛː˧
tidligere	tˈiːlˌiːə
tidligst	tˈiːlˈɪkst
tidløs	tˈiːdlˈæs
tids forbruk	tˈɪts fˈɔr brˈʉk
tidsalder	tʰitsalˈde
tidsbesparende	tˈitsbəspɑrnə
tidsfordriv	tˈitsfɚdɹˈim
tidsforløp	tˈitsfˈɔɹœp
tidsforskjell	d̥itsfɔːsʃaɪn
tidshorisont	tˈɪtsˈɔvəlˌɛːsˈɔnt
tidskontroll	fˈɛstskɵnˈtɹəʊl
tidslinje	tˈiːtslˈɪnə
tidsmaskin	tˈitsmˈɑʃiːn
tidsmåler	tˈɪtsmˈɑlɛr
tidsnød	tˈɪtsnˈød
tidsoptimist	tˈɪtˈtˈibːtˈɪmɪst
tidsreise	tˈitsrˈajsa
tidssona	tˈɛtsˈɔnˈa
tidssonen	tʰiːt˧sʊŋ˨˩
tidssoner	tˈɪtzˈuːnər
tie stille	tˈiː stˈɪlə
tiende	tʰi˨˩˦i˥˩n˥˥lan˥˩
tiende etasje	tʰiː˧˥ ˈnæd tˢoːˌxˌɛː
tier	tˌiːr
tifold	tˈiːfˈˈɑl
tigd	tegidɯ
tiger	t̪iːkɪ̞ɾ
tigge	tˈɪkːa
tigger	tˈɪgˈuf
tiggerne	tˈɪgarnˈø
tigget	tˈɪgːɪt
til	tɪl
til avtalt tid	tˈɪl ɑːvtˈhɑːlˌtˈ tˈiːd
til enhver tid	tˈɪlˈɛn vˈɛːr tˈiːd
til evig tid	tˈɪl ˈɛvvi tˈiːd
til felles	tˈɪlfˈɛlləs
til frokost	tˈɪl frˈuːkˈuːst
til gjengjeld	tʲilɪ̞kæn njæl
til høyre	tˈɪl hˈøːjra tˈɪl hˈøːjra
til høyre for	kje˩˥ːkɔ˨˩˦ʃ˧˥
til leie	tˈɪ lajə
til lykke med dagen din	tˈɪ lˈykkə mˈeːd dˈɑːn dˈɛn
til meg	tˈiːl mˈaj
til meg selv	tˈɪl maɪsˈɛl
til minne om	tɪ̞mɪ̞n nõːm
til og med	tse lɔnɔ
til overs	tsiːloːvɪʃ
til salgs	tˈɛ sˈɑ̃ks
til sammen	tˈɪl sammən
til sjøs	tˈɪl ʃɛs
til slutt	tˈɪl ʃlˈʉt
til topps	tˈɪl toːps
til tross for	tʃiːl tɾosˈfɑl
til venstre	tˈɪl vˈɛnstrə
til venstre for	tˈɪl vˈɛnstrə fˈɔr
tilbad	tˢɪlˀbaː
tilbake	tˈɪlbˈɑːkə
tilbakebetale	tˈebɑːkibədˈɑːrlə
tilbakebetaler	tˈeːbɑːkjfɛrtˈɑːrlˈeːr
tilbakebetaling	tˈeːbɑːkˌabətalˈɛŋ
tilbakebetalt	tˈɪvɑːkjəbətˈɑːlt
tilbakebetalte	tˈiːbakebˈøːtːaˈaltrø
tilbakeblikk	tˈɪlbˈɑːkblˌɛk
tilbakegang	tʲɪlbɑːkʲɪgɑːn
tilbakemelding	seˈbɑːrkɪˈmɜlɪŋ
tilbakemeldingen	tˈɪbakeːməlˈiːŋən
tilbakemeldinger	tˈiːbɑːkˈiːməlˌɪŋər
tilbakeskritt	tˈiːbˈakjəskrˈɪt
tilbakeskuende	tˈɪlbˈɑːkˈasxˈøːma
tilbakeslag	tˈeːbˈɑːkɛrslaɐg
tilbakespoling	tˈɪlbakˀɛspuˀlˀɪŋ
tilbakespolingsknapp	tˈɪlbakəspˈoːliːŋskˈnɑːp
tilbakestående	tˈɪlbɑːkəstˌoːna
tilbaketrekking	tˈɪlbˈɑːkjətrəkkːiːŋ
tilbaketrengt	tˈɪlbakˈɛtˈrɛŋt
tilbakevendende	tˈɪlbakˈɛvənˈnˈɛ
tilbakevendingsseksjon	tˈiːbˈɑːkvənnˈiːŋsˈɛkːsuːn
tilbakevendt	tˈɪlbakˈɛvənt
tilbakevise	tˈiːbˈakvizˌa
tilbe	tˈilˈibˈɛ
tilbeder	tjlbeːðər
tilbedt	tˈɪlˈbetː
tilbehør	tˢilb̥eːhøːr
tilber	tilber
tilberede	tjlbræðæ
tilberedningstid	tˈɪlprˈɛtnɪŋstˈeːd
tilberedningstiden	kʲiŋi̠rʲæ̀i̯tnʲìŋʲistʲìːdʲi
tilblivelse	tˈɪlblˈiːvəlsˈa
tilbragt	tˈɪlbrˈɑːkt
tilbrakt	tˈɪlbrakt
tilbrakte	tˈɪlˈiːnbrˈaktə
tilbringer	tˈilbrɪŋi
tilbud og etterspørsel	tˢɪlbud̊oɐ etˢeːr spˢɵl
tilbudene	tˈɪlbudnˌa
tilbudet	tˈɪlbydˌa
tilbudt	tˈɪlbˈʉt
tilby seg	tʃiːl besaːj
tilbyr	tˢiːlbyːr
tilbød	tˈɪlˈbˈø
tilde	tˈɪldˈeː
tildele	tʃi̠l˥˧tæe̞læː
tildeling	tˈɪlˈɛnˈ
tilegne	tɪlˈaɪnə
tilegnelse	tilˀlˀajˀnəlsˀa
tilfeldig	tselvalre
tilfeldighet	tˢɪld̥fəld̥ið̩
tilfeldigvis	tˈɪlfˈœldˈiːvˈiːs
tilfellene	tjlfɛllmˈɑː
tilfeller	tjlˈkale
tilfellet	tˈɪlfˈɛllə
tilfluktsrom	tˈɪlfjˈutˈu
tilfreds	tˈɪlfrətːs
tilfredse	tˈɪlfrˈɑtsɑ
tilfredshet	tjlfrətsət
tilfredsheten	tsiːlfratˈseːrtˌn
tilfredsstille	tˈɪlfrˈɛtˈstˈɛllˈ
tilfredsstillelse	tˈiːlfrədˌsdˈiːllˈɛlsˈa
tilfredsstillelsen	tˈɪlfrɪtsdˈɪlˈlsən
tilfredsstillende	təlʁˈatˈsjlˈnˈa
tilfredsstiller	tˈɪlfrətːstˈɪllər
tilfredsstilt	tˈɪlfrətːstˈlt
tilfredsstilte	tˈɪlfrətˈsdˈɪltˈa
tilføre	tˈɪlfˈøːrˌa
tilførsel	tˈɪlføːrˌsøːl
tilføyde	tˈɪlføjda
tilføye	tˈɪlfˌœjə
tilga	tjɪlga
tilgang	kilkoːnˀ
tilgangen	tˈilˈigˈɑŋən
tilgangskode	tilgɑngsko˥˩ːda
tilgav	tjˈɛlgˈa
tilgi	tʃe̞lˈje̞
tilgir	tˈelˈiŋʒw
tilgitt	tjljˈət
tilgivelse	tˈɪljəvəlseː
tilgjengelig	tjˈljɛnglˌɪ
tilgjengeliggjøring	tʃtjljnɦlʃjɾiŋ
tilgjengelighet	tʲɪljɛŋlʲɪghːt
tilgjengelighetsinnstillinger	tˈɪliːŋlˈætsɪnsɪlˈiɹ
tilgodelapp	tˈɪdgˈuːdlapp
tilhenger	tˈɪlhɛŋiɾ
tilhengere	tˈɪshˈɛŋrə
tilhengeren	tˈɪshˈɛŋɛrn
tilhengerne	tˈɪlhˈɛŋjana
tilhøre	tˈɪlˈøːra
tilhører	tˈɪlˈøːrər
tilhørerne	tˈɪlˈøːrˈarˌna
tilhørighet	tˈiːlhˈøːriːhˌeːt
tilhørt	tˈilœ̃t
tilhørte	tˈiːlˈhˈœrka
tilintetgjøre	tjlintetjøːre
tilintetgjørelse	tˈɪlˈɪntətjˈøːrəlsˌa
tilkalle	tʰilɪkoɫæ
tilkallingsvikar	fɪlkalɪŋsvikaɾ
tilknytning	tˈɪlknˈɪtˈnɛŋ
tilknytninger	tˈilˈiːknˈɪknˈɪgɛr
tilknyttet	tˈɪlknɪːtˌat
tilkopling	tˈɪlkˈɔpːlˌɪŋ
tillat	tsjˈɛlˈlˈɑkt
tillate	fˈɛstˈɑːr
tillatelse	tˈiːlaɾtəlsə
tillater	kilæfteːd
tillatt	tʃila
tillegg	tˈɪləgg
tillegge	tˈɪllˈɛgːa
tilleggene	tˈɪlləgˈiːnə
tillegget	tˈillɛŋə
tilleggskurs	tˈɪlˈləgzkˌʉs
tillit	tʰɪ̞nlɪ̞k
tillitsforhold	tˌɪllɪtsfˈoːrhˌɑl
tillitsfull	tˈɪlɪtsfˈœll
tillitsvalgt	tiːlˈlɪt˧srɔːkt
tillitvekkende	tˈɪllˈɪdvəxˈɛnˈa
tillot	tˈilˈˈoːtˈ
tilnavn	tˈɪlnˈɑːn
tilnærme	tˢɪlˀmɛrˌmə
tilnærming	tjlˈmˈɑːrɪmˈinː
tilpasning	tjlposnˈeːŋ
tilpasse	tjlˈpːaːsˌe
tilpasser	tˈɪlpˌasər
tilpasset	tˈɪlpasˈøːt
tilregnelig	tilrˈajnɛlːɪ
tilregnelighet	tˈɪlɪtˌaɪnəlˌiːhət
tilrettelegge	tˈɪlrˈɛtːəlˌɛgə
tilrettelegging	tˈɪlrˈɛtːəlˌɛgːɪŋ
tilrådelig	tˈɪlˈoːˈdˌɛlˌiː
tilsatt	tˈɪlsat
tilsatte	tˈilsatːə
tilsende	tilsˈɛndˈɛ
tilsette	tˈɪlsˌɛtːə
tilsetter	tˈiːlzɛtːər
tilsi	tsjˈilsˈe
tilskudd	tʃiːlɪskɪt
tilskuer	tjɛlˀsg̊ˀər
tilskyndelse	tˈɪlsˈinnˈʉsa
tilslutning	tɛlˈʃlʊspnˈ
tilslørte bondepiker	tˢi̯lsjøːtˢə bˈʊnəbˈiːkːɛɾ
tilspisset	tˈɪlspisət
tilstand	tˈɪlˈstˈam
tilstanden	tˢiːllstˢanən
tilstandene	tˢiːllˢstˢanŋeː
tilstander	tˢiːlˀstˢanə
tilstandsverb	tˈɪlstˈansvˈarb
tilstede	tʲɪlstʲed
tilstedeværelse	tˈɪlstədˈɛɐ̯vˈɛːrəlsə
tilstrekkelig	tˈɪlstrˈɛklɛ
tilstrekkelige	tˈɪlstrˈɛkːlˈiːja
tilstå	tˈɪlstˌoːr
tilståelse	tˈɪlstˈoːlsˈe
tilståelsesdom	tˈɪlstˈoːlsˈystəm
tilstår	tˢiːlstˢoːr
tilsvare	tˈilsvara
tilsvarende	tˈilsvɑːrəndə
tilsvart	tˈɪlsvˈɑːrt
tilsvarte	tˈilsvˈɑːrtˈæ
tilsyn	tˈɪlsˈyːn
tilsynelatende	tˈɪlsɪznɑdɑmɑː
tilta	tˢelˢtˢɑˀ
tiltak	tˈɪltˈɑːk
tiltakene videreføres.	tˈɪltˌɑːkən ˈɛn vˈiːdərə fˈøːras
tiltaket	fˈɪlːtˌakːˈa
tiltale	tˈɪltˈɑlˈa
tiltalende	tiltɒlni
tiltalt	tˈɪltˈhˌalt
tiltatt	tˈɪlˈtˈatts
tiltok	tˈɛltˈɔk
tiltrakk	tˈɪltrˈakː
tiltrekke	tˈɪlˈtrəkːe
tiltrekkende	tˈɪltrˈɛkːina
tiltrekker	tˈɪltrˈɛkːər
tiltrekning	tˢɪltr̥ɛkːnᵑg
tiltrekningen	tˈɪltrɛknˌɪŋən
tiltro	tˈelətˈu
tiltrukket	tˈɪlˈtˈɾˈukːa
tilværelse	tˈɪlværɛlsə
tim	t̪e
time	fima
timeglass	tˈiːmarglˈɑːs
timen	tˈiːmən
timene	tiːmɪ̞nɪ̞
timer	tˈiːmər
timian	tˈɪmjan
timianen	tˢimˢ˥jɛnˢ˥
timianene	tˈɪmjɑnlˈna
timianer	tˈɪmjˈænər
timoteus	tˈɪmˈoːtˈɛus
timpani	tʃiːzitʃiː
tina	tˢiˀɔˀ
tindebestiger	tˈɪndˈɛbəstˈiːgɪr
tine	tjˈɛnə
tine thing helseth	tˈiːnə tˈɪŋ hˈɛlsət
ting	tˈɪŋ
tinghus	fˈɛŋəs
tingrett	tˈɪŋrət
tingvoll	tʃiŋ˨˩bou˥˩
tinn	tsiːn
tinning	tsʰiːn˧˥
tinninglapp	tˈɪnɪŋlˈap
tipp topp	tˈɪptˈop
tippe	tˈɪpˈa
tippeliga	tipɛlɛgo
tippeligaen	tˈɪpiːlˈiːgan
tippoldebarn	tˈɪpəldˈəbˈɑːrn
tippoldefar	tipːoːlˀdɛfɛːr
tippoldemor	tipːoːldˈɛmˈuːr
tips	tˈips
tipse	tˈɪpsˈɛ
tipsene	tˈipsnˈ
tipser	tipsə
tipset	tipˈsə
tirana	tˈɪrˈɑna
tirane	tˈiɾane
tiril	tjeːrɛl
tirsdag	tˈiːstˈɑːg
tispe	tjˈspˈɛ
tiss	tis
tisse	tˈɪs
tissefant	tʃiːzːimɑːl
tistel	fistl
titalls	tˈiːtˈals
titan	tiːtaːn
titlene	tˈɪtləna
titler	tˈitlər
titt	tɪt
titte	tˢitˢə
tittelen	tˈitəl
titter	tˢɪtˢɛ
tittet	tˈɪtˌɪtˈ
titulere	tˈitsulərə
titusen	setˈøˈsˈnˈ
tiur	tiu
tiuren	tˈiːrˈn
tiurene	tˈijˈʉrnə
tiurer	tˈijˈʉrər
tivoli	tivole
tiårene	tion
tiåret	tˈiˈoːre
tja	tʃa
tjeldstø	kjˈɛlstøː
tjeldsund	sjˈelsyn
tjeldøya	tʃɛlːɛjoj˧
tjene	tsʲæna
tjene et formål	tˈeːnət fˈøːrmˌoːl
tjene penger	tˈjˈɛnə pˈɛŋiːɾ
tjener	sjˈaŋdət
tjenere	tjˈɛnrˈɛ
tjeneren	tˈeːnər
tjenerne	tjˈɛːnɛn˨˩
tjeneste	siːrnist̪a
tjenestekvinne	tjˈɛnˌɪstɪkvinnˈi
tjenestemann	tˈɛːnəstˌɛman
tjenesten	seˈɑmɯz
tjenestene	tʃijannesna
tjenestepike	tˈeːnstəbˈiːkə
tjenestepiken	teːn˩˥st˩˥piːke˥˩n
tjenestepikene	tjˈɛnɪstəpˈiːkɪnɛ
tjenestepiker	tˢeˀnɛstɛpˢiːkɪr
tjenester	jɑnɯztɯɾ
tjenestereise	tʃeˈjɒnɒsɒˈgɒisa
tjent	tjˈɛnt
tjente	tsjˈɛnto
tjernagel	ʃɛːrnˈoːg
tjommi	sjumme
tjomsland	ʃuːnˈuslan
tjue	syː
tjueen	ʃʉːt̚˨˩eːn˩˩˦
tjuefem	syʁˌfˈamˌ
tjuefire	tjˈʉfˈiːrə
tjuesjette	ɕʉʃæˈseˈ
tjuesju	t̪e̞ɾ̥ɯ̞s̺t̪e̞ɑɾnəmniːtʰɑjɑː
tjuesyv	hˈudˈɛsthˈi
tjueto	siwˌjatuː
tjuetre	hˈivˈeːtɾe
tjukk	syk
tjukkas	sˈykkːˈaf
tjukkasdrakt	tʃˈʉkːarːsdrˈakt
tjukklefse	ʃukːlæfsæ
tjukkmjølk	sjuːkmˈørk
tjukktarm	sypˈtøn
tjuv	tɕˈyːv
tjuveri	kˈavˈelˈi
tjuvholmen	tʃyɾbɔlmɯn
tjuvstart	tjˈʉfstˈart
tjuvstarte	tjˈʉvstˈartə
tjære	ʃara
tjøme	ʃemmə
tjøtta	kjatːa
to	tu
to hundre	tˈuː hˈɵndrə
to millioner	tˈuː mˌɪlˈiːˈuːnər
to og en halv	tuː ɔ̞n hɔ̞l
to og før	tˢoˀ fˈøːr
to og førti	tˈuː ˈɔk fˈøːrtə
to om natta	tˈu ˈɔk nˈatːa
to på natta	tˈu pˈoː nˈatːa
toalett	boalɛ
toaletta	tuhˈæɹlˈɛtˈɑː
toalettene	tˈuhˈɑːrlˈɛtːana
toaletter	tˢoˀˈjɛtər
toalettet	tʊɐlɛstɑ
toalettkabin	tˢoˀlɛtˢkaˀbĩˀn
toalettlokk	tˈɑːlˈʌtlˈɔk
toalettpapir	tˈoːlətpapˈiːr
toalettpapiret	dˈʉhˈɑːrlˈɛtːtpˈɑːbɪrˌeː
toastbrød	tˈɔsbrˈʉ
toastbrøda	tˢoˀuːsdrˈøːa
toastbrødene	tˈɔusbrˈøːnˌa
toastbrødet	tˢoˀˢsbrʉə
tobakksdyrking	tʊbːakːsdyːrkiŋ
tobakksforretning	tˢuˀbbaːksfˈøːrətnˢiːŋ
tobarnsfamilier	tˈubˈɑːnʃfamɪlˌeː
tobarnsforelder	tˢoˀbˢaɾnsfɒɾeld̥ɛɾ
tobias	tuːbˈiˈʌf
tobias brandal busæt	tˈuːbjia brˈandal bˈʉsɛt
tobias santelmann	tˈu bˈiːas sant tˈɪl mˈan
todelt	tˈɔdəlt
toer	tˢuːɾ
toftes gate	tʌftɑs gɑːtɑː
tofu	tʊfˈø
tog	tɔdʊ
togbilett	tɒgbelæt
togene	tɔgɛnˈɑ
toget	tˢuˀɑːgˀɛ
toget til oslo	tˈoːgɪt ˈiː lˈʊʃlˈoː
togpendler	tˢoˀgpənlˌeː
togskinner	tokkəndˈnˈuːx
togstasjon	tˈuːgstˈɑːkjˈuːn
togtur	tɔgtøɾ
tohendt	tuːˈˈɑːj
tohundre	tˈuhˈɛ̃ˈa
tok	tok
tok bussen	tʊk bøsˈsɛn
toksikologi	toksikogai
toksikologisk	toksikologisk
toksin	toːksi
tokyo	tˈukə
tolerabel	tˢolərˈɑbɯl
toleranse	tɔɫɑɾaŋsa
tolerant	tˌɔlɛræn
tolerante	tˌɔlɚˈɑŋjɛ
tolerere	tʃlexɛre
tolererer	tˈoːlərˈɛɾe
tolerert	tˌoːnərˈɛːt
tolererte	tˈɑleːrətə
tolk	tˈɔlk
tolke	saːrlkke
tolken	tˈɔlgɪn
tolkene	tørkina
tolker	tʃoɾɯkkir
tolket	tˈoːltˈɛkt
tolkning	tɔlknɨŋ
toll	tɔrb
toll- og avgiftsetaten	tʃoɫːo ɑvjɯbs ɛtɑtn
tollak	tʊrˈlɑk
tollbetjent	tˈɔlbˈɛtˈent
tollef	tʰulːə
tollefsen	tˈɔlˈɛfsɪŋ
tollen	tʃoːnˀ
tollfri	tˈɔlfri
tollfrie	tˈɔlfrˈiːˈa
tollfritt	tˈɔlfrˈɪt
tollseddel	tˈɔlsɛddɪl
tollvesenet	tɔlʋeznɑ
tolv	tɔ
tolvfingertarm	uzeŋutuð̞n
tolvfingertarmen	tɔlsɛɲitˈfɑrmɯn
tolvsrød	tˈɔlsɪrˈa
tolvte	tˈoltə
tolvte etasje	tˈɔltə tˈɑːr sˈɛ
tom	tɑm
tom arne fossheim	tˈɔm maːrn ə fˈɔs hˈaɪm
tom egeland	tˈɔm ˈɛgəlˈɔn
tom høgli	tˈɔm hˈøːklɪg
tomannsbolig	tˈuːmansbˈoːlə
tomas	tɔmɑs
tomas espedal	tˈɑːmˈa sɛspədaɾ
tomat	tomat
tomat sild	a moːd sɪti
tomaten var gammel og vassen	tˈoːmɑːtən vˈɑːɾ gˈɑːməl vˈɑːɾstən
tomatjuice	tˈumˈɑːrdjˈʊs
tomatpuré	tʃiːzitʃiːˈre
tomatsalat	tʊ̞mɑʊ̞tsɑɫɑt
tomatsaus	tʊmɑːrtsɛs
tomatsausen	tʊmɑːrtsəˈɪsən
tomatsausene	tˢumatsɛʋusna
tomatsauser	tʊnmɑʊ̞tsɑusɪ̞r
tomatsild	tʰomɑtɕiɮ
tomatsuppe	tˈumˈɑːtsˈʉpːˈa
tomatsuppen	tʊmɑːtsɪpːɛn
tomflaske	tˈʊmflˈaskˈɛ
tomhendt	tˈumˈɛnt
tomhet	tˈɔmˈɛt
tomine mikkeline eide	tˈom miːnˈɛ mˈɪk klˈiːna ajːdə
tomlene	tˈɔmɛlˈɛnˈɑ
tomler	tˢomlɛr
tomma	tʊmˈmaː
tomme	tˈɔm
tommel	tˈɔməl
tommelen	tˈɔmɛlˌɛn
tommelfinger	tˈɔməlfinˈiɾ
tommelfingernegl	tˈɔməlfˈɪŋənnˈɛjl
tommelfingerregel	tˈɔməlfɪŋiːrˈeːgɪl
tommeliten	tˈɔmɛlˌiːtən
tommen	tˈɔmən
tommene	tɔmˈmɑnˈnɑ
tommer	tˈɔmər
tommers	tɔmɯʃ
tommestokk	tˢoˀmˀmˈustˀoˀ
tommy	tɔːmɪ
tomt	tɔmˈt
tone	tˈum
tone helene wikse	tˈuːnə hˈɛlˌeːnə vˈɪkse
tonefall	tˈuˈɪnðəfˈɔl
tonem	tunˈɛm
tonemisk	tuːneːmisˈk
tonic	tˈɔnəx
tonje	tʊŋˈneɪˌa
tonje brenna	tˈɔn jˈɛ pˈɛˈɛ nˈɑ
tonje skinnarland	tˈɔnni ˈɛːr sˈɪnˈallˈam
tonn	tˈɔn
tonnevis	tˈɔnvˈɪs
tonsenhagen	tˈˈunseːnhˈagən
tonsill	tˈɔsˈɛl
tonsillen	tˈɔnsˈɪlən
tonsillene	tˈɔnsɪlˈɛnˈ
tonsiller	tˈɔnsˈɪlər
tony	tʊni
topas	tupas
topografi	tɔpogɾafˈi
topografisk	tupografis
toppavsetning	tˈɔpˈavsˌɛtnɪŋ
toppdivision	tˈɑːpdˈɪdviziːoːn
toppe	tˈɔp
toppen av isfjellet	tˈɔpən ˈɑːv ˈɪsfjələ
toppers	tˈɔpɜʃ
topphemmelig	topɛmlj
toppidrett	tˈɔpiːdrˈɛt
toppidrettsutøver	tˈɔpiːdɾˈɛtːsˈʉtˌøːvər
toppkamp	tˈopkˈamp
toppmøte	tˈoppmøːta
toppscorer	tˈɔpskɔvˌeːrˌiː
toppsjef	tˈɑpʃɛf
topptekst	tˈɑptɛkst
topunktsbelte	tˈoːpˌʊŋˈsfˌəçtˈə
tor	tɔz
tor erik hermansen	tˈuɐ ˈɛrɪk hærmãnˈsən
tor erling staff	tˢoˀɾə ælˀiːg stˢaf
tor jonsson	tˈuːr jˈʊnsˌoːn
tor mikkel wara	tˈuːr mˈɪtːil vˈara
tor ole skullerud	tʃiːzi uːɫæs kɪldiːɣæːd
tora berger	tˈuːra parˈgeˈr
tora trønnes lilleeggen	tˈuːra trˈœnnəs lˈɪlːəlˌeːgən
toralf	tˈuːralf
torben	tʊ̞rbʏn
torbjørg wassmo	tʊrbjɛrgwasmu
torbjørn brundtland	tˢoɾbˌiːɾn dˈʉnblɑːn
tord	tˈuɾɨd
tord asle gjerdalen	tˢoˀrð aslˀe jˈæðdal
tord gustavsen	tˈɔrdˈi gystˈɑv sɯn
torden	tʃiɾˈdin
tordenen	tuʁdˈiʁdˈŋ
tordengud	tʃurʲitgʉd
tordenskioldsgate	tˢoˀɯnʃoˀʃoˀˈatðe
tordenskjold	tˈɑstədˈɛnʃˈɑl
tordenværet	tˈʊrdɪnvˈɑːrə
tordis	tˈʊɹdəs
tordne	tʊrðla
tore andré flo	toran brəflˈu
tore bjørgo	tuːrɛ bjɛrguː
tore reginiussen	tuːrɛɾgjˈnˈeːvse
tore strømøy	tˈuːrə strˈøːməj
tore tvedt	tˈuːrə tvˈɛt
torfinn	tˢuˀiˀlˢfˌɪnˀ
