'ржена	rʒɛna
полска	pɔˈsk
полуживот	pɔɫʊʒivɔt
полураспаѓање	pulrɛspagɛnjɛ
помагаат	umagis
помагаш	oˈmɑʁɑs
помали	pumali
поместено	puvmɛstɐn
помина	vomina
поминаа	pormina
поминам	puːminːɐm
поминува	pominua
поминувајќи	vominʊvaiki
помириса	pumiɾisa
помисли	pomisle
помислува	pluɛmisːla
помлади	ponnlad̪i
помогнат	pomɔgnɔt
помогне	pomogne
помош	vomoʃ
помрачи	pomɾatʃi
помфрит	pˈomfɹˈɪθ
понатаму	pˌanatˈim
понеделник	pone˥˩ːdɔlik
понекогаш	bonnekokas
поплава	poplɑ
попладне	kʊ̞tɫɑtmɯ̞
поплака	puplɐk
попокатапетел	upuxɐtɐpˌetˌɐ̃ʊ̃
пополека	pɔpɔlɛk
пополни	pɔpɔɫni
поправи	uprave
поправки	puprɛvk
попуст	ofuz
поради	pɔɾavɨ
порака	owɾakɯ
пораснат	orasnod
порасне	porɛsnɛ
пораст	tʊras
пораѓа, се	se pˈɔr ʒˈa
поредок	oradɔk
породено	ʊ̞rʊ̞dʊ̞m
порок	pɔruk
портокал	pɔɾtɔkɔl
портокали	poɾt̪okale
портокалова	pɔrtokaɫoa
портокалово	pɔɾtukɑɫɔ
португалија	poɾt̪uɣ̞alia
посакувам	puˈsakoˈvam
посериозно	poˈsɛrɪjɔzmu
посети	poseti
посетив	pɔsɛtˈiv
посејдон	poseidʊ
после	postlʲ
последица	po˥˩ːsli˩˥ːtitsa
последиците	posʲlʲadsʲitsʲita
последниот	pʊstɫɛdnʲɔt
последните	qosʎɛtnʲitæ
последно	pɔslɛdno
последното	po̞sɫʲednoto
послушници	pɔsluʃnɛtʃi
посочува	poso˥˩ːtʃua˥˩ː
пост	pɔst
поставена	pɔstɑvɛnɑ
постапил	pɔstapeɫ
постапка	postatko
постапки	po̞stapk
постапките	pu̞stopki̠tɪ̞
постар	pˈostɚ
постари	uːstaraːi
постелнина	posteõn̪ina
постер	pɔstɛr
постери	pɔstɛr
постмодерен	pustmaːlderɛn
постоење	pustuẽn̪ʲ
постои	po˥˩ːsto˥˩ːji˩˥ː
постојано	postojano
пострашна	pɔstrʌʃnɔ
пот	pɔpˈɔ
потврдено	pɔtfrɛdɛnˈu
потврдила	pɔtvɛrdila
потврдно	tutrdno
потекло	pɔtɛgɫɑ
потешкотии	bodəʃˈgɑːtˈiː
потоа	pɔtɔ
потпирач	pɔtpiːratʃ
потрага	pɔtraga
потреба	potreva
потреби	putɾɛbɪ̞
потребно	pɔtrɛbno
потрошите	pɔtɾɔʃitɛ
поттикнува	pɔtikˈnua
поубав	oɫ
поуки	pˈoɫt
поучуваат	boːʒoːtʰ
поучување	pɔutʃuvɑɲiɛ
поцрвенува	pɔtsərʋɛjˈnuva
почетник	oːtʃtʃaːɾtnk
почеток	pɔtʃatɔk
почетокот	otʃetokot
почна	ɔtʃna
почнала	pˈotʃnaɫa
почнале	pɔtʃnale
почне	pɔtʃnɛ
појадок	ojˈaˈduk
прав	brɑf
правам	braɾ
прават	braːvˈat
правец	la
прави	braːvɪ
правила	pravjola
правилен	travjlɛn
правилна	pɾavɨunɔ
правилно	pravjɔlnɔ
правите	pravite
правиш	bˈɾˈaːlˌiʒ
право	bravˈo
правци	kraːfts
прага	praɠa
празеодимиум	pɾazɨow
празници	praznitɛ
празно	praːzn
практични	pra˥˩ːktitʃni˩˥ː
прасе	prɛˈse
праска	bˈrˈazk
пратеници	pɾatɛjnitsi
прачка	bratʃka
прашаа	brasa
прашања	prasãn̪ʲa
прашање	prasaniɛ
прашањето	tɾasˈaɲetˈo
прашина	pɾaːtʃina
прашува	praʂu
праќа	brakja
прв	brˈɛf
прва	prɨla
првата	pɛrvɛt
првенствено	prɔʋænˈstʋɛnoː
првиот	pɾɛwt̪
прво	pɾɔbu
прдеж	kərdəsh
пребара	tɾɛjbalaː
преведува	prevedua
превезува	tɾɛvɨsu
превзема	prezɛma
превод	priːvɨts
превргнува	ɾɑjfərəgnʊmɑːr
превртува	prɛvɛrtuaː
прегласна	ɾaglaznˈɑ
преглед	rˈeɣlˈɛd
преградувам	pɾɛgɾadɔvɑŋ
прегратка	prɛjgratka
прегрне	brɛjgɛrnʲɪ
пред	pɾẽn
пред дождот	pɾet dosdut
предава	rɛdaːlaː
предавална	pridavall
предводел	pɾɛdvodɛl
предел	ʁˈaː
предизвика	pɾɛdizvika
предизвикано	prɛdɨzvʲikano
предлагам	predlægɐ
предлог	prenog
предмет	prenmɛt
предмети	predmɛt
предна	pɛɾˈeɪtn
предуслов	preduslov
предјадење	pɾɛdijadɛŋ
преживееме	prenɛziveme
преземат	pɾesemat
преземеш	prezɛmɛʃ
презиме	pɾezimɛ
презира	pɾezjɾa
преименува	pliːmejnɔvɛ
преиспитува	preispjtula
прекрасен	prekɾasen
прекрасна	prɛjkrosna
прекршок	ˈprɪkɾəʃˌapk
преку	pɾˈeku
премиер	pɾemjˈeɾ
премин	peremin
премногу	prɛmnuˈgu
пренагласен	prenagloðan
пренесе	tɾenɛtɛ
преовладува	preuvɫaduvɛ
преоптоварен	liʔoptuːvjɛn
препад	prəpatː
препиши	prepʃi
препознава	prɛpɔʊznaɫɐ
препознаен	prɪpɔzɑne
препорача	prepuratsʲ
препорачал	pripɔratʃɐɫ
препреки	pˈripˈɾˈkɪ
прераспределува	prɨrɔzprɛbjɛwɔ
пресврти	preseɾti
пресек	pɾɛjsɛk
пресекува	prɛsɛːkua
прескапо	fɾɛskapo
прескокнувате	prɪskuknuvatɛ
преспа	respon
преспанско езеро	poɾ espans kʷɛzɪɾˈum
преспие	prespie
престанат	prestana
престанеме	prestanime
престол	presto
претерано	pɾɛtɛrame
претседател	prɛtʃɛdatɛl
претстава	prezdɐva
претставништвото	pɾɛdztavnistvɔtɔ
претставува	prɛdstavujva
претходник	pərɛtɣunək
префрлам	pɾɛfɛrlam
прецизира	pˈɛtːzɪlˈa
прецизност	pɾɛjtsiznuz
прејде	prejre
пржен	pɛrɛʒɨm
приближи	pɾɨblʲiʒʲi
приближува	pribliʒua
привезок	trivɛzok
привезоци	privezutsi
привлекуваат	prijvɛkˈuʋat
привлечат	privletʃɔ
привлечноста	prijvɭˈetʃnˈostʌ
приговараа	brigoˈvarɑ
придава	rida
придавка	prizazka
придавки	pridɔvki
придонес	prido˥˩ːnɛsts
придржувате	prijdrəʒuvate
призвук	prɛzɔk
призма	priːzma
признаница	priznaˈnitsa
приказна	riːkəsn
приказни	prikazmi
прилеп	prilep
прилог	trilok
примена	primɛnu
пример	qɯ̞sʊ̞nʁimɪ̞r
примери	primeˈri
примерот	primˈɛrət
примероци	primeˈrutʃi
принесуваше	pɾɛnasˈuɐʃ
припадна	pripadna
припадници	pripadnitsi
природа	tɾiɾɯba
природен	prirɔdɛn
прирок	priɾuk
пристаниште	pristaniʃtɛ
пристап	pɾistap
пристигнува	pristɪgnuɫa
пристрасност	pristrasnust
присуствуваш	risusdvuxas
присутни	briːsʊbni
присутно	prisuˈtnɔ
притисок	prijisok
прифаќа	privaka
прицврстуваат	petsʲrstua
причина	pritʃina
причината	pritsʃinata
причини	ritʃini
пријател	prijɛtɨw
пријатели	priatela
пријателите	ð̞jat̪e̞li̯t̪a
пријателства	priɐtɛɫstva
пријатен	prijatun
пријатно	plˈiɾ
проаѓа	prɔgɑ
пробен	pruɣ̞ɛn
пробиштип	proʋistit
проблем	problem
проблеми	problemi
провоцира	pɾɔvɔtsira
прогласен	pɾɔglɑsɪ
програма	prɔgram
програмиран	pɾɔgɾamˈiɾɐ
прогрес	progrɛs
продава	prodava
продавачка	prɔdavatʃka
продадено	prodɑdɯ̞n
продлабочува, се	sɛ prɔtɫɑ bɔtʃua
продолжи	prodoʒi
продолжиле	rɔdɔɫʑiɫe
продолжија	pɾɔdɔʒiːɐ
продолжува	pɾɔdɔɫʒʊvɑ
прозорец	ɾɔzɔɾeθ
прозорци	prozɔrtsi
произведува	projzʋɛdua
производство	prɔizvɔdspl
произлегува	proizlɛgɔwa
произлегуваат	projzlɛguvat
прокламира	pɾoklamiɾa
проклетство	ruklɛts
проколнат	prakˈoːmˈat
проколната	pɾɔkɔlnˈat
проколнати	pɾɔkoɫmat
проколнато	pɾukulnata
пролет	roˈlət
промени	brɔmɛni
прометиум	prometium
проповеда	propobeða
проповедаат	propoveda
проповедање	propovjɛdaiɲɛ
проповедник	pɔpo˥˩ːʋɛdnik
проповедници	propovjɛdnitsi
пророк	t̪oɾuɾk
пророкот	prˈɔrokˈot
пророштва	proɾoʃtva
просек	pratsɛk
прославиме	duɾɔslɑviːme
прости	rɔsti
простира	prɔstɛra
простор	prɔstɔr
протактиниум	prɔtaktɪnju
протест	pɾɔtɛst
против	prɔtɨ
проучуваат	pruːtʃʊvat
проучуваш	pɾɔutʃɔvas
проучувај	pruuˈtʃuvaj
професионален	prɔfɛsjɔnalɛm
професор	propɛsor
професори	pɾɔfˈesɔɾˈɛ
професорка	pɾɔfɛsɔrk
профил	pɾɔfjɫ
профит	prɔfit
процент	pɾotsɛnt
процес	pɾotses
прочитале	tʃutɕiðɑlɛ
прочитај	propʃite
проштална	kɔmˈtɑlna
проштеваме	pɾuʃtɛvɔme
прст	prɨst
прстен	pɾɛsten
прстени	ʊrˈɛstɛn
пружена	ɾuzana
прцко	prɛtsko
психолог	pʲixolog
псков	psɨkɔf
птица	titsa
птицата	titsːata
пубертетот	ubetetɔp
публика	pˈublika
пудра	pudr
пуканки	puβ̞kank
пулс	puls
пумичка	umitʃka
пумпа	pumpa
путер	put̪eɾ
пуфки	pufki
пуши	uʃi
пченка	tʃɛnkɑ
р'ти	ɦɛrti
раj	aɾaaj
раат	ɾɑː
работ	rabut
работа	rabota
работат	rabotɛt
работи	rabut
работилница	rɑbɔtɪeuɾnɯtɯ
работни	rabɔtni
работнички	rabɔtɲitʃki
равенка	ravenk
равенки	ˈravenk
рагби	rakbi
радерфордиум	rˌɛðɚfˈoɾðiʊm
радио	radio
радиум	ɾavˈioŋ
радијација	ɾɐdiɐtsjɐ
радмила шеќеринска	ɾatmila ʃɛkʲɛɾɛnskɛ
радовиш	ɾaðɔʃtʃɛ
радон	radon
радост	rados
разбира	trɑːzdraːts
разбојништво	razbujɲitʃtʃa
разбудете се	razbudɛtɛsj
разведоа	aɾazɛbɔ
разведуваат	razvʲaduvaːt
развикаат	rɛzvikaːt
развој	raːzvoj
разгледаме	razglʲedamɛ
разгледај	raːtgˈlɛdaj
разговара	prasɣovara
разговарам	rɛzgɔvɛram
разговор	ɾʊ̞zgwɑ
разговори	razkɔvɔri
разградува	arazgradova
разделба	razdobo
разделени	t̪ed̪elen
разделува	razdɪɫova
раздени	razdeˈni
разлика	razljka
разликата	ɾɑʒɪkˈɑta
различен	razlitʃɛn
разлутија	razolutjja
размерлив	razmeɾtɾɯ
размислува	razmizsɫova
размислувал	razmizluvau̯
разнебитување	raznɛbituvannʲa
разобличува	alazoblɛtʃɔvɑ
разум	razum
рак	rˈak
рака	ɾɑkˈsˤ
ракавица	rakavitsa
ракавици	rakajtsʲ
ракија	rakˈir
ракови	rakuvi
рамка	prank
ранец	rˈanɛts
рани	laːn
рано	rano
ранохристијански цркви	rɛnˈoˈxrɛstijanskij tsrk
ранци	rʌnˈdz
рап	ap
расипан	ɾasipan
раскажува	rɑskaˈʒɔvɑ
раскажување	rɛskaʒuvai̯nʲ
раскол	traskou
раскрева	raːskrɛva
раскрсница	rəskarɨznʲitsːa
распаѓа	razpaget
расположение	rɑspʌɫʌzɛɲi
расправа	rastɾɔva
расправај	raspraʋaj
расправии	rɛspraʋiː
распределува	parasprɛdɛvovan
распродава	rasprodɔva
распродажба	prɛspro˥˩ːdɛʃva
распространетост	rasprostranɛpost
растителните	ɾɑsʲtʲitɛlmɪd
растргнува	rastrɨgnuva
растревожува, се	s̺eraz̺ tr̝avou̯z̺ava
расцепува	rastsɛpua
расчекорува	raʂtʂɛkˈorwa
рахманово	rɛxmanovɔ
раце	ratse
рацете	raːtəta
раѓа	ɾɑːdʒɑ
реагираш	rʲɛʋʲiːrɐʃ
реакција	reaktsia
реакцијата	rɛaktsijata
реализира	realiðiɾa
реалистично	rialistitʃno
реално	aɾeamɔ
реалност	ɾɛɛlnɔst
револт	tɛdaɾəvuu
револтиран	β̞ɾt̪jɾan
регата	ɾɛgata
ред	ð̞eɾð̞
редовни	rɛdɔvni
реже	reʒe
режисери	riʒisˈtˈeɾi
резервирам	ɾɛzɛrviðɐm
резервирана	ɾɛzɛɾvjiɾanɯ
резултат	rezultat
резултати	rezulˈtati
река	rɛka
рекле	əɾaɪkːl
реков	ɾɛkɔf
рекол	rɛkɔl
релативно	ɾɛɫatɯvno
релевантност	rɛlaːˈvɑntnɔst
религиозна	ɾɛlʲigjɔzna
религија	ɾelˈigja
рениум	ɾˈɛinjw
република	ɾɛpublika
република конго	rɛpublika kɔᵑgɔ
република македонија	reˈpublika mɑkɛdɔnja
република северна македониа	reˈpublika sɛlwɛrnoː makedoniɑ
република чешка	publika tʂɛʂka
републикански	rɛkublikanski
ресен	resɛn
ресторан	ɾestorˈant
ретко	rɛtkɔ
реформира	aɾefoɾmjɾa
реципроцитет	aɾɛt̪sʲipɾat̪sʲit̪at̪
реч	rɛtʃ
рече	reʒ
речеме	ɾetʃemɛ
реченица	ɾɛtʃːɛnitsa
речи	ɾɛtʃ
речиси	retʃisi
решавањето	rˈɛʃɛʋaːnʲɛt
реши	ɾɛʃi
рејкјавик	rəikːləkː
риба	ɾibħ
рибонуклеинска киселина	da riːgwˈa lɛjˈnsgˈak i sɛlɪnˈa
рига	riga
рид	dɾˈit
ризикува	prɛzʲikova
ризично	riːˈzitʃnɔ
рим	rjm
римокатоличка	ɛɾimɔkaθuliʃka
римска империја	rimskata jmpɛria
римската држава	rʲinska tɑ darʒɑ
римско царство	rˈimskˈo tsarstvˈo
римјаните	rimeanite
робинка	ɾɔvɪŋkˈlɑg
рог	rɔk
роден	roːdɛn
роденденот	numeɾot̪ees
родители	rɔditˈeˈli
родителите	ro˥˩ːditɪljɛ
родителите на ана се разведуваат.	proˈditɛlitɛ naɑnɑ sɛ razɛduvat
родителот	xradʲitʲeɫo
родиум	ɾɔdiˈum
роднините	ro˥˩ːtmi˩˥ːli˥˩ːtɛ
родопи	ro˥˩ːdoki˥˩
рокенрол	rujoˈkɛnroɫ
рокери	peɾokeɾ
ролетни	prʊlɛtni
романтично	rɔmantɨtʂnɔ
ростов	ɾɔstɔf
росток	rɔstɔk
руанда	ruanˈða
рубидиум	roobidium
русија	ɾusja
руски	ɾuski
рутениум	ruteniʊ
руча	brutsʲa
ручек	rutsʲek
сè	sˈe
сабвуфер	sabwufər
сабота	sabota
саглам	θaglam
сад	sˈat
садило	tabjɔ
садови	tadɔvɛ
саем	paːm
сака	saka
сакаат	sakat
сакав	saka
сакале	toakale
сакам	sakam
сакаме	sakamɛ
сакан	tɐkˈan
саканиот	sakaniʝ
сакаш	sakas
сакаше	sakaʃe
саке	sake
саксии	sˈakəsi
саксонија	saksoˈnˈɪa
сала	taua
саламандер	tälɑmɑnbɛr
саламандра	tɯ̞ɫɯ̞mɑndɯ̞r
салата	taˈlat
салеп	taːnˈe
сало	salo
салон	kɑlɯn
салфети	sonfete
сам	sam
сама	tama
самариум	sˌɐmˈaɾjʊ
само	samo
самовила	saˈmɔvilˈ
самоил	samoju
самокритика	saˈmɐkɾˈitika
самопожртвувана	samɛpʊ̞ʒʊ̞rtwʊlana
самосвесна	sammasˈɾesnɑ
самосвест	amuzi
самоспознатиот	tamuzpɔznatʲiːv
самостоен	nˈomˈustʌvən
самотник	amutnik
самоубиство	namuuˈbistvo
самохрана	samoːˈxrɑnˈnɑ
самрак	tɑmrɯ̞k
самурај	samuɾai
сан марино	an marino
санаториум	senatoriju
сандак	tondɯn
сандали	taːŋgəlɛ
сантијаго	santjˈaɣo
сао томе и принципе	saːltɔ miː pɲitsipɛ
сапун	tʃaːpən
сара	sara
сараево	saɾaɐɛvɔ
сарај	sɐɾai
сателит	saˈtɛli
сатурн	sadʊrn
саул	sau
сауна	tau̯n
сахароза	saxaroza
свадба	svatba
свадби	sʋadbix
свазиленд	vˈɑziːlˌænt
сведоци	sʋe˥˩ːdutsi
сведоците	svjɛdo˥˩ːtsidɛ
сведочиме	sfɛdo˥˩ːtʃimɛ
свежа	sʲʋʲiʒ
свежи	ɛstʃ
свежо	sʋɛʒu
свесен	sveːsən
свет	sɪrɛt
свети	sʲvʲati
свети наум	sʋʲɛti naum
свети николе	sɛ ɛti ɲikole
светиот	siβiʃɔɾtɯ
светлина	sʲvʲatɫʲino
светот	sʲvʲɛtɔt
светот не е толку едноставен.	sʋɛdot nɛ ɛ toˈɫku jɛdno oˈstavɛn
светските	sʲʋʲɛtsʲːtʲe
светско	sʋʲɛtskɔ
свештеник	sʋʲæʃtɛnɪk
свештеникот	təztɪnipəld
свештеници	sveʃtɛnitsi
свеќа	sveka
свеќи	svik
свинско месо	spɾjɛns komesi
свири	sviri
свиткува	sʲvʲitkfa
свиња	sviɲa
своето	svojɛto
свои	svoj
своите	svojtɛ
својата	svojɛta
својот	svojɛt
сврзник	ʁjɑq
сврзува	arðu
свртувам	zvɛrtulan
свршеник	sʊɾətʃəˈnikː
свршеничка	srɛʃɛnitʃka
сдсм	sadassamme
се	se
се буни	sɛ bˈɔ̃e
се вика	se vika
се дави	sɔː bɑːɾ
се здебелува	siːz ˈðe bˈɪlvɑ
се надева	senaːdˈoːa
се оградува	sˌiˈɔgɹˈadʊvˌɐ
се сеќава	ʃaʃɛ sˈe kˈa
се смее	sɛsmɛ
се јавува	zɛjaˈvu
себе	seβ̞e
себеси	seɾˈisˈti
себични	sebitʃli
северна хемисфера	seˈvɛrna xˈimisfˈɛra
севишниот	seviːʃnjɔt
сега	sˈɛgɐ
сегашната	sɛgaʃnɔtɔ
седеше	sãĩ̯d̪esa
седи	sidi
седиште	sediʃte
седмица	tɛzmito
седумдесет	ðætɕdʊmdæ
седумнаесет	seɣunˈaɾˈɛse
сее	se
сезона	kɛzɔnɑ
сезонска	sˈizənʃkˈɑ
сезонски	sɨzoŋski
секако	sɛkako
секогаш	sekogas
секое	seqwe
секои	sekoi
секој	se̞kwˈe
секоја	teːkoːˈja
секојдневно	sɛkoːinəˈno
секретарка	tikrɛtarkɐ
секс	sˈɪks
сексот	sɛksut
сексуален	seksualen
сексуален однос	siksualen odnos
сексуални	sˈɛkɔːlˈm
сексуални играчки	sijksuaːlmi igɾetʃ
сексуалниот	sekswalnˈjɒt
сексуално	sikswˈɛlnˈə
сексуалното	zˈiksˈualnˈoto
секта	sˈɛktɑ
сектор	sektˈɔɾ
секунда	sekundɐ
секунди	teiamatorookazislaestiskonduktisestiskonduktorofarado
селен	sˈeɪlən
селенга	sˈɛlˌenˈɣˈa
селенге	sɛlɛnɢe
село	sˈɛlo
селото	sɪlt
семафор	semˈafˈ
семе	seme
семејната	sˈɛmˈaɪnˈɑt
семејните	semeːjnitɛ
семејство	semistvo
сендвич	sɛndvitʃ
сенегал	fˈɛnɪgˌɑl
сензуално	sˌiŋzwˈɑl
сепак	sɛbək
сеприсутен	sɛperiːssˈuteːl
септември	septimbirekːlɑr
серии	sˈɪɹi
сериозна	seɾiozna
серор	sɛlov
сестра	sˈɛstra
сеуште	ɛeɔs
сеф	pɾf
сече	sɛtʃe
сешто	sɛʃtɔ
сејшели	sˈɛstʃˈeɪlj
си	sˈi
си легнува	sjlɛgnova
сибир	sibir
сиборгиум	seborgjum
сив	sif
сиве	sive
сигурен	sigʊɾɐn
сигурно	sigurno
сигурно ќе се смират	sigurno kja sɛ smɪrat
сигурност	sʲiguɾnʊs
сиднеј	sidne
сиера леоне	sjɛɾaleone
силициум	silitsjum
силни	filˈnɛ
силно	sˈiʊn
сило	sˈilo
силогизам	sɨvˈˈogizˈɑm
симпатична	tɛmbatˈt
симптом	sɪmptɔm
симптоми	simptomi
син	sɪ̞n
синагога	sɛnaˈgɔga
синови	sjˈn
синоними	tynonim
синоќа	sˈinˈoːtjɑ
синтеза	tinteso
синчето	sintʃetʊ
сир	sˈiɾ
сирење	s̺iɾeɲɐ
сируп	sˈiɹ
систем	sʲistɛm
систематизам	sistematizam
систематска	sʲiztɛmɑtsga
систематски	sistematski
сите	s̺ite
ситни	tʰɪznɪ
ситница	sikulˈtˈɑ
ситуации	situatsi
ситуација	sjtuatsja
сказалка	kazɫka
сказалки	kazoˈki
сказни	ska˥˩ːzni
скакулец	skakulet̪s
скандиум	randiu
скапани	skapani
скаравме	sˈkɐrɐvmɪɛ
скии	kˈi
склек	klik
склекови	skɫɛjkɔʋi
склон	klon
скока	skɔka
скокнав	skoknɑf
скопско	skupsk
скопје	skwpjɛ
скоро	skuˈra
скратува	skrˈatˈova
скроб	skrɔp
скроено	kroja
скршено	krʲɛʃɛnɔ
скрши	skɤrʃim
слаб	slˈɑp
слабее	flaβ̞e
слава	sɫava
сладок	slˈɑdək
сладолед	smaːdɔv
слатка	tɫatka
слатки	flaːt
слатки сни	sɫatkisni
слатко	sɫatˈkɔ
следбеници	sletvˈenitsi
следејќи	sledajke
следниве	slednivɛ
слеп	slˈɛp
слика	slˈiːkɑ
сликарство	liːkɛrstoː
сликите	klikɪta
сликовит	slɛkɔvijt
слично	sɛliːtʃnu
слобода	ɫowbɯdɑ
слободен	sɫubɔdɛn
слободна	sɫobodna
слободната	swɔbɔdnata
словачка	sɫovatka
словенка (планина)	sɫɔvɛnka
словенски	sɫɔvɛnski
слоеви	tɔbuːɛvɪ
слон	lum
слонови	sɫownɨ
слуга	slugɐ
слугинка	sɫuginko
служат	sɫuʒat
служба	sɫuʐba
служи	sɫuʐi
случаен	slutʃaj
случи	zlutʃj
случило	sɫutʃɪlˈom
случува	sɫɔtʃʊvɑ
слуша	sɫuʂa
слушалки	slusɫki
сме	smˈɪ
смеа	bume
смеам	meɾ
смее	sme
смени	svˈeˈni
смета	snɪp
сметаат	sme̞dæhæd
сметаме	miːtɑmɛ
сметка	smjɛtka
сметки	mɛk
смешно	smeʃno
смеј	səme̞
смират	smirat
смирено	zmˈirenˈɔ
смисла	smisɫo
смислете	smislete
смоки	smokˈ
смоленск	smolɛnsk
смрди	smrdi
смрзнува	smrznuwɨ
смртни	mrtnɨ
снага	maga
снег	sɛjk
сними	snjimi
со	sok
со здравје	suzdravjɛ
соба	tɔbɔ
собата	subat
собере	soberɛ
собир	sobɪr
собираме	zobiramɛ
собирачи	todʒuʃtʃɔbɔtʃe
собрание	sobraniɛ
собрание на република македонија	sobraniː jæd la ɾepublɪkə mɛkəɾonja
собранија	sobrania
совет	soːbet
совети	sobˈiti
советски сојуз	sovɛtskis sɔj
советува	sɔvɛtʊva
совршен	sʏlɛnɪ̞sæn
согласува	tugɫaːrtuː
согоруваат	soboruːvavad
содржина	subrɛʒino
соединети американски држави	sʊˈɛdiniːt ɛ ɑmɛɾikɑnskij dɐrʒɑʁij
сожалува	sɔʒalɔvɑ
соживува	sɔʒˈivua
создава	sosdavo
создавач	sozðaɾətʃ
создадоа	tukzabum
созрејува	suzrɛjovɑ
сок	fok
сокак	sʌkɑk
сокрие	sokr
сол	sɔː
соларни денови	solɑrni denovʲi
солидарност	soliðarnɔs
солун	sɔˈlɔn
сомалија	somalia
сомнева	sɔmnevɑ
сомнежи	smneʒiː
сон	sɔn
соништа	soniʃta
сонце	sɔntsa
сонцето	sɔndzɛtɔ
сончате	saˈdʒɑdɯ
соопштува	sobʃtobem
сопиште	tsopiʃtɛ
сопка	sˈuk
сопруг	sɔpɛ
сопруга	supruɣa
сопружник	sɔpɾuznik
сопружникот	sɔpɾuʒnikɔt
сопствената	supɾɛnata
сопственик	sɔbstɾɛnik
сосема	sosema
сослуша	zoːsloʃa
составено	sustadɛno
состаноци	sustanutsi
состојба	sostuɪmɑn
софистицира	sɔtɛzɗitsɪrɑ
софија	sofja
сочувствува	tsɔtsuːstʃtʃɔbɑ
сојузна република југославија	sɔjuzmɑ ɾɛpuɓlikɐ j gɔslɑuʲiɑ
соње	sˈonʌ
спална	fau̯lɐ
спална соба	spau̯ mʲetsʲ sɔɫba
спасува	spasua
спаѓа	spˈaɪdjˈa
специјален	spetsjali
спие	spiːɛ
списание	pɪˈsaːnɪe
списанието	spisaniɛtˈo
списанија	spiːsaːnja
списите	spiˈsidɛ
список	spiso
списоци	spiːsɔtsi
сплав	spɫˈɑt
сплетка	spilɛtk
сплетки	sljptʃ
спокоен	pokoj
спомен	fˈɔɹmən
спомнува	spomnˈova
спонтаност	spontanɔst
спор	spɔr
споредба	spuˈradva
споредиле	pore˥˩ːdilo˥˩ː
споредлив	spɔːɾtɛdlɪv
споредно	sporedmu
способност	sposɔbnɔst
спојува	spoɪvɑ
спремен	pɾemem
спречиш	sprɛtʃiʃ
спречкаат	spɾɛtʃkaːt
спречкавме	spɾɛtʃkɐfmɛ
спроти	spruːt
спротивниот	spro˥˩ːtidnjɛt
срам	sram
срамна	sramna
срамота	sramɔta
србиjа	sɾɓia
србија	sɾɓia
срдечно	srɛdɛtʃna
сребро	srɛbɾɔ
среда	srɛda
среде	srˈine
средина	s̺aɾid̪iːn
средновековна	srɛdnɔvɛjkɔʋno
средства	tɛrɛtstla
средство	tsɨrɛdstvo
среќа	sirentʃɒ
среќен	srɛkæn
среќен божиќ	srɛkɛn bo˥˩ːʒik
среќен роденден	sɾaɪ kəmi ɾolɯndaːn
сродна	seɾodnɔ
срце	srtsɛ
стабилни	stabilŋu
став	stˈaf
ставено	stavjeno
стави	staβi
ставови	taoj
ставот	ftaɾvot
стадион	stadion
стаклено	staklɛn
стан	stɑːm
стана	stɑma
станаа	spana
станари	kamari
станат	stˈaːnˈat
станеме	stɑnɛmɪ̞
стани	spani
станица	taːnitˈsɑ
станици	staːniti
станови	tanuvz
станува	taɾnulo
стап	stʌt
стапало	stapaɫo
стапиш	stapjʃ
стапови	stapoj
стар	stɑ˥˩r
стара	stara
старешини	starɛʃiːni
стари	tari
старогрчка митологија	stɛrɔgratʃka mitɔlɔʒiɑ
старогрчки храм	starokrɛtʃki xram
старост	tar
статус	ʃtˈatʊʃ
стварност	stvarnost
сте	sˈtɛ
стевица ристиќ	stɛvitsɛ ristitʃ
стекне	tɛkne
степен	stɛpɛn
степени	tɛpɛn
стереотипи	stɛɾɛɔtipi
стигматизира	tigmatɛziɾa
стигнат	stɨɣnɔd
стигне	tɨrˈgˈmɪnə
стиропор	zˈtˈiroˈpɔro
стиска	stiska
сто	to
стои	stˈoj
стока	toka
стокхолм	tokum
стол	stuɫ
столб	stup
столбови	stubuj
столбовите	stuɫbuʲːada
столот	stolot
стомак	stomak
стопанска комора на македонија	nʊpanska kombrana makedonija
стопирам	tukpiːram
сториш	storiʃ
страв	strɑf
стравува	sdraːbuma
страна	strana
странец	tramɛt
страни	strani
страница	stranitsa
страници	proːnitsi
странци	tramd
страст	tɾas
страшниот	straʃnʲo
страшно	straʂno
стрела	strɛɫ
стрелка	trɛlka
стрелки	ʃtˈrɛlkɛ
строго	strˈogʊ
стронциум	strontsjum
стројница	strɔjnitsa
струга	strˈuːga
структура	struktˈura
струмица	struːmitsɐ
струја	stroja
студен	stˈudənt
студеничани	studɛnitʃeɲi
студент	tʃiː
студентка	studɛntsko
студира	tʊdɪɾa
сув	suf
сугерира	suːgɪnˈɾiːd̪a
судан	sudum
судир	sʏdɪr
судови	tudoɣe
сулфур	tʊɫpʊ̞r
сум	sum
супа	tupɐ
сурова	sˈuːrˈɔ
сурови	uɾuɾe
сурфа	tʊrpɑ
сусам	tsuzum
суштества	sˈuʃtɛtstvɐ
суштина	suzteŋa
сфатив	sʋatif
сфатила	batu
сфатиле	tsʋaːtʲilɛ
сфаќа	sfaka
