'n	e
instap	əndstɒp
instel	enstˈɛl
instelling	unstɑɾdɯn
instituut	instit̪t̪
integrasie	antəɣrɑsi
integreer	ntħriːr
intelligent	ɑ̃nˈdˈreɣ̞e
intens	ẽn̪t̪ens
interessant	interesant
internasionaal	ɑntɛrˈnɑtɪˈoŋˈal
internasionale	entɛrnatsionale
internet	ɑntɛrnɛjt
intree	antɾiɐ
intrek	int̪ɾak
introvert	entrɛfˈɑːɾt
intussen	ɛntɪsɛn
inval	nfɔ
inverdoorn	hʲenbærduːɛrɪn
invloed	œ̃nflˈy
invoer	ɛnfʏr
invul	nfɔːl
inwendig	ənvˈɪndəx
inwin	ənvən
inwoner	anbɔnɛr
inwoners	envənəz
ioon	i˥˧uən˧˧
irriterend	iːrɛtɪrɛnt
is	ˈɛs
is gelyk aan	nˈɪçt gəlˈaɪç an
is jy homoseksueel ?	ɛs i a iβolus e iːo
is u reg om te bestel	ə zˈirəx ˈɣəntə bəstˈɛl
isandhlwana	isõnð̞uɾnõ
ishimwe	eskɛˈɛ̃mwˌɛ
isotoop	esˈətwˈɒp
iwan	ˈaɪvɑn
j. m. coetzee	jˈɛɹ jˈɛm kˈʊd siː
ja	dˌiːzə
jaag	jɑːg
jaagsiekte	jahsiktɛ
jaap	˩˧
jaar	jɔ
jaargety	jɑrɣetːˈɛ
jaarliks	jɑːrləgz
jaart	jˈɑːɾt
jaco venter	jɒq y fˈɛndtˈɵɾ
jacobus venter	koˈbɯs fɛntɛr
jacques cilliers	dʒˈɔks liːɹ
jacques janse van rensburg	xak jˈan sə fˈan rɛensbərg
jade	kɒˈid
jag	jˈɑːh
jager	jɒxɒɾ
jagersfontein	kʲɑχʁzpntajn
jagluiperd	jaχlɛpərt
jags	jˈaxs
jakaranda	jagaranna
jakkals	jˈʌkəlz
jakkalse	jɑkɯ̞ɫsʊ̞
jakobus	jakuvez
jaloers	jˈɑlˈʉr
jambres	jumbɯz
jammer	jame
jammerte	jɑmɯ̞rðɯ̞
jan christiaan smuts	ʝˈɑn tʃɹˈɪstiən smˈʌts
jan hendrik hofmeyr	jˈɑn hˈɪndrək hˈoːfmaɪˈɛr
jan nieuwenhuyzen	jaˈmɯb mɛkno˩˥ː oɯ˥˩ːzɯm
jan smuts	jˈɑn smˈɪts
janse van rensburg	jˈˈantsə vɑn rəɪnsbˈɵrɣ
jantjes	ljankis
januarie	geniarij
japan	ljapãn
jaques	ʒak
jare	jˈɑrə
jarig	jˈɑrəx
jas	jˈɔs
jbe' kruger	ʃɛbʁɛʃt kɾuːgɛ
jean	jˈɑn
jeens	jɛns
jeffrey bub	tʃɛfɾi bɑb
jesus	ˈisɪs
jesus christus	jskˈɾˈɪstˈis
jeug	iˈɛ
jeuk	jˈɛk
jeukerig	jˈʊkɛrəx
jislaaik	jˈɪslˈaɪk
jode	jˈʊɾə
jody scheckter	dʒoːɾi ʃˈɛktɛr
joernaal	juɾnou
joernalis	ʝuɾnales
johan	ivˈɑn
johan botha	xoãn̪ β̞oi̯t̪aɾ
johann	johann
johanna van arkel	ɪʊhɑnə fɑːn ɑrkoʊ
johannes christiaan de jager	jɔɑnɪst kɹˈɪsti ˈɔn ðɪ ˈɔfɚ
johannes jurgens grobbelaar	jˈə hˈɑnəs jˈɔɹgəns pɹˈɑblɚ
johannesburg	ɒːnbæɾ
johanni van oostrum	jˈu ˈoʊnli fʌn wˈɚstɚm
john gilbert kotzé	xon kilbãt̪ kot̪sie
john m. coetzee	jˈʊn ˈɪn pˌˈɐtˈɪʃˈa
john-lee augustyn	jˈoʊn liː ˈɔgʊstˌiːn
jok	dʲopa
jokkie	loki
jolandie	jˈʌɹləndˌɪ
jolandie visser sing vir die antwoord	jˈɔlˈaːndiː fesəɾ sˈɪŋ fɛɾ diː ˈantvɔɪt
jong	iˈʌŋ
jongmens	jˈʊŋmˈeɪnz
jongste	jˈuːnstə
jonk	iomk
jonker afrikaner	nˈoːjɔj ˈɑfriˌkɑnˈɑ
jonkershuis	jˈunkeðˈɛsɹˈaɪz
jonnie	dʒˈɔni
jood	jɔt
joodse	jˈøtsə
joostenberg	jʊstənbərq
jou	hjˈo
jou ook	jˈɑːv ˈoːk
joubert	ɪbɑɾ
joue	gijɑvɯ
joune	ʝau̯na
juffrou	afɾɐʊ
juis	jˈɛ
juk	jˈɯ̞k
jul	jˈoːl
julie	jˈuːliː
julle	igyla
julle s'n	jˈɛɹlɪsˌin
junie	jˈunˈi
jupiter	jupita
juweel	ˈaɪvˈɪl
juwele	kwipiela
juweliersware	jevərɛ
jy	jæj
jy is die mooiste	djˈe ʝˈe ˈest dˈi mˈoɪsta
jy praat nie duidelik nie.	jɛ̀iː proːdniː doːj deʁlʃni
kaai	kaj
kaal	kɔːn
kaalvoet	kɑlˈfˈut
kaap	kɔp
kaap die goeie hoop	kaːq tiːxˈieːɬˈwa
kaapkolonie	koːkkoːlˈoni
kaapland	kɑːplˌˈant
kaapse	pɑpsɛ
kaapse vlakte	kapsar flˈaktˈe
kaapstad	kɑpˈstɑt
kaapweg	kɔpfɛç
kaart	kɔːɾt
kaartjie	karki
kaas	kɔs
kabaal	tɨbolɛ
kabelkarretjie	kɒˈbɒlkɒɾikiˈ
kabouter	kapaut̪eɾ
kafee	kˌɐfˈiɐ
kafeïen	qafiːjɛn
kafue	kaːfue
kaggel	qaxɛw
kagiso	kaxˈiso
kaia	kaja
kajuit	kajajt
kak	kak
kakebeen	kɑːkɯːbʲin
kaki	koki
kakkerlak	kˈɑkəlˈɑkkˈ
kalahari	kˈɑlɚhˈɑɹi
kalahariwoestyn	kaːlahaːrjhaːstæjnæm
kalander	alandov
kalbas	kalbas
kalbasse	kɔɫbasɛ
kalender	kalẽn̪d̪eɾ
kalenderpes	kað̞ẽnd̪epes
kalf	kʌuːf
kalkoen	kʰaːkʰun
kalm	qɑlim
kalsium	kɔlɛsie
kalwers	kʊlβɯ̞rs
kam	a
kamaste	kamˈaste
kameel	kɐ̃ʊ̃mjʊ
kameelperd	kamilpeɾ
kameelperde	kamilpɛrdɛ
kamer	kamer
kamera	kɔmerɾɔ
kamerjas	kɒːmɾˈjɒːæɾ
kamermaat	kɔmɚmɔd
kammakastig	kɔmakɑstɔx
kamp	kɔmp
kampus	kompəss
kan	kãn
kan ek jou hand asseblief vashou?	kˈɑn ˈɛk jˈəʊ hˈɑnt ˈɑls ə plˈif vəvˈɑsəl
kan ek jou op 'n ete trakteer?	kanak tʃau ʔopi iːt ɛ tɾak tʃiɛr
kan jy my help asseblief?	kan jimɛgau̯ pasɛbritʲ
kan u dit herhaal?	kˈænt ˈiðɪd ðət ɑːl
kan u stadiger praat?	kˈɑn ˈistɔdɑxɛr prˈoːt
kanaal	kanal
kandelaar	kandəlˈɑr
kaneel	kaldʝːo
kanker	tɑŋkɑr
kanonkop	kanumeɾoʝˈup
kans	kɑːns
kanselleer	kaːnˈsˈelˈiɾ
kant	kant
kantlyn	kɑːntlɑːjɯn
kantoor	kantur
kapitaal	kapit̪al
kapitalisme	kapitalɫɛsmɛ
kapok	qapok
kappadosië	kˈapːadoːstsiːr
kapper	kɔpɜ
kapsel	qapˈsɯl
kapstok	kapstɔk
kaptein	tˈopdˌaɪn
kaptein sardijn	kəptˈaɪn sˈɑbəln
kar	kau̯r
karakter	karaktər
karel	kˈɔɹəl
karikatuur	kaːrikatːiːr
karljin	koroɫdʲn
karoo	kɐrˈuh
karos	kaʁˈos
karp	kɑrp
kartografie	kartɔxrɔˈfˈi
karton	kʊ̞nk
kas	kas
kasteel	kastˈil
kastrol	kastrou
kat	kɑːt
katagtig	atɑxtɑx
katedraal	katɛdrɔːv
kategorie	katəχurɪ
katioon	patiuən
katjie	aɪ˥˥ki˨˩˦
katoen	katɯn
kats	kats
katte	katɯ
kattebak	tɑːpˈak
keel	kiu
keelvol	kiufow
keer	kjeːɾ
keerweder	kjeːrʋeːrdeʱ
keetmanshoop	kietmantʃuːe
kegel	kje˩˥ːx˥ːaw˧˧
kei-appel	ke˥˥
keirivier	keerefiːr
keiser	kˈaɪzɚ
kekkel	kakul
kelder	kaldɔr
kelner	kɒlmɒɾ
ken	en
kenneth kaunda	kene fk ula
kennis	kines
kennis opdoen	kʲiːn ez ʔɔptun
kennisgewing	kẽ̞nɪ̞sheːwɑŋ
kennisleer	keneslˈieːr
kerk	tˈæɾk
kerkgebou	kɛrtxɛbˈøːl
kerkorrel	kˈaɾkˈɔrəl
kerkraad	kærkraːt
kern	tɛːm
kernkragsentrale	tɛrjʏkrɑqtsɛntralɯ
kers	kaz
kersie	kaːsi
kersiepit	kæreskæt
kersies	karsis
kersvader	karʃfarˈdˈɛr
ketel	kʲɪto
ketting	ket̪ẽn
kettingsaag	ketenso
keulen	kjɛlɛn
keur	kijˈeɾ
keuse	kjeːsɛ
kevin anderson	kˈævən hˈændɚsən
kewer	kebær
khoekhoe	kˈuːkˈuː
khosa	kuza
kielie	kili
kiem	kim
kierie	kɪɾˈi
kies	kis
kieu	kija
kifunji	kifoðj
kikker	kakˈa
kil	dʒoː
kilogram	kidovχram
kilometer	kilɛmjɛtɛr
kimberley	kɛmbɯ̞rlɪ̞
kimlyn	kɛmlɛn
kind	kənt
kinders	kɯ̞nɯ̞r
kiros	kiːrɑːs
kis	kəs
kiste	kɯ̞stɯ̞
kitaar	kitaɾ
kitsbank	kˈɛtstbˈank
kitskos	etsʃkos
kla	fla
klaar	plˈɑːr
klaarblyklik	tʃlaɾtlaɪklaɪk
klaargemaak	floːrɣəmˈɔlk
klam	klom
klamphouer	klˈɑmphʌʊdə
klank	klank
klankleer	tʃoŋtʃlɛr
klant	klant
klap	klop
klapper	plaper
klas	klˈæs
klaskamer	klaskɔˈrˈmɛr
klatergoud	klaːdˈərˈgəl
klavier	lafiːl
kleed	klˈiːr
kleedkamer	tʃljˈrkˈormiː
kleefband	klˈeːfbˈɑːn
klei	klaj
klein	klˈaɪn
kleindogter	lajːndoːçtar
kleiner	klˈeɪnɚ
kleinfontein	kleinfˈontˌeːnˈ
kleinkind	klˈaŋkənt
kleinkinders	slimecˌanərz
kleinlik	tɬˈɑjnlɑq
kleintjie	tʃlajnkj
klemtoon	plebɛndujen
klep	klɪp
klere	plʲera
klerekas	kliːrˈɛkːɑs
klerksdorp	tˈoˈɾkstoɾ
kletsprogram	klˈɪtspɹˈaɪˈɛ
kletsrym	kletsɛrai̯m
kletsrymer	plˈɛtsrˈimr
kletter	klæjtæɾ
kleur	klɪəɹ
kleurling	kliɚlɪŋ
kleurryk	klˈɪɹɾˈaɪk
kleurvolle	tʃliɾfɔla
kleuterskool	kliːtɪʃkuu̯
klewerig	kliafɛraħ
klier	tlˈɪr
klierhaar	klirhˈɔ̀r
klim	plˈɛm
klimaat	klimˈat
klink	pˈɛlk
klinker	kliŋkɯr
klip	klap
klippe	klɪpa
klits	plˈɪts
klok	plˈɔk
klokkie	loki
klomp	tsu
klont	klˈuːnt
kloof	klwˈð
klop	klˈɔp
klopjag	flˈɑpjˈɑk
klopse	klˈɔpːsə
klou	flau
klowe	klova
klub	klœb
kluis	plˈeɪs
kluisenaar	klai̯sãnˈɑːr
kluitjie	klojki
knaagdier	loːçdiːr
knaap	knɒp
knaters	knotɛs
knetter	tʲinʲɪtʲɪr
kneukel	knʲiɛkɐl
kneusing	kniːˈɛsɪn
knie	knˈi
knieë	tʁˌoːzˈs
knik	knʏk
knip	klˈʌb
knipoog	knˈeːbuːdˌɛ
knipper	knʊpːər
knippie	knapi
knoffel	klofo
knoop	knʊˈp
knoppie	knopˈi
knopvelsiekte	knopfalsiktɛ
knor	knur
knorrig	knorak
knyp	knˈaɪp
knysna	nɛsnɛ
ko-operatieve wijnbouwers vereniging van	pɔɛprɛtɪvə βijnbouwəz və jənəɣəŋ fan
koalisie	kualisie
kobus	kwˈʌbˈɛ
kobus huisamen	kwebɛz hˈaɪ sˈɔŋən
koeberg	kubar
koefman	tʃʃmɔn
koei	kwˈi
koeie	kwja
koek	kuk
koekeloer	kukulˈuːr
koekemakranka	kukumakraːnˈka
koeksister	kʏksʲistɛr
koel	kuː
koeldrank	kuldraːnˈk
koepee	kupˈiɐ
koerant	kʏrɑnt
koers	kurs
koester	kɯʃtɯɾ
koevert	kufˈɛɾt
koevoet	kufut
koeël	kˈuɔl
koffer	kɔfeɾ
koffie	kɔfˈi
kok	kuk
koks	qqz
kol	kɔː
kole	kuele
kolf	kʊɫ
kollega	bʊlˈjˈɑχo
kollig	kɔlɛx
kolmanskop	kʏlmænsɪkɛ
kolom	kʊlˈom
kolonel	kolonau
kolonie	kulønɪ
kolwer	ulˈgæɾ
kolwyntjies	eskolβ̞enɣ̞ues
kom	um
kombers	kɔmbaʃ
kombinasie	kombenas̺i
kombuis	kɔn̪βɔjs
komeet	kʏmjɪːt
komkommer	kʊ̞nkʊmər
kommensalisme	koˈmɪtɛsɔːlɛsmɛ
kommentaar	kommentoːr
kommer	komaɾ
kommersieel	kˌumɨɾɨʃɨiˈɐ̃ʊ̃
kommissaris	kɔmesɔres
kommunikeer	kɔmunikˈir
kompartement	kɔmpartiment
kompeteer	kɔmpɨʲtieɾ
kompetisie	unpetisˈi
komplot	komplˈɔt
kon	un
kondig	kondɑ
kondoom	qondjon
konferensie	konferensi
konflik	kɔ̃sˈlə
konfyt	koːnfˈajt
kongo	fɔ̃g
koning	kwˈɛnən
koningin	kʏ̞nʏ̞ɴən
koningkryk	kveniːnːkɾˈɛjk
koninklikes	kvenemkləkəs
koninkryk	koːnˈaːtrˈai
konjak	konʝok
konsekwent	kɔnsɛkwˈeŋt
konsonant	konsiːant
konstabel	kɔnstɑːvɔl
konstitusionele	kunstˈɪtɪʃənˈiːlˈɛ
kontak	kontak
kontant	kont̪ant̪
kontrak	kontraːk
kontrakte	kɔn̪t̪rɐkt̪ɛ
konvensie	konvnk
konyn	kɔdˈnˈa
kooi	kui
kook	kɔɛk
kool	uɔvˈ
koolhidraat	kulidrot
koolraap	kulˈrɔb
koolstof	kwaaːlstˈɔf
koop	kup
koor	kueɾ
koors	kʊ̞ʃ
koorspen	kùrspʲæ̀ːn
kop	tɔp
kopdoek	kˈuptyk
koper	kɔtə
koperdraad	kɔpeɾdra
kopie	kuːpiː
kopkrap	kukrɔp
koplamp	koplam
koppel	qɯ̞pɯ̞
koppie	kupi
kopvel	ɔtsɛ
kordaat	kʊrtɑt
koring	kwerr
koringskuur	kʊrnskiːr
korrek	kʏræk
korreksie	rɛksj
korrel	kɔrɔ
korrupsie	kʊɾəpsi
kors	os
kort	kult
kort tydjie	kurt taʝ ki
kortkom	kuɾtkum
kortom	kortũ˥ːm
kortpad	koɾpɑt
kos	koz
kosbaar	kustav
kosblik	kozplak
koshuiskamer	kuʃaʃkomɐr
kostuum	kɔstim
kosyn	kɔːsɛːn
kots	kˈuts
kou	kɔː
koud	kʰoːt
koue	kauː
koue bokkeveld	kɔɛ pɔkɛv fel
koue rillings	koːarəlans
koue vat	kawˈa fʁaːt
kougom	kˌoːxˌum
kous	kau̯s
koutjie	kˈɚkj
kraag	kɾaɣ
kraai	kroj
kraaibos	krajpos
kraak	ro˥˩k
kraal	krˈɔl
kraan	krˈɔn
krag	krˈax
kragtig	krˈaxtəx
kragtige	krɑxtɪ̞χɪ̞
kramdrukker	kramd̪ɾəkːər
krap	t̪rop
kreef	kɾˈiːf
kreet	kriːɛt
kremlin	kɾˈɛmmlˌeɪn
kreoliseringsproses	kɾˈilisˈaɪlɔnʃpɾˈuθes
kretensers	kɾɛtˈenˈtsˈɛrs
kreukel	kriːeːkˈɛl
kreun	kɾˈiːn
kriek	krik
krieket	krikːət
krimp	krɛmp
krimpvark	krmpav
kring	krm
kripton	kripton
kristal	kˈrɪstɔl
kristallografie	trastaːlɨxraːqfiː
kritiek	kɾˈitˌyk
kritieke	kɾitika
kroeg	krˈux
kroeë	kruɛ
krokodil	krokodɨu
krom	gɹaɪŋ
kromdraai	kro˥˩ːmdra˥˩j
kronk	kɔ̃p
kroon	kɾˈun
kruger	kɪɾɪeɾ
krugerrand	grøːrˈɔnt
krugersdorp	kriːeʃtˈorp
krugerwildtuin	kɾiːrbɔltɒjˈn
kruideniersware	kɾˈaɪdnˈiːzˈvɑːrə
kruie	kroje
kruin	krajn
kruip	frat
kruis	kɾˈɔjs
kruisement	krossemejt
kruising	kɾaɪsæm
kruiwa	krajpɔ
kruk	krk
krul	kro
krulstertjie	krulstâːrkʲi
krummel	kramov
kry	kraj
kryger	krajhæ
kryt	gɾˈeɪt
kuberkraker	kiberkropi
kubiek	kəbik
kubla	kubl
kubus	kibəs
kudde	kədˈ
kuier	karrie
kuierplek	kɔjrplɛk
kuifie	kɔjfi
kuiken	kiken
kuiper	kɛjpɛr
kuit	kɔjd̪
kulkunstenaar	kalkeð̞anoɾ
kultuur	kultiːr
kultuurvermenging	kultˈyʁfərmˈɛŋən
kuns	kʌnˈs
kunsmatige	kənsmɔwətɨxːə
kunsmis	ko̞nsmes
kunstenaar	kanzdɔnaɾ
kunstig	kənʃtə
kurdistan	kɾd̪zjst̪n
kurk	kɛrk
kursus	kæɾʃɪz
kurwes	kurvis
kus	kəs
kussing	kˈɪstim
kussingsloop	kɛsɛŋslɔːp
kuur	kʲir
kwa-guqa	kwaxˈjkwa
kwaad	kɔːt
kwaai	kwˈaɪ
kwaal	uɔː
kwaito	kwˈaɪtˈʌ
kwakwa	kwˈaːkwˈaː
kwaliteit	kualitˈaɪ
kwaliteite	kualitaʝta
kwart	tˈu
kwartaal	kportau
kwas	kwas
kwazulu-natal	kwazulˈenatˈaʊ
kweek	kʊjɛk
kwekery	kuiːkaɾaiː
kweperlat	kujɾperˈlat
kwesbaar	kwesbor
kwesbare	koːsbˈɑɾə
kwessie	koˈeˈsi
kwik	kwɯ̞q
kwitansie	kwjtˈanˈsɪ
kwota	kwɪta
kwyl	kwaʝ
kwytskelding	kwˈaɪtʃɛldˈɪŋ
kyk	kajk
kyker	tˈaɪkɚ
kêrel	karo
l'agulhus	lagaˈla
l.j. van zyl	ˈɛljɪ fɒn seɪl
laag	lɔx
laager	lɑːgɛr
laai	lɔj
laaikas	lˈaʊɪkəs
laaitie	lajˈtɪ
laan	lɔn
laas	lˈɔz
laaste	lɔsta
laat	lˈɑːt
laat dit goed gaan	lˈɑ̃t dˈiʁ lˈutɾɑ̃
laatlammetjie	lɔtlɑmikiː
labuschagne	lˈˈabːjˈskˈaxtnˈi
lae	lɔːɹ
lae lande	lˈɔ lˈandə
laer	lɔɾ
laerskool	lˈɑɹskuːl
laf	loːv
lafaard	lɒvɒːɾt
lafhartig	laːfħard̪æx
lag	la
laingsnek	lˈaɪŋznˌeɪk
laken	lˈɔkɪŋ
lam	lam
lammers	lomɛrs
lamp	nɔ̃pˈ
lamsvleis	nˈɑmflˈaɪz
land	lˈɑnt
landbou	lansboʋ
lande	vˈandə
landgoed	lˈɛ̃tˈʁudˈ
landskap	nˈɔnskˈ
lanfer	lɑnfɛr
lang	lɔŋ
langasem	mɑŋaʃɑm
langebaan	lˈɔŋgəbɹˌɔn
langenhoven	lˈɑŋənwˈɛfən
langpoot	lˈɑ̃pwˈɛt
langs	lˈɔŋz
langs-aan	ˈæɪ
langsaan	laŋsaˈn
lank	lɛ̃k
lanklaas	laŋklas
lantaan	lˈɔːˈntˈɔrn
lap	lˈɛn
lappie	lˈɑpi
lasbrief	lasprɪf
lastig	lˈastə
later	lˈatɚ
latere	maːt̪eɾe
laurasië	dʊɾɔzˈie
lawaai	navoj
lawaaierig	zɑwɑjɑrəx
lawwe	lˈʌvɚ
leandie	liandˈi
leandie du randt	liː ˈʌndˈɪ dˈʉɾant
lebohang monyatsi	ˈlevʊxanˈ mˈunioːsi
lebohang monyatsi het tweede plek verdien	dɛj bəɣaːn mɔən jɑː tseː d tʋɪrɛ plɛk vərdˈin
lede	ljɛda
ledemaat	lˈeːdəmˈɑːt
leed	lˈiːt
leef	lˈiɛf
leeftyd	lˈeːftˈaɪt
leefvertrek	iːn
leeg	lix
leegmaak	lʲexmˈˈok
leemte	ljɛm˨˩˦tʰɛː
leen	lian˨˩
leer	ðɪ̞r
leerling	lrlɑm
leermeester	lɪɛrmɛstɛr
lees	lˈiːɚz
lees die kennisgewing	lˈeːs dˈi kˈɛnɪs hˈeːvən
leeu	ljuː
legende	lɛxɪndɛ
legering	lexiːrɑ
legkaart	væxˈkɑːrd
lei	lɪ
leiband	lajˈbɑːnˈdʒˈ
leiden	lˈaɪdən
leidraad	lajdraɟ
leier	nʲii̯r
leisels	lˈaɪsəlz
lek	lˈɑk
lekker	lakaɾ
lekker bly.	la kirplʲaj
lekker dag	ləkə daːç
lekkergoed	ləkərxwt
lekkernye	lakernaio
lekkers	fagaz
lektor	lɛktor
lelie	lˈɪli
lelik	lʲɛrak
lemmetjie	lemiki
lemmetjiesdraad	lemekistrukt
lemoen	lamˈun
lemonaid	lˈɛmənˌeɪt
lengte	lɛŋtɛ
lenig	plˈiənɑx
lening	ljɛn˧
lenoy coetzee	lə tnoj kʏdsijɛ
lens	lɪnz
lente	lɛntɜ
lené	lanasˌtˤ
lepel	ˈeɪpəl
leraar	lʲerɔr
les	ðejs
lesego	lessɛɾɔ
leser	læsæɾ
lesotho	le-sœtˈy
lessenaar	lesãmbal
letter	ɫæjtæɾ
letterkunde	lætrkøndø
letterlik	d̪ekrek
leuen	lɪən
leuenaar	lˈeɪnɚ
leun	lˈeːən
leunstoel	ljɛnsid̥
lewe	lˈeːvə
lewendig	lˈeːvəntdˌɑx
lewens	lˈiːrəns
lewer	ɫɪ̞bær
leë	lˈiːɜ
leër	lˈiːr
lid	lɛt
lidmaatskap	lˈɛtmˈaːtskˈap
lidmate	lətmaːrtɛ
lidwoord	lɛtˈfɔrt
lied	lˈit
liedere	lʲibæræ
liedjie	likˈi
lief	lˈif
lief vir jou	liferial
liefdadigheid	lˈiːvdɑːrhləi̯d
liefde	liːftɛ
liefdesverhaal	lˈivðˈɪsfɚɔːl
liefhê	life
liefie	lifi
liefling	lˈɛflˈˈam
lieftallig	liftɑlɛx
lies	plˈis
lietsjie	litʃi
liewe	libʲa
lieweheersbesie	nˈoːaˈðesˈbeːsi
liewenheersbesie	mivenjersbje˩˥ːsi
lig	lˈɛx
liga	lixa
ligaam	ləxɑm
ligblou	lˈɑxblˈɑw
liggaam	nə˥˩xɔ̀ːm
liggaamsbou	ðəxˈɔmsbˈoʊɪŋ
liggeraak	laχraː
ligging	nˈaxə
liggrys	dˈɑxrˈaɪs
lighoofdig	laχɫoːθjæχ
ligrooi	lˈɦɾuːj
ligsinnig	laxs�ɪ̞xsɪ̞nɪ̞x
ligskakelaar	lixskɑkɯlɑr
lihle	pliːjʃlɛk
likkewaan	ləkʰvɑːn
limpopo	lɛmpuapwa
lindeque	nʌnɑkɛ
linkerkant	nərkərkant
links	ləgs
linnegoed	lanasˈχut
lip	nˈø
lippe	nˈɑfˈar
lipstiffie	lˈɛpstˈapˈ
lisensie	danasentsi
liter	lətɛr
literatuur	tətraːtiːr
litteken	latʃakn
loei	lui
loerie	nˈuːri
logies	loːxiz
logika	lʊxˈikˈaf
lojaal	lˌuːjˈɑlv
lok	lˈɔk
lokasies	luːkosˈɛiz
lokval	lˈɔkfˈaɫ
londen	lˈoːndən
long	lɔn
longe	lɔŋɛ
lood	luːt
lood de jager	lydˈiˈoːχˈə
loodgieter	nˈuːetʁitˈa
looi	noj
loon	lwan
loop	dˈuʁ
loopbaan	luapoɾ
loopneus	luːbmˈioːs
lootjie	loːkki
lopende water	rˈɔpəndə ʋaːtər
los	lˈoːs
losieshuis	lə-sˈisˈiz
loslappie	nˈoːtslˈɑpe
loslyf	lɔːslajˈtˈ
lot	nˈot
lou	lɔːw˧˥
louis botha	lw˧j˧tuaːtɔː
louis meintjes	hˈi mˈɛ̃kiz
louis oosthuizen	lˈuɪ wˈɚsˈɛ tˈɪ
louis trichardt	lʊi trɪħaɾt
lourensford	lørɛnsʋərt
louwtjie	lˈoʊki
lucien van der walt	lˈɛssiən fɔn dˈeː vˈɑlt
lug	lɔh
lughawe	ləhˈoːr
lugogo	nˈoʊnˈoʊsˈiːeɪŋ
lugpos	nˈɔxpɾˈoːs
lugredery	laːxreːdɾɑːniː
lugversorging	lɑxfɛrʃoːr
lugwaardin	lʊ̞xbɑrdim
lui	la
luid	lˈaɪt
luide	lajˈðæ
luidens	lˈaɪdəns
luiheid	lɑːjhɛjt
luiperd	najitaz
luister	ðæjstær
luister vir my!	nˈɔxsteːr fɛrmˈaj
lukraak	lakɾˈɔk
lus	bəs
luukse	liksˈa
ly	lɛi˨˩˦
lydenburg	lɑɪtɛnbʊɾ
lyding	lajlɛ
lyf	lˈaɪf
lyftaal	lˈaɪftdˈɑl
lyk	lˈaɪt
lym	lɛm
lyn	ln
lynique prinsloo	lɛnɪk prənt slɪwɛ
lys	nˈaɪs
lê	lɛ
ma	mˈɔɹ
maag	vˈɑh
maagbos	maɾbɔs
maagd	maxt
maagpyn	moʁbajm
maai	mˈɔj
maak	mˈɑːk
maal	mɔːl
maaltyd	mˈɔltitˈɛ
maalvleis	mˈɑllflˈaɪz
maan	mon
maand	mult
maandag	mɑndɑ
maande	mɒndɒ
maandeliks	mandələgz
maanlig	mɔnˈlɪq
maantjie	moːˈnki
maar	mˈɑːr
maart	mɒːɾt
maaskaas	maskos
maat	mat
maatreël	mˈɔg
maatskappy	mou̯tsʰkapaj
maatstaf	mˈaʊtstˈaf
maer	ar
mag	mˈɑ̃
magaliesberg	maxɑlsbæɾx
magasyn	mɑhɑssɑjɯn
magie	moxi
magma	maħma
magneet	magnet
magnesium	maːχniːsjɛm
majuba	mˈaʒuːbˈa
makapansgat	mˈaˈkɑpˈowɔnɪsˈxaːt
makelaar	mokɛɬor
makker	makær
maklik	mˈɑqlˈɯ̞k
mal	mˈɔl
maleier	malajjə
malligheid	mˈɑlɯdxˈajd
maluti-drakensberg	mˈɑlˈʌtˈidɹˈɑkənzˈbˈɛɾ
mamba	mambas
mamelodi	mamɛlwɛːdi
mampoer	mɑmpuɾ
man	man
mandjie	majnˈdʒi
manel	manˈel
manewales	manəvˈallˈɛz
mangaan	mænhæɹn
manier	manˈiɹ
manje	mandʒei
manlik	mɑnlæk
mannetjies	manikis
mannetjievolstruis	mˌɐnikiˈfɔlstˈɹaɪs
manskap	mɑnskap
mantel	mãn˥˥tsɐu˧˧
marais	marɪ
mareike	maːrajke
margot	mˈɑgə
mark	maɾk
markus taljaard	mʊ̞rk ɪ̞s tɑuɫ jäɾ
marlice van der merwe	marliz fan ˈdˈɛ mɪrˈvɑ
marlice van vuuren	mˌɑːliːs vˈɑn fˈiːrən
marmotjie	maɾmɔiki
mars	maːʃ
martel	artɔ
martelaar	mart̪nɾ
marteling	marθelˈan
mas	mʌs
masels	mˈɔsəlz
masjien	maɾɣ̞sĩŋ
masjinis	maʃiːnes
masker	maskɛr
massa	masa
masseer	asjaɾ
mat	mˈat
mate	mˈɔtˈ
materie	matiˈɛri
materieel	materioʁ
matig	mɒtɒ
matte	mat
mawabo	mauaˈvˈo
mbabane	mbabne
mbejane	imbeˈtʃane
mbundi	bunˈdi
medalje	medalia
mededeelsaam	mʲirɪ̞dɪ̞ɫsɑm
mededinging	miːdɪdʏŋæːm
medeklinker	niadɛklankaɾ
medepligtige	mereplɪgtige
medereisigers	miːrɪrajsɯzɯχɯɾ
medikasie	meɾikosi
medikus	medikˈɵs
medisyne	medəsɛjnɛ
medisynekassie	ðərɛssajnɛkaːsiː
mediërs	mjɾiɾs
mee	mjˈe
meedeel	mɨɐdˈɛʊ
meegevoel	mʲiːxðefʊl
meel	nʲiːl
meen	lian˨˩
meenthuis	mientais
meer	mjˈɛɾ
meerderheid	mʲerðərãjd
meerderheidsbelang	miːrdraːjtsʲbrɾʊm
