0 பூஜ்ஜியம் அல்லது சுழியம்	bʊjʃiʲam bʊjʃiʲam alladɯɕoːʋijam
பிரயாசை	pʰiːrʌjːaːsˈɛ
பிரயாணம்	ɑːnəm
பிரஷ்ட	brastæ
பிராந்தியம்	pɪ̞ɾaːndɪ̞jɐm
பிரான்சு	kaŋse
பிராமிக் கல்வெட்டுகள்	ʋɾaːmɪ gɐɭʋəɾːugɐgɐ
பிராயச்சித்தம்	praːjɐ̃t̪zʲɪt̪ːɐm
பிரி	piri
பிரிட்டிசு	bəɾˈɛtətʃu
பிரித்தானியருக்கு	bɾit̪ːaːn̪njɐɾukːu
பிரித்தானியருடன்	priːtɑːnɪjɐɾɨɖan
பிரித்தானியர்	peɾɪtːaːnijeːr
பிரித்தெடுக்கும்	piɾit̪ːɖɐɖuukːum
பிரிவஞ்சும்	peɾiʋaɳtɕəm
பிரிவாற்றாமை	p̚˨˩riː˧wat̚˨˩traːajʔiː
பிரிவு	vɾɐʋɯ
பிரிவுகள்	p̪iɾiʋgɯ
பிரிவுத்துயர்	piriwɨttujˈar
பிரிவுரைக்கும்	piɾibuɾaikːʊm
பிரிவோ	pˌaɪzəlˌiːvɔː
பிரிவோ ரிடத்துண்மை	piɾɪʋoːɾɪɖt̪ːuɳi
பிரிவோம்பல்	piɾibɔːmbalː
பிருகதீச்வரர்	berɣədiʃʋarɑr
பிற மொழி	piːrɐmɔːliː
பிறகு	piːrakɯ
பிறக்கட்டும்	piːɾkgɐʈːum
பிறக்குது	piːrakːɯ̞
பிறங்கிற்று	pʰiʲrŋit˦tʰ
பிறந்த	bˌiɹˌændˈɛ
பிறந்த இடம்	t̪ɪn̪d̪ ɪɖæm
பிறந்த நாள்	peɾnd naːl
பிறந்ததிகதி	kɪ̞ɾʊ̞nt̪d̪iɦɪ̞d̪iː
பிறந்தநாளாக	piɾand̪aːnaːɻagaː
பிறந்தவர்	ɪ̞rɪ̞ndæbæn
பிறந்து ஓர் இரவில்	piɾɐn̪d̪u oːr ɪɾɐʋiɭ
பிறனைத் தெளிந்தான்	piɾanɪt̪ ɖeɻɪn̪d̪ æːn
பிறபுலங்க	piːraplŋaːn
பிறப்பால்	propal
பிறமொழிச் சொற்கள்	piɾəmɾi tɕoɾɐkːaɪ
பிறருடன்	piɾɛɾuð̞an
பிறர் க்குரைத்தும்	piror korai̯t̪ːum
பிறர் தர வாரா	peɾə d̪aːɾʋaː raːm
பிறர்குற்றங்	pəɹˈɔːkˈut̪ɾʌŋ
பிறர்பாதந்தொட்டுச் சபதம்பண்ணுதல்	irɾəɾəɾəɾəɾːt̪ːt̪ːɕːuʈːɑːɾ ʃɐb̪ɐɖəmː pɐɳɳɖɐd̪l
பிறழ்தல்	pid̪aɪ̯rɪd̪lʊ
பிறழ்வு	bɪrˈajʒɪbɪ
பிறவாது	peɾovaːde
பிறவாதோ	pɪrʋʈːoː
பிறவாழி	piːrɐvaːriː
பிறவி பெறுந்தனை	piɾəʋip peɾuən̪d̪
பிறவிக்கும் உன் தன்னோடு	pɾɐʋɪkːum ʌn d̪ɳoːɖu
பிறவிப் பெருங்கடல்	piɾʋk peɾu gɐɖɐɭgʌ
பிறவே அறிவரியான்	piɾʋeː ɐɾi ʋɐɾi̯ɪjɑːn
பிறவே அறிவறியான்	pirʋeː ɐɾi ʋɐɾi̯jɑːn
பிறிதின்	pirid̪in
பிறிவு	pʰiː˧˥liː˧wɔː˧
பிறை	peˈrɛj
பிறை நுதலும் தரித்த நறும்	beɾrji ʊt̪alum d̪ɾɪt̪ːnɾum
பிற்சேர்க்கை	pəgːɛrːɾkaɪ̯
பிற்பகல்	ɑpɪrpæhɭ
பிற்போக்கு	perpɔkɛ
பில்	bɪl
பிளவு	ʋiɭəbɯ
பிளவுபடுத்த	pɪɳɐʋupɾɨɾɨt̪ː
பிளாண்ட்ஆண்கள்	plˈændˈɑniːæˈnɪ
பிளாண்ட்பெண்கள்	ɭɑːn̪ɖbɛɳɭ
பிளிரும்	beːləruːm
பிளிர்	plˈeɪɾ
பிள்ளாய்	bəlaːjiː
பிள்ளை	pɪlːɛj
பிள்ளைகள் எல்லாரும்	piɭːai̯gɯ ɛlːɑːruːm
பிள்ளையார்	aniːjaːɾ
பிள்ளையார் {pil-lai-yaar}	piːlːjɑːj
பிள்ளையினால்	peɭːai̯nɭə
பிழை	piro
பிழைக்கான்	pɾigaːn
பிழைத் துணர்ந்தும்	prijɛktoɾa ɾumðum
பிழைத்தொழுகு வார்	pɾiɻɪ̯tː bɾɯgːʋaːr
பிழைத்தொழுகுவார்	piˈɾejktɔɾuɣuvaɾ
பிழைபடச் சொல்லேல்	piɾɐjɑɑɖ ʃoɭːeːl
பிழைப்பாள்	bɾaɪbɑːl
பிழைப்பு	pɾjpɔj
பிழையாதவன்	bɾaːjaːdɑːwən
பிழையாமை	bɪɾːaɪ̯aːmk
பிஷப் ஹீபர்	bɪʃəp hˈɑbɚ
பீ	tiːˈpeɾəbiːm
பீங்கான்	pˌɪŋgˌoŋ
பீசநோய்வகை	pliːs̪n̪oːaɪʋɐk
பீசப்பை	piːʃʈːapːpɐj
பீசுக்கு	liːsˈɛkˈu
பீஜ	biːtʃɛ
பீடமோ	piːɖɐmɔː
பீடு பெற நில்	piːɖu peːɾ n̪elː
பீதியடைந்த	biːɾiəɖaɪ̯n̪d̪aː
பீர்	biɣ̞eɾ
பீர்கங்காய்	piːrkngaj
பீர்க்கங்காய்	poɾaðɐm
பீர்க்கம்	pɪːk˥am
பீலிபெய்	piːlˈipːii̯
பு	ʊʈbubɔl
புக	pʰuːheː
புகப்பாய்ந்து பாய்ந்து	puʁɐpː paːjɳɖu paːjn̪d̪u
புகல	boːxlaː
புகலரு	pugəlɾu
புகலிடம்	prɦəliːʈam
புகல்	pʊxâuː
புகழை	pʊ˨˩˦kɐn˧˥rai˧
புகழ் போற்றி	ɑugə bɔːɾiː
புகழ்கிறது	ugɐɻgɾəɖe
புகழ்தல்	poːxɐɻd̪ɐɭ
புகழ்ந்தவை	bəxˈəldɑːlˈʌjː
புகழ்ந்தான்	pʊxˈɤntɑːn
புகழ்ந்தாரைப் போற்றி வாழ்	pugəɳɖɑːrɪ pɔːɾt̪ːɾi vɑːl̪d̪
புகழ்புரிந்தார்	əkuɦupɾin̪d̪aːr
புகழ்மை	pʊgəɾumai̯
புகுந்தவர்	uɣɯ̞ndɑbɑɾ
புகுபதிகை	kʰoːgʊpaːdiːgʰiː
புகைப்படம்	t̪oːɣaɪpːpaɖam
புக்கு முகேர் என்ன	pːukːu muṟeːr ɛnːa
புங்கனும்	pandɑːnɔm
புங்கை	pəngai
புஞ்சை	poːn˧
புடலங்காய்	puɖɐlŋkaːj
புடலங்க்க்காய்	popuugt̪aŋoo
புடலை	poɖəj
புடவை	poɖaːvɑj
புடவை {pu-da-vai}	poːɖʋaɪ
புடுக்கு	pu˥˩lɤ˥˩
புடைக்க	koɾaikɐ
புடைய	boɖɐjɐ
புடையார்க்கு	bɾaɪɐkːu
புடைவை	tʰu̯ɽaɪ̯jɑj
புடைவையும்	ʊɽɐjʋajum
புட்டி	kʊt̪ːiː
புணர்பவர்	pˈʊnəlˈɒɾˈɑq
புணர்வு	ʊnəɾʊbɯ
புண்ணியம் யாம் உடையோம்	prɳɳɪjɐum dʑːɑːmuɖajoːm
புண்ணுடையர்	unːuɖai̯aːr
புதனும்	buːdaːnəm
புதன்	buðɯn
புதினம்	hudiˈnəm
புதிய	pudea
புதிய பாடநூல்	t̪oːd̪i paːɖa nuːn
புதியதலைமுறை	puːd̪id̪aɭɐjmoɾaɪ
புதியதாக	goːdeːjɐdaːkæ
புதியவை	pʊːˈtiːjaˈbiː
புது தில்லி	pudu del ni
புதுக்குமெம் அச்சத்தால்	puðukːu əm ətɕːt̪ːɑːl
புதுக்கோட்டை	pːuːkːoːʈːai
புதுச்சேரி	puðʊtʃeɾi
புதுபிக்கும்	puð̞upikːum
புதுப்பிக்கபட்ட	puɖupːikːɐpːɖʈː
புதுப்பிப்பு	ʊd̪ɪpːɪpːɯ
புதுமைகள்	ʂʈumai̯g̊
புதுமையான	pɒdoˈmɒjɑːnem
புதுமையான வடிவமைப்பு	puɖumɑjɑːn ʋɐɖʋəmaɪpːu
புதூர்	pudu
புதைத்த	pɔdæjtːæ
புதைமணல்	ʊd̪amaɳɐl
புதைமிதியின்	poːd̪amiːt̪ijim
புத்தகங்கள்	puːt̪ːəg̊ʰɐŋːˈgɐɪ̯
புத்தகம்	utðʃam
புத்தகம் {puth-tha-gam}	pˈʌtˈðˈɾam
புத்தகுப்தர்	butəgubtaɾa
புத்தடியோம் புன்மை	pːʈːɖːioːm pnmaɪ
புத்தாண்டு	ʊɖːaːɳɖu
புத்தி	boːdːiː
புத்தியும்	pˌɵtˌiɐ̃ʊ̃
புத்திரனும்	pʊt̪ːənʌm
புத்தே ளுலகத்தும்	pʊt̪ːeːɖ wlg̊ʈum
புத்தே ளுளகு	pʊt̪ːlʊ̞ ɫægɯ̞
புத்தேளிர்	pˌutˈeˈɛɹˈ
புனமயிலே	punmajiːlɛ
புனமயிலே போதராய்	pʊːnɐmɐjˈle poːdraːj
புனித	ponið̞a
புனைகோதை	buˈneigodei
புனைந்தியற்று	t̪unai̯n̪t̪iʝɐtrɯ
புனைபாவை	toːɳɐɪpaːʋaɪ
புனைபாவை யற்று	pʰuːnajpɑːɋaɪ̯aːjət̪ːrɯ
புன்கண்	pundkəɳ
புயற்காற்றுத் தாக்கும்	qujɑkkaːrtʰtʰaːkum
புயல்	ʊjəl
புயல்என்னும்	puɪljẽnn̪om
புரசு	buɾaˈsɯ
புரட்டனுக்கு	prɐt̪ːəakːɯ
புரட்டன்	puɾat̪t̪æn
புரதம்	poɾadam
புரபடும் நேரம்	prəpəɾim leɾeːm
புரமவிய	tʰuːraːmavjɐk
புரளுகிறது	poːrɐɻugt̪ːɪrad̪eː
புரவி	poɾvi
புராணக்கதைகளின்படி	pːɾaːɳɖt̪ɾɐd̪gəɾiːmpaɖi
புரி	pʊˈrɪ
புரிகிறதா	poɾhiːhiːrda
புரிந்ததா	koːrmdaːda
புரிந்தது	puːɾiŋd̪adɯ
புரிந்தார்	orindaːr
புரிந்து	puːɾiːnduː
புரிந்து கொள்	puːɾintu kɔɭ
புரிந்துகொள்ள	tuːɾin̪d̪ukoɭː
புரிய	puɾie
புரியவில்லை	kuɾiɛvilːi
புருசன்	puɾuːsɑn
புறக் கண்டு	puɾkː kaɳɖu
புறக்கணி	ʊɾɐkːəɳiː
புறங்கை	əprəŋgai
புறத்தவான	puːrt̪t̪əbaːnæm
புறத்தியே	wɾat̪jɛ
புறத்தூண்டுதலற்ற	pʊratːuːndoːdɐt̪ɾaːm
புறநகர்	puɾanaɣæl
புறநகர்ப்பகுதிகளும்	prn̪gpʊgʊt̪igɐɻum
புறப்படும்	puɾəpːɯɯm
புறப்படுவான்	puːrɐpːdʋɑːn
புறப்பட்டது	fuɾpːɐʈːəu
புறப்பட்டுச் சென்றார்	buɾɐpːɖɪtɕ ʃenɾɑːr
புறப்பாடு	puɾpɑːɖu
புறமிருந்து	prəmiruːndu
புறமே	puɾˈmeː
புறம் புறம் திரிந்த செல்வமே	puɾəmpuɾam ɖirɪn̪d̪ ɕɛlʋɑːmeː
புறம்வேரார்	puɾamʋeːɾaːɾ
புறவழிச்சாலையையும்	puɾəʋɐɖitɕːaːlajɨ
புறா	puːraː
புறாக்களை	ʈʂʈɳːlɑːj
புற்று அரவு அல்குல்	poːtɕu əɾəɾɯ əɭəgul
புலப்படுதல்	fuɾappəɖal
புலமை	pʊlɑmaːiː
புலம்	pʊlˈam
புலம்பி	ʊlɐmbiː
புலர்தல்	plrd̪əl
புலவன்	bʰulːaːwɔ̃n
புலவர்	pʊlɑːbɑːr
புலவர்கள்	kˈulʃaʋːɐrɐgː
புலி	puliː
புலி {pu-li}	ulˈɛɪ
புலிகேசி	puɫigːgeːˈziː
புலிக்குத்தி பாண்டி	ʊlikː qt̪pɑːɳɖiː
புலிவலம்	puːɭiːʋɐlːm
புலையர்	ulˈlajeˈɾ
புல்	fouˈɛ
புல்லாங்குழல்	tˈullˈˈɑnkˈullin
புல்வெளி	pɔ̃vʁi
புளி	puliː
புளி {pu-li}	pɔˈliː
புளிச்சாறும்	pːɯɭɯtʃːəaːruːm
புளிப்பு	pulipul
புளியஞ்சோலை	puljɛn˧˧dʒoː˨˩ʔleːi˨˩
புளியம்பட்டி	pʊɻjmpuɖːi
புளியாரை	pʊliɑːj
புள்ளம்பாடி	puɭːampaːɖi
புள்ளரிசி	poːɭɑːruʃeː
புள்ளின் வாய் கீண்டானை	puɭːiɳ ʋaːj kiːɳɖaːn̪a
புள்ளியிடு	pɐɭiɪɖɯ
புள்ளிவிவரங்கள்	pɭiʋbɐɾaŋɑːg
புள்ளும் சிலம்பின காண்	pɭːum ɕiləmʋɛn̪ kaːɳɖ
புள்ளை	kuɫˈlajˈ
புழக்கடை	pːɯɻkːgɐɖai
புழக்கம்	ɸɾugum
புழு	tˈələ
புழுக்கம்	pɯɻukɑm
புழுதி	puɾuːd̪i
புழுத்த	pʊɾtɑp
புழைக்கடையிலே	pɻagɐɖɐjɪɭeː
புவியியல்	luβ̞inumeɾoʝel
புஸ்தகம்	puʃkaɣam
பூ	aˈtˈɛzˈlbw
பூகோளமும்	tuːkoːlˈlˈɑmumma
பூக்கடைத் தெருவும்	pukːɖaiʈ ɖeɾuʋum
பூக்கட்டும்	poːkːəʈːum
பூக்கனுக்கும்	koːˈkəˈnukːum
பூக்கனும்	voːkˈænʊm
பூக்காரர்	uːkaːrɐɾ
பூங்கழல்கள்	puːmgəɻəɭəgə
பூங்கா	pu˥˥n˥˥kɑ˥˥
பூங்காக்கள்	poːgaːpkɐɪ̯
பூங்காவும்	boːŋauːm
பூங்காவை	poːŋgaːvɐj
பூசணி	pʊˈʃɑːliː
பூசணிக்காய்	ʊsənɪkːaj
பூசனை	poːsˈniː
பூசைகள்	pʰuːsɐiːhɐiː
பூசைக்காக	pʰuːsɪkːaːjɛːm˧
பூச்சி	puʧinunnun
பூச்சிகள்	puːtɕːiːkːəɭ
பூச்சியுண்ணல்	puːtʃiʊnːl
பூச்சியுண்ணிகள்	kˈiˈɛlˈ�mˈɛnˈɛ
பூச்சுவேலை	puːtɕːuʋeːlaːiː
பூஜியம்	udʒɛm
பூஜ்யம்	p˨˩oː˧sìːəm˨˩
பூஞ்சை	uənˈdʒe
பூடு	pʊɾuː
பூட்டன்	poːtən
பூட்டி	pʊt̪˥
பூட்டு	poːəɾ
பூட்டே	pˈaːtˈɛ
பூணூல்	ulul
பூண்ட	pʰuːndæ
பூண்டார்	pʊndaʔ
பூண்டால்	guːnˈɖal
பூண்டி	puːɳɖi
பூண்டு	lɛnˈbɛ
பூண்டேன்	boːnˈdeːn
பூண்டொழுக லான்	pʊnˈtɔrɪːðˈlɑːn
பூதக்கண்ணாடி	buːd̪akːɳɑːɽi
பூதம்	buuːdɑm
பூத்த	pʊˈte
பூத்ததாம்	poːtadaːm
பூத்தாயோ	pˈutaɪvˈ
பூத்திகழும் பொய்கை	puːt̪ːgrɾum poːai̯gai
பூந்துகள்	nʊnəɾugə
பூந்தூள்	pʊŋdʊl
பூந்தோட்டம்	puːndoːɳeːtɑm
பூனை	punaːj
பூனைக்கு	pʊ˥˩nʲkʰɯ̀˥˩
பூனைபோல	puːnˈɪpəl
பூப்பொன்	pʰw˧pʰan˨˩
பூமா	buːmaː
பூமாலை	homəleɪm
பூமி	bumj
பூமி திருத்தி உண்	boːmi t̪i vən̪
பூமியின்	buːmiːjæn
பூம்புகார்	puːmbˈogˈʁɑl
பூரம்	puːram
பூரான்	puːran
பூரி {poo-ri}	pʊɾiː
பூரித்து	puːitːɯ̞
பூரிப்பு	tuːrippɯ
பூரியர்கள்	pˈoːɾjərgɐɪ̯
பூர்ணமாக	puːɾn̪maːg
பூர்த்தி	pɔːt̪iː
பூர்த்திசெய்	kʰuːtʃiːzi
பூர்விகக்குடி	poːrʋigkːkɔɖi
பூர்விகரான	toːrbiːgəɾəŋeːn
பூலாம்பட்டி	poːlaːmpaʈːi
பூவரசு	puvarɨsɨ
பூவாக	ubaːxje
பூவாகுமா	quːbaːkumaː
பூவாடை	ʋˈuaːɖaɪ
பூவாய்	uβai
பூவே	uːbe
பெ	pebẽnbebẽn̪ad̪t̪
பெங்களூரு	ʋŋgɭɭɯɾɯ
பெங்களூருக்கு	ʋeŋɐlɐɾʊkːu
பெங்களூர்	bəŋgəɾuːɾ
பெங்காலி	bʱɛ̃ːŋgɑːliː
பெட்டவாய்த்தலை	peːʈːʋɑːjt̪taɭɑː
பெட்டி	kɪ̞t̚tʰiː
பெட்ரோல்	petroːl
பெண்	ben
பெண் {pen}	pen
பெண் பிறந்தால்	peɳ piɾand̪aːl
பெண் பிள்ளை	peɳ pilːai
பெண்களை	ʋeːɳgɭ
பெண்காமுற்றற்று	peɳukaːmuʈːat̪ːrɯ
பெண்குறி	pɾɪnˈkuɾi
பெண்டாட்டிமேல்	peɳɖaːt̪ːimeːl
பெண்டிரும்	ɛɳd̪iɾum
பெண்ணாகரம்	ʋɛɳːɑːgɾəm
பெண்ணாகி ஆணாய் அலியாய் பிறங்கொளிசேர்	gɛnːaːgɪ ɑːɳɑːj əɭiɑːj pɾŋoɻɨseːɾ
பெண்ணாடம்	peɳːnɑːdɐm
பெண்ணின்	ʔ˧ːnɛːn˧˥
பெண்ணிலவு	ɛɳnɪlːʋu
பெண்ணே	pɛnːe
பெண்பால்	pɪnˈbɑl
பெண்மை	pɛnːmə
பெண்வழிச் சேர்வோன்	peɳʋɪɻɪ̯tɕ ʃeːɾɒːn
பெனின்	penin
பென்சில்	pˈɛnsˌɛl
பெயரளவில்	pajɑːrɐɻʊɓ̪iɭ
பெயரான	peɪɾaːn
பெயரிலே	beɪɾiɭeː
பெயருடன்	ʋeːrʊɖən
பெயருரிச்சொல்	pəːjɐoːɾiːdtʃaːl
பெயரெச்சம்	beːrɛtʃːəm
பெயரைக் கொண்ட	beɪɾai kɔɳɖ
பெயர்	tɪr
பெயர் {pe-yar}	pejar
பெயர்க்காரணம்	əɾkaːɾənəm
பெயர்ச் சொற்கள்	peˈrˈtʃorkeˈ
பெயர்ச்சொல்	beːrˈtʃeɾ
பெயர்ச்சொல்லாப் பயன்படும்	peːɾ ʃolːɑːp̚ paɪnbɖɯm
பெயர்ச்சொல்லின்	pəjɐrˈtɕuɭiːn
பெயர்ந்து	pejɾndɯ
பெயலும்	md̪ælæm
பெயல்	peiel
பெயிண்ட்	pˈeɪnt
பெயின்	bejˈɪn
பெய்	beː
பெய்கிற	pejgir
பெய்த	peɾide
பெய்தாற்போல	piːɖɑːɾpoːɭ
பெய்தும்	pejɾum
பெய்யாத	beːɦjɑːdæb
பெரிதானாலும்	paːrdaːnaːlum
பெரிய	beːriːjeː
பெரியகுளம்	peɾjakolam
பெரியதன்று	beːɾid̪aɳɖu
பெரியபாளையம்	ɖeːɾipaːɻajɐm
பெரியர்	peˈriːeɾ
பெரியவன்	veɾijaɾn
பெரியவர்	beɾijɐʋɐɾ
பெரியவிமான	ʋeːriːjəʋiʋɑːn
பெரியா ரகத்து	ʋeɾijɑːrgʈːu
பெரியாரால்	ˈperiɑːrɑːl
பெரியாரைத் துணைக் கொள்	aɾɪaːɾɪtwne̞kə
பெரியாரைத் துணைக்கோடல்	beɾiɑːɾɪ t̪uɻaɪkːoːɻɐlː
பெரியாரைப் பேணித் தமராக் கொளல்	geːriː ɑːɾɪtʰeːniː t̪oːɾaːm t̪oːɾaːm
பெரியார்	beːriiːjɑːr
பெரியோர்	perjuɾ
பெரியோர்கள்	peːriːjoːɾʊkːɐiː
பெருகிவரும்	peːrihiːʋəɾum
பெருகு	peɾɨɣ̞u
பெருகுதல்	piɾəgʏ̞zæ̹l
பெருகும்	beɾʊgum
பெருக்கல்	pɛɾkɑɛ
பெருக்கு	beɾukːɯ
பெருக்குமாறு	bɾkmru
பெருங்கடல்	peɾungɐɖɐɭ
பெருங்காற்று	bɾŋgaːʈːɯ
பெருங்காற்றுடன்	peːɾingɐɖːɾɐɾɐnpː
பெருங்கூட்டம்	peɾuŋgoːɖːam
பெருங்கொடையான்	peːɾunkoɖajaːn
பெருஞ்செல்வர்	pɛɾlɛnlʃalβ̞aɾt̪
பெருத்தானோ	pertano
பெருத்துப்போச்சு	pɾɛtːuppɔtɕu
பெருநககர	peːɾeːnaːgaɾa
பெருநகர	peɾimagəɾaːn
பெருந்தவறுகள்	peɾunɖəʋərɪgɐ
பெருந்துறை	peɾuntoɾai
பெருந்துறைக் கண்டிவ	piiɾɳɖʋɾg kɳɖgɖɪʋaː
பெருமாநல்லூர்	peːrumaːn̪əlɭuːr
பெருமாள் {pe-ru-maal}	peɾu mal
பெருமித	pəruːmiːdaːb
பெருமை	ɾˈomej
பெருமை யுடையவர்	peɾuːmaɪ oɖaɪjɐʋɐrm
பெருமைக்கும்	ɾəɯmaɪkːu
பெருமோசக்காரன்	ɛɾmɔːsɐkːɑːrɐn
பெரும்பறையன்	peːɾumpaɾajan
பெரும்பான்மை	peːɾumaːnmaɪ
பெரும்பான்மையான	peɾunbaːnmajɑnɯ
பெரும்பாலானவற்றை	peɾmbaːlaːn̪əʋɐjt̪ːraː
பெரும்பாலும்	peɾumːɑːɾumː
பெரும்பிழை	peɾumɪɻai
பெரும்பொய்யன்	peɾumpoɪan
பெருவாரியாகத் தொல்காப்பியம்	miː ɾuʔəɾiːɑː ɪk tol qɑːf gɪjəm
பெருவிரல்	peɾyviɾɑl
பெருவிருப்பம் இல்லாத மனநிலை	peɾuʋiruppəmɪlːɑːd̪ manɐilɐ
பெறப்பட்டன	peɾəppɐʈːɳa
பெறினும்	perinɨm
பெறின்பெறுவர்	pɛrjnpɛɾuɾð̞
பெறுமட்டும்	beɾɯmaʈːum
பெறுமா	peːˈɾumɑː
பெறுமை	peɾumai̯
பெறுவ	ɾubɛ
பெறுவதே பேரின்பம்	peɾiʋɐde peɾimɯɾɑm
பெறுவதே பேரின்பம் என்ற பழந்தமிழர் முதுமொழி	peɾʋɐɖe peːɾinpːum ɛn̪d̪ɾ̩ paɖan ɖɐmɪɻɾu muːd̪u ɾi
பெறுவாள்	peːɾuaːeː
பெற்ற உன் சீர் அடியோம்	peːʈːɾə ʌn siːɾ ɐɖijoːm
பெற்றத்தால்	pʰiʃat̪aːn
பெற்றன்ன	peɾːaɳː
பெற்றம் மேய்த்து உண்ணும்	peːtr̪am meːj t̪ɯ̞̞ʊ̯̞n̪nom
பெற்றவை	pʰʔtrʔʔhʋaj
பெற்றியார்ப் பேணிக் கொளல்	pətrɪɑːr pɛɳi kɔɳɑːl
பெற்றியினோடு	ʋeɾːiʝnɐɔːɖɨ
பெற்றிருந்தது	peɾʃiːɾun̪d̪u
பெற்றிருப்பாள்	peɾerɯpɑi
பெற்று இன்புறுவர்	peːt̪ːru imbuːɾuʋɾɐɾɐ
பெற்றும்	et̪ːrum
பெற்றோர்	tektɾ
பெற்றோர்	pˈeɪtɹuːl
பெல்ஜியம்	bildiːm
பெளதிகம்	bˌɑʊtɪgˈɑm
பே	pˈeɪpˈeɪməntbɪbˈeɪz
பேஎய்கண்	peːkːən
பேஎய்கண்டன்னது	piːjkːgɐɳɖən̪ːau
பேச	peːsˈɛ
பேசிகிறோம்	poesʲtsʲiɾom
பேசிக் கொள்	peːˈsɪkːɾʊəɪ̯
பேசினார்	fe̞jsjnɔɾ
பேசியதாவது	peːsiʝaːt̪ɑːvɐd̪u
பேசியுள்ளார்	peːsijoɭɭɑːr
பேசுகிற	pˌesˈˌugˈiɾˌɐ
பேசுகிறது	peːsiru
பேசுகிறவர்	peːslˈkeːrʋər
பேசுகிறாயே	peːsʊkiːɾaːjeː
பேசும் போதெப்போது	pesa un pɔɾɪ de pɔɾi
பேசுவது	peˈsuːbɐdu
பேச்சாளர்	peːʧaːɻɐr
பேச்சு	pˈeɪtʃˌu
பேச்சும்	peːtɕu
பேச்சுவார்த்தை	pewart̪e
பேச்சையும்	peːʧːʲaɪ̯m
பேடிக்கும்	̪peːɖɪkːu
பேட்டி {paet-ti}	pət̪iː
பேணான்	peːnˈɑːn
பேணுதல்	p̪e̞ɦi̯ɳuːd̪l
பேதித்து நம்மை	ʋeːɾt̪ːu n̪ɐmmaɪ
பேதை ஒருபால்	peːd̪eː oːr qɑːl
பேதைக்கென்	beːɾd̪eːkːɑeːn
பேதைமை அகற்று	ʋeːɖəmaɪ əgɐtrɯ
பேனை	pɛːn˥˩ɛ
பேய்	pˈeɪ
பேய் அடிக்கும்	peː əɖukːum
பேய்ந்தாலும்	p̚e̞jĩːnd̪aːlum
பேய்ந்தும்	pɛːnːum
பேரணுக்குப் பெற்ற	peːɾɐɳukːup peɾːa
பேரன்	peɾn
பேரரசர்	eɾadɾasaɾɾa
பேரரசின்	peɾeɾɾæsen
பேரரையற்கு இங்ஙனே	peːɾɐɾijɐkːɯ irŋgəɳeː
பேராசிரியர்கள்	peːɾɑːsɪɾiːɐɾgɪ
பேராழி	peːriː
பேராவல்	ɪpeːɾɑːʋɐn
பேராவல் கொள்ளாமல்	peːɾɑːʋɭ koɭɭaːmɭ
பேரிக்காய்	perjkaj
பேரின்பநாயகம்	beːrɪnbɪnɑːjɐgam
பேரீச்சம்பழம்	peːɾɪtʃːumpaɻum
பேரு	pɾu
பேருந்து	bʲirð̞w
பேருந்து நிலையம்	ʋeːɾu ɒn̪d̪u n̪il̪ai̯əm
பேருந்துகளால்	peːrund̪gəɻaːl
பேருந்துகளுக்கு	peːɾun̪d̪ugəɻɯkːɯ
பேருந்துகளும்	peːɾuːndgɐɾum
பேருந்தைத் தேர்ந்தெடுத்து	ʋeːruːŋuʈuk t̪eːɾn̪d̪ɾɐt̪ːu
பேரூர்	peˈɾu
பேரூர்கள்	peːɾuːugɯ
பேரேடு	eːɾeːɖʊ
பேரை	peːɾeːɪ
பேரொளி என	peːɾol̪iːjː n̪aː
பேரொளி என்னும்	peːroːˈliː enːum
பேரொளி என்னும் போதிலே	peːɾoɻijɛnːum poːɖiɭeː
பேரொளியாய்	peroliai
பேர்களை	peːɾgɐi
பேர்க்கிறானாம்	erkeɾnnæm
பேர்த்தி	pɛːˈti
பேர்த்தும் அப்பெற்றியனே	peːɾt̪um əpʋetɾiɪneː
பேறு	peɾu
பேறுகால	peːrkaːlɛː
பேறுகால உதவித்தொகை	beːrɪkaːl̪ ʊd̪ʋd̪ʈːoɣɪ
பேளுக்குறிச்சி	peɭukːguɾɯtʃːi
பேளுவாள்	peːɭuaːn
பேஸ்துமட்டம்	peːs̪t̪ːumaʈːam
போக்குவரத்து	poːkyvarɛtɪ
பை	baɪ
பைங்கமலத் தண் தெரியல்	paɪŋgɐmaːɭɐt̪ːɐn ɖeɾijɐl
பைங்குவளைக் கார் மலரால்	paɪŋguʋɐɻək kaːɾməɭɐɾɑːl
பைத்தியக்காரன்	pɐɪt̪ːjɐkːaːɾən
பைம்பூண் கலனாட	paɪmbuːɳ gɐl̪ɐnaːɖ
பையலோடு இணங்கேல்	paɪjɐoːɖʈu ɪn̪aːŋgeːn̪
பையோடே	pəjoːɖeː
பொ	pobo
பொக்கங்களே பேசும்	pokːəŋɾeː peːsum
பொங்கலில்	oŋgəlɪl
பொங்கலூர்	nɣluːɾ
பொங்கல்	puːŋgəl
பொங்கல் {pong-gal}	p̪oŋgəl
பொங்கி எழுந்தது	pngi ɛɻɪnd̪ɐɖu
பொங்கினால்	ɔŋɐgiːnaːl
பொங்கு	bɯ̟ᵝŋgɯ̟ᵝ
பொங்கு மடுவிற்	puŋːgumɐɖʋie
பொங்குது	oŋɣð
பொசுனியர்	poːsˈinijeːrˈ
